,group,variable,month,A BAJA < DE 1 AÑO,A BAJA < DE 1 AÑO,A BAJA 1 A MENOR DE 2 AÑOS,A BAJA 1 A MENOR DE 2 AÑOS,A BAJA 2 A MENOR DE 5 AÑOS,A BAJA 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
UMALA,estado nutricional,a baja,2013-01-01,4,2,13,5,2,5,19,12,31
UNCIA,estado nutricional,a baja,2013-01-01,29,12,58,38,49,31,136,81,217
URIONDO (A. CONCEPCION),estado nutricional,a baja,2013-01-01,1,2,2,1,3,2,6,5,11
URUBICHA,estado nutricional,a baja,2013-01-01,5,3,11,2,1,0,17,5,22
UYUNI,estado nutricional,a baja,2013-01-01,9,11,37,22,26,12,72,45,117
VACAS,estado nutricional,a baja,2013-01-01,17,5,28,26,27,17,72,48,120
VALLEGRANDE,estado nutricional,a baja,2013-01-01,1,2,0,1,2,0,3,3,6
VIACHA,estado nutricional,a baja,2013-01-01,21,14,68,49,40,15,129,78,207
VILA VILA,estado nutricional,a baja,2013-01-01,12,16,11,15,19,31,42,62,104
VILLA CHARCAS,estado nutricional,a baja,2013-01-01,20,7,45,38,72,67,137,112,249
VILLA MONTES,estado nutricional,a baja,2013-01-01,3,4,10,5,10,13,23,22,45
VILLA NUEVA (LOMA ALTA),estado nutricional,a baja,2013-01-01,2,0,1,5,14,9,17,14,31
VILLA RIVERO,estado nutricional,a baja,2013-01-01,1,3,5,4,5,7,11,14,25
VILLA SERRANO,estado nutricional,a baja,2013-01-01,10,6,26,14,51,47,87,67,154
VILLA TUNARI,estado nutricional,a baja,2013-01-01,5,10,45,40,53,55,103,105,208
VILLA VACA GUZMAN (MUYUPAMPA),estado nutricional,a baja,2013-01-01,9,0,7,3,8,4,24,7,31
VILLAZON,estado nutricional,a baja,2013-01-01,34,24,65,31,37,25,136,80,216
VINTO,estado nutricional,a baja,2013-01-01,8,5,21,13,7,18,36,36,72
VITICHI,estado nutricional,a baja,2013-01-01,4,3,6,11,19,22,29,36,65
WALDO BALLIVIAN,estado nutricional,a baja,2013-01-01,2,3,4,5,3,4,9,12,21
WARNES,estado nutricional,a baja,2013-01-01,7,2,10,6,4,10,21,18,39
YACO,estado nutricional,a baja,2013-01-01,8,2,17,11,17,17,42,30,72
YACUIBA,estado nutricional,a baja,2013-01-01,6,2,11,8,22,15,39,25,64
YAMPARAEZ,estado nutricional,a baja,2013-01-01,1,3,11,6,51,46,63,55,118
YANACACHI,estado nutricional,a baja,2013-01-01,1,0,1,0,0,1,2,1,3
YAPACANI,estado nutricional,a baja,2013-01-01,7,1,6,4,4,1,17,6,23
YOCALLA,estado nutricional,a baja,2013-01-01,14,2,10,3,10,8,34,13,47
YOTALA,estado nutricional,a baja,2013-01-01,2,2,4,3,14,9,20,14,34
YUNCHARA,estado nutricional,a baja,2013-01-01,11,4,14,6,36,23,61,33,94
ZUDAÑEZ,estado nutricional,a baja,2013-01-01,3,2,12,10,49,41,64,53,117
ACACIO,estado nutricional,a baja,2013-02-01,7,6,21,18,19,28,47,52,99
ACHACACHI,estado nutricional,a baja,2013-02-01,8,9,29,14,17,16,54,39,93
ACHOCALLA,estado nutricional,a baja,2013-02-01,10,1,12,12,8,12,30,25,55
AIQUILE,estado nutricional,a baja,2013-02-01,10,2,18,10,8,15,36,27,63
ALALAY,estado nutricional,a baja,2013-02-01,7,1,8,4,8,11,23,16,39
ALCALA,estado nutricional,a baja,2013-02-01,0,0,1,1,15,11,16,12,28
ALTO BENI,estado nutricional,a baja,2013-02-01,1,1,13,3,9,16,23,20,43
ANCORAIMES,estado nutricional,a baja,2013-02-01,15,6,23,18,21,19,59,43,102
ANDAMARCA,estado nutricional,a baja,2013-02-01,2,3,12,4,16,17,30,24,54
ANTEQUERA,estado nutricional,a baja,2013-02-01,3,5,2,1,4,2,9,8,17
ANZALDO,estado nutricional,a baja,2013-02-01,10,2,17,12,16,16,43,30,73
APOLO,estado nutricional,a baja,2013-02-01,8,4,15,13,34,34,57,51,108
ARAMPAMPA,estado nutricional,a baja,2013-02-01,4,2,9,8,4,5,17,15,32
ARANI,estado nutricional,a baja,2013-02-01,4,3,12,9,12,11,28,23,51
ARBIETO,estado nutricional,a baja,2013-02-01,3,4,8,6,6,7,17,17,34
ARQUE,estado nutricional,a baja,2013-02-01,17,10,47,38,36,19,100,67,167
ASCENCION DE GUARAYOS,estado nutricional,a baja,2013-02-01,2,1,7,2,7,5,16,8,24
ATOCHA,estado nutricional,a baja,2013-02-01,8,5,14,15,11,14,33,34,67
AUCAPATA,estado nutricional,a baja,2013-02-01,2,0,9,6,7,5,18,11,29
AYATA,estado nutricional,a baja,2013-02-01,8,2,27,12,27,16,62,30,92
AYO AYO,estado nutricional,a baja,2013-02-01,8,8,27,10,20,10,55,28,83
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,a baja,2013-02-01,17,13,52,25,52,32,121,70,191
AZURDUY,estado nutricional,a baja,2013-02-01,8,6,20,18,60,65,88,89,177
BATALLAS,estado nutricional,a baja,2013-02-01,9,2,23,14,7,10,39,26,65
BAURES,estado nutricional,a baja,2013-02-01,0,0,0,1,7,2,7,3,10
BELEN DE ANDAMARCA,estado nutricional,a baja,2013-02-01,3,0,1,1,2,5,6,6,12
BELEN DE URMIRI,estado nutricional,a baja,2013-02-01,4,3,4,3,3,3,11,9,20
BELLA FLOR,estado nutricional,a baja,2013-02-01,1,1,2,3,1,0,4,4,8
BERMEJO,estado nutricional,a baja,2013-02-01,10,6,5,5,4,4,19,15,34
BETANZOS,estado nutricional,a baja,2013-02-01,45,22,63,50,88,77,196,149,345
BOLIVAR,estado nutricional,a baja,2013-02-01,17,11,25,18,31,39,73,68,141
BOLPEBRA,estado nutricional,a baja,2013-02-01,2,0,1,1,6,8,9,9,18
BOYUIBE,estado nutricional,a baja,2013-02-01,0,0,0,2,0,3,0,5,5
BUENA VISTA,estado nutricional,a baja,2013-02-01,1,1,1,2,1,1,3,4,7
CABEZAS,estado nutricional,a baja,2013-02-01,2,0,1,2,8,7,11,9,20
CAIROMA,estado nutricional,a baja,2013-02-01,5,7,25,15,17,10,47,32,79
"CAIZA ""D""",estado nutricional,a baja,2013-02-01,8,1,13,6,14,9,35,16,51
CAJUATA,estado nutricional,a baja,2013-02-01,0,1,2,5,4,4,6,10,16
CALACOTO,estado nutricional,a baja,2013-02-01,0,4,4,3,3,2,7,9,16
CALAMARCA,estado nutricional,a baja,2013-02-01,14,5,26,19,23,29,63,53,116
CAMARGO,estado nutricional,a baja,2013-02-01,10,2,27,15,41,38,78,55,133
CAMATAQUI (C. VILLA ABECIA),estado nutricional,a baja,2013-02-01,0,0,3,0,9,3,12,3,15
CAMIRI,estado nutricional,a baja,2013-02-01,19,1,2,1,8,10,29,12,41
CAPINOTA,estado nutricional,a baja,2013-02-01,2,1,18,10,14,10,34,21,55
CAQUIAVIRI,estado nutricional,a baja,2013-02-01,7,3,9,12,6,7,22,22,44
CARACOLLO,estado nutricional,a baja,2013-02-01,8,4,26,18,25,18,59,40,99
CARANAVI,estado nutricional,a baja,2013-02-01,5,10,44,30,33,39,82,79,161
CARANGAS,estado nutricional,a baja,2013-02-01,1,0,0,0,1,0,2,0,2
CARAPARI,estado nutricional,a baja,2013-02-01,5,1,1,2,5,0,11,3,14
CARIPUYO,estado nutricional,a baja,2013-02-01,13,10,21,23,28,27,62,60,122
CARMEN RIVERO TORREZ,estado nutricional,a baja,2013-02-01,0,0,0,0,2,1,2,1,3
CATACORA,estado nutricional,a baja,2013-02-01,1,1,3,2,5,0,9,3,12
CHACARILLA,estado nutricional,a baja,2013-02-01,3,0,1,0,2,2,6,2,8
CHALLAPATA,estado nutricional,a baja,2013-02-01,21,7,69,35,75,60,165,102,267
CHAQUI,estado nutricional,a baja,2013-02-01,8,5,16,9,9,12,33,26,59
CHARAGUA,estado nutricional,a baja,2013-02-01,2,1,7,8,7,6,16,15,31
CHARAÑA,estado nutricional,a baja,2013-02-01,1,0,4,4,3,3,8,7,15
CHAYANTA,estado nutricional,a baja,2013-02-01,20,14,46,31,45,37,111,82,193
CHIMORE,estado nutricional,a baja,2013-02-01,6,7,8,5,7,8,21,20,41
CHIPAYA,estado nutricional,a baja,2013-02-01,2,0,3,2,8,9,13,11,24
CHOQUE COTA,estado nutricional,a baja,2013-02-01,0,1,3,0,2,1,5,2,7
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,a baja,2013-02-01,3,2,5,5,2,8,10,15,25
CHUMA,estado nutricional,a baja,2013-02-01,9,6,15,18,6,8,30,32,62
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,a baja,2013-02-01,2,3,9,14,9,6,20,23,43
CKOCHAS,estado nutricional,a baja,2013-02-01,25,18,47,31,24,20,96,69,165
CLIZA,estado nutricional,a baja,2013-02-01,14,2,8,2,6,9,28,13,41
COBIJA,estado nutricional,a baja,2013-02-01,10,11,20,11,17,11,47,33,80
COCAPATA,estado nutricional,a baja,2013-02-01,21,11,61,35,51,58,133,104,237
COCHABAMBA,estado nutricional,a baja,2013-02-01,82,66,161,129,75,88,318,283,601
COLCAPIRHUA,estado nutricional,a baja,2013-02-01,8,9,10,6,7,10,25,25,50
"COLCHA ""K""",estado nutricional,a baja,2013-02-01,1,5,21,7,10,8,32,20,52
COLLANA,estado nutricional,a baja,2013-02-01,2,1,2,3,5,1,9,5,14
COLOMI,estado nutricional,a baja,2013-02-01,10,12,40,23,33,18,83,53,136
COLQUECHACA,estado nutricional,a baja,2013-02-01,59,43,132,90,35,50,226,183,409
COLQUENCHA,estado nutricional,a baja,2013-02-01,8,7,21,6,8,9,37,22,59
COLQUIRI,estado nutricional,a baja,2013-02-01,8,4,11,14,38,13,57,31,88
COMANCHE,estado nutricional,a baja,2013-02-01,1,5,4,4,3,0,8,9,17
COMARAPA,estado nutricional,a baja,2013-02-01,2,1,4,4,4,3,10,8,18
COMBAYA,estado nutricional,a baja,2013-02-01,0,0,0,2,10,6,10,8,18
CONCEPCION,estado nutricional,a baja,2013-02-01,3,5,15,12,11,16,29,33,62
COPACABANA,estado nutricional,a baja,2013-02-01,4,4,6,2,8,5,18,11,29
CORIPATA,estado nutricional,a baja,2013-02-01,1,1,5,11,3,4,9,16,25
CORO CORO,estado nutricional,a baja,2013-02-01,8,6,24,10,9,13,41,29,70
COROICO,estado nutricional,a baja,2013-02-01,3,2,7,2,4,4,14,8,22
CORQUE,estado nutricional,a baja,2013-02-01,2,0,20,9,6,4,28,13,41
COTAGAITA,estado nutricional,a baja,2013-02-01,13,12,39,11,43,38,95,61,156
COTOCA,estado nutricional,a baja,2013-02-01,2,0,3,2,0,6,5,8,13
CUATRO CAÑADAS,estado nutricional,a baja,2013-02-01,1,1,0,6,4,3,5,10,15
CUCHUMUELA (V. G. VILLARROEL),estado nutricional,a baja,2013-02-01,0,0,0,0,1,0,1,0,1
CUEVO,estado nutricional,a baja,2013-02-01,2,1,5,2,4,8,11,11,22
CULPINA,estado nutricional,a baja,2013-02-01,7,3,8,6,4,3,19,12,31
CURAHUARA DE CARANGAS,estado nutricional,a baja,2013-02-01,1,3,12,4,11,7,24,14,38
CURVA,estado nutricional,a baja,2013-02-01,2,2,6,2,13,5,21,9,30
DESAGUADERO,estado nutricional,a baja,2013-02-01,2,2,3,4,1,1,6,7,13
EL ALTO,estado nutricional,a baja,2013-02-01,329,178,521,273,273,227,1123,678,1801
EL CHORO,estado nutricional,a baja,2013-02-01,1,2,1,3,3,4,5,9,14
EL PUENTE(STC),estado nutricional,a baja,2013-02-01,0,1,3,1,0,2,3,4,7
EL PUENTE(TJA),estado nutricional,a baja,2013-02-01,2,4,18,10,15,5,35,19,54
EL TORNO,estado nutricional,a baja,2013-02-01,6,13,9,9,9,7,24,29,53
EL VILLAR,estado nutricional,a baja,2013-02-01,0,0,1,1,11,12,12,13,25
ENTRE RIOS TRJ,estado nutricional,a baja,2013-02-01,4,3,15,4,10,9,29,16,45
ENTRE RIOS CBBA,estado nutricional,a baja,2013-02-01,6,5,11,11,8,8,25,24,49
ESCARA,estado nutricional,a baja,2013-02-01,0,0,0,1,0,0,0,1,1
ESCOMA,estado nutricional,a baja,2013-02-01,4,2,4,3,2,3,10,8,18
ESMERALDA,estado nutricional,a baja,2013-02-01,0,1,0,1,0,0,0,2,2
EUCALIPTUS,estado nutricional,a baja,2013-02-01,5,1,6,6,1,7,12,14,26
EUREKA (SANTOS MERCADO),estado nutricional,a baja,2013-02-01,2,0,0,1,4,2,6,3,9
EXALTACION,estado nutricional,a baja,2013-02-01,0,0,2,2,3,0,5,2,7
FERNANDEZ ALONSO,estado nutricional,a baja,2013-02-01,0,1,4,1,5,3,9,5,14
FILADELFIA,estado nutricional,a baja,2013-02-01,1,1,3,3,2,3,6,7,13
GENERAL SAAVEDRA,estado nutricional,a baja,2013-02-01,3,4,3,1,6,6,12,11,23
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,a baja,2013-02-01,7,6,23,14,15,18,45,38,83
GUANAY,estado nutricional,a baja,2013-02-01,5,4,6,2,9,10,20,16,36
GUAQUI,estado nutricional,a baja,2013-02-01,0,4,11,5,5,5,16,14,30
GUAYARAMERIN,estado nutricional,a baja,2013-02-01,25,21,46,31,29,20,100,72,172
GUTIERREZ,estado nutricional,a baja,2013-02-01,12,12,27,19,38,31,77,62,139
HUACARETA,estado nutricional,a baja,2013-02-01,2,1,5,4,9,8,16,13,29
HUACAYA (VILLA DE HUACAYA),estado nutricional,a baja,2013-02-01,1,0,4,2,7,0,12,2,14
HUACHACALLA,estado nutricional,a baja,2013-02-01,0,0,3,1,4,2,7,3,10
HUANUNI,estado nutricional,a baja,2013-02-01,21,10,21,13,13,8,55,31,86
HUARACAJE,estado nutricional,a baja,2013-02-01,0,0,0,0,3,0,3,0,3
HUARINA,estado nutricional,a baja,2013-02-01,1,1,7,2,5,2,13,5,18
HUATAJATA,estado nutricional,a baja,2013-02-01,2,2,3,6,3,7,8,15,23
HUAYLLAMARCA,estado nutricional,a baja,2013-02-01,2,0,11,1,4,5,17,6,23
HUMANATA,estado nutricional,a baja,2013-02-01,5,4,10,13,8,4,23,21,44
ICHOCA,estado nutricional,a baja,2013-02-01,4,1,10,4,5,5,19,10,29
ICLA,estado nutricional,a baja,2013-02-01,3,7,22,11,83,64,108,82,190
INCAHUASI,estado nutricional,a baja,2013-02-01,9,6,29,15,43,32,81,53,134
INGAVI (HUMAITA),estado nutricional,a baja,2013-02-01,0,0,0,1,0,2,0,3,3
INQUISIVI,estado nutricional,a baja,2013-02-01,0,1,3,6,5,5,8,12,20
IRUPANA (VILLA DE LANZA),estado nutricional,a baja,2013-02-01,4,7,5,9,13,12,22,28,50
IXIAMAS,estado nutricional,a baja,2013-02-01,5,1,1,2,4,3,10,6,16
JESUS DE MACHACA,estado nutricional,a baja,2013-02-01,1,3,9,10,16,11,26,24,50
LA ASUNTA,estado nutricional,a baja,2013-02-01,10,3,29,17,20,22,59,42,101
LA GUARDIA,estado nutricional,a baja,2013-02-01,7,14,9,9,5,10,21,33,54
LA PAZ,estado nutricional,a baja,2013-02-01,328,240,363,269,265,253,956,762,1718
LAGUNILLAS,estado nutricional,a baja,2013-02-01,0,3,3,3,5,11,8,17,25
LAJA,estado nutricional,a baja,2013-02-01,7,3,10,16,5,5,22,24,46
LAS CARRERAS,estado nutricional,a baja,2013-02-01,1,0,3,0,5,3,9,3,12
LICOMA PAMPA,estado nutricional,a baja,2013-02-01,0,0,2,1,0,0,2,1,3
LLALLAGUA,estado nutricional,a baja,2013-02-01,30,27,68,45,24,22,122,94,216
LLICA,estado nutricional,a baja,2013-02-01,2,2,5,2,3,2,10,6,16
LORETO,estado nutricional,a baja,2013-02-01,0,0,0,0,1,1,1,1,2
LURIBAY,estado nutricional,a baja,2013-02-01,1,3,13,1,7,6,21,10,31
MACHACAMARCA,estado nutricional,a baja,2013-02-01,6,5,7,5,4,3,17,13,30
MACHARETI,estado nutricional,a baja,2013-02-01,0,0,3,0,7,7,10,7,17
MAGDALENA,estado nutricional,a baja,2013-02-01,2,1,5,4,1,4,8,9,17
MAIRANA,estado nutricional,a baja,2013-02-01,3,0,6,9,2,2,11,11,22
MALLA,estado nutricional,a baja,2013-02-01,3,1,7,3,9,5,19,9,28
MAPIRI,estado nutricional,a baja,2013-02-01,3,2,21,5,3,14,27,21,48
MECAPACA,estado nutricional,a baja,2013-02-01,6,2,15,10,11,3,32,15,47
MINEROS,estado nutricional,a baja,2013-02-01,4,4,10,2,9,4,23,10,33
MIZQUE,estado nutricional,a baja,2013-02-01,28,3,53,33,24,20,105,56,161
MOCOMOCO,estado nutricional,a baja,2013-02-01,4,2,12,6,8,10,24,18,42
MOJINETE,estado nutricional,a baja,2013-02-01,4,1,1,1,1,2,6,4,10
MOJOCOYA,estado nutricional,a baja,2013-02-01,3,2,6,5,14,15,23,22,45
MONTEAGUDO,estado nutricional,a baja,2013-02-01,4,0,16,7,18,17,38,24,62
MONTERO,estado nutricional,a baja,2013-02-01,14,4,17,6,8,12,39,22,61
MORO MORO,estado nutricional,a baja,2013-02-01,0,0,3,1,1,0,4,1,5
MOROCHATA,estado nutricional,a baja,2013-02-01,20,12,43,39,48,34,111,85,196
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,a baja,2013-02-01,2,0,0,0,1,1,3,1,4
NAZACARA DE PACAJES,estado nutricional,a baja,2013-02-01,0,0,0,1,2,1,2,2,4
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,a baja,2013-02-01,0,1,1,2,1,6,2,9,11
OCURI,estado nutricional,a baja,2013-02-01,24,22,53,39,48,49,125,110,235
OKINAWA,estado nutricional,a baja,2013-02-01,2,0,4,8,3,5,9,13,22
OMEREQUE,estado nutricional,a baja,2013-02-01,0,4,1,3,2,3,3,10,13
ORURO,estado nutricional,a baja,2013-02-01,150,102,219,153,108,110,477,365,842
PADCAYA,estado nutricional,a baja,2013-02-01,1,1,6,4,6,1,13,6,19
PADILLA,estado nutricional,a baja,2013-02-01,3,4,13,9,38,35,54,48,102
PAILON,estado nutricional,a baja,2013-02-01,2,3,2,2,3,2,7,7,14
PALCA,estado nutricional,a baja,2013-02-01,13,2,16,8,21,11,50,21,71
PALOS BLANCOS,estado nutricional,a baja,2013-02-01,12,6,31,21,28,37,71,64,135
PAMPA AULLAGAS,estado nutricional,a baja,2013-02-01,5,1,11,7,16,14,32,22,54
PAMPA GRANDE,estado nutricional,a baja,2013-02-01,1,0,7,3,1,2,9,5,14
PAPEL PAMPA,estado nutricional,a baja,2013-02-01,0,1,8,2,5,3,13,6,19
PASORAPA,estado nutricional,a baja,2013-02-01,2,0,2,6,3,2,7,8,15
PATACAMAYA,estado nutricional,a baja,2013-02-01,12,13,29,22,16,10,57,45,102
PAZÑA,estado nutricional,a baja,2013-02-01,2,0,10,10,18,14,30,24,54
PELECHUCO,estado nutricional,a baja,2013-02-01,2,0,4,1,5,6,11,7,18
POCOATA,estado nutricional,a baja,2013-02-01,15,19,59,45,64,62,138,126,264
POCONA,estado nutricional,a baja,2013-02-01,5,0,13,11,21,11,39,22,61
POJO (CBBA),estado nutricional,a baja,2013-02-01,6,3,10,9,8,12,24,24,48
POOPO,estado nutricional,a baja,2013-02-01,3,1,10,7,6,2,19,10,29
PORCO,estado nutricional,a baja,2013-02-01,19,19,20,12,17,10,56,41,97
POROMA,estado nutricional,a baja,2013-02-01,3,2,16,4,22,34,41,40,81
PORONGO,estado nutricional,a baja,2013-02-01,0,0,0,0,0,1,0,1,1
PORTACHUELO,estado nutricional,a baja,2013-02-01,1,2,1,3,3,3,5,8,13
PORVENIR,estado nutricional,a baja,2013-02-01,3,2,3,3,2,2,8,7,15
POSTRER VALLE,estado nutricional,a baja,2013-02-01,2,0,1,0,1,0,4,0,4
POTOSI,estado nutricional,a baja,2013-02-01,202,116,245,168,143,84,590,368,958
PRESTO,estado nutricional,a baja,2013-02-01,3,10,20,15,41,31,64,56,120
PUCARA,estado nutricional,a baja,2013-02-01,1,0,4,1,1,4,6,5,11
PUCARANI,estado nutricional,a baja,2013-02-01,10,5,21,18,12,6,43,29,72
PUERTO ACOSTA,estado nutricional,a baja,2013-02-01,4,4,6,5,4,4,14,13,27
PUERTO CARABUCO,estado nutricional,a baja,2013-02-01,7,4,7,7,18,9,32,20,52
PUERTO GONZALO MORENO,estado nutricional,a baja,2013-02-01,9,12,25,18,45,26,79,56,135
PUERTO PEREZ,estado nutricional,a baja,2013-02-01,0,1,2,0,0,0,2,1,3
PUERTO QUIJARRO,estado nutricional,a baja,2013-02-01,0,0,0,0,1,0,1,0,1
PUERTO RICO,estado nutricional,a baja,2013-02-01,2,1,7,4,2,5,11,10,21
PUERTO SUAREZ,estado nutricional,a baja,2013-02-01,5,1,1,2,1,3,7,6,13
PUERTO VILLARROEL,estado nutricional,a baja,2013-02-01,13,3,23,19,17,27,53,49,102
PUNA,estado nutricional,a baja,2013-02-01,11,11,36,31,31,38,78,80,158
PUNATA,estado nutricional,a baja,2013-02-01,6,4,13,20,6,13,25,37,62
QUIABAYA,estado nutricional,a baja,2013-02-01,0,0,3,3,8,4,11,7,18
QUILLACOLLO,estado nutricional,a baja,2013-02-01,31,28,55,34,25,18,111,80,191
QUIME,estado nutricional,a baja,2013-02-01,3,2,7,4,8,5,18,11,29
RAVELO,estado nutricional,a baja,2013-02-01,36,22,54,58,73,81,163,161,324
REYES,estado nutricional,a baja,2013-02-01,3,6,11,5,3,9,17,20,37
RIBERALTA,estado nutricional,a baja,2013-02-01,42,32,92,65,48,39,182,136,318
ROBORE,estado nutricional,a baja,2013-02-01,0,1,0,0,0,1,0,2,2
RURRENABAQUE,estado nutricional,a baja,2013-02-01,4,2,5,3,3,1,12,6,18
SABAYA,estado nutricional,a baja,2013-02-01,1,0,1,1,0,3,2,4,6
SACABA,estado nutricional,a baja,2013-02-01,41,26,92,45,57,46,190,117,307
SACABAMBA,estado nutricional,a baja,2013-02-01,4,2,10,7,5,11,19,20,39
SACACA,estado nutricional,a baja,2013-02-01,47,22,76,62,72,66,195,150,345
SAIPINA,estado nutricional,a baja,2013-02-01,1,1,2,4,5,6,8,11,19
SALINAS DE GARCI MENDOZA,estado nutricional,a baja,2013-02-01,12,6,22,13,22,19,56,38,94
SAMAIPATA,estado nutricional,a baja,2013-02-01,1,0,4,1,4,0,9,1,10
SAN AGUSTIN,estado nutricional,a baja,2013-02-01,1,1,3,0,2,0,6,1,7
SAN ANDRES,estado nutricional,a baja,2013-02-01,1,1,2,0,0,1,3,2,5
SAN ANDRES DE MACHACA,estado nutricional,a baja,2013-02-01,0,0,1,2,2,2,3,4,7
SAN ANTONIO DE ESMORUCO,estado nutricional,a baja,2013-02-01,2,2,3,6,3,2,8,10,18
SAN ANTONIO DE LOMERIO,estado nutricional,a baja,2013-02-01,4,4,11,9,10,12,25,25,50
SAN BENITO,estado nutricional,a baja,2013-02-01,4,8,12,6,7,6,23,20,43
SAN BORJA,estado nutricional,a baja,2013-02-01,25,7,37,26,57,43,119,76,195
SAN BUENA VENTURA,estado nutricional,a baja,2013-02-01,2,5,7,0,8,6,17,11,28
SAN CARLOS,estado nutricional,a baja,2013-02-01,2,3,3,3,7,5,12,11,23
SAN IGNACIO,estado nutricional,a baja,2013-02-01,13,5,16,10,21,15,50,30,80
SAN IGNACIO DE VELASCO,estado nutricional,a baja,2013-02-01,6,6,27,17,18,20,51,43,94
SAN JAVIER(STC),estado nutricional,a baja,2013-02-01,1,1,1,3,2,1,4,5,9
SAN JOAQUIN,estado nutricional,a baja,2013-02-01,2,0,6,2,2,1,10,3,13
SAN JOSE DE CHIQUITOS,estado nutricional,a baja,2013-02-01,4,3,10,4,3,2,17,9,26
SAN JUAN DE YAPACANI,estado nutricional,a baja,2013-02-01,1,1,1,0,1,0,3,1,4
SAN JULIAN,estado nutricional,a baja,2013-02-01,3,4,8,13,9,12,20,29,49
SAN LORENZO(PND),estado nutricional,a baja,2013-02-01,2,1,4,4,2,4,8,9,17
SAN LORENZO(TJA),estado nutricional,a baja,2013-02-01,16,11,12,6,19,14,47,31,78
SAN LUCAS,estado nutricional,a baja,2013-02-01,23,23,49,51,69,104,141,178,319
SAN MATIAS,estado nutricional,a baja,2013-02-01,0,2,2,5,2,2,4,9,13
SAN MIGUEL DE VELASCO,estado nutricional,a baja,2013-02-01,22,7,33,17,22,16,77,40,117
SAN PABLO DE LIPEZ,estado nutricional,a baja,2013-02-01,1,1,4,2,2,2,7,5,12
SAN PEDRO,estado nutricional,a baja,2013-02-01,1,1,2,7,9,3,12,11,23
SAN PEDRO DE BUENA VISTA,estado nutricional,a baja,2013-02-01,38,29,75,50,60,64,173,143,316
SAN PEDRO DE CURAHUARA,estado nutricional,a baja,2013-02-01,0,0,6,3,1,4,7,7,14
SAN PEDRO DE QUEMES,estado nutricional,a baja,2013-02-01,0,1,1,1,3,2,4,4,8
SAN PEDRO DE TIQUINA,estado nutricional,a baja,2013-02-01,0,0,2,0,1,1,3,1,4
SAN PEDRO(PND),estado nutricional,a baja,2013-02-01,0,0,1,0,0,4,1,4,5
SAN RAFAEL,estado nutricional,a baja,2013-02-01,5,1,10,13,3,6,18,20,38
SAN RAMON BENI,estado nutricional,a baja,2013-02-01,1,0,0,0,3,0,4,0,4
SANTA ANA,estado nutricional,a baja,2013-02-01,2,0,1,1,0,0,3,1,4
SANTA CRUZ DE LA SIERRA,estado nutricional,a baja,2013-02-01,111,99,102,74,63,78,276,251,527
SANTA ROSA,estado nutricional,a baja,2013-02-01,1,0,2,1,3,0,6,1,7
SANTA ROSA DEL SARA,estado nutricional,a baja,2013-02-01,0,1,3,0,1,2,4,3,7
SANTIAGO DE CALLAPA,estado nutricional,a baja,2013-02-01,1,1,3,6,0,3,4,10,14
SANTIAGO DE HUARI,estado nutricional,a baja,2013-02-01,8,7,17,9,19,11,44,27,71
SANTIAGO DE HUATA,estado nutricional,a baja,2013-02-01,5,3,6,4,3,5,14,12,26
SANTIAGO DE MACHACA,estado nutricional,a baja,2013-02-01,9,1,6,8,5,10,20,19,39
SANTIVAÑES,estado nutricional,a baja,2013-02-01,2,2,4,0,2,3,8,5,13
SANTUARIO DE QUILLACAS,estado nutricional,a baja,2013-02-01,0,0,6,6,3,2,9,8,17
SAPAHAQUI,estado nutricional,a baja,2013-02-01,6,4,12,5,10,9,28,18,46
SENA,estado nutricional,a baja,2013-02-01,2,3,5,5,5,6,12,14,26
SHINAOTA,estado nutricional,a baja,2013-02-01,6,7,8,8,12,14,26,29,55
SICA SICA (VILLA AROMA),estado nutricional,a baja,2013-02-01,14,7,29,14,22,17,65,38,103
SICAYA,estado nutricional,a baja,2013-02-01,0,3,6,11,10,4,16,18,34
SIPE SIPE,estado nutricional,a baja,2013-02-01,21,16,44,26,18,21,83,63,146
SOPACHUY,estado nutricional,a baja,2013-02-01,4,4,10,10,31,42,45,56,101
SORACACHI,estado nutricional,a baja,2013-02-01,8,11,15,14,23,14,46,39,85
SORATA,estado nutricional,a baja,2013-02-01,5,3,10,6,17,10,32,19,51
SUCRE,estado nutricional,a baja,2013-02-01,78,54,163,96,107,110,348,260,608
TACACOMA,estado nutricional,a baja,2013-02-01,2,1,2,3,8,4,12,8,20
TACOBAMBA,estado nutricional,a baja,2013-02-01,9,3,16,9,7,5,32,17,49
TACOPAYA,estado nutricional,a baja,2013-02-01,11,5,30,12,27,22,68,39,107
TAHUA,estado nutricional,a baja,2013-02-01,2,0,3,0,0,3,5,3,8
TAPACARI,estado nutricional,a baja,2013-02-01,44,23,72,48,55,51,171,122,293
TARABUCO,estado nutricional,a baja,2013-02-01,16,12,42,21,79,99,137,132,269
TARACO,estado nutricional,a baja,2013-02-01,0,0,2,1,1,0,3,1,4
