,group,variable,month,A NORMAL < DE 1 AÑO,A NORMAL < DE 1 AÑO,A NORMAL 1 A MENOR DE 2 AÑOS,A NORMAL 1 A MENOR DE 2 AÑOS,A NORMAL 2 A MENOR DE 5 AÑOS,A NORMAL 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
TODOS SANTOS,estado nutricional,a normal,2013-01-01,0,3,2,2,0,0,2,5,7
TOLATA,estado nutricional,a normal,2013-01-01,20,24,35,25,29,27,84,76,160
TOLEDO,estado nutricional,a normal,2013-01-01,33,44,35,37,41,33,109,114,223
TOMAVE,estado nutricional,a normal,2013-01-01,87,73,44,41,38,57,169,171,340
TOMINA,estado nutricional,a normal,2013-01-01,61,64,69,70,98,121,228,255,483
TORO TORO,estado nutricional,a normal,2013-01-01,69,65,54,61,65,55,188,181,369
TOTORA(CBBA),estado nutricional,a normal,2013-01-01,166,134,125,104,58,51,349,289,638
TOTORA(ORR),estado nutricional,a normal,2013-01-01,27,27,28,34,20,45,75,106,181
TRIGAL,estado nutricional,a normal,2013-01-01,5,6,7,4,7,7,19,17,36
TRINIDAD,estado nutricional,a normal,2013-01-01,819,848,562,489,415,414,1796,1751,3547
TUPIZA,estado nutricional,a normal,2013-01-01,329,340,243,231,255,239,827,810,1637
TURCO,estado nutricional,a normal,2013-01-01,25,31,45,28,30,28,100,87,187
UMALA,estado nutricional,a normal,2013-01-01,48,47,38,46,59,45,145,138,283
UNCIA,estado nutricional,a normal,2013-01-01,157,148,87,105,85,73,329,326,655
URIONDO (A. CONCEPCION),estado nutricional,a normal,2013-01-01,151,125,103,98,127,91,381,314,695
URUBICHA,estado nutricional,a normal,2013-01-01,76,63,76,63,45,30,197,156,353
UYUNI,estado nutricional,a normal,2013-01-01,164,138,106,120,34,37,304,295,599
VACAS,estado nutricional,a normal,2013-01-01,71,70,75,71,57,43,203,184,387
VALLEGRANDE,estado nutricional,a normal,2013-01-01,96,98,111,102,71,91,278,291,569
VIACHA,estado nutricional,a normal,2013-01-01,397,337,289,310,208,190,894,837,1731
VILA VILA,estado nutricional,a normal,2013-01-01,29,40,14,33,29,28,72,101,173
VILLA CHARCAS,estado nutricional,a normal,2013-01-01,135,139,67,78,91,86,293,303,596
VILLA MONTES,estado nutricional,a normal,2013-01-01,318,331,265,272,263,235,846,838,1684
VILLA NUEVA (LOMA ALTA),estado nutricional,a normal,2013-01-01,63,39,32,42,51,62,146,143,289
VILLA RIVERO,estado nutricional,a normal,2013-01-01,92,74,54,55,46,27,192,156,348
VILLA SERRANO,estado nutricional,a normal,2013-01-01,73,76,77,80,144,125,294,281,575
VILLA TUNARI,estado nutricional,a normal,2013-01-01,853,790,786,712,690,661,2329,2163,4492
VILLA VACA GUZMAN (MUYUPAMPA),estado nutricional,a normal,2013-01-01,72,79,75,63,100,94,247,236,483
VILLAZON,estado nutricional,a normal,2013-01-01,281,265,242,253,219,202,742,720,1462
VINTO,estado nutricional,a normal,2013-01-01,312,290,249,192,84,73,645,555,1200
VITICHI,estado nutricional,a normal,2013-01-01,43,42,42,37,59,57,144,136,280
WALDO BALLIVIAN,estado nutricional,a normal,2013-01-01,12,16,17,20,7,13,36,49,85
WARNES,estado nutricional,a normal,2013-01-01,482,381,412,390,296,291,1190,1062,2252
YACO,estado nutricional,a normal,2013-01-01,49,68,43,39,42,53,134,160,294
YACUIBA,estado nutricional,a normal,2013-01-01,467,434,340,287,327,283,1134,1004,2138
YAMPARAEZ,estado nutricional,a normal,2013-01-01,61,42,33,37,73,80,167,159,326
YANACACHI,estado nutricional,a normal,2013-01-01,5,6,0,6,3,12,8,24,32
YAPACANI,estado nutricional,a normal,2013-01-01,496,472,323,124,271,283,1090,879,1969
YOCALLA,estado nutricional,a normal,2013-01-01,81,59,58,45,54,46,193,150,343
YOTALA,estado nutricional,a normal,2013-01-01,49,55,39,35,72,79,160,169,329
YUNCHARA,estado nutricional,a normal,2013-01-01,51,45,16,43,85,65,152,153,305
YUNGUYO DE LITORAL,estado nutricional,a normal,2013-01-01,2,3,0,0,0,0,2,3,5
ZUDAÑEZ,estado nutricional,a normal,2013-01-01,58,61,44,31,116,115,218,207,425
ACACIO,estado nutricional,a normal,2013-02-01,37,40,28,31,39,34,104,105,209
ACHACACHI,estado nutricional,a normal,2013-02-01,193,195,186,161,130,132,509,488,997
ACHOCALLA,estado nutricional,a normal,2013-02-01,75,68,44,47,63,50,182,165,347
AIQUILE,estado nutricional,a normal,2013-02-01,191,173,135,170,124,118,450,461,911
ALALAY,estado nutricional,a normal,2013-02-01,30,27,10,18,14,5,54,50,104
ALCALA,estado nutricional,a normal,2013-02-01,31,33,24,23,47,48,102,104,206
ALTO BENI,estado nutricional,a normal,2013-02-01,84,67,81,82,57,61,222,210,432
ANCORAIMES,estado nutricional,a normal,2013-02-01,43,53,64,45,74,77,181,175,356
ANDAMARCA,estado nutricional,a normal,2013-02-01,20,36,18,20,45,62,83,118,201
ANTEQUERA,estado nutricional,a normal,2013-02-01,25,35,21,12,15,15,61,62,123
ANZALDO,estado nutricional,a normal,2013-02-01,44,51,51,62,41,43,136,156,292
APOLO,estado nutricional,a normal,2013-02-01,177,158,112,128,123,96,412,382,794
ARAMPAMPA,estado nutricional,a normal,2013-02-01,32,35,14,19,33,26,79,80,159
ARANI,estado nutricional,a normal,2013-02-01,85,86,68,85,57,54,210,225,435
ARBIETO,estado nutricional,a normal,2013-02-01,139,136,112,114,134,125,385,375,760
ARQUE,estado nutricional,a normal,2013-02-01,111,112,94,78,62,74,267,264,531
ASCENCION DE GUARAYOS,estado nutricional,a normal,2013-02-01,166,170,109,131,92,70,367,371,738
ATOCHA,estado nutricional,a normal,2013-02-01,67,63,52,59,72,81,191,203,394
AUCAPATA,estado nutricional,a normal,2013-02-01,28,33,21,30,23,16,72,79,151
AYATA,estado nutricional,a normal,2013-02-01,55,68,48,58,25,32,128,158,286
AYO AYO,estado nutricional,a normal,2013-02-01,44,66,30,51,24,26,98,143,241
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,a normal,2013-02-01,183,206,177,170,141,92,501,468,969
AZURDUY,estado nutricional,a normal,2013-02-01,66,70,59,53,84,88,209,211,420
BATALLAS,estado nutricional,a normal,2013-02-01,119,114,102,84,87,96,308,294,602
BAURES,estado nutricional,a normal,2013-02-01,38,34,22,18,37,29,97,81,178
BELEN DE ANDAMARCA,estado nutricional,a normal,2013-02-01,18,14,7,10,22,9,47,33,80
BELEN DE URMIRI,estado nutricional,a normal,2013-02-01,12,8,5,5,3,7,20,20,40
BELLA FLOR,estado nutricional,a normal,2013-02-01,19,14,13,15,25,22,57,51,108
BERMEJO,estado nutricional,a normal,2013-02-01,227,203,202,117,153,147,582,467,1049
BETANZOS,estado nutricional,a normal,2013-02-01,229,226,177,192,155,159,561,577,1138
BOLIVAR,estado nutricional,a normal,2013-02-01,56,47,33,34,46,42,135,123,258
BOLPEBRA,estado nutricional,a normal,2013-02-01,16,12,16,16,10,30,42,58,100
BOYUIBE,estado nutricional,a normal,2013-02-01,26,29,21,31,33,31,80,91,171
BUENA VISTA,estado nutricional,a normal,2013-02-01,120,114,113,92,73,66,306,272,578
CABEZAS,estado nutricional,a normal,2013-02-01,135,123,79,91,95,90,309,304,613
CAIROMA,estado nutricional,a normal,2013-02-01,74,67,55,70,49,35,178,172,350
"CAIZA ""D""",estado nutricional,a normal,2013-02-01,76,69,53,52,47,46,176,167,343
CAJUATA,estado nutricional,a normal,2013-02-01,35,51,29,28,50,38,114,117,231
CALACOTO,estado nutricional,a normal,2013-02-01,33,28,18,27,18,12,69,67,136
CALAMARCA,estado nutricional,a normal,2013-02-01,75,77,65,88,46,53,186,218,404
CAMARGO,estado nutricional,a normal,2013-02-01,128,118,70,80,82,89,280,287,567
CAMATAQUI (C. VILLA ABECIA),estado nutricional,a normal,2013-02-01,19,20,22,17,25,22,66,59,125
CAMIRI,estado nutricional,a normal,2013-02-01,309,255,222,178,274,295,805,728,1533
CAPINOTA,estado nutricional,a normal,2013-02-01,62,30,38,38,38,35,138,103,241
CAQUIAVIRI,estado nutricional,a normal,2013-02-01,52,41,52,42,41,22,145,105,250
CARACOLLO,estado nutricional,a normal,2013-02-01,134,166,117,102,138,116,389,384,773
CARANAVI,estado nutricional,a normal,2013-02-01,357,342,262,255,243,182,862,779,1641
CARANGAS,estado nutricional,a normal,2013-02-01,0,3,2,3,2,1,4,7,11
CARAPARI,estado nutricional,a normal,2013-02-01,128,140,104,82,96,96,328,318,646
CARIPUYO,estado nutricional,a normal,2013-02-01,62,74,40,48,21,26,123,148,271
CARMEN RIVERO TORREZ,estado nutricional,a normal,2013-02-01,32,24,28,10,25,21,85,55,140
CATACORA,estado nutricional,a normal,2013-02-01,0,2,7,4,8,3,15,9,24
CHACARILLA,estado nutricional,a normal,2013-02-01,6,2,7,2,7,8,20,12,32
CHALLAPATA,estado nutricional,a normal,2013-02-01,260,277,183,182,281,247,724,706,1430
CHAQUI,estado nutricional,a normal,2013-02-01,48,58,36,30,20,22,104,110,214
CHARAGUA,estado nutricional,a normal,2013-02-01,262,232,164,166,180,169,606,567,1173
CHARAÑA,estado nutricional,a normal,2013-02-01,8,15,16,5,14,6,38,26,64
CHAYANTA,estado nutricional,a normal,2013-02-01,85,91,54,60,52,46,191,197,388
CHIMORE,estado nutricional,a normal,2013-02-01,104,96,84,81,73,68,261,245,506
CHIPAYA,estado nutricional,a normal,2013-02-01,18,11,13,10,13,16,44,37,81
CHOQUE COTA,estado nutricional,a normal,2013-02-01,5,6,6,1,9,6,20,13,33
CHUA COCANI,estado nutricional,a normal,2013-02-01,6,5,4,5,6,3,16,13,29
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,a normal,2013-02-01,102,98,47,54,43,60,192,212,404
CHUMA,estado nutricional,a normal,2013-02-01,60,50,62,66,39,34,161,150,311
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,a normal,2013-02-01,41,34,41,30,23,24,105,88,193
CKOCHAS,estado nutricional,a normal,2013-02-01,128,115,96,79,48,45,272,239,511
CLIZA,estado nutricional,a normal,2013-02-01,179,152,98,104,98,76,375,332,707
COBIJA,estado nutricional,a normal,2013-02-01,479,439,266,269,245,243,990,951,1941
COCAPATA,estado nutricional,a normal,2013-02-01,103,113,94,99,97,85,294,297,591
COCHABAMBA,estado nutricional,a normal,2013-02-01,2896,2575,1835,1579,1211,1031,5942,5185,11127
COIPASA,estado nutricional,a normal,2013-02-01,4,4,5,4,12,8,21,16,37
COLCAPIRHUA,estado nutricional,a normal,2013-02-01,298,326,306,262,150,152,754,740,1494
"COLCHA ""K""",estado nutricional,a normal,2013-02-01,100,112,75,80,66,75,241,267,508
COLLANA,estado nutricional,a normal,2013-02-01,18,11,10,14,16,15,44,40,84
COLOMI,estado nutricional,a normal,2013-02-01,148,152,107,96,76,76,331,324,655
COLPA BELGICA,estado nutricional,a normal,2013-02-01,8,7,3,1,2,3,13,11,24
COLQUECHACA,estado nutricional,a normal,2013-02-01,212,226,184,167,79,75,475,468,943
COLQUENCHA,estado nutricional,a normal,2013-02-01,56,55,52,62,27,27,135,144,279
COLQUIRI,estado nutricional,a normal,2013-02-01,139,140,86,98,61,80,286,318,604
COMANCHE,estado nutricional,a normal,2013-02-01,23,12,16,16,13,10,52,38,90
COMARAPA,estado nutricional,a normal,2013-02-01,126,94,111,86,46,60,283,240,523
COMBAYA,estado nutricional,a normal,2013-02-01,17,13,22,15,21,22,60,50,110
CONCEPCION,estado nutricional,a normal,2013-02-01,129,135,70,81,68,83,267,299,566
COPACABANA,estado nutricional,a normal,2013-02-01,55,55,56,42,48,51,159,148,307
CORIPATA,estado nutricional,a normal,2013-02-01,131,101,89,77,91,89,311,267,578
CORO CORO,estado nutricional,a normal,2013-02-01,35,46,37,39,28,25,100,110,210
COROICO,estado nutricional,a normal,2013-02-01,105,80,75,81,78,73,258,234,492
CORQUE,estado nutricional,a normal,2013-02-01,34,43,41,32,28,27,103,102,205
COTAGAITA,estado nutricional,a normal,2013-02-01,144,131,77,95,100,109,321,335,656
COTOCA,estado nutricional,a normal,2013-02-01,307,312,189,164,106,101,602,577,1179
CRUZ DE MACHACAMARCA,estado nutricional,a normal,2013-02-01,1,2,0,3,10,3,11,8,19
CUATRO CAÑADAS,estado nutricional,a normal,2013-02-01,165,139,115,122,144,163,424,424,848
CUCHUMUELA (V. G. VILLARROEL),estado nutricional,a normal,2013-02-01,4,6,6,3,3,6,13,15,28
CUEVO,estado nutricional,a normal,2013-02-01,28,27,23,36,44,36,95,99,194
CULPINA,estado nutricional,a normal,2013-02-01,141,160,120,115,151,132,412,407,819
CURAHUARA DE CARANGAS,estado nutricional,a normal,2013-02-01,31,41,27,27,19,24,77,92,169
CURVA,estado nutricional,a normal,2013-02-01,15,23,15,21,19,11,49,55,104
DESAGUADERO,estado nutricional,a normal,2013-02-01,23,38,15,15,13,16,51,69,120
EL ALTO,estado nutricional,a normal,2013-02-01,4121,3935,2975,2945,1983,1928,9079,8808,17887
EL CHORO,estado nutricional,a normal,2013-02-01,55,44,37,45,51,65,143,154,297
EL PUENTE(STC),estado nutricional,a normal,2013-02-01,91,79,81,84,61,58,233,221,454
EL PUENTE(TJA),estado nutricional,a normal,2013-02-01,88,83,73,62,57,71,218,216,434
EL TORNO,estado nutricional,a normal,2013-02-01,334,344,243,203,230,228,807,775,1582
EL VILLAR,estado nutricional,a normal,2013-02-01,35,21,32,23,50,49,117,93,210
ENTRE RIOS TRJ,estado nutricional,a normal,2013-02-01,183,169,132,149,116,122,431,440,871
ENTRE RIOS CBBA,estado nutricional,a normal,2013-02-01,283,253,239,227,151,165,673,645,1318
ESCARA,estado nutricional,a normal,2013-02-01,0,1,1,0,0,1,1,2,3
ESCOMA,estado nutricional,a normal,2013-02-01,16,22,22,14,11,22,49,58,107
ESMERALDA,estado nutricional,a normal,2013-02-01,1,6,4,1,6,2,11,9,20
EUCALIPTUS,estado nutricional,a normal,2013-02-01,68,51,29,34,36,35,133,120,253
EUREKA (SANTOS MERCADO),estado nutricional,a normal,2013-02-01,12,17,11,11,13,24,36,52,88
EXALTACION,estado nutricional,a normal,2013-02-01,7,13,9,10,8,5,24,28,52
FERNANDEZ ALONSO,estado nutricional,a normal,2013-02-01,106,58,85,84,117,83,308,225,533
FILADELFIA,estado nutricional,a normal,2013-02-01,42,54,46,33,31,24,119,111,230
GENERAL SAAVEDRA,estado nutricional,a normal,2013-02-01,137,131,119,111,102,93,358,335,693
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,a normal,2013-02-01,74,69,48,51,32,41,154,161,315
GUANAY,estado nutricional,a normal,2013-02-01,102,106,81,102,91,101,274,309,583
GUAQUI,estado nutricional,a normal,2013-02-01,41,38,34,37,25,28,100,103,203
GUAYARAMERIN,estado nutricional,a normal,2013-02-01,479,423,293,362,249,252,1021,1037,2058
GUTIERREZ,estado nutricional,a normal,2013-02-01,163,165,146,145,151,172,460,482,942
HUACARETA,estado nutricional,a normal,2013-02-01,71,78,73,71,104,96,248,245,493
HUACAYA (VILLA DE HUACAYA),estado nutricional,a normal,2013-02-01,35,30,14,20,45,38,94,88,182
HUACHACALLA,estado nutricional,a normal,2013-02-01,5,10,15,4,23,18,43,32,75
HUANUNI,estado nutricional,a normal,2013-02-01,181,183,89,101,84,94,354,378,732
HUARACAJE,estado nutricional,a normal,2013-02-01,26,35,23,25,16,30,65,90,155
HUARINA,estado nutricional,a normal,2013-02-01,33,44,22,27,24,35,79,106,185
HUATAJATA,estado nutricional,a normal,2013-02-01,20,18,22,16,24,25,66,59,125
HUAYLLAMARCA,estado nutricional,a normal,2013-02-01,22,24,20,21,36,29,78,74,152
HUMANATA,estado nutricional,a normal,2013-02-01,21,28,17,20,11,12,49,60,109
ICHOCA,estado nutricional,a normal,2013-02-01,14,14,21,13,13,9,48,36,84
ICLA,estado nutricional,a normal,2013-02-01,58,62,39,45,89,121,186,228,414
INCAHUASI,estado nutricional,a normal,2013-02-01,85,65,57,50,88,71,230,186,416
INGAVI (HUMAITA),estado nutricional,a normal,2013-02-01,15,11,11,6,5,11,31,28,59
INQUISIVI,estado nutricional,a normal,2013-02-01,49,42,47,32,37,34,133,108,241
IRUPANA (VILLA DE LANZA),estado nutricional,a normal,2013-02-01,77,91,67,81,97,87,241,259,500
IXIAMAS,estado nutricional,a normal,2013-02-01,67,76,64,48,46,54,177,178,355
JESUS DE MACHACA,estado nutricional,a normal,2013-02-01,66,82,62,68,55,69,183,219,402
LA ASUNTA,estado nutricional,a normal,2013-02-01,273,283,200,193,161,137,634,613,1247
LA GUARDIA,estado nutricional,a normal,2013-02-01,528,558,264,268,217,204,1009,1030,2039
LA PAZ,estado nutricional,a normal,2013-02-01,3922,3667,2556,2469,2570,2406,9048,8542,17590
LA RIVERA,estado nutricional,a normal,2013-02-01,1,1,8,1,0,0,9,2,11
LAGUNILLAS,estado nutricional,a normal,2013-02-01,49,57,44,38,91,85,184,180,364
LAJA,estado nutricional,a normal,2013-02-01,95,100,77,73,106,82,278,255,533
LAS CARRERAS,estado nutricional,a normal,2013-02-01,33,25,24,29,43,32,100,86,186
LICOMA PAMPA,estado nutricional,a normal,2013-02-01,23,22,19,16,15,12,57,50,107
LLALLAGUA,estado nutricional,a normal,2013-02-01,284,245,194,192,69,68,547,505,1052
LLICA,estado nutricional,a normal,2013-02-01,35,29,94,22,8,11,137,62,199
LORETO,estado nutricional,a normal,2013-02-01,14,14,20,14,38,35,72,63,135
LURIBAY,estado nutricional,a normal,2013-02-01,48,49,56,55,59,49,163,153,316
MACHACAMARCA,estado nutricional,a normal,2013-02-01,38,32,19,30,23,23,80,85,165
MACHARETI,estado nutricional,a normal,2013-02-01,64,53,43,61,154,95,261,209,470
MAGDALENA,estado nutricional,a normal,2013-02-01,82,79,50,50,55,66,187,195,382
MAIRANA,estado nutricional,a normal,2013-02-01,85,70,57,67,29,30,171,167,338
MALLA,estado nutricional,a normal,2013-02-01,9,15,4,7,11,13,24,35,59
MAPIRI,estado nutricional,a normal,2013-02-01,112,103,87,80,73,75,272,258,530
MECAPACA,estado nutricional,a normal,2013-02-01,74,65,72,70,53,50,199,185,384
MINEROS,estado nutricional,a normal,2013-02-01,166,153,135,123,109,94,410,370,780
MIZQUE,estado nutricional,a normal,2013-02-01,312,253,232,250,119,118,663,621,1284
MOCOMOCO,estado nutricional,a normal,2013-02-01,67,85,92,69,65,49,224,203,427
MOJINETE,estado nutricional,a normal,2013-02-01,1,7,2,3,3,5,6,15,21
MOJOCOYA,estado nutricional,a normal,2013-02-01,57,39,43,47,70,86,170,172,342
MONTEAGUDO,estado nutricional,a normal,2013-02-01,200,191,199,183,216,191,615,565,1180
MONTERO,estado nutricional,a normal,2013-02-01,938,884,610,678,500,478,2048,2040,4088
MORO MORO,estado nutricional,a normal,2013-02-01,24,26,21,18,19,18,64,62,126
MOROCHATA,estado nutricional,a normal,2013-02-01,67,73,51,71,62,52,180,196,376
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,a normal,2013-02-01,19,16,19,8,8,7,46,31,77
NAZACARA DE PACAJES,estado nutricional,a normal,2013-02-01,1,2,9,3,9,7,19,12,31
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,a normal,2013-02-01,27,27,16,19,60,36,103,82,185
OCURI,estado nutricional,a normal,2013-02-01,88,81,66,59,49,50,203,190,393
OKINAWA,estado nutricional,a normal,2013-02-01,143,116,111,117,108,95,362,328,690
OMEREQUE,estado nutricional,a normal,2013-02-01,81,38,81,44,73,87,235,169,404
ORURO,estado nutricional,a normal,2013-02-01,1535,1485,1108,1063,647,619,3290,3167,6457
PADCAYA,estado nutricional,a normal,2013-02-01,132,128,118,117,150,134,400,379,779
PADILLA,estado nutricional,a normal,2013-02-01,73,93,61,83,137,155,271,331,602
PAILON,estado nutricional,a normal,2013-02-01,215,177,161,112,189,140,565,429,994
PALCA,estado nutricional,a normal,2013-02-01,122,113,84,67,69,68,275,248,523
PALOS BLANCOS,estado nutricional,a normal,2013-02-01,232,223,185,203,215,210,632,636,1268
PAMPA AULLAGAS,estado nutricional,a normal,2013-02-01,23,14,11,15,17,14,51,43,94
PAMPA GRANDE,estado nutricional,a normal,2013-02-01,51,53,32,57,27,31,110,141,251
PAPEL PAMPA,estado nutricional,a normal,2013-02-01,41,42,36,28,30,31,107,101,208
PASORAPA,estado nutricional,a normal,2013-02-01,26,24,21,24,34,31,81,79,160
PATACAMAYA,estado nutricional,a normal,2013-02-01,116,127,88,101,56,64,260,292,552
PAZÑA,estado nutricional,a normal,2013-02-01,48,45,52,32,59,50,159,127,286
PELECHUCO,estado nutricional,a normal,2013-02-01,55,31,33,29,34,26,122,86,208
POCOATA,estado nutricional,a normal,2013-02-01,118,136,102,114,88,78,308,328,636
POCONA,estado nutricional,a normal,2013-02-01,93,83,85,72,89,74,267,229,496
POJO (CBBA),estado nutricional,a normal,2013-02-01,92,82,87,82,85,75,264,239,503
POOPO,estado nutricional,a normal,2013-02-01,44,46,24,32,18,22,86,100,186
PORCO,estado nutricional,a normal,2013-02-01,114,102,54,55,46,38,214,195,409
POROMA,estado nutricional,a normal,2013-02-01,88,90,79,93,98,98,265,281,546
PORONGO,estado nutricional,a normal,2013-02-01,61,47,42,52,36,33,139,132,271
PORTACHUELO,estado nutricional,a normal,2013-02-01,47,77,27,32,16,18,90,127,217
PORVENIR,estado nutricional,a normal,2013-02-01,42,36,48,34,54,48,144,118,262
POSTRER VALLE,estado nutricional,a normal,2013-02-01,17,13,10,12,8,17,35,42,77
POTOSI,estado nutricional,a normal,2013-02-01,1223,1140,607,618,486,489,2316,2247,4563
PRESTO,estado nutricional,a normal,2013-02-01,66,59,37,37,48,53,151,149,300
PUCARA,estado nutricional,a normal,2013-02-01,21,6,12,9,17,23,50,38,88
PUCARANI,estado nutricional,a normal,2013-02-01,182,191,177,180,100,97,459,468,927
PUERTO ACOSTA,estado nutricional,a normal,2013-02-01,63,52,45,44,33,42,141,138,279
PUERTO CARABUCO,estado nutricional,a normal,2013-02-01,70,69,57,69,71,55,198,193,391
PUERTO GONZALO MORENO,estado nutricional,a normal,2013-02-01,64,94,60,54,89,78,213,226,439
PUERTO PEREZ,estado nutricional,a normal,2013-02-01,25,31,35,21,40,45,100,97,197
PUERTO QUIJARRO,estado nutricional,a normal,2013-02-01,189,134,92,73,61,51,342,258,600
PUERTO RICO,estado nutricional,a normal,2013-02-01,55,56,38,51,25,31,118,138,256
PUERTO SILES,estado nutricional,a normal,2013-02-01,9,3,3,2,8,9,20,14,34
PUERTO SUAREZ,estado nutricional,a normal,2013-02-01,103,122,73,56,49,47,225,225,450
PUERTO VILLARROEL,estado nutricional,a normal,2013-02-01,497,385,433,343,306,275,1236,1003,2239
PUNA,estado nutricional,a normal,2013-02-01,150,147,99,118,104,106,353,371,724
PUNATA,estado nutricional,a normal,2013-02-01,245,200,115,121,116,117,476,438,914
QUIABAYA,estado nutricional,a normal,2013-02-01,12,13,12,12,19,11,43,36,79
QUILLACOLLO,estado nutricional,a normal,2013-02-01,868,665,555,474,498,438,1921,1577,3498
QUIME,estado nutricional,a normal,2013-02-01,58,41,50,48,49,34,157,123,280
