,group,variable,month,TOTAL PENTAVALENTE 4TA. DOSIS (1ER. REFUERZO) DENTRO,TOTAL PENTAVALENTE 4TA. DOSIS (1ER. REFUERZO) DENTRO,TOTAL PENTAVALENTE 4TA. DOSIS (1ER. REFUERZO) FUERA,TOTAL PENTAVALENTE 4TA. DOSIS (1ER. REFUERZO) FUERA,TOTALES
TAPACARI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,2,1,2,1,6
TARACO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,0,0,1,0,1
TARATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,1,2,3,4,10
TARIJA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,18,17,0,3,38
TEOPONTE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,0,2,0,0,2
TIAWANACU,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,2,0,0,0,2
TIPUANI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,2,4,0,1,7
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,22,18,0,1,41
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,2,2,7,4,15
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,0,3,0,0,3
TOCO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,0,4,1,2,7
TOLATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,0,0,3,1,4
TOMAVE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,1,3,0,0,4
TOMINA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,1,0,0,0,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,1,2,2,2,7
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,29,40,7,11,87
TUPIZA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,6,9,0,2,17
TURCO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,0,2,0,0,2
UMALA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,2,1,1,0,4
UNCIA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,6,1,0,0,7
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,1,0,0,0,1
URUBICHA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,0,1,0,0,1
UYUNI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,1,0,0,0,1
VACAS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,0,2,3,2,7
VALLEGRANDE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,1,1,0,0,2
VIACHA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,17,13,4,5,39
VILA VILA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,1,4,0,0,5
VILLA CHARCAS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,0,2,0,0,2
VILLA MONTES,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,4,2,2,1,9
VILLA SERRANO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,5,1,0,0,6
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,15,14,5,4,38
VILLAZON,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,9,9,0,0,18
VINTO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,4,6,0,4,14
WARNES,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,17,25,0,0,42
YACUIBA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,12,13,1,10,36
YAMPARAEZ,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,1,0,0,0,1
YANACACHI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,1,0,0,0,1
YAPACANI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,12,6,4,4,26
YOCALLA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,1,0,0,0,1
YOTALA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,0,0,1,1,2
YUNCHARA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,0,0,1,0,1
ZUDAÑEZ,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,0,0,1,1,2
ACACIO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,0,1,0,0,1
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,1,7,1,3,12
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,3,1,2,2,8
AIQUILE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,1,0,4,1,6
ALALAY,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,0,1,0,4,5
ALCALA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,0,0,0,1,1
ALTO BENI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,0,1,0,2,3
ANTEQUERA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,0,0,1,1,2
ANZALDO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,0,0,0,2,2
APOLO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,0,0,1,0,1
ARANI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,1,3,2,0,6
ARBIETO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,1,2,1,2,6
ARQUE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,0,1,0,1,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,4,2,0,0,6
ATOCHA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,0,2,0,2,4
AYATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,0,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,7,2,4,4,17
AZURDUY,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,0,0,1,0,1
BATALLAS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,0,4,5,3,12
BAURES,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,1,0,2,3,6
BELEN DE URMIRI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,0,0,2,2,4
BELLA FLOR,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,1,0,2,0,3
BERMEJO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,1,0,0,0,1
BETANZOS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,4,2,9,1,16
BOLPEBRA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,1,0,0,0,1
BOYUIBE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,2,0,0,0,2
BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,1,2,6,6,15
CABEZAS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,7,0,5,1,13
"CAIZA ""D""",vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,2,0,0,0,2
CAJUATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,3,1,1,0,5
CALAMARCA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,1,0,0,0,1
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,2,1,0,0,3
CAMIRI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,15,14,2,1,32
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,6,7,9,13,35
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,2,1,1,1,5
CARANAVI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,7,10,3,3,23
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,1,0,0,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,7,4,2,1,14
CHARAGUA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,8,18,6,8,40
CHIMORE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,1,4,0,1,6
CHUA COCANI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,2,0,0,0,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,9,4,5,2,20
CHUMA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,1,1,2,1,5
CLIZA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,3,1,4,5,13
COBIJA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,8,7,8,8,31
COCAPATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,0,0,2,1,3
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,120,120,82,61,383
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,5,1,0,1,7
"COLCHA ""K""",vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,5,0,0,0,5
COLOMI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,9,0,0,1,10
COLQUECHACA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,1,2,0,5,8
COLQUENCHA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,0,1,0,0,1
COLQUIRI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,1,1,0,3,5
COMARAPA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,0,0,5,1,6
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,6,7,11,9,33
COPACABANA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,0,0,2,0,2
CORIPATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,2,6,1,0,9
CORO CORO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,7,4,3,3,17
COROICO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,9,7,3,6,25
COTAGAITA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,1,0,1,2,4
COTOCA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,8,11,0,0,19
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,3,0,4,2,9
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,0,1,5,2,8
CUEVO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,0,1,0,0,1
CULPINA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,3,2,3,1,9
CURAHUARA DE CARANGAS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,0,1,0,0,1
CURVA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,0,0,1,0,1
DESAGUADERO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,1,2,0,0,3
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,157,139,19,33,348
EL CHORO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,0,0,0,5,5
EL PUENTE(STC),vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,1,1,2,1,5
EL PUENTE(TJA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,0,1,1,0,2
EL TORNO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,11,12,3,4,30
EL VILLAR,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,1,1,0,0,2
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,0,0,2,0,2
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,1,3,0,0,4
ESCOMA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,0,0,6,4,10
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,1,0,0,0,1
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,4,0,0,5,9
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,4,6,0,2,12
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,0,0,1,0,1
GUANAY,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,5,2,7,1,15
GUAQUI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,1,1,0,0,2
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,3,8,5,0,16
GUTIERREZ,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,3,3,2,2,10
HUACARETA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,0,2,0,4,6
HUANUNI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,3,4,3,4,14
HUARACAJE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,4,0,0,0,4
HUATAJATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,1,0,0,0,1
HUAYLLAMARCA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,1,0,0,0,1
HUMANATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,0,0,1,2,3
ICHOCA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,0,1,2,1,4
INCAHUASI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,2,0,0,0,2
INQUISIVI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,1,3,0,1,5
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,2,0,2,1,5
IXIAMAS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,3,2,0,0,5
JESUS DE MACHACA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,0,4,0,0,4
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,10,5,1,2,18
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,23,24,1,1,49
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,148,145,51,82,426
LAGUNILLAS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,0,1,0,1,2
LAJA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,0,2,4,0,6
LAS CARRERAS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,1,0,0,0,1
LLALLAGUA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,1,1,1,4,7
LLICA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,0,0,2,3,5
LORETO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,0,0,1,0,1
LURIBAY,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,3,0,0,2,5
MACHACAMARCA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,1,0,0,0,1
MACHARETI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,0,0,0,2,2
MAGDALENA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,3,5,0,0,8
MAIRANA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,1,0,0,0,1
MAPIRI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,5,10,10,2,27
MECAPACA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,0,1,4,2,7
MIZQUE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,2,3,6,4,15
MOCOMOCO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,3,2,4,3,12
MOJINETE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,0,0,4,1,5
MONTEAGUDO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,0,0,1,0,1
MONTERO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,21,14,26,29,90
MOROCHATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,1,2,4,3,10
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,1,0,0,0,1
OCURI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,1,0,0,0,1
OKINAWA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,1,0,0,0,1
OMEREQUE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,1,1,2,1,5
ORURO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,28,35,10,10,83
PADCAYA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,2,2,0,2,6
PAILON,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,2,2,3,1,8
PALCA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,5,6,2,3,16
PALOS BLANCOS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,2,3,2,4,11
PAMPA AULLAGAS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,0,1,0,0,1
PAMPA GRANDE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,3,3,5,6,17
PAPEL PAMPA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,2,1,0,0,3
PASORAPA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,0,0,0,1,1
POCOATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,0,0,2,0,2
POCONA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,2,2,2,4,10
POJO (CBBA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,1,1,1,1,4
POROMA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,1,3,2,1,7
PORONGO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,3,6,1,1,11
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,0,12,0,0,12
POSTRER VALLE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,0,1,0,0,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,39,25,11,6,81
PRESTO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,0,1,3,2,6
PUCARANI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,11,6,5,9,31
PUERTO ACOSTA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,0,0,3,0,3
PUERTO GONZALO MORENO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,0,2,0,0,2
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,0,2,1,1,4
PUERTO SILES,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,0,0,1,3,4
PUERTO SUAREZ,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,2,1,0,0,3
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,6,2,1,2,11
PUNA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,1,1,2,4,8
PUNATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,6,4,4,5,19
QUIABAYA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,0,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,12,17,15,13,57
QUIME,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-02-01,3,1,0,0,4
