,group,variable,month,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS < A 1 AÑO - D,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS < A 1 AÑO - D,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS < A 1 AÑO - F,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS < A 1 AÑO - F,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 12 A 23 MESES - D,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 12 A 23 MESES - D,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 12 A 23 MESES - F,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 12 A 23 MESES - F,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 2 AÑOS - D,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 2 AÑOS - D,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 2 AÑOS - F,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 2 AÑOS - F,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 3 AÑOS - D,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 3 AÑOS - D,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 3 AÑOS - F,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 3 AÑOS - F,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 4 AÑOS - D,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 4 AÑOS - D,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 4 AÑOS - F,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 4 AÑOS - F,TOTALES,TOTALES,TOTALES
SAN IGNACIO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SAN IGNACIO DE VELASCO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
SAN JOSE DE CHIQUITOS,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,3,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,12
SAN JUAN DE YAPACANI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SAN LORENZO(TJA),vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
SAN MATIAS,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7
SAN PEDRO DE BUENA VISTA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SAN PEDRO DE MACHA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
SANTA ANA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
SANTA CRUZ DE LA SIERRA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,115,119,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,121,237
SANTIAGO DE HUARI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SANTUARIO DE QUILLACAS,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SIPE SIPE,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SUCRE,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,9,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,22
TARIJA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5
TINGUIPAYA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
TRINIDAD,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
UMALA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
URIONDO (A. CONCEPCION),vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
VIACHA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
VILLA MONTES,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6
VILLA VACA GUZMAN (MUYUPAMPA),vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
WARNES,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
YACUIBA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,9,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,21
YANACACHI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
YOCALLA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
YOTALA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ACACIO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,4,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,14
ACHACACHI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,4,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,13
ACHOCALLA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,19,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,17,36
AIQUILE,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,9,10,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,13,34
ALALAY,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
ALCALA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8
ALTO BENI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,8,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,20
ANCORAIMES,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,12
ANDAMARCA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
ANTEQUERA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7
ANZALDO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
APOLO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9
ARAMPAMPA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5
ARANI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,12
ARBIETO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,2,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,16
ARQUE,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,13,12,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,24,45
ASCENCION DE GUARAYOS,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,12,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,27
ATOCHA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,7,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,19
AUCAPATA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
AYATA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
AYO AYO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,15,16,9,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,33,57
AZURDUY,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,6,10,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,26
BATALLAS,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,10
BAURES,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,5,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,16
BELEN DE ANDAMARCA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
BELLA FLOR,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5
BERMEJO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,33
BETANZOS,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,15,9,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,20,43
BOLIVAR,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,0,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,12
BOLPEBRA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
BOYUIBE,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
BUENA VISTA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,18
CABEZAS,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,13,9,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,13,29
CAIROMA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,8,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,15
"CAIZA ""D""",vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,24,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,10,36
CAJUATA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
CALACOTO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6
CALAMARCA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10
CAMARGO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,8,12,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,26
CAMATAQUI (C. VILLA ABECIA),vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5
CAMIRI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,11,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,20
CAPINOTA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,7,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,19
CAQUIAVIRI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,11
CARACOLLO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,5,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,15
CARANAVI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,20,16,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,17,44
CARAPARI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,13,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,27
CARIPUYO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,9,9,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,28
CARMEN RIVERO TORREZ,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,8,10,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,33
CHALLAPATA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,16,15,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,26,49
CHAQUI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,10,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,18
CHARAGUA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,15,14,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,29,60
CHARAÑA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
CHAYANTA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9
CHIMORE,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,25,22,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,34,67
CHIPAYA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
CHOQUE COTA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
CHULUMANI (V. DE LA LIBERTAD),vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7
CHUMA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,0,1,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,21
CHUQUIHUTA AYLLU JUCUMANI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,8,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,15
CKOCHAS,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,7,8,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,18,37
CLIZA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,21,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,20,47
COBIJA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,27,27,17,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,47,91
COCAPATA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,15,18,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,30,61
COCHABAMBA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,243,241,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,247,497
COIPASA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
COLCAPIRHUA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,6,12,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,31
"COLCHA ""K""",vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,16,13,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,14,33
COLOMI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,19
COLPA BELGICA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
COLQUECHACA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,5,7,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,29
COLQUENCHA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,15
COLQUIRI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,19,9,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,19,54
COMANCHE,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
COMARAPA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,20,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,25,46
COMBAYA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CONCEPCION,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,29,37,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,44,74
CORIPATA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8
CORO CORO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,4,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,14
COROICO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,6,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,19
CORQUE,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,7,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,16
COTAGAITA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,21,23,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,28,55
COTOCA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,54,47,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,49,106
CUATRO CAÑADAS,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,18,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,36
CUCHUMUELA (V. G. VILLARROEL),vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
CUEVO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,4,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,11
CULPINA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,14,12,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,32
CURAHUARA DE CARANGAS,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,3,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9
CURVA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
DESAGUADERO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7
EL ALTO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,186,176,46,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,239,471
EL CHORO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
EL PUENTE(STC),vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,21,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,13,34
EL PUENTE(TJA),vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,6,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,16
EL TORNO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,52,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,52,104
EL VILLAR,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5
ENTRE RIOS TRJ,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,8,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,22
ENTRE RIOS CBBA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,47,55,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,57,108
ESCARA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
EUCALIPTUS,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,8
EUREKA (SANTOS MERCADO),vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,8
EXALTACION,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
FERNANDEZ ALONSO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,17,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,20,47
