,group,variable,month,7. Nº DE PERSONAS CON PRUEBA RÁPIDA DE VIH CANTIDAD,7. Nº DE PERSONAS CON PRUEBA RÁPIDA DE VIH CANTIDAD,TOTALES
LURIBAY,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,45,26,71
MACHACAMARCA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,1,15,16
MACHARETI,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,1,7,8
MAGDALENA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,0,1,1
MAIRANA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,4,7,11
MAPIRI,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,5,14,19
MINEROS,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,5,6,11
MIZQUE,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,50,53,103
MOCOMOCO,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,1,0,1
MOJOCOYA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,0,2,2
MONTEAGUDO,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,34,60,94
MONTERO,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,125,195,320
OCURI,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,1,1,2
OMEREQUE,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,4,8,12
ORURO,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,418,1014,1432
PADILLA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,6,14,20
PALCA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,0,4,4
PALOS BLANCOS,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,12,28,40
PAMPA AULLAGAS,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,2,0,2
PAMPA GRANDE,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,1,2,3
PASORAPA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,0,2,2
PATACAMAYA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,15,45,60
PAZÑA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,2,3,5
POCOATA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,28,47,75
POCONA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,3,1,4
POJO (CBBA),vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,3,4,7
POOPO,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,35,38,73
POROMA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,3,8,11
PORONGO,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,1,4,5
PORTACHUELO,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,4,1,5
PORVENIR,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,4,28,32
POTOSI,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,62,129,191
PRESTO,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,2,1,3
PUCARANI,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,2,4,6
PUERTO GONZALO MORENO,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,0,1,1
PUERTO QUIJARRO,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,12,28,40
PUERTO RICO,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,2,0,2
PUERTO SUAREZ,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,1,0,1
PUERTO VILLARROEL,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,250,307,557
PUNA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,0,2,2
PUNATA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,117,177,294
QUILLACOLLO,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,516,473,989
QUIME,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,81,126,207
QUIRUSILLAS,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,1,0,1
RAVELO,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,4,11,15
REYES,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,10,21,31
RIBERALTA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,573,488,1061
ROBORE,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,4,1,5
RURRENABAQUE,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,39,59,98
SABAYA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,10,20,30
SACABA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,243,419,662
SACABAMBA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,1,1,2
SACACA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,2,3,5
SALINAS DE GARCI MENDOZA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,1,0,1
SAMAIPATA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,4,13,17
SAN ANDRES,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,1,1,2
SAN BENITO,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,4,5,9
SAN BORJA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,33,43,76
SAN CARLOS,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,24,65,89
SAN IGNACIO,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,6,10,16
SAN IGNACIO DE VELASCO,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,8,26,34
SAN JAVIER(BNI),vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,1,0,1
SAN JAVIER(STC),vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,8,3,11
SAN JOAQUIN,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,3,10,13
SAN JUAN DE YAPACANI,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,5,0,5
SAN JULIAN,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,78,130,208
SAN LORENZO(PND),vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,20,15,35
SAN LORENZO(TJA),vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,1,3,4
SAN LUCAS,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,13,19,32
SAN MATIAS,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,8,7,15
SAN MIGUEL DE VELASCO,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,2,10,12
SAN PEDRO,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,70,66,136
SAN PEDRO DE BUENA VISTA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,6,8,14
SAN PEDRO DE MACHA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,1,5,6
SAN PEDRO DE TIQUINA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,5,3,8
SAN RAFAEL,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,1,0,1
SAN RAMON BENI,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,6,1,7
SANTA ANA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,23,28,51
SANTA CRUZ DE LA SIERRA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,1667,2598,4265
SANTA ROSA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,3,2,5
SANTA ROSA DEL SARA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,10,7,17
SANTIAGO DE HUARI,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,8,8,16
SANTIAGO DE HUATA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,2,0,2
SANTIAGO DE MACHACA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,9,2,11
SANTIVAÑES,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,0,3,3
SANTUARIO DE QUILLACAS,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,0,3,3
SENA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,1,2,3
SHINAOTA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,50,111,161
SICAYA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,5,9,14
SIPE SIPE,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,17,24,41
SOPACHUY,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,13,21,34
SORATA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,7,2,9
SUCRE,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,244,569,813
TACOPAYA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,1,2,3
TAPACARI,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,7,9,16
TARABUCO,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,15,20,35
TARACO,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,0,1,1
TARATA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,3,4,7
TARIJA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,180,206,386
TARVITA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,2,8,10
TIAHUANACU,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,3,8,11
TIPUANI,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,15,27,42
TIQUIPAYA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,58,106,164
TITO YUPANQUI (PARQUIPUJIO),vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,15,12,27
TOCO,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,3,6,9
TOLATA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,6,6,12
TOLEDO,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,2,9,11
TOMAVE,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,0,1,1
TOMINA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,4,2,6
TORO TORO,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,6,8,14
TOTORA(CBBA),vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,9,17,26
TOTORA(ORR),vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,6,9,15
TRINIDAD,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,113,94,207
TUPIZA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,48,43,91
UNCIA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,1,13,14
URUBICHA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,12,12,24
UYUNI,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,13,45,58
VALLEGRANDE,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,12,23,35
VIACHA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,102,303,405
VILA VILA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,0,2,2
VILLA CHARCAS,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,12,16,28
VILLA MONTES,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,95,89,184
VILLA SERRANO,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,8,91,99
VILLA TUNARI,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,270,310,580
VILLA VACA GUZMAN (MUYUPAMPA),vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,20,35,55
VILLAZON,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,36,103,139
WALDO BALLIVIAN,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,0,7,7
WARNES,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,34,92,126
YACO,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,1,0,1
YACUIBA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,107,178,285
YAMPARAEZ,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,2,2,4
YAPACANI,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,35,40,75
YUNCHARA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,0,2,2
ZUDAÑEZ,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,4,9,13
AIQUILE,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,33,37,70
ALALAY,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,1,0,1
ALCALA,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,11,19,30
ANCORAIMES,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,0,3,3
ANTEQUERA,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,3,6,9
ANZALDO,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,9,13,22
ARAMPAMPA,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,10,11,21
ARANI,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,1,2,3
ARBIETO,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,5,5,10
ARQUE,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,6,28,34
ASCENCION DE GUARAYOS,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,71,221,292
ATOCHA,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,4,4,8
AYATA,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,0,11,11
AZURDUY,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,1,23,24
BATALLAS,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,5,7,12
BERMEJO,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,29,32,61
BETANZOS,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,3,2,5
BOYUIBE,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,3,0,3
CABEZAS,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,1,50,51
"CAIZA ""D""",vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,3,3,6
CAJUATA,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,4,5,9
CALAMARCA,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,1,5,6
CAMARGO,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,5,13,18
CAMATAQUI (C. VILLA ABECIA),vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,0,1,1
CAPINOTA,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,2,0,2
CARACOLLO,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,4,19,23
CARANAVI,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,45,40,85
CARANGAS,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,0,1,1
CARAPARI,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,2,5,7
CARIPUYO,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,2,10,12
CARMEN RIVERO TORREZ,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,7,16,23
CHALLAPATA,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,18,25,43
CHARAGUA,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,8,13,21
CHAYANTA,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,1,0,1
CHIMORE,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,34,38,72
CHULUMANI (V. DE LA LIBERTAD),vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,25,31,56
CHUMA,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,3,1,4
CHUQUIHUTA AYLLU JUCUMANI,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,1,0,1
CKOCHAS,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,0,1,1
COBIJA,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,261,380,641
COCAPATA,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,3,2,5
COCHABAMBA,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,1673,3260,4933
COLCAPIRHUA,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,104,155,259
"COLCHA ""K""",vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,2,2,4
COLLANA,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,2,7,9
COLOMI,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,7,5,12
COLPA BELGICA,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,7,10,17
COLQUECHACA,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,3,15,18
COLQUENCHA,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,4,7,11
COLQUIRI,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,8,0,8
COMARAPA,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,18,17,35
CONCEPCION,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,12,23,35
COPACABANA,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,0,3,3
CORO CORO,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,0,9,9
COROICO,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,35,28,63
COTAGAITA,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,11,9,20
COTOCA,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,70,390,460
CUATRO CAÑADAS,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,37,48,85
CUEVO,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,0,5,5
CULPINA,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,2,21,23
CURAHUARA DE CARANGAS,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,1,1,2
DESAGUADERO,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,2,5,7
EL ALTO,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,916,1776,2692
EL PUENTE(STC),vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,29,41,70
EL PUENTE(TJA),vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,1,0,1
EL TORNO,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,60,5,65
ENTRE RIOS TRJ,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,6,7,13
ENTRE RIOS CBBA,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,77,316,393
ESCARA,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,1,12,13
ESCOMA,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,1,2,3
ESMERALDA,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,0,2,2
EUCALIPTUS,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,1,3,4
FERNANDEZ ALONSO,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,12,23,35
GRAL. J.J. PEREZ (CHARAZANI),vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,0,2,2
GUANAY,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,20,66,86
GUAYARAMERIN,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,131,161,292
HUACHACALLA,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,2,5,7
HUANUNI,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,132,72,204
HUAYLLAMARCA,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,4,8,12
ICLA,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,2,8,10
INCAHUASI,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,3,9,12
IXIAMAS,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,13,27,40
JESUS DE MACHACA,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,6,1,7
LA GUARDIA,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,66,162,228
LA PAZ,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,1094,1914,3008
LAJA,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,6,11,17
LAS CARRERAS,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,0,2,2
LLALLAGUA,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,5,4,9
LLICA,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,1,1,2
LURIBAY,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,1,0,1
MACHACAMARCA,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,9,27,36
MACHARETI,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,2,3,5
MAIRANA,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,0,1,1
MAPIRI,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,1,11,12
MINEROS,vih - sifilis,no de personas con prueba rapida de vih,2024-03-01,2,6,8
