,group,variable,month,2. Nº DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA VIH (2DA PRUEBA) CANTIDAD,2. Nº DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA VIH (2DA PRUEBA) CANTIDAD,TOTALES
CARMEN RIVERO TORREZ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,2,2
CHALLAPATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,34,34
CHAYANTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,5,5
CHIMORE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,43,43
COBIJA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,21,21
COCAPATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,9,9
COCHABAMBA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,63,63
COLLANA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,3,3
COLOMI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,11,11
COLQUECHACA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,15,15
CONCEPCION,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,19,19
COTAGAITA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,4,4
COTOCA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,34,34
CUATRO CAÑADAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,6,6
CULPINA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,28,28
CURAHUARA DE CARANGAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,1,1
EL ALTO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,333,333
EL PUENTE(STC),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,7,7
EL TORNO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,1,1
EL VILLAR,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,4,4
ENTRE RIOS TRJ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,9,9
ENTRE RIOS CBBA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,61,61
EUCALIPTUS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,1,1
FERNANDEZ ALONSO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,7,7
FILADELFIA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,1,1
GAIOC JATUN AYLLU YURA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,1,1
HUACARETA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,13,13
HUACHACALLA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,1,1
HUANUNI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,54,54
ICLA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,3,3
INCAHUASI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,17,17
JESUS DE MACHACA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,1,1
LA ASUNTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,7,7
LA GUARDIA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,21,21
LA PAZ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,12,12
LAJA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,10,10
LAS CARRERAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,2,2
MACHARETI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,7,7
MAGDALENA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,1,1
MAIRANA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,11,11
MINEROS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,19,19
MIZQUE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,5,5
MOJOCOYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,3,3
MONTEAGUDO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,31,31
MONTERO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,126,126
OCURI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,14,14
OMEREQUE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,4,4
ORURO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,318,318
PADCAYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,7,7
PADILLA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,14,14
PAMPA GRANDE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,8,8
PASORAPA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,6,6
POCOATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,16,16
POOPO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,4,4
PORCO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,4,4
POROMA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,9,9
PORONGO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,6,6
PORVENIR,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,13,13
POTOSI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,41,41
PRESTO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,5,5
PUERTO GONZALO MORENO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,1,1
PUERTO VILLARROEL,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,25,25
RAVELO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,3,3
RIBERALTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,12,12
ROBORE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,9,9
SABAYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,4,4
SACABA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,11,11
SALINAS DE GARCI MENDOZA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,4,4
SAN BORJA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,4,4
SAN CARLOS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,1,1
SAN IGNACIO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,12,12
SAN IGNACIO DE VELASCO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,2,2
SAN JUAN DE YAPACANI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,4,4
SAN JULIAN,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,17,17
SAN LORENZO(PND),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,3,3
SAN LUCAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,33,33
SAN MIGUEL DE VELASCO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,18,18
SAN PEDRO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,5,5
SAN PEDRO DE BUENA VISTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,5,5
SAN PEDRO DE MACHA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,2,2
SANTA ANA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,1,1
SANTA CRUZ DE LA SIERRA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,187,187
SANTA ROSA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,4,4
SANTA ROSA DEL SARA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,8,8
SANTIAGO DE HUARI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,1,1
SANTIVAÑES,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,2,2
SANTUARIO DE QUILLACAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,2,2
SENA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,1,1
SIPE SIPE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,19,19
SOPACHUY,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,4,4
SORACACHI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,1,1
SUCRE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,533,533
TACOBAMBA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,3,3
TAPACARI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,1,1
TARABUCO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,7,7
TARIJA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,108,108
TARVITA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,14,14
TINGUIPAYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,10,10
TIQUIPAYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,14,14
TOLEDO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,6,6
TOMINA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,7,7
TOTORA(ORR),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,4,4
TUPIZA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,2,2
URIONDO (A. CONCEPCION),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,3,3
URUBICHA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,3,3
UYUNI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,4,4
VALLEGRANDE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,4,4
VILA VILA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,2,2
VILLA CHARCAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,9,9
VILLA MONTES,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,96,96
VILLA NUEVA (LOMA ALTA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,1,1
VILLA SERRANO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,7,7
VILLA TUNARI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,24,24
VILLA VACA GUZMAN (MUYUPAMPA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,13,13
VILLAZON,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,16,16
VINTO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,82,82
YACUIBA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,8,8
YAMPARAEZ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,4,4
YAPACANI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,3,3
YOCALLA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,3,3
YOTALA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,8,8
ZUDAÑEZ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,7,7
AIQUILE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,11,11
ALCALA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,5,5
ANDAMARCA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,1,1
ANTEQUERA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,1,1
ATOCHA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,1,1
AZURDUY,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,3,3
BERMEJO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,4,4
BETANZOS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,9,9
"CAIZA ""D""",vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,2,2
CAMARGO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,9,9
CAMATAQUI (C. VILLA ABECIA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,1,1
CAPINOTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,20,20
CARACOLLO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,11,11
CARAPARI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,10,10
CARIPUYO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,1,1
CARMEN RIVERO TORREZ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,7,7
CHALLAPATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,51,51
CHAYANTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,1,1
CHIMORE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,30,30
CKOCHAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,2,2
COBIJA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,26,26
COCAPATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,12,12
COCHABAMBA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,54,54
"COLCHA ""K""",vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,2,2
COLOMI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,10,10
COLQUECHACA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,17,17
CONCEPCION,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,58,58
COTOCA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,26,26
CUATRO CAÑADAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,4,4
CULPINA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,18,18
CURAHUARA DE CARANGAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,8,8
DESAGUADERO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,2,2
EL ALTO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,317,317
EL PUENTE(STC),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,8,8
EL PUENTE(TJA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,1,1
EL VILLAR,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,4,4
ENTRE RIOS TRJ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,12,12
ENTRE RIOS CBBA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,57,57
EUCALIPTUS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,1,1
FERNANDEZ ALONSO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,9,9
FILADELFIA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,3,3
GAIOC JATUN AYLLU YURA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,1,1
HUACARETA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,4,4
HUANUNI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,42,42
ICLA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,3,3
INCAHUASI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,11,11
JESUS DE MACHACA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,1,1
LA ASUNTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,2,2
LA GUARDIA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,23,23
LA PAZ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,6,6
LAJA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,1,1
LAS CARRERAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,4,4
LLICA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,2,2
LURIBAY,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,1,1
MACHARETI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,6,6
MAIRANA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,11,11
MINEROS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,9,9
MIZQUE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,30,30
MOJOCOYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,1,1
MONTEAGUDO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,22,22
MONTERO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,94,94
OCURI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,12,12
OMEREQUE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,1,1
ORURO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,262,262
PADCAYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,5,5
PADILLA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,15,15
PAILON,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,1,1
POCOATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,21,21
POOPO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,2,2
PORCO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,8,8
POROMA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,16,16
PORONGO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,7,7
PORVENIR,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,5,5
POTOSI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,30,30
PRESTO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,7,7
PUERTO GONZALO MORENO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,1,1
PUERTO RICO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,3,3
PUERTO VILLARROEL,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,12,12
QUILLACOLLO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,21,21
RAVELO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,5,5
RIBERALTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,3,3
ROBORE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,9,9
SACABA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,15,15
SACACA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,9,9
SALINAS DE GARCI MENDOZA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,3,3
SAN BORJA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,2,2
SAN CARLOS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,1,1
SAN JUAN DE YAPACANI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,5,5
SAN JULIAN,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,4,4
SAN LORENZO(PND),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,3,3
SAN LUCAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,42,42
SAN MIGUEL DE VELASCO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,19,19
SAN PEDRO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,8,8
SAN PEDRO DE BUENA VISTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,3,3
SAN PEDRO DE MACHA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,1,1
SANTA CRUZ DE LA SIERRA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,137,137
SANTA ROSA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,1,1
SANTA ROSA DEL SARA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,7,7
SANTIAGO DE HUARI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,1,1
SANTIVAÑES,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,5,5
SENA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,7,7
SIPE SIPE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,22,22
SOPACHUY,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,6,6
SORACACHI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,3,3
SUCRE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,300,300
TACOBAMBA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,1,1
TAPACARI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,3,3
TARABUCO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,8,8
TARIJA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,85,85
TARVITA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,7,7
TINGUIPAYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,9,9
TIQUIPAYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,9,9
TOLEDO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,5,5
TOMINA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,3,3
TOTORA(ORR),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,5,5
URIONDO (A. CONCEPCION),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,1,1
URUBICHA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,2,2
VILLA CHARCAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,6,6
VILLA MONTES,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,4,4
VILLA SERRANO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,7,7
VILLA TUNARI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,20,20
