,group,variable,month,5. Nº DE MUJERES EMBARAZADAS CON PRUEBA PARA SIFILIS (2DA PRUEBA) CANTIDAD,5. Nº DE MUJERES EMBARAZADAS CON PRUEBA PARA SIFILIS (2DA PRUEBA) CANTIDAD,TOTALES
ENTRE RIOS TRJ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,12,12
ENTRE RIOS CBBA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,57,57
EUCALIPTUS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,2,2
FERNANDEZ ALONSO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,20,20
HUACARETA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,7,7
HUACAYA (VILLA DE HUACAYA),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,2,2
HUANUNI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,37,37
HUAYLLAMARCA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,2,2
INCAHUASI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,10,10
JESUS DE MACHACA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,2,2
LAJA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,10,10
LAS CARRERAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,2,2
MACHACAMARCA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,3,3
MACHARETI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,12,12
MAIRANA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,15,15
MIZQUE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,11,11
MOJOCOYA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,4,4
MONTEAGUDO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,28,28
MONTERO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,20,20
OCURI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,18,18
ORURO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,162,162
PADCAYA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,5,5
PADILLA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,13,13
PAMPA GRANDE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,2,2
POCOATA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,19,19
POOPO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,4,4
PORCO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,3,3
POROMA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,11,11
PORONGO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,10,10
POTOSI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,34,34
PRESTO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,5,5
PUERTO VILLARROEL,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,17,17
RAVELO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,3,3
RIBERALTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,7,7
ROBORE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,5,5
SACABA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,5,5
SAN CARLOS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,1,1
SAN IGNACIO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,12,12
SAN JUAN DE YAPACANI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,9,9
SAN JULIAN,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,5,5
SAN LUCAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,27,27
SAN PEDRO DE BUENA VISTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,5,5
SANTA CRUZ DE LA SIERRA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,97,97
SANTA ROSA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,1,1
SANTA ROSA DEL SARA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,11,11
SANTIVAÑES,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,4,4
SIPE SIPE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,29,29
SOPACHUY,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,3,3
SORACACHI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,1,1
SUCRE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,315,315
TAPACARI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,3,3
TARABUCO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,8,8
TARIJA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,63,63
TARVITA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,8,8
TINGUIPAYA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,1,1
TOLEDO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,1,1
TOMINA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,5,5
TOTORA(ORR),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,3,3
VILA VILA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,3,3
VILLA CHARCAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,13,13
VILLA SERRANO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,3,3
VILLA TUNARI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,19,19
VILLA VACA GUZMAN (MUYUPAMPA),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,12,12
VILLAZON,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,5,5
VINTO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,87,87
YACUIBA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,18,18
YAMPARAEZ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,6,6
YAPACANI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,1,1
YOTALA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,6,6
ZUDAÑEZ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,4,4
