,group,variable,month,L 18.2 ANTI AMARÍLICA,L 18.2 ANTI AMARÍLICA,TOTALES,TOTALES,TOTALES
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,2035,89,2035,89,2124
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,9,16,9,16,25
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,19,7,19,7,26
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,4,3,4,3,7
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,3,13,3,13,16
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,1,8,1,8,9
SANTIAGO DE MACHACA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,2,0,2,0,2
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,0,13,0,13,13
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,1,2,1,2,3
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,35,8,35,8,43
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,28,6,28,6,34
SICAYA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,0,7,0,7,7
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,88,15,88,15,103
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,5,2,5,2,7
SORACACHI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,8,8,8,8,16
SORATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,13,14,13,14,27
SUCRE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,364,5,364,5,369
TACACHI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,1,0,1,0,1
TACACOMA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,13,5,13,5,18
TACOBAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,3,13,3,13,16
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,9,0,9,0,9
TAPACARI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,19,19,19,19,38
TARABUCO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,4,1,4,1,5
TARACO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,1,1,1,1,2
TARATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,21,2,21,2,23
TARIJA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,260,8,260,8,268
TARVITA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,16,9,16,9,25
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,1,17,1,17,18
TIAWANACU,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,9,16,9,16,25
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,11,9,11,9,20
TIPUANI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,4,12,4,12,16
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,98,19,98,19,117
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,9,4,9,4,13
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,1,1,1,1,2
TOLATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,10,4,10,4,14
TOLEDO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,5,2,5,2,7
TOMAVE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,4,0,4,0,4
TOMINA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,7,17,7,17,24
TORO TORO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,1,2,1,2,3
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,16,0,16,0,16
TOTORA(ORR),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,2,3,2,3,5
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,214,7,214,7,221
TUPIZA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,40,20,40,20,60
UMALA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,3,12,3,12,15
UNCIA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,14,5,14,5,19
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,11,3,11,3,14
URUBICHA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,9,10,9,10,19
UYUNI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,33,2,33,2,35
VACAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,3,28,3,28,31
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,35,14,35,14,49
VIACHA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,57,4,57,4,61
VILA VILA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,1,4,1,4,5
VILLA CHARCAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,15,5,15,5,20
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,45,12,45,12,57
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,3,5,3,5,8
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,5,10,5,10,15
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,26,15,26,15,41
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,140,41,140,41,181
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,4,0,4,0,4
VILLAZON,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,50,28,50,28,78
VINTO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,95,0,95,0,95
VITICHI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,3,0,3,0,3
WALDO BALLIVIAN,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,8,0,8,0,8
WARNES,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,134,35,134,35,169
YACO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,2,15,2,15,17
YACUIBA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,104,19,104,19,123
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,2,3,2,3,5
YANACACHI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,1,14,1,14,15
YAPACANI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,63,25,63,25,88
YOCALLA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,6,0,6,0,6
YOTALA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,4,8,4,8,12
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,0,5,0,5,5
YUNGUYO DE LITORAL,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,0,1,0,1,1
ZUDAÑEZ,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,3,6,3,6,9
ACACIO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,0,16,0,16,16
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,39,47,39,47,86
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,9,0,9,0,9
AIQUILE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,24,4,24,4,28
ALALAY,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,0,6,0,6,6
ALCALA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,2,1,2,1,3
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,23,1,23,1,24
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,7,2,7,2,9
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,3,1,3,1,4
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,3,0,3,0,3
ANZALDO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,7,7,7,7,14
APOLO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,16,20,16,20,36
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,1,6,1,6,7
ARANI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,16,0,16,0,16
ARBIETO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,16,32,16,32,48
ARQUE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,8,4,8,4,12
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,43,0,43,0,43
ATOCHA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,3,9,3,9,12
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,3,1,3,1,4
AYATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,14,5,14,5,19
AYO AYO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,1,7,1,7,8
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,15,11,15,11,26
AZURDUY,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,4,11,4,11,15
BATALLAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,24,11,24,11,35
BAURES,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,11,0,11,0,11
BELEN DE URMIRI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,0,4,0,4,4
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,0,4,0,4,4
BERMEJO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,44,11,44,11,55
BETANZOS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,14,7,14,7,21
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,3,12,3,12,15
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,1,0,1,0,1
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,0,7,0,7,7
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,6,14,6,14,20
CABEZAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,26,27,26,27,53
CAIROMA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,14,5,14,5,19
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,5,16,5,16,21
CAJUATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,8,9,8,9,17
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,12,14,12,14,26
CAMARGO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,19,9,19,9,28
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,3,0,3,0,3
CAMIRI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,51,8,51,8,59
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,24,1,24,1,25
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,2,4,2,4,6
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,14,16,14,16,30
CARANAVI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,74,59,74,59,133
CARANGAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,1,0,1,0,1
CARAPARI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,11,29,11,29,40
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,0,8,0,8,8
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,0,11,0,11,11
CATACORA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,5,0,5,0,5
CHACARILLA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,0,7,0,7,7
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,24,21,24,21,45
CHAQUI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,10,0,10,0,10
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,10,8,10,8,18
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,4,0,4,0,4
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,9,13,9,13,22
CHIMORE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,27,26,27,26,53
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,4,3,4,3,7
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,12,9,12,9,21
CHUMA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,0,8,0,8,8
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,1,17,1,17,18
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,10,2,10,2,12
CLIZA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,28,2,28,2,30
COBIJA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,51,18,51,18,69
COCAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,10,23,10,23,33
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,967,21,967,21,988
COIPASA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,1,1,1,1,2
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,56,25,56,25,81
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,9,0,9,0,9
COLLANA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,0,2,0,2,2
COLOMI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,39,4,39,4,43
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,10,4,10,4,14
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,23,31,23,31,54
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,9,5,9,5,14
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,7,47,7,47,54
COMANCHE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,2,0,2,0,2
COMARAPA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,40,27,40,27,67
COMBAYA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,0,1,0,1,1
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,49,13,49,13,62
COPACABANA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,9,9,9,9,18
CORIPATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,10,10,10,10,20
CORO CORO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,3,3,3,3,6
COROICO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,7,7,7,7,14
CORQUE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,5,2,5,2,7
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,3,13,3,13,16
COTOCA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,82,20,82,20,102
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,39,14,39,14,53
CUEVO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,3,4,3,4,7
CULPINA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,29,4,29,4,33
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,3,2,3,2,5
CURVA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,0,8,0,8,8
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,0,3,0,3,3
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,1289,25,1289,25,1314
EL CHORO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,4,4,4,4,8
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,23,9,23,9,32
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,6,12,6,12,18
EL TORNO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,91,13,91,13,104
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,1,1,1,1,2
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,26,15,26,15,41
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,39,13,39,13,52
ESCOMA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,0,2,0,2,2
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,1,0,1,0,1
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,0,1,0,1,1
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,9,26,9,26,35
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,0,7,0,7,7
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,44,17,44,17,61
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,4,18,4,18,22
GUANAY,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,10,18,10,18,28
GUAQUI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,0,3,0,3,3
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,33,57,33,57,90
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,0,29,0,29,29
HUACARETA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,7,17,7,17,24
HUANUNI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,22,3,22,3,25
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,9,0,9,0,9
HUARINA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,5,7,5,7,12
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,4,5,4,5,9
HUMANATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,0,7,0,7,7
ICHOCA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,1,5,1,5,6
ICLA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,2,15,2,15,17
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,12,6,12,6,18
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,5,8,5,8,13
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,8,11,8,11,19
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,16,4,16,4,20
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,10,2,10,2,12
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,69,16,69,16,85
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,123,27,123,27,150
LA PAZ,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,1098,133,1098,133,1231
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,5,9,5,9,14
LAJA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,25,10,25,10,35
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,0,3,0,3,3
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,2,4,2,4,6
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,46,49,46,49,95
LORETO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,0,3,0,3,3
LURIBAY,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,4,2,4,2,6
MACHARETI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,7,11,7,11,18
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,10,14,10,14,24
MAIRANA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-02-01,23,0,23,0,23
