,group,variable,month,PRIMER CONTROL POST PARTO < A 10,PRIMER CONTROL POST PARTO < A 10,PRIMER CONTROL POST PARTO 10 A 14,PRIMER CONTROL POST PARTO 10 A 14,PRIMER CONTROL POST PARTO 15 A 19,PRIMER CONTROL POST PARTO 15 A 19,PRIMER CONTROL POST PARTO 20 A 34,PRIMER CONTROL POST PARTO 20 A 34,PRIMER CONTROL POST PARTO 35 A 49,PRIMER CONTROL POST PARTO 35 A 49,PRIMER CONTROL POST PARTO 50 Y +,PRIMER CONTROL POST PARTO 50 Y +,TOTALES,TOTALES,TOTALES
PATACAMAYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,4,0,19,1,2,0,0,0,25,1,26
PAZÑA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,1,0,1,0,0,1,0,0,2,1,3
PELECHUCO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,1,1,0,1,0,2,0,0,1,4,5
POCOATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,1,0,3,3,9,8,2,3,0,0,15,14,29
POCONA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,1,0,3,1,3,0,0,0,7,1,8
POJO (CBBA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,2,1,5,0,3,0,0,0,10,1,11
POOPO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,3,1,2,0,0,0,5,1,6
PORCO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,3,0,7,0,0,0,0,0,10,0,10
POROMA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,2,4,2,1,0,2,0,0,4,7,11
PORONGO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
PORTACHUELO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,3,0,9,0,1,0,0,0,13,0,13
PORVENIR,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,2,0,1,0,0,0,0,0,3,0,3
POSTRER VALLE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
POTOSI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,26,2,179,4,25,0,0,0,230,6,236
PRESTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
PUCARANI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,3,13,1,0,0,0,4,13,17
PUERTO ACOSTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,1,2,1,0,1,0,0,2,3,5
PUERTO CARABUCO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,3,3,1,0,0,0,4,3,7
PUERTO GONZALO MORENO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,2,0,3,0,0,0,0,0,5,0,5
PUERTO PEREZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,0,3,0,1,0,0,0,4,4
PUERTO QUIJARRO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,2,0,11,0,4,0,0,0,17,0,17
PUERTO RICO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
PUERTO SUAREZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,1,0,7,0,22,0,2,0,0,0,32,0,32
PUERTO VILLARROEL,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,2,0,7,0,0,0,0,0,9,0,9
PUNA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,2,1,6,1,1,0,0,0,9,2,11
PUNATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,2,0,8,0,2,0,0,0,12,0,12
QUIABAYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
QUILLACOLLO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4
QUIME,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,2,0,3,2,1,0,0,0,6,2,8
RAQAYPAMPA(ETA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,3,2,0,1,0,0,0,3,3,6
RAVELO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,1,1,2,0,1,0,0,1,4,5
RIBERALTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,1,0,54,0,154,0,25,0,0,0,234,0,234
ROBORE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
RURRENABAQUE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,13,0,0,0,0,0,13,0,13
SABAYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,1,2,1,0,0,0,0,0,2,2,4
SACABA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,1,0,6,0,58,5,5,0,0,0,70,5,75
SACABAMBA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,3,2,0,0,0,0,3,2,5
SACACA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,1,1,4,5,1,2,0,0,6,8,14
SAIPINA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
SALINAS DE GARCI MENDOZA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2
SAMAIPATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
SAN AGUSTIN,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,2,0,2,0,0,0,0,0,4,4
SAN ANDRES DE MACHACA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2
SAN ANTONIO DE LOMERIO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,5,3,0,0,0,0,5,3,8
SAN BENITO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
SAN BORJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,5,5,2,0,0,0,7,5,12
SAN BUENA VENTURA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,5,1,10,1,4,1,0,0,19,3,22
SAN CARLOS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2
SAN IGNACIO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,3,3,15,2,1,0,0,0,19,5,24
SAN IGNACIO DE VELASCO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,3,0,18,0,48,1,9,0,0,0,78,1,79
SAN JAVIER(BNI),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
SAN JAVIER(STC),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,1,0,4,0,23,0,2,0,0,0,30,0,30
SAN JOSE DE CHIQUITOS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
SAN JUAN DE YAPACANI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
SAN JULIAN,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,46,0,0,0,0,0,46,0,46
SAN LORENZO(PND),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,1,0,1,1,0,0,0,0,2,1,3
SAN LORENZO(TJA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,6,0,0,0,0,0,6,0,6
SAN LUCAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,3,6,10,3,1,3,0,0,14,12,26
SAN MATIAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,4,0,9,0,0,0,0,0,13,0,13
SAN MIGUEL DE VELASCO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,2,2,11,0,4,0,0,0,17,2,19
SAN PEDRO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,1,0,2,0,2,0,0,0,5,0,5
SAN PEDRO DE BUENA VISTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,2,4,3,16,2,1,0,0,7,21,28
SAN PEDRO DE CURAHUARA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,1,1,1,0,0,0,0,1,2,3
SAN PEDRO DE MACHA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,2,3,3,9,1,0,0,0,6,12,18
SAN RAFAEL,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
SAN RAMON SCZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,3,0,4,0,1,0,0,0,8,0,8
SANTA CRUZ DE LA SIERRA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,61,0,411,1,75,0,0,0,547,1,548
SANTA ROSA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,2,1,8,2,0,0,0,0,10,3,13
SANTA ROSA DEL SARA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,1,2,2,0,0,0,0,2,3,5
SANTIAGO DE CALLAPA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,1,1,2,0,0,0,0,1,3,4
SANTIAGO DE HUARI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,1,0,0,1,0,0,0,0,1,1,2
SANTIAGO DE HUATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
SANTIVAÑES,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
SANTUARIO DE QUILLACAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,2,0,0,0,1,0,0,0,3,3
SENA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,1,0,8,0,0,0,0,0,9,0,9
SHINAOTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,5,0,16,0,11,0,0,0,32,0,32
SICA SICA (VILLA AROMA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,6,4,0,0,0,0,6,4,10
SIPE SIPE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,3,1,21,0,5,0,0,0,29,1,30
SOPACHUY,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,2,0,2,0,0,0,0,0,4,0,4
SORACACHI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,2,0,3,4,0,0,0,0,5,4,9
SORATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,1,0,5,1,0,1,0,0,6,2,8
SUCRE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,1,0,45,0,365,0,67,0,0,0,478,0,478
TACACOMA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,2,0,2,0,0,0,0,0,4,0,4
TACOBAMBA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
TACOPAYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
TAPACARI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,1,3,2,3,0,0,0,0,3,6,9
TARABUCO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,1,1,4,1,1,1,0,0,6,3,9
TARACO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
TARATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4
TARIJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,23,0,210,6,63,0,0,0,296,6,302
TARVITA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,3,0,0,0,1,0,0,0,4,0,4
TEOPONTE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,9,0,1,0,0,0,10,0,10
TIAHUANACU,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,1,0,5,0,0,1,0,0,6,1,7
TINGUIPAYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,1,2,1,3,0,0,2,5,7
TIPUANI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
TIQUIPAYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,48,0,0,1,0,0,48,1,49
TIRAQUE (CBBA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
TOCO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
TODOS SANTOS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
TOLATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
TOLEDO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,1,0,2,0,0,0,0,0,3,0,3
TOMAVE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,1,0,2,0,0,0,0,0,3,0,3
TOMINA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,2,1,2,0,0,0,4,1,5
TORO TORO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,3,3,3,0,1,1,0,0,7,4,11
TOTORA(CBBA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,3,0,4,1,1,0,0,0,8,1,9
TOTORA(ORR),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,1,0,0,0,1,0,0,0,2,0,2
TRINIDAD,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
TUPIZA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-01-01,0,0,0,0,0,0,53,4,0,2,0,0,53,6,59
