,group,variable,month,TOTAL 6.1 CONTROL DEL NIÑO MENOR DE 1 AÑO NUEVO,TOTAL 6.1 CONTROL DEL NIÑO MENOR DE 1 AÑO NUEVO,TOTAL 6.1 CONTROL DEL NIÑO MENOR DE 1 AÑO REPETIDO,TOTAL 6.1 CONTROL DEL NIÑO MENOR DE 1 AÑO REPETIDO,TOTALES,TOTALES,TOTALES
SAN PEDRO,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,11,8,109,116,120,124,244
SAN PEDRO DE BUENA VISTA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,30,32,193,176,223,208,431
SAN PEDRO DE CURAHUARA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,6,1,31,31,37,32,69
SAN PEDRO DE QUEMES,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,2,0,6,2,8,2,10
SAN PEDRO DE TIQUINA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,5,3,33,22,38,25,63
SAN PEDRO(PND),control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,3,1,8,11,11,12,23
SAN RAFAEL,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,2,1,58,34,60,35,95
SAN RAMON BENI,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,9,5,48,34,57,39,96
SAN RAMON SCZ,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,13,13,80,71,93,84,177
SANTA ANA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,191,136,14,6,205,142,347
SANTA CRUZ DE LA SIERRA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,3559,3313,4385,4218,7944,7531,15475
SANTA ROSA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,13,9,72,61,85,70,155
SANTA ROSA DEL SARA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,15,12,122,123,137,135,272
SANTIAGO DE CALLAPA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,3,2,24,16,27,18,45
SANTIAGO DE HUARI,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,4,7,75,71,79,78,157
SANTIAGO DE HUATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,4,3,43,42,47,45,92
SANTIAGO DE MACHACA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,1,1,23,29,24,30,54
SANTIVAÑES,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,3,5,75,36,78,41,119
SANTUARIO DE QUILLACAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,0,2,27,25,27,27,54
SAPAHAQUI,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,7,7,65,56,72,63,135
SENA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,12,11,37,26,49,37,86
SHINAOTA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,224,29,357,255,581,284,865
SICA SICA (VILLA AROMA),control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,19,15,135,122,154,137,291
SICAYA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,0,3,37,30,37,33,70
SIPE SIPE,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,105,106,452,447,557,553,1110
SOPACHUY,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,6,2,61,44,67,46,113
SORACACHI,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,8,9,92,95,100,104,204
SORATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,20,16,123,132,143,148,291
SUCRE,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,418,469,2189,2628,2607,3097,5704
TACACHI,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,9,4,6,6,15,10,25
TACACOMA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,23,20,28,18,51,38,89
TACOBAMBA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,6,12,66,65,72,77,149
TACOPAYA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,7,7,53,59,60,66,126
TAHUA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,1,2,11,7,12,9,21
TAPACARI,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,27,18,226,185,253,203,456
TARABUCO,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,9,14,99,94,108,108,216
TARACO,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,2,2,29,26,31,28,59
TARATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,11,8,111,100,122,108,230
TARIJA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,588,551,1375,1270,1963,1821,3784
TARVITA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,17,10,100,92,117,102,219
TEOPONTE,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,10,11,110,106,120,117,237
TIAWANACU,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,12,6,105,82,117,88,205
TINGUIPAYA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,38,32,151,126,189,158,347
TIPUANI,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,7,16,109,98,116,114,230
TIQUIPAYA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,113,126,509,488,622,614,1236
TIRAQUE (CBBA),control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,30,33,149,162,179,195,374
TITO YUPANQUI (PARQUIPUJIO),control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,2,1,7,2,9,3,12
TOCO,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,6,3,52,36,58,39,97
TODOS SANTOS,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,0,0,1,2,1,2,3
TOLATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,27,15,48,42,75,57,132
TOLEDO,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,0,1,50,21,50,22,72
TOMAVE,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,12,10,81,90,93,100,193
TOMINA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,11,9,55,61,66,70,136
TORO TORO,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,13,7,78,71,91,78,169
TOTORA(CBBA),control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,35,34,122,140,157,174,331
TOTORA(ORR),control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,4,10,48,23,52,33,85
TRIGAL,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,1,2,12,8,13,10,23
TRINIDAD,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,249,226,711,611,960,837,1797
TUPIZA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,57,62,286,285,343,347,690
TURCO,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,3,0,31,37,34,37,71
UMALA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,5,11,34,58,39,69,108
UNCIA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,23,16,151,143,174,159,333
URIONDO (A. CONCEPCION),control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,45,58,109,116,154,174,328
URUBICHA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,7,7,70,65,77,72,149
UYUNI,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,43,42,185,181,228,223,451
VACAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,6,10,72,67,78,77,155
VALLEGRANDE,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,16,15,113,102,129,117,246
VIACHA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,94,102,507,493,601,595,1196
VILA VILA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,6,2,26,22,32,24,56
VILLA CHARCAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,19,27,115,106,134,133,267
VILLA MONTES,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,47,48,316,313,363,361,724
VILLA NUEVA (LOMA ALTA),control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,0,2,36,32,36,34,70
VILLA RIVERO,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,19,16,110,100,129,116,245
VILLA SERRANO,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,21,15,63,67,84,82,166
VILLA TUNARI,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,196,170,715,672,911,842,1753
VILLA VACA GUZMAN (MUYUPAMPA),control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,15,5,68,64,83,69,152
VILLAZON,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,30,50,277,286,307,336,643
VINTO,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,135,125,221,227,356,352,708
VITICHI,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,10,6,66,60,76,66,142
WALDO BALLIVIAN,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,0,0,20,11,20,11,31
WARNES,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,139,124,561,580,700,704,1404
YACO,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,9,11,38,45,47,56,103
YACUIBA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,349,256,547,522,896,778,1674
YAMPARAEZ,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,4,4,47,45,51,49,100
YANACACHI,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,1,2,58,57,59,59,118
YAPACANI,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,32,28,477,463,509,491,1000
YOCALLA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,16,14,73,61,89,75,164
YOTALA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,13,6,39,40,52,46,98
YUNCHARA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,8,2,44,37,52,39,91
ZUDAÑEZ,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,3,6,51,44,54,50,104
ACACIO,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,6,6,34,40,40,46,86
ACHACACHI,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,27,39,212,194,239,233,472
ACHOCALLA,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,4,7,90,90,94,97,191
AIQUILE,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,33,45,209,189,242,234,476
ALALAY,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,3,1,16,20,19,21,40
ALCALA,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,1,1,19,19,20,20,40
ALTO BENI,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,27,15,75,54,102,69,171
ANCORAIMES,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,10,10,118,104,128,114,242
ANDAMARCA,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,0,0,22,19,22,19,41
ANTEQUERA,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,3,0,20,22,23,22,45
ANZALDO,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,13,9,51,36,64,45,109
APOLO,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,8,12,148,111,156,123,279
ARAMPAMPA,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,7,2,27,24,34,26,60
ARANI,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,9,10,104,99,113,109,222
ARBIETO,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,18,12,161,140,179,152,331
ARQUE,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,7,8,104,100,111,108,219
ASCENCION DE GUARAYOS,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,50,61,231,198,281,259,540
ATOCHA,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,14,10,101,105,115,115,230
AUCAPATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,7,2,43,34,50,36,86
AYATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,6,4,45,40,51,44,95
AYO AYO,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,6,9,52,66,58,75,133
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,22,31,215,247,237,278,515
AZURDUY,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,21,13,92,80,113,93,206
BATALLAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,13,9,134,122,147,131,278
BAURES,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,2,1,38,28,40,29,69
BELEN DE ANDAMARCA,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,1,3,10,6,11,9,20
BELEN DE URMIRI,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,1,1,6,4,7,5,12
BELLA FLOR,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,3,4,23,27,26,31,57
BERMEJO,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,160,129,132,116,292,245,537
BETANZOS,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,19,22,234,234,253,256,509
BOLIVAR,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,5,9,49,66,54,75,129
BOLPEBRA,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,0,1,18,16,18,17,35
BOYUIBE,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,4,4,23,21,27,25,52
BUENA VISTA,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,9,8,77,80,86,88,174
CABEZAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,49,17,136,144,185,161,346
CAIROMA,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,8,6,61,60,69,66,135
"CAIZA ""D""",control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,7,4,67,57,74,61,135
CAJUATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,6,3,98,68,104,71,175
CALACOTO,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,3,4,23,29,26,33,59
CALAMARCA,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,5,8,103,87,108,95,203
CAMARGO,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,18,16,103,119,121,135,256
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,2,5,20,22,22,27,49
CAMIRI,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,54,52,233,229,287,281,568
CAPINOTA,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,28,23,258,229,286,252,538
CAQUIAVIRI,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,4,2,64,63,68,65,133
CARACOLLO,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,9,13,135,157,144,170,314
CARANAVI,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,105,88,263,291,368,379,747
CARANGAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,0,0,0,1,0,1,1
CARAPARI,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,15,7,138,125,153,132,285
CARIPUYO,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,4,9,67,61,71,70,141
CARMEN RIVERO TORREZ,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,4,17,15,17,19,34,53
CATACORA,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,1,2,8,8,9,10,19
CHACARILLA,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,0,0,3,5,3,5,8
CHALLAPATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,46,34,320,326,366,360,726
CHAQUI,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,1,8,70,47,71,55,126
CHARAGUA,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,32,23,170,179,202,202,404
CHARAÑA,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,0,3,10,11,10,14,24
CHAYANTA,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,10,17,100,108,110,125,235
CHIMORE,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,38,30,242,224,280,254,534
CHIPAYA,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,1,2,13,13,14,15,29
CHOQUE COTA,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,0,1,5,8,5,9,14
CHUA COCANI,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,1,0,13,24,14,24,38
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,35,35,83,88,118,123,241
CHUMA,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,2,4,74,64,76,68,144
CHUQUIHUTA AYLLU JUCUMANI,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,8,6,46,52,54,58,112
CKOCHAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,14,16,112,141,126,157,283
CLIZA,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,35,40,184,168,219,208,427
COBIJA,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,81,69,470,435,551,504,1055
COCAPATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,52,37,91,94,143,131,274
COCHABAMBA,control de crecimiento infantil, control del nino menor de 1 ano,2014-02-01,1217,1068,3247,2891,4464,3959,8423
