,group,variable,month,COVID-19 DOSIS UNICA 5 A 9 - D,COVID-19 DOSIS UNICA 5 A 9 - D,COVID-19 DOSIS UNICA 5 A 9 - F,COVID-19 DOSIS UNICA 5 A 9 - F,COVID-19 DOSIS UNICA 10 AÑOS - D,COVID-19 DOSIS UNICA 10 AÑOS - D,COVID-19 DOSIS UNICA 10 AÑOS - F,COVID-19 DOSIS UNICA 10 AÑOS - F,COVID-19 DOSIS UNICA 11 AÑOS - D,COVID-19 DOSIS UNICA 11 AÑOS - D,COVID-19 DOSIS UNICA 11 AÑOS - F,COVID-19 DOSIS UNICA 11 AÑOS - F,COVID-19 DOSIS UNICA 12 A 20 - D,COVID-19 DOSIS UNICA 12 A 20 - D,COVID-19 DOSIS UNICA 12 A 20 - F,COVID-19 DOSIS UNICA 12 A 20 - F,COVID-19 DOSIS UNICA 21 A 59 - D,COVID-19 DOSIS UNICA 21 A 59 - D,COVID-19 DOSIS UNICA 21 A 59 - F,COVID-19 DOSIS UNICA 21 A 59 - F,COVID-19 DOSIS UNICA 60 Y MAS - D,COVID-19 DOSIS UNICA 60 Y MAS - D,COVID-19 DOSIS UNICA 60 Y MAS - F,COVID-19 DOSIS UNICA 60 Y MAS - F,TOTALES,TOTALES,TOTALES
OCURI,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,5,3,0,0,1,1,0,0,0,0,2,4,0,4,4,6,9,8,1,0,5,8,27,34,61
OKINAWA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,84,39,72,38,0,0,0,127,156,283
OMEREQUE,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,20,16,0,0,2,3,0,0,2,2,0,0,5,10,1,4,39,67,0,1,23,30,92,133,225
ORURO,otras vacunaciones,covid-19 dosis unica,2024-01-01,64,60,4,2,8,8,0,0,12,5,0,0,113,77,5,6,262,268,148,30,128,98,9,6,753,560,1313
PADCAYA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,1,0,0,0,0,0,0,0,1,0,0,2,2,0,0,2,5,1,1,2,1,0,0,7,11,18
PADILLA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,3,44,71,73,71,8,9,30,30,166,187,353
PAILON,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,5,2,2,0,0,0,0,0,0,0,0,0,0,2,7,9
PALCA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,3,2,0,0,1,0,1,0,0,0,5,2,4,3,12,10,6,10,2,0,3,2,37,29,66
PALOS BLANCOS,otras vacunaciones,covid-19 dosis unica,2024-01-01,5,2,7,14,0,0,0,0,0,0,1,1,0,1,6,5,5,12,20,22,4,3,5,5,53,65,118
PAMPA AULLAGAS,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,2,3,5
PAMPA GRANDE,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3,1,0,0,5,3,8
PAPEL PAMPA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,6,5,3,4,11,10,21
PASORAPA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,7,3,5,9,15,5,4,7,7,28,38,66
PAZÑA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,4,2,6
PELECHUCO,otras vacunaciones,covid-19 dosis unica,2024-01-01,1,1,1,1,0,0,0,0,0,0,0,0,1,0,6,12,2,3,17,13,0,0,3,2,31,32,63
POCOATA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,2,0,0,1,0,0,0,0,0,7,8,2,3,8,5,6,18,0,0,36,32,60,68,128
POJO (CBBA),otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
POOPO,otras vacunaciones,covid-19 dosis unica,2024-01-01,1,3,1,1,0,0,0,0,0,0,0,0,1,4,2,0,4,8,0,0,2,1,1,0,12,17,29
POROMA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,0,1,1,0,0,8,10,18
PORONGO,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,12,21,13,14,8,5,1,1,35,47,82
PORTACHUELO,otras vacunaciones,covid-19 dosis unica,2024-01-01,14,13,0,0,0,1,0,0,3,1,0,0,5,6,9,1,1,28,39,5,2,17,6,2,79,74,153
PORVENIR,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,2,1,1,0,1,0,1,0,0,0,1,0,0,1,0,2,1,3,10,1,0,0,1,8,18,26
POTOSI,otras vacunaciones,covid-19 dosis unica,2024-01-01,7,14,1,1,1,0,0,1,0,1,0,0,13,19,660,59,207,298,72,44,97,33,9,5,1067,475,1542
PRESTO,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,6,9,1,4,3,3,0,0,12,17,29
PUCARANI,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,1,1,0,0,0,0,0,0,0,0,13,8,2,3,4,8,8,8,2,2,0,0,30,30,60
PUERTO ACOSTA,otras vacunaciones,covid-19 dosis unica,2024-01-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,1,5,5,10
PUERTO CARABUCO,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,6,3,41,1,1,0,0,0,1,0,0,0,49,4,53
PUERTO GONZALO MORENO,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,4,0,0,1,0,0,0,4,5,9
PUERTO PEREZ,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,1,1,0,0,0,0,0,0,0,0,0,2,2,0,0,7,1,0,0,1,1,1,5,12,17
PUERTO QUIJARRO,otras vacunaciones,covid-19 dosis unica,2024-01-01,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,8,4,0,2,4,0,0,17,17,34
PUERTO SILES,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,5,3,8
PUERTO SUAREZ,otras vacunaciones,covid-19 dosis unica,2024-01-01,4,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8
PUERTO VILLARROEL,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,2,0,1,0,0,0,0,0,0,0,29,4,1,2,36,23,9,10,1,0,0,0,79,39,118
PUNA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,2,1,0,0,0,1,1,1,0,0,0,1,2,0,1,3,2,5,0,1,7,4,15,17,32
PUNATA,otras vacunaciones,covid-19 dosis unica,2024-01-01,11,6,4,1,1,1,1,0,1,0,0,0,6,15,5,6,16,31,10,20,11,3,1,6,67,89,156
QUIABAYA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,10,0,0,5,4,0,0,0,0,27,15,42
QUILLACOLLO,otras vacunaciones,covid-19 dosis unica,2024-01-01,33,35,21,15,2,2,1,2,6,2,3,2,104,101,26,34,186,290,61,89,99,114,23,36,565,722,1287
QUIME,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,6,5,13,5,0,1,8,4,32,15,47
RAVELO,otras vacunaciones,covid-19 dosis unica,2024-01-01,1,1,3,11,0,0,1,0,0,0,0,0,1,0,2,7,1,1,11,30,0,1,51,72,71,123,194
REYES,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,1,6
RIBERALTA,otras vacunaciones,covid-19 dosis unica,2024-01-01,2,1,0,0,0,1,0,0,0,0,0,0,52,20,0,0,81,56,13,0,9,1,0,0,157,79,236
ROBORE,otras vacunaciones,covid-19 dosis unica,2024-01-01,7,4,18,18,0,2,5,6,0,0,5,5,26,25,1,0,39,110,0,0,5,4,0,0,106,174,280
RURRENABAQUE,otras vacunaciones,covid-19 dosis unica,2024-01-01,4,3,0,0,0,1,0,0,0,0,0,0,5,1,0,0,5,3,2,1,2,2,0,0,18,11,29
SACABA,otras vacunaciones,covid-19 dosis unica,2024-01-01,17,16,15,16,6,1,1,0,1,0,1,3,54,52,33,27,67,99,163,98,28,31,33,33,419,376,795
SACABAMBA,otras vacunaciones,covid-19 dosis unica,2024-01-01,2,2,1,3,0,0,0,1,1,0,2,0,0,0,0,0,4,7,2,5,0,0,1,3,13,21,34
SACACA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,4,4,0,0,0,0,0,0,0,0,3,2,1,3,6,8,1,0,1,2,6,9,22,28,50
SAIPINA,otras vacunaciones,covid-19 dosis unica,2024-01-01,25,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,30,46,76
SAMAIPATA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,5,0,0,0,0,0,0,0,0,0,0,2,1,0,0,21,29,0,0,21,8,0,0,44,43,87
SAN ANDRES DE MACHACA,otras vacunaciones,covid-19 dosis unica,2024-01-01,4,0,4,7,0,0,2,0,0,0,0,0,1,3,11,24,9,16,29,31,5,7,13,12,78,100,178
SAN ANTONIO DE LOMERIO,otras vacunaciones,covid-19 dosis unica,2024-01-01,8,9,0,3,0,0,0,0,0,0,0,0,1,1,0,1,4,5,1,0,2,3,6,4,22,26,48
SAN BENITO,otras vacunaciones,covid-19 dosis unica,2024-01-01,8,3,0,0,1,1,0,0,2,1,0,0,7,17,0,1,26,35,0,0,14,13,0,1,58,72,130
SAN BORJA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,8,7,17,20,5,2,5,6,37,38,75
SAN BUENA VENTURA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,1,1,1,0,0,1,1,0,0,0,0,0,2,2,2,10,7,96,11,0,0,3,3,113,28,141
SAN IGNACIO DE VELASCO,otras vacunaciones,covid-19 dosis unica,2024-01-01,10,9,8,1,0,1,0,0,1,0,0,0,8,15,0,0,33,22,0,0,9,6,0,0,69,54,123
SAN JAVIER(STC),otras vacunaciones,covid-19 dosis unica,2024-01-01,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,29,0,0,0,0,0,0,19,36,55
SAN JOAQUIN,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,5,7,0,0,1,0,0,0,1,0,0,1,7,13,2,12,11,17,0,0,1,0,28,50,78
SAN JOSE DE CHIQUITOS,otras vacunaciones,covid-19 dosis unica,2024-01-01,2,0,0,0,0,1,0,0,0,1,0,0,17,1,0,0,22,18,0,0,6,2,0,0,47,23,70
SAN JULIAN,otras vacunaciones,covid-19 dosis unica,2024-01-01,2,3,1,6,0,0,2,0,1,1,1,2,5,4,1,5,49,35,6,11,15,3,4,5,87,75,162
SAN LORENZO(TJA),otras vacunaciones,covid-19 dosis unica,2024-01-01,5,5,0,0,0,0,0,0,0,0,0,0,3,4,0,0,6,23,0,0,8,11,4,4,26,47,73
SAN LUCAS,otras vacunaciones,covid-19 dosis unica,2024-01-01,8,2,0,0,1,1,0,0,1,0,0,0,0,1,0,0,5,19,0,0,2,6,0,0,17,29,46
SAN MIGUEL DE VELASCO,otras vacunaciones,covid-19 dosis unica,2024-01-01,1,2,0,0,0,0,0,0,0,0,0,0,1,11,0,0,5,25,0,0,2,0,0,0,9,38,47
SAN PEDRO DE BUENA VISTA,otras vacunaciones,covid-19 dosis unica,2024-01-01,3,3,0,0,0,0,0,0,0,0,0,0,4,6,0,0,11,10,3,3,12,9,4,2,37,33,70
SAN PEDRO DE CURAHUARA,otras vacunaciones,covid-19 dosis unica,2024-01-01,1,0,18,21,0,0,2,1,0,0,0,0,0,1,2,2,5,8,13,20,2,0,15,24,58,77,135
SAN PEDRO DE MACHA,otras vacunaciones,covid-19 dosis unica,2024-01-01,1,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,7,0,0,0,0,0,0,3,12,15
SAN PEDRO DE TIQUINA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,3,3,6
SAN PEDRO(PND),otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,8,2,0,0,0,0,0,0,0,0,0,0,10,6,0,0,13,11,0,0,0,1,31,20,51
SAN RAFAEL,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,11,0,0,4,8,0,0,12,20,32
SAN RAMON BENI,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,2
SAN RAMON SCZ,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,1,0,0,0,0,0,10,1,11
SANTA ANA,otras vacunaciones,covid-19 dosis unica,2024-01-01,2,5,1,3,0,0,1,4,0,0,0,0,6,0,12,3,14,23,13,2,7,2,0,0,56,42,98
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid-19 dosis unica,2024-01-01,287,336,17,21,21,30,7,5,25,23,12,10,255,327,74,56,1494,1584,514,255,469,353,35,39,3210,3039,6249
SANTA ROSA DEL SARA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,6,6
SANTIAGO DE CALLAPA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,8,7,8,16,24
SANTIAGO DE HUATA,otras vacunaciones,covid-19 dosis unica,2024-01-01,2,1,1,5,0,0,1,1,0,0,0,0,2,5,5,0,4,2,21,20,0,1,7,4,43,39,82
SANTIVAÑES,otras vacunaciones,covid-19 dosis unica,2024-01-01,5,8,2,2,2,3,0,0,0,2,1,0,1,1,1,1,4,6,7,15,5,3,4,12,32,53,85
SANTUARIO DE QUILLACAS,otras vacunaciones,covid-19 dosis unica,2024-01-01,1,0,7,15,1,0,0,0,0,0,0,0,1,1,2,1,2,1,1,2,0,0,0,0,15,20,35
SAPAHAQUI,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,1,0,0,0,0,0,0,0,1,1,2,4,0,0,2,6,1,1,0,0,4,4,11,16,27
SENA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,26,16,0,0,0,0,0,0,29,24,53
SHINAOTA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,7,0,0,0,0,1,0,0,0,0,1,1,120,0,6,8,33,6,0,2,0,1,167,19,186
SICA SICA (VILLA AROMA),otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,2,9,26,27,25,32,0,13,11,84,65,149
SICAYA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,5,5
SIPE SIPE,otras vacunaciones,covid-19 dosis unica,2024-01-01,6,3,3,1,1,1,0,0,0,1,0,0,14,11,4,2,8,14,44,20,2,0,7,9,89,62,151
SOPACHUY,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,0,0,0,0,0,0,4,18,22
SORACACHI,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,8,5,0,0,0,0,12,6,18
SORATA,otras vacunaciones,covid-19 dosis unica,2024-01-01,2,4,1,1,0,0,0,0,0,1,0,0,4,2,3,1,6,6,12,25,3,3,5,3,36,46,82
SUCRE,otras vacunaciones,covid-19 dosis unica,2024-01-01,83,89,15,16,20,7,2,3,14,11,1,0,85,107,31,43,601,874,538,589,348,314,168,129,1906,2182,4088
TACACOMA,otras vacunaciones,covid-19 dosis unica,2024-01-01,1,2,2,0,0,0,1,0,0,0,0,0,2,3,5,0,8,6,2,1,2,0,0,0,23,12,35
TACOBAMBA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
TACOPAYA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,5,5,0,0,0,0,0,0,0,0,6,1,2,3,6,7,3,4,1,6,5,6,28,32,60
TAPACARI,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,8,13,1,0,7,9,13,21,29,47,76
TARACO,otras vacunaciones,covid-19 dosis unica,2024-01-01,1,3,14,9,0,0,2,5,0,0,2,1,0,0,10,8,7,4,19,25,4,1,8,6,67,62,129
TARATA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,8,12,4,1,1,2,0,0,17,18,35
TARIJA,otras vacunaciones,covid-19 dosis unica,2024-01-01,31,24,4,6,0,2,0,1,2,2,0,0,32,45,53,19,116,203,205,170,130,107,172,68,745,647,1392
TARVITA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,9,11,0,0,0,0,0,0,0,0,0,3,0,2,29,33,11,9,5,3,6,7,60,68,128
TEOPONTE,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,14,5,0,0,0,0,0,0,17,17,34
TIAHUANACU,otras vacunaciones,covid-19 dosis unica,2024-01-01,3,1,12,2,0,1,0,0,0,0,1,0,4,2,5,1,3,14,20,27,3,6,33,41,84,95,179
TINGUIPAYA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,12,18,13,22,35
TIPUANI,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,38,7,3,0,0,0,0,0,41,30,71
TIQUIPAYA,otras vacunaciones,covid-19 dosis unica,2024-01-01,24,27,29,37,1,2,2,0,0,0,1,1,24,28,33,37,32,56,58,71,24,12,15,17,243,288,531
TIRAQUE (CBBA),otras vacunaciones,covid-19 dosis unica,2024-01-01,2,5,3,1,0,0,0,0,1,2,0,0,1,8,9,8,3,12,11,15,1,1,3,4,34,56,90
TOCO,otras vacunaciones,covid-19 dosis unica,2024-01-01,1,1,2,4,0,0,0,0,0,0,1,1,0,2,1,2,3,5,4,11,5,4,1,3,18,33,51
TOLATA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,2,5,2,0,0,2,1,0,1,8,12,20
TOMAVE,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,2
TOMINA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,10,22,3,8,3,8,4,1,22,40,62
TORO TORO,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,8,2,0,0,0,6,8,14
TOTORA(CBBA),otras vacunaciones,covid-19 dosis unica,2024-01-01,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
TOTORA(ORR),otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,5,0,0,6,6,12
TRIGAL,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,4,8,12
TRINIDAD,otras vacunaciones,covid-19 dosis unica,2024-01-01,10,11,0,0,0,1,0,0,0,0,0,0,19,6,318,73,94,115,362,218,8,4,16,14,827,442,1269
TUPIZA,otras vacunaciones,covid-19 dosis unica,2024-01-01,4,2,1,9,0,2,1,0,1,2,0,3,52,13,3,5,22,11,14,16,5,0,14,17,117,80,197
TURCO,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,3,3,6
UNCIA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,2,0,0,0,0,0,0,0,44,1,23,1,6,8,14,0,6,4,1,0,96,14,110
URIONDO (A. CONCEPCION),otras vacunaciones,covid-19 dosis unica,2024-01-01,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,3,5
URUBICHA,otras vacunaciones,covid-19 dosis unica,2024-01-01,1,0,0,1,0,0,0,1,0,0,0,0,11,1,4,5,1,9,8,15,1,0,2,1,28,33,61
UYUNI,otras vacunaciones,covid-19 dosis unica,2024-01-01,2,1,0,0,0,0,0,0,0,1,0,0,3,0,5,0,33,11,10,12,6,3,3,2,62,30,92
VACAS,otras vacunaciones,covid-19 dosis unica,2024-01-01,2,1,3,4,0,0,0,0,0,0,2,0,2,0,98,1,0,0,9,0,0,0,0,0,116,6,122
VALLEGRANDE,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,74,26,2,0,0,0,0,70,76,146
VIACHA,otras vacunaciones,covid-19 dosis unica,2024-01-01,6,5,0,0,0,1,0,1,0,0,0,0,44,3,5,2,16,35,16,4,5,5,3,4,95,60,155
VILA VILA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,2,4,5,0,0,2,3,9,12,21
VILLA CHARCAS,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,4,3,0,0,1,0,0,0,1,1,2,1,1,1,4,9,1,17,6,2,1,8,21,42,63
VILLA MONTES,otras vacunaciones,covid-19 dosis unica,2024-01-01,3,6,25,20,1,0,3,7,4,1,27,4,10,6,160,29,52,49,76,91,18,9,50,39,429,261,690
VILLA RIVERO,otras vacunaciones,covid-19 dosis unica,2024-01-01,2,6,7,6,0,0,0,1,0,0,2,0,3,12,0,2,3,13,5,6,4,4,0,1,26,51,77
VILLA SERRANO,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,15,33,0,0,22,22,0,0,38,57,95
VILLA TUNARI,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,22,26,3,2,4,1,0,1,31,34,65
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,covid-19 dosis unica,2024-01-01,1,0,3,8,0,0,0,1,0,0,4,2,1,0,3,10,15,5,9,17,2,1,8,7,46,51,97
VILLAZON,otras vacunaciones,covid-19 dosis unica,2024-01-01,9,12,1,1,2,0,0,0,0,2,0,0,19,43,2,1,61,137,22,20,74,67,8,3,198,286,484
VINTO,otras vacunaciones,covid-19 dosis unica,2024-01-01,13,5,14,11,1,2,3,1,0,3,1,3,17,14,7,12,29,24,22,21,8,4,5,4,120,104,224
WALDO BALLIVIAN,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,1,0,0,0,0,0,0,0,1,0,0,2,1,0,0,3,6,0,0,1,0,0,0,6,9,15
WARNES,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,38,63,232,458,159,38,39,12,0,0,0,0,0,0,468,571,1039
YACUIBA,otras vacunaciones,covid-19 dosis unica,2024-01-01,11,14,3,3,2,2,2,1,1,0,0,1,25,16,204,29,69,83,75,116,35,25,23,27,450,317,767
YAMPARAEZ,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,8,4,0,0,2,1,0,0,4,1,3,1,0,1,13,14,10,4,2,2,4,3,46,31,77
YANACACHI,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,3,6,3,1,3,2,1,6,7,23,19,42
YAPACANI,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,57,6,3,0,0,0,0,86,60,146
YOTALA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,8,14,3,6,2,2,0,0,13,30,43
YUNCHARA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,6,0,3,1,0,0,0,5,10,15
ZUDAÑEZ,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,4,5,0,0,0,1,0,0,0,0,1,2,6,1,8,14,17,21,4,3,4,3,44,50,94
ACACIO,otras vacunaciones,covid-19 dosis unica,2024-02-01,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,17,17,20,37
ACHACACHI,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,0,0,0,0,2,2,3,0,5,6,5,2,6,12,4,11,205,28,1,0,2,3,233,64,297
ACHOCALLA,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,1,5,7,0,0,0,1,0,0,0,0,1,1,5,5,2,7,13,18,4,2,0,0,30,42,72
AIQUILE,otras vacunaciones,covid-19 dosis unica,2024-02-01,1,0,26,23,0,0,0,2,0,0,0,2,2,8,2,7,8,9,12,22,1,0,5,4,57,77,134
ALALAY,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,2
ALCALA,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,3,6,9
ALTO BENI,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,35,28,0,0,0,0,0,0,0,0,36,30,66
ANCORAIMES,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,7,4,2,2,0,1,0,0,12,12,24
ANDAMARCA,otras vacunaciones,covid-19 dosis unica,2024-02-01,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,2,7,9
ANTEQUERA,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
ANZALDO,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,3,2,0,0,0,0,0,0,0,2,1,0,1,2,1,2,7,2,0,0,0,0,13,10,23
APOLO,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,1,1,12,0,0,2,4,5,22,27
