,group,variable,month,COVID-19 DOSIS ANUAL 5 A 9 - D,COVID-19 DOSIS ANUAL 5 A 9 - D,COVID-19 DOSIS ANUAL 5 A 9 - F,COVID-19 DOSIS ANUAL 5 A 9 - F,COVID-19 DOSIS ANUAL 10 AÑOS - D,COVID-19 DOSIS ANUAL 10 AÑOS - D,COVID-19 DOSIS ANUAL 10 AÑOS - F,COVID-19 DOSIS ANUAL 10 AÑOS - F,COVID-19 DOSIS ANUAL 11 AÑOS - D,COVID-19 DOSIS ANUAL 11 AÑOS - D,COVID-19 DOSIS ANUAL 11 AÑOS - F,COVID-19 DOSIS ANUAL 11 AÑOS - F,COVID-19 DOSIS ANUAL 12 A 20 - D,COVID-19 DOSIS ANUAL 12 A 20 - D,COVID-19 DOSIS ANUAL 12 A 20 - F,COVID-19 DOSIS ANUAL 12 A 20 - F,COVID-19 DOSIS ANUAL 21 A 59 - D,COVID-19 DOSIS ANUAL 21 A 59 - D,COVID-19 DOSIS ANUAL 21 A 59 - F,COVID-19 DOSIS ANUAL 21 A 59 - F,COVID-19 DOSIS ANUAL 60 Y MAS - D,COVID-19 DOSIS ANUAL 60 Y MAS - D,COVID-19 DOSIS ANUAL 60 Y MAS - F,COVID-19 DOSIS ANUAL 60 Y MAS - F,TOTALES,TOTALES,TOTALES
SANTIAGO DE HUATA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,4,6,5,5,2,7,12,22,34
SANTIAGO DE MACHACA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
SAPAHAQUI,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SICA SICA (VILLA AROMA),otras vacunaciones,covid-19 dosis anual,2024-01-01,1,1,1,1,0,0,1,0,0,0,0,0,11,0,0,3,13,20,22,20,2,0,3,8,54,53,107
SIPE SIPE,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,6
SOPACHUY,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,1,0,0,4,3,7
SORATA,otras vacunaciones,covid-19 dosis anual,2024-01-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,7,11,13,14,27
SUCRE,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,86,97,16,12,460,570,199,243,491,468,78,57,1330,1447,2777
TACOBAMBA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
TACOPAYA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,5,1,4,3,6,11,17,28
TAHUA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
TAPACARI,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
TARABUCO,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,1,3,6,0,0,1,0,0,0,0,1,2,3,3,3,26,42,45,3,5,3,9,5,94,67,161
TARACO,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,3
TARATA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,6,12,6,8,1,3,0,0,16,25,41
TARIJA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,37,40,10,7,261,422,114,90,309,273,103,75,834,907,1741
TARVITA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,2,2,4
TINGUIPAYA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,7,4,8,6,14
TIPUANI,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,19,0,0,0,0,0,0,0,19,20,39
TIQUIPAYA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,7,5,1,4,19,26,7,19,19,13,14,15,67,82,149
TIRAQUE (CBBA),otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,1,5,8,2,4,2,0,1,2,16,18,34
TOCO,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,2,4,1,0,1,0,7,7,14
TODOS SANTOS,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,1,0,0,0,0,2,5,7
TOMINA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,13,22,0,3,12,14,3,3,31,46,77
TORO TORO,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,0,0,6,1,7
TOTORA(CBBA),otras vacunaciones,covid-19 dosis anual,2024-01-01,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,3,3,6
TRINIDAD,otras vacunaciones,covid-19 dosis anual,2024-01-01,1,2,0,0,0,0,0,0,1,0,0,0,29,20,20,28,24,25,14,11,6,11,3,0,98,97,195
TUPIZA,otras vacunaciones,covid-19 dosis anual,2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,13,20,7,9,4,4,7,14,35,53,88
UMALA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,4,6,0,0,1,0,7,9,16
UNCIA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,16,4,9,3,8,7,3,1,7,4,0,0,43,19,62
UYUNI,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,11,0,18,12,6,8,12,4,0,1,48,27,75
VACAS,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,4,0,0,0,0,0,25,0,25
VALLEGRANDE,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,0,0,0,0,0,0,5,19,24
VIACHA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,17,8,0,1,17,23,18,4,10,9,1,3,63,48,111
VILLA CHARCAS,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,2,3
VILLA MONTES,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,6,9,21,1,89,42,12,3,19,17,7,9,154,81,235
VILLA RIVERO,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,5,0,0,1,5,7,11,18
VILLA SERRANO,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,8,10,0,0,5,10,0,0,16,22,38
VILLA TUNARI,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,4
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,6,24,5,2,2,4,3,38,16,54
VILLAZON,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1,2,18,41,13,20,14,11,16,10,70,92,162
VINTO,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,12,4,6,18,20,19,3,17,14,12,1,4,56,74,130
VITICHI,otras vacunaciones,covid-19 dosis anual,2024-01-01,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,4,1,1,1,7,8,15
WARNES,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,3,6,9
YACUIBA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,10,14,0,0,55,64,3,4,51,26,7,8,126,116,242
YAMPARAEZ,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,13,0,0,8,5,19,19,38
YOCALLA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,3,1,4
YOTALA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,4,2,5,7
YUNCHARA,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,3,2,5
YUNGUYO DE LITORAL,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,5,3,0,0,0,0,0,0,8,4,12
ZUDAÑEZ,otras vacunaciones,covid-19 dosis anual,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,23,22,1,1,2,1,32,27,59
ACACIO,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
ACHACACHI,otras vacunaciones,covid-19 dosis anual,2024-02-01,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,1,3,1,6,12,15,16,31
AIQUILE,otras vacunaciones,covid-19 dosis anual,2024-02-01,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,51,65,65,78,143
ALCALA,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,6,7,13
ANCORAIMES,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2
ANZALDO,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
ARAMPAMPA,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,6,0,0,10,8,13,16,29
ARANI,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,5,2,2,6,8,14
ARBIETO,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
ARQUE,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,8,17,11,25,36
ATOCHA,otras vacunaciones,covid-19 dosis anual,2024-02-01,2,0,3,1,0,0,0,1,0,0,0,0,0,2,2,5,1,2,7,9,0,0,1,2,16,22,38
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,7,7,14,9,24,19,43
AZURDUY,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,2,4,3,8,7,15
BAURES,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,10
BELLA FLOR,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
BERMEJO,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,4,1,2,9,11,20
BETANZOS,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
BOLIVAR,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,7,8,8,16
BUENA VISTA,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CAIROMA,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
CALACOTO,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,5,1,6
CAMARGO,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,13,19,19,25,44
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,covid-19 dosis anual,2024-02-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,1,2,3,1,10,6,16
CAMIRI,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,2,0,0,0,1,0,0,0,0,0,0,1,1,2,0,0,2,0,0,0,0,0,0,3,6,9
CAPINOTA,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,6,18,11,20,31
CAQUIAVIRI,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
CARACOLLO,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,5,2,7
CARAPARI,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2
CARIPUYO,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,4,3,7
CARMEN RIVERO TORREZ,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3,3,5,8
CHACARILLA,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CHALLAPATA,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
CHAQUI,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,0,6,0,6
CHIMORE,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,1,2,4,4,8
CHUA COCANI,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,11,17,11,28
CHUMA,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,3
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
CKOCHAS,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CLIZA,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,5,2,7
COBIJA,otras vacunaciones,covid-19 dosis anual,2024-02-01,1,0,0,0,0,1,0,0,0,0,0,0,1,1,38,22,0,0,38,16,1,0,3,0,82,40,122
COCHABAMBA,otras vacunaciones,covid-19 dosis anual,2024-02-01,1,1,6,5,0,0,0,0,0,0,0,0,3,11,9,4,13,34,65,76,54,48,63,56,214,235,449
COLCAPIRHUA,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,7,4,14,9,23
"COLCHA ""K""",otras vacunaciones,covid-19 dosis anual,2024-02-01,6,4,0,0,0,0,0,0,0,0,0,0,2,1,1,0,7,2,1,2,0,0,1,1,18,10,28
COLOMI,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,4,8,4,12
COLQUECHACA,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,8,7,15
COLQUENCHA,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,2,3,0,0,6,5,11
COLQUIRI,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,1,0,0,1,4,6,8,14
COMARAPA,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,4,8,12
COMBAYA,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4,4,8
CONCEPCION,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,0,8,2,10
CORIPATA,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,13,0,13
CORO CORO,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,1,6,0,1,0,1,1,193,2,195
COROICO,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,1,7,1,8
CORQUE,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
COTAGAITA,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,4,4,6,0,0,8,8,13,22,35
COTOCA,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,15,0,0,0,15,27,42
CUATRO CAÑADAS,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,4
CUEVO,otras vacunaciones,covid-19 dosis anual,2024-02-01,2,2,3,1,0,0,1,0,0,0,0,0,0,0,1,1,3,0,2,3,0,0,0,3,12,10,22
CURAHUARA DE CARANGAS,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
EL ALTO,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,2,0,0,4,4,0,0,0,0,0,0,2,3,2,3,32,34,140,89,91,57,84,67,355,259,614
EL CHORO,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
EL PUENTE(STC),otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,2
EL PUENTE(TJA),otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,10,11,11,14,25
EL TORNO,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,16,18,0,0,2,0,0,0,19,19,38
ENTRE RIOS CBBA,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,29,2,1,0,3,1,38,8,46
FERNANDEZ ALONSO,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,15,14,0,0,1,0,0,0,0,0,0,0,1,3,0,0,5,16,0,0,11,12,33,45,78
GAIOC JATUN AYLLU YURA,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,8,1,1,3,6,8,18,26
GIA-TIM,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,4,1,0,0,0,1,0,0,6,5,11
GUAQUI,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2
GUAYARAMERIN,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,3,4
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,12,17,13,19,32
HUARINA,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
ICHOCA,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,1,5
ICLA,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,12,4,15,19
INCAHUASI,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,4,3,7
IRUPANA (VILLA DE LANZA),otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,3,8,3,11
IXIAMAS,otras vacunaciones,covid-19 dosis anual,2024-02-01,1,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,3,7,10,3,1,0,0,1,19,16,35
JESUS DE MACHACA,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,4,2,1,17,10,27,16,43
LA ASUNTA,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,5,3,0,0,0,1,0,0,0,1,0,1,0,0,6,4,0,0,1,0,0,0,12,10,22
LA GUARDIA,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,33,33,15,12,25,15,0,0,79,61,140
LA PAZ,otras vacunaciones,covid-19 dosis anual,2024-02-01,1,1,0,0,1,0,0,0,0,0,0,0,1,3,3,3,132,106,659,89,146,185,14,16,957,403,1360
LAJA,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,20,17,0,3,7,7,32,28,60
LAS CARRERAS,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,4,14,25,8,6,4,6,33,41,74
LICOMA PAMPA,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
LLALLAGUA,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,2,0,0,0,0,0,0,0,2,1,1,0,3,1,2,4,4,1,2,5,1,4,17,16,33
LLICA,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
LORETO,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,2,1,3
MACHARETI,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2,8,9,14,11,25
MAPIRI,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,5,7,12
MIZQUE,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,13,18,18,19,37
MOJOCOYA,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,5,10,5,15
MORO MORO,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15,19,0,0,0,0,16,20,36
MOROCHATA,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
OCURI,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,14,14,14,28
ORURO,otras vacunaciones,covid-19 dosis anual,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,10,3,0,69,34,4,2,86,47,133
