,group,variable,month,TOTAL N° DE TBP BAAR (+) NUEVOS CANTIDAD,TOTAL N° DE TBP BAAR (+) NUEVOS CANTIDAD,TOTALES
TAPACARI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,1,0,1
TARIJA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,1,2,3
TRINIDAD,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,4,2,6
UNCIA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,0,2,2
URUBICHA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,0,1,1
UYUNI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,0,1,1
VIACHA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,3,0,3
VILLA CHARCAS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,0,3,3
VILLA MONTES,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,2,3,5
VINTO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,2,3,5
WARNES,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,9,0,9
YACUIBA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,7,4,11
YANACACHI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,1,0,1
YAPACANI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,4,1,5
YOTALA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,0,1,1
