,group,variable,month,TOTAL TRATAMIENTOS INICIADOS CON ESQUEMA I CANTIDAD,TOTAL TRATAMIENTOS INICIADOS CON ESQUEMA I CANTIDAD,TOTALES
COTAGAITA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,2,0,2
COTOCA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,4,1,5
EL ALTO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,26,23,49
EL TORNO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,1,2,3
ENTRE RIOS TRJ,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,1,2,3
ENTRE RIOS CBBA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,5,0,5
GUANAY,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,2,1,3
GUAYARAMERIN,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,1,0,1
HUARINA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,2,0,2
INCAHUASI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,2,0,2
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,3,0,3
LA ASUNTA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,6,0,6
LA GUARDIA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,5,2,7
LA PAZ,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,24,12,36
MIZQUE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,2,1,3
MONTERO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,13,7,20
OMEREQUE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,0,1,1
ORURO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,11,6,17
PAILON,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,1,0,1
PALCA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,2,0,2
PALOS BLANCOS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,0,2,2
PATACAMAYA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,1,0,1
POJO (CBBA),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,1,0,1
PORONGO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,2,0,2
POTOSI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,63,37,100
PUERTO QUIJARRO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,0,1,1
PUERTO SUAREZ,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,3,7,10
PUNATA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,3,1,4
QUILLACOLLO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,2,4,6
RIBERALTA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,2,6,8
ROBORE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,1,0,1
RURRENABAQUE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,2,0,2
SACABA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,8,4,12
SAIPINA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,1,0,1
SAMAIPATA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,0,1,1
SAN BENITO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,1,1,2
SAN BORJA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,4,1,5
SAN CARLOS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,2,0,2
SAN IGNACIO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,0,1,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,1,0,1
SAN JULIAN,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,1,1,2
SAN LORENZO(TJA),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,1,0,1
SAN LUCAS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,2,0,2
SAN MIGUEL DE VELASCO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,0,1,1
SAN PEDRO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,1,0,1
SAN RAFAEL,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,84,62,146
SUCRE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,6,4,10
TAPACARI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,1,0,1
TARIJA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,4,5,9
TIPUANI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,1,0,1
TOLATA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,1,0,1
TRINIDAD,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,5,2,7
UNCIA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,0,2,2
URUBICHA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,0,1,1
UYUNI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,0,1,1
VIACHA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,1,0,1
VILLA CHARCAS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,0,3,3
VILLA MONTES,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,3,0,3
VILLA TUNARI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,3,3,6
VILLAZON,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,0,1,1
VINTO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,3,3,6
WARNES,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,8,0,8
YACUIBA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,7,4,11
YAPACANI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,4,1,5
YOTALA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,1,0,1
