,group,variable,month,TOTAL N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,TOTAL N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,TOTALES
BUENA VISTA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,6,3,9
CABEZAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,10,12,22
CAIROMA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,0,1
"CAIZA ""D""",tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,3,3,6
CAJUATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,1,2
CALACOTO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,4,2,6
CALAMARCA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,0,1,1
CAMARGO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,4,8,12
CAMATAQUI (C. VILLA ABECIA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,0,3,3
CAMIRI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,15,15,30
CAPINOTA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,3,4,7
CAQUIAVIRI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,0,1,1
CARACOLLO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,4,4,8
CARANAVI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,27,23,50
CARAPARI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,3,3,6
CARIPUYO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,4,3,7
CARMEN RIVERO TORREZ,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,2,1,3
CHALLAPATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,4,11,15
CHAQUI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,3,4
CHARAGUA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,6,2,8
CHAYANTA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,7,1,8
CHIMORE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,2,1,3
CHOQUE COTA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,10,9,19
CHUMA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,0,3,3
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,0,1
CKOCHAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,3,2,5
CLIZA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,9,6,15
COBIJA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,38,14,52
COCAPATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,3,6,9
COCHABAMBA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,151,112,263
COLCAPIRHUA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,8,15,23
"COLCHA ""K""",tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,1,2
COLOMI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,0,1
COLPA BELGICA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,1,2
COLQUECHACA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,5,12,17
COLQUIRI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,1,2
COMARAPA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,4,4,8
COMBAYA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,0,1
CONCEPCION,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,2,3,5
COPACABANA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,0,1
CORIPATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,3,4
COROICO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,10,14,24
CORQUE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,2,2,4
COTAGAITA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,2,6,8
COTOCA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,28,27,55
CUATRO CAÑADAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,12,15,27
CULPINA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,4,14,18
CURAHUARA DE CARANGAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,0,1,1
CURVA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,0,1
DESAGUADERO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,2,0,2
EL ALTO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,153,165,318
EL CHORO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,2,0,2
EL PUENTE(STC),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,5,0,5
EL PUENTE(TJA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,2,3
EL TORNO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,27,30,57
ENTRE RIOS CBBA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,17,13,30
ESCOMA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,0,1,1
EUCALIPTUS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,1,2
EUREKA (SANTOS MERCADO),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,2,0,2
FERNANDEZ ALONSO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,12,0,12
GENERAL SAAVEDRA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,2,3
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,3,4
GUANAY,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,5,6,11
GUAYARAMERIN,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,18,8,26
GUTIERREZ,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,3,0,3
HUACARETA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,5,6
HUACAYA (VILLA DE HUACAYA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,1,2
HUANUNI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,23,9,32
HUARACAJE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,0,2,2
HUARINA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,2,0,2
HUATAJATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,2,3
HUAYLLAMARCA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,1,2
INCAHUASI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,6,2,8
INQUISIVI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,0,1,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,8,7,15
IXIAMAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,0,1
JESUS DE MACHACA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,3,3,6
LA ASUNTA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,15,13,28
LA GUARDIA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,19,20,39
LA PAZ,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,234,186,420
LAJA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,0,1,1
LAS CARRERAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,2,0,2
LLALLAGUA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,14,8,22
MACHACAMARCA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,0,1,1
MACHARETI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,1,2
MAGDALENA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,0,2,2
MAPIRI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,14,3,17
MECAPACA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,5,1,6
MIZQUE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,5,2,7
MOJOCOYA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,2,1,3
MONTEAGUDO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,18,15,33
MONTERO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,25,36,61
MOROCHATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,1,2
OCURI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,3,2,5
OKINAWA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,2,2,4
OMEREQUE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,0,1,1
ORURO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,110,79,189
PADCAYA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,3,5,8
PADILLA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,3,3,6
PAILON,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,5,10,15
PALCA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,5,2,7
PALOS BLANCOS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,17,12,29
PAMPA AULLAGAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,0,1
PAMPA GRANDE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,0,1
PASORAPA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,1,2
PATACAMAYA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,4,3,7
PAZÑA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,2,1,3
POCOATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,0,1
POCONA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,4,0,4
POJO (CBBA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,1,2
POOPO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,0,1
PORCO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,2,2,4
POROMA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,4,1,5
PORONGO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,0,1,1
PORTACHUELO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,6,3,9
PORVENIR,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,0,1
POTOSI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,69,17,86
PRESTO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,3,2,5
PUCARANI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,3,1,4
PUERTO ACOSTA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,0,1,1
PUERTO CARABUCO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,5,1,6
PUERTO PEREZ,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,4,1,5
PUERTO QUIJARRO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,11,4,15
PUERTO RICO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,3,0,3
PUERTO SUAREZ,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,2,0,2
PUERTO VILLARROEL,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,21,21,42
PUNA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,4,5,9
PUNATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,9,5,14
QUILLACOLLO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,49,40,89
QUIME,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,2,1,3
RAVELO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,3,2,5
REYES,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,2,0,2
RIBERALTA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,36,31,67
ROBORE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,3,1,4
RURRENABAQUE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,4,3,7
SABAYA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,2,3
SACABA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,38,30,68
SACACA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,2,0,2
SAIPINA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,2,1,3
SAMAIPATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,10,0,10
SAN ANDRES,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,0,3,3
SAN ANDRES DE MACHACA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,2,3
SAN BENITO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,1,2
SAN BORJA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,9,14,23
SAN BUENA VENTURA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,4,1,5
SAN CARLOS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,6,4,10
SAN IGNACIO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,8,5,13
SAN IGNACIO DE VELASCO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,5,7,12
SAN JAVIER(BNI),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,1,2
SAN JAVIER(STC),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,3,0,3
SAN JOAQUIN,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,3,2,5
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,4,5
SAN JUAN DE YAPACANI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,3,5,8
SAN JULIAN,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,25,25,50
SAN LORENZO(TJA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,3,5,8
SAN LUCAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,9,11,20
SAN MATIAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,0,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,4,2,6
SAN PEDRO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,0,1,1
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,2,4,6
SAN PEDRO DE CURAHUARA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,0,1
SAN RAMON BENI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,0,1
SAN RAMON SCZ,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,3,3,6
SANTA ANA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,5,3,8
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,416,369,785
SANTA ROSA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,2,0,2
SANTA ROSA DEL SARA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,3,3,6
SANTIAGO DE HUARI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,2,0,2
SANTIAGO DE HUATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,1,2
SANTIVAÑES,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,2,3
SAPAHAQUI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,0,1
SENA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,3,1,4
SHINAOTA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,7,7,14
SICA SICA (VILLA AROMA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,3,2,5
SICAYA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,0,1
SIPE SIPE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,7,13,20
SOPACHUY,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,6,7
SORATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,10,7,17
SUCRE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,114,131,245
TACACHI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,0,1,1
TACACOMA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,0,1
TACOBAMBA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,2,0,2
TACOPAYA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,1,2
TAPACARI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,4,2,6
TARABUCO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,8,4,12
TARACO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,2,3
TARATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,2,0,2
TARIJA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,59,47,106
TARVITA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,7,8
TEOPONTE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,3,4,7
TIAWANACU,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,1,2
TINGUIPAYA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,5,6
TIPUANI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,16,5,21
TIQUIPAYA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,14,14,28
TIRAQUE (CBBA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,0,1
TITO YUPANQUI (PARQUIPUJIO),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,0,1
TOCO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,2,2,4
TOLATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,3,0,3
TOMAVE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,4,5
TOMINA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,6,3,9
TORO TORO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,3,3,6
TOTORA(CBBA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,4,3,7
TOTORA(ORR),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,2,3
TRINIDAD,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,29,19,48
TUPIZA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,26,7,33
TURCO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,0,1,1
UNCIA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,19,13,32
URIONDO (A. CONCEPCION),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,0,1,1
URUBICHA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,3,3,6
UYUNI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,3,1,4
VACAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,0,1
VALLEGRANDE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,2,4,6
VIACHA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,13,14,27
VILLA CHARCAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,5,8,13
VILLA MONTES,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,17,9,26
VILLA RIVERO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,0,2,2
VILLA SERRANO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,0,3,3
VILLA TUNARI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,50,39,89
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,1,2
VILLAZON,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,9,9,18
VINTO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,7,13,20
VITICHI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,0,1
WARNES,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,24,20,44
