,group,variable,month,TOTAL 1711 NEUMOCÓCICA 2DA. DOSIS CANTIDAD,TOTAL 1711 NEUMOCÓCICA 2DA. DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
UMALA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,2,3,2,3,5
UNCIA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,1,0,1,0,1
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,6,6,6,6,12
UYUNI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,2,0,2,0,2
VIACHA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,1,0,1,0,1
VILLA CHARCAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,18,17,18,17,35
VILLA MONTES,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,2,0,2,0,2
VILLA SERRANO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,2,0,2,0,2
VILLA TUNARI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,10,0,10,0,10
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,5,2,5,2,7
VILLAZON,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,46,0,46,0,46
VITICHI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,2,0,2,0,2
WARNES,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,2,0,2,0,2
YACO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,13,7,13,7,20
YACUIBA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,2,0,2,0,2
YAMPARAEZ,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,10,2,10,2,12
YANACACHI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,9,7,9,7,16
YAPACANI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,18,49,18,49,67
YUNCHARA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,0,1,0,1,1
ZUDAÑEZ,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,3,3,3,3,6
ACHACACHI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,25,13,25,13,38
ACHOCALLA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,3,0,3,0,3
AIQUILE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,6,15,6,15,21
ALALAY,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,4,3,4,3,7
ALCALA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,10,5,10,5,15
ALTO BENI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,5,0,5,0,5
ANCORAIMES,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,17,7,17,7,24
ANZALDO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,5,1,5,1,6
APOLO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,6,0,6,0,6
ARANI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,4,0,4,0,4
ARBIETO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,1,0,1,0,1
ARQUE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,4,0,4,0,4
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,127,5,127,5,132
AYATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,7,5,7,5,12
AYO AYO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,1,1,1,1,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,13,5,13,5,18
AZURDUY,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,13,4,13,4,17
BATALLAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,6,8,6,8,14
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,1,0,1,0,1
BELEN DE URMIRI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,0,1,0,1,1
BERMEJO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,9,8,9,8,17
BETANZOS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,30,13,30,13,43
BOLIVAR,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,6,4,6,4,10
BOYUIBE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,9,2,9,2,11
BUENA VISTA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,20,3,20,3,23
CABEZAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,17,5,17,5,22
CAIROMA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,0,1,0,1,1
"CAIZA ""D""",vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,0,1,0,1,1
CAJUATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,0,3,0,3,3
CALACOTO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,0,2,0,2,2
CALAMARCA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,5,0,5,0,5
CAMARGO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,42,4,42,4,46
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,2,1,2,1,3
CAMIRI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,37,2,37,2,39
CAPINOTA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,49,2,49,2,51
CAQUIAVIRI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,9,2,9,2,11
CARANAVI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,92,3,92,3,95
CARIPUYO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,6,10,6,10,16
CHACARILLA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,2,0,2,0,2
CHALLAPATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,2,6,2,6,8
CHAQUI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,10,3,10,3,13
CHARAGUA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,13,21,13,21,34
CHIMORE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,8,1,8,1,9
CHUA COCANI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,1,3,1,3,4
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,16,3,16,3,19
CHUMA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,4,2,4,2,6
CKOCHAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,3,1,3,1,4
CLIZA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,9,1,9,1,10
COBIJA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,19,1,19,1,20
COCAPATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,3,0,3,0,3
COCHABAMBA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,392,2,392,2,394
COIPASA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,0,1,0,1,1
COLCAPIRHUA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,9,0,9,0,9
"COLCHA ""K""",vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,4,2,4,2,6
COLOMI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,52,7,52,7,59
COLPA BELGICA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,10,0,10,0,10
COLQUECHACA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,29,32,29,32,61
COLQUIRI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,9,0,9,0,9
COMANCHE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,2,2,2,2,4
COMARAPA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,3,0,3,0,3
COMBAYA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,1,0,1,0,1
CONCEPCION,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,38,6,38,6,44
COPACABANA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,9,23,9,23,32
CORIPATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,39,0,39,0,39
CORO CORO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,9,3,9,3,12
COROICO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,27,3,27,3,30
COTAGAITA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,52,31,52,31,83
COTOCA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,51,1,51,1,52
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,46,1,46,1,47
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,2,0,2,0,2
CUEVO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,2,3,2,3,5
CULPINA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,1,0,1,0,1
DESAGUADERO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,5,3,5,3,8
EL ALTO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,1427,116,1427,116,1543
EL PUENTE(TJA),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,2,2,2,2,4
EL TORNO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,78,1,78,1,79
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,2,0,2,0,2
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,39,1,39,1,40
ESMERALDA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,1,0,1,0,1
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,10,0,10,0,10
FILADELFIA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,8,9,8,9,17
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,8,1,8,1,9
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,6,3,6,3,9
GUAQUI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,4,8,4,8,12
GUAYARAMERIN,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,3,0,3,0,3
GUTIERREZ,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,0,21,0,21,21
HUACARETA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,6,8,6,8,14
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,1,3,1,3,4
HUANUNI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,9,0,9,0,9
HUARACAJE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,6,0,6,0,6
HUARINA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,3,3,3,3,6
HUATAJATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,1,1,1,1,2
HUMANATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,1,6,1,6,7
ICLA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,13,11,13,11,24
INCAHUASI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,0,2,0,2,2
INQUISIVI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,4,5,4,5,9
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,3,3,3,3,6
JESUS DE MACHACA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,2,1,2,1,3
LA GUARDIA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,45,3,45,3,48
LA PAZ,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,1172,8,1172,8,1180
LAGUNILLAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,4,1,4,1,5
LAJA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,12,6,12,6,18
LAS CARRERAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,8,2,8,2,10
LICOMA PAMPA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,2,0,2,0,2
LLALLAGUA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,8,4,8,4,12
LLICA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,3,0,3,0,3
LORETO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,0,1,0,1,1
LURIBAY,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,5,8,5,8,13
MACHARETI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,18,6,18,6,24
MAGDALENA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,4,2,4,2,6
MALLA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,2,5,2,5,7
MINEROS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,56,4,56,4,60
MIZQUE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,6,2,6,2,8
MOCOMOCO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,5,4,5,4,9
MOJINETE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,0,1,0,1,1
MOJOCOYA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,3,2,3,2,5
MONTEAGUDO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,18,4,18,4,22
MONTERO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,166,0,166,0,166
MORO MORO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,2,0,2,0,2
OCURI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,15,31,15,31,46
OKINAWA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,14,0,14,0,14
OMEREQUE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,9,13,9,13,22
ORURO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,39,0,39,0,39
PADILLA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,20,8,20,8,28
PAILON,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,58,0,58,0,58
PALCA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,3,0,3,0,3
PALOS BLANCOS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,16,4,16,4,20
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,0,1,0,1,1
PAMPA GRANDE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,5,0,5,0,5
PAPEL PAMPA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,1,3,1,3,4
PASORAPA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,5,2,5,2,7
PATACAMAYA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,7,0,7,0,7
PAZÑA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,9,0,9,0,9
PELECHUCO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,1,0,1,0,1
POCOATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,0,4,0,4,4
POCONA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,0,1,0,1,1
POJO (CBBA),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,5,0,5,0,5
POROMA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,2,0,2,0,2
PORONGO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,11,1,11,1,12
PORTACHUELO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,71,2,71,2,73
PORVENIR,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,13,0,13,0,13
POTOSI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,146,0,146,0,146
PRESTO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,1,15,1,15,16
PUCARA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,0,1,0,1,1
PUCARANI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,9,15,9,15,24
PUERTO CARABUCO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,1,1,1,1,2
PUERTO RICO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,0,3,0,3,3
PUERTO SILES,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,0,3,0,3,3
PUERTO SUAREZ,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,47,2,47,2,49
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,37,6,37,6,43
PUNA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,10,3,10,3,13
PUNATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,17,0,17,0,17
QUILLACOLLO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,35,16,35,16,51
QUIRUSILLAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,0,1,0,1,1
RAVELO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,1,4,1,4,5
REYES,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,6,0,6,0,6
RURRENABAQUE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,12,0,12,0,12
SABAYA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,2,0,2,0,2
SACABA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,310,8,310,8,318
SACABAMBA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,8,4,8,4,12
SAMAIPATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,7,0,7,0,7
SAN AGUSTIN,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,4,0,4,0,4
SAN ANDRES,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,1,0,1,0,1
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,1,2,1,2,3
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,2,1,2,1,3
SAN BENITO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,3,1,3,1,4
SAN CARLOS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,4,0,4,0,4
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,40,6,40,6,46
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,1,0,1,0,1
SAN JAVIER(STC),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,20,2,20,2,22
SAN JOAQUIN,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,14,0,14,0,14
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,10,0,10,0,10
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,31,0,31,0,31
SAN JULIAN,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,32,38,32,38,70
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,3,1,3,1,4
SAN LUCAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,18,27,18,27,45
SAN MATIAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,60,7,60,7,67
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,9,0,9,0,9
SAN PEDRO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,22,3,22,3,25
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,1,1,1,1,2
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,0,2,0,2,2
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,6,1,6,1,7
SAN RAMON BENI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,1,1,1,1,2
SAN RAMON SCZ,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,9,0,9,0,9
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,1244,5,1244,5,1249
SANTA ROSA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,1,0,1,0,1
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,20,5,20,5,25
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,1,0,1,0,1
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,4,2,4,2,6
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,0,2,0,2,2
SANTIVAÑES,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,9,2,9,2,11
SENA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,8,0,8,0,8
SHINAOTA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,41,4,41,4,45
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,4,1,4,1,5
SIPE SIPE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,6,0,6,0,6
SOPACHUY,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,1,0,1,0,1
SORACACHI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,1,0,1,0,1
SORATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,5,12,5,12,17
SUCRE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,560,23,560,23,583
TACACOMA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-03-01,1,0,1,0,1
