,group,variable,month,TOTAL 17.1 BCG CANTIDAD,TOTAL 17.1 BCG CANTIDAD,TOTALES,TOTALES,TOTALES
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,      bcg,2014-01-01,10,1,10,1,11
URUBICHA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,7,0,7,0,7
UYUNI,vacunaciones en menores de 1 ano,      bcg,2014-01-01,49,2,49,2,51
VACAS,vacunaciones en menores de 1 ano,      bcg,2014-01-01,4,18,4,18,22
VALLEGRANDE,vacunaciones en menores de 1 ano,      bcg,2014-01-01,40,0,40,0,40
VIACHA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,69,5,69,5,74
VILA VILA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,4,1,4,1,5
VILLA CHARCAS,vacunaciones en menores de 1 ano,      bcg,2014-01-01,12,12,12,12,24
VILLA MONTES,vacunaciones en menores de 1 ano,      bcg,2014-01-01,109,2,109,2,111
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,      bcg,2014-01-01,1,1,1,1,2
VILLA RIVERO,vacunaciones en menores de 1 ano,      bcg,2014-01-01,5,13,5,13,18
VILLA SERRANO,vacunaciones en menores de 1 ano,      bcg,2014-01-01,11,3,11,3,14
VILLA TUNARI,vacunaciones en menores de 1 ano,      bcg,2014-01-01,117,23,117,23,140
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,      bcg,2014-01-01,5,1,5,1,6
VILLAZON,vacunaciones en menores de 1 ano,      bcg,2014-01-01,81,0,81,0,81
VINTO,vacunaciones en menores de 1 ano,      bcg,2014-01-01,77,0,77,0,77
VITICHI,vacunaciones en menores de 1 ano,      bcg,2014-01-01,8,4,8,4,12
WARNES,vacunaciones en menores de 1 ano,      bcg,2014-01-01,183,3,183,3,186
YACO,vacunaciones en menores de 1 ano,      bcg,2014-01-01,3,8,3,8,11
YACUIBA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,179,12,179,12,191
YAMPARAEZ,vacunaciones en menores de 1 ano,      bcg,2014-01-01,4,2,4,2,6
YANACACHI,vacunaciones en menores de 1 ano,      bcg,2014-01-01,5,0,5,0,5
YAPACANI,vacunaciones en menores de 1 ano,      bcg,2014-01-01,125,3,125,3,128
YOCALLA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,5,2,5,2,7
YOTALA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,12,1,12,1,13
YUNCHARA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,1,7,1,7,8
ZUDAÑEZ,vacunaciones en menores de 1 ano,      bcg,2014-01-01,9,1,9,1,10
ACACIO,vacunaciones en menores de 1 ano,      bcg,2014-02-01,4,8,4,8,12
ACHACACHI,vacunaciones en menores de 1 ano,      bcg,2014-02-01,32,12,32,12,44
ACHOCALLA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,9,4,9,4,13
AIQUILE,vacunaciones en menores de 1 ano,      bcg,2014-02-01,29,14,29,14,43
ALALAY,vacunaciones en menores de 1 ano,      bcg,2014-02-01,0,3,0,3,3
ALCALA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,2,0,2,0,2
ALTO BENI,vacunaciones en menores de 1 ano,      bcg,2014-02-01,11,0,11,0,11
ANCORAIMES,vacunaciones en menores de 1 ano,      bcg,2014-02-01,9,8,9,8,17
ANTEQUERA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,2,1,2,1,3
ANZALDO,vacunaciones en menores de 1 ano,      bcg,2014-02-01,5,3,5,3,8
APOLO,vacunaciones en menores de 1 ano,      bcg,2014-02-01,11,6,11,6,17
ARAMPAMPA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,2,10,2,10,12
ARANI,vacunaciones en menores de 1 ano,      bcg,2014-02-01,16,0,16,0,16
ARBIETO,vacunaciones en menores de 1 ano,      bcg,2014-02-01,16,4,16,4,20
ARQUE,vacunaciones en menores de 1 ano,      bcg,2014-02-01,9,8,9,8,17
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,      bcg,2014-02-01,68,0,68,0,68
ATOCHA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,13,13,13,13,26
AUCAPATA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,5,1,5,1,6
AYATA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,1,9,1,9,10
AYO AYO,vacunaciones en menores de 1 ano,      bcg,2014-02-01,4,13,4,13,17
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,      bcg,2014-02-01,29,18,29,18,47
AZURDUY,vacunaciones en menores de 1 ano,      bcg,2014-02-01,11,8,11,8,19
BATALLAS,vacunaciones en menores de 1 ano,      bcg,2014-02-01,14,6,14,6,20
BAURES,vacunaciones en menores de 1 ano,      bcg,2014-02-01,3,0,3,0,3
BELEN DE URMIRI,vacunaciones en menores de 1 ano,      bcg,2014-02-01,1,0,1,0,1
BELLA FLOR,vacunaciones en menores de 1 ano,      bcg,2014-02-01,1,1,1,1,2
BERMEJO,vacunaciones en menores de 1 ano,      bcg,2014-02-01,68,0,68,0,68
BETANZOS,vacunaciones en menores de 1 ano,      bcg,2014-02-01,36,20,36,20,56
BOLIVAR,vacunaciones en menores de 1 ano,      bcg,2014-02-01,0,17,0,17,17
BOYUIBE,vacunaciones en menores de 1 ano,      bcg,2014-02-01,2,0,2,0,2
BUENA VISTA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,12,4,12,4,16
CABEZAS,vacunaciones en menores de 1 ano,      bcg,2014-02-01,23,67,23,67,90
CAIROMA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,9,1,9,1,10
"CAIZA ""D""",vacunaciones en menores de 1 ano,      bcg,2014-02-01,1,10,1,10,11
CAJUATA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,12,7,12,7,19
CALACOTO,vacunaciones en menores de 1 ano,      bcg,2014-02-01,1,6,1,6,7
CALAMARCA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,3,13,3,13,16
CAMARGO,vacunaciones en menores de 1 ano,      bcg,2014-02-01,20,3,20,3,23
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,      bcg,2014-02-01,6,0,6,0,6
CAMIRI,vacunaciones en menores de 1 ano,      bcg,2014-02-01,75,0,75,0,75
CAPINOTA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,27,0,27,0,27
CAQUIAVIRI,vacunaciones en menores de 1 ano,      bcg,2014-02-01,3,5,3,5,8
CARACOLLO,vacunaciones en menores de 1 ano,      bcg,2014-02-01,17,4,17,4,21
CARANAVI,vacunaciones en menores de 1 ano,      bcg,2014-02-01,91,4,91,4,95
CARAPARI,vacunaciones en menores de 1 ano,      bcg,2014-02-01,5,4,5,4,9
CARIPUYO,vacunaciones en menores de 1 ano,      bcg,2014-02-01,0,16,0,16,16
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,      bcg,2014-02-01,3,8,3,8,11
CATACORA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,2,1,2,1,3
CHALLAPATA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,54,15,54,15,69
CHAQUI,vacunaciones en menores de 1 ano,      bcg,2014-02-01,2,2,2,2,4
CHARAGUA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,40,17,40,17,57
CHARAÑA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,3,1,3,1,4
CHAYANTA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,7,15,7,15,22
CHIMORE,vacunaciones en menores de 1 ano,      bcg,2014-02-01,12,6,12,6,18
CHIPAYA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,1,0,1,0,1
CHOQUE COTA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,0,1,0,1,1
CHUA COCANI,vacunaciones en menores de 1 ano,      bcg,2014-02-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,      bcg,2014-02-01,28,1,28,1,29
CHUMA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,1,3,1,3,4
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,      bcg,2014-02-01,8,12,8,12,20
CKOCHAS,vacunaciones en menores de 1 ano,      bcg,2014-02-01,23,4,23,4,27
CLIZA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,27,14,27,14,41
COBIJA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,135,4,135,4,139
COCAPATA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,4,15,4,15,19
COCHABAMBA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,1447,4,1447,4,1451
COIPASA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,1,0,1,0,1
COLCAPIRHUA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,66,2,66,2,68
"COLCHA ""K""",vacunaciones en menores de 1 ano,      bcg,2014-02-01,8,5,8,5,13
COLLANA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,2,3,2,3,5
COLOMI,vacunaciones en menores de 1 ano,      bcg,2014-02-01,26,14,26,14,40
COLPA BELGICA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,0,2,0,2,2
COLQUECHACA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,18,35,18,35,53
COLQUENCHA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,5,10,5,10,15
COLQUIRI,vacunaciones en menores de 1 ano,      bcg,2014-02-01,17,14,17,14,31
COMARAPA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,25,3,25,3,28
COMBAYA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,0,2,0,2,2
CONCEPCION,vacunaciones en menores de 1 ano,      bcg,2014-02-01,27,8,27,8,35
COPACABANA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,8,8,8,8,16
CORIPATA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,20,6,20,6,26
CORO CORO,vacunaciones en menores de 1 ano,      bcg,2014-02-01,6,5,6,5,11
COROICO,vacunaciones en menores de 1 ano,      bcg,2014-02-01,25,2,25,2,27
CORQUE,vacunaciones en menores de 1 ano,      bcg,2014-02-01,4,3,4,3,7
COTAGAITA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,13,9,13,9,22
COTOCA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,116,0,116,0,116
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,      bcg,2014-02-01,29,13,29,13,42
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,      bcg,2014-02-01,0,1,0,1,1
CUEVO,vacunaciones en menores de 1 ano,      bcg,2014-02-01,3,5,3,5,8
CULPINA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,6,21,6,21,27
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,      bcg,2014-02-01,8,1,8,1,9
CURVA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,0,5,0,5,5
DESAGUADERO,vacunaciones en menores de 1 ano,      bcg,2014-02-01,2,2,2,2,4
EL ALTO,vacunaciones en menores de 1 ano,      bcg,2014-02-01,1412,66,1412,66,1478
EL CHORO,vacunaciones en menores de 1 ano,      bcg,2014-02-01,8,5,8,5,13
EL PUENTE(STC),vacunaciones en menores de 1 ano,      bcg,2014-02-01,9,0,9,0,9
EL PUENTE(TJA),vacunaciones en menores de 1 ano,      bcg,2014-02-01,2,5,2,5,7
EL TORNO,vacunaciones en menores de 1 ano,      bcg,2014-02-01,78,0,78,0,78
EL VILLAR,vacunaciones en menores de 1 ano,      bcg,2014-02-01,4,0,4,0,4
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,      bcg,2014-02-01,9,2,9,2,11
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,36,3,36,3,39
ESCOMA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,2,1,2,1,3
EUCALIPTUS,vacunaciones en menores de 1 ano,      bcg,2014-02-01,5,1,5,1,6
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,      bcg,2014-02-01,2,2,2,2,4
EXALTACION,vacunaciones en menores de 1 ano,      bcg,2014-02-01,3,0,3,0,3
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,      bcg,2014-02-01,13,4,13,4,17
FILADELFIA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,1,5,1,5,6
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,22,2,22,2,24
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,      bcg,2014-02-01,3,10,3,10,13
GUANAY,vacunaciones en menores de 1 ano,      bcg,2014-02-01,16,4,16,4,20
GUAQUI,vacunaciones en menores de 1 ano,      bcg,2014-02-01,2,5,2,5,7
GUAYARAMERIN,vacunaciones en menores de 1 ano,      bcg,2014-02-01,106,0,106,0,106
GUTIERREZ,vacunaciones en menores de 1 ano,      bcg,2014-02-01,14,8,14,8,22
HUACARETA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,4,2,4,2,6
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,      bcg,2014-02-01,3,3,3,3,6
HUANUNI,vacunaciones en menores de 1 ano,      bcg,2014-02-01,42,1,42,1,43
HUARACAJE,vacunaciones en menores de 1 ano,      bcg,2014-02-01,1,5,1,5,6
HUARINA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,3,0,3,0,3
HUATAJATA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,0,1,0,1,1
HUAYLLAMARCA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,1,1,1,1,2
HUMANATA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,0,5,0,5,5
ICHOCA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,3,2,3,2,5
ICLA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,4,4,4,4,8
INCAHUASI,vacunaciones en menores de 1 ano,      bcg,2014-02-01,4,3,4,3,7
INQUISIVI,vacunaciones en menores de 1 ano,      bcg,2014-02-01,4,9,4,9,13
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,      bcg,2014-02-01,6,7,6,7,13
IXIAMAS,vacunaciones en menores de 1 ano,      bcg,2014-02-01,10,0,10,0,10
JESUS DE MACHACA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,3,9,3,9,12
LA ASUNTA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,66,12,66,12,78
LA GUARDIA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,117,3,117,3,120
LA PAZ,vacunaciones en menores de 1 ano,      bcg,2014-02-01,1684,5,1684,5,1689
LAGUNILLAS,vacunaciones en menores de 1 ano,      bcg,2014-02-01,2,2,2,2,4
LAJA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,30,9,30,9,39
LAS CARRERAS,vacunaciones en menores de 1 ano,      bcg,2014-02-01,3,1,3,1,4
LICOMA PAMPA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,0,3,0,3,3
LLALLAGUA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,24,54,24,54,78
LLICA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,2,1,2,1,3
LORETO,vacunaciones en menores de 1 ano,      bcg,2014-02-01,0,24,0,24,24
LURIBAY,vacunaciones en menores de 1 ano,      bcg,2014-02-01,4,6,4,6,10
MACHACAMARCA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,2,3,2,3,5
MACHARETI,vacunaciones en menores de 1 ano,      bcg,2014-02-01,3,2,3,2,5
MAGDALENA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,7,18,7,18,25
MAIRANA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,21,0,21,0,21
MALLA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,0,1,0,1,1
MAPIRI,vacunaciones en menores de 1 ano,      bcg,2014-02-01,13,3,13,3,16
MECAPACA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,9,8,9,8,17
MINEROS,vacunaciones en menores de 1 ano,      bcg,2014-02-01,28,2,28,2,30
MIZQUE,vacunaciones en menores de 1 ano,      bcg,2014-02-01,35,25,35,25,60
MOCOMOCO,vacunaciones en menores de 1 ano,      bcg,2014-02-01,10,7,10,7,17
MOJINETE,vacunaciones en menores de 1 ano,      bcg,2014-02-01,1,0,1,0,1
MOJOCOYA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,1,8,1,8,9
MONTEAGUDO,vacunaciones en menores de 1 ano,      bcg,2014-02-01,41,2,41,2,43
MONTERO,vacunaciones en menores de 1 ano,      bcg,2014-02-01,362,2,362,2,364
MOROCHATA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,0,11,0,11,11
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,      bcg,2014-02-01,0,6,0,6,6
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,      bcg,2014-02-01,0,1,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,      bcg,2014-02-01,1,0,1,0,1
OCURI,vacunaciones en menores de 1 ano,      bcg,2014-02-01,11,20,11,20,31
OKINAWA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,15,2,15,2,17
OMEREQUE,vacunaciones en menores de 1 ano,      bcg,2014-02-01,6,3,6,3,9
ORURO,vacunaciones en menores de 1 ano,      bcg,2014-02-01,696,12,696,12,708
PADCAYA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,5,5,5,5,10
PADILLA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,24,0,24,0,24
PAILON,vacunaciones en menores de 1 ano,      bcg,2014-02-01,24,42,24,42,66
PALCA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,8,12,8,12,20
PALOS BLANCOS,vacunaciones en menores de 1 ano,      bcg,2014-02-01,29,10,29,10,39
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,      bcg,2014-02-01,0,1,0,1,1
PAMPA GRANDE,vacunaciones en menores de 1 ano,      bcg,2014-02-01,13,0,13,0,13
PAPEL PAMPA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,0,10,0,10,10
PASORAPA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,1,1,1,1,2
PATACAMAYA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,36,7,36,7,43
PAZÑA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,4,1,4,1,5
PELECHUCO,vacunaciones en menores de 1 ano,      bcg,2014-02-01,2,2,2,2,4
POCOATA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,3,37,3,37,40
POCONA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,8,15,8,15,23
POJO (CBBA),vacunaciones en menores de 1 ano,      bcg,2014-02-01,20,4,20,4,24
POOPO,vacunaciones en menores de 1 ano,      bcg,2014-02-01,7,2,7,2,9
PORCO,vacunaciones en menores de 1 ano,      bcg,2014-02-01,23,1,23,1,24
POROMA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,9,19,9,19,28
PORONGO,vacunaciones en menores de 1 ano,      bcg,2014-02-01,6,5,6,5,11
PORTACHUELO,vacunaciones en menores de 1 ano,      bcg,2014-02-01,45,0,45,0,45
PORVENIR,vacunaciones en menores de 1 ano,      bcg,2014-02-01,4,0,4,0,4
POTOSI,vacunaciones en menores de 1 ano,      bcg,2014-02-01,517,12,517,12,529
PRESTO,vacunaciones en menores de 1 ano,      bcg,2014-02-01,2,7,2,7,9
PUCARANI,vacunaciones en menores de 1 ano,      bcg,2014-02-01,18,25,18,25,43
PUERTO ACOSTA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,2,17,2,17,19
PUERTO CARABUCO,vacunaciones en menores de 1 ano,      bcg,2014-02-01,2,14,2,14,16
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,      bcg,2014-02-01,1,2,1,2,3
PUERTO PEREZ,vacunaciones en menores de 1 ano,      bcg,2014-02-01,6,1,6,1,7
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,      bcg,2014-02-01,42,0,42,0,42
PUERTO RICO,vacunaciones en menores de 1 ano,      bcg,2014-02-01,5,7,5,7,12
PUERTO SILES,vacunaciones en menores de 1 ano,      bcg,2014-02-01,1,0,1,0,1
PUERTO SUAREZ,vacunaciones en menores de 1 ano,      bcg,2014-02-01,48,0,48,0,48
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,      bcg,2014-02-01,118,10,118,10,128
PUNA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,16,11,16,11,27
PUNATA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,82,2,82,2,84
QUIABAYA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,3,3,3,3,6
QUILLACOLLO,vacunaciones en menores de 1 ano,      bcg,2014-02-01,219,13,219,13,232
QUIME,vacunaciones en menores de 1 ano,      bcg,2014-02-01,2,12,2,12,14
QUIRUSILLAS,vacunaciones en menores de 1 ano,      bcg,2014-02-01,1,0,1,0,1
RAVELO,vacunaciones en menores de 1 ano,      bcg,2014-02-01,7,12,7,12,19
REYES,vacunaciones en menores de 1 ano,      bcg,2014-02-01,18,7,18,7,25
RIBERALTA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,297,0,297,0,297
ROBORE,vacunaciones en menores de 1 ano,      bcg,2014-02-01,33,0,33,0,33
RURRENABAQUE,vacunaciones en menores de 1 ano,      bcg,2014-02-01,58,5,58,5,63
SABAYA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,4,1,4,1,5
SACABA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,207,12,207,12,219
SACABAMBA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,7,2,7,2,9
SACACA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,22,15,22,15,37
SAIPINA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,2,4,2,4,6
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,9,3,9,3,12
SAMAIPATA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,7,2,7,2,9
SAN ANDRES,vacunaciones en menores de 1 ano,      bcg,2014-02-01,6,5,6,5,11
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,0,1,0,1,1
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,      bcg,2014-02-01,2,0,2,0,2
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,      bcg,2014-02-01,7,7,7,7,14
SAN BENITO,vacunaciones en menores de 1 ano,      bcg,2014-02-01,3,7,3,7,10
SAN BORJA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,102,16,102,16,118
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,12,5,12,5,17
SAN CARLOS,vacunaciones en menores de 1 ano,      bcg,2014-02-01,48,5,48,5,53
SAN IGNACIO,vacunaciones en menores de 1 ano,      bcg,2014-02-01,46,8,46,8,54
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,      bcg,2014-02-01,112,7,112,7,119
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,      bcg,2014-02-01,4,5,4,5,9
SAN JAVIER(STC),vacunaciones en menores de 1 ano,      bcg,2014-02-01,35,0,35,0,35
SAN JOAQUIN,vacunaciones en menores de 1 ano,      bcg,2014-02-01,2,0,2,0,2
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,      bcg,2014-02-01,35,15,35,15,50
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,      bcg,2014-02-01,9,2,9,2,11
SAN JULIAN,vacunaciones en menores de 1 ano,      bcg,2014-02-01,85,3,85,3,88
SAN LORENZO(PND),vacunaciones en menores de 1 ano,      bcg,2014-02-01,4,2,4,2,6
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,      bcg,2014-02-01,9,1,9,1,10
SAN LUCAS,vacunaciones en menores de 1 ano,      bcg,2014-02-01,28,12,28,12,40
SAN MATIAS,vacunaciones en menores de 1 ano,      bcg,2014-02-01,27,5,27,5,32
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,      bcg,2014-02-01,13,0,13,0,13
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,      bcg,2014-02-01,4,4,4,4,8
SAN PEDRO,vacunaciones en menores de 1 ano,      bcg,2014-02-01,21,0,21,0,21
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,15,25,15,25,40
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,2,7,2,7,9
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,5,2,5,2,7
SAN PEDRO(PND),vacunaciones en menores de 1 ano,      bcg,2014-02-01,0,1,0,1,1
SAN RAFAEL,vacunaciones en menores de 1 ano,      bcg,2014-02-01,4,1,4,1,5
SAN RAMON BENI,vacunaciones en menores de 1 ano,      bcg,2014-02-01,5,9,5,9,14
SAN RAMON SCZ,vacunaciones en menores de 1 ano,      bcg,2014-02-01,10,1,10,1,11
SANTA ANA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,33,2,33,2,35
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,3529,52,3529,52,3581
SANTA ROSA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,18,7,18,7,25
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,15,1,15,1,16
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,0,4,0,4,4
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,      bcg,2014-02-01,9,2,9,2,11
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,0,2,0,2,2
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,0,3,0,3,3
SANTIVAÑES,vacunaciones en menores de 1 ano,      bcg,2014-02-01,3,1,3,1,4
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,      bcg,2014-02-01,3,2,3,2,5
SAPAHAQUI,vacunaciones en menores de 1 ano,      bcg,2014-02-01,2,6,2,6,8
SENA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,7,0,7,0,7
SHINAOTA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,47,2,47,2,49
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,      bcg,2014-02-01,6,16,6,16,22
SICAYA,vacunaciones en menores de 1 ano,      bcg,2014-02-01,8,0,8,0,8
SIPE SIPE,vacunaciones en menores de 1 ano,      bcg,2014-02-01,62,0,62,0,62
SOPACHUY,vacunaciones en menores de 1 ano,      bcg,2014-02-01,8,2,8,2,10
SORACACHI,vacunaciones en menores de 1 ano,      bcg,2014-02-01,8,8,8,8,16
