,group,variable,month,TOTAL 17.7 (O.P.V.) ANTIPOLIOMIELÍTICA 3RA DOSIS CANTIDAD,TOTAL 17.7 (O.P.V.) ANTIPOLIOMIELÍTICA 3RA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
REYES,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,15,3,15,3,18
RIBERALTA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,218,51,218,51,269
ROBORE,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,29,4,29,4,33
RURRENABAQUE,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,30,2,30,2,32
SACABA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,245,5,245,5,250
SACABAMBA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,5,1,5,1,6
SACACA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,21,7,21,7,28
SAIPINA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,2,0,2,0,2
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,12,6,12,6,18
SAMAIPATA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,19,0,19,0,19
SAN ANDRES,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,12,13,12,13,25
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,6,2,6,2,8
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,2,0,2,0,2
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,5,5,5,5,10
SAN BENITO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,13,5,13,5,18
SAN BORJA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,83,4,83,4,87
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,22,4,22,4,26
SAN CARLOS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,35,3,35,3,38
SAN IGNACIO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,38,3,38,3,41
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,102,17,102,17,119
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,3,0,3,0,3
SAN JAVIER(STC),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,17,4,17,4,21
SAN JOAQUIN,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,12,0,12,0,12
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,39,2,39,2,41
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,14,5,14,5,19
SAN JULIAN,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,101,35,101,35,136
SAN LORENZO(PND),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,13,0,13,0,13
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,25,2,25,2,27
SAN LUCAS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,32,25,32,25,57
SAN MATIAS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,26,5,26,5,31
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,24,0,24,0,24
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,2,1,2,1,3
SAN PEDRO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,22,1,22,1,23
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,34,13,34,13,47
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,6,2,6,2,8
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,2,0,2,0,2
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,3,7,3,7,10
SAN PEDRO(PND),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,0,1,0,1,1
SAN RAFAEL,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,2,0,2,0,2
SAN RAMON BENI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,11,8,11,8,19
SAN RAMON SCZ,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,18,1,18,1,19
SANTA ANA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,35,3,35,3,38
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,2765,33,2765,33,2798
SANTA ROSA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,22,2,22,2,24
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,20,2,20,2,22
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,2,1,2,1,3
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,5,5,5,5,10
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,6,5,6,5,11
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,1,2,1,2,3
SANTIVAÑES,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,4,2,4,2,6
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,6,0,6,0,6
SAPAHAQUI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,13,2,13,2,15
SENA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,6,0,6,0,6
SHINAOTA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,25,2,25,2,27
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,19,2,19,2,21
SICAYA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,10,3,10,3,13
SIPE SIPE,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,106,1,106,1,107
SOPACHUY,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,5,3,5,3,8
SORACACHI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,17,6,17,6,23
SORATA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,20,12,20,12,32
SUCRE,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,596,19,596,19,615
TACACHI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,2,3,2,3,5
TACACOMA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,9,2,9,2,11
TACOBAMBA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,3,6,3,6,9
TACOPAYA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,9,3,9,3,12
TAPACARI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,33,22,33,22,55
TARABUCO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,5,6,5,6,11
TARACO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,11,2,11,2,13
TARATA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,10,9,10,9,19
TARIJA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,406,9,406,9,415
TARVITA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,13,3,13,3,16
TEOPONTE,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,13,5,13,5,18
TIAWANACU,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,23,5,23,5,28
TINGUIPAYA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,16,6,16,6,22
TIPUANI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,14,1,14,1,15
TIQUIPAYA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,106,20,106,20,126
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,22,16,22,16,38
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,1,0,1,0,1
TOCO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,3,5,3,5,8
TOLATA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,6,2,6,2,8
TOLEDO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,3,0,3,0,3
TOMAVE,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,10,10,10,10,20
TOMINA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,7,9,7,9,16
TORO TORO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,6,12,6,12,18
TOTORA(CBBA),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,22,4,22,4,26
TOTORA(ORR),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,3,0,3,0,3
TRIGAL,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,2,2,2,2,4
TRINIDAD,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,264,0,264,0,264
TUPIZA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,73,6,73,6,79
TURCO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,1,2,1,2,3
UMALA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,3,6,3,6,9
UNCIA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,28,6,28,6,34
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,18,6,18,6,24
URUBICHA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,10,4,10,4,14
UYUNI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,46,3,46,3,49
VACAS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,4,14,4,14,18
VALLEGRANDE,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,23,0,23,0,23
VIACHA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,124,5,124,5,129
VILA VILA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,4,9,4,9,13
VILLA CHARCAS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,13,8,13,8,21
VILLA MONTES,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,67,13,67,13,80
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,0,1,0,1,1
VILLA RIVERO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,18,3,18,3,21
VILLA SERRANO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,8,5,8,5,13
VILLA TUNARI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,118,7,118,7,125
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,11,3,11,3,14
VILLAZON,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,64,8,64,8,72
VINTO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,80,0,80,0,80
VITICHI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,4,2,4,2,6
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,2,3,2,3,5
WARNES,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,203,7,203,7,210
YACO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,5,4,5,4,9
YACUIBA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,159,8,159,8,167
YAMPARAEZ,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,9,3,9,3,12
YANACACHI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,8,5,8,5,13
YAPACANI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,113,8,113,8,121
YOCALLA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,8,7,8,7,15
YOTALA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,1,6,1,6,7
YUNCHARA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,2,5,2,5,7
ZUDAÑEZ,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-01-01,6,6,6,6,12
ACACIO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,3,7,3,7,10
ACHACACHI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,21,12,21,12,33
ACHOCALLA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,12,5,12,5,17
AIQUILE,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,31,18,31,18,49
ALALAY,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,3,2,3,2,5
ALCALA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,2,1,2,1,3
ALTO BENI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,11,1,11,1,12
ANCORAIMES,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,14,8,14,8,22
ANDAMARCA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,5,4,5,4,9
ANTEQUERA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,6,0,6,0,6
ANZALDO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,3,9,3,9,12
APOLO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,18,16,18,16,34
ARAMPAMPA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,2,3,2,3,5
ARANI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,16,2,16,2,18
ARBIETO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,14,6,14,6,20
ARQUE,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,9,3,9,3,12
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,58,1,58,1,59
ATOCHA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,21,5,21,5,26
AUCAPATA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,3,3,3,3,6
AYATA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,7,4,7,4,11
AYO AYO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,3,5,3,5,8
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,32,22,32,22,54
AZURDUY,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,8,6,8,6,14
BATALLAS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,17,11,17,11,28
BAURES,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,7,0,7,0,7
BELEN DE URMIRI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,0,1,0,1,1
BELLA FLOR,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,3,5,3,5,8
BERMEJO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,40,24,40,24,64
BETANZOS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,24,17,24,17,41
BOLIVAR,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,2,7,2,7,9
BOLPEBRA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,3,3,3,3,6
BOYUIBE,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,5,1,5,1,6
BUENA VISTA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,14,3,14,3,17
CABEZAS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,32,23,32,23,55
CAIROMA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,11,6,11,6,17
"CAIZA ""D""",vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,10,2,10,2,12
CAJUATA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,16,3,16,3,19
CALACOTO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,1,6,1,6,7
CALAMARCA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,11,4,11,4,15
CAMARGO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,15,9,15,9,24
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,2,1,2,1,3
CAMIRI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,65,3,65,3,68
CAPINOTA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,20,6,20,6,26
CAQUIAVIRI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,9,4,9,4,13
CARACOLLO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,12,7,12,7,19
CARANAVI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,63,10,63,10,73
CARAPARI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,22,5,22,5,27
CARIPUYO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,4,9,4,9,13
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,5,1,5,1,6
CHALLAPATA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,44,8,44,8,52
CHAQUI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,7,3,7,3,10
CHARAGUA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,33,22,33,22,55
CHARAÑA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,2,0,2,0,2
CHAYANTA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,13,3,13,3,16
CHIMORE,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,35,5,35,5,40
CHIPAYA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,4,0,4,0,4
CHUA COCANI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,1,2,1,2,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,33,11,33,11,44
CHUMA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,6,5,6,5,11
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,12,1,12,1,13
CKOCHAS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,15,7,15,7,22
CLIZA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,19,11,19,11,30
COBIJA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,88,10,88,10,98
COCAPATA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,13,22,13,22,35
COCHABAMBA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,993,7,993,7,1000
COIPASA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,1,1,1,1,2
COLCAPIRHUA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,88,0,88,0,88
"COLCHA ""K""",vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,18,2,18,2,20
COLLANA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,3,1,3,1,4
COLOMI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,26,1,26,1,27
COLPA BELGICA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,6,3,6,3,9
COLQUECHACA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,19,27,19,27,46
COLQUENCHA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,8,0,8,0,8
COLQUIRI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,7,24,7,24,31
COMANCHE,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,3,0,3,0,3
COMARAPA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,20,6,20,6,26
CONCEPCION,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,36,11,36,11,47
COPACABANA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,18,7,18,7,25
