,group,variable,month,TOTAL 18.1 SRP DOSIS ÚNICA CANTIDAD,TOTAL 18.1 SRP DOSIS ÚNICA CANTIDAD,TOTALES,TOTALES,TOTALES
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,2742,109,2742,109,2851
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,19,2,19,2,21
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,30,9,30,9,39
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,3,2,3,2,5
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,2,12,2,12,14
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,1,5,1,5,6
SANTIAGO DE MACHACA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,0,9,0,9,9
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,8,11,8,11,19
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,1,1,1,1,2
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,3,4,3,4,7
SENA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,6,7,6,7,13
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,43,4,43,4,47
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,24,7,24,7,31
SICAYA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,6,0,6,0,6
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,66,1,66,1,67
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,4,4,4,4,8
SORACACHI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,7,1,7,1,8
SORATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,14,16,14,16,30
SUCRE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,539,20,539,20,559
TACACHI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,1,2,1,2,3
TACACOMA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,7,8,7,8,15
TACOBAMBA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,2,8,2,8,10
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,13,0,13,0,13
TAHUA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,0,5,0,5,5
TAPACARI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,27,20,27,20,47
TARABUCO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,8,4,8,4,12
TARACO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,2,3,2,3,5
TARATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,9,1,9,1,10
TARIJA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,384,15,384,15,399
TARVITA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,5,5,5,5,10
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,7,4,7,4,11
TIAWANACU,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,24,1,24,1,25
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,17,13,17,13,30
TIPUANI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,11,1,11,1,12
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,29,1,29,1,30
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,14,12,14,12,26
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,1,0,1,0,1
TOCO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,4,4,4,4,8
TOLATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,8,4,8,4,12
TOLEDO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,4,1,4,1,5
TOMAVE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,7,9,7,9,16
TOMINA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,6,6,6,6,12
TORO TORO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,6,10,6,10,16
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,26,4,26,4,30
TOTORA(ORR),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,11,1,11,1,12
TRIGAL,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,228,9,228,9,237
TUPIZA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,68,10,68,10,78
TURCO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,2,5,2,5,7
UMALA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,3,8,3,8,11
UNCIA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,9,7,9,7,16
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,7,15,7,15,22
URUBICHA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,6,3,6,3,9
UYUNI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,34,7,34,7,41
VACAS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,3,15,3,15,18
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,22,0,22,0,22
VIACHA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,138,3,138,3,141
VILA VILA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,5,0,5,0,5
VILLA CHARCAS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,12,11,12,11,23
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,49,44,49,44,93
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,1,2,1,2,3
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,4,17,4,17,21
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,9,9,9,9,18
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,57,15,57,15,72
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,10,7,10,7,17
VILLAZON,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,68,5,68,5,73
VINTO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,87,0,87,0,87
VITICHI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,12,5,12,5,17
WALDO BALLIVIAN,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,3,0,3,0,3
WARNES,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,166,25,166,25,191
YACO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,3,5,3,5,8
YACUIBA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,134,31,134,31,165
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,9,0,9,0,9
YANACACHI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,4,1,4,1,5
YAPACANI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,90,22,90,22,112
YOCALLA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,8,3,8,3,11
YOTALA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,1,9,1,9,10
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,1,10,1,10,11
ZUDAÑEZ,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,8,4,8,4,12
ACACIO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,0,14,0,14,14
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,26,25,26,25,51
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,10,9,10,9,19
AIQUILE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,31,22,31,22,53
ALALAY,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,1,7,1,7,8
ALCALA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,0,1,0,1,1
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,13,0,13,0,13
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,12,10,12,10,22
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,1,0,1,0,1
ANZALDO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,5,11,5,11,16
APOLO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,19,4,19,4,23
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,4,9,4,9,13
ARANI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,21,0,21,0,21
ARBIETO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,28,9,28,9,37
ARQUE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,10,2,10,2,12
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,49,7,49,7,56
ATOCHA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,17,7,17,7,24
AYATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,8,3,8,3,11
AYO AYO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,6,5,6,5,11
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,17,26,17,26,43
AZURDUY,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,4,8,4,8,12
BATALLAS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,13,12,13,12,25
BAURES,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,5,0,5,0,5
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,2,1,2,1,3
BELEN DE URMIRI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,1,6,1,6,7
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,1,8,1,8,9
BERMEJO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,39,45,39,45,84
BETANZOS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,32,28,32,28,60
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,9,18,9,18,27
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,0,3,0,3,3
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,4,6,4,6,10
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,6,23,6,23,29
CABEZAS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,35,75,35,75,110
CAIROMA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,13,10,13,10,23
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,7,1,7,1,8
CAJUATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,12,2,12,2,14
CALACOTO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,2,14,2,14,16
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,16,8,16,8,24
CAMARGO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,17,4,17,4,21
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,2,2,2,2,4
CAMIRI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,54,3,54,3,57
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,32,0,32,0,32
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,9,1,9,1,10
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,14,9,14,9,23
CARANAVI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,91,26,91,26,117
CARAPARI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,11,24,11,24,35
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,0,14,0,14,14
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,3,12,3,12,15
CATACORA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,1,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,34,18,34,18,52
CHAQUI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,2,7,2,7,9
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,31,41,31,41,72
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,7,12,7,12,19
CHIMORE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,25,10,25,10,35
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,3,1,3,1,4
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,1,1,1,1,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,21,16,21,16,37
CHUMA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,7,9,7,9,16
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,9,2,9,2,11
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,14,14,14,14,28
CLIZA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,21,21,21,21,42
COBIJA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,79,29,79,29,108
COCAPATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,14,29,14,29,43
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,1126,29,1126,29,1155
COIPASA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,0,1,0,1,1
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,60,0,60,0,60
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,11,4,11,4,15
COLLANA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,2,3,2,3,5
COLOMI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,21,16,21,16,37
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,8,3,8,3,11
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,30,24,30,24,54
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,6,4,6,4,10
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,7,19,7,19,26
COMARAPA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,24,10,24,10,34
COMBAYA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,6,8,6,8,14
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,50,22,50,22,72
COPACABANA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,12,13,12,13,25
CORIPATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,14,0,14,0,14
CORO CORO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,9,6,9,6,15
COROICO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,17,11,17,11,28
CORQUE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,0,2,0,2,2
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,12,20,12,20,32
COTOCA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,95,19,95,19,114
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,36,20,36,20,56
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,4,0,4,0,4
CUEVO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,3,6,3,6,9
CULPINA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,20,24,20,24,44
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,5,1,5,1,6
CURVA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,0,1,0,1,1
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,7,13,7,13,20
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,1303,163,1303,163,1466
EL CHORO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,0,5,0,5,5
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,12,8,12,8,20
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,9,10,9,10,19
EL TORNO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,89,3,89,3,92
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,5,4,5,4,9
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,11,28,11,28,39
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,60,12,60,12,72
ESCOMA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,3,2,3,2,5
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,2,1,2,1,3
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,0,3,0,3,3
EXALTACION,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,1,0,1,0,1
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,16,18,16,18,34
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,4,30,4,30,34
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,28,8,28,8,36
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,7,12,7,12,19
GUANAY,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,16,41,16,41,57
GUAQUI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,9,8,9,8,17
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,68,29,68,29,97
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,22,23,22,23,45
HUACARETA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,10,7,10,7,17
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,0,7,0,7,7
HUACHACALLA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,5,1,5,1,6
HUANUNI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,36,4,36,4,40
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,4,7,4,7,11
HUARINA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,0,3,0,3,3
HUATAJATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,2,0,2,0,2
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,3,0,3,0,3
HUMANATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,2,8,2,8,10
ICHOCA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,1,7,1,7,8
ICLA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,6,2,6,2,8
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,9,12,9,12,21
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,5,17,5,17,22
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,16,19,16,19,35
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,2,3,2,3,5
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,8,7,8,7,15
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,63,14,63,14,77
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,145,20,145,20,165
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,1137,285,1137,285,1422
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,8,13,8,13,21
LAJA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,18,1,18,1,19
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,0,3,0,3,3
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,39,43,39,43,82
LLICA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,6,2,6,2,8
LORETO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,6,51,6,51,57
LURIBAY,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,4,7,4,7,11
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,4,0,4,0,4
MACHARETI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,5,7,5,7,12
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,19,19,19,19,38
MAIRANA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,27,1,27,1,28
MALLA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,0,4,0,4,4
MAPIRI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,22,4,22,4,26
MECAPACA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,11,9,11,9,20
MINEROS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,35,30,35,30,65
MIZQUE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,27,32,27,32,59
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-02-01,6,12,6,12,18
