,group,variable,month,TOTAL 18.2 ANTI AMARÍLICA CANTIDAD,TOTAL 18.2 ANTI AMARÍLICA CANTIDAD,TOTALES,TOTALES,TOTALES
SENA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,3,10,3,10,13
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,42,5,42,5,47
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,21,8,21,8,29
SICAYA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,6,0,6,0,6
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,94,1,94,1,95
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,4,4,4,4,8
SORACACHI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,5,0,5,0,5
SORATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,7,8,7,8,15
SUCRE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,530,21,530,21,551
TACACHI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,1,2,1,2,3
TACACOMA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,7,7,7,7,14
TACOBAMBA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,2,3,2,3,5
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,15,0,15,0,15
TAHUA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,0,5,0,5,5
TAPACARI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,22,11,22,11,33
TARABUCO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,8,4,8,4,12
TARACO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,1,4,1,4,5
TARATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,12,1,12,1,13
TARIJA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,397,9,397,9,406
TARVITA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,5,6,5,6,11
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,7,4,7,4,11
TIAWANACU,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,22,1,22,1,23
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,11,9,11,9,20
TIPUANI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,4,0,4,0,4
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,84,40,84,40,124
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,9,7,9,7,16
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,1,0,1,0,1
TOCO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,4,3,4,3,7
TOLATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,6,2,6,2,8
TOLEDO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,0,7,0,7,7
TOMAVE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,1,5,1,5,6
TOMINA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,6,5,6,5,11
TORO TORO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,6,10,6,10,16
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,26,2,26,2,28
TOTORA(ORR),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,11,1,11,1,12
TRIGAL,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,237,12,237,12,249
TUPIZA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,61,8,61,8,69
TURCO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,0,5,0,5,5
UMALA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,2,4,2,4,6
UNCIA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,15,7,15,7,22
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,10,13,10,13,23
URUBICHA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,6,3,6,3,9
UYUNI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,37,7,37,7,44
VACAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,0,11,0,11,11
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,22,0,22,0,22
VIACHA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,119,4,119,4,123
VILLA CHARCAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,13,12,13,12,25
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,38,50,38,50,88
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,1,2,1,2,3
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,4,16,4,16,20
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,9,9,9,9,18
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,55,25,55,25,80
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,9,7,9,7,16
VILLAZON,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,42,5,42,5,47
VINTO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,86,0,86,0,86
VITICHI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,12,4,12,4,16
WALDO BALLIVIAN,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,3,0,3,0,3
WARNES,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,137,31,137,31,168
YACO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,3,5,3,5,8
YACUIBA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,150,29,150,29,179
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,9,0,9,0,9
YANACACHI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,4,1,4,1,5
YAPACANI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,89,22,89,22,111
YOCALLA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,14,0,14,0,14
YOTALA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,1,9,1,9,10
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,2,9,2,9,11
ZUDAÑEZ,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,8,4,8,4,12
ACACIO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,0,14,0,14,14
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,26,22,26,22,48
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,9,8,9,8,17
AIQUILE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,31,23,31,23,54
ALALAY,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,0,5,0,5,5
ALCALA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,0,1,0,1,1
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,14,0,14,0,14
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,12,12,12,12,24
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,1,0,1,0,1
ANZALDO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,3,9,3,9,12
APOLO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,19,0,19,0,19
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,2,5,2,5,7
ARANI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,25,0,25,0,25
ARBIETO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,24,10,24,10,34
ARQUE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,0,1,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,45,4,45,4,49
ATOCHA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,3,21,3,21,24
AYATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,6,1,6,1,7
AYO AYO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,3,3,3,3,6
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,13,16,13,16,29
AZURDUY,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,4,8,4,8,12
BATALLAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,15,7,15,7,22
BAURES,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,5,0,5,0,5
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,2,1,2,1,3
BELEN DE URMIRI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,1,4,1,4,5
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,1,8,1,8,9
BERMEJO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,20,44,20,44,64
BETANZOS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,25,29,25,29,54
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,9,17,9,17,26
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,0,5,0,5,5
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,4,6,4,6,10
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,6,26,6,26,32
CABEZAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,30,77,30,77,107
CAIROMA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,13,10,13,10,23
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,5,5,5,5,10
CAJUATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,9,2,9,2,11
CALACOTO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,1,14,1,14,15
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,4,9,4,9,13
CAMARGO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,18,3,18,3,21
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,3,2,3,2,5
CAMIRI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,49,2,49,2,51
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,30,0,30,0,30
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,6,0,6,0,6
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,14,7,14,7,21
CARANAVI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,86,25,86,25,111
CARAPARI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,4,34,4,34,38
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,0,14,0,14,14
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,2,11,2,11,13
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,35,21,35,21,56
CHAQUI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,1,3,1,3,4
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,12,66,12,66,78
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,9,11,9,11,20
CHIMORE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,25,7,25,7,32
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,3,1,3,1,4
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,1,2,1,2,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,11,19,11,19,30
CHUMA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,7,9,7,9,16
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,1,6,1,6,7
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,15,11,15,11,26
CLIZA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,21,21,21,21,42
COBIJA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,86,31,86,31,117
COCAPATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,0,4,0,4,4
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,1129,29,1129,29,1158
COIPASA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,0,1,0,1,1
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,73,1,73,1,74
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,10,4,10,4,14
COLLANA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,1,3,1,3,4
COLOMI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,23,25,23,25,48
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,3,7,3,7,10
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,16,22,16,22,38
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,1,7,1,7,8
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,6,19,6,19,25
COMARAPA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,23,16,23,16,39
COMBAYA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,6,8,6,8,14
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,50,22,50,22,72
COPACABANA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,7,17,7,17,24
CORIPATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,14,0,14,0,14
CORO CORO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,8,9,8,9,17
COROICO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,12,12,12,12,24
CORQUE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,0,4,0,4,4
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,9,18,9,18,27
COTOCA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,95,19,95,19,114
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,40,19,40,19,59
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,0,8,0,8,8
CUEVO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,3,4,3,4,7
CULPINA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,15,28,15,28,43
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,2,0,2,0,2
CURVA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,1,5,1,5,6
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,7,13,7,13,20
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,1231,180,1231,180,1411
EL CHORO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,0,5,0,5,5
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,6,7,6,7,13
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,0,9,0,9,9
EL TORNO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,94,5,94,5,99
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,5,4,5,4,9
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,9,37,9,37,46
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,60,12,60,12,72
ESCOMA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,2,0,2,0,2
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,4,3,4,3,7
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,0,3,0,3,3
EXALTACION,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,1,0,1,0,1
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,16,18,16,18,34
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,4,33,4,33,37
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,29,8,29,8,37
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,6,7,6,7,13
GUANAY,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,16,41,16,41,57
GUAQUI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,4,8,4,8,12
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,54,56,54,56,110
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,12,32,12,32,44
HUACARETA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,10,7,10,7,17
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,0,6,0,6,6
HUACHACALLA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,3,1,3,1,4
HUANUNI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,39,3,39,3,42
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,4,7,4,7,11
HUARINA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,0,2,0,2,2
HUATAJATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,1,0,1,0,1
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,3,0,3,0,3
HUMANATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,2,8,2,8,10
ICHOCA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,1,11,1,11,12
ICLA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,5,2,5,2,7
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,5,3,5,3,8
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,5,16,5,16,21
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,16,20,16,20,36
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,2,3,2,3,5
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,8,12,8,12,20
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,52,11,52,11,63
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,148,18,148,18,166
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,1037,137,1037,137,1174
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,8,13,8,13,21
LAJA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,19,1,19,1,20
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,0,3,0,3,3
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,29,51,29,51,80
LLICA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,6,0,6,0,6
LORETO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,6,51,6,51,57
LURIBAY,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,4,6,4,6,10
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,2,0,2,0,2
MACHARETI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,5,6,5,6,11
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,20,20,20,20,40
MAIRANA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,23,1,23,1,24
MALLA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,0,4,0,4,4
MAPIRI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,28,4,28,4,32
MECAPACA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,4,2,4,2,6
MINEROS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,35,30,35,30,65
MIZQUE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,19,33,19,33,52
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,5,12,5,12,17
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,4,4,4,4,8
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,28,4,28,4,32
MONTERO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,203,15,203,15,218
MORO MORO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,0,6,0,6,6
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,0,6,0,6,6
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,0,10,0,10,10
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,2,0,2,0,2
OCURI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,11,13,11,13,24
OKINAWA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,21,8,21,8,29
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,4,8,4,8,12
ORURO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,401,75,401,75,476
PADCAYA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,22,4,22,4,26
PADILLA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,7,3,7,3,10
PAILON,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-02-01,27,50,27,50,77
