,group,variable,month,TOTAL Nº DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,TOTAL Nº DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
MONTERO,vih,total no de personas con prueba rapida,2015-09-01,2264,2678,4942
MOROCHATA,vih,total no de personas con prueba rapida,2015-09-01,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),vih,total no de personas con prueba rapida,2015-09-01,11,8,19
NUEVO MANOA (NUEVA ESPERANZA),vih,total no de personas con prueba rapida,2015-09-01,8,12,20
OCURI,vih,total no de personas con prueba rapida,2015-09-01,0,7,7
ORURO,vih,total no de personas con prueba rapida,2015-09-01,121,277,398
PADCAYA,vih,total no de personas con prueba rapida,2015-09-01,0,8,8
PADILLA,vih,total no de personas con prueba rapida,2015-09-01,1,2,3
PAILON,vih,total no de personas con prueba rapida,2015-09-01,19,43,62
PAMPA GRANDE,vih,total no de personas con prueba rapida,2015-09-01,0,4,4
PASORAPA,vih,total no de personas con prueba rapida,2015-09-01,18,6,24
POCONA,vih,total no de personas con prueba rapida,2015-09-01,1,1,2
POJO (CBBA),vih,total no de personas con prueba rapida,2015-09-01,1,14,15
PORCO,vih,total no de personas con prueba rapida,2015-09-01,0,5,5
PORONGO,vih,total no de personas con prueba rapida,2015-09-01,4,17,21
PORTACHUELO,vih,total no de personas con prueba rapida,2015-09-01,3,16,19
PORVENIR,vih,total no de personas con prueba rapida,2015-09-01,0,1,1
POTOSI,vih,total no de personas con prueba rapida,2015-09-01,30,162,192
PRESTO,vih,total no de personas con prueba rapida,2015-09-01,16,9,25
PUERTO GONZALO MORENO,vih,total no de personas con prueba rapida,2015-09-01,30,76,106
PUERTO QUIJARRO,vih,total no de personas con prueba rapida,2015-09-01,16,18,34
PUERTO RICO,vih,total no de personas con prueba rapida,2015-09-01,0,2,2
PUERTO SUAREZ,vih,total no de personas con prueba rapida,2015-09-01,3,47,50
PUERTO VILLARROEL,vih,total no de personas con prueba rapida,2015-09-01,105,550,655
PUNA,vih,total no de personas con prueba rapida,2015-09-01,9,65,74
PUNATA,vih,total no de personas con prueba rapida,2015-09-01,8,39,47
QUILLACOLLO,vih,total no de personas con prueba rapida,2015-09-01,5,71,76
QUIME,vih,total no de personas con prueba rapida,2015-09-01,3,2,5
RAVELO,vih,total no de personas con prueba rapida,2015-09-01,2,1,3
REYES,vih,total no de personas con prueba rapida,2015-09-01,1,0,1
RIBERALTA,vih,total no de personas con prueba rapida,2015-09-01,33,65,98
ROBORE,vih,total no de personas con prueba rapida,2015-09-01,9,1,10
RURRENABAQUE,vih,total no de personas con prueba rapida,2015-09-01,1,25,26
SABAYA,vih,total no de personas con prueba rapida,2015-09-01,2,0,2
SACABA,vih,total no de personas con prueba rapida,2015-09-01,17,68,85
SACABAMBA,vih,total no de personas con prueba rapida,2015-09-01,0,1,1
SACACA,vih,total no de personas con prueba rapida,2015-09-01,0,2,2
SAIPINA,vih,total no de personas con prueba rapida,2015-09-01,53,59,112
SAMAIPATA,vih,total no de personas con prueba rapida,2015-09-01,12,31,43
SAN ANDRES,vih,total no de personas con prueba rapida,2015-09-01,0,1,1
SAN BENITO,vih,total no de personas con prueba rapida,2015-09-01,2,2,4
SAN BORJA,vih,total no de personas con prueba rapida,2015-09-01,1,1,2
SAN BUENA VENTURA,vih,total no de personas con prueba rapida,2015-09-01,2,6,8
SAN CARLOS,vih,total no de personas con prueba rapida,2015-09-01,32,92,124
SAN IGNACIO,vih,total no de personas con prueba rapida,2015-09-01,6,56,62
SAN IGNACIO DE VELASCO,vih,total no de personas con prueba rapida,2015-09-01,58,43,101
SAN JAVIER(STC),vih,total no de personas con prueba rapida,2015-09-01,1,40,41
SAN JOSE DE CHIQUITOS,vih,total no de personas con prueba rapida,2015-09-01,15,22,37
SAN JUAN DE YAPACANI,vih,total no de personas con prueba rapida,2015-09-01,2,3,5
SAN LORENZO(PND),vih,total no de personas con prueba rapida,2015-09-01,69,147,216
SAN LORENZO(TJA),vih,total no de personas con prueba rapida,2015-09-01,1,23,24
SAN LUCAS,vih,total no de personas con prueba rapida,2015-09-01,13,22,35
SAN MIGUEL DE VELASCO,vih,total no de personas con prueba rapida,2015-09-01,1,0,1
SAN PEDRO,vih,total no de personas con prueba rapida,2015-09-01,41,30,71
SAN RAMON BENI,vih,total no de personas con prueba rapida,2015-09-01,7,0,7
SAN RAMON SCZ,vih,total no de personas con prueba rapida,2015-09-01,2,0,2
SANTA ANA,vih,total no de personas con prueba rapida,2015-09-01,3,49,52
SANTA CRUZ DE LA SIERRA,vih,total no de personas con prueba rapida,2015-09-01,656,1823,2479
SANTA ROSA,vih,total no de personas con prueba rapida,2015-09-01,0,1,1
SANTA ROSA DEL SARA,vih,total no de personas con prueba rapida,2015-09-01,35,24,59
SANTIVAÑES,vih,total no de personas con prueba rapida,2015-09-01,3,1,4
SANTUARIO DE QUILLACAS,vih,total no de personas con prueba rapida,2015-09-01,11,14,25
SHINAOTA,vih,total no de personas con prueba rapida,2015-09-01,25,31,56
SICAYA,vih,total no de personas con prueba rapida,2015-09-01,3,10,13
SIPE SIPE,vih,total no de personas con prueba rapida,2015-09-01,2,24,26
SOPACHUY,vih,total no de personas con prueba rapida,2015-09-01,40,38,78
SUCRE,vih,total no de personas con prueba rapida,2015-09-01,235,307,542
TACOBAMBA,vih,total no de personas con prueba rapida,2015-09-01,4,1,5
TAPACARI,vih,total no de personas con prueba rapida,2015-09-01,5,30,35
TARABUCO,vih,total no de personas con prueba rapida,2015-09-01,44,40,84
TARATA,vih,total no de personas con prueba rapida,2015-09-01,2,0,2
TARIJA,vih,total no de personas con prueba rapida,2015-09-01,213,336,549
TARVITA,vih,total no de personas con prueba rapida,2015-09-01,5,22,27
TIAWANACU,vih,total no de personas con prueba rapida,2015-09-01,3,5,8
TINGUIPAYA,vih,total no de personas con prueba rapida,2015-09-01,0,1,1
TIQUIPAYA,vih,total no de personas con prueba rapida,2015-09-01,33,88,121
TOCO,vih,total no de personas con prueba rapida,2015-09-01,1,2,3
TOLATA,vih,total no de personas con prueba rapida,2015-09-01,1,1,2
TOTORA(CBBA),vih,total no de personas con prueba rapida,2015-09-01,8,24,32
TOTORA(ORR),vih,total no de personas con prueba rapida,2015-09-01,0,1,1
TRINIDAD,vih,total no de personas con prueba rapida,2015-09-01,361,142,503
TUPIZA,vih,total no de personas con prueba rapida,2015-09-01,2,15,17
UNCIA,vih,total no de personas con prueba rapida,2015-09-01,3,4,7
URUBICHA,vih,total no de personas con prueba rapida,2015-09-01,34,21,55
UYUNI,vih,total no de personas con prueba rapida,2015-09-01,1,54,55
VACAS,vih,total no de personas con prueba rapida,2015-09-01,1,14,15
VALLEGRANDE,vih,total no de personas con prueba rapida,2015-09-01,15,17,32
VIACHA,vih,total no de personas con prueba rapida,2015-09-01,107,181,288
VILLA CHARCAS,vih,total no de personas con prueba rapida,2015-09-01,9,7,16
VILLA MONTES,vih,total no de personas con prueba rapida,2015-09-01,22,41,63
VILLA NUEVA (LOMA ALTA),vih,total no de personas con prueba rapida,2015-09-01,0,2,2
VILLA SERRANO,vih,total no de personas con prueba rapida,2015-09-01,0,3,3
VILLA TUNARI,vih,total no de personas con prueba rapida,2015-09-01,63,51,114
VILLA VACA GUZMAN (MUYUPAMPA),vih,total no de personas con prueba rapida,2015-09-01,72,7,79
VILLAZON,vih,total no de personas con prueba rapida,2015-09-01,43,36,79
VINTO,vih,total no de personas con prueba rapida,2015-09-01,6,42,48
VITICHI,vih,total no de personas con prueba rapida,2015-09-01,0,1,1
WARNES,vih,total no de personas con prueba rapida,2015-09-01,79,141,220
YACUIBA,vih,total no de personas con prueba rapida,2015-09-01,37,99,136
YAMPARAEZ,vih,total no de personas con prueba rapida,2015-09-01,1,8,9
YAPACANI,vih,total no de personas con prueba rapida,2015-09-01,11,44,55
YOTALA,vih,total no de personas con prueba rapida,2015-09-01,0,13,13
YUNCHARA,vih,total no de personas con prueba rapida,2015-09-01,1,10,11
ZUDAÑEZ,vih,total no de personas con prueba rapida,2015-09-01,0,3,3
ACHACACHI,vih,total no de personas con prueba rapida,2015-10-01,15,20,35
AIQUILE,vih,total no de personas con prueba rapida,2015-10-01,8,21,29
ALCALA,vih,total no de personas con prueba rapida,2015-10-01,6,4,10
ALTO BENI,vih,total no de personas con prueba rapida,2015-10-01,1,1,2
ANDAMARCA,vih,total no de personas con prueba rapida,2015-10-01,4,3,7
ANTEQUERA,vih,total no de personas con prueba rapida,2015-10-01,0,1,1
APOLO,vih,total no de personas con prueba rapida,2015-10-01,1,1,2
ARBIETO,vih,total no de personas con prueba rapida,2015-10-01,2,1,3
ASCENCION DE GUARAYOS,vih,total no de personas con prueba rapida,2015-10-01,53,131,184
AYOPAYA (V. DE INDEPENDENCIA),vih,total no de personas con prueba rapida,2015-10-01,7,22,29
AZURDUY,vih,total no de personas con prueba rapida,2015-10-01,5,39,44
BELLA FLOR,vih,total no de personas con prueba rapida,2015-10-01,16,33,49
BERMEJO,vih,total no de personas con prueba rapida,2015-10-01,6,16,22
BETANZOS,vih,total no de personas con prueba rapida,2015-10-01,1,0,1
BOLIVAR,vih,total no de personas con prueba rapida,2015-10-01,1,0,1
BOYUIBE,vih,total no de personas con prueba rapida,2015-10-01,2,1,3
BUENA VISTA,vih,total no de personas con prueba rapida,2015-10-01,2,2,4
CABEZAS,vih,total no de personas con prueba rapida,2015-10-01,3,1,4
"CAIZA ""D""",vih,total no de personas con prueba rapida,2015-10-01,0,1,1
CALACOTO,vih,total no de personas con prueba rapida,2015-10-01,8,12,20
CALAMARCA,vih,total no de personas con prueba rapida,2015-10-01,8,17,25
CAMARGO,vih,total no de personas con prueba rapida,2015-10-01,18,22,40
CAMATAQUI (C. VILLA ABECIA),vih,total no de personas con prueba rapida,2015-10-01,0,1,1
CAMIRI,vih,total no de personas con prueba rapida,2015-10-01,20,40,60
CAPINOTA,vih,total no de personas con prueba rapida,2015-10-01,2,13,15
CARACOLLO,vih,total no de personas con prueba rapida,2015-10-01,15,42,57
CARANAVI,vih,total no de personas con prueba rapida,2015-10-01,54,39,93
CARAPARI,vih,total no de personas con prueba rapida,2015-10-01,0,44,44
CARIPUYO,vih,total no de personas con prueba rapida,2015-10-01,1,1,2
CARMEN RIVERO TORREZ,vih,total no de personas con prueba rapida,2015-10-01,15,5,20
CHALLAPATA,vih,total no de personas con prueba rapida,2015-10-01,5,136,141
CHAQUI,vih,total no de personas con prueba rapida,2015-10-01,0,1,1
CHARAGUA,vih,total no de personas con prueba rapida,2015-10-01,2,5,7
CHIMORE,vih,total no de personas con prueba rapida,2015-10-01,5,12,17
CHIPAYA,vih,total no de personas con prueba rapida,2015-10-01,6,18,24
CHOQUE COTA,vih,total no de personas con prueba rapida,2015-10-01,3,3,6
CHULUMANI (V. DE LA LIBERTAD),vih,total no de personas con prueba rapida,2015-10-01,10,7,17
CHUMA,vih,total no de personas con prueba rapida,2015-10-01,2,2,4
CLIZA,vih,total no de personas con prueba rapida,2015-10-01,1,4,5
COBIJA,vih,total no de personas con prueba rapida,2015-10-01,277,503,780
COCHABAMBA,vih,total no de personas con prueba rapida,2015-10-01,194,392,586
COLCAPIRHUA,vih,total no de personas con prueba rapida,2015-10-01,3,16,19
"COLCHA ""K""",vih,total no de personas con prueba rapida,2015-10-01,0,1,1
COMARAPA,vih,total no de personas con prueba rapida,2015-10-01,5,8,13
CORIPATA,vih,total no de personas con prueba rapida,2015-10-01,19,0,19
CORO CORO,vih,total no de personas con prueba rapida,2015-10-01,24,6,30
COROICO,vih,total no de personas con prueba rapida,2015-10-01,7,2,9
CORQUE,vih,total no de personas con prueba rapida,2015-10-01,1,1,2
COTAGAITA,vih,total no de personas con prueba rapida,2015-10-01,7,8,15
COTOCA,vih,total no de personas con prueba rapida,2015-10-01,37,38,75
CUATRO CAÑADAS,vih,total no de personas con prueba rapida,2015-10-01,5,19,24
CUEVO,vih,total no de personas con prueba rapida,2015-10-01,13,5,18
CULPINA,vih,total no de personas con prueba rapida,2015-10-01,16,75,91
EL ALTO,vih,total no de personas con prueba rapida,2015-10-01,133,849,982
EL PUENTE(STC),vih,total no de personas con prueba rapida,2015-10-01,5,18,23
EL PUENTE(TJA),vih,total no de personas con prueba rapida,2015-10-01,2,0,2
EL TORNO,vih,total no de personas con prueba rapida,2015-10-01,110,261,371
EL VILLAR,vih,total no de personas con prueba rapida,2015-10-01,0,1,1
ENTRE RIOS CBBA,vih,total no de personas con prueba rapida,2015-10-01,1,11,12
ESCOMA,vih,total no de personas con prueba rapida,2015-10-01,1,0,1
EUCALIPTUS,vih,total no de personas con prueba rapida,2015-10-01,0,5,5
EUREKA (SANTOS MERCADO),vih,total no de personas con prueba rapida,2015-10-01,0,2,2
FERNANDEZ ALONSO,vih,total no de personas con prueba rapida,2015-10-01,1,0,1
FILADELFIA,vih,total no de personas con prueba rapida,2015-10-01,0,26,26
GENERAL SAAVEDRA,vih,total no de personas con prueba rapida,2015-10-01,2,44,46
GUAYARAMERIN,vih,total no de personas con prueba rapida,2015-10-01,19,26,45
GUTIERREZ,vih,total no de personas con prueba rapida,2015-10-01,3,1,4
HUACARETA,vih,total no de personas con prueba rapida,2015-10-01,1,1,2
HUACAYA (VILLA DE HUACAYA),vih,total no de personas con prueba rapida,2015-10-01,0,4,4
HUANUNI,vih,total no de personas con prueba rapida,2015-10-01,14,80,94
HUAYLLAMARCA,vih,total no de personas con prueba rapida,2015-10-01,1,0,1
ICLA,vih,total no de personas con prueba rapida,2015-10-01,17,8,25
INCAHUASI,vih,total no de personas con prueba rapida,2015-10-01,4,12,16
INGAVI (HUMAITA),vih,total no de personas con prueba rapida,2015-10-01,11,31,42
IRUPANA (VILLA DE LANZA),vih,total no de personas con prueba rapida,2015-10-01,1,4,5
LA ASUNTA,vih,total no de personas con prueba rapida,2015-10-01,6,10,16
LA GUARDIA,vih,total no de personas con prueba rapida,2015-10-01,28,73,101
LA PAZ,vih,total no de personas con prueba rapida,2015-10-01,467,967,1434
LAJA,vih,total no de personas con prueba rapida,2015-10-01,2,3,5
LAS CARRERAS,vih,total no de personas con prueba rapida,2015-10-01,23,5,28
LLALLAGUA,vih,total no de personas con prueba rapida,2015-10-01,14,19,33
MACHACAMARCA,vih,total no de personas con prueba rapida,2015-10-01,0,2,2
MACHARETI,vih,total no de personas con prueba rapida,2015-10-01,0,3,3
MAIRANA,vih,total no de personas con prueba rapida,2015-10-01,2,6,8
MAPIRI,vih,total no de personas con prueba rapida,2015-10-01,3,8,11
MIZQUE,vih,total no de personas con prueba rapida,2015-10-01,7,10,17
MOJOCOYA,vih,total no de personas con prueba rapida,2015-10-01,5,2,7
MONTEAGUDO,vih,total no de personas con prueba rapida,2015-10-01,11,44,55
MONTERO,vih,total no de personas con prueba rapida,2015-10-01,1391,1543,2934
MOROCHATA,vih,total no de personas con prueba rapida,2015-10-01,0,9,9
NACEBE (SANTA ROSA DEL ABUNA),vih,total no de personas con prueba rapida,2015-10-01,11,11,22
NUEVO MANOA (NUEVA ESPERANZA),vih,total no de personas con prueba rapida,2015-10-01,14,4,18
ORURO,vih,total no de personas con prueba rapida,2015-10-01,45,126,171
PADCAYA,vih,total no de personas con prueba rapida,2015-10-01,0,6,6
PADILLA,vih,total no de personas con prueba rapida,2015-10-01,2,10,12
PAILON,vih,total no de personas con prueba rapida,2015-10-01,10,51,61
PALOS BLANCOS,vih,total no de personas con prueba rapida,2015-10-01,2,0,2
PAMPA GRANDE,vih,total no de personas con prueba rapida,2015-10-01,0,4,4
PASORAPA,vih,total no de personas con prueba rapida,2015-10-01,2,1,3
PORCO,vih,total no de personas con prueba rapida,2015-10-01,0,18,18
PORONGO,vih,total no de personas con prueba rapida,2015-10-01,6,4,10
PORTACHUELO,vih,total no de personas con prueba rapida,2015-10-01,15,103,118
POSTRER VALLE,vih,total no de personas con prueba rapida,2015-10-01,1,0,1
POTOSI,vih,total no de personas con prueba rapida,2015-10-01,35,176,211
PRESTO,vih,total no de personas con prueba rapida,2015-10-01,99,86,185
PUERTO GONZALO MORENO,vih,total no de personas con prueba rapida,2015-10-01,11,39,50
PUERTO QUIJARRO,vih,total no de personas con prueba rapida,2015-10-01,10,17,27
PUERTO RICO,vih,total no de personas con prueba rapida,2015-10-01,1,3,4
PUERTO SUAREZ,vih,total no de personas con prueba rapida,2015-10-01,8,67,75
PUERTO VILLARROEL,vih,total no de personas con prueba rapida,2015-10-01,155,495,650
PUNATA,vih,total no de personas con prueba rapida,2015-10-01,18,185,203
QUILLACOLLO,vih,total no de personas con prueba rapida,2015-10-01,1,107,108
QUIME,vih,total no de personas con prueba rapida,2015-10-01,2,4,6
RAVELO,vih,total no de personas con prueba rapida,2015-10-01,4,1,5
RIBERALTA,vih,total no de personas con prueba rapida,2015-10-01,24,72,96
ROBORE,vih,total no de personas con prueba rapida,2015-10-01,1,0,1
RURRENABAQUE,vih,total no de personas con prueba rapida,2015-10-01,15,87,102
SABAYA,vih,total no de personas con prueba rapida,2015-10-01,2,0,2
SACABA,vih,total no de personas con prueba rapida,2015-10-01,13,87,100
SACABAMBA,vih,total no de personas con prueba rapida,2015-10-01,81,68,149
SACACA,vih,total no de personas con prueba rapida,2015-10-01,0,4,4
SAMAIPATA,vih,total no de personas con prueba rapida,2015-10-01,5,7,12
SAN BENITO,vih,total no de personas con prueba rapida,2015-10-01,14,13,27
SAN BORJA,vih,total no de personas con prueba rapida,2015-10-01,1,2,3
SAN CARLOS,vih,total no de personas con prueba rapida,2015-10-01,21,36,57
SAN IGNACIO,vih,total no de personas con prueba rapida,2015-10-01,0,4,4
SAN IGNACIO DE VELASCO,vih,total no de personas con prueba rapida,2015-10-01,120,50,170
SAN JAVIER(STC),vih,total no de personas con prueba rapida,2015-10-01,1,44,45
SAN JOSE DE CHIQUITOS,vih,total no de personas con prueba rapida,2015-10-01,12,13,25
SAN JULIAN,vih,total no de personas con prueba rapida,2015-10-01,0,1,1
SAN LORENZO(PND),vih,total no de personas con prueba rapida,2015-10-01,2,12,14
SAN LORENZO(TJA),vih,total no de personas con prueba rapida,2015-10-01,2,3,5
SAN LUCAS,vih,total no de personas con prueba rapida,2015-10-01,6,37,43
SAN MATIAS,vih,total no de personas con prueba rapida,2015-10-01,4,104,108
SAN MIGUEL DE VELASCO,vih,total no de personas con prueba rapida,2015-10-01,1,1,2
SAN PABLO DE LIPEZ,vih,total no de personas con prueba rapida,2015-10-01,25,35,60
SAN PEDRO,vih,total no de personas con prueba rapida,2015-10-01,14,24,38
SANTA ANA,vih,total no de personas con prueba rapida,2015-10-01,6,0,6
SANTA CRUZ DE LA SIERRA,vih,total no de personas con prueba rapida,2015-10-01,641,1819,2460
SANTA ROSA DEL SARA,vih,total no de personas con prueba rapida,2015-10-01,24,1,25
SANTIAGO DE HUARI,vih,total no de personas con prueba rapida,2015-10-01,0,6,6
SANTIVAÑES,vih,total no de personas con prueba rapida,2015-10-01,0,7,7
SENA,vih,total no de personas con prueba rapida,2015-10-01,9,15,24
SHINAOTA,vih,total no de personas con prueba rapida,2015-10-01,19,17,36
SICAYA,vih,total no de personas con prueba rapida,2015-10-01,4,7,11
SIPE SIPE,vih,total no de personas con prueba rapida,2015-10-01,3,21,24
SOPACHUY,vih,total no de personas con prueba rapida,2015-10-01,21,12,33
SORACACHI,vih,total no de personas con prueba rapida,2015-10-01,1,21,22
SUCRE,vih,total no de personas con prueba rapida,2015-10-01,209,523,732
TACACOMA,vih,total no de personas con prueba rapida,2015-10-01,2,7,9
TAPACARI,vih,total no de personas con prueba rapida,2015-10-01,5,11,16
TARABUCO,vih,total no de personas con prueba rapida,2015-10-01,13,28,41
TARATA,vih,total no de personas con prueba rapida,2015-10-01,0,4,4
TARIJA,vih,total no de personas con prueba rapida,2015-10-01,112,195,307
TARVITA,vih,total no de personas con prueba rapida,2015-10-01,16,22,38
TEOPONTE,vih,total no de personas con prueba rapida,2015-10-01,3,20,23
TIAWANACU,vih,total no de personas con prueba rapida,2015-10-01,1,7,8
TIQUIPAYA,vih,total no de personas con prueba rapida,2015-10-01,27,77,104
TOCO,vih,total no de personas con prueba rapida,2015-10-01,0,2,2
TOLEDO,vih,total no de personas con prueba rapida,2015-10-01,0,1,1
TOMINA,vih,total no de personas con prueba rapida,2015-10-01,3,0,3
TOTORA(ORR),vih,total no de personas con prueba rapida,2015-10-01,1,3,4
TRINIDAD,vih,total no de personas con prueba rapida,2015-10-01,110,98,208
TUPIZA,vih,total no de personas con prueba rapida,2015-10-01,5,12,17
UNCIA,vih,total no de personas con prueba rapida,2015-10-01,0,1,1
URUBICHA,vih,total no de personas con prueba rapida,2015-10-01,20,17,37
UYUNI,vih,total no de personas con prueba rapida,2015-10-01,1,37,38
VALLEGRANDE,vih,total no de personas con prueba rapida,2015-10-01,2,12,14
VIACHA,vih,total no de personas con prueba rapida,2015-10-01,3,197,200
VILLA CHARCAS,vih,total no de personas con prueba rapida,2015-10-01,0,8,8
VILLA MONTES,vih,total no de personas con prueba rapida,2015-10-01,13,26,39
VILLA RIVERO,vih,total no de personas con prueba rapida,2015-10-01,1,1,2
VILLA SERRANO,vih,total no de personas con prueba rapida,2015-10-01,35,30,65
VILLA TUNARI,vih,total no de personas con prueba rapida,2015-10-01,57,329,386
VILLA VACA GUZMAN (MUYUPAMPA),vih,total no de personas con prueba rapida,2015-10-01,84,9,93
VILLAZON,vih,total no de personas con prueba rapida,2015-10-01,51,90,141
VINTO,vih,total no de personas con prueba rapida,2015-10-01,0,62,62
VITICHI,vih,total no de personas con prueba rapida,2015-10-01,0,16,16
WARNES,vih,total no de personas con prueba rapida,2015-10-01,3,1,4
YACUIBA,vih,total no de personas con prueba rapida,2015-10-01,29,60,89
YAMPARAEZ,vih,total no de personas con prueba rapida,2015-10-01,1,8,9
YAPACANI,vih,total no de personas con prueba rapida,2015-10-01,12,27,39
YOTALA,vih,total no de personas con prueba rapida,2015-10-01,0,9,9
YUNCHARA,vih,total no de personas con prueba rapida,2015-10-01,2,6,8
ZUDAÑEZ,vih,total no de personas con prueba rapida,2015-10-01,12,24,36
ACHACACHI,vih,total no de personas con prueba rapida,2015-11-01,14,21,35
AIQUILE,vih,total no de personas con prueba rapida,2015-11-01,6,22,28
ALCALA,vih,total no de personas con prueba rapida,2015-11-01,10,19,29
ALTO BENI,vih,total no de personas con prueba rapida,2015-11-01,0,1,1
ANDAMARCA,vih,total no de personas con prueba rapida,2015-11-01,3,5,8
ANTEQUERA,vih,total no de personas con prueba rapida,2015-11-01,1,0,1
APOLO,vih,total no de personas con prueba rapida,2015-11-01,4,23,27
ARBIETO,vih,total no de personas con prueba rapida,2015-11-01,0,4,4
ASCENCION DE GUARAYOS,vih,total no de personas con prueba rapida,2015-11-01,36,112,148
AYOPAYA (V. DE INDEPENDENCIA),vih,total no de personas con prueba rapida,2015-11-01,0,5,5
AZURDUY,vih,total no de personas con prueba rapida,2015-11-01,0,5,5
BELLA FLOR,vih,total no de personas con prueba rapida,2015-11-01,0,1,1
BOLIVAR,vih,total no de personas con prueba rapida,2015-11-01,0,2,2
BOLPEBRA,vih,total no de personas con prueba rapida,2015-11-01,0,1,1
BOYUIBE,vih,total no de personas con prueba rapida,2015-11-01,2,0,2
BUENA VISTA,vih,total no de personas con prueba rapida,2015-11-01,0,1,1
CABEZAS,vih,total no de personas con prueba rapida,2015-11-01,0,2,2
"CAIZA ""D""",vih,total no de personas con prueba rapida,2015-11-01,10,10,20
CALAMARCA,vih,total no de personas con prueba rapida,2015-11-01,8,17,25
CAMARGO,vih,total no de personas con prueba rapida,2015-11-01,9,75,84
CAMATAQUI (C. VILLA ABECIA),vih,total no de personas con prueba rapida,2015-11-01,9,12,21
CAMIRI,vih,total no de personas con prueba rapida,2015-11-01,6,17,23
CAPINOTA,vih,total no de personas con prueba rapida,2015-11-01,9,15,24
CARANAVI,vih,total no de personas con prueba rapida,2015-11-01,50,26,76
CARAPARI,vih,total no de personas con prueba rapida,2015-11-01,9,20,29
CARIPUYO,vih,total no de personas con prueba rapida,2015-11-01,37,36,73
CARMEN RIVERO TORREZ,vih,total no de personas con prueba rapida,2015-11-01,20,0,20
CHALLAPATA,vih,total no de personas con prueba rapida,2015-11-01,17,146,163
CHAQUI,vih,total no de personas con prueba rapida,2015-11-01,0,3,3
CHARAGUA,vih,total no de personas con prueba rapida,2015-11-01,2,0,2
CHIMORE,vih,total no de personas con prueba rapida,2015-11-01,5,15,20
CHOQUE COTA,vih,total no de personas con prueba rapida,2015-11-01,4,3,7
CHULUMANI (V. DE LA LIBERTAD),vih,total no de personas con prueba rapida,2015-11-01,11,13,24
CHUMA,vih,total no de personas con prueba rapida,2015-11-01,27,33,60
COBIJA,vih,total no de personas con prueba rapida,2015-11-01,55,89,144
COCAPATA,vih,total no de personas con prueba rapida,2015-11-01,4,8,12
COCHABAMBA,vih,total no de personas con prueba rapida,2015-11-01,139,196,335
COLCAPIRHUA,vih,total no de personas con prueba rapida,2015-11-01,4,13,17
COLOMI,vih,total no de personas con prueba rapida,2015-11-01,0,1,1
COLPA BELGICA,vih,total no de personas con prueba rapida,2015-11-01,0,2,2
COMARAPA,vih,total no de personas con prueba rapida,2015-11-01,3,9,12
CONCEPCION,vih,total no de personas con prueba rapida,2015-11-01,0,3,3
COROICO,vih,total no de personas con prueba rapida,2015-11-01,2,1,3
COTOCA,vih,total no de personas con prueba rapida,2015-11-01,92,77,169
CUATRO CAÑADAS,vih,total no de personas con prueba rapida,2015-11-01,7,10,17
CUEVO,vih,total no de personas con prueba rapida,2015-11-01,0,1,1
CULPINA,vih,total no de personas con prueba rapida,2015-11-01,8,43,51
EL ALTO,vih,total no de personas con prueba rapida,2015-11-01,286,1272,1558
EL PUENTE(STC),vih,total no de personas con prueba rapida,2015-11-01,19,32,51
EL PUENTE(TJA),vih,total no de personas con prueba rapida,2015-11-01,0,1,1
EL TORNO,vih,total no de personas con prueba rapida,2015-11-01,101,234,335
EL VILLAR,vih,total no de personas con prueba rapida,2015-11-01,0,1,1
ENTRE RIOS TRJ,vih,total no de personas con prueba rapida,2015-11-01,15,7,22
ENTRE RIOS CBBA,vih,total no de personas con prueba rapida,2015-11-01,10,25,35
ESCOMA,vih,total no de personas con prueba rapida,2015-11-01,3,3,6
EUCALIPTUS,vih,total no de personas con prueba rapida,2015-11-01,1,5,6
FILADELFIA,vih,total no de personas con prueba rapida,2015-11-01,17,13,30
GRAL. J.J. PEREZ (CHARAZANI),vih,total no de personas con prueba rapida,2015-11-01,2,8,10
GUANAY,vih,total no de personas con prueba rapida,2015-11-01,5,5,10
GUAQUI,vih,total no de personas con prueba rapida,2015-11-01,1,3,4
GUAYARAMERIN,vih,total no de personas con prueba rapida,2015-11-01,8,14,22
GUTIERREZ,vih,total no de personas con prueba rapida,2015-11-01,0,5,5
HUACARETA,vih,total no de personas con prueba rapida,2015-11-01,0,1,1
HUANUNI,vih,total no de personas con prueba rapida,2015-11-01,12,61,73
HUAYLLAMARCA,vih,total no de personas con prueba rapida,2015-11-01,1,0,1
INCAHUASI,vih,total no de personas con prueba rapida,2015-11-01,1,6,7
INGAVI (HUMAITA),vih,total no de personas con prueba rapida,2015-11-01,0,12,12
IRUPANA (VILLA DE LANZA),vih,total no de personas con prueba rapida,2015-11-01,10,17,27
LA ASUNTA,vih,total no de personas con prueba rapida,2015-11-01,8,5,13
LA GUARDIA,vih,total no de personas con prueba rapida,2015-11-01,33,56,89
LA PAZ,vih,total no de personas con prueba rapida,2015-11-01,754,528,1282
LAJA,vih,total no de personas con prueba rapida,2015-11-01,3,2,5
LLALLAGUA,vih,total no de personas con prueba rapida,2015-11-01,13,8,21
MACHACAMARCA,vih,total no de personas con prueba rapida,2015-11-01,17,6,23
MACHARETI,vih,total no de personas con prueba rapida,2015-11-01,0,6,6
