,group,variable,month,VACUNACIONES FIEBRE AMARILLA,VACUNACIONES FIEBRE AMARILLA,TOTALES,TOTALES,TOTALES
SICA SICA (VILLA AROMA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,11,13,11,13,24
SIPE SIPE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,27,2,27,2,29
SOPACHUY,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,6,4,6,4,10
SORACACHI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,8,4,8,4,12
SORATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,7,30,7,30,37
SUCRE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,348,47,348,47,395
TACACHI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,6,0,6,0,6
TACACOMA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,2,3,2,3,5
TACOPAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,9,11,9,11,20
TAPACARI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,11,19,11,19,30
TARABUCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,15,14,15,14,29
TARATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,1,0,1,0,1
TARIJA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,145,5,145,5,150
TARVITA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,10,8,10,8,18
TEOPONTE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,5,2,5,2,7
TIAWANACU,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,4,15,4,15,19
TINGUIPAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,8,12,8,12,20
TIPUANI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,5,7,5,7,12
TIQUIPAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,17,8,17,8,25
TIRAQUE (CBBA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,33,35,33,35,68
TITO YUPANQUI (PARQUIPUJIO),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,4,1,4,1,5
TOCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,0,7,0,7,7
TODOS SANTOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,1,1,1,1,2
TOLATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,0,2,0,2,2
TOLEDO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,3,0,3,0,3
TOMAVE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,1,6,1,6,7
TOMINA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,1,4,1,4,5
TORO TORO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,2,5,2,5,7
TOTORA(CBBA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,10,11,10,11,21
TRIGAL,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,2,0,2,0,2
TRINIDAD,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,98,9,98,9,107
TUPIZA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,42,7,42,7,49
TURCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,2,0,2,0,2
UMALA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,0,1,0,1,1
UNCIA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,8,7,8,7,15
URIONDO (A. CONCEPCION),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,7,9,7,9,16
URUBICHA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,0,21,0,21,21
UYUNI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,3,7,3,7,10
VACAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,0,6,0,6,6
VALLEGRANDE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,25,6,25,6,31
VIACHA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,18,18,18,18,36
VILA VILA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,3,5,3,5,8
VILLA MONTES,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,30,8,30,8,38
VILLA RIVERO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,1,6,1,6,7
VILLA SERRANO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,9,5,9,5,14
VILLA TUNARI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,88,23,88,23,111
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,8,5,8,5,13
VILLAZON,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,21,1,21,1,22
VINTO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,20,0,20,0,20
VITICHI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,6,20,6,20,26
WARNES,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,95,43,95,43,138
YACO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,1,9,1,9,10
YACUIBA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,121,3,121,3,124
YAMPARAEZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,4,8,4,8,12
YANACACHI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,8,15,8,15,23
YAPACANI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,25,39,25,39,64
YOCALLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,1,8,1,8,9
YOTALA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,8,10,8,10,18
ACACIO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,0,11,0,11,11
ACHACACHI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,10,103,10,103,113
AIQUILE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,33,27,33,27,60
ALALAY,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,0,2,0,2,2
ALCALA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,0,1,0,1,1
ANCORAIMES,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,1,30,1,30,31
ANDAMARCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,4,2,4,2,6
ANZALDO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,2,3,2,3,5
APOLO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,11,13,11,13,24
ARAMPAMPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,4,7,4,7,11
ARBIETO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,2,14,2,14,16
ARQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,4,4,4,4,8
ATOCHA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,4,5,4,5,9
AUCAPATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,0,2,0,2,2
AYATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,0,15,0,15,15
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,13,30,13,30,43
AZURDUY,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,8,14,8,14,22
BATALLAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,2,7,2,7,9
BAURES,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,7,1,7,1,8
BELEN DE URMIRI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,0,1,0,1,1
BETANZOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,7,11,7,11,18
BOLIVAR,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,7,5,7,5,12
BOLPEBRA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,0,4,0,4,4
BOYUIBE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,0,6,0,6,6
BUENA VISTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,4,15,4,15,19
CABEZAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,4,2,4,2,6
CAIROMA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,1,10,1,10,11
"CAIZA ""D""",vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,3,20,3,20,23
CAJUATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,16,4,16,4,20
CALACOTO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,0,5,0,5,5
CALAMARCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,6,7,6,7,13
CAMARGO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,5,20,5,20,25
CAMATAQUI (C. VILLA ABECIA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,4,4,4,4,8
CAMIRI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,24,6,24,6,30
CAPINOTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,7,3,7,3,10
CAQUIAVIRI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,1,11,1,11,12
CARACOLLO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,14,15,14,15,29
CARANAVI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,27,5,27,5,32
CARAPARI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,6,25,6,25,31
CARIPUYO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,2,18,2,18,20
CARMEN RIVERO TORREZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,0,4,0,4,4
CATACORA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,0,1,0,1,1
CHACARILLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,0,4,0,4,4
CHALLAPATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,8,6,8,6,14
CHAQUI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,0,7,0,7,7
CHARAGUA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,0,3,0,3,3
CHARAÑA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,0,3,0,3,3
CHAYANTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,4,21,4,21,25
CHIMORE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,15,3,15,3,18
CHIPAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,11,8,11,8,19
CHUMA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,4,8,4,8,12
CLIZA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,3,18,3,18,21
COBIJA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,57,5,57,5,62
COCHABAMBA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,397,74,397,74,471
COIPASA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,2,1,2,1,3
"COLCHA ""K""",vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,5,2,5,2,7
COLOMI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,6,9,6,9,15
COLPA BELGICA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,1,2,1,2,3
COLQUECHACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,10,24,10,24,34
COLQUENCHA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,0,3,0,3,3
COLQUIRI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,3,17,3,17,20
COMANCHE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,3,7,3,7,10
COMARAPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,8,4,8,4,12
COMBAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,0,6,0,6,6
CONCEPCION,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,22,0,22,0,22
COPACABANA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,5,16,5,16,21
CORIPATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,16,11,16,11,27
CORO CORO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,0,10,0,10,10
COROICO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,6,13,6,13,19
CORQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,2,2,2,2,4
COTAGAITA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,11,7,11,7,18
COTOCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,37,4,37,4,41
CUATRO CAÑADAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,11,26,11,26,37
CUCHUMUELA (V. G. VILLARROEL),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,2,0,2,0,2
CUEVO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,3,4,3,4,7
CULPINA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,4,12,4,12,16
DESAGUADERO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,1,11,1,11,12
EL ALTO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,35,0,35,0,35
EL PUENTE(STC),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,3,5,3,5,8
EL PUENTE(TJA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,6,18,6,18,24
EL TORNO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,34,14,34,14,48
EL VILLAR,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,0,2,0,2,2
ENTRE RIOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,32,17,32,17,49
ENTRE RIOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,14,14,14,14,28
EUCALIPTUS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,2,1,2,1,3
EXALTACION,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,2,0,2,0,2
FERNANDEZ ALONSO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,3,13,3,13,16
FILADELFIA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,5,0,5,0,5
GENERAL SAAVEDRA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,8,19,8,19,27
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,0,3,0,3,3
GUANAY,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,10,13,10,13,23
GUAQUI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,0,3,0,3,3
GUAYARAMERIN,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,31,26,31,26,57
GUTIERREZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,3,8,3,8,11
HUACARETA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,8,6,8,6,14
HUACAYA (VILLA DE HUACAYA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,0,1,0,1,1
HUANUNI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,11,1,11,1,12
HUAYLLAMARCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,0,2,0,2,2
ICHOCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,0,2,0,2,2
ICLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,2,7,2,7,9
INCAHUASI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,12,18,12,18,30
INQUISIVI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,2,6,2,6,8
IRUPANA (VILLA DE LANZA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,5,15,5,15,20
IXIAMAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,9,23,9,23,32
JESUS DE MACHACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,4,11,4,11,15
LA ASUNTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,49,32,49,32,81
LA PAZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,256,67,256,67,323
LAGUNILLAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,2,8,2,8,10
LAJA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,0,20,0,20,20
LAS CARRERAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,0,3,0,3,3
LICOMA PAMPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,0,1,0,1,1
LLALLAGUA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,40,42,40,42,82
LURIBAY,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,5,4,5,4,9
MACHACAMARCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,3,1,3,1,4
MACHARETI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,11,4,11,4,15
MAGDALENA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,18,19,18,19,37
MALLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,0,6,0,6,6
MAPIRI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,10,0,10,0,10
MECAPACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,1,16,1,16,17
MINEROS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,1,1,1,1,2
MIZQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,14,50,14,50,64
MOCOMOCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,3,14,3,14,17
MOJINETE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,2,0,2,0,2
MOJOCOYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,2,6,2,6,8
MONTEAGUDO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,2,0,2,0,2
MONTERO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,101,39,101,39,140
MORO MORO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,1,4,1,4,5
MOROCHATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,3,10,3,10,13
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,2,8,2,8,10
OCURI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,6,23,6,23,29
OKINAWA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,12,17,12,17,29
OMEREQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,4,7,4,7,11
ORURO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,104,9,104,9,113
PADCAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,12,13,12,13,25
PADILLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,8,3,8,3,11
PAILON,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,4,2,4,2,6
PALCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,1,4,1,4,5
PALOS BLANCOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,10,3,10,3,13
PAMPA AULLAGAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,1,0,1,0,1
PAPEL PAMPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,3,3,3,3,6
PASORAPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,2,3,2,3,5
PATACAMAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,16,35,16,35,51
PAZÑA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,8,1,8,1,9
PELECHUCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,0,4,0,4,4
POCOATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,4,38,4,38,42
POCONA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,8,21,8,21,29
POJO (CBBA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,17,12,17,12,29
POOPO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,2,2,2,2,4
PORCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,6,10,6,10,16
POROMA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,4,10,4,10,14
PORONGO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,2,6,2,6,8
PORTACHUELO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,13,0,13,0,13
PORVENIR,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,0,14,0,14,14
POSTRER VALLE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,1,1,1,1,2
POTOSI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,213,28,213,28,241
PRESTO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,0,21,0,21,21
PUCARA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,1,0,1,0,1
PUCARANI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,5,16,5,16,21
PUERTO ACOSTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,2,18,2,18,20
PUERTO CARABUCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,1,41,1,41,42
PUERTO GONZALO MORENO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,0,5,0,5,5
PUERTO QUIJARRO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,9,22,9,22,31
PUERTO RICO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,4,11,4,11,15
PUERTO SUAREZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-02-01,9,0,9,0,9
