,group,variable,month,L 21.1 NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS VIVAX,L 21.1 NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS VIVAX,L 21.1 NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS FALCIPARUM,L 21.1 NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS FALCIPARUM,TOTALES,TOTALES,TOTALES
CABEZAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,1,1,0,0,1,1,2
CAMARGO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,2,18,0,0,2,18,20
CAMATAQUI (C. VILLA ABECIA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,0,1,0,0,0,1,1
CAMIRI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,13,10,0,0,13,10,23
CARANAVI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,6,2,0,0,6,2,8
CARAPARI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,23,2,0,0,23,2,25
CHUMA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,1,0,0,0,1,0,1
COBIJA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,73,12,0,0,73,12,85
CONCEPCION,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,20,8,0,0,20,8,28
CULPINA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,10,11,0,0,10,11,21
EL TORNO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,34,21,0,0,34,21,55
EL VILLAR,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,42,66,0,0,42,66,108
ENTRE RIOS TRJ,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,83,87,0,0,83,87,170
EUREKA (SANTOS MERCADO),malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,82,71,0,0,82,71,153
FILADELFIA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,13,10,0,0,13,10,23
GUANAY,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,4,1,0,0,4,1,5
GUAYARAMERIN,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,463,384,0,0,463,384,847
GUTIERREZ,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,0,4,0,0,0,4,4
HUACARETA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,17,29,0,0,17,29,46
HUACAYA (VILLA DE HUACAYA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,6,5,2,0,8,5,13
ICLA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,59,59,0,0,59,59,118
INCAHUASI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,29,49,0,0,29,49,78
INGAVI (HUMAITA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,29,0,0,0,29,0,29
IXIAMAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,17,12,1,0,18,12,30
LA ASUNTA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,15,5,0,0,15,5,20
LAGUNILLAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,9,11,0,0,9,11,20
MACHARETI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,59,64,0,0,59,64,123
MAGDALENA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,98,65,0,0,98,65,163
MIZQUE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,2,1,0,0,2,1,3
MOJOCOYA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,3,4,0,0,3,4,7
MONTEAGUDO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,268,318,0,0,268,318,586
NACEBE (SANTA ROSA DEL ABUNA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,50,37,0,0,50,37,87
NUEVO MANOA (NUEVA ESPERANZA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,101,76,0,0,101,76,177
PADCAYA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,15,17,0,0,15,17,32
PADILLA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,14,22,0,0,14,22,36
PAILON,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,3,51,0,0,3,51,54
PALOS BLANCOS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,4,1,0,0,4,1,5
POROMA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,50,48,0,0,50,48,98
PORONGO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,3,4,0,0,3,4,7
PORVENIR,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,190,0,0,0,190,0,190
POSTRER VALLE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,1,1,0,0,1,1,2
PUERTO GONZALO MORENO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,39,33,0,0,39,33,72
PUERTO RICO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,158,110,0,0,158,110,268
REYES,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,5,0,0,0,5,0,5
RIBERALTA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,960,786,0,68,960,854,1814
RURRENABAQUE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,1,2,1,2,2,4,6
SAIPINA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,2,1,0,0,2,1,3
SAN ANTONIO DE LOMERIO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,4,9,0,0,4,9,13
SAN BORJA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,6,9,0,0,6,9,15
SAN BUENA VENTURA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,1,1,0,0,1,1,2
SAN CARLOS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,0,3,0,0,0,3,3
SAN IGNACIO DE VELASCO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,4,1,0,0,4,1,5
SAN JOSE DE CHIQUITOS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,50,20,0,0,50,20,70
SAN LORENZO(PND),malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,88,17,0,0,88,17,105
SAN LORENZO(TJA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,9,12,0,0,9,12,21
SAN LUCAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,33,90,0,0,33,90,123
SAN MATIAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,15,5,0,0,15,5,20
SAN PEDRO DE BUENA VISTA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,7,19,0,0,7,19,26
SAN PEDRO(PND),malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,7,2,0,0,7,2,9
SANTA ROSA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,8,5,0,0,8,5,13
SENA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,109,91,0,0,109,91,200
SOPACHUY,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,14,25,0,0,14,25,39
TARVITA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,31,91,0,0,31,91,122
TEOPONTE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,4,9,0,0,4,9,13
TOMINA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,9,3,0,0,9,3,12
TORO TORO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,6,3,0,0,6,3,9
TRINIDAD,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,2,0,0,0,2,0,2
VALLEGRANDE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,7,4,0,0,7,4,11
VILA VILA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,0,1,0,0,0,1,1
VILLA CHARCAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,4,4,0,0,4,4,8
VILLA MONTES,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,155,197,0,0,155,197,352
VILLA NUEVA (LOMA ALTA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,55,47,0,0,55,47,102
VILLA SERRANO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,27,13,0,0,27,13,40
VILLA TUNARI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,5,3,0,0,5,3,8
VILLA VACA GUZMAN (MUYUPAMPA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,54,61,0,0,54,61,115
YACUIBA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,280,425,0,0,280,425,705
YAPACANI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,3,2,0,0,3,2,5
YOTALA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,3,4,0,5,3,9,12
ZUDAÑEZ,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,3,4,0,0,3,4,7
