municipality,group,variable,month,Nro de Primeras visitas Familares realizadas,TOTAL
YOTALA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,168,168
YUNCHARA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,10,10
ZUDAÑEZ,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,397,397
ACACIO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,60,60
ACHACACHI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,34,34
ACHOCALLA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,65,65
ALALAY,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,73,73
ALCALA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,133,133
ANCORAIMES,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,81,81
ANDAMARCA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,48,48
ANZALDO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,29,29
APOLO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,8,8
ARAMPAMPA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,33,33
ARANI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,109,109
ARBIETO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,38,38
ARQUE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,38,38
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,195,195
ATOCHA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,143,143
AUCAPATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,5,5
AYATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,10,10
AYO AYO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,130,130
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,85,85
AZURDUY,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,285,285
BAURES,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,69,69
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,93,93
BELEN DE URMIRI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,45,45
BERMEJO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,70,70
BETANZOS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,382,382
BOLIVAR,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,71,71
BOLPEBRA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,17,17
BOYUIBE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,220,220
BUENA VISTA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,142,142
CABEZAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,84,84
CAIROMA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,7,7
"CAIZA ""D""",actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,143,143
CAJUATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,34,34
CALACOTO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,25,25
CAMARGO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,299,299
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,58,58
CAMIRI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,560,560
CAPINOTA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,162,162
CAQUIAVIRI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,32,32
CARACOLLO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,192,192
CARANAVI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,30,30
CARAPARI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,125,125
CARIPUYO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,237,237
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,10,10
CHALLAPATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,118,118
CHAQUI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,245,245
CHARAGUA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,189,189
CHAYANTA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,59,59
CHIMORE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,142,142
CHUMA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,95,95
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,20,20
CKOCHAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,184,184
CLIZA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,36,36
COBIJA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,114,114
COCAPATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,20,20
COCHABAMBA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,134,134
COIPASA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,12,12
COLCAPIRHUA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,103,103
"COLCHA ""K""",actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,401,401
COLLANA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,72,72
COLOMI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,28,28
COLPA BELGICA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,4,4
COLQUECHACA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,81,81
COLQUENCHA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,40,40
COLQUIRI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,78,78
COMARAPA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,240,240
COMBAYA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,223,223
CONCEPCION,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,34,34
CORO CORO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,116,116
CORQUE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,57,57
COTAGAITA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,339,339
COTOCA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,75,75
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,94,94
CUEVO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,33,33
CULPINA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,35,35
CURAHUARA DE CARANGAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,80,80
CURVA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,36,36
DESAGUADERO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,7,7
EL ALTO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,1391,1391
EL CHORO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,58,58
EL PUENTE(STC),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,314,314
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,367,367
EL TORNO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,477,477
EL VILLAR,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,79,79
ENTRE RIOS TRJ,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,20,20
ENTRE RIOS CBBA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,86,86
EUCALIPTUS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,67,67
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,87,87
GAIOC JATUN AYLLU YURA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,144,144
GENERAL SAAVEDRA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,125,125
GIA-TIM,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,38,38
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,72,72
GUAQUI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,62,62
GUAYARAMERIN,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,285,285
HUACARETA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,65,65
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-02-01,70,70
