municipality,group,variable,month,9.24 Nro de segundas visitas Familiares realizadas,TOTAL
SAN BUENA VENTURA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,11,11
SAN CARLOS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,139,139
SAN IGNACIO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,56,56
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,23,23
SAN JOAQUIN,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,10,10
SAN JUAN DE YAPACANI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,10,10
SAN JULIAN,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,179,179
SAN LORENZO(PND),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,4,4
SAN PABLO DE LIPEZ,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,10,10
SAN PEDRO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,61,61
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,2,2
SAN PEDRO DE MACHA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,1,1
SAN RAFAEL,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,13,13
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,165,165
SANTA ROSA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,37,37
SANTIAGO DE HUARI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,84,84
SHINAOTA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,194,194
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,2,2
SICAYA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,19,19
SORACACHI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,20,20
SORATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,2,2
SUCRE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,106,106
TAHUA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,4,4
TARABUCO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,10,10
TARACO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,24,24
TARIJA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,445,445
TIAHUANACU,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,83,83
TINGUIPAYA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,93,93
TIQUIPAYA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,114,114
TIRAQUE (CBBA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,238,238
TOMAVE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,44,44
TRIGAL,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,37,37
TRINIDAD,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,94,94
TUPIZA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,87,87
UNCIA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,146,146
URIONDO (A. CONCEPCION),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,38,38
URUBICHA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,19,19
UYUNI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,138,138
VACAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,24,24
VALLEGRANDE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,116,116
VIACHA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,136,136
VILA VILA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,34,34
VILLA CHARCAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,57,57
VILLA MONTES,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,91,91
VILLA TUNARI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,78,78
VILLAZON,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,195,195
VITICHI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,30,30
WALDO BALLIVIAN,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,14,14
WARNES,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,318,318
YACO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,8,8
YACUIBA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,140,140
YAMPARAEZ,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,24,24
YAPACANI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,651,651
YOCALLA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,228,228
YOTALA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,38,38
ACACIO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,3,3
ACHACACHI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,33,33
ACHOCALLA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,175,175
ANCORAIMES,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,13,13
ANZALDO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,20,20
ARAMPAMPA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,11,11
ARBIETO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,51,51
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,37,37
ATOCHA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,41,41
AYATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,40,40
BAURES,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,105,105
BELEN DE URMIRI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,10,10
BERMEJO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,2,2
BETANZOS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,26,26
BOLPEBRA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,70,70
BUENA VISTA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,33,33
CABEZAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,13,13
"CAIZA ""D""",actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,48,48
CAJUATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,56,56
CAMARGO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,196,196
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,29,29
CAMIRI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,128,128
CAQUIAVIRI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,8,8
CARACOLLO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,161,161
CARAPARI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,26,26
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,10,10
CHALLAPATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,122,122
CHARAGUA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,40,40
CHAYANTA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,40,40
CHIMORE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,37,37
CHULUMANI (V. DE LA LIBERTAD),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,5,5
CHUMA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,10,10
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,25,25
CKOCHAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,33,33
CLIZA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,27,27
COBIJA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,106,106
COCHABAMBA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,116,116
COLCAPIRHUA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,171,171
"COLCHA ""K""",actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,95,95
COLLANA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,9,9
COLQUECHACA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,1,1
COLQUIRI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,19,19
COMARAPA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,256,256
COMBAYA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,23,23
CONCEPCION,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,22,22
CORO CORO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,2,2
