,group,variable,month,TOTAL INFLUENZA ESTACIONAL A PERSONAL DE SALUD DENTRO,TOTAL INFLUENZA ESTACIONAL A PERSONAL DE SALUD DENTRO,TOTAL INFLUENZA ESTACIONAL A PERSONAL DE SALUD FUERA,TOTAL INFLUENZA ESTACIONAL A PERSONAL DE SALUD FUERA,TOTALES,TOTALES,TOTALES
VILLA TUNARI,otras vacunaciones,total influenza estacional a personal de salud,2015-10-01,0,0,1,2,1,2,3
WARNES,otras vacunaciones,total influenza estacional a personal de salud,2015-10-01,3,6,0,0,3,6,9
YACUIBA,otras vacunaciones,total influenza estacional a personal de salud,2015-10-01,1,3,0,0,1,3,4
ANDAMARCA,otras vacunaciones,total influenza estacional a personal de salud,2015-11-01,1,2,0,0,1,2,3
CHAQUI,otras vacunaciones,total influenza estacional a personal de salud,2015-11-01,0,0,0,4,0,4,4
COBIJA,otras vacunaciones,total influenza estacional a personal de salud,2015-11-01,5,13,0,0,5,13,18
COCHABAMBA,otras vacunaciones,total influenza estacional a personal de salud,2015-11-01,10,22,0,0,10,22,32
COLCAPIRHUA,otras vacunaciones,total influenza estacional a personal de salud,2015-11-01,0,0,13,10,13,10,23
COLOMI,otras vacunaciones,total influenza estacional a personal de salud,2015-11-01,1,0,0,0,1,0,1
COPACABANA,otras vacunaciones,total influenza estacional a personal de salud,2015-11-01,3,0,0,0,3,0,3
CORQUE,otras vacunaciones,total influenza estacional a personal de salud,2015-11-01,1,3,0,0,1,3,4
EL ALTO,otras vacunaciones,total influenza estacional a personal de salud,2015-11-01,2,4,0,0,2,4,6
FILADELFIA,otras vacunaciones,total influenza estacional a personal de salud,2015-11-01,0,1,0,0,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,total influenza estacional a personal de salud,2015-11-01,3,0,2,0,5,0,5
HUANUNI,otras vacunaciones,total influenza estacional a personal de salud,2015-11-01,0,1,0,0,0,1,1
HUARACAJE,otras vacunaciones,total influenza estacional a personal de salud,2015-11-01,0,0,0,1,0,1,1
LA PAZ,otras vacunaciones,total influenza estacional a personal de salud,2015-11-01,10,24,0,0,10,24,34
MAPIRI,otras vacunaciones,total influenza estacional a personal de salud,2015-11-01,0,0,1,1,1,1,2
MONTERO,otras vacunaciones,total influenza estacional a personal de salud,2015-11-01,1,7,0,0,1,7,8
ORURO,otras vacunaciones,total influenza estacional a personal de salud,2015-11-01,22,27,0,0,22,27,49
PAMPA AULLAGAS,otras vacunaciones,total influenza estacional a personal de salud,2015-11-01,0,1,0,0,0,1,1
PAZÑA,otras vacunaciones,total influenza estacional a personal de salud,2015-11-01,0,0,3,1,3,1,4
POCOATA,otras vacunaciones,total influenza estacional a personal de salud,2015-11-01,0,0,48,52,48,52,100
PORTACHUELO,otras vacunaciones,total influenza estacional a personal de salud,2015-11-01,64,44,0,0,64,44,108
PUERTO CARABUCO,otras vacunaciones,total influenza estacional a personal de salud,2015-11-01,0,2,0,0,0,2,2
PUERTO GONZALO MORENO,otras vacunaciones,total influenza estacional a personal de salud,2015-11-01,1,0,0,0,1,0,1
QUILLACOLLO,otras vacunaciones,total influenza estacional a personal de salud,2015-11-01,0,4,0,0,0,4,4
SACABA,otras vacunaciones,total influenza estacional a personal de salud,2015-11-01,2,2,2,1,4,3,7
SAN LORENZO(PND),otras vacunaciones,total influenza estacional a personal de salud,2015-11-01,3,0,0,0,3,0,3
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total influenza estacional a personal de salud,2015-11-01,33,88,377,413,410,501,911
SANTA ROSA DEL SARA,otras vacunaciones,total influenza estacional a personal de salud,2015-11-01,1,0,0,0,1,0,1
TIQUIPAYA,otras vacunaciones,total influenza estacional a personal de salud,2015-11-01,0,3,0,0,0,3,3
TRINIDAD,otras vacunaciones,total influenza estacional a personal de salud,2015-11-01,6,18,0,1,6,19,25
URIONDO (A. CONCEPCION),otras vacunaciones,total influenza estacional a personal de salud,2015-11-01,0,0,4,4,4,4,8
VALLEGRANDE,otras vacunaciones,total influenza estacional a personal de salud,2015-11-01,0,0,0,6,0,6,6
VILLA MONTES,otras vacunaciones,total influenza estacional a personal de salud,2015-11-01,0,1,1,3,1,4,5
YACUIBA,otras vacunaciones,total influenza estacional a personal de salud,2015-11-01,10,2,1,0,11,2,13
ATOCHA,otras vacunaciones,total influenza estacional a personal de salud,2015-12-01,0,1,0,0,0,1,1
CARACOLLO,otras vacunaciones,total influenza estacional a personal de salud,2015-12-01,0,2,0,0,0,2,2
COBIJA,otras vacunaciones,total influenza estacional a personal de salud,2015-12-01,0,2,0,0,0,2,2
COLLANA,otras vacunaciones,total influenza estacional a personal de salud,2015-12-01,0,0,1,1,1,1,2
EL ALTO,otras vacunaciones,total influenza estacional a personal de salud,2015-12-01,32,38,0,12,32,50,82
ENTRE RIOS TRJ,otras vacunaciones,total influenza estacional a personal de salud,2015-12-01,0,0,2,3,2,3,5
LA PAZ,otras vacunaciones,total influenza estacional a personal de salud,2015-12-01,311,24,128,169,439,193,632
MONTERO,otras vacunaciones,total influenza estacional a personal de salud,2015-12-01,0,1,0,0,0,1,1
ORURO,otras vacunaciones,total influenza estacional a personal de salud,2015-12-01,77,114,1,0,78,114,192
PAILON,otras vacunaciones,total influenza estacional a personal de salud,2015-12-01,0,0,6,7,6,7,13
PORVENIR,otras vacunaciones,total influenza estacional a personal de salud,2015-12-01,3,5,0,0,3,5,8
POSTRER VALLE,otras vacunaciones,total influenza estacional a personal de salud,2015-12-01,1,1,0,0,1,1,2
POTOSI,otras vacunaciones,total influenza estacional a personal de salud,2015-12-01,4,3,0,0,4,3,7
RAVELO,otras vacunaciones,total influenza estacional a personal de salud,2015-12-01,1,3,0,0,1,3,4
SACABA,otras vacunaciones,total influenza estacional a personal de salud,2015-12-01,2,4,0,0,2,4,6
SAN BUENA VENTURA,otras vacunaciones,total influenza estacional a personal de salud,2015-12-01,0,0,0,4,0,4,4
SAN IGNACIO,otras vacunaciones,total influenza estacional a personal de salud,2015-12-01,2,1,0,2,2,3,5
SAN LORENZO(PND),otras vacunaciones,total influenza estacional a personal de salud,2015-12-01,0,3,0,0,0,3,3
SANTA ANA,otras vacunaciones,total influenza estacional a personal de salud,2015-12-01,1,1,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total influenza estacional a personal de salud,2015-12-01,3,4,0,0,3,4,7
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,total influenza estacional a personal de salud,2015-12-01,1,0,0,0,1,0,1
TOLATA,otras vacunaciones,total influenza estacional a personal de salud,2015-12-01,1,3,0,0,1,3,4
TRINIDAD,otras vacunaciones,total influenza estacional a personal de salud,2015-12-01,0,0,2,6,2,6,8
VALLEGRANDE,otras vacunaciones,total influenza estacional a personal de salud,2015-12-01,0,1,0,0,0,1,1
