,group,variable,month,TOTAL INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS DENTRO,TOTAL INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS DENTRO,TOTAL INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS FUERA,TOTAL INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS FUERA,TOTALES,TOTALES,TOTALES
HUAYLLAMARCA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,1,2,3,2,4,6
HUMANATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,2,2,0,2,2,4
ICHOCA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,0,1,0,1,0,1
INQUISIVI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,2,0,0,0,2,2
IRUPANA (VILLA DE LANZA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,1,1,17,9,18,10,28
IXIAMAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,1,0,36,34,37,34,71
LA ASUNTA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,18,51,98,95,116,146,262
LA GUARDIA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,198,340,46,72,244,412,656
LA PAZ,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,192,357,101,111,293,468,761
MACHARETI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,2,0,0,0,2,0,2
MAGDALENA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,2,3,0,0,2,3,5
MAIRANA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,15,59,18,36,33,95,128
MAPIRI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,9,20,6,6,15,26,41
MECAPACA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,0,1,0,1,0,1
MINEROS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,6,6,21,6,27,33
MIZQUE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,7,17,15,6,22,23,45
MONTEAGUDO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,16,21,3,12,19,33,52
MONTERO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,34,46,154,359,188,405,593
MORO MORO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,1,0,1,0,2,0,2
MOROCHATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,2,14,25,14,27,41
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,1,0,1,3,2,3,5
OCURI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,2,1,0,1,2,2,4
ORURO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,43,50,7,21,50,71,121
PADCAYA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,1,2,1,0,2,2,4
PADILLA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,2,0,0,0,2,0,2
PAILON,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,2,0,1,3,3,3,6
PALOS BLANCOS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,2,2,2,1,4,3,7
PATACAMAYA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,0,2,0,2,0,2
PAZÑA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,0,0,2,0,2,2
POCOATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,2,3,3,4,5,7,12
POCONA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,0,1,2,1,2,3
POJO (CBBA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,6,4,23,24,29,28,57
PORCO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,3,0,0,0,3,3
POROMA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,4,10,0,0,4,10,14
PORONGO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,2,6,9,1,11,7,18
PORVENIR,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,0,1,0,1,0,1
POTOSI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,39,49,49,93,88,142,230
PUERTO CARABUCO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,0,21,20,21,20,41
PUERTO GONZALO MORENO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,0,3,2,3,2,5
PUERTO PEREZ,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,1,8,4,8,5,13
PUERTO RICO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,1,0,0,0,1,1
PUERTO SUAREZ,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,3,3,0,1,3,4,7
PUNA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,1,0,12,9,13,9,22
PUNATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,8,27,1,2,9,29,38
QUILLACOLLO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,23,17,38,46,61,63,124
QUIME,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,1,0,0,0,1,1
QUIRUSILLAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,1,2,1,4,2,6,8
RAVELO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,1,0,0,0,1,1
REYES,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,1,1,0,0,1,1,2
ROBORE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,1,0,4,5,5,5,10
RURRENABAQUE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,5,6,2,1,7,7,14
SABAYA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,7,7,0,1,7,8,15
SACABA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,14,35,57,128,71,163,234
SACACA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,5,5,3,1,8,6,14
SALINAS DE GARCI MENDOZA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,0,0,1,0,1,1
SAMAIPATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,5,8,3,7,8,15,23
SAN ANDRES,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,2,4,0,0,2,4,6
SAN ANTONIO DE LOMERIO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,25,32,0,0,25,32,57
SAN BENITO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,0,4,2,4,2,6
SAN BORJA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,16,23,8,2,24,25,49
SAN BUENA VENTURA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,1,2,10,2,11,13
SAN CARLOS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,1,3,0,0,1,3,4
SAN IGNACIO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,4,2,65,6,69,8,77
SAN IGNACIO DE VELASCO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,12,29,1,1,13,30,43
SAN JAVIER(STC),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,3,5,0,0,3,5,8
SAN JOAQUIN,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,2,0,0,0,2,2
SAN JOSE DE CHIQUITOS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,1,1,31,16,32,17,49
SAN JUAN DE YAPACANI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,0,2,1,2,1,3
SAN JULIAN,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,8,24,96,71,104,95,199
SAN LORENZO(PND),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,1,8,5,8,6,16,22
SAN LORENZO(TJA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,10,27,31,57,41,84,125
SAN MATIAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,2,3,0,0,2,3,5
SAN MIGUEL DE VELASCO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,1,0,0,0,1,0,1
SAN PEDRO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,2,0,0,0,2,0,2
SAN PEDRO DE BUENA VISTA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,6,5,11,25,17,30,47
SAN RAMON BENI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,0,1,8,1,8,9
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,892,965,72,78,964,1043,2007
SANTA ROSA DEL SARA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,4,2,4,5,8,7,15
SANTIAGO DE HUARI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,1,1,4,1,5,6
SAPAHAQUI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,1,1,5,5,6,6,12
SENA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,0,0,1,0,1,1
SHINAOTA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,1,2,2,2,3,5
SORACACHI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,0,1,3,1,3,4
SUCRE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,12,13,95,213,107,226,333
TACACOMA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,4,1,8,2,12,3,15
TACOBAMBA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,0,6,4,6,4,10
TACOPAYA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,3,3,3,3,6,6,12
TAPACARI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,1,5,5,6,6,11,17
TARABUCO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,6,8,1,1,7,9,16
TARATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,2,0,0,0,2,0,2
TARIJA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,42,64,18,34,60,98,158
TEOPONTE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,2,2,3,2,5,4,9
TIPUANI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,6,2,5,10,11,12,23
TIQUIPAYA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,0,1,2,1,2,3
TIRAQUE (CBBA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,2,2,55,85,57,87,144
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,1,2,0,2,1,3
TOCO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,2,3,4,11,6,14,20
TOLATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,0,7,6,7,6,13
TOLEDO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,1,1,0,1,1,2
TOMAVE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,2,0,5,5,7,5,12
TORO TORO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,1,4,26,4,27,31
TOTORA(CBBA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,1,9,15,31,16,40,56
TOTORA(ORR),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,0,0,1,0,1,1
TRINIDAD,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,38,62,17,16,55,78,133
TUPIZA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,24,19,2,3,26,22,48
URIONDO (A. CONCEPCION),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,1,0,6,8,7,8,15
URUBICHA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,1,1,5,8,6,9,15
UYUNI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,89,88,0,0,89,88,177
VACAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,0,16,14,16,14,30
VALLEGRANDE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,12,13,18,20,30,33,63
VIACHA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,1,0,14,23,15,23,38
VILA VILA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,0,14,21,14,21,35
VILLA MONTES,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,15,9,5,9,20,18,38
VILLA RIVERO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,2,1,4,8,6,9,15
VILLA TUNARI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,31,46,26,44,57,90,147
VILLAZON,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,4,36,17,53,21,89,110
VINTO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,3,1,2,1,5,6
WARNES,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,22,37,1,3,23,40,63
YACUIBA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,7,10,16,15,23,25,48
YANACACHI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,1,20,10,20,11,31
YAPACANI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,25,28,1,2,26,30,56
YOCALLA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,1,0,36,29,37,29,66
YUNCHARA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,1,3,3,7,4,10,14
ZUDAÑEZ,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,3,2,0,1,3,3,6
ACACIO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,0,0,2,0,2,2
ACHACACHI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,1,0,0,0,1,0,1
AIQUILE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,1,0,1,0,2,2
ANDAMARCA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,2,1,2,3,4,4,8
ANZALDO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,1,0,0,0,1,1
ARBIETO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,1,25,0,13,1,38,39
ASCENCION DE GUARAYOS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,4,0,0,0,4,4
ATOCHA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,1,0,1,1,2,1,3
BAURES,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,9,8,0,0,9,8,17
BELEN DE ANDAMARCA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,0,0,3,0,3,3
BELLA FLOR,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,0,0,1,0,1,1
BERMEJO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,1,10,8,10,9,19
CABEZAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,10,4,8,6,18,10,28
"CAIZA ""D""",otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,0,1,2,1,2,3
CAMIRI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,10,13,4,6,14,19,33
CAPINOTA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,12,16,35,46,47,62,109
CAQUIAVIRI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,1,0,0,0,1,1
CARAPARI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,3,2,0,0,3,2,5
CARMEN RIVERO TORREZ,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,0,13,30,13,30,43
CHALLAPATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,1,70,15,70,16,86
CHARAGUA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,0,1,0,1,0,1
CHIMORE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,8,4,114,18,122,22,144
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,8,3,0,0,8,3,11
CLIZA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,0,2,2,2,2,4
COBIJA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,10,25,43,30,53,55,108
COCAPATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,0,0,2,0,2,2
COCHABAMBA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,94,106,16,12,110,118,228
COLOMI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,1,1,1,1,2,3
COLQUECHACA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,0,4,2,4,2,6
CONCEPCION,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,2,1,54,75,56,76,132
COPACABANA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,0,1,1,1,1,2
CORO CORO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,0,1,3,1,3,4
COROICO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,0,1,0,1,0,1
COTOCA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,8,12,0,0,8,12,20
CUATRO CAÑADAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,10,20,120,93,130,113,243
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,0,23,29,23,29,52
CURVA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,2,0,3,4,5,4,9
EL ALTO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,96,98,270,503,366,601,967
EL CHORO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,0,2,2,2,2,4
EL TORNO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,5,8,34,12,39,20,59
ENTRE RIOS TRJ,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,1,0,0,0,1,0,1
ENTRE RIOS CBBA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,0,2,0,2,0,2
FERNANDEZ ALONSO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,1,0,1,0,2,2
GENERAL SAAVEDRA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,1,0,0,0,1,0,1
GUANAY,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,1,2,0,1,1,3,4
HUANUNI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,2,5,27,25,29,30,59
HUAYLLAMARCA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,0,0,2,0,2,2
IRUPANA (VILLA DE LANZA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,2,0,1,0,3,0,3
JESUS DE MACHACA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,1,0,1,0,2,2
LA ASUNTA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,10,15,16,21,26,36,62
LA GUARDIA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,28,63,5,8,33,71,104
LA PAZ,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,284,286,197,174,481,460,941
LAJA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,0,2,3,2,3,5
MAGDALENA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,3,3,0,0,3,3,6
MAIRANA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,1,2,28,41,29,43,72
MAPIRI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,1,0,11,8,12,8,20
MINEROS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,3,2,3,10,6,12,18
MIZQUE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,1,1,9,22,10,23,33
MONTEAGUDO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,1,2,0,0,1,2,3
MONTERO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,18,7,203,20,221,27,248
MOROCHATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,0,0,1,0,1,1
ORURO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,7,26,143,274,150,300,450
PAILON,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,0,26,14,26,14,40
PALCA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,0,0,1,0,1,1
PAZÑA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,0,24,3,24,3,27
POCONA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,3,2,1,2,4,6
POJO (CBBA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,3,10,5,10,8,18
POOPO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,0,0,1,0,1,1
PORONGO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,2,4,26,13,28,17,45
PORTACHUELO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,18,7,0,0,18,7,25
PORVENIR,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,0,2,1,2,1,3
POSTRER VALLE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,1,0,0,0,1,1
POTOSI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,96,92,10,29,106,121,227
PUERTO GONZALO MORENO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,1,0,1,0,2,0,2
PUNATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,2,5,0,0,2,5,7
QUILLACOLLO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,12,9,3,11,15,20,35
REYES,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,0,74,81,74,81,155
ROBORE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,1,1,0,0,1,1,2
RURRENABAQUE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,42,20,2,18,44,38,82
SABAYA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,1,0,0,0,1,1
SACABA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,21,34,48,134,69,168,237
SACACA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,0,5,12,5,12,17
SALINAS DE GARCI MENDOZA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,0,0,2,0,2,2
SAN ANDRES,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,9,0,1,0,10,10
SAN BORJA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,26,47,1,2,27,49,76
SAN BUENA VENTURA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,4,5,9,5,13,18
SAN IGNACIO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,18,31,4,3,22,34,56
SAN IGNACIO DE VELASCO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,1,0,0,0,1,1
SAN JOSE DE CHIQUITOS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,1,2,0,6,1,8,9
SAN JUAN DE YAPACANI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,2,4,5,4,7,8,15
SAN JULIAN,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,9,7,12,7,21,14,35
SAN LORENZO(PND),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,9,0,0,0,9,9
SAN LORENZO(TJA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,6,56,88,56,94,150
SAN PEDRO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,3,1,4,11,7,12,19
SAN PEDRO DE TIQUINA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,0,1,3,1,3,4
SAN RAMON BENI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,260,364,88,55,348,419,767
SANTA ROSA DEL SARA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,1,1,0,4,1,5,6
SANTUARIO DE QUILLACAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,1,0,0,0,1,0,1
SAPAHAQUI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,1,3,4,3,5,8
SENA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,1,0,0,0,1,1
SHINAOTA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,1,0,0,0,1,1
SICAYA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,0,4,8,4,8,12
SIPE SIPE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,1,2,3,2,4,4,8
