,group,variable,month,TOTAL 23.5 TRATAMIENTOS INICIADOS CON ESQUEMA L CANTIDAD,TOTAL 23.5 TRATAMIENTOS INICIADOS CON ESQUEMA L CANTIDAD,TOTALES
SANTA ROSA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,1,0,1
SANTUARIO DE QUILLACAS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,1,0,1
SAPAHAQUI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,0,1,1
SHINAOTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,2,1,3
SICAYA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,1,0,1
SIPE SIPE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,0,1,1
SORATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,2,2,4
SUCRE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,11,3,14
TARABUCO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,1,0,1
TARIJA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,10,4,14
TEOPONTE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,1,0,1
TIPUANI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,1,1,2
TIQUIPAYA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,1,2,3
TRINIDAD,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,1,1,2
TUPIZA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,1,1,2
UNCIA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,0,2,2
URUBICHA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,0,1,1
VILLA CHARCAS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,0,1,1
VILLA MONTES,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,3,3,6
VINTO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,4,0,4
WARNES,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,4,4,8
YACUIBA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,7,8,15
YANACACHI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,1,0,1
YAPACANI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,4,2,6
ACHACACHI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,1,0,1
AIQUILE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,1,0,1
ALTO BENI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,3,0,3
APOLO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,3,0,3
ATOCHA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,1,0,1
BERMEJO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,1,0,1
BOYUIBE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,1,0,1
BUENA VISTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,1,0,1
CAMARGO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,1,1,2
CAPINOTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,1,0,1
CARANAVI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,9,2,11
CARAPARI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,0,1,1
CHALLAPATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,0,3,3
CHAYANTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,0,2,2
COCHABAMBA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,13,12,25
COLCAPIRHUA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,1,0,1
COLQUECHACA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,0,1,1
COLQUIRI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,1,0,1
COMARAPA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,1,0,1
CONCEPCION,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,1,0,1
CORIPATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,0,1,1
COROICO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,1,2,3
COTAGAITA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,0,1,1
COTOCA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,2,0,2
CUATRO CAÑADAS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,0,1,1
CULPINA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,0,2,2
EL ALTO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,29,22,51
EL TORNO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,4,1,5
ENTRE RIOS TRJ,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,1,2,3
ENTRE RIOS CBBA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,3,3,6
FERNANDEZ ALONSO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,1,0,1
GENERAL SAAVEDRA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,1,0,1
GUANAY,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,0,1,1
GUAYARAMERIN,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,1,0,1
GUTIERREZ,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,1,0,1
HUACARETA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,1,0,1
HUANUNI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,3,0,3
JESUS DE MACHACA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,0,1,1
LA ASUNTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,3,3,6
LA GUARDIA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,3,4,7
LA PAZ,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,49,25,74
LLALLAGUA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,2,0,2
MAPIRI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,1,1,2
MINEROS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,3,0,3
MONTEAGUDO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,2,0,2
MONTERO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,12,12,24
ORURO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,7,3,10
PADCAYA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,2,0,2
PATACAMAYA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,1,0,1
PAZÑA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,0,1,1
POTOSI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,9,2,11
PUCARANI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,0,1,1
PUERTO QUIJARRO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,2,1,3
PUERTO SUAREZ,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,8,2,10
PUNATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,1,2,3
QUILLACOLLO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,3,3,6
REYES,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,0,1,1
RIBERALTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,3,3,6
ROBORE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,1,0,1
SACABA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,6,3,9
SAN BENITO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,1,0,1
SAN BORJA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,2,5,7
SAN CARLOS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,0,1,1
SAN JOAQUIN,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,0,1,1
SAN JULIAN,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,3,2,5
SAN LUCAS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,1,0,1
SAN MATIAS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,1,1,2
SAN MIGUEL DE VELASCO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,1,0,1
SAN PEDRO DE TIQUINA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,75,51,126
SANTA ROSA DEL SARA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,0,2,2
SHINAOTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,1,1,2
SIPE SIPE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,2,0,2
SORATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,0,3,3
SUCRE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,9,5,14
TAPACARI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,1,0,1
TARABUCO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,2,1,3
TARIJA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,6,6,12
TARVITA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,0,1,1
TIPUANI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,2,2,4
TIQUIPAYA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,1,1,2
TRINIDAD,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,3,2,5
TUPIZA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,0,1,1
UMALA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,1,0,1
UNCIA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,1,0,1
VIACHA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,2,0,2
VILLA MONTES,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,2,0,2
VILLA TUNARI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,1,0,1
VINTO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,2,0,2
WARNES,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,4,1,5
YACUIBA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,4,2,6
YAPACANI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,4,1,5
YOCALLA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,0,1,1
YOTALA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-12-01,1,0,1
