,group,variable,month,O.P.V. 2DA DOSIS,O.P.V. 2DA DOSIS,O.P.V. 2DA DOSIS,O.P.V. 2DA DOSIS,TOTALES,TOTALES,TOTALES
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,2371,172,0,0,2371,172,2543
SANTA ROSA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,7,6,0,0,7,6,13
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,26,5,0,0,26,5,31
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,0,2,0,0,0,2,2
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,4,4,0,0,4,4,8
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,0,6,0,0,0,6,6
SANTIVAÑES,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,5,1,0,0,5,1,6
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,4,1,0,0,4,1,5
SAPAHAQUI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,3,13,0,0,3,13,16
SENA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,6,0,0,0,6,0,6
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,15,17,0,0,15,17,32
SICAYA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,0,2,0,0,0,2,2
SIPE SIPE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,44,7,0,0,44,7,51
SOPACHUY,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,2,7,0,0,2,7,9
SORACACHI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,3,11,0,0,3,11,14
SORATA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,14,25,0,0,14,25,39
SUCRE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,391,19,0,0,391,19,410
TACACOMA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,2,5,0,0,2,5,7
TACOBAMBA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,0,9,0,0,0,9,9
TACOPAYA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,5,4,0,0,5,4,9
TAHUA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,2,0,0,0,2,0,2
TAPACARI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,25,23,0,0,25,23,48
TARABUCO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,10,13,0,0,10,13,23
TARACO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,2,9,0,0,2,9,11
TARATA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,16,3,0,0,16,3,19
TARIJA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,311,22,0,0,311,22,333
TARVITA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,10,16,0,0,10,16,26
TEOPONTE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,7,18,0,0,7,18,25
TIAWANACU,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,7,13,0,0,7,13,20
TINGUIPAYA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,8,11,0,0,8,11,19
TIPUANI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,20,6,0,0,20,6,26
TIQUIPAYA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,92,7,0,0,92,7,99
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,54,18,0,0,54,18,72
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,0,1,0,0,0,1,1
TOCO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,6,4,0,0,6,4,10
TODOS SANTOS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,2,0,0,0,2,0,2
TOLATA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,1,1,0,0,1,1,2
TOLEDO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,5,2,0,0,5,2,7
TOMAVE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,4,8,0,0,4,8,12
TOMINA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,5,6,0,0,5,6,11
TORO TORO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,4,4,0,0,4,4,8
TOTORA(CBBA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,10,12,0,0,10,12,22
TOTORA(ORR),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,1,5,0,0,1,5,6
TRINIDAD,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,186,3,0,0,186,3,189
TUPIZA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,60,12,0,0,60,12,72
TURCO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,7,0,0,0,7,0,7
UMALA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,0,10,0,0,0,10,10
UNCIA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,12,46,0,0,12,46,58
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,15,2,0,0,15,2,17
URUBICHA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,10,0,0,0,10,0,10
UYUNI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,22,9,0,0,22,9,31
VACAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,8,4,0,0,8,4,12
VALLEGRANDE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,16,0,0,0,16,0,16
VIACHA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,62,26,0,0,62,26,88
VILA VILA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,4,4,0,0,4,4,8
VILLA MONTES,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,40,20,0,0,40,20,60
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,1,1,0,0,1,1,2
VILLA RIVERO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,3,4,0,0,3,4,7
VILLA SERRANO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,9,8,0,0,9,8,17
VILLA TUNARI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,99,27,0,0,99,27,126
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,5,2,0,0,5,2,7
VILLAZON,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,59,10,0,0,59,10,69
VINTO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,66,0,0,0,66,0,66
VITICHI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,6,6,0,0,6,6,12
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,4,0,0,0,4,0,4
WARNES,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,94,27,0,0,94,27,121
YACO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,0,7,0,0,0,7,7
YACUIBA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,110,14,0,0,110,14,124
YAMPARAEZ,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,6,4,0,0,6,4,10
YANACACHI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,4,4,0,0,4,4,8
YAPACANI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,53,40,0,0,53,40,93
YOCALLA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,1,11,0,0,1,11,12
YOTALA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,7,4,0,0,7,4,11
YUNCHARA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,2,8,0,0,2,8,10
ZUDAÑEZ,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,4,4,0,0,4,4,8
ACACIO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,1,5,0,0,1,5,6
ACHACACHI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,21,91,0,0,21,91,112
ACHOCALLA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,9,30,0,0,9,30,39
AIQUILE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,15,28,0,0,15,28,43
ALALAY,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,2,13,0,0,2,13,15
ALCALA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,4,1,0,0,4,1,5
ANCORAIMES,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,3,16,0,0,3,16,19
ANDAMARCA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,3,8,0,0,3,8,11
ANTEQUERA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,5,2,0,0,5,2,7
ANZALDO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,6,7,0,0,6,7,13
APOLO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,8,37,0,0,8,37,45
ARAMPAMPA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,2,10,0,0,2,10,12
ARANI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,2,2,0,0,2,2,4
ARBIETO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,3,7,0,0,3,7,10
ARQUE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,8,13,0,0,8,13,21
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,83,11,0,0,83,11,94
ATOCHA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,15,6,0,0,15,6,21
AUCAPATA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,0,6,0,0,0,6,6
AYATA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,0,13,0,0,0,13,13
AYO AYO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,5,2,0,0,5,2,7
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,22,27,0,0,22,27,49
AZURDUY,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,10,15,0,0,10,15,25
BATALLAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,12,14,0,0,12,14,26
BAURES,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,17,0,0,0,17,0,17
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,0,3,0,0,0,3,3
BELEN DE URMIRI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,1,3,0,0,1,3,4
BELLA FLOR,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,0,6,0,0,0,6,6
BERMEJO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,43,8,0,0,43,8,51
BETANZOS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,21,30,0,0,21,30,51
BOLIVAR,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,1,10,0,0,1,10,11
BOLPEBRA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,0,4,0,0,0,4,4
BOYUIBE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,4,0,0,0,4,0,4
BUENA VISTA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,17,5,0,0,17,5,22
CABEZAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,20,22,0,0,20,22,42
CAIROMA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,2,15,0,0,2,15,17
"CAIZA ""D""",vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,2,12,0,0,2,12,14
CAJUATA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,8,3,0,0,8,3,11
CALACOTO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,1,3,0,0,1,3,4
CALAMARCA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,7,7,0,0,7,7,14
CAMARGO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,16,4,0,0,16,4,20
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,2,2,0,0,2,2,4
CAMIRI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,39,9,0,0,39,9,48
CAPINOTA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,18,13,0,0,18,13,31
CAQUIAVIRI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,5,8,0,0,5,8,13
CARACOLLO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,18,17,0,0,18,17,35
CARANAVI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,48,46,0,0,48,46,94
CARAPARI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,10,9,0,0,10,9,19
CARIPUYO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,1,33,0,0,1,33,34
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,7,5,0,0,7,5,12
CATACORA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,0,1,0,0,0,1,1
CHALLAPATA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,28,30,0,0,28,30,58
CHAQUI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,6,7,0,0,6,7,13
CHARAGUA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,20,63,0,0,20,63,83
CHARAÑA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,0,4,0,0,0,4,4
CHAYANTA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,8,11,0,0,8,11,19
CHIMORE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,28,10,0,0,28,10,38
CHIPAYA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,1,0,0,0,1,0,1
CHOQUE COTA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,1,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,18,18,0,0,18,18,36
CHUMA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,5,7,0,0,5,7,12
CLIZA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,18,8,0,0,18,8,26
COBIJA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,60,5,0,0,60,5,65
COCHABAMBA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,1133,17,0,0,1133,17,1150
COIPASA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,2,0,0,0,2,0,2
COLCAPIRHUA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,109,12,0,0,109,12,121
"COLCHA ""K""",vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,7,4,0,0,7,4,11
COLLANA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,2,0,0,0,2,0,2
COLOMI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,20,26,0,0,20,26,46
COLPA BELGICA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,10,4,0,0,10,4,14
COLQUECHACA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,3,64,0,0,3,64,67
COLQUENCHA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,5,4,0,0,5,4,9
COLQUIRI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,10,46,0,0,10,46,56
COMANCHE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,1,0,0,0,1,0,1
COMARAPA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,24,9,0,0,24,9,33
COMBAYA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,0,3,0,0,0,3,3
CONCEPCION,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,35,8,0,0,35,8,43
COPACABANA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,2,20,0,0,2,20,22
CORIPATA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,17,11,0,0,17,11,28
CORO CORO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,4,13,0,0,4,13,17
COROICO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,14,12,0,0,14,12,26
CORQUE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,2,4,0,0,2,4,6
COTAGAITA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,10,28,0,0,10,28,38
COTOCA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,60,27,0,0,60,27,87
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,28,8,0,0,28,8,36
CUEVO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,4,6,0,0,4,6,10
CULPINA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,27,23,0,0,27,23,50
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,11,1,0,0,11,1,12
CURVA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,0,2,0,0,0,2,2
DESAGUADERO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,3,7,0,0,3,7,10
EL ALTO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,1209,161,0,0,1209,161,1370
EL CHORO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,1,5,0,0,1,5,6
EL PUENTE(STC),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,13,3,0,0,13,3,16
EL PUENTE(TJA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,8,17,0,0,8,17,25
EL TORNO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,49,3,0,0,49,3,52
EL VILLAR,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,3,3,0,0,3,3,6
ENTRE RIOS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,34,10,0,0,34,10,44
ENTRE RIOS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,24,12,0,0,24,12,36
ESCARA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,0,1,0,0,0,1,1
EUCALIPTUS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,13,2,0,0,13,2,15
EXALTACION,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,1,0,0,0,1,0,1
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,22,1,0,0,22,1,23
FILADELFIA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,0,17,0,0,0,17,17
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,17,3,0,0,17,3,20
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,3,18,0,0,3,18,21
GUANAY,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,14,7,0,0,14,7,21
GUAQUI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,3,6,0,0,3,6,9
GUAYARAMERIN,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,52,17,0,0,52,17,69
GUTIERREZ,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,18,23,0,0,18,23,41
HUACARETA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,9,7,0,0,9,7,16
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,5,0,0,0,5,0,5
HUACHACALLA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,2,0,0,0,2,0,2
HUANUNI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,43,1,0,0,43,1,44
HUARACAJE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,3,1,0,0,3,1,4
HUAYLLAMARCA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,4,4,0,0,4,4,8
ICHOCA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,0,8,0,0,0,8,8
ICLA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,3,15,0,0,3,15,18
INCAHUASI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,28,34,0,0,28,34,62
INQUISIVI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,4,11,0,0,4,11,15
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,9,17,0,0,9,17,26
IXIAMAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,5,2,0,0,5,2,7
JESUS DE MACHACA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,12,7,0,0,12,7,19
LA ASUNTA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,31,16,0,0,31,16,47
LA GUARDIA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,100,1,0,0,100,1,101
LA PAZ,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,1124,33,0,0,1124,33,1157
LA RIVERA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,0,1,0,0,0,1,1
LAGUNILLAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,6,4,0,0,6,4,10
LAJA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,8,23,0,0,8,23,31
LAS CARRERAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,1,3,0,0,1,3,4
LICOMA PAMPA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,4,0,0,0,4,0,4
LLALLAGUA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,20,62,0,0,20,62,82
LLICA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,5,1,0,0,5,1,6
LORETO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,8,1,0,0,8,1,9
LURIBAY,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,4,11,0,0,4,11,15
MACHACAMARCA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,7,1,0,0,7,1,8
MACHARETI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,4,6,0,0,4,6,10
MAGDALENA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,12,2,0,0,12,2,14
MAIRANA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,10,5,0,0,10,5,15
MALLA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,0,10,0,0,0,10,10
MAPIRI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,29,2,0,0,29,2,31
MECAPACA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,7,10,0,0,7,10,17
MINEROS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,38,4,0,0,38,4,42
MIZQUE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,18,24,0,0,18,24,42
MOCOMOCO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,0,25,0,0,0,25,25
MOJOCOYA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,7,6,0,0,7,6,13
MONTEAGUDO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,25,14,0,0,25,14,39
MONTERO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,162,16,0,0,162,16,178
MORO MORO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,3,2,0,0,3,2,5
MOROCHATA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,8,46,0,0,8,46,54
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,0,4,0,0,0,4,4
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,5,2,0,0,5,2,7
OCURI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,9,37,0,0,9,37,46
OKINAWA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,10,5,0,0,10,5,15
OMEREQUE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,3,7,0,0,3,7,10
ORURO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,405,24,0,0,405,24,429
PADCAYA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,22,5,0,0,22,5,27
PADILLA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,7,8,0,0,7,8,15
PAILON,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,29,37,0,0,29,37,66
PALCA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,11,8,0,0,11,8,19
PALOS BLANCOS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,28,22,0,0,28,22,50
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,1,0,0,0,1,0,1
PAMPA GRANDE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-02-01,14,2,0,0,14,2,16
