,group,variable,month,17.25 COVID DOSIS ANUAL (4TA DOSIS) DENTRO,17.25 COVID DOSIS ANUAL (4TA DOSIS) DENTRO,17.25 COVID DOSIS ANUAL (4TA DOSIS) FUERA,17.25 COVID DOSIS ANUAL (4TA DOSIS) FUERA,TOTALES,TOTALES,TOTALES
ALALAY,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,3,1,0,0,3,1,4
ALCALA,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,1,2,9,17,10,19,29
ANZALDO,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,0,0,7,0,7,0,7
ARANI,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,13,13,1,4,14,17,31
ARBIETO,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,33,37,0,0,33,37,70
ARQUE,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,3,4,5,3,8,7,15
ATOCHA,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,42,70,44,69,86,139,225
AYO AYO,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,0,0,2,0,2,0,2
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,3,7,68,76,71,83,154
AZURDUY,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,3,4,0,0,3,4,7
BERMEJO,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,13,6,1,3,14,9,23
BETANZOS,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,6,10,0,0,6,10,16
BOLIVAR,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,0,0,1,0,1,0,1
BOYUIBE,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,13,28,16,35,29,63,92
CAJUATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,3,3,0,0,3,3,6
CAMARGO,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,52,65,4,8,56,73,129
CAPINOTA,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,13,10,2,10,15,20,35
CARANAVI,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,51,47,33,25,84,72,156
CHALLAPATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,1,1,0,0,1,1,2
CHIMORE,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,18,19,82,46,100,65,165
CHUA COCANI,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,1,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,21,15,0,0,21,15,36
CLIZA,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,27,20,17,16,44,36,80
COCAPATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,6,8,0,3,6,11,17
COCHABAMBA,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,3071,3500,591,672,3662,4172,7834
COLCAPIRHUA,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,19,17,211,241,230,258,488
COLOMI,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,1,0,1,1,2,1,3
COLQUECHACA,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,0,0,1,0,1,0,1
COLQUIRI,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,4,6,3,3,7,9,16
COMANCHE,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,0,0,2,2,2,2,4
COMBAYA,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,3,0,0,0,3,0,3
CORIPATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,0,0,2,0,2,0,2
COROICO,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,3,5,21,16,24,21,45
COTAGAITA,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,0,0,13,5,13,5,18
COTOCA,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,47,49,32,41,79,90,169
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,1,1,0,0,1,1,2
CULPINA,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,1,1,0,0,1,1,2
DESAGUADERO,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,3,2,1,0,4,2,6
EL ALTO,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,113,131,54,55,167,186,353
EL PUENTE(TJA),otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,0,4,1,3,1,7,8
EL VILLAR,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,0,0,0,2,0,2,2
ENTRE RIOS TRJ,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,7,9,0,0,7,9,16
ENTRE RIOS CBBA,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,31,34,29,29,60,63,123
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,0,0,0,1,0,1,1
GUAQUI,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,1,0,0,0,1,0,1
GUAYARAMERIN,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,6,4,0,0,6,4,10
HUANUNI,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,4,2,0,0,4,2,6
HUARINA,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,0,1,0,0,0,1,1
INQUISIVI,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,3,3,0,1,3,4,7
JESUS DE MACHACA,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,0,0,3,0,3,0,3
LA PAZ,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,2174,2718,1848,1806,4022,4524,8546
LAJA,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,0,1,0,0,0,1,1
LAS CARRERAS,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,3,5,0,0,3,5,8
LLALLAGUA,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,22,26,0,0,22,26,48
MACHARETI,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,1,3,0,0,1,3,4
MECAPACA,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,4,3,0,0,4,3,7
MIZQUE,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,13,16,25,35,38,51,89
MOJOCOYA,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,1,0,0,0,1,0,1
MONTEAGUDO,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,22,24,2,4,24,28,52
MONTERO,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,195,71,3,2,198,73,271
OCURI,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,0,0,0,1,0,1,1
ORURO,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,540,557,23,45,563,602,1165
PADILLA,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,53,63,0,0,53,63,116
PALCA,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,0,1,0,0,0,1,1
POTOSI,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,80,71,39,58,119,129,248
PUERTO CARABUCO,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,0,4,0,0,0,4,4
PUERTO VILLARROEL,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,11,8,44,37,55,45,100
PUNA,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,3,5,0,3,3,8,11
PUNATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,20,17,5,1,25,18,43
QUIABAYA,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,0,8,5,0,5,8,13
QUILLACOLLO,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,272,249,91,84,363,333,696
QUIME,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,1,0,2,1,3,1,4
RAQAYPAMPA(ETA),otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,10,7,6,7,16,14,30
SACABA,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,122,154,49,70,171,224,395
SACABAMBA,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,0,0,3,2,3,2,5
SALINAS DE GARCI MENDOZA,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,4,5,4,3,8,8,16
SAN ANDRES DE MACHACA,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,0,0,1,2,1,2,3
SAN BENITO,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,5,3,0,1,5,4,9
SAN CARLOS,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,8,12,2,1,10,13,23
SAN IGNACIO DE VELASCO,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,36,29,0,0,36,29,65
SAN MIGUEL DE VELASCO,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,7,10,3,20,10,30,40
SAN PEDRO(PND),otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,0,0,8,9,8,9,17
SAN RAFAEL,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,27,36,0,0,27,36,63
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,1737,1745,147,130,1884,1875,3759
SANTIAGO DE HUARI,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,0,0,4,1,4,1,5
SANTIAGO DE HUATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,2,0,0,0,2,0,2
SANTIVAÑES,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,6,5,0,0,6,5,11
SAPAHAQUI,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,0,1,0,0,0,1,1
SHINAOTA,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,4,3,0,0,4,3,7
SICAYA,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,6,4,9,15,15,19,34
SIPE SIPE,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,29,48,60,67,89,115,204
SOPACHUY,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,3,1,0,0,3,1,4
SUCRE,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,863,1013,603,731,1466,1744,3210
TACACOMA,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,2,0,0,0,2,0,2
TAPACARI,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,6,6,1,0,7,6,13
TARACO,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,0,1,0,0,0,1,1
TARATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,9,11,160,60,169,71,240
TARIJA,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,362,400,973,1118,1335,1518,2853
TARVITA,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,2,2,0,0,2,2,4
TIAHUANACU,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,1,0,2,2,3,2,5
TIQUIPAYA,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,55,64,107,171,162,235,397
TIRAQUE (CBBA),otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,2,2,185,41,187,43,230
TOCO,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,3,6,0,0,3,6,9
TOLATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,1,5,2,5,3,10,13
TOMINA,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,1,1,0,0,1,1,2
TOTORA(CBBA),otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,2,2,0,3,2,5,7
TRINIDAD,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,7,5,0,0,7,5,12
TUPIZA,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,26,30,0,0,26,30,56
URIONDO (A. CONCEPCION),otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,4,3,0,0,4,3,7
VACAS,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,4,10,0,0,4,10,14
VALLEGRANDE,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,34,49,0,0,34,49,83
VIACHA,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,34,49,160,172,194,221,415
VILLA MONTES,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,32,29,22,6,54,35,89
VILLA RIVERO,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,1,2,0,0,1,2,3
VILLA SERRANO,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,72,63,2,7,74,70,144
VILLA TUNARI,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,9,21,29,22,38,43,81
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,11,17,20,2,31,19,50
VILLAZON,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,33,41,19,25,52,66,118
VINTO,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,48,58,55,86,103,144,247
WALDO BALLIVIAN,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,5,3,0,0,5,3,8
YACUIBA,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,41,50,123,109,164,159,323
YAMPARAEZ,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,1,0,0,0,1,0,1
YAPACANI,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,11,10,2,1,13,11,24
YOTALA,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,5,15,3,4,8,19,27
ZUDAÑEZ,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,4,10,9,6,13,16,29
AIQUILE,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,71,76,30,44,101,120,221
ALCALA,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,0,1,17,28,17,29,46
ANTEQUERA,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,14,14,0,0,14,14,28
ANZALDO,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,1,2,0,0,1,2,3
ARANI,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,9,5,2,4,11,9,20
ARBIETO,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,10,16,2,0,12,16,28
ARQUE,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,0,0,4,3,4,3,7
ATOCHA,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,46,29,86,100,132,129,261
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,24,28,18,29,42,57,99
AZURDUY,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,2,4,11,19,13,23,36
BELLA FLOR,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,0,0,1,0,1,0,1
BERMEJO,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,6,2,0,0,6,2,8
BETANZOS,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,10,12,0,0,10,12,22
BOLIVAR,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,2,1,7,11,9,12,21
BOYUIBE,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,20,23,8,17,28,40,68
CAJUATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,0,0,1,2,1,2,3
CALAMARCA,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,10,16,13,7,23,23,46
CAMARGO,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,39,54,29,25,68,79,147
CAPINOTA,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,47,17,4,4,51,21,72
CARACOLLO,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,0,1,0,0,0,1,1
CARANAVI,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,10,19,0,0,10,19,29
CARAPARI,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,3,3,0,0,3,3,6
CHALLAPATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,6,5,1,2,7,7,14
CHARAGUA,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,8,23,0,1,8,24,32
CHIMORE,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,3,1,65,26,68,27,95
CHUA COCANI,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,0,0,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,6,3,0,0,6,3,9
CLIZA,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,16,29,6,7,22,36,58
COBIJA,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,66,44,71,61,137,105,242
COCAPATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,2,2,0,0,2,2,4
COCHABAMBA,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,4619,5500,1459,1391,6078,6891,12969
COLCAPIRHUA,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,37,36,150,138,187,174,361
COLOMI,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,4,3,5,5,9,8,17
COLPA BELGICA,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,13,14,0,0,13,14,27
COLQUIRI,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,8,6,21,1,29,7,36
COMBAYA,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,3,3,0,0,3,3,6
COROICO,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,19,9,3,1,22,10,32
CORQUE,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,5,10,0,0,5,10,15
COTAGAITA,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,11,11,3,2,14,13,27
COTOCA,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,214,230,23,25,237,255,492
CRUZ DE MACHACAMARCA,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,1,1,0,0,1,1,2
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,4,2,0,0,4,2,6
CULPINA,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,17,7,0,1,17,8,25
CURAHUARA DE CARANGAS,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,7,7,0,0,7,7,14
CURVA,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,2,1,0,0,2,1,3
DESAGUADERO,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,0,0,1,0,1,0,1
EL ALTO,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,165,165,54,52,219,217,436
EL PUENTE(TJA),otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,24,32,2,4,26,36,62
EL TORNO,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,80,68,0,0,80,68,148
ENTRE RIOS TRJ,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,28,38,0,0,28,38,66
ENTRE RIOS CBBA,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,10,13,52,18,62,31,93
ESCOMA,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,1,0,0,0,1,0,1
FERNANDEZ ALONSO,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,3,0,20,0,23,0,23
FILADELFIA,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,0,0,1,2,1,2,3
GENERAL SAAVEDRA,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,18,11,0,0,18,11,29
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,1,1,0,0,1,1,2
GUAYARAMERIN,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,28,18,2,1,30,19,49
HUACARETA,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,2,2,0,1,2,3,5
HUANUNI,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,11,16,0,0,11,16,27
HUARINA,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,2,2,0,0,2,2,4
HUMANATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,2,0,0,0,2,0,2
ICHOCA,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,1,0,3,5,4,5,9
INQUISIVI,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,1,6,3,2,4,8,12
JESUS DE MACHACA,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,0,1,0,0,0,1,1
LA PAZ,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,3587,4278,2878,4116,6465,8394,14859
LAS CARRERAS,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,0,6,0,0,0,6,6
LLALLAGUA,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,24,34,0,0,24,34,58
MACHARETI,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,36,51,4,3,40,54,94
MAIRANA,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,43,51,0,0,43,51,94
MECAPACA,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,4,3,1,0,5,3,8
MIZQUE,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,28,27,2,0,30,27,57
MOCOMOCO,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,2,0,3,1,5,1,6
MONTEAGUDO,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,71,71,6,10,77,81,158
MONTERO,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,190,172,39,40,229,212,441
MOROCHATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,2,1,5,1,7,2,9
OMEREQUE,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,0,0,9,6,9,6,15
ORURO,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,813,952,11,9,824,961,1785
PADILLA,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,98,137,0,0,98,137,235
PALCA,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,0,1,1,0,1,1,2
PAMPA GRANDE,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,29,36,15,26,44,62,106
PASORAPA,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,46,62,13,13,59,75,134
PAZÑA,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,8,1,0,0,8,1,9
PELECHUCO,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,0,0,1,0,1,0,1
POOPO,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,5,9,0,0,5,9,14
POROMA,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,0,0,0,1,0,1,1
PORTACHUELO,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,62,80,0,0,62,80,142
PORVENIR,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,7,14,11,11,18,25,43
POTOSI,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,85,144,114,127,199,271,470
PUCARA,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,3,7,0,0,3,7,10
PUERTO CARABUCO,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,0,2,0,1,0,3,3
PUERTO VILLARROEL,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,17,18,28,18,45,36,81
PUNA,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,2,8,4,9,6,17,23
PUNATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,25,24,1,1,26,25,51
QUILLACOLLO,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,579,613,49,79,628,692,1320
QUIME,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,7,4,4,8,11,12,23
RAQAYPAMPA(ETA),otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,1,0,3,4,4,4,8
SABAYA,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,4,8,0,0,4,8,12
SACABA,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,244,271,168,93,412,364,776
SALINAS DE GARCI MENDOZA,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,0,0,9,6,9,6,15
SAMAIPATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,35,48,58,57,93,105,198
SAN ANDRES DE MACHACA,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,2,1,7,8,9,9,18
SAN BENITO,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,2,4,0,0,2,4,6
SAN CARLOS,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,17,24,6,10,23,34,57
SAN IGNACIO,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,18,26,0,0,18,26,44
SAN IGNACIO DE VELASCO,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,56,43,0,0,56,43,99
SAN LORENZO(PND),otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,0,0,0,8,0,8,8
SAN LORENZO(TJA),otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,8,4,0,0,8,4,12
SAN MIGUEL DE VELASCO,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,12,14,36,57,48,71,119
SAN PEDRO,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,2,1,2,2,4,3,7
SAN PEDRO DE TIQUINA,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,2,0,0,0,2,0,2
SAN RAFAEL,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,14,13,0,0,14,13,27
SANTA ANA,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,4543,4803,1075,1158,5618,5961,11579
SANTA ROSA,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,1,3,0,0,1,3,4
SANTIAGO DE HUARI,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,4,1,13,13,17,14,31
SANTIAGO DE MACHACA,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,2,1,0,0,2,1,3
SANTIVAÑES,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,15,19,2,2,17,21,38
SAPAHAQUI,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,1,1,0,0,1,1,2
SHINAOTA,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,8,5,0,0,8,5,13
SIPE SIPE,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,20,17,44,57,64,74,138
SOPACHUY,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,2,4,3,7,5,11,16
SUCRE,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,1722,2160,46,86,1768,2246,4014
TACACHI,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,0,1,0,1,0,2,2
TACOPAYA,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,8,7,4,4,12,11,23
TAPACARI,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,22,31,0,0,22,31,53
TARACO,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,2,0,0,0,2,0,2
TARATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,10,6,3,0,13,6,19
TARIJA,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,828,964,689,688,1517,1652,3169
TARVITA,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,1,1,0,0,1,1,2
TIAHUANACU,otras vacunaciones,covid dosis anual (4ta dosis),2022-05-01,2,0,1,0,3,0,3
