,group,variable,month,TOTAL 1910 ANTI AMARÍLICA CANTIDAD,TOTAL 1910 ANTI AMARÍLICA CANTIDAD,TOTALES
PORVENIR,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,0,4,4
POTOSI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,24,3,27
PUCARANI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,1,2,3
PUERTO RICO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,0,3,3
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,3,2,5
PUNATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,2,5,7
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,14,25,39
RAVELO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,4,0,4
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,1,0,1
ROBORE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,1,0,1
SABAYA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,0,1,1
SACABA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,14,4,18
SACABAMBA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,1,0,1
SACACA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,0,7,7
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,0,1,1
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,0,2,2
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,1,0,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,1,7,8
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,1,0,1
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,0,1,1
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,0,3,3
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,5,0,5
SAN JAVIER(STC),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,9,0,9
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,1,1,2
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,1,1,2
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,2,1,3
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,5,1,6
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,0,1,1
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,0,1,1
SAN PEDRO(PND),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,0,1,1
SAN RAFAEL,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,0,1,1
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,239,33,272
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,4,1,5
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,2,6,8
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,0,1,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,2,14,16
SOPACHUY,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,1,0,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,26,1,27
TACACOMA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,3,0,3
TARATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,0,1,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,9,4,13
TIAWANACU,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,1,0,1
TIPUANI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,0,3,3
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,2,17,19
TOMAVE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,0,1,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,1,1,2
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,19,0,19
TUPIZA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,4,3,7
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,0,1,1
URUBICHA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,0,1,1
UYUNI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,18,36,54
VIACHA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,5,8,13
VILA VILA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,0,1,1
VILLA CHARCAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,0,1,1
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,3,1,4
VILLA RIVERO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,0,1,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,6,8,14
VILLAZON,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,4,0,4
VINTO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,12,0,12
VITICHI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,3,0,3
WARNES,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,14,1,15
YACUIBA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,6,8,14
YANACACHI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,0,1,1
YAPACANI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,7,9,16
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,2,0,2
AIQUILE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,0,2,2
ALTO BENI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,3,0,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,3,0,3
ATOCHA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,0,2,2
AUCAPATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,0,1,1
BATALLAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,1,0,1
BAURES,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,1,1,2
BELLA FLOR,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,0,1,1
BERMEJO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,2,0,2
BETANZOS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,18,7,25
CABEZAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,0,9,9
"CAIZA ""D""",vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,3,1,4
CAMARGO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,0,1,1
CAMIRI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,2,3,5
CAQUIAVIRI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,0,9,9
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,1,0,1
CARANAVI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,6,3,9
CARANGAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,0,1,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,3,2,5
CHIMORE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,1,0,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,5,6,11
COCAPATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,0,4,4
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,85,64,149
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,6,4,10
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,3,3,6
COLOMI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,2,1,3
COMARAPA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,0,1,1
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,0,1,1
CORIPATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,0,2,2
CORO CORO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,0,1,1
COROICO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,0,1,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,4,6,10
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,1,2,3
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,0,2,2
CURAHUARA DE CARANGAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,0,60,60
DESAGUADERO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,85,115,200
EL CHORO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,1,0,1
EL TORNO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,1,0,1
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,0,1,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,2,0,2
EXALTACION,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,1,0,1
GUANAY,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,0,3,3
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,5,2,7
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,1,0,1
HUANUNI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,3,4,7
HUARACAJE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,1,0,1
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,1,0,1
INGAVI (HUMAITA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,0,3,3
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,2,2,4
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,2,0,2
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,1,0,1
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,1,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,5,0,5
LA PAZ,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,85,5,90
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,1,7,8
LORETO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,10,3,13
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,0,1,1
MIZQUE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,0,1,1
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,1,0,1
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,0,1,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,15,10,25
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,0,3,3
OCURI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,0,6,6
ORURO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,16,11,27
PADCAYA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,1,0,1
PADILLA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,1,0,1
PAILON,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,0,5,5
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,1,1,2
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,1,0,1
PATACAMAYA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,0,1,1
PELECHUCO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,0,3,3
POCOATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,0,2,2
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,8,0,8
PORVENIR,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,0,2,2
POTOSI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,46,13,59
PUERTO CARABUCO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,0,1,1
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,1,1,2
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,2,1,3
PUNATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,9,1,10
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,8,27,35
RAVELO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,2,7,9
REYES,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,0,2,2
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,8,7,15
ROBORE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,2,0,2
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,1,0,1
SACABA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,59,0,59
SACACA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,7,22,29
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,0,2,2
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,0,1,1
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,0,1,1
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,2,1,3
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,9,7,16
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,0,4,4
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,1,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,2,2,4
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,1,1,2
SAN JAVIER(STC),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,1,2,3
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,4,0,4
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,2,0,2
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,1,2,3
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,0,1,1
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,0,1,1
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,0,1,1
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,2,0,2
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,2,0,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,186,23,209
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,1,0,1
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,0,1,1
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,0,4,4
SENA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,1,0,1
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,3,1,4
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,0,4,4
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,1,1,2
SORATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,0,1,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,10,3,13
TACOPAYA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,1,0,1
TAPACARI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,0,1,1
TARATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,0,1,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,12,3,15
TARVITA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,0,1,1
TEOPONTE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,1,0,1
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,0,90,90
TIPUANI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,1,0,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,1,8,9
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,1,1,2
TOMAVE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,0,1,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,13,4,17
TUPIZA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,12,0,12
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,2,0,2
UYUNI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,2,0,2
VIACHA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,19,1,20
VILA VILA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,1,0,1
VILLA CHARCAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,0,1,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,13,4,17
VILLAZON,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,4,0,4
VINTO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,7,3,10
VITICHI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,0,2,2
WARNES,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,10,3,13
YACUIBA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,7,8,15
YAPACANI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,0,7,7
YOCALLA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-09-01,4,0,4
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,1,0,1
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,0,2,2
ANCORAIMES,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,1,0,1
ARBIETO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,1,1,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,5,0,5
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,0,1,1
BELLA FLOR,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,0,1,1
BERMEJO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,2,2,4
BETANZOS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,0,1,1
BOLPEBRA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,0,1,1
CABEZAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,0,2,2
CAMIRI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,8,0,8
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,0,1,1
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,1,3,4
CARANAVI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,1,1,2
CARAPARI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,0,5,5
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,3,4,7
CHAYANTA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,3,0,3
CHIMORE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,1,0,1
CHUA COCANI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,0,1,1
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,0,1,1
CLIZA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,0,1,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,5,4,9
COCAPATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,5,1,6
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,130,15,145
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,7,5,12
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,0,1,1
COLOMI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,1,2,3
COLPA BELGICA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,2,0,2
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,0,3,3
COPACABANA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,0,1,1
CORIPATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,5,0,5
COROICO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,0,2,2
CORQUE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,3,0,3
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,0,1,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,6,0,6
CULPINA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,1,0,1
DESAGUADERO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,0,2,2
EL ALTO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,76,115,191
EL TORNO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,6,0,6
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,3,0,3
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,0,1,1
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,0,2,2
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,1,1,2
GUANAY,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,0,3,3
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,1,6,7
HUANUNI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,1,18,19
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,1,0,1
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,0,1,1
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,6,0,6
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,10,0,10
LA PAZ,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,99,15,114
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,5,1,6
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,0,3,3
LURIBAY,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,3,3,6
MAPIRI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,1,6,7
MIZQUE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,2,0,2
MOCOMOCO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-10-01,1,0,1
