,group,variable,month,TOTAL 19.9 SRP DOSIS ÚNICA CANTIDAD,TOTAL 19.9 SRP DOSIS ÚNICA CANTIDAD,TOTALES
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,167,14,181
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,0,1,1
SANTIVAÑES,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,0,1,1
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,0,1,1
SENA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,1,0,1
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,3,1,4
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,0,2,2
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,1,5,6
SORATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,0,1,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,14,3,17
TACOPAYA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,1,0,1
TAPACARI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,1,0,1
TARACO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,1,2,3
TARIJA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,6,5,11
TEOPONTE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,1,0,1
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,0,1,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,2,2,4
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,1,1,2
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,9,5,14
TUPIZA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,4,0,4
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,1,1,2
UYUNI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,1,0,1
VIACHA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,9,4,13
VILA VILA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,1,0,1
VILLA RIVERO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,2,2,4
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,11,3,14
VINTO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,3,0,3
WARNES,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,8,3,11
YACUIBA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,5,4,9
YAPACANI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,0,2,2
YOCALLA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,2,0,2
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,0,2,2
ALCALA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,5,16,21
ANCORAIMES,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,5,0,5
AYATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,0,2,2
BETANZOS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,4,1,5
CABEZAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,0,2,2
CAJUATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,1,1,2
CAMIRI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,3,0,3
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,1,1,2
CARANAVI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,1,4,5
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,4,4,8
CHIMORE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,1,0,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,5,3,8
COCAPATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,0,1,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,56,9,65
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,7,7,14
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,1,0,1
COLLANA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,0,1,1
COLOMI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,0,2,2
COLPA BELGICA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,4,0,4
CORIPATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,5,0,5
COROICO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,1,1,2
CORQUE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,0,1,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,5,0,5
CULPINA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,1,0,1
DESAGUADERO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,0,2,2
EL ALTO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,66,91,157
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,1,0,1
EL TORNO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,4,0,4
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,2,0,2
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,0,1,1
EXALTACION,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,1,0,1
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,0,1,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,0,1,1
GUANAY,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,0,3,3
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,1,0,1
HUANUNI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,1,7,8
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,1,1,2
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,1,1,2
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,4,0,4
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,10,2,12
LA PAZ,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,77,25,102
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,1,0,1
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,0,2,2
LURIBAY,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,2,0,2
MACHARETI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,1,0,1
MAIRANA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,1,0,1
MAPIRI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,1,4,5
MIZQUE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,1,0,1
MOCOMOCO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,1,0,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,5,4,9
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,0,1,1
OKINAWA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,1,0,1
ORURO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,35,122,157
PADILLA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,3,4,7
PAILON,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,20,0,20
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,2,1,3
PAMPA AULLAGAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,0,1,1
PATACAMAYA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,1,0,1
PAZÑA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,0,2,2
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,1,0,1
POROMA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,0,2,2
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,1,0,1
PORVENIR,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,2,0,2
POTOSI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,16,7,23
PUCARANI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,2,0,2
PUERTO ACOSTA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,0,1,1
PUERTO GONZALO MORENO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,1,0,1
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,3,0,3
PUNATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,3,12,15
REYES,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,2,0,2
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,3,1,4
ROBORE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,2,0,2
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,1,0,1
SACABA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,11,3,14
SACABAMBA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,0,1,1
SAMAIPATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,0,1,1
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,1,1,2
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,0,1,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,4,0,4
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,2,0,2
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,0,1,1
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,1,1,2
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,2,0,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,38,0,38
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,1,1,2
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,2,1,3
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,1,0,1
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,1,1,2
SAN PABLO DE LIPEZ,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,4,0,4
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,1,0,1
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,191,121,312
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,0,3,3
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,1,1,2
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,0,2,2
SANTIVAÑES,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,0,1,1
SENA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,1,10,11
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,1,1,2
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,4,1,5
SORATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,0,5,5
SUCRE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,15,3,18
TARABUCO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,0,1,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,6,6,12
TARVITA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,1,0,1
TEOPONTE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,1,0,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,3,2,5
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,17,4,21
TUPIZA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,0,2,2
VIACHA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,3,2,5
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,1,4,5
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,6,7,13
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,0,2,2
VINTO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,8,10,18
WARNES,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,15,1,16
YACUIBA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,1,0,1
YOCALLA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-10-01,1,0,1
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,0,1,1
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,1,0,1
ARAMPAMPA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,1,4,5
ARBIETO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,2,2,4
ATOCHA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,0,1,1
AYATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,1,0,1
BATALLAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,4,0,4
BETANZOS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,8,0,8
CABEZAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,0,1,1
CAIROMA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,1,0,1
CALAMARCA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,1,0,1
CAMIRI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,1,0,1
CARANAVI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,10,1,11
CHACARILLA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,1,0,1
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,0,1,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,0,1,1
CHUMA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,3,0,3
COBIJA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,4,1,5
COCAPATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,0,1,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,38,3,41
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,10,1,11
COLOMI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,2,3,5
COLPA BELGICA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,5,38,43
CORIPATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,2,0,2
COROICO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,0,2,2
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,1,2,3
EL ALTO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,57,46,103
EL TORNO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,3,0,3
EL VILLAR,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,1,1,2
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,1,0,1
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,0,3,3
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,1,4,5
HUACARETA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,6,6,12
HUANUNI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,1,5,6
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,3,6,9
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,3,1,4
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,6,3,9
LA PAZ,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,54,5,59
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,0,4,4
LORETO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,2,1,3
MAIRANA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,1,0,1
MAPIRI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,1,0,1
MIZQUE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,2,1,3
MONTERO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,6,2,8
OCURI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,0,3,3
OKINAWA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,1,1,2
ORURO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,18,11,29
PAILON,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,2,0,2
PALCA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,1,0,1
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,1,2,3
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,0,1,1
PAPEL PAMPA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,5,0,5
PATACAMAYA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,2,0,2
POCOATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,0,9,9
POCONA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,0,1,1
POROMA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,1,1,2
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,4,0,4
POTOSI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,20,9,29
PRESTO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,7,0,7
PUCARANI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,1,0,1
PUERTO ACOSTA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,0,1,1
PUERTO CARABUCO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,1,0,1
PUERTO RICO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,1,0,1
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,11,1,12
PUNATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,0,1,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,10,16,26
RAVELO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,0,2,2
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,18,0,18
ROBORE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,2,0,2
SACABA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,13,5,18
SAN ANDRES DE MACHACA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,1,0,1
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,1,0,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,2,2,4
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,1,1,2
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,2,1,3
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,12,7,19
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,1,4,5
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,0,1,1
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,0,1,1
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,0,1,1
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,0,1,1
SAN PABLO DE LIPEZ,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,1,0,1
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,2,2,4
SAN PEDRO(PND),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,0,1,1
SAN RAFAEL,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,0,1,1
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,1,0,1
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,160,73,233
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,3,0,3
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,1,1,2
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,1,0,1
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,3,0,3
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,0,2,2
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,3,3,6
SORATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,0,2,2
SUCRE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,16,10,26
TAPACARI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,1,0,1
TARACO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,6,0,6
TARIJA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,5,4,9
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,3,3,6
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,0,1,1
TOCO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,1,0,1
TOMAVE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,0,1,1
TORO TORO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,1,0,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,0,2,2
