municipality,group,variable,month,Pacientes contrarreferidos al establecimiento,TOTAL
COTOCA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,274,274
CUATRO CAÑADAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,2,2
CUEVO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,5,5
EL ALTO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,814,814
EL CHORO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,2,2
EL PUENTE(STC),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,6,6
EL PUENTE(TJA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,3,3
EL TORNO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,26,26
ENTRE RIOS TRJ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,3,3
ENTRE RIOS CBBA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,17,17
EUCALIPTUS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,1,1
FERNANDEZ ALONSO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,13,13
GUAYARAMERIN,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,16,16
GUTIERREZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,6,6
HUACARETA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,2,2
HUANUNI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,12,12
INCAHUASI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,9,9
INQUISIVI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,2,2
LA ASUNTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,9,9
LA GUARDIA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,57,57
LA PAZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,4100,4100
LAGUNILLAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,9,9
LAS CARRERAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,4,4
LICOMA PAMPA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,1,1
LORETO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,1,1
MACHACAMARCA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,1,1
MACHARETI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,7,7
MAIRANA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,2,2
MAPIRI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,1,1
MECAPACA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,2,2
MINEROS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,1,1
MIZQUE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,1,1
MOCOMOCO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,1,1
MOJOCOYA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,4,4
MONTEAGUDO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,9,9
MONTERO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,148,148
MORO MORO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,1,1
OCURI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,2,2
OKINAWA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,2,2
ORURO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,624,624
PADCAYA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,3,3
PADILLA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,6,6
PALCA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,1,1
PALOS BLANCOS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,1,1
POOPO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,5,5
POROMA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,4,4
PORONGO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,1,1
PORTACHUELO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,2,2
POTOSI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,69,69
PRESTO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,4,4
PUERTO CARABUCO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,1,1
PUERTO GONZALO MORENO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,4,4
PUERTO QUIJARRO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,2,2
PUERTO VILLARROEL,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,9,9
PUNATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,4,4
QUILLACOLLO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,58,58
QUIRUSILLAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,1,1
RAVELO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,2,2
RIBERALTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,36,36
ROBORE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,3,3
RURRENABAQUE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,6,6
SACABA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,31,31
SAIPINA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,6,6
SAN BUENA VENTURA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,21,21
SAN CARLOS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,26,26
SAN IGNACIO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,1,1
SAN JOAQUIN,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,1,1
SAN JUAN DE YAPACANI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,1,1
SAN JULIAN,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,2,2
SAN LORENZO(PND),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,3,3
SAN LORENZO(TJA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,1,1
SAN LUCAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,12,12
SAN MIGUEL DE VELASCO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,5,5
SAN PEDRO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,6,6
SAN PEDRO DE TIQUINA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,2,2
SAN RAFAEL,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,1,1
SANTA CRUZ DE LA SIERRA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,1731,1731
SANTA ROSA DEL SARA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,1,1
SENA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,5,5
SHINAOTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,33,33
SOPACHUY,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,4,4
SORACACHI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,6,6
SUCRE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,42,42
TARABUCO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,2,2
TARIJA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,42,42
TARVITA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,4,4
TOLEDO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,1,1
TOMINA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,8,8
TOTORA(CBBA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,5,5
TOTORA(ORR),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,2,2
TRINIDAD,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,417,417
TUPIZA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,71,71
URIONDO (A. CONCEPCION),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,8,8
VIACHA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,62,62
VILA VILA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,1,1
VILLA CHARCAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,1,1
VILLA MONTES,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,16,16
VILLA SERRANO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,6,6
VILLA TUNARI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,3,3
VILLA VACA GUZMAN (MUYUPAMPA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,1,1
VILLAZON,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,1,1
VINTO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,11,11
YACO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,1,1
YACUIBA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,25,25
YAPACANI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,1,1
YOTALA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,1,1
ACHACACHI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,8,8
AIQUILE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,2,2
ALCALA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,7,7
ARBIETO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,2,2
ASCENCION DE GUARAYOS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,36,36
ATOCHA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,5,5
AZURDUY,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,2,2
BERMEJO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,125,125
BETANZOS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,7,7
BUENA VISTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,7,7
"CAIZA ""D""",referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,2,2
CAJUATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,2,2
CAMATAQUI (C. VILLA ABECIA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,5,5
CAMIRI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,11,11
CAPINOTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,5,5
CARACOLLO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,3,3
CARANAVI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,2,2
CARAPARI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,1,1
CARMEN RIVERO TORREZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,3,3
CHALLAPATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,17,17
CHAYANTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,1,1
CHIMORE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,1,1
CHULUMANI (V. DE LA LIBERTAD),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,1,1
CKOCHAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,5,5
COBIJA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,73,73
COCHABAMBA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,1003,1003
COLCAPIRHUA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,3,3
COLQUECHACA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,1,1
COLQUIRI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,9,9
COMBAYA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,1,1
CONCEPCION,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,1,1
COROICO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,11,11
COTAGAITA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,2,2
COTOCA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,246,246
CUATRO CAÑADAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,2,2
CUEVO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,5,5
CULPINA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,1,1
EL ALTO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,366,366
EL PUENTE(STC),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,12,12
EL TORNO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,34,34
EL VILLAR,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,2,2
ENTRE RIOS TRJ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,3,3
ENTRE RIOS CBBA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,9,9
ESMERALDA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,1,1
FERNANDEZ ALONSO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,12,12
GENERAL SAAVEDRA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,15,15
GUAQUI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,2,2
GUAYARAMERIN,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,212,212
GUTIERREZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,1,1
HUACAYA (VILLA DE HUACAYA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,1,1
HUACHACALLA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,1,1
HUANUNI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,6,6
ICLA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,1,1
INCAHUASI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,8,8
INQUISIVI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,1,1
JESUS DE MACHACA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,2,2
LA ASUNTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,5,5
LA GUARDIA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,48,48
LA PAZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,3427,3427
LAGUNILLAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,11,11
LICOMA PAMPA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,1,1
LLALLAGUA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,1,1
MACHACAMARCA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,3,3
MACHARETI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,4,4
MAIRANA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,1,1
MAPIRI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,3,3
MECAPACA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,3,3
MINEROS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,17,17
MIZQUE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,5,5
MONTEAGUDO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,8,8
MONTERO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,303,303
OCURI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,6,6
OKINAWA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,3,3
ORURO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,659,659
PADCAYA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,9,9
PADILLA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,5,5
PAILON,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,5,5
PALCA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,1,1
PALOS BLANCOS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,2,2
PAMPA GRANDE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,4,4
PAZÑA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,1,1
POOPO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,2,2
POROMA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,1,1
PORONGO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,3,3
PORTACHUELO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,2,2
POTOSI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,65,65
PRESTO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,3,3
PUCARANI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,4,4
PUERTO GONZALO MORENO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,2,2
PUERTO VILLARROEL,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,13,13
PUNATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,10,10
QUILLACOLLO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,97,97
QUIME,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,3,3
QUIRUSILLAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,1,1
RAVELO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,4,4
RIBERALTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,41,41
RURRENABAQUE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,4,4
SACABA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,35,35
SAIPINA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,8,8
SALINAS DE GARCI MENDOZA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,1,1
SAMAIPATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,2,2
SAN BORJA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,2,2
SAN BUENA VENTURA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,1,1
SAN CARLOS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,37,37
SAN IGNACIO DE VELASCO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,2,2
SAN JAVIER(STC),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,1,1
SAN JOSE DE CHIQUITOS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,1,1
SAN JUAN DE YAPACANI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,3,3
SAN JULIAN,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,1,1
SAN LORENZO(PND),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,2,2
SAN LORENZO(TJA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,3,3
SAN LUCAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,6,6
SAN MIGUEL DE VELASCO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,9,9
SAN PEDRO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,10,10
SAN PEDRO DE BUENA VISTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,2,2
SAN PEDRO DE MACHA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,2,2
SANTA CRUZ DE LA SIERRA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,1687,1687
SANTA ROSA DEL SARA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,2,2
SANTIAGO DE HUARI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,1,1
SENA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,1,1
SHINAOTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,15,15
SICA SICA (VILLA AROMA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,2,2
SIPE SIPE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,1,1
SORACACHI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,4,4
SORATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,3,3
SUCRE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,45,45
TAHUA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,1,1
TARABUCO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,4,4
TARIJA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,28,28
TARVITA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,3,3
TOLEDO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,1,1
TOMINA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,6,6
TRINIDAD,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,499,499
TUPIZA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,88,88
URIONDO (A. CONCEPCION),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,1,1
URUBICHA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,2,2
UYUNI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,2,2
VALLEGRANDE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,1,1
VILLA CHARCAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,1,1
VILLA MONTES,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,14,14
VILLA SERRANO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,10,10
VILLA TUNARI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,12,12
VILLA VACA GUZMAN (MUYUPAMPA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,4,4
VILLAZON,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,8,8
VINTO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,2,2
WARNES,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,1,1
YACUIBA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,25,25
YAPACANI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,7,7
ZUDAÑEZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-10-01,9,9
ACHACACHI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,1,1
AIQUILE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,8,8
ALCALA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,9,9
ANTEQUERA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,4,4
ARBIETO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,1,1
ASCENCION DE GUARAYOS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,28,28
ATOCHA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,7,7
AZURDUY,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,2,2
BERMEJO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,97,97
BETANZOS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,1,1
BUENA VISTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,9,9
"CAIZA ""D""",referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,6,6
CAJUATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,1,1
CAMARGO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,4,4
CAMATAQUI (C. VILLA ABECIA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,9,9
CAMIRI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,8,8
CAPINOTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,5,5
CARACOLLO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,2,2
CARANAVI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,1,1
CARAPARI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,2,2
CARMEN RIVERO TORREZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,7,7
CHALLAPATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,25,25
CKOCHAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,2,2
COBIJA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,56,56
COCHABAMBA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,638,638
COLCAPIRHUA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,1,1
"COLCHA ""K""",referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,1,1
COLQUECHACA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,2,2
COMARAPA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,10,10
