,group,variable,month,TOTAL 4.3 REPETIDAS TOTAL 4.3 REPETIDAS,TOTAL 4.3 REPETIDAS TOTAL 4.3 REPETIDAS,TOTALES
CHOQUE COTA,consultas prenatales, repetidas,2014-02-01,4,0,4
CHUA COCANI,consultas prenatales, repetidas,2014-02-01,8,8,16
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales, repetidas,2014-02-01,202,0,202
CHUMA,consultas prenatales, repetidas,2014-02-01,22,5,27
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales, repetidas,2014-02-01,42,5,47
CKOCHAS,consultas prenatales, repetidas,2014-02-01,59,3,62
CLIZA,consultas prenatales, repetidas,2014-02-01,204,8,212
COBIJA,consultas prenatales, repetidas,2014-02-01,642,3,645
COCAPATA,consultas prenatales, repetidas,2014-02-01,26,25,51
COCHABAMBA,consultas prenatales, repetidas,2014-02-01,6339,6,6345
COIPASA,consultas prenatales, repetidas,2014-02-01,5,0,5
COLCAPIRHUA,consultas prenatales, repetidas,2014-02-01,416,0,416
"COLCHA ""K""",consultas prenatales, repetidas,2014-02-01,67,1,68
COLLANA,consultas prenatales, repetidas,2014-02-01,9,0,9
COLOMI,consultas prenatales, repetidas,2014-02-01,142,0,142
COLPA BELGICA,consultas prenatales, repetidas,2014-02-01,38,0,38
COLQUECHACA,consultas prenatales, repetidas,2014-02-01,106,35,141
COLQUENCHA,consultas prenatales, repetidas,2014-02-01,53,2,55
COLQUIRI,consultas prenatales, repetidas,2014-02-01,44,15,59
COMANCHE,consultas prenatales, repetidas,2014-02-01,4,3,7
COMARAPA,consultas prenatales, repetidas,2014-02-01,143,0,143
COMBAYA,consultas prenatales, repetidas,2014-02-01,10,8,18
CONCEPCION,consultas prenatales, repetidas,2014-02-01,153,5,158
COPACABANA,consultas prenatales, repetidas,2014-02-01,83,8,91
CORIPATA,consultas prenatales, repetidas,2014-02-01,71,0,71
CORO CORO,consultas prenatales, repetidas,2014-02-01,26,6,32
COROICO,consultas prenatales, repetidas,2014-02-01,127,0,127
CORQUE,consultas prenatales, repetidas,2014-02-01,19,13,32
COTAGAITA,consultas prenatales, repetidas,2014-02-01,97,14,111
COTOCA,consultas prenatales, repetidas,2014-02-01,402,0,402
CUATRO CAÑADAS,consultas prenatales, repetidas,2014-02-01,127,0,127
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales, repetidas,2014-02-01,5,0,5
CUEVO,consultas prenatales, repetidas,2014-02-01,18,3,21
CULPINA,consultas prenatales, repetidas,2014-02-01,75,12,87
CURAHUARA DE CARANGAS,consultas prenatales, repetidas,2014-02-01,33,0,33
CURVA,consultas prenatales, repetidas,2014-02-01,5,4,9
DESAGUADERO,consultas prenatales, repetidas,2014-02-01,24,0,24
EL ALTO,consultas prenatales, repetidas,2014-02-01,5935,224,6159
EL CHORO,consultas prenatales, repetidas,2014-02-01,11,12,23
EL PUENTE(STC),consultas prenatales, repetidas,2014-02-01,73,1,74
EL PUENTE(TJA),consultas prenatales, repetidas,2014-02-01,49,6,55
EL TORNO,consultas prenatales, repetidas,2014-02-01,413,0,413
EL VILLAR,consultas prenatales, repetidas,2014-02-01,19,1,20
ENTRE RIOS TRJ,consultas prenatales, repetidas,2014-02-01,125,19,144
ENTRE RIOS CBBA,consultas prenatales, repetidas,2014-02-01,244,0,244
ESCOMA,consultas prenatales, repetidas,2014-02-01,34,1,35
ESMERALDA,consultas prenatales, repetidas,2014-02-01,1,0,1
EUCALIPTUS,consultas prenatales, repetidas,2014-02-01,24,1,25
EUREKA (SANTOS MERCADO),consultas prenatales, repetidas,2014-02-01,6,4,10
EXALTACION,consultas prenatales, repetidas,2014-02-01,10,0,10
FERNANDEZ ALONSO,consultas prenatales, repetidas,2014-02-01,92,0,92
FILADELFIA,consultas prenatales, repetidas,2014-02-01,39,1,40
GENERAL SAAVEDRA,consultas prenatales, repetidas,2014-02-01,82,0,82
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales, repetidas,2014-02-01,16,3,19
GUANAY,consultas prenatales, repetidas,2014-02-01,95,5,100
GUAQUI,consultas prenatales, repetidas,2014-02-01,20,2,22
GUAYARAMERIN,consultas prenatales, repetidas,2014-02-01,536,3,539
GUTIERREZ,consultas prenatales, repetidas,2014-02-01,79,2,81
HUACARETA,consultas prenatales, repetidas,2014-02-01,32,16,48
HUACAYA (VILLA DE HUACAYA),consultas prenatales, repetidas,2014-02-01,15,5,20
HUACHACALLA,consultas prenatales, repetidas,2014-02-01,3,0,3
HUANUNI,consultas prenatales, repetidas,2014-02-01,139,1,140
HUARACAJE,consultas prenatales, repetidas,2014-02-01,35,0,35
HUARINA,consultas prenatales, repetidas,2014-02-01,37,0,37
HUATAJATA,consultas prenatales, repetidas,2014-02-01,13,2,15
HUAYLLAMARCA,consultas prenatales, repetidas,2014-02-01,20,0,20
HUMANATA,consultas prenatales, repetidas,2014-02-01,4,6,10
ICHOCA,consultas prenatales, repetidas,2014-02-01,3,5,8
ICLA,consultas prenatales, repetidas,2014-02-01,36,10,46
INCAHUASI,consultas prenatales, repetidas,2014-02-01,32,25,57
INGAVI (HUMAITA),consultas prenatales, repetidas,2014-02-01,4,0,4
INQUISIVI,consultas prenatales, repetidas,2014-02-01,18,11,29
IRUPANA (VILLA DE LANZA),consultas prenatales, repetidas,2014-02-01,95,1,96
IXIAMAS,consultas prenatales, repetidas,2014-02-01,51,3,54
JESUS DE MACHACA,consultas prenatales, repetidas,2014-02-01,65,3,68
LA ASUNTA,consultas prenatales, repetidas,2014-02-01,299,0,299
LA GUARDIA,consultas prenatales, repetidas,2014-02-01,450,0,450
LA PAZ,consultas prenatales, repetidas,2014-02-01,6566,0,6566
LAGUNILLAS,consultas prenatales, repetidas,2014-02-01,24,2,26
LAJA,consultas prenatales, repetidas,2014-02-01,71,0,71
LAS CARRERAS,consultas prenatales, repetidas,2014-02-01,16,5,21
LICOMA PAMPA,consultas prenatales, repetidas,2014-02-01,0,5,5
LLALLAGUA,consultas prenatales, repetidas,2014-02-01,326,9,335
LLICA,consultas prenatales, repetidas,2014-02-01,17,5,22
LORETO,consultas prenatales, repetidas,2014-02-01,4,4,8
LURIBAY,consultas prenatales, repetidas,2014-02-01,10,0,10
MACHACAMARCA,consultas prenatales, repetidas,2014-02-01,12,2,14
MACHARETI,consultas prenatales, repetidas,2014-02-01,46,0,46
MAGDALENA,consultas prenatales, repetidas,2014-02-01,99,1,100
MAIRANA,consultas prenatales, repetidas,2014-02-01,92,1,93
MALLA,consultas prenatales, repetidas,2014-02-01,4,1,5
MAPIRI,consultas prenatales, repetidas,2014-02-01,114,4,118
MECAPACA,consultas prenatales, repetidas,2014-02-01,43,10,53
MINEROS,consultas prenatales, repetidas,2014-02-01,178,1,179
MIZQUE,consultas prenatales, repetidas,2014-02-01,138,2,140
MOCOMOCO,consultas prenatales, repetidas,2014-02-01,21,11,32
MOJINETE,consultas prenatales, repetidas,2014-02-01,5,0,5
MOJOCOYA,consultas prenatales, repetidas,2014-02-01,32,4,36
MONTEAGUDO,consultas prenatales, repetidas,2014-02-01,251,4,255
MONTERO,consultas prenatales, repetidas,2014-02-01,1019,0,1019
MORO MORO,consultas prenatales, repetidas,2014-02-01,10,5,15
MOROCHATA,consultas prenatales, repetidas,2014-02-01,30,11,41
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales, repetidas,2014-02-01,10,0,10
NAZACARA DE PACAJES,consultas prenatales, repetidas,2014-02-01,2,0,2
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales, repetidas,2014-02-01,6,4,10
OCURI,consultas prenatales, repetidas,2014-02-01,40,16,56
OKINAWA,consultas prenatales, repetidas,2014-02-01,123,0,123
OMEREQUE,consultas prenatales, repetidas,2014-02-01,22,0,22
ORURO,consultas prenatales, repetidas,2014-02-01,2831,0,2831
PADCAYA,consultas prenatales, repetidas,2014-02-01,92,3,95
PADILLA,consultas prenatales, repetidas,2014-02-01,52,3,55
PAILON,consultas prenatales, repetidas,2014-02-01,123,1,124
PALCA,consultas prenatales, repetidas,2014-02-01,64,3,67
PALOS BLANCOS,consultas prenatales, repetidas,2014-02-01,178,17,195
PAMPA AULLAGAS,consultas prenatales, repetidas,2014-02-01,9,0,9
PAMPA GRANDE,consultas prenatales, repetidas,2014-02-01,65,0,65
PAPEL PAMPA,consultas prenatales, repetidas,2014-02-01,18,2,20
PASORAPA,consultas prenatales, repetidas,2014-02-01,10,1,11
PATACAMAYA,consultas prenatales, repetidas,2014-02-01,123,1,124
PAZÑA,consultas prenatales, repetidas,2014-02-01,25,3,28
PELECHUCO,consultas prenatales, repetidas,2014-02-01,23,4,27
POCOATA,consultas prenatales, repetidas,2014-02-01,49,36,85
POCONA,consultas prenatales, repetidas,2014-02-01,46,3,49
POJO (CBBA),consultas prenatales, repetidas,2014-02-01,58,0,58
POOPO,consultas prenatales, repetidas,2014-02-01,25,0,25
PORCO,consultas prenatales, repetidas,2014-02-01,77,1,78
POROMA,consultas prenatales, repetidas,2014-02-01,40,11,51
PORONGO,consultas prenatales, repetidas,2014-02-01,30,0,30
PORTACHUELO,consultas prenatales, repetidas,2014-02-01,283,0,283
PORVENIR,consultas prenatales, repetidas,2014-02-01,35,3,38
POSTRER VALLE,consultas prenatales, repetidas,2014-02-01,7,0,7
POTOSI,consultas prenatales, repetidas,2014-02-01,1723,0,1723
PRESTO,consultas prenatales, repetidas,2014-02-01,19,26,45
PUCARA,consultas prenatales, repetidas,2014-02-01,3,0,3
PUCARANI,consultas prenatales, repetidas,2014-02-01,115,17,132
PUERTO ACOSTA,consultas prenatales, repetidas,2014-02-01,16,13,29
PUERTO CARABUCO,consultas prenatales, repetidas,2014-02-01,27,14,41
PUERTO GONZALO MORENO,consultas prenatales, repetidas,2014-02-01,31,1,32
PUERTO PEREZ,consultas prenatales, repetidas,2014-02-01,11,6,17
PUERTO QUIJARRO,consultas prenatales, repetidas,2014-02-01,80,0,80
PUERTO RICO,consultas prenatales, repetidas,2014-02-01,62,11,73
PUERTO SILES,consultas prenatales, repetidas,2014-02-01,5,0,5
PUERTO SUAREZ,consultas prenatales, repetidas,2014-02-01,129,0,129
PUERTO VILLARROEL,consultas prenatales, repetidas,2014-02-01,547,2,549
PUNA,consultas prenatales, repetidas,2014-02-01,73,23,96
PUNATA,consultas prenatales, repetidas,2014-02-01,239,0,239
QUIABAYA,consultas prenatales, repetidas,2014-02-01,10,0,10
QUILLACOLLO,consultas prenatales, repetidas,2014-02-01,848,85,933
QUIME,consultas prenatales, repetidas,2014-02-01,48,0,48
QUIRUSILLAS,consultas prenatales, repetidas,2014-02-01,13,0,13
RAVELO,consultas prenatales, repetidas,2014-02-01,25,29,54
REYES,consultas prenatales, repetidas,2014-02-01,106,5,111
RIBERALTA,consultas prenatales, repetidas,2014-02-01,1008,15,1023
ROBORE,consultas prenatales, repetidas,2014-02-01,71,1,72
RURRENABAQUE,consultas prenatales, repetidas,2014-02-01,171,2,173
SABAYA,consultas prenatales, repetidas,2014-02-01,12,1,13
SACABA,consultas prenatales, repetidas,2014-02-01,1089,1,1090
SACABAMBA,consultas prenatales, repetidas,2014-02-01,23,0,23
SACACA,consultas prenatales, repetidas,2014-02-01,82,8,90
SAIPINA,consultas prenatales, repetidas,2014-02-01,47,2,49
SALINAS DE GARCI MENDOZA,consultas prenatales, repetidas,2014-02-01,47,19,66
SAMAIPATA,consultas prenatales, repetidas,2014-02-01,46,0,46
SAN AGUSTIN,consultas prenatales, repetidas,2014-02-01,10,0,10
SAN ANDRES,consultas prenatales, repetidas,2014-02-01,42,5,47
SAN ANDRES DE MACHACA,consultas prenatales, repetidas,2014-02-01,5,6,11
SAN ANTONIO DE ESMORUCO,consultas prenatales, repetidas,2014-02-01,9,0,9
SAN ANTONIO DE LOMERIO,consultas prenatales, repetidas,2014-02-01,29,20,49
SAN BENITO,consultas prenatales, repetidas,2014-02-01,92,1,93
SAN BORJA,consultas prenatales, repetidas,2014-02-01,280,2,282
SAN BUENA VENTURA,consultas prenatales, repetidas,2014-02-01,92,0,92
SAN CARLOS,consultas prenatales, repetidas,2014-02-01,185,0,185
SAN IGNACIO,consultas prenatales, repetidas,2014-02-01,187,3,190
SAN IGNACIO DE VELASCO,consultas prenatales, repetidas,2014-02-01,351,25,376
SAN JAVIER(BNI),consultas prenatales, repetidas,2014-02-01,9,1,10
SAN JAVIER(STC),consultas prenatales, repetidas,2014-02-01,123,0,123
SAN JOAQUIN,consultas prenatales, repetidas,2014-02-01,42,0,42
SAN JOSE DE CHIQUITOS,consultas prenatales, repetidas,2014-02-01,89,0,89
SAN JUAN DE YAPACANI,consultas prenatales, repetidas,2014-02-01,70,0,70
SAN JULIAN,consultas prenatales, repetidas,2014-02-01,369,10,379
SAN LORENZO(PND),consultas prenatales, repetidas,2014-02-01,10,3,13
SAN LORENZO(TJA),consultas prenatales, repetidas,2014-02-01,149,8,157
SAN LUCAS,consultas prenatales, repetidas,2014-02-01,128,39,167
SAN MATIAS,consultas prenatales, repetidas,2014-02-01,181,0,181
SAN MIGUEL DE VELASCO,consultas prenatales, repetidas,2014-02-01,106,0,106
SAN PABLO DE LIPEZ,consultas prenatales, repetidas,2014-02-01,13,1,14
SAN PEDRO,consultas prenatales, repetidas,2014-02-01,117,0,117
SAN PEDRO DE BUENA VISTA,consultas prenatales, repetidas,2014-02-01,68,7,75
SAN PEDRO DE CURAHUARA,consultas prenatales, repetidas,2014-02-01,13,6,19
SAN PEDRO DE QUEMES,consultas prenatales, repetidas,2014-02-01,1,0,1
SAN PEDRO DE TIQUINA,consultas prenatales, repetidas,2014-02-01,14,1,15
SAN PEDRO(PND),consultas prenatales, repetidas,2014-02-01,1,4,5
SAN RAFAEL,consultas prenatales, repetidas,2014-02-01,39,3,42
SAN RAMON BENI,consultas prenatales, repetidas,2014-02-01,43,0,43
SAN RAMON SCZ,consultas prenatales, repetidas,2014-02-01,81,0,81
SANTA ANA,consultas prenatales, repetidas,2014-02-01,235,0,235
SANTA CRUZ DE LA SIERRA,consultas prenatales, repetidas,2014-02-01,10362,2,10364
SANTA ROSA,consultas prenatales, repetidas,2014-02-01,49,0,49
SANTA ROSA DEL SARA,consultas prenatales, repetidas,2014-02-01,89,0,89
SANTIAGO DE CALLAPA,consultas prenatales, repetidas,2014-02-01,0,8,8
SANTIAGO DE HUARI,consultas prenatales, repetidas,2014-02-01,31,0,31
SANTIAGO DE HUATA,consultas prenatales, repetidas,2014-02-01,14,4,18
SANTIAGO DE MACHACA,consultas prenatales, repetidas,2014-02-01,20,0,20
SANTIVAÑES,consultas prenatales, repetidas,2014-02-01,35,0,35
SANTUARIO DE QUILLACAS,consultas prenatales, repetidas,2014-02-01,13,4,17
SAPAHAQUI,consultas prenatales, repetidas,2014-02-01,34,4,38
SENA,consultas prenatales, repetidas,2014-02-01,31,0,31
SHINAOTA,consultas prenatales, repetidas,2014-02-01,356,9,365
SICA SICA (VILLA AROMA),consultas prenatales, repetidas,2014-02-01,92,1,93
SICAYA,consultas prenatales, repetidas,2014-02-01,17,0,17
SIPE SIPE,consultas prenatales, repetidas,2014-02-01,451,0,451
SOPACHUY,consultas prenatales, repetidas,2014-02-01,36,3,39
SORACACHI,consultas prenatales, repetidas,2014-02-01,37,5,42
SORATA,consultas prenatales, repetidas,2014-02-01,52,6,58
SUCRE,consultas prenatales, repetidas,2014-02-01,2219,12,2231
TACACHI,consultas prenatales, repetidas,2014-02-01,1,0,1
TACACOMA,consultas prenatales, repetidas,2014-02-01,28,0,28
TACOBAMBA,consultas prenatales, repetidas,2014-02-01,21,6,27
TACOPAYA,consultas prenatales, repetidas,2014-02-01,28,2,30
TAHUA,consultas prenatales, repetidas,2014-02-01,2,2,4
TAPACARI,consultas prenatales, repetidas,2014-02-01,70,9,79
TARABUCO,consultas prenatales, repetidas,2014-02-01,50,17,67
TARACO,consultas prenatales, repetidas,2014-02-01,7,0,7
TARATA,consultas prenatales, repetidas,2014-02-01,80,4,84
TARIJA,consultas prenatales, repetidas,2014-02-01,1754,60,1814
TARVITA,consultas prenatales, repetidas,2014-02-01,68,18,86
TEOPONTE,consultas prenatales, repetidas,2014-02-01,67,8,75
TIAWANACU,consultas prenatales, repetidas,2014-02-01,66,2,68
TINGUIPAYA,consultas prenatales, repetidas,2014-02-01,43,11,54
TIPUANI,consultas prenatales, repetidas,2014-02-01,81,0,81
TIQUIPAYA,consultas prenatales, repetidas,2014-02-01,441,0,441
TIRAQUE (CBBA),consultas prenatales, repetidas,2014-02-01,99,1,100
TITO YUPANQUI (PARQUIPUJIO),consultas prenatales, repetidas,2014-02-01,8,0,8
TOCO,consultas prenatales, repetidas,2014-02-01,36,1,37
TOLATA,consultas prenatales, repetidas,2014-02-01,35,0,35
TOLEDO,consultas prenatales, repetidas,2014-02-01,15,3,18
TOMAVE,consultas prenatales, repetidas,2014-02-01,30,12,42
TOMINA,consultas prenatales, repetidas,2014-02-01,54,1,55
TORO TORO,consultas prenatales, repetidas,2014-02-01,34,10,44
TOTORA(CBBA),consultas prenatales, repetidas,2014-02-01,150,4,154
TOTORA(ORR),consultas prenatales, repetidas,2014-02-01,13,3,16
TRIGAL,consultas prenatales, repetidas,2014-02-01,2,0,2
TRINIDAD,consultas prenatales, repetidas,2014-02-01,1172,5,1177
TUPIZA,consultas prenatales, repetidas,2014-02-01,428,1,429
TURCO,consultas prenatales, repetidas,2014-02-01,12,1,13
UMALA,consultas prenatales, repetidas,2014-02-01,24,12,36
UNCIA,consultas prenatales, repetidas,2014-02-01,158,20,178
URIONDO (A. CONCEPCION),consultas prenatales, repetidas,2014-02-01,105,0,105
URUBICHA,consultas prenatales, repetidas,2014-02-01,56,0,56
UYUNI,consultas prenatales, repetidas,2014-02-01,276,10,286
VACAS,consultas prenatales, repetidas,2014-02-01,24,3,27
VALLEGRANDE,consultas prenatales, repetidas,2014-02-01,115,1,116
VIACHA,consultas prenatales, repetidas,2014-02-01,317,4,321
VILA VILA,consultas prenatales, repetidas,2014-02-01,14,3,17
VILLA CHARCAS,consultas prenatales, repetidas,2014-02-01,68,17,85
VILLA MONTES,consultas prenatales, repetidas,2014-02-01,351,9,360
VILLA NUEVA (LOMA ALTA),consultas prenatales, repetidas,2014-02-01,11,0,11
VILLA RIVERO,consultas prenatales, repetidas,2014-02-01,50,0,50
VILLA SERRANO,consultas prenatales, repetidas,2014-02-01,44,19,63
VILLA TUNARI,consultas prenatales, repetidas,2014-02-01,711,0,711
VILLA VACA GUZMAN (MUYUPAMPA),consultas prenatales, repetidas,2014-02-01,44,7,51
VILLAZON,consultas prenatales, repetidas,2014-02-01,320,17,337
VINTO,consultas prenatales, repetidas,2014-02-01,156,0,156
VITICHI,consultas prenatales, repetidas,2014-02-01,31,5,36
WALDO BALLIVIAN,consultas prenatales, repetidas,2014-02-01,14,2,16
WARNES,consultas prenatales, repetidas,2014-02-01,820,33,853
YACO,consultas prenatales, repetidas,2014-02-01,16,2,18
YACUIBA,consultas prenatales, repetidas,2014-02-01,577,2,579
YAMPARAEZ,consultas prenatales, repetidas,2014-02-01,33,3,36
YANACACHI,consultas prenatales, repetidas,2014-02-01,21,0,21
YAPACANI,consultas prenatales, repetidas,2014-02-01,378,2,380
YOCALLA,consultas prenatales, repetidas,2014-02-01,14,5,19
YOTALA,consultas prenatales, repetidas,2014-02-01,43,1,44
YUNCHARA,consultas prenatales, repetidas,2014-02-01,17,15,32
ZUDAÑEZ,consultas prenatales, repetidas,2014-02-01,27,4,31
ACACIO,consultas prenatales, repetidas,2014-03-01,16,7,23
ACHACACHI,consultas prenatales, repetidas,2014-03-01,183,2,185
ACHOCALLA,consultas prenatales, repetidas,2014-03-01,58,26,84
AIQUILE,consultas prenatales, repetidas,2014-03-01,196,3,199
ALALAY,consultas prenatales, repetidas,2014-03-01,4,5,9
ALCALA,consultas prenatales, repetidas,2014-03-01,24,0,24
ALTO BENI,consultas prenatales, repetidas,2014-03-01,41,0,41
ANCORAIMES,consultas prenatales, repetidas,2014-03-01,39,13,52
ANDAMARCA,consultas prenatales, repetidas,2014-03-01,18,5,23
ANTEQUERA,consultas prenatales, repetidas,2014-03-01,16,0,16
ANZALDO,consultas prenatales, repetidas,2014-03-01,28,3,31
APOLO,consultas prenatales, repetidas,2014-03-01,123,6,129
ARAMPAMPA,consultas prenatales, repetidas,2014-03-01,13,8,21
ARANI,consultas prenatales, repetidas,2014-03-01,119,0,119
ARBIETO,consultas prenatales, repetidas,2014-03-01,70,0,70
ARQUE,consultas prenatales, repetidas,2014-03-01,37,1,38
ASCENCION DE GUARAYOS,consultas prenatales, repetidas,2014-03-01,101,24,125
ATOCHA,consultas prenatales, repetidas,2014-03-01,81,1,82
AUCAPATA,consultas prenatales, repetidas,2014-03-01,14,8,22
AYATA,consultas prenatales, repetidas,2014-03-01,19,5,24
AYO AYO,consultas prenatales, repetidas,2014-03-01,38,0,38
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales, repetidas,2014-03-01,131,13,144
AZURDUY,consultas prenatales, repetidas,2014-03-01,39,16,55
BATALLAS,consultas prenatales, repetidas,2014-03-01,82,7,89
BAURES,consultas prenatales, repetidas,2014-03-01,21,0,21
BELEN DE ANDAMARCA,consultas prenatales, repetidas,2014-03-01,6,2,8
BELEN DE URMIRI,consultas prenatales, repetidas,2014-03-01,4,4,8
BELLA FLOR,consultas prenatales, repetidas,2014-03-01,14,1,15
BERMEJO,consultas prenatales, repetidas,2014-03-01,341,1,342
BETANZOS,consultas prenatales, repetidas,2014-03-01,148,12,160
BOLIVAR,consultas prenatales, repetidas,2014-03-01,11,3,14
BOLPEBRA,consultas prenatales, repetidas,2014-03-01,6,1,7
BOYUIBE,consultas prenatales, repetidas,2014-03-01,21,5,26
BUENA VISTA,consultas prenatales, repetidas,2014-03-01,49,0,49
CABEZAS,consultas prenatales, repetidas,2014-03-01,121,3,124
CAIROMA,consultas prenatales, repetidas,2014-03-01,28,6,34
"CAIZA ""D""",consultas prenatales, repetidas,2014-03-01,59,6,65
CAJUATA,consultas prenatales, repetidas,2014-03-01,67,1,68
CALACOTO,consultas prenatales, repetidas,2014-03-01,4,5,9
CALAMARCA,consultas prenatales, repetidas,2014-03-01,57,3,60
CAMARGO,consultas prenatales, repetidas,2014-03-01,111,14,125
CAMATAQUI (C. VILLA ABECIA),consultas prenatales, repetidas,2014-03-01,12,4,16
CAMIRI,consultas prenatales, repetidas,2014-03-01,282,2,284
CAPINOTA,consultas prenatales, repetidas,2014-03-01,188,0,188
CAQUIAVIRI,consultas prenatales, repetidas,2014-03-01,33,4,37
CARACOLLO,consultas prenatales, repetidas,2014-03-01,117,0,117
CARANAVI,consultas prenatales, repetidas,2014-03-01,342,8,350
