,group,variable,month,MENORES DE 5 AÑOS NUEVA,MENORES DE 5 AÑOS NUEVA,MENORES DE 5 AÑOS REPETIDAS,MENORES DE 5 AÑOS REPETIDAS,TOTALES,TOTALES,TOTALES
UYUNI,consulta externa,menores de 5 anos,2008-01-01,284,272,2,1,286,273,559
VACAS,consulta externa,menores de 5 anos,2008-01-01,95,53,11,6,106,59,165
VALLEGRANDE,consulta externa,menores de 5 anos,2008-01-01,196,186,8,9,204,195,399
VIACHA,consulta externa,menores de 5 anos,2008-01-01,424,417,68,54,492,471,963
VILA VILA,consulta externa,menores de 5 anos,2008-01-01,49,35,1,0,50,35,85
VILLA MONTES,consulta externa,menores de 5 anos,2008-01-01,606,494,15,8,621,502,1123
VILLA NUEVA (LOMA ALTA),consulta externa,menores de 5 anos,2008-01-01,41,43,7,4,48,47,95
VILLA RIVERO,consulta externa,menores de 5 anos,2008-01-01,30,41,4,3,34,44,78
VILLA SERRANO,consulta externa,menores de 5 anos,2008-01-01,244,268,0,1,244,269,513
VILLA TUNARI,consulta externa,menores de 5 anos,2008-01-01,1833,1627,44,47,1877,1674,3551
VILLA VACA GUZMAN (MUYUPAMPA),consulta externa,menores de 5 anos,2008-01-01,255,211,6,4,261,215,476
VILLAZON,consulta externa,menores de 5 anos,2008-01-01,770,766,77,66,847,832,1679
VINTO,consulta externa,menores de 5 anos,2008-01-01,313,281,50,42,363,323,686
VITICHI,consulta externa,menores de 5 anos,2008-01-01,119,136,7,6,126,142,268
WALDO BALLIVIAN,consulta externa,menores de 5 anos,2008-01-01,14,20,2,2,16,22,38
WARNES,consulta externa,menores de 5 anos,2008-01-01,1306,1335,68,52,1374,1387,2761
YACO,consulta externa,menores de 5 anos,2008-01-01,69,70,1,0,70,70,140
YACUIBA,consulta externa,menores de 5 anos,2008-01-01,2021,1679,148,98,2169,1777,3946
YAMPARAEZ,consulta externa,menores de 5 anos,2008-01-01,91,106,11,7,102,113,215
YANACACHI,consulta externa,menores de 5 anos,2008-01-01,40,58,0,0,40,58,98
YAPACANI,consulta externa,menores de 5 anos,2008-01-01,732,639,12,24,744,663,1407
YOCALLA,consulta externa,menores de 5 anos,2008-01-01,96,68,1,2,97,70,167
YOTALA,consulta externa,menores de 5 anos,2008-01-01,1,2,0,1,1,3,4
YUNCHARA,consulta externa,menores de 5 anos,2008-01-01,112,77,0,0,112,77,189
ZUDAÑEZ,consulta externa,menores de 5 anos,2008-01-01,237,120,0,0,237,120,357
ACACIO,consulta externa,menores de 5 anos,2008-02-01,103,104,0,1,103,105,208
ACHACACHI,consulta externa,menores de 5 anos,2008-02-01,279,324,6,2,285,326,611
ACHOCALLA,consulta externa,menores de 5 anos,2008-02-01,87,79,1,1,88,80,168
AIQUILE,consulta externa,menores de 5 anos,2008-02-01,278,260,29,28,307,288,595
ALALAY,consulta externa,menores de 5 anos,2008-02-01,41,36,1,1,42,37,79
ALCALA,consulta externa,menores de 5 anos,2008-02-01,159,66,0,0,159,66,225
ANCORAIMES,consulta externa,menores de 5 anos,2008-02-01,140,122,2,3,142,125,267
ANDAMARCA,consulta externa,menores de 5 anos,2008-02-01,70,56,3,1,73,57,130
ANTEQUERA,consulta externa,menores de 5 anos,2008-02-01,32,44,5,6,37,50,87
ANZALDO,consulta externa,menores de 5 anos,2008-02-01,113,97,15,12,128,109,237
APOLO,consulta externa,menores de 5 anos,2008-02-01,379,335,7,3,386,338,724
ARAMPAMPA,consulta externa,menores de 5 anos,2008-02-01,100,76,0,0,100,76,176
ARANI,consulta externa,menores de 5 anos,2008-02-01,76,65,1,1,77,66,143
ARBIETO,consulta externa,menores de 5 anos,2008-02-01,189,173,10,16,199,189,388
ARQUE,consulta externa,menores de 5 anos,2008-02-01,167,182,0,0,167,182,349
ASCENCION DE GUARAYOS,consulta externa,menores de 5 anos,2008-02-01,391,377,45,47,436,424,860
ATOCHA,consulta externa,menores de 5 anos,2008-02-01,297,282,40,33,337,315,652
AUCAPATA,consulta externa,menores de 5 anos,2008-02-01,59,58,0,5,59,63,122
AYATA,consulta externa,menores de 5 anos,2008-02-01,123,107,5,2,128,109,237
AYO AYO,consulta externa,menores de 5 anos,2008-02-01,52,50,0,0,52,50,102
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,menores de 5 anos,2008-02-01,428,449,8,4,436,453,889
AZURDUY,consulta externa,menores de 5 anos,2008-02-01,498,507,0,3,498,510,1008
BATALLAS,consulta externa,menores de 5 anos,2008-02-01,89,68,0,0,89,68,157
BAURES,consulta externa,menores de 5 anos,2008-02-01,97,77,7,6,104,83,187
BELEN DE ANDAMARCA,consulta externa,menores de 5 anos,2008-02-01,15,9,0,0,15,9,24
BELEN DE URMIRI,consulta externa,menores de 5 anos,2008-02-01,44,43,2,0,46,43,89
BELLA FLOR,consulta externa,menores de 5 anos,2008-02-01,32,33,1,1,33,34,67
BERMEJO,consulta externa,menores de 5 anos,2008-02-01,785,553,77,47,862,600,1462
BETANZOS,consulta externa,menores de 5 anos,2008-02-01,496,444,5,5,501,449,950
BOLIVAR,consulta externa,menores de 5 anos,2008-02-01,158,141,2,0,160,141,301
BOLPEBRA,consulta externa,menores de 5 anos,2008-02-01,18,19,6,2,24,21,45
BOYUIBE,consulta externa,menores de 5 anos,2008-02-01,68,84,3,0,71,84,155
BUENA VISTA,consulta externa,menores de 5 anos,2008-02-01,306,248,48,47,354,295,649
CABEZAS,consulta externa,menores de 5 anos,2008-02-01,721,620,36,24,757,644,1401
CAIROMA,consulta externa,menores de 5 anos,2008-02-01,139,116,6,0,145,116,261
"CAIZA ""D""",consulta externa,menores de 5 anos,2008-02-01,136,110,4,2,140,112,252
CAJUATA,consulta externa,menores de 5 anos,2008-02-01,199,189,11,7,210,196,406
CALACOTO,consulta externa,menores de 5 anos,2008-02-01,63,46,0,0,63,46,109
CALAMARCA,consulta externa,menores de 5 anos,2008-02-01,94,110,2,5,96,115,211
CAMARGO,consulta externa,menores de 5 anos,2008-02-01,317,303,6,5,323,308,631
CAMATAQUI (C. VILLA ABECIA),consulta externa,menores de 5 anos,2008-02-01,90,99,0,0,90,99,189
CAMIRI,consulta externa,menores de 5 anos,2008-02-01,936,1022,109,103,1045,1125,2170
CAPINOTA,consulta externa,menores de 5 anos,2008-02-01,362,351,46,46,408,397,805
CAQUIAVIRI,consulta externa,menores de 5 anos,2008-02-01,73,52,5,3,78,55,133
CARACOLLO,consulta externa,menores de 5 anos,2008-02-01,139,140,3,1,142,141,283
CARANAVI,consulta externa,menores de 5 anos,2008-02-01,1105,1068,45,51,1150,1119,2269
CARANGAS,consulta externa,menores de 5 anos,2008-02-01,1,4,0,0,1,4,5
CARAPARI,consulta externa,menores de 5 anos,2008-02-01,286,267,2,5,288,272,560
CARIPUYO,consulta externa,menores de 5 anos,2008-02-01,187,162,0,1,187,163,350
CARMEN RIVERO TORREZ,consulta externa,menores de 5 anos,2008-02-01,59,38,7,4,66,42,108
CATACORA,consulta externa,menores de 5 anos,2008-02-01,14,21,1,0,15,21,36
CHALLAPATA,consulta externa,menores de 5 anos,2008-02-01,310,263,35,65,345,328,673
CHAQUI,consulta externa,menores de 5 anos,2008-02-01,118,95,0,1,118,96,214
CHARAGUA,consulta externa,menores de 5 anos,2008-02-01,766,676,53,51,819,727,1546
CHARAÑA,consulta externa,menores de 5 anos,2008-02-01,20,29,2,0,22,29,51
CHAYANTA,consulta externa,menores de 5 anos,2008-02-01,265,289,1,0,266,289,555
CHIMORE,consulta externa,menores de 5 anos,2008-02-01,600,550,69,52,669,602,1271
CHIPAYA,consulta externa,menores de 5 anos,2008-02-01,9,16,0,0,9,16,25
CHOQUE COTA,consulta externa,menores de 5 anos,2008-02-01,14,9,1,0,15,9,24
CHULUMANI (V. DE LA LIBERTAD),consulta externa,menores de 5 anos,2008-02-01,207,168,21,20,228,188,416
CHUMA,consulta externa,menores de 5 anos,2008-02-01,94,101,0,1,94,102,196
CLIZA,consulta externa,menores de 5 anos,2008-02-01,206,179,83,97,289,276,565
COBIJA,consulta externa,menores de 5 anos,2008-02-01,780,764,113,150,893,914,1807
COCHABAMBA,consulta externa,menores de 5 anos,2008-02-01,8226,7553,3508,3181,11734,10734,22468
COIPASA,consulta externa,menores de 5 anos,2008-02-01,13,14,1,1,14,15,29
COLCAPIRHUA,consulta externa,menores de 5 anos,2008-02-01,405,394,146,108,551,502,1053
"COLCHA ""K""",consulta externa,menores de 5 anos,2008-02-01,125,116,5,3,130,119,249
COLLANA,consulta externa,menores de 5 anos,2008-02-01,15,21,1,0,16,21,37
COLOMI,consulta externa,menores de 5 anos,2008-02-01,236,184,17,8,253,192,445
COLPA BELGICA,consulta externa,menores de 5 anos,2008-02-01,148,150,60,49,208,199,407
COLQUECHACA,consulta externa,menores de 5 anos,2008-02-01,691,628,2,1,693,629,1322
COLQUENCHA,consulta externa,menores de 5 anos,2008-02-01,70,62,1,2,71,64,135
COLQUIRI,consulta externa,menores de 5 anos,2008-02-01,237,190,42,20,279,210,489
COMANCHE,consulta externa,menores de 5 anos,2008-02-01,24,19,1,2,25,21,46
COMARAPA,consulta externa,menores de 5 anos,2008-02-01,325,260,9,10,334,270,604
COMBAYA,consulta externa,menores de 5 anos,2008-02-01,38,29,1,1,39,30,69
CONCEPCION,consulta externa,menores de 5 anos,2008-02-01,172,143,14,9,186,152,338
COPACABANA,consulta externa,menores de 5 anos,2008-02-01,47,55,2,0,49,55,104
CORIPATA,consulta externa,menores de 5 anos,2008-02-01,241,200,4,5,245,205,450
CORO CORO,consulta externa,menores de 5 anos,2008-02-01,80,91,3,0,83,91,174
COROICO,consulta externa,menores de 5 anos,2008-02-01,189,162,15,21,204,183,387
CORQUE,consulta externa,menores de 5 anos,2008-02-01,74,91,3,2,77,93,170
COTAGAITA,consulta externa,menores de 5 anos,2008-02-01,370,344,9,13,379,357,736
COTOCA,consulta externa,menores de 5 anos,2008-02-01,708,647,68,86,776,733,1509
CUATRO CAÑADAS,consulta externa,menores de 5 anos,2008-02-01,437,470,27,25,464,495,959
CUCHUMUELA (V. G. VILLARROEL),consulta externa,menores de 5 anos,2008-02-01,32,24,3,1,35,25,60
CUEVO,consulta externa,menores de 5 anos,2008-02-01,81,95,5,4,86,99,185
CULPINA,consulta externa,menores de 5 anos,2008-02-01,462,400,6,4,468,404,872
CURAHUARA DE CARANGAS,consulta externa,menores de 5 anos,2008-02-01,81,51,9,2,90,53,143
CURVA,consulta externa,menores de 5 anos,2008-02-01,35,25,0,0,35,25,60
DESAGUADERO,consulta externa,menores de 5 anos,2008-02-01,27,24,0,1,27,25,52
EL ALTO,consulta externa,menores de 5 anos,2008-02-01,8026,7356,1309,1346,9335,8702,18037
EL CHORO,consulta externa,menores de 5 anos,2008-02-01,99,83,0,1,99,84,183
EL PUENTE(STC),consulta externa,menores de 5 anos,2008-02-01,455,383,23,18,478,401,879
EL PUENTE(TJA),consulta externa,menores de 5 anos,2008-02-01,219,202,1,2,220,204,424
EL TORNO,consulta externa,menores de 5 anos,2008-02-01,1268,1054,30,26,1298,1080,2378
EL VILLAR,consulta externa,menores de 5 anos,2008-02-01,139,107,6,2,145,109,254
ENTRE RIOS,consulta externa,menores de 5 anos,2008-02-01,467,457,55,28,522,485,1007
ENTRE RIOS,consulta externa,menores de 5 anos,2008-02-01,394,342,9,2,403,344,747
ESCARA,consulta externa,menores de 5 anos,2008-02-01,2,0,0,0,2,0,2
ESMERALDA,consulta externa,menores de 5 anos,2008-02-01,2,4,0,0,2,4,6
EUCALIPTUS,consulta externa,menores de 5 anos,2008-02-01,123,99,8,9,131,108,239
EUREKA (SANTOS MERCADO),consulta externa,menores de 5 anos,2008-02-01,15,11,0,0,15,11,26
EXALTACION,consulta externa,menores de 5 anos,2008-02-01,94,69,2,3,96,72,168
FERNANDEZ ALONSO,consulta externa,menores de 5 anos,2008-02-01,509,389,14,12,523,401,924
FILADELFIA,consulta externa,menores de 5 anos,2008-02-01,67,65,2,2,69,67,136
GENERAL SAAVEDRA,consulta externa,menores de 5 anos,2008-02-01,479,450,9,9,488,459,947
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,menores de 5 anos,2008-02-01,134,138,4,2,138,140,278
GUANAY,consulta externa,menores de 5 anos,2008-02-01,253,259,3,3,256,262,518
GUAQUI,consulta externa,menores de 5 anos,2008-02-01,38,34,5,1,43,35,78
GUAYARAMERIN,consulta externa,menores de 5 anos,2008-02-01,961,910,26,32,987,942,1929
GUTIERREZ,consulta externa,menores de 5 anos,2008-02-01,528,538,52,48,580,586,1166
HUACARETA,consulta externa,menores de 5 anos,2008-02-01,231,201,14,25,245,226,471
HUACAYA (VILLA DE HUACAYA),consulta externa,menores de 5 anos,2008-02-01,79,108,0,1,79,109,188
HUACHACALLA,consulta externa,menores de 5 anos,2008-02-01,42,16,2,2,44,18,62
HUANUNI,consulta externa,menores de 5 anos,2008-02-01,259,280,56,82,315,362,677
HUARACAJE,consulta externa,menores de 5 anos,2008-02-01,71,54,0,1,71,55,126
HUAYLLAMARCA,consulta externa,menores de 5 anos,2008-02-01,42,57,0,2,42,59,101
ICHOCA,consulta externa,menores de 5 anos,2008-02-01,21,18,4,4,25,22,47
ICLA,consulta externa,menores de 5 anos,2008-02-01,349,309,41,49,390,358,748
INCAHUASI,consulta externa,menores de 5 anos,2008-02-01,593,547,14,6,607,553,1160
INGAVI (HUMAITA),consulta externa,menores de 5 anos,2008-02-01,25,37,12,14,37,51,88
INQUISIVI,consulta externa,menores de 5 anos,2008-02-01,95,77,2,0,97,77,174
IRUPANA (VILLA DE LANZA),consulta externa,menores de 5 anos,2008-02-01,271,267,2,4,273,271,544
IXIAMAS,consulta externa,menores de 5 anos,2008-02-01,204,193,8,7,212,200,412
JESUS DE MACHACA,consulta externa,menores de 5 anos,2008-02-01,103,111,0,1,103,112,215
LA ASUNTA,consulta externa,menores de 5 anos,2008-02-01,522,552,7,8,529,560,1089
LA GUARDIA,consulta externa,menores de 5 anos,2008-02-01,1352,1147,86,69,1438,1216,2654
LA PAZ,consulta externa,menores de 5 anos,2008-02-01,11501,10576,2473,2739,13974,13315,27289
LA RIVERA,consulta externa,menores de 5 anos,2008-02-01,7,8,0,0,7,8,15
LAGUNILLAS,consulta externa,menores de 5 anos,2008-02-01,284,294,5,7,289,301,590
LAJA,consulta externa,menores de 5 anos,2008-02-01,101,78,4,2,105,80,185
LAS CARRERAS,consulta externa,menores de 5 anos,2008-02-01,57,53,1,0,58,53,111
LICOMA PAMPA,consulta externa,menores de 5 anos,2008-02-01,19,24,3,3,22,27,49
LLALLAGUA,consulta externa,menores de 5 anos,2008-02-01,600,558,5,5,605,563,1168
LLICA,consulta externa,menores de 5 anos,2008-02-01,48,49,2,1,50,50,100
LORETO,consulta externa,menores de 5 anos,2008-02-01,70,87,10,19,80,106,186
LURIBAY,consulta externa,menores de 5 anos,2008-02-01,117,100,4,3,121,103,224
MACHACAMARCA,consulta externa,menores de 5 anos,2008-02-01,50,72,0,2,50,74,124
MACHARETI,consulta externa,menores de 5 anos,2008-02-01,265,256,5,6,270,262,532
MAGDALENA,consulta externa,menores de 5 anos,2008-02-01,217,166,48,48,265,214,479
MAIRANA,consulta externa,menores de 5 anos,2008-02-01,94,100,3,0,97,100,197
MALLA,consulta externa,menores de 5 anos,2008-02-01,32,23,1,0,33,23,56
MAPIRI,consulta externa,menores de 5 anos,2008-02-01,237,213,6,10,243,223,466
MECAPACA,consulta externa,menores de 5 anos,2008-02-01,106,99,7,7,113,106,219
MINEROS,consulta externa,menores de 5 anos,2008-02-01,417,434,0,1,417,435,852
MIZQUE,consulta externa,menores de 5 anos,2008-02-01,339,282,23,9,362,291,653
MOCOMOCO,consulta externa,menores de 5 anos,2008-02-01,106,89,0,4,106,93,199
MOJINETE,consulta externa,menores de 5 anos,2008-02-01,9,7,0,0,9,7,16
MOJOCOYA,consulta externa,menores de 5 anos,2008-02-01,132,132,4,6,136,138,274
MONTEAGUDO,consulta externa,menores de 5 anos,2008-02-01,616,497,66,67,682,564,1246
MONTERO,consulta externa,menores de 5 anos,2008-02-01,2421,2245,335,289,2756,2534,5290
MORO MORO,consulta externa,menores de 5 anos,2008-02-01,29,33,0,1,29,34,63
MOROCHATA,consulta externa,menores de 5 anos,2008-02-01,247,249,60,53,307,302,609
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,menores de 5 anos,2008-02-01,78,61,18,16,96,77,173
NAZACARA DE PACAJES,consulta externa,menores de 5 anos,2008-02-01,3,5,0,0,3,5,8
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,menores de 5 anos,2008-02-01,36,46,0,1,36,47,83
OCURI,consulta externa,menores de 5 anos,2008-02-01,308,339,0,2,308,341,649
OKINAWA,consulta externa,menores de 5 anos,2008-02-01,366,349,3,6,369,355,724
OMEREQUE,consulta externa,menores de 5 anos,2008-02-01,119,90,4,7,123,97,220
ORURO,consulta externa,menores de 5 anos,2008-02-01,3859,3455,545,451,4404,3906,8310
PADCAYA,consulta externa,menores de 5 anos,2008-02-01,265,289,10,10,275,299,574
PADILLA,consulta externa,menores de 5 anos,2008-02-01,372,320,2,2,374,322,696
PAILON,consulta externa,menores de 5 anos,2008-02-01,410,385,9,9,419,394,813
PALCA,consulta externa,menores de 5 anos,2008-02-01,72,93,4,6,76,99,175
PALOS BLANCOS,consulta externa,menores de 5 anos,2008-02-01,811,695,34,33,845,728,1573
PAMPA AULLAGAS,consulta externa,menores de 5 anos,2008-02-01,23,20,1,2,24,22,46
PAMPA GRANDE,consulta externa,menores de 5 anos,2008-02-01,109,92,3,3,112,95,207
PAPEL PAMPA,consulta externa,menores de 5 anos,2008-02-01,47,41,0,1,47,42,89
PASORAPA,consulta externa,menores de 5 anos,2008-02-01,57,66,4,2,61,68,129
PATACAMAYA,consulta externa,menores de 5 anos,2008-02-01,178,172,2,3,180,175,355
PAZÑA,consulta externa,menores de 5 anos,2008-02-01,99,69,7,0,106,69,175
PELECHUCO,consulta externa,menores de 5 anos,2008-02-01,95,82,0,1,95,83,178
POCOATA,consulta externa,menores de 5 anos,2008-02-01,336,299,2,4,338,303,641
POCONA,consulta externa,menores de 5 anos,2008-02-01,160,148,6,3,166,151,317
POJO (CBBA),consulta externa,menores de 5 anos,2008-02-01,87,72,5,14,92,86,178
POOPO,consulta externa,menores de 5 anos,2008-02-01,55,64,3,4,58,68,126
PORCO,consulta externa,menores de 5 anos,2008-02-01,120,137,1,0,121,137,258
POROMA,consulta externa,menores de 5 anos,2008-02-01,350,261,1,0,351,261,612
PORONGO,consulta externa,menores de 5 anos,2008-02-01,171,218,8,5,179,223,402
PORTACHUELO,consulta externa,menores de 5 anos,2008-02-01,424,395,12,19,436,414,850
PORVENIR,consulta externa,menores de 5 anos,2008-02-01,127,120,3,4,130,124,254
POSTRER VALLE,consulta externa,menores de 5 anos,2008-02-01,35,27,2,0,37,27,64
POTOSI,consulta externa,menores de 5 anos,2008-02-01,2769,2543,359,252,3128,2795,5923
PRESTO,consulta externa,menores de 5 anos,2008-02-01,232,233,9,3,241,236,477
PUCARA,consulta externa,menores de 5 anos,2008-02-01,45,33,1,0,46,33,79
PUCARANI,consulta externa,menores de 5 anos,2008-02-01,119,94,4,3,123,97,220
PUERTO ACOSTA,consulta externa,menores de 5 anos,2008-02-01,131,122,1,1,132,123,255
PUERTO CARABUCO,consulta externa,menores de 5 anos,2008-02-01,107,103,0,0,107,103,210
PUERTO GONZALO MORENO,consulta externa,menores de 5 anos,2008-02-01,104,108,1,0,105,108,213
PUERTO PEREZ,consulta externa,menores de 5 anos,2008-02-01,33,28,1,1,34,29,63
PUERTO QUIJARRO,consulta externa,menores de 5 anos,2008-02-01,214,155,7,7,221,162,383
PUERTO RICO,consulta externa,menores de 5 anos,2008-02-01,178,174,2,2,180,176,356
PUERTO SILES,consulta externa,menores de 5 anos,2008-02-01,25,23,0,1,25,24,49
PUERTO SUAREZ,consulta externa,menores de 5 anos,2008-02-01,260,218,17,23,277,241,518
PUERTO VILLARROEL,consulta externa,menores de 5 anos,2008-02-01,1127,1024,71,76,1198,1100,2298
PUNA,consulta externa,menores de 5 anos,2008-02-01,536,474,20,26,556,500,1056
PUNATA,consulta externa,menores de 5 anos,2008-02-01,347,312,83,89,430,401,831
QUIABAYA,consulta externa,menores de 5 anos,2008-02-01,78,59,9,2,87,61,148
QUILLACOLLO,consulta externa,menores de 5 anos,2008-02-01,605,876,420,485,1025,1361,2386
QUIME,consulta externa,menores de 5 anos,2008-02-01,102,97,2,2,104,99,203
QUIRUSILLAS,consulta externa,menores de 5 anos,2008-02-01,35,35,2,2,37,37,74
RAVELO,consulta externa,menores de 5 anos,2008-02-01,311,244,1,1,312,245,557
REYES,consulta externa,menores de 5 anos,2008-02-01,176,185,21,27,197,212,409
RIBERALTA,consulta externa,menores de 5 anos,2008-02-01,1925,1694,321,308,2246,2002,4248
ROBORE,consulta externa,menores de 5 anos,2008-02-01,325,277,4,4,329,281,610
RURRENABAQUE,consulta externa,menores de 5 anos,2008-02-01,349,338,42,32,391,370,761
SABAYA,consulta externa,menores de 5 anos,2008-02-01,75,27,8,13,83,40,123
SACABA,consulta externa,menores de 5 anos,2008-02-01,957,771,290,236,1247,1007,2254
SACABAMBA,consulta externa,menores de 5 anos,2008-02-01,66,45,15,13,81,58,139
SACACA,consulta externa,menores de 5 anos,2008-02-01,342,313,1,4,343,317,660
SAIPINA,consulta externa,menores de 5 anos,2008-02-01,143,123,13,13,156,136,292
SALINAS DE GARCI MENDOZA,consulta externa,menores de 5 anos,2008-02-01,168,150,3,0,171,150,321
SAMAIPATA,consulta externa,menores de 5 anos,2008-02-01,163,89,4,3,167,92,259
SAN AGUSTIN,consulta externa,menores de 5 anos,2008-02-01,43,44,2,2,45,46,91
SAN ANDRES,consulta externa,menores de 5 anos,2008-02-01,337,325,10,8,347,333,680
SAN ANDRES DE MACHACA,consulta externa,menores de 5 anos,2008-02-01,32,34,1,0,33,34,67
SAN ANTONIO DE ESMORUCO,consulta externa,menores de 5 anos,2008-02-01,32,47,0,0,32,47,79
SAN ANTONIO DE LOMERIO,consulta externa,menores de 5 anos,2008-02-01,74,131,0,0,74,131,205
SAN BENITO,consulta externa,menores de 5 anos,2008-02-01,123,135,8,4,131,139,270
SAN BORJA,consulta externa,menores de 5 anos,2008-02-01,519,527,41,46,560,573,1133
SAN BUENA VENTURA,consulta externa,menores de 5 anos,2008-02-01,362,280,49,34,411,314,725
SAN CARLOS,consulta externa,menores de 5 anos,2008-02-01,432,395,16,15,448,410,858
SAN IGNACIO,consulta externa,menores de 5 anos,2008-02-01,684,591,34,25,718,616,1334
SAN IGNACIO DE VELASCO,consulta externa,menores de 5 anos,2008-02-01,961,881,96,128,1057,1009,2066
SAN JAVIER(BNI),consulta externa,menores de 5 anos,2008-02-01,91,68,52,31,143,99,242
SAN JAVIER(STC),consulta externa,menores de 5 anos,2008-02-01,179,172,9,9,188,181,369
SAN JOAQUIN,consulta externa,menores de 5 anos,2008-02-01,166,38,45,56,211,94,305
SAN JOSE DE CHIQUITOS,consulta externa,menores de 5 anos,2008-02-01,278,245,5,3,283,248,531
SAN JUAN DE YAPACANI,consulta externa,menores de 5 anos,2008-02-01,361,381,19,26,380,407,787
SAN JULIAN,consulta externa,menores de 5 anos,2008-02-01,1202,1017,68,45,1270,1062,2332
