,group,variable,month,PERSONAS DE 60 AÑOS Y MÁS NUEVA,PERSONAS DE 60 AÑOS Y MÁS NUEVA,PERSONAS DE 60 AÑOS Y MÁS REPETIDAS,PERSONAS DE 60 AÑOS Y MÁS REPETIDAS,TOTALES,TOTALES,TOTALES
TIRAQUE (CBBA),consulta externa,personas de 60 anos y mas,2008-01-01,50,48,11,9,61,57,118
TITO YUPANQUI (PARQUIPUJIO),consulta externa,personas de 60 anos y mas,2008-01-01,15,14,3,4,18,18,36
TOCO,consulta externa,personas de 60 anos y mas,2008-01-01,7,8,2,1,9,9,18
TODOS SANTOS,consulta externa,personas de 60 anos y mas,2008-01-01,3,11,0,1,3,12,15
TOLATA,consulta externa,personas de 60 anos y mas,2008-01-01,5,12,0,1,5,13,18
TOLEDO,consulta externa,personas de 60 anos y mas,2008-01-01,26,41,0,0,26,41,67
TOMAVE,consulta externa,personas de 60 anos y mas,2008-01-01,45,91,7,2,52,93,145
TOMINA,consulta externa,personas de 60 anos y mas,2008-01-01,59,109,1,3,60,112,172
TORO TORO,consulta externa,personas de 60 anos y mas,2008-01-01,32,72,2,5,34,77,111
TOTORA(CBBA),consulta externa,personas de 60 anos y mas,2008-01-01,15,13,0,0,15,13,28
TOTORA(ORR),consulta externa,personas de 60 anos y mas,2008-01-01,24,27,0,1,24,28,52
TRIGAL,consulta externa,personas de 60 anos y mas,2008-01-01,52,65,1,2,53,67,120
TRINIDAD,consulta externa,personas de 60 anos y mas,2008-01-01,386,310,48,45,434,355,789
TUPIZA,consulta externa,personas de 60 anos y mas,2008-01-01,277,370,108,85,385,455,840
TURCO,consulta externa,personas de 60 anos y mas,2008-01-01,5,15,0,0,5,15,20
UMALA,consulta externa,personas de 60 anos y mas,2008-01-01,11,8,0,0,11,8,19
UNCIA,consulta externa,personas de 60 anos y mas,2008-01-01,59,139,159,238,218,377,595
URIONDO (A. CONCEPCION),consulta externa,personas de 60 anos y mas,2008-01-01,46,67,0,6,46,73,119
URUBICHA,consulta externa,personas de 60 anos y mas,2008-01-01,12,37,2,5,14,42,56
UYUNI,consulta externa,personas de 60 anos y mas,2008-01-01,244,259,37,24,281,283,564
VACAS,consulta externa,personas de 60 anos y mas,2008-01-01,32,59,17,29,49,88,137
VALLEGRANDE,consulta externa,personas de 60 anos y mas,2008-01-01,278,327,139,190,417,517,934
VIACHA,consulta externa,personas de 60 anos y mas,2008-01-01,293,241,171,165,464,406,870
VILA VILA,consulta externa,personas de 60 anos y mas,2008-01-01,8,13,0,0,8,13,21
VILLA MONTES,consulta externa,personas de 60 anos y mas,2008-01-01,190,171,68,56,258,227,485
VILLA NUEVA (LOMA ALTA),consulta externa,personas de 60 anos y mas,2008-01-01,3,0,0,0,3,0,3
VILLA RIVERO,consulta externa,personas de 60 anos y mas,2008-01-01,6,9,1,1,7,10,17
VILLA SERRANO,consulta externa,personas de 60 anos y mas,2008-01-01,59,81,4,1,63,82,145
VILLA TUNARI,consulta externa,personas de 60 anos y mas,2008-01-01,138,130,53,52,191,182,373
VILLA VACA GUZMAN (MUYUPAMPA),consulta externa,personas de 60 anos y mas,2008-01-01,41,62,3,0,44,62,106
VILLAZON,consulta externa,personas de 60 anos y mas,2008-01-01,238,350,50,71,288,421,709
VINTO,consulta externa,personas de 60 anos y mas,2008-01-01,79,104,35,47,114,151,265
VITICHI,consulta externa,personas de 60 anos y mas,2008-01-01,36,83,9,19,45,102,147
WALDO BALLIVIAN,consulta externa,personas de 60 anos y mas,2008-01-01,3,4,0,3,3,7,10
WARNES,consulta externa,personas de 60 anos y mas,2008-01-01,235,244,32,19,267,263,530
YACO,consulta externa,personas de 60 anos y mas,2008-01-01,34,23,4,1,38,24,62
YACUIBA,consulta externa,personas de 60 anos y mas,2008-01-01,633,802,198,234,831,1036,1867
YAMPARAEZ,consulta externa,personas de 60 anos y mas,2008-01-01,28,33,3,7,31,40,71
YANACACHI,consulta externa,personas de 60 anos y mas,2008-01-01,16,12,2,2,18,14,32
YAPACANI,consulta externa,personas de 60 anos y mas,2008-01-01,10,9,0,0,10,9,19
YOCALLA,consulta externa,personas de 60 anos y mas,2008-01-01,58,55,5,2,63,57,120
YUNCHARA,consulta externa,personas de 60 anos y mas,2008-01-01,13,34,0,5,13,39,52
ZUDAÑEZ,consulta externa,personas de 60 anos y mas,2008-01-01,11,4,1,0,12,4,16
ACACIO,consulta externa,personas de 60 anos y mas,2008-02-01,25,44,2,1,27,45,72
ACHACACHI,consulta externa,personas de 60 anos y mas,2008-02-01,284,318,58,49,342,367,709
ACHOCALLA,consulta externa,personas de 60 anos y mas,2008-02-01,28,30,2,0,30,30,60
AIQUILE,consulta externa,personas de 60 anos y mas,2008-02-01,105,132,34,32,139,164,303
ALALAY,consulta externa,personas de 60 anos y mas,2008-02-01,2,7,4,0,6,7,13
ALCALA,consulta externa,personas de 60 anos y mas,2008-02-01,20,28,0,1,20,29,49
ANCORAIMES,consulta externa,personas de 60 anos y mas,2008-02-01,30,40,5,7,35,47,82
ANDAMARCA,consulta externa,personas de 60 anos y mas,2008-02-01,32,56,3,1,35,57,92
ANTEQUERA,consulta externa,personas de 60 anos y mas,2008-02-01,2,6,0,0,2,6,8
ANZALDO,consulta externa,personas de 60 anos y mas,2008-02-01,16,23,5,1,21,24,45
APOLO,consulta externa,personas de 60 anos y mas,2008-02-01,42,37,4,7,46,44,90
ARAMPAMPA,consulta externa,personas de 60 anos y mas,2008-02-01,5,9,0,2,5,11,16
ARANI,consulta externa,personas de 60 anos y mas,2008-02-01,10,16,0,2,10,18,28
ARBIETO,consulta externa,personas de 60 anos y mas,2008-02-01,36,92,9,14,45,106,151
ARQUE,consulta externa,personas de 60 anos y mas,2008-02-01,14,28,0,4,14,32,46
ASCENCION DE GUARAYOS,consulta externa,personas de 60 anos y mas,2008-02-01,49,32,18,6,67,38,105
ATOCHA,consulta externa,personas de 60 anos y mas,2008-02-01,87,116,27,51,114,167,281
AUCAPATA,consulta externa,personas de 60 anos y mas,2008-02-01,14,18,1,0,15,18,33
AYATA,consulta externa,personas de 60 anos y mas,2008-02-01,30,31,0,0,30,31,61
AYO AYO,consulta externa,personas de 60 anos y mas,2008-02-01,14,12,1,1,15,13,28
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,personas de 60 anos y mas,2008-02-01,52,93,0,4,52,97,149
AZURDUY,consulta externa,personas de 60 anos y mas,2008-02-01,64,78,2,0,66,78,144
BATALLAS,consulta externa,personas de 60 anos y mas,2008-02-01,66,40,0,1,66,41,107
BAURES,consulta externa,personas de 60 anos y mas,2008-02-01,24,38,2,3,26,41,67
BELEN DE ANDAMARCA,consulta externa,personas de 60 anos y mas,2008-02-01,10,12,0,2,10,14,24
BELEN DE URMIRI,consulta externa,personas de 60 anos y mas,2008-02-01,9,7,1,1,10,8,18
BELLA FLOR,consulta externa,personas de 60 anos y mas,2008-02-01,6,4,0,0,6,4,10
BERMEJO,consulta externa,personas de 60 anos y mas,2008-02-01,244,89,232,36,476,125,601
BETANZOS,consulta externa,personas de 60 anos y mas,2008-02-01,190,261,69,71,259,332,591
BOLIVAR,consulta externa,personas de 60 anos y mas,2008-02-01,13,27,0,0,13,27,40
BOLPEBRA,consulta externa,personas de 60 anos y mas,2008-02-01,1,0,0,0,1,0,1
BOYUIBE,consulta externa,personas de 60 anos y mas,2008-02-01,6,12,3,6,9,18,27
BUENA VISTA,consulta externa,personas de 60 anos y mas,2008-02-01,31,17,0,4,31,21,52
CABEZAS,consulta externa,personas de 60 anos y mas,2008-02-01,114,111,7,1,121,112,233
CAIROMA,consulta externa,personas de 60 anos y mas,2008-02-01,43,27,11,5,54,32,86
"CAIZA ""D""",consulta externa,personas de 60 anos y mas,2008-02-01,71,78,2,1,73,79,152
CAJUATA,consulta externa,personas de 60 anos y mas,2008-02-01,47,46,0,0,47,46,93
CALACOTO,consulta externa,personas de 60 anos y mas,2008-02-01,56,61,3,1,59,62,121
CALAMARCA,consulta externa,personas de 60 anos y mas,2008-02-01,31,19,2,2,33,21,54
CAMARGO,consulta externa,personas de 60 anos y mas,2008-02-01,239,219,19,16,258,235,493
CAMATAQUI (C. VILLA ABECIA),consulta externa,personas de 60 anos y mas,2008-02-01,48,55,11,13,59,68,127
CAMIRI,consulta externa,personas de 60 anos y mas,2008-02-01,771,1073,65,91,836,1164,2000
CAPINOTA,consulta externa,personas de 60 anos y mas,2008-02-01,60,55,29,28,89,83,172
CAQUIAVIRI,consulta externa,personas de 60 anos y mas,2008-02-01,38,42,3,3,41,45,86
CARACOLLO,consulta externa,personas de 60 anos y mas,2008-02-01,41,32,8,2,49,34,83
CARANAVI,consulta externa,personas de 60 anos y mas,2008-02-01,349,235,19,7,368,242,610
CARANGAS,consulta externa,personas de 60 anos y mas,2008-02-01,3,3,0,0,3,3,6
CARAPARI,consulta externa,personas de 60 anos y mas,2008-02-01,37,42,5,2,42,44,86
CARIPUYO,consulta externa,personas de 60 anos y mas,2008-02-01,7,20,0,0,7,20,27
CARMEN RIVERO TORREZ,consulta externa,personas de 60 anos y mas,2008-02-01,17,16,0,0,17,16,33
CATACORA,consulta externa,personas de 60 anos y mas,2008-02-01,4,10,2,3,6,13,19
CHALLAPATA,consulta externa,personas de 60 anos y mas,2008-02-01,119,77,28,23,147,100,247
CHAQUI,consulta externa,personas de 60 anos y mas,2008-02-01,27,63,0,0,27,63,90
CHARAGUA,consulta externa,personas de 60 anos y mas,2008-02-01,23,33,3,1,26,34,60
CHARAÑA,consulta externa,personas de 60 anos y mas,2008-02-01,9,17,0,0,9,17,26
CHAYANTA,consulta externa,personas de 60 anos y mas,2008-02-01,23,32,0,1,23,33,56
CHIMORE,consulta externa,personas de 60 anos y mas,2008-02-01,55,12,2,1,57,13,70
CHIPAYA,consulta externa,personas de 60 anos y mas,2008-02-01,6,4,1,0,7,4,11
CHOQUE COTA,consulta externa,personas de 60 anos y mas,2008-02-01,13,15,0,2,13,17,30
CHULUMANI (V. DE LA LIBERTAD),consulta externa,personas de 60 anos y mas,2008-02-01,81,53,18,7,99,60,159
CHUMA,consulta externa,personas de 60 anos y mas,2008-02-01,50,74,8,6,58,80,138
CLIZA,consulta externa,personas de 60 anos y mas,2008-02-01,16,40,6,10,22,50,72
COBIJA,consulta externa,personas de 60 anos y mas,2008-02-01,297,303,106,167,403,470,873
COCHABAMBA,consulta externa,personas de 60 anos y mas,2008-02-01,5012,5627,6249,7357,11261,12984,24245
COIPASA,consulta externa,personas de 60 anos y mas,2008-02-01,6,3,0,1,6,4,10
COLCAPIRHUA,consulta externa,personas de 60 anos y mas,2008-02-01,103,106,75,65,178,171,349
"COLCHA ""K""",consulta externa,personas de 60 anos y mas,2008-02-01,60,55,3,0,63,55,118
COLLANA,consulta externa,personas de 60 anos y mas,2008-02-01,14,18,3,1,17,19,36
COLOMI,consulta externa,personas de 60 anos y mas,2008-02-01,24,18,1,1,25,19,44
COLPA BELGICA,consulta externa,personas de 60 anos y mas,2008-02-01,61,59,87,69,148,128,276
COLQUECHACA,consulta externa,personas de 60 anos y mas,2008-02-01,71,86,1,1,72,87,159
COLQUENCHA,consulta externa,personas de 60 anos y mas,2008-02-01,40,73,1,9,41,82,123
COLQUIRI,consulta externa,personas de 60 anos y mas,2008-02-01,52,80,5,9,57,89,146
COMANCHE,consulta externa,personas de 60 anos y mas,2008-02-01,27,22,5,3,32,25,57
COMARAPA,consulta externa,personas de 60 anos y mas,2008-02-01,88,98,8,17,96,115,211
COMBAYA,consulta externa,personas de 60 anos y mas,2008-02-01,7,14,0,0,7,14,21
CONCEPCION,consulta externa,personas de 60 anos y mas,2008-02-01,48,54,0,0,48,54,102
COPACABANA,consulta externa,personas de 60 anos y mas,2008-02-01,27,20,0,0,27,20,47
CORIPATA,consulta externa,personas de 60 anos y mas,2008-02-01,35,28,3,2,38,30,68
CORO CORO,consulta externa,personas de 60 anos y mas,2008-02-01,37,37,1,4,38,41,79
COROICO,consulta externa,personas de 60 anos y mas,2008-02-01,88,75,34,42,122,117,239
CORQUE,consulta externa,personas de 60 anos y mas,2008-02-01,44,47,2,0,46,47,93
COTAGAITA,consulta externa,personas de 60 anos y mas,2008-02-01,251,376,16,17,267,393,660
COTOCA,consulta externa,personas de 60 anos y mas,2008-02-01,133,111,20,21,153,132,285
CUATRO CAÑADAS,consulta externa,personas de 60 anos y mas,2008-02-01,41,38,3,2,44,40,84
CUCHUMUELA (V. G. VILLARROEL),consulta externa,personas de 60 anos y mas,2008-02-01,10,13,5,2,15,15,30
CUEVO,consulta externa,personas de 60 anos y mas,2008-02-01,26,34,7,4,33,38,71
CULPINA,consulta externa,personas de 60 anos y mas,2008-02-01,82,88,0,0,82,88,170
CURAHUARA DE CARANGAS,consulta externa,personas de 60 anos y mas,2008-02-01,28,25,1,2,29,27,56
CURVA,consulta externa,personas de 60 anos y mas,2008-02-01,7,8,0,0,7,8,15
DESAGUADERO,consulta externa,personas de 60 anos y mas,2008-02-01,31,32,4,4,35,36,71
EL ALTO,consulta externa,personas de 60 anos y mas,2008-02-01,1272,1581,1019,1180,2291,2761,5052
EL CHORO,consulta externa,personas de 60 anos y mas,2008-02-01,27,36,1,1,28,37,65
EL PUENTE(STC),consulta externa,personas de 60 anos y mas,2008-02-01,54,58,0,4,54,62,116
EL PUENTE(TJA),consulta externa,personas de 60 anos y mas,2008-02-01,48,78,1,6,49,84,133
EL TORNO,consulta externa,personas de 60 anos y mas,2008-02-01,344,287,56,49,400,336,736
EL VILLAR,consulta externa,personas de 60 anos y mas,2008-02-01,37,56,7,16,44,72,116
ENTRE RIOS,consulta externa,personas de 60 anos y mas,2008-02-01,18,9,8,0,26,9,35
ENTRE RIOS,consulta externa,personas de 60 anos y mas,2008-02-01,62,85,1,1,63,86,149
ESCARA,consulta externa,personas de 60 anos y mas,2008-02-01,2,4,0,0,2,4,6
ESMERALDA,consulta externa,personas de 60 anos y mas,2008-02-01,5,5,0,0,5,5,10
EUCALIPTUS,consulta externa,personas de 60 anos y mas,2008-02-01,21,33,7,3,28,36,64
EXALTACION,consulta externa,personas de 60 anos y mas,2008-02-01,10,21,1,5,11,26,37
FERNANDEZ ALONSO,consulta externa,personas de 60 anos y mas,2008-02-01,25,18,0,3,25,21,46
FILADELFIA,consulta externa,personas de 60 anos y mas,2008-02-01,7,17,0,2,7,19,26
GENERAL SAAVEDRA,consulta externa,personas de 60 anos y mas,2008-02-01,35,25,2,2,37,27,64
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,personas de 60 anos y mas,2008-02-01,28,23,2,2,30,25,55
GUANAY,consulta externa,personas de 60 anos y mas,2008-02-01,70,51,3,8,73,59,132
GUAQUI,consulta externa,personas de 60 anos y mas,2008-02-01,18,33,6,8,24,41,65
GUAYARAMERIN,consulta externa,personas de 60 anos y mas,2008-02-01,296,191,156,115,452,306,758
GUTIERREZ,consulta externa,personas de 60 anos y mas,2008-02-01,43,44,4,4,47,48,95
HUACARETA,consulta externa,personas de 60 anos y mas,2008-02-01,36,70,7,10,43,80,123
HUACAYA (VILLA DE HUACAYA),consulta externa,personas de 60 anos y mas,2008-02-01,20,34,0,0,20,34,54
HUACHACALLA,consulta externa,personas de 60 anos y mas,2008-02-01,33,23,7,4,40,27,67
HUANUNI,consulta externa,personas de 60 anos y mas,2008-02-01,179,170,67,64,246,234,480
HUARACAJE,consulta externa,personas de 60 anos y mas,2008-02-01,13,2,3,1,16,3,19
HUAYLLAMARCA,consulta externa,personas de 60 anos y mas,2008-02-01,91,74,3,2,94,76,170
ICHOCA,consulta externa,personas de 60 anos y mas,2008-02-01,12,19,1,0,13,19,32
ICLA,consulta externa,personas de 60 anos y mas,2008-02-01,20,32,0,0,20,32,52
INCAHUASI,consulta externa,personas de 60 anos y mas,2008-02-01,46,98,0,4,46,102,148
INGAVI (HUMAITA),consulta externa,personas de 60 anos y mas,2008-02-01,1,1,0,0,1,1,2
INQUISIVI,consulta externa,personas de 60 anos y mas,2008-02-01,40,21,3,1,43,22,65
IRUPANA (VILLA DE LANZA),consulta externa,personas de 60 anos y mas,2008-02-01,66,59,12,4,78,63,141
IXIAMAS,consulta externa,personas de 60 anos y mas,2008-02-01,13,18,0,1,13,19,32
JESUS DE MACHACA,consulta externa,personas de 60 anos y mas,2008-02-01,173,269,31,42,204,311,515
LA ASUNTA,consulta externa,personas de 60 anos y mas,2008-02-01,14,21,3,2,17,23,40
LA GUARDIA,consulta externa,personas de 60 anos y mas,2008-02-01,81,93,16,17,97,110,207
LA PAZ,consulta externa,personas de 60 anos y mas,2008-02-01,8515,8918,8379,11729,16894,20647,37541
LA RIVERA,consulta externa,personas de 60 anos y mas,2008-02-01,5,8,0,0,5,8,13
LAGUNILLAS,consulta externa,personas de 60 anos y mas,2008-02-01,30,26,2,4,32,30,62
LAJA,consulta externa,personas de 60 anos y mas,2008-02-01,54,41,11,3,65,44,109
LAS CARRERAS,consulta externa,personas de 60 anos y mas,2008-02-01,48,34,2,0,50,34,84
LICOMA PAMPA,consulta externa,personas de 60 anos y mas,2008-02-01,17,15,0,0,17,15,32
LLALLAGUA,consulta externa,personas de 60 anos y mas,2008-02-01,54,97,1,3,55,100,155
LLICA,consulta externa,personas de 60 anos y mas,2008-02-01,21,43,1,3,22,46,68
LORETO,consulta externa,personas de 60 anos y mas,2008-02-01,3,2,2,0,5,2,7
LURIBAY,consulta externa,personas de 60 anos y mas,2008-02-01,79,69,21,12,100,81,181
MACHACAMARCA,consulta externa,personas de 60 anos y mas,2008-02-01,50,65,10,14,60,79,139
MACHARETI,consulta externa,personas de 60 anos y mas,2008-02-01,77,68,21,10,98,78,176
MAGDALENA,consulta externa,personas de 60 anos y mas,2008-02-01,18,12,67,68,85,80,165
MAIRANA,consulta externa,personas de 60 anos y mas,2008-02-01,29,36,0,0,29,36,65
MALLA,consulta externa,personas de 60 anos y mas,2008-02-01,12,15,0,2,12,17,29
MAPIRI,consulta externa,personas de 60 anos y mas,2008-02-01,26,28,3,2,29,30,59
MECAPACA,consulta externa,personas de 60 anos y mas,2008-02-01,61,69,3,3,64,72,136
MINEROS,consulta externa,personas de 60 anos y mas,2008-02-01,9,9,1,0,10,9,19
MIZQUE,consulta externa,personas de 60 anos y mas,2008-02-01,20,26,8,2,28,28,56
MOCOMOCO,consulta externa,personas de 60 anos y mas,2008-02-01,80,79,10,7,90,86,176
MOJINETE,consulta externa,personas de 60 anos y mas,2008-02-01,6,18,1,1,7,19,26
MOJOCOYA,consulta externa,personas de 60 anos y mas,2008-02-01,65,51,5,6,70,57,127
MONTEAGUDO,consulta externa,personas de 60 anos y mas,2008-02-01,280,340,102,150,382,490,872
MONTERO,consulta externa,personas de 60 anos y mas,2008-02-01,598,777,596,619,1194,1396,2590
MORO MORO,consulta externa,personas de 60 anos y mas,2008-02-01,10,25,0,1,10,26,36
MOROCHATA,consulta externa,personas de 60 anos y mas,2008-02-01,24,42,2,6,26,48,74
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,personas de 60 anos y mas,2008-02-01,21,10,3,7,24,17,41
NAZACARA DE PACAJES,consulta externa,personas de 60 anos y mas,2008-02-01,7,10,0,0,7,10,17
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,personas de 60 anos y mas,2008-02-01,7,4,0,0,7,4,11
OCURI,consulta externa,personas de 60 anos y mas,2008-02-01,27,59,0,0,27,59,86
OKINAWA,consulta externa,personas de 60 anos y mas,2008-02-01,86,68,5,2,91,70,161
OMEREQUE,consulta externa,personas de 60 anos y mas,2008-02-01,11,27,3,6,14,33,47
ORURO,consulta externa,personas de 60 anos y mas,2008-02-01,2964,3342,1351,1626,4315,4968,9283
PADCAYA,consulta externa,personas de 60 anos y mas,2008-02-01,37,66,2,14,39,80,119
PADILLA,consulta externa,personas de 60 anos y mas,2008-02-01,88,161,0,1,88,162,250
PAILON,consulta externa,personas de 60 anos y mas,2008-02-01,26,22,0,0,26,22,48
PALCA,consulta externa,personas de 60 anos y mas,2008-02-01,36,39,5,2,41,41,82
PALOS BLANCOS,consulta externa,personas de 60 anos y mas,2008-02-01,124,79,1,0,125,79,204
PAMPA AULLAGAS,consulta externa,personas de 60 anos y mas,2008-02-01,9,15,0,0,9,15,24
PAMPA GRANDE,consulta externa,personas de 60 anos y mas,2008-02-01,19,27,0,2,19,29,48
PAPEL PAMPA,consulta externa,personas de 60 anos y mas,2008-02-01,36,34,0,0,36,34,70
PASORAPA,consulta externa,personas de 60 anos y mas,2008-02-01,37,57,0,2,37,59,96
PATACAMAYA,consulta externa,personas de 60 anos y mas,2008-02-01,74,51,0,1,74,52,126
PAZÑA,consulta externa,personas de 60 anos y mas,2008-02-01,43,52,9,13,52,65,117
PELECHUCO,consulta externa,personas de 60 anos y mas,2008-02-01,14,20,0,2,14,22,36
POCOATA,consulta externa,personas de 60 anos y mas,2008-02-01,58,80,3,1,61,81,142
POCONA,consulta externa,personas de 60 anos y mas,2008-02-01,26,59,0,1,26,60,86
POJO (CBBA),consulta externa,personas de 60 anos y mas,2008-02-01,12,9,2,0,14,9,23
POOPO,consulta externa,personas de 60 anos y mas,2008-02-01,29,31,8,4,37,35,72
PORCO,consulta externa,personas de 60 anos y mas,2008-02-01,15,24,2,1,17,25,42
POROMA,consulta externa,personas de 60 anos y mas,2008-02-01,33,40,1,0,34,40,74
PORONGO,consulta externa,personas de 60 anos y mas,2008-02-01,15,13,0,0,15,13,28
PORTACHUELO,consulta externa,personas de 60 anos y mas,2008-02-01,137,83,6,28,143,111,254
PORVENIR,consulta externa,personas de 60 anos y mas,2008-02-01,30,9,1,0,31,9,40
POSTRER VALLE,consulta externa,personas de 60 anos y mas,2008-02-01,35,55,2,2,37,57,94
POTOSI,consulta externa,personas de 60 anos y mas,2008-02-01,1455,1864,790,1131,2245,2995,5240
PRESTO,consulta externa,personas de 60 anos y mas,2008-02-01,37,50,1,4,38,54,92
PUCARA,consulta externa,personas de 60 anos y mas,2008-02-01,33,49,1,9,34,58,92
PUCARANI,consulta externa,personas de 60 anos y mas,2008-02-01,51,35,1,1,52,36,88
PUERTO ACOSTA,consulta externa,personas de 60 anos y mas,2008-02-01,172,100,10,11,182,111,293
PUERTO CARABUCO,consulta externa,personas de 60 anos y mas,2008-02-01,67,66,11,5,78,71,149
PUERTO GONZALO MORENO,consulta externa,personas de 60 anos y mas,2008-02-01,32,28,9,0,41,28,69
PUERTO PEREZ,consulta externa,personas de 60 anos y mas,2008-02-01,18,23,4,6,22,29,51
PUERTO QUIJARRO,consulta externa,personas de 60 anos y mas,2008-02-01,85,65,0,0,85,65,150
PUERTO RICO,consulta externa,personas de 60 anos y mas,2008-02-01,32,22,3,1,35,23,58
PUERTO SILES,consulta externa,personas de 60 anos y mas,2008-02-01,7,7,0,0,7,7,14
PUERTO SUAREZ,consulta externa,personas de 60 anos y mas,2008-02-01,98,94,7,6,105,100,205
PUERTO VILLARROEL,consulta externa,personas de 60 anos y mas,2008-02-01,45,42,4,5,49,47,96
PUNA,consulta externa,personas de 60 anos y mas,2008-02-01,136,260,6,12,142,272,414
PUNATA,consulta externa,personas de 60 anos y mas,2008-02-01,161,306,65,103,226,409,635
QUIABAYA,consulta externa,personas de 60 anos y mas,2008-02-01,11,11,5,6,16,17,33
QUILLACOLLO,consulta externa,personas de 60 anos y mas,2008-02-01,408,286,306,288,714,574,1288
