,group,variable,month,TOTAL 20.2 ANTIPOLIOMIELITICA 5TA DOSIS CANTIDAD,TOTAL 20.2 ANTIPOLIOMIELITICA 5TA DOSIS CANTIDAD,TOTALES
MONTERO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,50,12,62
MORO MORO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,1,0,1
MOROCHATA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,1,4,5
OKINAWA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,3,0,3
OMEREQUE,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,4,5,9
ORURO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,101,273,374
PADCAYA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,4,1,5
PADILLA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,1,2,3
PAILON,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,4,7,11
PASORAPA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,1,1,2
PAZÑA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,1,0,1
POCONA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,3,7,10
POJO (CBBA),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,3,0,3
POROMA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,2,4,6
PORTACHUELO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,2,0,2
PORVENIR,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,0,1,1
POTOSI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,50,8,58
PRESTO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,3,1,4
PUCARA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,1,0,1
PUCARANI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,3,3,6
PUERTO GONZALO MORENO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,0,9,9
PUERTO PEREZ,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,3,9,12
PUERTO QUIJARRO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,8,1,9
PUERTO RICO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,1,0,1
PUERTO SUAREZ,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,12,0,12
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,25,13,38
PUNA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,1,3,4
PUNATA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,9,0,9
QUILLACOLLO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,24,133,157
QUIME,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,2,4,6
RAVELO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,0,2,2
REYES,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,10,0,10
RIBERALTA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,29,3,32
ROBORE,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,6,1,7
RURRENABAQUE,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,5,5,10
SACABA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,19,6,25
SACABAMBA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,1,1,2
SACACA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,4,3,7
SALINAS DE GARCI MENDOZA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,4,1,5
SAMAIPATA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,8,0,8
SAN ANDRES,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,1,0,1
SAN ANDRES DE MACHACA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,1,2,3
SAN ANTONIO DE LOMERIO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,5,2,7
SAN BENITO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,5,0,5
SAN BORJA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,25,3,28
SAN CARLOS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,1,0,1
SAN IGNACIO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,11,17,28
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,5,0,5
SAN JAVIER(STC),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,4,11,15
SAN JOSE DE CHIQUITOS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,14,2,16
SAN JULIAN,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,3,0,3
SAN LORENZO(TJA),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,7,4,11
SAN LUCAS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,10,3,13
SAN MIGUEL DE VELASCO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,17,1,18
SAN PEDRO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,12,1,13
SAN PEDRO DE BUENA VISTA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,1,0,1
SAN PEDRO DE TIQUINA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,2,4,6
SAN PEDRO(PND),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,0,2,2
SAN RAMON BENI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,8,8,16
SANTA ANA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,6,0,6
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,472,47,519
SANTA ROSA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,0,1,1
SANTA ROSA DEL SARA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,15,1,16
SANTIAGO DE HUARI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,0,1,1
SANTUARIO DE QUILLACAS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,1,0,1
SENA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,1,0,1
SHINAOTA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,5,1,6
SICA SICA (VILLA AROMA),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,3,2,5
SIPE SIPE,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,4,0,4
SOPACHUY,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,4,1,5
SORATA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,0,5,5
SUCRE,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,81,29,110
TACOPAYA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,0,2,2
TAPACARI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,1,5,6
TARABUCO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,3,2,5
TARACO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,1,0,1
TARATA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,1,1,2
TARIJA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,60,16,76
TARVITA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,2,6,8
TIQUIPAYA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,12,4,16
TOCO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,1,1,2
TOMINA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,8,5,13
TOTORA(CBBA),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,4,7,11
TRIGAL,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,0,3,3
TRINIDAD,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,19,7,26
TUPIZA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,13,8,21
URIONDO (A. CONCEPCION),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,4,11,15
URUBICHA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,0,3,3
UYUNI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,2,0,2
VACAS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,2,8,10
VALLEGRANDE,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,13,1,14
VIACHA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,12,0,12
VILA VILA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,3,0,3
VILLA CHARCAS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,1,4,5
VILLA MONTES,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,31,31,62
VILLA SERRANO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,1,3,4
VILLA TUNARI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,17,3,20
VILLA VACA GUZMAN (MUYUPAMPA),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,7,6,13
VILLAZON,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,32,10,42
WARNES,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,65,33,98
YACUIBA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,25,7,32
YAMPARAEZ,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,2,0,2
YOTALA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,3,11,14
YUNCHARA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,1,3,4
ZUDAÑEZ,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-02-01,0,8,8
ACACIO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,3,1,4
ACHOCALLA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,8,13,21
AIQUILE,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,8,13,21
ALALAY,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,2,3,5
ALCALA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,0,1,1
ANCORAIMES,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,0,1,1
ANDAMARCA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,2,0,2
ANTEQUERA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,1,1,2
ANZALDO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,2,14,16
ARANI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,8,0,8
ARBIETO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,2,8,10
ARQUE,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,2,5,7
ASCENCION DE GUARAYOS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,23,12,35
AYOPAYA (V. DE INDEPENDENCIA),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,3,10,13
AZURDUY,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,7,3,10
BATALLAS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,2,3,5
BELEN DE ANDAMARCA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,1,0,1
BELLA FLOR,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,3,1,4
BERMEJO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,14,9,23
BOLIVAR,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,1,0,1
BOLPEBRA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,1,2,3
CAIROMA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,0,1,1
"CAIZA ""D""",vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,6,0,6
CAMARGO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,8,0,8
CAPINOTA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,2,4,6
CAQUIAVIRI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,0,3,3
CARACOLLO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,5,3,8
CARANAVI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,5,8,13
CARAPARI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,3,4,7
CHALLAPATA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,7,5,12
CHIMORE,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,8,0,8
CKOCHAS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,8,5,13
CLIZA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,12,3,15
COBIJA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,14,14,28
COCAPATA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,3,18,21
COCHABAMBA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,124,78,202
COLCAPIRHUA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,6,0,6
"COLCHA ""K""",vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,2,0,2
COLOMI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,12,31,43
COLQUIRI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,0,3,3
COMARAPA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,3,0,3
CONCEPCION,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,8,8,16
COPACABANA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,1,1,2
COROICO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,3,0,3
COTAGAITA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,10,5,15
COTOCA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,1,0,1
CUATRO CAÑADAS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,23,0,23
EL ALTO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,171,179,350
EL PUENTE(STC),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,2,0,2
EL PUENTE(TJA),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,6,1,7
EL TORNO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,57,6,63
EL VILLAR,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,3,0,3
ENTRE RIOS TRJ,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,6,13,19
ENTRE RIOS CBBA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,13,8,21
FERNANDEZ ALONSO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,15,1,16
FILADELFIA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,3,3,6
GUANAY,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,2,0,2
GUAQUI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,0,3,3
GUAYARAMERIN,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,22,11,33
GUTIERREZ,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,1,0,1
HUACARETA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,3,7,10
HUANUNI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,8,0,8
HUATAJATA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,1,0,1
ICLA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,2,1,3
INCAHUASI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,2,2,4
INGAVI (HUMAITA),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,1,1,2
INQUISIVI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,0,2,2
IXIAMAS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,1,0,1
JESUS DE MACHACA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,1,0,1
LA ASUNTA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,2,1,3
LA GUARDIA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,17,1,18
LA PAZ,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,111,10,121
LAGUNILLAS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,5,3,8
LAS CARRERAS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,3,0,3
LLALLAGUA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,0,6,6
LURIBAY,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,3,1,4
MACHACAMARCA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,1,0,1
MACHARETI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,1,2,3
MAGDALENA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,9,1,10
MAIRANA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,1,0,1
MINEROS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,18,0,18
MIZQUE,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,0,9,9
MONTEAGUDO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,15,1,16
MONTERO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,136,68,204
MORO MORO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,3,2,5
MOROCHATA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,0,7,7
NAZACARA DE PACAJES,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,1,0,1
OKINAWA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,6,2,8
OMEREQUE,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,1,11,12
ORURO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,79,0,79
PADCAYA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,12,0,12
PADILLA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,8,9,17
PAILON,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,3,9,12
PAMPA GRANDE,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,2,1,3
PAPEL PAMPA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,1,0,1
POCONA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,4,8,12
POJO (CBBA),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,1,4,5
POROMA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,10,7,17
PORTACHUELO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,9,0,9
POTOSI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,52,15,67
PUCARA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,1,1,2
PUCARANI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,1,7,8
PUERTO GONZALO MORENO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,8,1,9
PUERTO PEREZ,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,2,4,6
PUERTO QUIJARRO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,4,0,4
PUERTO RICO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,1,0,1
PUERTO SUAREZ,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,11,14,25
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,30,37,67
PUNA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,3,1,4
PUNATA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,10,0,10
QUILLACOLLO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,15,71,86
QUIME,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,1,1,2
REYES,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,8,0,8
RIBERALTA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,20,1,21
ROBORE,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,16,0,16
RURRENABAQUE,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,10,0,10
SACABA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,37,7,44
SALINAS DE GARCI MENDOZA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,7,7,14
SAMAIPATA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,7,1,8
SAN ANDRES,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,3,0,3
SAN ANDRES DE MACHACA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,4,1,5
SAN ANTONIO DE LOMERIO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,0,3,3
SAN BENITO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-03-01,3,0,3
