,group,variable,month,1. NRO DE NEONATOS (MENOR DE 7 DIAS) A LOS QUE SE LES HA REALIZADO TAMIZAJE NEONATAL TEMPRANO CANTIDAD,1. NRO DE NEONATOS (MENOR DE 7 DIAS) A LOS QUE SE LES HA REALIZADO TAMIZAJE NEONATAL TEMPRANO CANTIDAD,TOTALES,TOTALES,TOTALES
TARABUCO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,7,6,7,6,13
TARVITA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,5,6,5,6,11
TOMINA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,2,6,2,6,8
TOTORA(CBBA),enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,1,1,1,1,2
URUBICHA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,0,1,0,1,1
VALLEGRANDE,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,2,0,2,0,2
VILLA CHARCAS,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,3,7,3,7,10
VILLA SERRANO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,3,1,3,1,4
VILLA TUNARI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,1,0,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,5,1,5,1,6
WARNES,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,48,46,48,46,94
YACUIBA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,3,2,3,2,5
YAMPARAEZ,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,2,1,2,1,3
YOTALA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,2,1,2,1,3
ZUDAÑEZ,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,4,1,4,1,5
ACHACACHI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,0,1,0,1,1
AIQUILE,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,9,13,9,13,22
ALCALA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,2,0,2,0,2
ANCORAIMES,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,1,0,1,0,1
ASCENCION DE GUARAYOS,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,14,15,14,15,29
AYATA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,2,1,2,1,3
AYOPAYA (V. DE INDEPENDENCIA),enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,1,2,1,2,3
AZURDUY,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,5,7,5,7,12
BOYUIBE,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,1,1,1,1,2
CABEZAS,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,4,5,4,5,9
CAMARGO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,5,6,5,6,11
CAMATAQUI (C. VILLA ABECIA),enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,0,2,0,2,2
CARMEN RIVERO TORREZ,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,1,0,1,0,1
CHARAGUA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,8,8,8,8,16
CHUMA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,4,2,4,2,6
COCHABAMBA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,45,44,45,44,89
COLQUIRI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,1,0,1,0,1
COMARAPA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,7,11,7,11,18
COMBAYA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,0,1,0,1,1
CONCEPCION,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,13,16,13,16,29
COROICO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,3,6,3,6,9
COTOCA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,34,28,34,28,62
CUATRO CAÑADAS,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,8,10,8,10,18
CULPINA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,9,3,9,3,12
CURVA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,1,3,1,3,4
EL ALTO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,237,236,237,236,473
EL PUENTE(STC),enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,1,5,1,5,6
EL VILLAR,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,1,1,1,1,2
ESCOMA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,0,1,0,1,1
FERNANDEZ ALONSO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,3,4,3,4,7
GENERAL SAAVEDRA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,1,3,1,3,4
GRAL. J.J. PEREZ (CHARAZANI),enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,4,3,4,3,7
HUACARETA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,1,4,1,4,5
HUANUNI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,4,10,4,10,14
HUATAJATA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,0,2,0,2,2
ICLA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,3,2,3,2,5
INCAHUASI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,4,6,4,6,10
INQUISIVI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,2,4,2,4,6
IRUPANA (VILLA DE LANZA),enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,1,2,1,2,3
JESUS DE MACHACA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,2,1,2,1,3
LA GUARDIA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,31,26,31,26,57
LA PAZ,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,70,86,70,86,156
LAGUNILLAS,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,2,1,2,1,3
LAJA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,3,0,3,0,3
LURIBAY,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,0,1,0,1,1
MACHARETI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,0,4,0,4,4
MAGDALENA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,4,1,4,1,5
MAIRANA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,7,11,7,11,18
MINEROS,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,5,6,5,6,11
MIZQUE,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,8,4,8,4,12
MOCOMOCO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,2,3,2,3,5
MOJOCOYA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,2,2,2,2,4
MONTEAGUDO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,16,19,16,19,35
MONTERO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,20,15,20,15,35
ORURO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,53,46,53,46,99
PADILLA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,9,7,9,7,16
PAILON,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,3,2,3,2,5
PATACAMAYA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,4,4,4,4,8
PELECHUCO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,1,2,1,2,3
POROMA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,11,7,11,7,18
PORONGO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,0,1,0,1,1
PORTACHUELO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,3,4,3,4,7
PRESTO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,2,0,2,0,2
PUCARANI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,0,5,0,5,5
PUERTO ACOSTA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,1,1,1,1,2
PUERTO CARABUCO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,0,1,0,1,1
PUERTO GONZALO MORENO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,0,7,0,7,7
PUERTO QUIJARRO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,4,11,4,11,15
PUERTO SUAREZ,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,9,3,9,3,12
QUIABAYA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,1,0,1,0,1
RIBERALTA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,33,23,33,23,56
ROBORE,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,6,3,6,3,9
SACABA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,69,47,69,47,116
SAIPINA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,4,2,4,2,6
SAN ANDRES DE MACHACA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,2,0,2,0,2
SAN BORJA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,4,1,4,1,5
SAN IGNACIO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,3,4,3,4,7
SAN IGNACIO DE VELASCO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,40,54,40,54,94
SAN JAVIER(STC),enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,3,12,3,12,15
SAN JOSE DE CHIQUITOS,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,11,13,11,13,24
SAN JUAN DE YAPACANI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,0,1,0,1,1
SAN JULIAN,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,15,22,15,22,37
SAN LUCAS,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,14,9,14,9,23
SAN MATIAS,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,11,4,11,4,15
SAN PEDRO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,2,2,2,2,4
SANTA CRUZ DE LA SIERRA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,281,247,281,247,528
SANTA ROSA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,2,4,2,4,6
SANTA ROSA DEL SARA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,2,0,2,0,2
SAPAHAQUI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,0,1,0,1,1
SOPACHUY,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,4,1,4,1,5
SORATA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,10,0,10,0,10
SUCRE,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,144,149,144,149,293
TACACOMA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,1,0,1,0,1
TARABUCO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,7,6,7,6,13
TARVITA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,5,4,5,4,9
TIAHUANACU,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,1,0,1,0,1
TOMINA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,2,2,2,2,4
TOTORA(CBBA),enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,2,3,2,3,5
TRINIDAD,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,0,2,0,2,2
URUBICHA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,0,1,0,1,1
VILLA CHARCAS,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,5,6,5,6,11
VILLA MONTES,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,1,1,1,1,2
VILLA SERRANO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,2,4,2,4,6
VILLA TUNARI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,1,0,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,2,2,2,2,4
WARNES,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,31,34,31,34,65
YACUIBA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,5,4,5,4,9
YAMPARAEZ,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,1,1,1,1,2
YOTALA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,2,2,2,2,4
ZUDAÑEZ,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-09-01,1,3,1,3,4
AIQUILE,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,10,10,10,10,20
ASCENCION DE GUARAYOS,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,24,22,24,22,46
AYATA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,0,2,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,3,1,3,1,4
AZURDUY,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,4,6,4,6,10
BOYUIBE,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,1,3,1,3,4
CABEZAS,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,8,6,8,6,14
CAJUATA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,3,2,3,2,5
CAMARGO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,13,10,13,10,23
CAMATAQUI (C. VILLA ABECIA),enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,1,0,1,0,1
CARMEN RIVERO TORREZ,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,0,3,0,3,3
CHARAGUA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,4,9,4,9,13
CHUMA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,0,1,0,1,1
COCHABAMBA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,57,69,57,69,126
COLQUIRI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,1,1,1,1,2
COMARAPA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,11,6,11,6,17
CONCEPCION,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,26,11,26,11,37
COROICO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,12,9,12,9,21
COTOCA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,30,41,30,41,71
CUATRO CAÑADAS,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,7,11,7,11,18
CULPINA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,12,5,12,5,17
EL ALTO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,285,278,285,278,563
EL PUENTE(STC),enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,0,2,0,2,2
ESCOMA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,0,3,0,3,3
FERNANDEZ ALONSO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,7,1,7,1,8
GENERAL SAAVEDRA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,4,4,4,4,8
GRAL. J.J. PEREZ (CHARAZANI),enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,3,1,3,1,4
HUACAYA (VILLA DE HUACAYA),enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,0,1,0,1,1
HUANUNI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,10,6,10,6,16
ICHOCA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,1,1,1,1,2
ICLA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,4,1,4,1,5
INCAHUASI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,8,4,8,4,12
INQUISIVI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,2,1,2,1,3
IRUPANA (VILLA DE LANZA),enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,1,0,1,0,1
LA GUARDIA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,26,26,26,26,52
LA PAZ,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,238,252,238,252,490
LAGUNILLAS,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,1,0,1,0,1
LAJA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,2,6,2,6,8
LAS CARRERAS,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,0,1,0,1,1
LURIBAY,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,0,1,0,1,1
MACHARETI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,0,1,0,1,1
MAGDALENA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,4,4,4,4,8
MAIRANA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,5,10,5,10,15
MINEROS,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,5,9,5,9,14
MOCOMOCO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,1,0,1,0,1
MOJOCOYA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,1,0,1,0,1
MONTEAGUDO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,11,13,11,13,24
MONTERO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,30,30,30,30,60
OMEREQUE,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-10-01,2,2,2,2,4
