,group,variable,month,TOTAL 16.6 HIPERTENSIÓN ARTERIAL SISTÉMICA EN MAYORES DE 5 AÑOS CANTIDAD,TOTAL 16.6 HIPERTENSIÓN ARTERIAL SISTÉMICA EN MAYORES DE 5 AÑOS CANTIDAD,TOTALES
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,11,11,22
YACO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,76,18,94
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,23,14,37
YOTALA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,0,1,1
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,12,11,23
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,8,10,18
ACHOCALLA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,1,1,2
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,16,25,41
ALTO BENI,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,2,1,3
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,1,2,3
ANDAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,1,2,3
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,0,3,3
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,4,12,16
ASCENCION DE GUARAYOS,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,1,1,2
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,10,10,20
AYATA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,2,1,3
AYO AYO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,0,4,4
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,5,4,9
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,6,1,7
BAURES,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,18,12,30
BELEN DE ANDAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,0,2,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,36,34,70
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,47,53,100
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,8,4,12
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,3,2,5
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,13,18,31
"CAIZA ""D""","enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,0,7,7
CAJUATA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,6,1,7
CALAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,2,1,3
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,2,8,10
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,56,67,123
CAQUIAVIRI,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,0,1,1
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,5,10,15
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,12,9,21
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,15,20,35
CHUMA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,3,3,6
CHUQUIHUTA AYLLU JUCUMANI,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,3,2,5
CKOCHAS,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,35,52,87
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,242,344,586
COLPA BELGICA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,13,18,31
COLQUECHACA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,2,0,2
COLQUIRI,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,3,6,9
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,6,15,21
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,1,1,2
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,6,6,12
CORO CORO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,5,5,10
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,13,16,29
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,15,9,24
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,9,10,19
CUEVO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,3,1,4
CULPINA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,7,0,7
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,5,3,8
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,584,492,1076
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,2,0,2
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,8,9,17
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,8,9,17
ESCOMA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,1,1,2
EUCALIPTUS,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,0,1,1
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,2,1,3
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,13,17,30
GUANAY,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,4,6,10
GUAQUI,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,6,1,7
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,6,14,20
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,29,6,35
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,7,6,13
HUACHACALLA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,0,3,3
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,31,27,58
HUAYLLAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,5,2,7
HUMANATA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,1,4,5
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,1,1,2
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,0,3,3
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,9,6,15
LA ASUNTA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,0,1,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,26,56,82
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,449,719,1168
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,6,13,19
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,7,4,11
LAS CARRERAS,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,4,4,8
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,4,3,7
LLICA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,2,0,2
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,8,8,16
LURIBAY,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,2,0,2
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,1,0,1
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,12,23,35
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,5,10,15
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,3,1,4
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,2,1,3
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,5,7,12
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,5,7,12
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,17,15,32
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,31,46,77
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,1,0,1
OCURI,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,1,2,3
OKINAWA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,22,0,22
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,85,148,233
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,1,1,2
PAILON,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,5,6,11
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,1,0,1
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,1,0,1
PAMPA GRANDE,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,2,5,7
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,0,2,2
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,2,2,4
POOPO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-02-01,1,1,2
