,group,variable,month,TOTAL 16.2 REUMÁTICAS CANTIDAD,TOTAL 16.2 REUMÁTICAS CANTIDAD,TOTALES
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,0,5,5
ESCOMA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,6,11,17
EUCALIPTUS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,1,0,1
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,1,1,2
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,8,12,20
GRAL. J.J. PEREZ (CHARAZANI),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,0,2,2
GUANAY,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,18,14,32
GUAQUI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,3,7,10
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,2,12,14
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,1,3,4
HUACHACALLA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,5,18,23
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,42,49,91
HUAYLLAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,7,18,25
HUMANATA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,10,15,25
ICHOCA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,6,17,23
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,0,5,5
INQUISIVI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,5,6,11
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,2,1,3
LA ASUNTA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,6,2,8
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,19,30,49
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,208,569,777
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,1,4,5
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,14,13,27
LAS CARRERAS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,4,7,11
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,6,11,17
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,4,9,13
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,5,12,17
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,5,6,11
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,6,11,17
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,12,9,21
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,13,18,31
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,26,42,68
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,1,0,1
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,1,2,3
NUEVO MANOA (NUEVA ESPERANZA),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,1,0,1
OCURI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,1,4,5
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,73,125,198
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,1,2,3
PAPEL PAMPA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,16,31,47
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,1,9,10
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,9,11,20
POROMA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,4,3,7
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,5,8,13
PORVENIR,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,5,3,8
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,39,58,97
PRESTO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,6,20,26
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,25,35,60
PUERTO ACOSTA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,6,27,33
PUERTO CARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,18,15,33
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,6,3,9
PUERTO PEREZ,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,27,49,76
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,1,3,4
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,0,3,3
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,26,45,71
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,6,13,19
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,9,28,37
QUIRUSILLAS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,1,1,2
REYES,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,5,5,10
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,6,7,13
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,14,11,25
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,4,6,10
SABAYA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,7,10,17
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,12,10,22
SACACA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,0,3,3
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,3,7,10
SALINAS DE GARCI MENDOZA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,10,13,23
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,6,1,7
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,61,5,66
SAN ANDRES DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,4,5,9
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,1,4,5
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,6,19,25
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,8,21,29
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,7,11,18
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,14,36,50
SAN JAVIER(BNI),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,0,1,1
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,13,13,26
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,3,4,7
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,43,71,114
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,11,19,30
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,4,6,10
SAN PABLO DE LIPEZ,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,2,4,6
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,11,2,13
SAN PEDRO DE QUEMES,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,2,6,8
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,4,4,8
SAN RAMON SCZ,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,1,2,3
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,13,33,46
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,304,703,1007
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,20,13,33
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,5,5,10
SANTIAGO DE CALLAPA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,0,1,1
SANTIAGO DE HUARI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,4,2,6
SANTIAGO DE HUATA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,3,6,9
SANTUARIO DE QUILLACAS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,0,3,3
SAPAHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,50,48,98
SENA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,10,7,17
SICA SICA (VILLA AROMA),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,15,23,38
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,1,1,2
SORACACHI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,1,1,2
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,7,9,16
TACACOMA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,5,7,12
TACOBAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,1,3,4
TAHUA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,3,0,3
TAPACARI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,30,20,50
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,21,24,45
TARACO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,7,8,15
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,10,22,32
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,48,82,130
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,14,29,43
TIAWANACU,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,13,14,27
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,5,5,10
TITO YUPANQUI (PARQUIPUJIO),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,0,1,1
TOCO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,2,0,2
TODOS SANTOS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,0,1,1
TOLEDO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,1,2,3
TOMAVE,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,14,18,32
TORO TORO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,1,5,6
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,0,1,1
TOTORA(ORR),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,0,2,2
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,19,49,68
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,2,0,2
UMALA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,5,6,11
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,10,18,28
URUBICHA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,2,2,4
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,5,6,11
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,3,3,6
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,44,67,111
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,1,11,12
VILLA NUEVA (LOMA ALTA),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,4,5,9
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,2,6,8
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,2,5,7
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,5,9,14
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,3,6,9
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,11,1,12
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,75,29,104
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,4,1,5
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,10,1,11
YOTALA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,5,13,18
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,3,2,5
YUNGUYO DE LITORAL,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,1,0,1
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,3,5,8
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,8,1,9
ACHOCALLA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,3,11,14
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,10,7,17
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,0,1,1
ANDAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,3,2,5
ANTEQUERA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,7,2,9
ARAMPAMPA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,0,2,2
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,4,3,7
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,6,17,23
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,18,15,33
AYATA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,1,4,5
AYO AYO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,14,19,33
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,25,48,73
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,0,1,1
BAURES,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,12,21,33
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,24,51,75
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,12,54,66
BOLIVAR,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,1,1,2
BOLPEBRA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,0,1,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,6,9,15
