,group,variable,month,L 17.4 PENTAVALENTE 3RA. DOSIS,L 17.4 PENTAVALENTE 3RA. DOSIS,TOTALES
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,21,24,45
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,3,2,5
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,1,0,1
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,3,1,4
SAN PEDRO(PND),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,0,2,2
SAN RAFAEL,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,15,2,17
SAN RAMON BENI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,2,5,7
SAN RAMON SCZ,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,17,1,18
SANTA ANA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,31,0,31
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,2297,51,2348
SANTA ROSA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,23,2,25
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,27,4,31
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,2,1,3
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,8,2,10
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,7,12,19
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,1,0,1
SANTIVAÑES,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,5,1,6
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,7,2,9
SAPAHAQUI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,8,6,14
SENA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,3,0,3
SHINAOTA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,62,4,66
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,19,9,28
SICAYA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,3,4,7
SIPE SIPE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,89,1,90
SOPACHUY,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,7,1,8
SORACACHI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,7,0,7
SORATA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,9,10,19
SUCRE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,474,10,484
TACACHI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,2,0,2
TACACOMA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,10,8,18
TACOBAMBA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,11,6,17
TACOPAYA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,16,6,22
TAHUA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,2,0,2
TAPACARI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,40,29,69
TARABUCO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,9,4,13
TARACO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,3,3,6
TARATA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,18,0,18
TARIJA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,317,12,329
TARVITA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,8,9,17
TEOPONTE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,14,7,21
TIAWANACU,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,12,17,29
TINGUIPAYA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,19,7,26
TIPUANI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,13,2,15
TIQUIPAYA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,113,21,134
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,29,20,49
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,1,1,2
TOCO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,6,4,10
TODOS SANTOS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,2,0,2
TOLATA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,8,0,8
TOLEDO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,5,0,5
TOMAVE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,10,6,16
TOMINA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,16,6,22
TORO TORO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,10,3,13
TOTORA(CBBA),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,11,5,16
TOTORA(ORR),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,5,4,9
TRIGAL,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,1,0,1
TRINIDAD,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,237,8,245
TUPIZA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,89,13,102
TURCO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,8,2,10
UMALA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,5,11,16
UNCIA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,16,4,20
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,16,2,18
URUBICHA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,2,12,14
UYUNI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,29,2,31
VACAS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,8,16,24
VALLEGRANDE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,26,4,30
VIACHA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,100,6,106
VILA VILA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,6,3,9
VILLA CHARCAS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,15,9,24
VILLA MONTES,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,65,7,72
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,1,5,6
VILLA RIVERO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,10,4,14
VILLA SERRANO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,18,6,24
VILLA TUNARI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,165,16,181
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,16,0,16
VILLAZON,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,70,11,81
VINTO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,92,0,92
VITICHI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,12,7,19
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,5,0,5
WARNES,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,140,20,160
YACO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,3,6,9
YACUIBA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,108,1,109
YAMPARAEZ,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,7,4,11
YANACACHI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,8,4,12
YAPACANI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,70,5,75
YOCALLA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,3,4,7
YOTALA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,5,1,6
YUNCHARA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,1,5,6
ZUDAÑEZ,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,5,8,13
ACACIO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,4,3,7
ACHACACHI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,45,25,70
ACHOCALLA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,10,10,20
AIQUILE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,31,12,43
ALALAY,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,1,4,5
ALCALA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,3,1,4
ALTO BENI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,18,0,18
ANCORAIMES,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,15,8,23
ANTEQUERA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,2,1,3
ANZALDO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,8,5,13
APOLO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,10,17,27
ARAMPAMPA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,5,3,8
ARANI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,21,3,24
ARBIETO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,12,15,27
ARQUE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,25,7,32
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,43,0,43
ATOCHA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,12,3,15
AUCAPATA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,4,2,6
AYATA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,6,6,12
AYO AYO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,5,8,13
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,33,16,49
AZURDUY,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,8,6,14
BATALLAS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,26,7,33
BELLA FLOR,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,0,5,5
BERMEJO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,60,10,70
BETANZOS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,28,8,36
BOLIVAR,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,3,8,11
BOLPEBRA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,2,0,2
BOYUIBE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,9,2,11
BUENA VISTA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,11,14,25
CABEZAS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,24,4,28
CAIROMA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,9,4,13
"CAIZA ""D""",vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,7,3,10
CAJUATA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,16,4,20
CALACOTO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,5,3,8
CALAMARCA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,15,10,25
CAMARGO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,11,5,16
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,4,1,5
CAMIRI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,54,11,65
CAPINOTA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,40,0,40
CAQUIAVIRI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,5,8,13
CARACOLLO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,16,12,28
CARANAVI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,66,55,121
CARAPARI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,20,10,30
CARIPUYO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,3,9,12
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,3,5,8
CATACORA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,2,0,2
CHALLAPATA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,31,13,44
CHAQUI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,11,0,11
CHARAGUA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,3,18,21
CHARAÑA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,3,0,3
CHAYANTA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,15,14,29
CHIMORE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,44,9,53
CHIPAYA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,4,0,4
CHOQUE COTA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,9,14,23
CHUMA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,7,7,14
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,7,1,8
CKOCHAS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,19,11,30
CLIZA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,27,8,35
COBIJA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,80,9,89
COCAPATA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,19,33,52
COCHABAMBA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,1137,6,1143
COIPASA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,0,1,1
COLCAPIRHUA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,80,6,86
"COLCHA ""K""",vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,10,3,13
COLOMI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,41,11,52
COLPA BELGICA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,11,2,13
COLQUECHACA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,20,34,54
COLQUENCHA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,24,0,24
COLQUIRI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,23,18,41
COMANCHE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,1,0,1
COMARAPA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,36,3,39
COMBAYA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,1,3,4
CONCEPCION,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,39,6,45
COPACABANA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,12,12,24
CORIPATA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,26,5,31
CORO CORO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,6,2,8
COROICO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,11,5,16
CORQUE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,4,2,6
COTAGAITA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,19,10,29
COTOCA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,118,17,135
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,23,7,30
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,1,0,1
CUEVO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,2,2,4
CULPINA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,10,8,18
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,4,0,4
CURVA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,0,1,1
DESAGUADERO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,3,0,3
EL ALTO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,1295,91,1386
EL CHORO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,8,3,11
EL PUENTE(STC),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,28,2,30
EL PUENTE(TJA),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,15,4,19
EL TORNO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,88,4,92
EL VILLAR,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,4,2,6
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,32,8,40
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,60,13,73
ESCOMA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,7,1,8
EUCALIPTUS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,6,2,8
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,1,2,3
EXALTACION,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,5,0,5
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,22,2,24
FILADELFIA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,2,9,11
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,27,7,34
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,10,10,20
GUANAY,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,15,12,27
GUAQUI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,4,3,7
GUAYARAMERIN,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,95,11,106
GUTIERREZ,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,21,10,31
HUACARETA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,12,5,17
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,0,6,6
HUANUNI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,38,0,38
HUARACAJE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,5,1,6
HUARINA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,1,2,3
HUAYLLAMARCA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,4,3,7
HUMANATA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,2,4,6
ICHOCA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,7,5,12
ICLA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,8,12,20
INCAHUASI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,10,2,12
INQUISIVI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,6,8,14
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,4,4,8
IXIAMAS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,16,0,16
JESUS DE MACHACA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,17,1,18
LA ASUNTA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,79,11,90
