,group,variable,month,L 23.1 N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,L 23.1 N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,TOTALES
VILLAZON,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,8,9,17
WALDO BALLIVIAN,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,0,1
WARNES,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,25,24,49
YACUIBA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,54,64,118
YAMPARAEZ,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,3,4
YANACACHI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,3,2,5
YAPACANI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,41,61,102
YOCALLA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,0,3,3
YOTALA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,4,5
YUNCHARA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,2,3
ZUDAÑEZ,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,3,3,6
ACACIO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,0,1,1
ACHACACHI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,13,7,20
AIQUILE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,6,5,11
ALALAY,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,1,0,1
ALCALA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,1,1,2
ALTO BENI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,1,0,1
ANCORAIMES,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,2,1,3
ANDAMARCA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,0,1,1
ARANI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,1,3,4
ARBIETO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,6,2,8
ARQUE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,4,1,5
ASCENCION DE GUARAYOS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,7,5,12
AUCAPATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,1,1,2
AYATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,2,1,3
AYO AYO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,5,3,8
BATALLAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,2,4,6
BAURES,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,1,0,1
BELEN DE ANDAMARCA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,1,0,1
BELEN DE URMIRI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,1,0,1
BERMEJO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,18,11,29
BETANZOS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,2,4,6
BOLIVAR,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,2,1,3
BUENA VISTA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,6,4,10
CABEZAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,8,5,13
CAIROMA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,1,1,2
"CAIZA ""D""",tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,0,3,3
CAJUATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,2,3,5
CALACOTO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,1,0,1
CALAMARCA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,4,3,7
CAMARGO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,9,7,16
CAMIRI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,9,3,12
CAPINOTA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,8,9,17
CAQUIAVIRI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,2,1,3
CARACOLLO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,3,3,6
CARANAVI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,46,21,67
CARAPARI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,2,1,3
CARIPUYO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,1,2,3
CARMEN RIVERO TORREZ,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,1,0,1
CATACORA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,1,2,3
CHALLAPATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,5,7,12
CHAQUI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,0,1,1
CHARAGUA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,4,2,6
CHAYANTA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,4,3,7
CHIMORE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,7,6,13
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,11,8,19
CHUMA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,5,5,10
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,2,0,2
CKOCHAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,1,1,2
CLIZA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,7,9,16
COBIJA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,19,16,35
COCHABAMBA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,186,195,381
COLCAPIRHUA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,16,17,33
"COLCHA ""K""",tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,0,1,1
COLLANA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,1,1,2
COLOMI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,0,4,4
COLPA BELGICA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,2,2,4
COLQUECHACA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,10,8,18
COLQUENCHA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,2,0,2
COLQUIRI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,7,4,11
COMANCHE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,1,0,1
COMARAPA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,4,4,8
CONCEPCION,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,8,3,11
COPACABANA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,1,1,2
CORIPATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,11,8,19
CORO CORO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,0,2,2
COROICO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,6,7,13
CORQUE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,1,0,1
COTAGAITA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,2,9,11
COTOCA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,16,10,26
CUATRO CAÑADAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,18,14,32
CUEVO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,1,2,3
CULPINA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,2,4,6
CURAHUARA DE CARANGAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,0,1,1
CURVA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,0,1,1
DESAGUADERO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,2,0,2
EL ALTO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,254,199,453
EL CHORO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,2,2,4
EL PUENTE(STC),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,1,1,2
EL PUENTE(TJA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,1,1,2
EL TORNO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,29,21,50
EL VILLAR,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,0,2,2
ENTRE RIOS TRJ,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,9,5,14
ENTRE RIOS CBBA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,16,9,25
ESCOMA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,1,0,1
EUCALIPTUS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,2,3,5
FERNANDEZ ALONSO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,5,9,14
GENERAL SAAVEDRA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,5,2,7
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,2,1,3
GUANAY,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,11,6,17
GUAQUI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,12,12,24
GUTIERREZ,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,0,4,4
HUACARETA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,1,0,1
HUACHACALLA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,3,2,5
HUANUNI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,8,5,13
HUARACAJE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,1,1,2
HUARINA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,0,2,2
HUMANATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,1,1,2
ICLA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,1,6,7
INCAHUASI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,2,1,3
INQUISIVI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,4,1,5
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,6,3,9
IXIAMAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,0,1,1
JESUS DE MACHACA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,3,1,4
LA ASUNTA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,33,22,55
LA GUARDIA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,15,11,26
LA PAZ,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,374,328,702
LAGUNILLAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,1,2,3
LAJA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,3,1,4
LAS CARRERAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,1,3,4
LICOMA PAMPA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,1,1,2
LLALLAGUA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,18,6,24
LURIBAY,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,0,1,1
MAIRANA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,2,3,5
MAPIRI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,5,2,7
MINEROS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,6,6,12
MIZQUE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,3,3,6
MOCOMOCO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,1,1,2
MOJOCOYA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,0,5,5
MONTEAGUDO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,10,21,31
MONTERO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,66,41,107
MORO MORO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,1,1,2
MOROCHATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,4,3,7
NACEBE (SANTA ROSA DEL ABUNA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,2,0,2
OCURI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,1,1,2
OKINAWA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,6,7,13
OMEREQUE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,3,0,3
ORURO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,81,61,142
PADCAYA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,3,6,9
PADILLA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,2,7,9
PAILON,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,8,14,22
PALCA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,2,1,3
PALOS BLANCOS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,7,5,12
PAMPA AULLAGAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,4,1,5
PAMPA GRANDE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,1,1,2
PATACAMAYA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,4,3,7
PAZÑA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,1,1,2
PELECHUCO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,2,2,4
POCOATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,5,2,7
POCONA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,2,1,3
POJO (CBBA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,3,2,5
PORCO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,3,9,12
POROMA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,6,2,8
PORONGO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,1,1,2
PORTACHUELO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,5,7,12
POSTRER VALLE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,1,0,1
POTOSI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,61,23,84
PRESTO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,1,8,9
PUCARANI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,2,1,3
PUERTO CARABUCO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,5,4,9
PUERTO GONZALO MORENO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,1,1,2
PUERTO PEREZ,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,3,1,4
PUERTO QUIJARRO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,0,1,1
PUERTO RICO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,7,1,8
PUERTO SUAREZ,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,3,1,4
PUERTO VILLARROEL,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,21,33,54
PUNA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,0,4,4
PUNATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,6,2,8
QUIABAYA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,1,2,3
QUILLACOLLO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,26,33,59
QUIME,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,1,1,2
RAVELO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,0,1,1
RIBERALTA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,22,30,52
ROBORE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,7,6,13
RURRENABAQUE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,6,8,14
SACABA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,16,31,47
SACACA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,3,2,5
SALINAS DE GARCI MENDOZA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,1,1,2
SAMAIPATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,7,2,9
SAN ANDRES,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,1,0,1
SAN ANDRES DE MACHACA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,1,0,1
SAN BENITO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,2,2,4
SAN BORJA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,11,11,22
SAN BUENA VENTURA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,2,1,3
SAN CARLOS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,7,4,11
SAN IGNACIO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,8,5,13
SAN IGNACIO DE VELASCO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,10,2,12
SAN JAVIER(STC),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,6,3,9
SAN JOAQUIN,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,3,1,4
SAN JUAN DE YAPACANI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,5,3,8
SAN JULIAN,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,22,28,50
SAN LORENZO(PND),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,3,0,3
SAN LORENZO(TJA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,2,1,3
SAN LUCAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,11,6,17
SAN MIGUEL DE VELASCO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,3,1,4
SAN PEDRO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,8,7,15
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,7,7,14
SAN PEDRO DE TIQUINA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,5,1,6
SAN RAFAEL,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,3,0,3
SAN RAMON SCZ,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,2,4,6
SANTA ANA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,2,3,5
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,328,325,653
SANTA ROSA DEL SARA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,1,3,4
SANTIAGO DE HUARI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,4,4,8
SANTIAGO DE HUATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,3,2,5
SANTIAGO DE MACHACA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,3,1,4
SANTIVAÑES,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,2,0,2
SANTUARIO DE QUILLACAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,0,1,1
SAPAHAQUI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,1,1,2
SENA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-02-01,3,2,5
