,group,variable,month,L 23.5 TRATAMIENTOS INICIADOS CON ESQUEMA L CANTIDAD,L 23.5 TRATAMIENTOS INICIADOS CON ESQUEMA L CANTIDAD,TOTALES
INQUISIVI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,0,1,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,1,0,1
JESUS DE MACHACA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,1,0,1
LA ASUNTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,5,0,5
LA GUARDIA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,3,5,8
LA PAZ,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,75,51,126
MAIRANA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,0,1,1
MINEROS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,2,0,2
MIZQUE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,2,2,4
MONTEAGUDO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,1,0,1
MONTERO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,8,6,14
OKINAWA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,0,1,1
ORURO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,10,6,16
PAILON,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,0,2,2
PALCA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,2,3,5
PAMPA GRANDE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,0,1,1
POROMA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,1,0,1
PORONGO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,1,1,2
PORTACHUELO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,0,2,2
PORVENIR,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,0,1,1
POTOSI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,14,6,20
PUERTO ACOSTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,1,0,1
PUERTO RICO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,1,0,1
PUERTO SUAREZ,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,3,1,4
PUERTO VILLARROEL,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,1,5,6
PUNATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,3,5,8
QUIRUSILLAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,0,1,1
RIBERALTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,0,2,2
ROBORE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,1,0,1
RURRENABAQUE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,2,1,3
SACABA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,7,3,10
SAMAIPATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,0,1,1
SAN BENITO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,1,0,1
SAN BORJA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,0,2,2
SAN CARLOS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,2,1,3
SAN IGNACIO DE VELASCO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,1,0,1
SAN JAVIER(BNI),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,0,1,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,1,0,1
SAN JULIAN,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,3,1,4
SAN LORENZO(TJA),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,1,0,1
SAN LUCAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,6,0,6
SAN MATIAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,2,0,2
SAN MIGUEL DE VELASCO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,1,0,1
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,1,0,1
SAN RAMON BENI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,1,0,1
SAN RAMON SCZ,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,107,80,187
SANTA ROSA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,1,0,1
SANTA ROSA DEL SARA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,0,1,1
SANTIVAÑES,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,1,1,2
SANTUARIO DE QUILLACAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,1,0,1
SHINAOTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,3,1,4
SICA SICA (VILLA AROMA),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,2,0,2
SIPE SIPE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,2,3,5
SORATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,4,0,4
SUCRE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,6,3,9
TARATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,1,0,1
TARIJA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,8,12,20
TEOPONTE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,2,0,2
TIPUANI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,2,0,2
TIQUIPAYA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,1,1,2
TOCO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,1,0,1
TORO TORO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,1,0,1
TRINIDAD,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,5,5,10
TUPIZA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,1,1,2
VIACHA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,1,0,1
VILLA MONTES,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,6,1,7
VILLA TUNARI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,6,5,11
VILLAZON,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,0,2,2
VINTO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,2,1,3
VITICHI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,0,1,1
WARNES,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,6,3,9
YACUIBA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,4,4,8
YAPACANI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,3,5,8
ACHACACHI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,4,0,4
AIQUILE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,0,1,1
ALTO BENI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,1,0,1
APOLO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,2,0,2
ASCENCION DE GUARAYOS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,1,2,3
ATOCHA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,1,0,1
AUCAPATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,1,0,1
BERMEJO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,1,3,4
BOLIVAR,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,1,0,1
BUENA VISTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,1,0,1
CABEZAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,1,0,1
CALAMARCA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,2,0,2
CAMARGO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,1,0,1
CAMATAQUI (C. VILLA ABECIA),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,1,0,1
CAMIRI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,1,3,4
CARANAVI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,12,5,17
CHALLAPATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,2,0,2
CHIMORE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,2,1,3
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,6,2,8
CLIZA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,1,0,1
COBIJA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,3,2,5
COCHABAMBA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,13,9,22
"COLCHA ""K""",tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,1,1,2
COLQUECHACA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,0,1,1
CORIPATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,2,0,2
COROICO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,2,1,3
COTOCA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,5,4,9
CUATRO CAÑADAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,0,3,3
CULPINA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,2,0,2
EL ALTO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,45,16,61
EL TORNO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,7,3,10
ENTRE RIOS TRJ,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,5,1,6
GENERAL SAAVEDRA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,0,1,1
GUANAY,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,2,0,2
GUAYARAMERIN,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,3,2,5
HUANUNI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,1,0,1
INCAHUASI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,0,1,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,0,2,2
IXIAMAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,1,0,1
LA ASUNTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,1,0,1
LA GUARDIA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,5,4,9
LA PAZ,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,84,43,127
LAJA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,1,0,1
LAS CARRERAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,1,0,1
LICOMA PAMPA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,1,0,1
LLALLAGUA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,3,0,3
MAIRANA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,1,0,1
MECAPACA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,0,1,1
MONTERO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,7,2,9
NUEVO MANOA (NUEVA ESPERANZA),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,0,1,1
OCURI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,1,0,1
ORURO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,7,3,10
PADILLA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,1,0,1
PAILON,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,0,2,2
PALOS BLANCOS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,5,0,5
POCONA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,0,1,1
PORCO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,1,0,1
POROMA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,0,1,1
PORONGO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,0,1,1
POTOSI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,11,5,16
PUCARANI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,1,0,1
PUERTO SUAREZ,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,0,3,3
PUERTO VILLARROEL,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,6,2,8
QUILLACOLLO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,4,5,9
RIBERALTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,5,3,8
RURRENABAQUE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,1,1,2
SACABA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,6,1,7
SACACA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,1,0,1
SAN BENITO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,1,3,4
SAN BORJA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,4,0,4
SAN BUENA VENTURA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,0,1,1
SAN CARLOS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,2,0,2
SAN JUAN DE YAPACANI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,0,1,1
SAN JULIAN,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,3,0,3
SAN LORENZO(TJA),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,0,1,1
SAN LUCAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,3,0,3
SAN PEDRO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,1,1,2
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,83,43,126
SANTA ROSA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,0,1,1
SANTA ROSA DEL SARA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,0,1,1
SHINAOTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,2,0,2
SICA SICA (VILLA AROMA),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,1,0,1
SIPE SIPE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,0,1,1
SORATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,2,0,2
SUCRE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,8,4,12
TACACOMA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,1,0,1
TACOBAMBA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,0,1,1
TARABUCO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,1,0,1
TARIJA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,9,9,18
TEOPONTE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,2,0,2
TIPUANI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,3,2,5
TIQUIPAYA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,2,2,4
TIRAQUE (CBBA),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,1,0,1
TRINIDAD,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,7,2,9
TUPIZA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,1,0,1
UNCIA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,2,0,2
URUBICHA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,1,0,1
UYUNI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,1,0,1
VIACHA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,2,0,2
VILLA CHARCAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,0,1,1
VILLA MONTES,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,4,1,5
VILLA TUNARI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,3,3,6
VILLAZON,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,1,0,1
VINTO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,2,1,3
VITICHI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,1,0,1
WARNES,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,4,2,6
YACUIBA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,4,3,7
YANACACHI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,1,0,1
YAPACANI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,2,5,7
YUNCHARA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,0,1,1
ZUDAÑEZ,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-11-01,1,0,1
ALTO BENI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,0,1,1
ARAMPAMPA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,1,2,3
AUCAPATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,3,0,3
BERMEJO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,3,0,3
BUENA VISTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,0,1,1
CABEZAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,3,0,3
"CAIZA ""D""",tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,1,0,1
CAJUATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,1,1,2
CALAMARCA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,1,1,2
CAMIRI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,2,0,2
CAPINOTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,5,0,5
CAQUIAVIRI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,0,1,1
CARANAVI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,2,0,2
CHALLAPATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,1,1,2
CHARAGUA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,1,0,1
CHIMORE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,2,1,3
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,1,0,1
CLIZA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,1,0,1
COBIJA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,3,2,5
COCHABAMBA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,16,6,22
COLCAPIRHUA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,2,0,2
COMBAYA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,1,0,1
COPACABANA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,1,0,1
CORIPATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,1,1,2
COROICO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,1,2,3
CUATRO CAÑADAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,0,1,1
CURVA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,0,1,1
EL ALTO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,32,21,53
EL PUENTE(STC),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,0,1,1
EL TORNO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,4,3,7
ENTRE RIOS TRJ,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,0,2,2
ESCOMA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,1,0,1
GENERAL SAAVEDRA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,1,0,1
GUANAY,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,2,0,2
GUAYARAMERIN,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,4,4,8
HUACAYA (VILLA DE HUACAYA),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,1,0,1
HUANUNI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,3,1,4
HUMANATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,1,1,2
LA ASUNTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,2,3,5
LA GUARDIA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,3,1,4
LA PAZ,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,64,43,107
LLALLAGUA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,2,1,3
LURIBAY,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,1,0,1
MINEROS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,0,1,1
MIZQUE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,0,1,1
MONTEAGUDO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,2,0,2
MONTERO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,7,7,14
OKINAWA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,1,1,2
ORURO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,6,3,9
PADCAYA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,3,0,3
PAILON,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,2,0,2
PALOS BLANCOS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,2,0,2
PORONGO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,2,1,3
PORTACHUELO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,2,1,3
PORVENIR,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,1,0,1
POTOSI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,9,3,12
PRESTO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,2,0,2
PUCARANI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,2,0,2
PUERTO GONZALO MORENO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,0,1,1
