,group,variable,month,TALLA BAJA < DE 1 AÑO,TALLA BAJA < DE 1 AÑO,TALLA BAJA 1 A MENOR DE 2 AÑOS,TALLA BAJA 1 A MENOR DE 2 AÑOS,TALLA BAJA 2 A MENOR DE 5 AÑOS,TALLA BAJA 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
VILLA RIVERO,estado nutricional,talla baja,2010-01-01,3,5,9,3,5,5,17,13,30
VILLA SERRANO,estado nutricional,talla baja,2010-01-01,12,7,34,11,71,50,117,68,185
VILLA TUNARI,estado nutricional,talla baja,2010-01-01,15,23,43,39,59,57,117,119,236
VILLA VACA GUZMAN (MUYUPAMPA),estado nutricional,talla baja,2010-01-01,4,3,4,3,19,15,27,21,48
VILLAZON,estado nutricional,talla baja,2010-01-01,23,20,38,33,28,21,89,74,163
VINTO,estado nutricional,talla baja,2010-01-01,19,10,24,16,16,15,59,41,100
VITICHI,estado nutricional,talla baja,2010-01-01,6,4,14,11,27,26,47,41,88
WALDO BALLIVIAN,estado nutricional,talla baja,2010-01-01,2,0,6,3,2,3,10,6,16
WARNES,estado nutricional,talla baja,2010-01-01,1,3,6,4,4,4,11,11,22
YACO,estado nutricional,talla baja,2010-01-01,6,6,13,5,15,15,34,26,60
YACUIBA,estado nutricional,talla baja,2010-01-01,26,25,27,18,37,52,90,95,185
YAMPARAEZ,estado nutricional,talla baja,2010-01-01,6,2,15,13,70,60,91,75,166
YANACACHI,estado nutricional,talla baja,2010-01-01,1,1,2,2,2,0,5,3,8
YAPACANI,estado nutricional,talla baja,2010-01-01,3,4,14,15,23,18,40,37,77
YOCALLA,estado nutricional,talla baja,2010-01-01,13,6,14,6,18,9,45,21,66
YOTALA,estado nutricional,talla baja,2010-01-01,1,6,13,7,32,27,46,40,86
YUNCHARA,estado nutricional,talla baja,2010-01-01,8,6,21,20,48,28,77,54,131
ZUDAÑEZ,estado nutricional,talla baja,2010-01-01,8,5,19,11,50,53,77,69,146
ACACIO,estado nutricional,talla baja,2010-02-01,12,15,23,25,31,26,66,66,132
ACHACACHI,estado nutricional,talla baja,2010-02-01,16,8,9,8,17,19,42,35,77
ACHOCALLA,estado nutricional,talla baja,2010-02-01,3,1,11,5,4,4,18,10,28
AIQUILE,estado nutricional,talla baja,2010-02-01,11,4,19,17,43,36,73,57,130
ALALAY,estado nutricional,talla baja,2010-02-01,6,4,10,10,17,9,33,23,56
ALCALA,estado nutricional,talla baja,2010-02-01,6,2,5,4,25,25,36,31,67
ALTO BENI,estado nutricional,talla baja,2010-02-01,0,1,4,3,1,5,5,9,14
ANCORAIMES,estado nutricional,talla baja,2010-02-01,5,4,15,16,20,21,40,41,81
ANDAMARCA,estado nutricional,talla baja,2010-02-01,2,4,26,3,22,19,50,26,76
ANTEQUERA,estado nutricional,talla baja,2010-02-01,3,0,2,1,1,2,6,3,9
ANZALDO,estado nutricional,talla baja,2010-02-01,9,9,9,11,6,6,24,26,50
APOLO,estado nutricional,talla baja,2010-02-01,5,1,5,9,9,11,19,21,40
ARAMPAMPA,estado nutricional,talla baja,2010-02-01,11,4,8,8,16,15,35,27,62
ARANI,estado nutricional,talla baja,2010-02-01,0,3,7,2,14,15,21,20,41
ARBIETO,estado nutricional,talla baja,2010-02-01,2,0,10,4,7,10,19,14,33
ARQUE,estado nutricional,talla baja,2010-02-01,17,12,36,23,28,22,81,57,138
ASCENCION DE GUARAYOS,estado nutricional,talla baja,2010-02-01,9,15,32,28,45,54,86,97,183
ATOCHA,estado nutricional,talla baja,2010-02-01,7,2,11,11,9,5,27,18,45
AUCAPATA,estado nutricional,talla baja,2010-02-01,5,3,3,6,9,6,17,15,32
AYATA,estado nutricional,talla baja,2010-02-01,12,5,18,12,18,12,48,29,77
AYO AYO,estado nutricional,talla baja,2010-02-01,18,9,16,8,5,10,39,27,66
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,talla baja,2010-02-01,20,8,23,23,10,21,53,52,105
AZURDUY,estado nutricional,talla baja,2010-02-01,13,16,34,30,92,82,139,128,267
BATALLAS,estado nutricional,talla baja,2010-02-01,4,5,14,10,12,12,30,27,57
BAURES,estado nutricional,talla baja,2010-02-01,2,0,2,3,5,3,9,6,15
BELEN DE ANDAMARCA,estado nutricional,talla baja,2010-02-01,2,0,0,1,2,3,4,4,8
BELEN DE URMIRI,estado nutricional,talla baja,2010-02-01,0,0,2,3,7,4,9,7,16
BELLA FLOR,estado nutricional,talla baja,2010-02-01,3,0,1,4,3,3,7,7,14
BERMEJO,estado nutricional,talla baja,2010-02-01,2,0,7,2,2,0,11,2,13
BETANZOS,estado nutricional,talla baja,2010-02-01,45,28,76,59,86,90,207,177,384
BOLIVAR,estado nutricional,talla baja,2010-02-01,13,13,28,20,41,27,82,60,142
BOLPEBRA,estado nutricional,talla baja,2010-02-01,1,3,2,2,3,6,6,11,17
BUENA VISTA,estado nutricional,talla baja,2010-02-01,2,3,1,5,5,1,8,9,17
CABEZAS,estado nutricional,talla baja,2010-02-01,2,1,4,1,7,5,13,7,20
CAIROMA,estado nutricional,talla baja,2010-02-01,7,3,9,7,10,24,26,34,60
"CAIZA ""D""",estado nutricional,talla baja,2010-02-01,11,3,17,10,11,11,39,24,63
CAJUATA,estado nutricional,talla baja,2010-02-01,2,0,3,2,1,4,6,6,12
CALACOTO,estado nutricional,talla baja,2010-02-01,3,2,5,5,6,10,14,17,31
CALAMARCA,estado nutricional,talla baja,2010-02-01,5,7,20,12,18,13,43,32,75
CAMARGO,estado nutricional,talla baja,2010-02-01,16,10,28,23,65,68,109,101,210
CAMATAQUI (C. VILLA ABECIA),estado nutricional,talla baja,2010-02-01,2,0,8,3,9,4,19,7,26
CAMIRI,estado nutricional,talla baja,2010-02-01,6,3,7,6,16,25,29,34,63
CAPINOTA,estado nutricional,talla baja,2010-02-01,13,5,41,30,26,14,80,49,129
CAQUIAVIRI,estado nutricional,talla baja,2010-02-01,9,4,10,8,16,13,35,25,60
CARACOLLO,estado nutricional,talla baja,2010-02-01,17,2,31,22,12,15,60,39,99
CARANAVI,estado nutricional,talla baja,2010-02-01,18,31,46,38,48,46,112,115,227
CARANGAS,estado nutricional,talla baja,2010-02-01,0,1,1,0,0,0,1,1,2
CARAPARI,estado nutricional,talla baja,2010-02-01,9,3,7,4,8,5,24,12,36
CARIPUYO,estado nutricional,talla baja,2010-02-01,18,11,34,23,60,53,112,87,199
CARMEN RIVERO TORREZ,estado nutricional,talla baja,2010-02-01,1,4,2,1,0,0,3,5,8
CATACORA,estado nutricional,talla baja,2010-02-01,3,0,1,1,4,1,8,2,10
CHACARILLA,estado nutricional,talla baja,2010-02-01,1,1,0,0,0,1,1,2,3
CHALLAPATA,estado nutricional,talla baja,2010-02-01,26,14,52,28,39,25,117,67,184
CHAQUI,estado nutricional,talla baja,2010-02-01,6,5,9,7,7,5,22,17,39
CHARAGUA,estado nutricional,talla baja,2010-02-01,13,13,13,12,9,16,35,41,76
CHAYANTA,estado nutricional,talla baja,2010-02-01,25,16,37,35,40,49,102,100,202
CHIMORE,estado nutricional,talla baja,2010-02-01,2,2,3,8,11,13,16,23,39
CHIPAYA,estado nutricional,talla baja,2010-02-01,3,0,5,1,2,8,10,9,19
CHOQUE COTA,estado nutricional,talla baja,2010-02-01,0,0,1,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,talla baja,2010-02-01,3,4,3,7,6,5,12,16,28
CHUMA,estado nutricional,talla baja,2010-02-01,8,5,15,12,26,28,49,45,94
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,talla baja,2010-02-01,6,6,13,6,11,7,30,19,49
CLIZA,estado nutricional,talla baja,2010-02-01,4,5,8,6,3,2,15,13,28
COBIJA,estado nutricional,talla baja,2010-02-01,16,7,17,12,15,10,48,29,77
COCAPATA,estado nutricional,talla baja,2010-02-01,17,13,33,19,13,27,63,59,122
COCHABAMBA,estado nutricional,talla baja,2010-02-01,48,53,86,66,59,59,193,178,371
COIPASA,estado nutricional,talla baja,2010-02-01,0,0,1,0,0,0,1,0,1
COLCAPIRHUA,estado nutricional,talla baja,2010-02-01,8,10,12,4,11,3,31,17,48
"COLCHA ""K""",estado nutricional,talla baja,2010-02-01,8,2,6,8,8,9,22,19,41
COLLANA,estado nutricional,talla baja,2010-02-01,3,2,5,3,3,0,11,5,16
COLOMI,estado nutricional,talla baja,2010-02-01,12,13,22,17,20,19,54,49,103
COLPA BELGICA,estado nutricional,talla baja,2010-02-01,1,3,0,0,0,1,1,4,5
COLQUECHACA,estado nutricional,talla baja,2010-02-01,52,51,95,88,41,57,188,196,384
COLQUENCHA,estado nutricional,talla baja,2010-02-01,16,8,9,11,15,6,40,25,65
COLQUIRI,estado nutricional,talla baja,2010-02-01,15,10,18,7,26,33,59,50,109
COMANCHE,estado nutricional,talla baja,2010-02-01,5,2,2,2,6,7,13,11,24
COMARAPA,estado nutricional,talla baja,2010-02-01,3,1,6,13,8,9,17,23,40
COMBAYA,estado nutricional,talla baja,2010-02-01,1,2,2,1,0,1,3,4,7
COPACABANA,estado nutricional,talla baja,2010-02-01,5,5,9,6,8,3,22,14,36
CORIPATA,estado nutricional,talla baja,2010-02-01,2,0,2,3,3,4,7,7,14
CORO CORO,estado nutricional,talla baja,2010-02-01,2,5,4,1,6,2,12,8,20
COROICO,estado nutricional,talla baja,2010-02-01,3,3,10,8,12,19,25,30,55
CORQUE,estado nutricional,talla baja,2010-02-01,3,0,5,2,3,6,11,8,19
COTAGAITA,estado nutricional,talla baja,2010-02-01,14,9,24,11,18,19,56,39,95
COTOCA,estado nutricional,talla baja,2010-02-01,12,9,6,12,12,6,30,27,57
CUEVO,estado nutricional,talla baja,2010-02-01,9,5,2,4,7,4,18,13,31
CULPINA,estado nutricional,talla baja,2010-02-01,13,12,29,25,35,49,77,86,163
CURAHUARA DE CARANGAS,estado nutricional,talla baja,2010-02-01,4,4,16,8,6,8,26,20,46
CURVA,estado nutricional,talla baja,2010-02-01,2,1,5,6,11,5,18,12,30
DESAGUADERO,estado nutricional,talla baja,2010-02-01,1,2,2,2,1,2,4,6,10
EL ALTO,estado nutricional,talla baja,2010-02-01,430,215,567,352,310,279,1307,846,2153
EL CHORO,estado nutricional,talla baja,2010-02-01,1,3,2,2,6,3,9,8,17
EL PUENTE(STC),estado nutricional,talla baja,2010-02-01,11,11,14,14,7,14,32,39,71
EL PUENTE(TJA),estado nutricional,talla baja,2010-02-01,16,6,30,14,25,26,71,46,117
EL TORNO,estado nutricional,talla baja,2010-02-01,1,2,2,2,4,2,7,6,13
EL VILLAR,estado nutricional,talla baja,2010-02-01,4,5,8,6,27,28,39,39,78
ENTRE RIOS TRJ,estado nutricional,talla baja,2010-02-01,11,7,22,16,13,19,46,42,88
ENTRE RIOS CBBA,estado nutricional,talla baja,2010-02-01,5,3,8,9,11,10,24,22,46
ESCOMA,estado nutricional,talla baja,2010-02-01,1,3,4,2,8,9,13,14,27
EUCALIPTUS,estado nutricional,talla baja,2010-02-01,7,4,11,8,6,11,24,23,47
EUREKA (SANTOS MERCADO),estado nutricional,talla baja,2010-02-01,0,0,0,0,1,4,1,4,5
EXALTACION,estado nutricional,talla baja,2010-02-01,0,0,1,0,1,1,2,1,3
FERNANDEZ ALONSO,estado nutricional,talla baja,2010-02-01,1,0,4,3,2,4,7,7,14
FILADELFIA,estado nutricional,talla baja,2010-02-01,3,2,1,2,1,0,5,4,9
GENERAL SAAVEDRA,estado nutricional,talla baja,2010-02-01,9,2,9,4,7,13,25,19,44
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,talla baja,2010-02-01,5,6,18,7,17,13,40,26,66
GUANAY,estado nutricional,talla baja,2010-02-01,10,3,12,13,13,20,35,36,71
GUAQUI,estado nutricional,talla baja,2010-02-01,5,2,4,5,2,4,11,11,22
GUAYARAMERIN,estado nutricional,talla baja,2010-02-01,11,10,11,14,10,22,32,46,78
GUTIERREZ,estado nutricional,talla baja,2010-02-01,17,5,41,14,44,54,102,73,175
HUACARETA,estado nutricional,talla baja,2010-02-01,4,3,8,13,18,16,30,32,62
HUACAYA (VILLA DE HUACAYA),estado nutricional,talla baja,2010-02-01,0,0,1,0,4,10,5,10,15
HUACHACALLA,estado nutricional,talla baja,2010-02-01,1,0,4,1,7,3,12,4,16
HUANUNI,estado nutricional,talla baja,2010-02-01,19,11,19,14,17,11,55,36,91
HUARACAJE,estado nutricional,talla baja,2010-02-01,0,1,8,0,2,2,10,3,13
HUARINA,estado nutricional,talla baja,2010-02-01,5,1,3,6,2,6,10,13,23
HUAYLLAMARCA,estado nutricional,talla baja,2010-02-01,2,0,5,7,5,5,12,12,24
HUMANATA,estado nutricional,talla baja,2010-02-01,2,4,17,8,8,6,27,18,45
ICHOCA,estado nutricional,talla baja,2010-02-01,3,9,5,6,4,3,12,18,30
ICLA,estado nutricional,talla baja,2010-02-01,10,7,38,25,108,144,156,176,332
INCAHUASI,estado nutricional,talla baja,2010-02-01,21,25,51,39,76,78,148,142,290
INQUISIVI,estado nutricional,talla baja,2010-02-01,4,1,5,6,17,15,26,22,48
IRUPANA (VILLA DE LANZA),estado nutricional,talla baja,2010-02-01,3,1,3,4,7,5,13,10,23
IXIAMAS,estado nutricional,talla baja,2010-02-01,2,1,13,4,9,3,24,8,32
JESUS DE MACHACA,estado nutricional,talla baja,2010-02-01,5,3,10,6,11,8,26,17,43
LA ASUNTA,estado nutricional,talla baja,2010-02-01,3,6,10,3,4,5,17,14,31
LA GUARDIA,estado nutricional,talla baja,2010-02-01,17,24,16,17,19,22,52,63,115
LA PAZ,estado nutricional,talla baja,2010-02-01,294,174,308,193,236,203,838,570,1408
LAGUNILLAS,estado nutricional,talla baja,2010-02-01,0,0,5,7,15,12,20,19,39
LAJA,estado nutricional,talla baja,2010-02-01,3,3,6,3,0,3,9,9,18
LAS CARRERAS,estado nutricional,talla baja,2010-02-01,0,0,2,2,11,3,13,5,18
LICOMA PAMPA,estado nutricional,talla baja,2010-02-01,0,1,1,1,5,4,6,6,12
LLALLAGUA,estado nutricional,talla baja,2010-02-01,20,23,27,39,28,23,75,85,160
LLICA,estado nutricional,talla baja,2010-02-01,5,3,6,3,7,5,18,11,29
LURIBAY,estado nutricional,talla baja,2010-02-01,2,3,4,6,11,5,17,14,31
MACHACAMARCA,estado nutricional,talla baja,2010-02-01,2,0,4,0,0,2,6,2,8
MACHARETI,estado nutricional,talla baja,2010-02-01,7,3,10,3,13,12,30,18,48
MAGDALENA,estado nutricional,talla baja,2010-02-01,3,3,2,2,1,3,6,8,14
MAIRANA,estado nutricional,talla baja,2010-02-01,1,3,5,5,6,8,12,16,28
MALLA,estado nutricional,talla baja,2010-02-01,2,1,4,7,8,6,14,14,28
MAPIRI,estado nutricional,talla baja,2010-02-01,5,7,15,2,3,4,23,13,36
MECAPACA,estado nutricional,talla baja,2010-02-01,0,1,2,7,7,3,9,11,20
MINEROS,estado nutricional,talla baja,2010-02-01,7,3,9,9,7,11,23,23,46
MIZQUE,estado nutricional,talla baja,2010-02-01,7,20,21,21,28,23,56,64,120
MOCOMOCO,estado nutricional,talla baja,2010-02-01,6,9,9,8,20,15,35,32,67
MOJINETE,estado nutricional,talla baja,2010-02-01,6,1,2,2,3,3,11,6,17
MOJOCOYA,estado nutricional,talla baja,2010-02-01,0,2,1,2,12,7,13,11,24
MONTEAGUDO,estado nutricional,talla baja,2010-02-01,8,3,24,8,38,45,70,56,126
MONTERO,estado nutricional,talla baja,2010-02-01,31,14,21,18,14,23,66,55,121
MORO MORO,estado nutricional,talla baja,2010-02-01,0,0,3,0,0,1,3,1,4
MOROCHATA,estado nutricional,talla baja,2010-02-01,15,12,12,16,8,19,35,47,82
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,talla baja,2010-02-01,0,1,0,0,2,3,2,4,6
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,talla baja,2010-02-01,0,0,0,1,0,3,0,4,4
OCURI,estado nutricional,talla baja,2010-02-01,15,22,33,26,18,18,66,66,132
OKINAWA,estado nutricional,talla baja,2010-02-01,0,0,2,2,1,2,3,4,7
OMEREQUE,estado nutricional,talla baja,2010-02-01,0,0,3,0,1,2,4,2,6
ORURO,estado nutricional,talla baja,2010-02-01,166,78,186,101,83,65,435,244,679
PADCAYA,estado nutricional,talla baja,2010-02-01,4,4,14,1,9,9,27,14,41
PADILLA,estado nutricional,talla baja,2010-02-01,12,9,14,12,52,43,78,64,142
PAILON,estado nutricional,talla baja,2010-02-01,2,1,3,1,4,5,9,7,16
PALCA,estado nutricional,talla baja,2010-02-01,6,7,11,6,5,5,22,18,40
PALOS BLANCOS,estado nutricional,talla baja,2010-02-01,13,7,17,16,18,26,48,49,97
PAMPA AULLAGAS,estado nutricional,talla baja,2010-02-01,6,2,12,1,2,6,20,9,29
PAMPA GRANDE,estado nutricional,talla baja,2010-02-01,3,2,3,2,1,1,7,5,12
PAPEL PAMPA,estado nutricional,talla baja,2010-02-01,0,0,0,0,1,2,1,2,3
PASORAPA,estado nutricional,talla baja,2010-02-01,0,0,0,0,8,4,8,4,12
PATACAMAYA,estado nutricional,talla baja,2010-02-01,5,6,10,13,4,3,19,22,41
PAZÑA,estado nutricional,talla baja,2010-02-01,4,4,10,0,16,17,30,21,51
PELECHUCO,estado nutricional,talla baja,2010-02-01,5,3,6,2,6,7,17,12,29
POCOATA,estado nutricional,talla baja,2010-02-01,37,26,72,65,75,59,184,150,334
POCONA,estado nutricional,talla baja,2010-02-01,4,8,14,15,22,24,40,47,87
POJO (CBBA),estado nutricional,talla baja,2010-02-01,2,1,11,9,7,6,20,16,36
POOPO,estado nutricional,talla baja,2010-02-01,7,1,9,6,3,6,19,13,32
PORCO,estado nutricional,talla baja,2010-02-01,11,14,17,7,7,19,35,40,75
POROMA,estado nutricional,talla baja,2010-02-01,16,5,21,18,33,37,70,60,130
PORONGO,estado nutricional,talla baja,2010-02-01,2,0,2,2,2,1,6,3,9
PORTACHUELO,estado nutricional,talla baja,2010-02-01,2,0,0,2,3,2,5,4,9
PORVENIR,estado nutricional,talla baja,2010-02-01,0,0,3,2,1,2,4,4,8
POSTRER VALLE,estado nutricional,talla baja,2010-02-01,0,0,0,1,0,0,0,1,1
POTOSI,estado nutricional,talla baja,2010-02-01,45,25,63,42,36,40,144,107,251
PRESTO,estado nutricional,talla baja,2010-02-01,10,2,20,15,43,40,73,57,130
PUCARA,estado nutricional,talla baja,2010-02-01,2,1,2,1,3,3,7,5,12
PUCARANI,estado nutricional,talla baja,2010-02-01,19,8,23,8,9,9,51,25,76
PUERTO ACOSTA,estado nutricional,talla baja,2010-02-01,3,4,5,2,4,7,12,13,25
PUERTO CARABUCO,estado nutricional,talla baja,2010-02-01,8,6,6,6,8,8,22,20,42
PUERTO GONZALO MORENO,estado nutricional,talla baja,2010-02-01,7,1,7,6,12,15,26,22,48
PUERTO PEREZ,estado nutricional,talla baja,2010-02-01,0,1,5,2,2,0,7,3,10
PUERTO QUIJARRO,estado nutricional,talla baja,2010-02-01,1,0,0,1,0,0,1,1,2
PUERTO RICO,estado nutricional,talla baja,2010-02-01,2,5,6,1,11,3,19,9,28
PUERTO SILES,estado nutricional,talla baja,2010-02-01,1,1,0,5,1,2,2,8,10
PUERTO SUAREZ,estado nutricional,talla baja,2010-02-01,8,6,1,1,3,3,12,10,22
PUERTO VILLARROEL,estado nutricional,talla baja,2010-02-01,29,17,45,39,53,53,127,109,236
PUNA,estado nutricional,talla baja,2010-02-01,1,3,2,2,0,1,3,6,9
PUNATA,estado nutricional,talla baja,2010-02-01,2,2,8,13,0,8,10,23,33
QUIABAYA,estado nutricional,talla baja,2010-02-01,6,4,5,3,23,11,34,18,52
QUILLACOLLO,estado nutricional,talla baja,2010-02-01,13,8,23,22,14,14,50,44,94
QUIME,estado nutricional,talla baja,2010-02-01,5,3,14,7,13,11,32,21,53
QUIRUSILLAS,estado nutricional,talla baja,2010-02-01,1,0,0,0,0,1,1,1,2
RAVELO,estado nutricional,talla baja,2010-02-01,33,19,46,60,70,68,149,147,296
REYES,estado nutricional,talla baja,2010-02-01,2,3,5,6,5,7,12,16,28
RIBERALTA,estado nutricional,talla baja,2010-02-01,38,32,79,54,48,41,165,127,292
ROBORE,estado nutricional,talla baja,2010-02-01,1,0,0,1,0,0,1,1,2
RURRENABAQUE,estado nutricional,talla baja,2010-02-01,6,3,5,2,4,3,15,8,23
SABAYA,estado nutricional,talla baja,2010-02-01,0,1,0,1,1,2,1,4,5
SACABA,estado nutricional,talla baja,2010-02-01,34,21,57,38,42,32,133,91,224
SACABAMBA,estado nutricional,talla baja,2010-02-01,5,1,6,3,12,5,23,9,32
SACACA,estado nutricional,talla baja,2010-02-01,71,50,72,71,105,113,248,234,482
SAIPINA,estado nutricional,talla baja,2010-02-01,0,1,0,0,1,3,1,4,5
SALINAS DE GARCI MENDOZA,estado nutricional,talla baja,2010-02-01,8,2,16,3,12,5,36,10,46
SAMAIPATA,estado nutricional,talla baja,2010-02-01,0,0,2,1,1,2,3,3,6
SAN AGUSTIN,estado nutricional,talla baja,2010-02-01,0,0,0,1,0,0,0,1,1
SAN ANDRES DE MACHACA,estado nutricional,talla baja,2010-02-01,1,1,0,1,2,1,3,3,6
SAN ANTONIO DE ESMORUCO,estado nutricional,talla baja,2010-02-01,4,5,1,2,1,5,6,12,18
SAN BENITO,estado nutricional,talla baja,2010-02-01,3,3,6,5,0,3,9,11,20
SAN BORJA,estado nutricional,talla baja,2010-02-01,40,17,48,30,78,55,166,102,268
SAN BUENA VENTURA,estado nutricional,talla baja,2010-02-01,6,0,5,3,5,4,16,7,23
SAN CARLOS,estado nutricional,talla baja,2010-02-01,2,1,2,2,1,3,5,6,11
SAN IGNACIO,estado nutricional,talla baja,2010-02-01,9,9,13,13,24,22,46,44,90
SAN IGNACIO DE VELASCO,estado nutricional,talla baja,2010-02-01,24,20,16,24,45,33,85,77,162
SAN JAVIER(BNI),estado nutricional,talla baja,2010-02-01,0,0,0,1,1,0,1,1,2
SAN JAVIER(STC),estado nutricional,talla baja,2010-02-01,11,15,4,15,5,7,20,37,57
SAN JOAQUIN,estado nutricional,talla baja,2010-02-01,5,3,1,3,0,0,6,6,12
SAN JOSE DE CHIQUITOS,estado nutricional,talla baja,2010-02-01,0,0,2,1,2,2,4,3,7
SAN JUAN DE YAPACANI,estado nutricional,talla baja,2010-02-01,2,0,1,1,5,6,8,7,15
SAN LORENZO(PND),estado nutricional,talla baja,2010-02-01,1,1,2,2,2,3,5,6,11
SAN LORENZO(TJA),estado nutricional,talla baja,2010-02-01,11,9,26,16,16,17,53,42,95
SAN LUCAS,estado nutricional,talla baja,2010-02-01,62,40,162,91,275,265,499,396,895
SAN MIGUEL DE VELASCO,estado nutricional,talla baja,2010-02-01,4,2,6,3,14,8,24,13,37
SAN PABLO DE LIPEZ,estado nutricional,talla baja,2010-02-01,1,1,3,3,1,4,5,8,13
SAN PEDRO,estado nutricional,talla baja,2010-02-01,2,3,3,3,8,4,13,10,23
SAN PEDRO DE BUENA VISTA,estado nutricional,talla baja,2010-02-01,27,27,40,38,43,38,110,103,213
SAN PEDRO DE CURAHUARA,estado nutricional,talla baja,2010-02-01,5,0,4,5,3,3,12,8,20
SAN PEDRO DE TIQUINA,estado nutricional,talla baja,2010-02-01,0,0,0,1,2,1,2,2,4
SAN PEDRO(PND),estado nutricional,talla baja,2010-02-01,0,0,0,0,0,1,0,1,1
SAN RAFAEL,estado nutricional,talla baja,2010-02-01,1,3,2,0,3,4,6,7,13
SAN RAMON BENI,estado nutricional,talla baja,2010-02-01,1,0,2,0,1,1,4,1,5
SANTA ANA,estado nutricional,talla baja,2010-02-01,4,2,2,5,1,0,7,7,14
SANTA CRUZ DE LA SIERRA,estado nutricional,talla baja,2010-02-01,55,104,56,57,39,34,150,195,345
SANTA ROSA,estado nutricional,talla baja,2010-02-01,1,2,5,0,2,2,8,4,12
SANTA ROSA DEL SARA,estado nutricional,talla baja,2010-02-01,4,5,5,9,8,9,17,23,40
SANTIAGO DE CALLAPA,estado nutricional,talla baja,2010-02-01,4,0,5,4,1,2,10,6,16
SANTIAGO DE HUARI,estado nutricional,talla baja,2010-02-01,6,11,10,4,16,20,32,35,67
SANTIAGO DE HUATA,estado nutricional,talla baja,2010-02-01,1,0,5,3,5,5,11,8,19
SANTIAGO DE MACHACA,estado nutricional,talla baja,2010-02-01,4,2,3,10,2,0,9,12,21
SANTIVAÑES,estado nutricional,talla baja,2010-02-01,0,1,2,0,1,7,3,8,11
SANTUARIO DE QUILLACAS,estado nutricional,talla baja,2010-02-01,1,5,3,8,11,20,15,33,48
SAPAHAQUI,estado nutricional,talla baja,2010-02-01,6,3,8,9,17,13,31,25,56
SENA,estado nutricional,talla baja,2010-02-01,0,0,1,1,1,0,2,1,3
SHINAOTA,estado nutricional,talla baja,2010-02-01,4,4,19,17,17,16,40,37,77
SICA SICA (VILLA AROMA),estado nutricional,talla baja,2010-02-01,18,17,22,11,17,13,57,41,98
SICAYA,estado nutricional,talla baja,2010-02-01,3,4,6,5,17,19,26,28,54
SIPE SIPE,estado nutricional,talla baja,2010-02-01,1,5,17,7,7,15,25,27,52
SOPACHUY,estado nutricional,talla baja,2010-02-01,8,6,19,28,83,79,110,113,223
SORACACHI,estado nutricional,talla baja,2010-02-01,10,3,23,12,26,29,59,44,103
SORATA,estado nutricional,talla baja,2010-02-01,13,14,13,22,18,23,44,59,103
SUCRE,estado nutricional,talla baja,2010-02-01,68,41,104,88,124,101,296,230,526
TACACHI,estado nutricional,talla baja,2010-02-01,0,0,1,0,0,0,1,0,1
TACACOMA,estado nutricional,talla baja,2010-02-01,3,3,9,6,11,14,23,23,46
TACOBAMBA,estado nutricional,talla baja,2010-02-01,10,16,14,21,10,14,34,51,85
TACOPAYA,estado nutricional,talla baja,2010-02-01,14,7,26,25,34,35,74,67,141
TAHUA,estado nutricional,talla baja,2010-02-01,1,0,1,2,0,1,2,3,5
TAPACARI,estado nutricional,talla baja,2010-02-01,32,25,52,34,59,44,143,103,246
TARABUCO,estado nutricional,talla baja,2010-02-01,19,24,67,54,165,179,251,257,508
TARACO,estado nutricional,talla baja,2010-02-01,0,1,4,2,1,1,5,4,9
TARATA,estado nutricional,talla baja,2010-02-01,2,2,12,7,1,3,15,12,27
TARIJA,estado nutricional,talla baja,2010-02-01,43,9,60,40,41,36,144,85,229
TARVITA,estado nutricional,talla baja,2010-02-01,18,19,49,49,167,159,234,227,461
TEOPONTE,estado nutricional,talla baja,2010-02-01,0,2,7,12,6,7,13,21,34
TIAWANACU,estado nutricional,talla baja,2010-02-01,2,4,8,5,3,1,13,10,23
TINGUIPAYA,estado nutricional,talla baja,2010-02-01,26,38,38,32,36,45,100,115,215
TIPUANI,estado nutricional,talla baja,2010-02-01,0,1,3,2,2,1,5,4,9
TIQUIPAYA,estado nutricional,talla baja,2010-02-01,11,349,24,27,16,20,51,396,447
TIRAQUE (CBBA),estado nutricional,talla baja,2010-02-01,2,1,11,9,6,9,19,19,38
TITO YUPANQUI (PARQUIPUJIO),estado nutricional,talla baja,2010-02-01,1,1,2,1,2,1,5,3,8
TOCO,estado nutricional,talla baja,2010-02-01,1,0,4,5,1,2,6,7,13
TOLATA,estado nutricional,talla baja,2010-02-01,3,0,1,5,3,3,7,8,15
TOLEDO,estado nutricional,talla baja,2010-02-01,1,3,4,4,0,0,5,7,12
TOMAVE,estado nutricional,talla baja,2010-02-01,12,8,13,11,14,20,39,39,78
TOMINA,estado nutricional,talla baja,2010-02-01,7,3,26,19,71,80,104,102,206
TORO TORO,estado nutricional,talla baja,2010-02-01,11,13,16,14,33,27,60,54,114
TOTORA(CBBA),estado nutricional,talla baja,2010-02-01,17,12,10,13,12,10,39,35,74
