,group,variable,month,TALLA NORMAL < DE 1 AÑO,TALLA NORMAL < DE 1 AÑO,TALLA NORMAL 1 A MENOR DE 2 AÑOS,TALLA NORMAL 1 A MENOR DE 2 AÑOS,TALLA NORMAL 2 A MENOR DE 5 AÑOS,TALLA NORMAL 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
TUPIZA,estado nutricional,talla normal,2010-01-01,297,279,189,157,190,224,676,660,1336
TURCO,estado nutricional,talla normal,2010-01-01,40,43,26,15,9,14,75,72,147
UMALA,estado nutricional,talla normal,2010-01-01,45,29,31,22,22,26,98,77,175
UNCIA,estado nutricional,talla normal,2010-01-01,117,95,45,43,43,36,205,174,379
URIONDO (A. CONCEPCION),estado nutricional,talla normal,2010-01-01,126,129,122,107,103,93,351,329,680
UYUNI,estado nutricional,talla normal,2010-01-01,176,200,92,100,50,47,318,347,665
VACAS,estado nutricional,talla normal,2010-01-01,66,64,32,46,25,16,123,126,249
VALLEGRANDE,estado nutricional,talla normal,2010-01-01,97,80,63,46,56,41,216,167,383
VIACHA,estado nutricional,talla normal,2010-01-01,254,268,174,132,53,64,481,464,945
VILA VILA,estado nutricional,talla normal,2010-01-01,31,27,17,25,23,25,71,77,148
VILLA CHARCAS,estado nutricional,talla normal,2010-01-01,85,82,49,43,54,56,188,181,369
VILLA MONTES,estado nutricional,talla normal,2010-01-01,289,261,242,211,129,180,660,652,1312
VILLA NUEVA (LOMA ALTA),estado nutricional,talla normal,2010-01-01,24,20,35,28,33,34,92,82,174
VILLA RIVERO,estado nutricional,talla normal,2010-01-01,68,32,36,35,14,13,118,80,198
VILLA SERRANO,estado nutricional,talla normal,2010-01-01,88,57,63,56,103,110,254,223,477
VILLA TUNARI,estado nutricional,talla normal,2010-01-01,465,460,348,294,412,365,1225,1119,2344
VILLA VACA GUZMAN (MUYUPAMPA),estado nutricional,talla normal,2010-01-01,72,74,45,49,86,116,203,239,442
VILLAZON,estado nutricional,talla normal,2010-01-01,304,286,222,212,137,146,663,644,1307
VINTO,estado nutricional,talla normal,2010-01-01,256,247,129,149,63,57,448,453,901
VITICHI,estado nutricional,talla normal,2010-01-01,52,50,36,32,45,51,133,133,266
WALDO BALLIVIAN,estado nutricional,talla normal,2010-01-01,14,17,11,9,7,7,32,33,65
WARNES,estado nutricional,talla normal,2010-01-01,144,124,62,50,76,47,282,221,503
YACO,estado nutricional,talla normal,2010-01-01,49,56,41,25,42,45,132,126,258
YACUIBA,estado nutricional,talla normal,2010-01-01,522,489,330,303,227,207,1079,999,2078
YAMPARAEZ,estado nutricional,talla normal,2010-01-01,36,53,32,40,80,76,148,169,317
YANACACHI,estado nutricional,talla normal,2010-01-01,39,34,14,23,11,20,64,77,141
YAPACANI,estado nutricional,talla normal,2010-01-01,413,384,229,197,145,153,787,734,1521
YOCALLA,estado nutricional,talla normal,2010-01-01,43,43,32,44,29,34,104,121,225
YOTALA,estado nutricional,talla normal,2010-01-01,63,58,48,59,104,104,215,221,436
YUNCHARA,estado nutricional,talla normal,2010-01-01,55,43,44,37,71,56,170,136,306
YUNGUYO DE LITORAL,estado nutricional,talla normal,2010-01-01,0,0,1,0,4,0,5,0,5
ZUDAÑEZ,estado nutricional,talla normal,2010-01-01,33,39,33,32,57,51,123,122,245
ACACIO,estado nutricional,talla normal,2010-02-01,35,25,20,19,33,23,88,67,155
ACHACACHI,estado nutricional,talla normal,2010-02-01,290,246,195,189,271,308,756,743,1499
ACHOCALLA,estado nutricional,talla normal,2010-02-01,57,42,26,29,33,49,116,120,236
AIQUILE,estado nutricional,talla normal,2010-02-01,125,113,79,74,58,87,262,274,536
ALALAY,estado nutricional,talla normal,2010-02-01,26,23,16,17,11,12,53,52,105
ALCALA,estado nutricional,talla normal,2010-02-01,25,17,21,18,44,54,90,89,179
ALTO BENI,estado nutricional,talla normal,2010-02-01,48,68,35,32,38,34,121,134,255
ANCORAIMES,estado nutricional,talla normal,2010-02-01,54,40,39,49,64,46,157,135,292
ANDAMARCA,estado nutricional,talla normal,2010-02-01,20,19,15,20,44,32,79,71,150
ANTEQUERA,estado nutricional,talla normal,2010-02-01,18,27,21,16,8,12,47,55,102
ANZALDO,estado nutricional,talla normal,2010-02-01,53,49,34,26,26,32,113,107,220
APOLO,estado nutricional,talla normal,2010-02-01,125,130,84,66,78,82,287,278,565
ARAMPAMPA,estado nutricional,talla normal,2010-02-01,24,28,12,22,49,29,85,79,164
ARANI,estado nutricional,talla normal,2010-02-01,112,76,91,55,41,40,244,171,415
ARBIETO,estado nutricional,talla normal,2010-02-01,61,53,33,36,55,46,149,135,284
ARQUE,estado nutricional,talla normal,2010-02-01,79,74,48,43,28,31,155,148,303
ASCENCION DE GUARAYOS,estado nutricional,talla normal,2010-02-01,142,139,129,142,254,247,525,528,1053
ATOCHA,estado nutricional,talla normal,2010-02-01,80,75,63,52,56,62,199,189,388
AUCAPATA,estado nutricional,talla normal,2010-02-01,31,24,9,11,8,9,48,44,92
AYATA,estado nutricional,talla normal,2010-02-01,41,56,40,34,20,20,101,110,211
AYO AYO,estado nutricional,talla normal,2010-02-01,77,37,38,36,23,22,138,95,233
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,talla normal,2010-02-01,154,134,119,93,67,81,340,308,648
AZURDUY,estado nutricional,talla normal,2010-02-01,46,67,49,50,79,77,174,194,368
BATALLAS,estado nutricional,talla normal,2010-02-01,102,139,72,62,50,58,224,259,483
BAURES,estado nutricional,talla normal,2010-02-01,45,31,14,17,25,20,84,68,152
BELEN DE ANDAMARCA,estado nutricional,talla normal,2010-02-01,4,9,7,2,8,7,19,18,37
BELEN DE URMIRI,estado nutricional,talla normal,2010-02-01,9,12,7,7,8,2,24,21,45
BELLA FLOR,estado nutricional,talla normal,2010-02-01,7,8,7,8,19,8,33,24,57
BERMEJO,estado nutricional,talla normal,2010-02-01,200,193,125,115,73,75,398,383,781
BETANZOS,estado nutricional,talla normal,2010-02-01,201,236,161,215,165,150,527,601,1128
BOLIVAR,estado nutricional,talla normal,2010-02-01,46,54,22,41,25,33,93,128,221
BOLPEBRA,estado nutricional,talla normal,2010-02-01,10,6,6,8,16,13,32,27,59
BOYUIBE,estado nutricional,talla normal,2010-02-01,0,0,0,0,0,2,0,2,2
BUENA VISTA,estado nutricional,talla normal,2010-02-01,54,52,46,36,55,47,155,135,290
CABEZAS,estado nutricional,talla normal,2010-02-01,85,75,87,75,97,144,269,294,563
CAIROMA,estado nutricional,talla normal,2010-02-01,42,43,36,29,47,37,125,109,234
"CAIZA ""D""",estado nutricional,talla normal,2010-02-01,53,43,33,36,28,30,114,109,223
CAJUATA,estado nutricional,talla normal,2010-02-01,55,53,25,26,32,23,112,102,214
CALACOTO,estado nutricional,talla normal,2010-02-01,16,19,20,8,10,9,46,36,82
CALAMARCA,estado nutricional,talla normal,2010-02-01,81,93,52,57,38,63,171,213,384
CAMARGO,estado nutricional,talla normal,2010-02-01,133,98,72,73,92,108,297,279,576
CAMATAQUI (C. VILLA ABECIA),estado nutricional,talla normal,2010-02-01,36,16,13,17,26,38,75,71,146
CAMIRI,estado nutricional,talla normal,2010-02-01,294,254,161,122,239,201,694,577,1271
CAPINOTA,estado nutricional,talla normal,2010-02-01,160,154,126,74,81,65,367,293,660
CAQUIAVIRI,estado nutricional,talla normal,2010-02-01,60,41,19,17,18,23,97,81,178
CARACOLLO,estado nutricional,talla normal,2010-02-01,142,161,104,124,70,63,316,348,664
CARANAVI,estado nutricional,talla normal,2010-02-01,390,341,241,195,191,174,822,710,1532
CARANGAS,estado nutricional,talla normal,2010-02-01,3,2,0,0,3,3,6,5,11
CARAPARI,estado nutricional,talla normal,2010-02-01,134,106,86,84,76,59,296,249,545
CARIPUYO,estado nutricional,talla normal,2010-02-01,62,62,29,28,47,47,138,137,275
CARMEN RIVERO TORREZ,estado nutricional,talla normal,2010-02-01,25,19,16,15,13,14,54,48,102
CATACORA,estado nutricional,talla normal,2010-02-01,6,2,1,1,1,0,8,3,11
CHACARILLA,estado nutricional,talla normal,2010-02-01,8,1,0,6,0,3,8,10,18
CHALLAPATA,estado nutricional,talla normal,2010-02-01,173,166,121,134,122,111,416,411,827
CHAQUI,estado nutricional,talla normal,2010-02-01,26,40,24,25,18,10,68,75,143
CHARAGUA,estado nutricional,talla normal,2010-02-01,167,133,117,135,158,146,442,414,856
CHARAÑA,estado nutricional,talla normal,2010-02-01,11,15,12,8,8,10,31,33,64
CHAYANTA,estado nutricional,talla normal,2010-02-01,56,75,42,50,34,36,132,161,293
CHIMORE,estado nutricional,talla normal,2010-02-01,51,43,58,55,62,70,171,168,339
CHIPAYA,estado nutricional,talla normal,2010-02-01,9,12,10,7,8,8,27,27,54
CHOQUE COTA,estado nutricional,talla normal,2010-02-01,9,4,2,1,7,5,18,10,28
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,talla normal,2010-02-01,60,86,48,63,51,33,159,182,341
CHUMA,estado nutricional,talla normal,2010-02-01,49,41,36,34,37,48,122,123,245
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,talla normal,2010-02-01,34,40,11,9,6,13,51,62,113
CLIZA,estado nutricional,talla normal,2010-02-01,170,125,84,67,78,78,332,270,602
COBIJA,estado nutricional,talla normal,2010-02-01,379,367,209,209,158,160,746,736,1482
COCAPATA,estado nutricional,talla normal,2010-02-01,125,122,75,74,81,79,281,275,556
COCHABAMBA,estado nutricional,talla normal,2010-02-01,2131,1941,1193,1028,826,751,4150,3720,7870
COIPASA,estado nutricional,talla normal,2010-02-01,8,5,4,4,1,2,13,11,24
COLCAPIRHUA,estado nutricional,talla normal,2010-02-01,169,158,124,62,108,80,401,300,701
"COLCHA ""K""",estado nutricional,talla normal,2010-02-01,46,50,26,31,31,28,103,109,212
COLLANA,estado nutricional,talla normal,2010-02-01,11,11,4,8,12,17,27,36,63
COLOMI,estado nutricional,talla normal,2010-02-01,145,168,107,91,64,41,316,300,616
COLPA BELGICA,estado nutricional,talla normal,2010-02-01,33,41,15,22,23,24,71,87,158
COLQUECHACA,estado nutricional,talla normal,2010-02-01,167,178,163,127,38,31,368,336,704
COLQUENCHA,estado nutricional,talla normal,2010-02-01,57,50,41,38,32,37,130,125,255
COLQUIRI,estado nutricional,talla normal,2010-02-01,97,111,104,80,86,74,287,265,552
COMANCHE,estado nutricional,talla normal,2010-02-01,9,16,2,9,7,5,18,30,48
COMARAPA,estado nutricional,talla normal,2010-02-01,126,123,73,78,68,55,267,256,523
COMBAYA,estado nutricional,talla normal,2010-02-01,11,8,10,7,14,15,35,30,65
COPACABANA,estado nutricional,talla normal,2010-02-01,72,55,42,25,58,51,172,131,303
CORIPATA,estado nutricional,talla normal,2010-02-01,111,82,59,52,63,68,233,202,435
CORO CORO,estado nutricional,talla normal,2010-02-01,59,47,29,19,20,24,108,90,198
COROICO,estado nutricional,talla normal,2010-02-01,106,86,76,68,53,71,235,225,460
CORQUE,estado nutricional,talla normal,2010-02-01,21,24,14,21,24,24,59,69,128
COTAGAITA,estado nutricional,talla normal,2010-02-01,100,66,61,75,70,74,231,215,446
COTOCA,estado nutricional,talla normal,2010-02-01,295,295,171,231,194,177,660,703,1363
CUCHUMUELA (V. G. VILLARROEL),estado nutricional,talla normal,2010-02-01,0,1,0,0,0,2,0,3,3
CUEVO,estado nutricional,talla normal,2010-02-01,31,23,23,16,22,36,76,75,151
CULPINA,estado nutricional,talla normal,2010-02-01,114,103,90,77,109,118,313,298,611
CURAHUARA DE CARANGAS,estado nutricional,talla normal,2010-02-01,39,27,27,26,25,13,91,66,157
CURVA,estado nutricional,talla normal,2010-02-01,16,15,5,4,8,5,29,24,53
DESAGUADERO,estado nutricional,talla normal,2010-02-01,16,13,13,11,18,33,47,57,104
EL ALTO,estado nutricional,talla normal,2010-02-01,4634,4449,2796,2494,1397,1319,8827,8262,17089
EL CHORO,estado nutricional,talla normal,2010-02-01,23,35,24,23,30,13,77,71,148
EL PUENTE(STC),estado nutricional,talla normal,2010-02-01,81,72,67,48,107,103,255,223,478
EL PUENTE(TJA),estado nutricional,talla normal,2010-02-01,88,82,66,68,72,80,226,230,456
EL TORNO,estado nutricional,talla normal,2010-02-01,41,33,26,25,42,38,109,96,205
EL VILLAR,estado nutricional,talla normal,2010-02-01,34,30,22,25,57,57,113,112,225
ENTRE RIOS TRJ,estado nutricional,talla normal,2010-02-01,173,137,168,130,132,125,473,392,865
ENTRE RIOS CBBA,estado nutricional,talla normal,2010-02-01,168,125,134,91,151,130,453,346,799
ESCARA,estado nutricional,talla normal,2010-02-01,3,1,1,1,0,2,4,4,8
ESCOMA,estado nutricional,talla normal,2010-02-01,223,32,15,15,33,30,271,77,348
ESMERALDA,estado nutricional,talla normal,2010-02-01,1,1,0,0,0,1,1,2,3
EUCALIPTUS,estado nutricional,talla normal,2010-02-01,52,60,38,45,24,20,114,125,239
EUREKA (SANTOS MERCADO),estado nutricional,talla normal,2010-02-01,2,5,1,4,1,7,4,16,20
EXALTACION,estado nutricional,talla normal,2010-02-01,8,10,19,19,29,8,56,37,93
FERNANDEZ ALONSO,estado nutricional,talla normal,2010-02-01,111,80,73,54,67,42,251,176,427
FILADELFIA,estado nutricional,talla normal,2010-02-01,34,18,21,12,16,7,71,37,108
GENERAL SAAVEDRA,estado nutricional,talla normal,2010-02-01,94,87,94,86,86,71,274,244,518
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,talla normal,2010-02-01,66,61,32,43,33,32,131,136,267
GUANAY,estado nutricional,talla normal,2010-02-01,116,122,76,88,90,111,282,321,603
GUAQUI,estado nutricional,talla normal,2010-02-01,32,36,22,10,33,32,87,78,165
GUAYARAMERIN,estado nutricional,talla normal,2010-02-01,409,316,166,167,125,148,700,631,1331
GUTIERREZ,estado nutricional,talla normal,2010-02-01,117,126,96,108,152,147,365,381,746
HUACARETA,estado nutricional,talla normal,2010-02-01,70,72,49,45,75,88,194,205,399
HUACAYA (VILLA DE HUACAYA),estado nutricional,talla normal,2010-02-01,14,6,8,8,31,31,53,45,98
HUACHACALLA,estado nutricional,talla normal,2010-02-01,7,11,4,6,6,6,17,23,40
HUANUNI,estado nutricional,talla normal,2010-02-01,154,144,49,74,51,50,254,268,522
HUARACAJE,estado nutricional,talla normal,2010-02-01,23,28,15,20,18,24,56,72,128
HUARINA,estado nutricional,talla normal,2010-02-01,23,18,23,16,24,17,70,51,121
HUAYLLAMARCA,estado nutricional,talla normal,2010-02-01,18,28,24,24,27,29,69,81,150
HUMANATA,estado nutricional,talla normal,2010-02-01,28,27,18,18,5,8,51,53,104
ICHOCA,estado nutricional,talla normal,2010-02-01,9,8,3,2,4,3,16,13,29
ICLA,estado nutricional,talla normal,2010-02-01,54,65,43,43,113,116,210,224,434
INCAHUASI,estado nutricional,talla normal,2010-02-01,108,68,42,49,49,80,199,197,396
INGAVI (HUMAITA),estado nutricional,talla normal,2010-02-01,4,3,4,3,5,4,13,10,23
INQUISIVI,estado nutricional,talla normal,2010-02-01,54,45,29,29,39,42,122,116,238
IRUPANA (VILLA DE LANZA),estado nutricional,talla normal,2010-02-01,86,63,55,42,67,69,208,174,382
IXIAMAS,estado nutricional,talla normal,2010-02-01,62,68,39,45,39,30,140,143,283
JESUS DE MACHACA,estado nutricional,talla normal,2010-02-01,70,73,50,47,35,51,155,171,326
LA ASUNTA,estado nutricional,talla normal,2010-02-01,170,131,79,95,36,30,285,256,541
LA GUARDIA,estado nutricional,talla normal,2010-02-01,450,431,257,211,258,263,965,905,1870
LA PAZ,estado nutricional,talla normal,2010-02-01,3398,3159,1783,1784,1547,1645,6728,6588,13316
LA RIVERA,estado nutricional,talla normal,2010-02-01,2,0,0,0,0,0,2,0,2
LAGUNILLAS,estado nutricional,talla normal,2010-02-01,51,53,47,40,99,93,197,186,383
LAJA,estado nutricional,talla normal,2010-02-01,93,86,54,81,32,35,179,202,381
LAS CARRERAS,estado nutricional,talla normal,2010-02-01,28,23,25,16,42,53,95,92,187
LICOMA PAMPA,estado nutricional,talla normal,2010-02-01,20,28,13,12,11,19,44,59,103
LLALLAGUA,estado nutricional,talla normal,2010-02-01,248,230,131,143,75,81,454,454,908
LLICA,estado nutricional,talla normal,2010-02-01,25,35,20,13,14,22,59,70,129
LURIBAY,estado nutricional,talla normal,2010-02-01,65,55,29,48,43,51,137,154,291
MACHACAMARCA,estado nutricional,talla normal,2010-02-01,38,26,18,26,21,15,77,67,144
MACHARETI,estado nutricional,talla normal,2010-02-01,48,43,71,56,143,130,262,229,491
MAGDALENA,estado nutricional,talla normal,2010-02-01,63,47,26,19,50,43,139,109,248
MAIRANA,estado nutricional,talla normal,2010-02-01,59,62,35,40,32,44,126,146,272
MALLA,estado nutricional,talla normal,2010-02-01,17,13,7,9,13,10,37,32,69
MAPIRI,estado nutricional,talla normal,2010-02-01,54,49,29,34,19,30,102,113,215
MECAPACA,estado nutricional,talla normal,2010-02-01,44,47,33,30,34,33,111,110,221
MINEROS,estado nutricional,talla normal,2010-02-01,151,128,120,103,114,114,385,345,730
MIZQUE,estado nutricional,talla normal,2010-02-01,135,129,90,85,106,111,331,325,656
MOCOMOCO,estado nutricional,talla normal,2010-02-01,72,59,44,38,60,41,176,138,314
MOJINETE,estado nutricional,talla normal,2010-02-01,5,1,0,5,2,3,7,9,16
MOJOCOYA,estado nutricional,talla normal,2010-02-01,44,39,30,27,67,69,141,135,276
MONTEAGUDO,estado nutricional,talla normal,2010-02-01,186,226,166,171,269,263,621,660,1281
MONTERO,estado nutricional,talla normal,2010-02-01,661,663,387,362,403,371,1451,1396,2847
MORO MORO,estado nutricional,talla normal,2010-02-01,14,15,11,14,19,25,44,54,98
MOROCHATA,estado nutricional,talla normal,2010-02-01,63,66,42,35,21,23,126,124,250
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,talla normal,2010-02-01,17,10,8,10,11,6,36,26,62
NAZACARA DE PACAJES,estado nutricional,talla normal,2010-02-01,3,3,0,0,0,0,3,3,6
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,talla normal,2010-02-01,13,2,16,9,16,12,45,23,68
OCURI,estado nutricional,talla normal,2010-02-01,71,64,46,47,20,17,137,128,265
OKINAWA,estado nutricional,talla normal,2010-02-01,81,57,46,53,63,72,190,182,372
OMEREQUE,estado nutricional,talla normal,2010-02-01,27,29,19,20,14,16,60,65,125
ORURO,estado nutricional,talla normal,2010-02-01,1380,1383,814,820,471,527,2665,2730,5395
PADCAYA,estado nutricional,talla normal,2010-02-01,145,132,124,138,130,121,399,391,790
PADILLA,estado nutricional,talla normal,2010-02-01,62,59,55,58,115,157,232,274,506
PAILON,estado nutricional,talla normal,2010-02-01,141,93,99,100,128,122,368,315,683
PALCA,estado nutricional,talla normal,2010-02-01,47,43,19,20,12,13,78,76,154
PALOS BLANCOS,estado nutricional,talla normal,2010-02-01,222,198,155,144,195,181,572,523,1095
PAMPA AULLAGAS,estado nutricional,talla normal,2010-02-01,10,17,13,13,4,3,27,33,60
PAMPA GRANDE,estado nutricional,talla normal,2010-02-01,59,36,24,29,18,31,101,96,197
PAPEL PAMPA,estado nutricional,talla normal,2010-02-01,17,23,11,11,7,11,35,45,80
PASORAPA,estado nutricional,talla normal,2010-02-01,14,8,17,10,22,16,53,34,87
PATACAMAYA,estado nutricional,talla normal,2010-02-01,152,144,86,83,38,39,276,266,542
PAZÑA,estado nutricional,talla normal,2010-02-01,34,30,23,27,32,34,89,91,180
PELECHUCO,estado nutricional,talla normal,2010-02-01,27,15,19,13,25,13,71,41,112
POCOATA,estado nutricional,talla normal,2010-02-01,127,153,119,112,48,58,294,323,617
POCONA,estado nutricional,talla normal,2010-02-01,48,44,52,66,28,47,128,157,285
POJO (CBBA),estado nutricional,talla normal,2010-02-01,93,78,64,60,73,58,230,196,426
POOPO,estado nutricional,talla normal,2010-02-01,32,20,33,22,12,11,77,53,130
PORCO,estado nutricional,talla normal,2010-02-01,59,54,23,24,20,29,102,107,209
POROMA,estado nutricional,talla normal,2010-02-01,96,89,50,65,70,68,216,222,438
PORONGO,estado nutricional,talla normal,2010-02-01,74,70,42,51,62,50,178,171,349
PORTACHUELO,estado nutricional,talla normal,2010-02-01,85,72,69,49,77,78,231,199,430
PORVENIR,estado nutricional,talla normal,2010-02-01,44,58,32,26,41,39,117,123,240
POSTRER VALLE,estado nutricional,talla normal,2010-02-01,12,7,7,7,20,9,39,23,62
POTOSI,estado nutricional,talla normal,2010-02-01,361,375,221,212,121,134,703,721,1424
PRESTO,estado nutricional,talla normal,2010-02-01,70,51,41,39,61,45,172,135,307
PUCARA,estado nutricional,talla normal,2010-02-01,9,19,4,8,7,12,20,39,59
PUCARANI,estado nutricional,talla normal,2010-02-01,201,193,128,156,65,62,394,411,805
PUERTO ACOSTA,estado nutricional,talla normal,2010-02-01,31,33,29,29,13,6,73,68,141
PUERTO CARABUCO,estado nutricional,talla normal,2010-02-01,50,47,34,37,32,32,116,116,232
PUERTO GONZALO MORENO,estado nutricional,talla normal,2010-02-01,37,38,32,27,35,29,104,94,198
PUERTO PEREZ,estado nutricional,talla normal,2010-02-01,25,26,23,23,26,39,74,88,162
PUERTO QUIJARRO,estado nutricional,talla normal,2010-02-01,101,80,49,36,19,15,169,131,300
PUERTO RICO,estado nutricional,talla normal,2010-02-01,43,48,25,27,28,27,96,102,198
PUERTO SILES,estado nutricional,talla normal,2010-02-01,4,11,8,5,2,3,14,19,33
PUERTO SUAREZ,estado nutricional,talla normal,2010-02-01,114,111,47,44,42,31,203,186,389
PUERTO VILLARROEL,estado nutricional,talla normal,2010-02-01,464,441,311,234,292,272,1067,947,2014
PUNA,estado nutricional,talla normal,2010-02-01,2,2,1,1,0,0,3,3,6
PUNATA,estado nutricional,talla normal,2010-02-01,257,264,158,114,85,94,500,472,972
QUIABAYA,estado nutricional,talla normal,2010-02-01,20,9,5,5,12,6,37,20,57
QUILLACOLLO,estado nutricional,talla normal,2010-02-01,501,466,272,255,155,124,928,845,1773
QUIME,estado nutricional,talla normal,2010-02-01,77,48,26,37,35,39,138,124,262
QUIRUSILLAS,estado nutricional,talla normal,2010-02-01,13,5,11,13,14,17,38,35,73
RAVELO,estado nutricional,talla normal,2010-02-01,105,80,51,58,67,65,223,203,426
REYES,estado nutricional,talla normal,2010-02-01,71,91,55,44,64,56,190,191,381
RIBERALTA,estado nutricional,talla normal,2010-02-01,791,717,609,557,453,423,1853,1697,3550
ROBORE,estado nutricional,talla normal,2010-02-01,91,116,87,83,72,74,250,273,523
