,group,variable,month,DIARREAS EN MENORES DE 5 AÑOS CANTIDAD,DIARREAS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES,TOTALES,TOTALES
TRINIDAD,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,55,52,55,52,107
TUPIZA,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,9,3,9,3,12
URUBICHA,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,0,1,0,1,1
VALLEGRANDE,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,3,1,3,1,4
VILLA MONTES,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,3,8,3,8,11
VILLA TUNARI,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,12,7,12,7,19
VILLA VACA GUZMAN (MUYUPAMPA),diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,2,2,2,2,4
VILLAZON,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,14,8,14,8,22
WARNES,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,1,4,1,4,5
YACUIBA,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,5,6,5,6,11
YAPACANI,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,12,3,12,3,15
ZUDAÑEZ,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,7,6,7,6,13
