,group,variable,month,PERSONAS DE 60 AÑOS Y MÁS NUEVO,PERSONAS DE 60 AÑOS Y MÁS NUEVO,PERSONAS DE 60 AÑOS Y MÁS REPETIDO,PERSONAS DE 60 AÑOS Y MÁS REPETIDO,PERSONAS DE 60 AÑOS Y MÁS PRIMERA,PERSONAS DE 60 AÑOS Y MÁS PRIMERA,TOTALES,TOTALES,TOTALES
SAN PEDRO DE MACHA,consulta externa,personas de 60 anos y mas,2024-01-01,612,816,0,0,0,0,1428,0,1428
SAN PEDRO DE QUEMES,consulta externa,personas de 60 anos y mas,2024-01-01,16,32,0,2,0,0,48,2,50
SAN PEDRO DE TIQUINA,consulta externa,personas de 60 anos y mas,2024-01-01,101,113,151,197,0,0,214,348,562
SAN PEDRO(PND),consulta externa,personas de 60 anos y mas,2024-01-01,59,40,6,4,59,40,99,10,109
SAN RAFAEL,consulta externa,personas de 60 anos y mas,2024-01-01,99,97,40,52,0,0,196,92,288
SAN RAMON BENI,consulta externa,personas de 60 anos y mas,2024-01-01,54,79,35,36,0,0,133,71,204
SAN RAMON SCZ,consulta externa,personas de 60 anos y mas,2024-01-01,114,100,12,12,0,0,214,24,238
SANTA ANA,consulta externa,personas de 60 anos y mas,2024-01-01,208,193,64,49,0,0,401,113,514
SANTA CRUZ DE LA SIERRA,consulta externa,personas de 60 anos y mas,2024-01-01,24218,31371,12666,17235,2642,3352,55589,29901,85490
SANTA ROSA,consulta externa,personas de 60 anos y mas,2024-01-01,128,139,52,62,110,118,267,114,381
SANTA ROSA DEL SARA,consulta externa,personas de 60 anos y mas,2024-01-01,227,207,26,19,247,205,434,45,479
SANTIAGO DE CALLAPA,consulta externa,personas de 60 anos y mas,2024-01-01,346,372,29,34,0,0,718,63,781
SANTIAGO DE HUARI,consulta externa,personas de 60 anos y mas,2024-01-01,49,41,18,30,400,431,90,48,138
SANTIAGO DE HUATA,consulta externa,personas de 60 anos y mas,2024-01-01,187,216,142,128,0,0,403,270,673
SANTIAGO DE MACHACA,consulta externa,personas de 60 anos y mas,2024-01-01,212,222,19,34,0,0,434,53,487
SANTIVAÑES,consulta externa,personas de 60 anos y mas,2024-01-01,293,539,54,101,0,0,832,155,987
SANTUARIO DE QUILLACAS,consulta externa,personas de 60 anos y mas,2024-01-01,130,172,44,28,130,172,302,72,374
SAPAHAQUI,consulta externa,personas de 60 anos y mas,2024-01-01,244,195,40,34,49,30,439,74,513
SENA,consulta externa,personas de 60 anos y mas,2024-01-01,68,32,15,13,0,0,100,28,128
SHINAOTA,consulta externa,personas de 60 anos y mas,2024-01-01,333,298,51,67,315,343,631,118,749
SICA SICA (VILLA AROMA),consulta externa,personas de 60 anos y mas,2024-01-01,340,378,76,118,30,54,718,194,912
SICAYA,consulta externa,personas de 60 anos y mas,2024-01-01,89,116,55,62,0,0,205,117,322
SIPE SIPE,consulta externa,personas de 60 anos y mas,2024-01-01,684,1027,276,353,0,0,1711,629,2340
SOPACHUY,consulta externa,personas de 60 anos y mas,2024-01-01,165,242,79,147,0,0,407,226,633
SORACACHI,consulta externa,personas de 60 anos y mas,2024-01-01,456,507,20,32,34,37,963,52,1015
SORATA,consulta externa,personas de 60 anos y mas,2024-01-01,370,422,105,101,0,0,792,206,998
SUCRE,consulta externa,personas de 60 anos y mas,2024-01-01,7349,10467,3052,4502,26,48,17816,7554,25370
TACACHI,consulta externa,personas de 60 anos y mas,2024-01-01,17,47,1,6,0,0,64,7,71
TACACOMA,consulta externa,personas de 60 anos y mas,2024-01-01,187,120,34,36,0,0,307,70,377
TACOBAMBA,consulta externa,personas de 60 anos y mas,2024-01-01,314,414,0,0,0,0,728,0,728
TACOPAYA,consulta externa,personas de 60 anos y mas,2024-01-01,268,305,35,46,88,86,573,81,654
TAHUA,consulta externa,personas de 60 anos y mas,2024-01-01,71,70,0,0,0,0,141,0,141
TAPACARI,consulta externa,personas de 60 anos y mas,2024-01-01,849,925,39,42,0,0,1774,81,1855
TARABUCO,consulta externa,personas de 60 anos y mas,2024-01-01,408,504,51,93,132,144,912,144,1056
TARACO,consulta externa,personas de 60 anos y mas,2024-01-01,219,201,86,105,0,0,420,191,611
TARATA,consulta externa,personas de 60 anos y mas,2024-01-01,119,144,82,138,0,0,263,220,483
TARIJA,consulta externa,personas de 60 anos y mas,2024-01-01,6275,8485,3156,4272,623,671,14760,7428,22188
TARVITA,consulta externa,personas de 60 anos y mas,2024-01-01,267,399,48,70,309,443,666,118,784
TEOPONTE,consulta externa,personas de 60 anos y mas,2024-01-01,122,104,19,13,0,0,226,32,258
TIAHUANACU,consulta externa,personas de 60 anos y mas,2024-01-01,292,301,113,132,0,0,593,245,838
TINGUIPAYA,consulta externa,personas de 60 anos y mas,2024-01-01,643,825,0,2,296,346,1468,2,1470
TIPUANI,consulta externa,personas de 60 anos y mas,2024-01-01,154,88,66,43,0,0,242,109,351
TIQUIPAYA,consulta externa,personas de 60 anos y mas,2024-01-01,492,817,348,569,0,0,1309,917,2226
TIRAQUE (CBBA),consulta externa,personas de 60 anos y mas,2024-01-01,406,513,157,244,17,33,919,401,1320
TITO YUPANQUI (PARQUIPUJIO),consulta externa,personas de 60 anos y mas,2024-01-01,66,95,14,16,0,0,161,30,191
TOCO,consulta externa,personas de 60 anos y mas,2024-01-01,117,182,81,122,0,0,299,203,502
TODOS SANTOS,consulta externa,personas de 60 anos y mas,2024-01-01,12,14,0,0,0,0,26,0,26
TOLATA,consulta externa,personas de 60 anos y mas,2024-01-01,89,150,89,155,0,0,239,244,483
TOLEDO,consulta externa,personas de 60 anos y mas,2024-01-01,273,380,24,24,273,380,653,48,701
TOMAVE,consulta externa,personas de 60 anos y mas,2024-01-01,337,432,8,3,0,0,769,11,780
TOMINA,consulta externa,personas de 60 anos y mas,2024-01-01,265,366,84,120,0,0,631,204,835
TORO TORO,consulta externa,personas de 60 anos y mas,2024-01-01,343,399,2,2,0,0,742,4,746
TOTORA(CBBA),consulta externa,personas de 60 anos y mas,2024-01-01,305,361,48,54,0,0,666,102,768
TOTORA(ORR),consulta externa,personas de 60 anos y mas,2024-01-01,224,271,7,13,224,271,495,20,515
TRIGAL,consulta externa,personas de 60 anos y mas,2024-01-01,54,67,38,55,0,0,121,93,214
TRINIDAD,consulta externa,personas de 60 anos y mas,2024-01-01,2132,2789,1148,1763,1446,2315,4921,2911,7832
TUPIZA,consulta externa,personas de 60 anos y mas,2024-01-01,1484,1717,597,853,788,721,3201,1450,4651
TURCO,consulta externa,personas de 60 anos y mas,2024-01-01,232,242,24,45,0,0,474,69,543
UMALA,consulta externa,personas de 60 anos y mas,2024-01-01,206,209,116,125,0,0,415,241,656
UNCIA,consulta externa,personas de 60 anos y mas,2024-01-01,639,831,108,147,0,0,1470,255,1725
URIONDO (A. CONCEPCION),consulta externa,personas de 60 anos y mas,2024-01-01,330,481,104,185,160,279,811,289,1100
URUBICHA,consulta externa,personas de 60 anos y mas,2024-01-01,0,0,0,0,161,71,0,0,0
UYUNI,consulta externa,personas de 60 anos y mas,2024-01-01,913,1005,222,256,13,11,1918,478,2396
VACAS,consulta externa,personas de 60 anos y mas,2024-01-01,229,345,35,30,0,0,574,65,639
VALLEGRANDE,consulta externa,personas de 60 anos y mas,2024-01-01,309,428,578,855,0,0,737,1433,2170
VIACHA,consulta externa,personas de 60 anos y mas,2024-01-01,932,1271,588,844,42,39,2203,1432,3635
VILA VILA,consulta externa,personas de 60 anos y mas,2024-01-01,266,269,1,0,266,269,535,1,536
VILLA CHARCAS,consulta externa,personas de 60 anos y mas,2024-01-01,229,363,29,48,289,459,592,77,669
VILLA MONTES,consulta externa,personas de 60 anos y mas,2024-01-01,1011,1008,421,429,90,97,2019,850,2869
VILLA NUEVA (LOMA ALTA),consulta externa,personas de 60 anos y mas,2024-01-01,36,24,4,2,0,0,60,6,66
VILLA RIVERO,consulta externa,personas de 60 anos y mas,2024-01-01,213,291,39,65,0,0,504,104,608
VILLA SERRANO,consulta externa,personas de 60 anos y mas,2024-01-01,287,381,116,203,0,0,668,319,987
VILLA TUNARI,consulta externa,personas de 60 anos y mas,2024-01-01,1461,1198,252,209,410,319,2659,461,3120
VILLA VACA GUZMAN (MUYUPAMPA),consulta externa,personas de 60 anos y mas,2024-01-01,239,299,89,145,0,0,538,234,772
VILLAZON,consulta externa,personas de 60 anos y mas,2024-01-01,648,906,462,651,710,966,1554,1113,2667
VINTO,consulta externa,personas de 60 anos y mas,2024-01-01,714,922,198,304,0,0,1636,502,2138
VITICHI,consulta externa,personas de 60 anos y mas,2024-01-01,421,640,2,5,393,582,1061,7,1068
WALDO BALLIVIAN,consulta externa,personas de 60 anos y mas,2024-01-01,27,34,7,11,0,0,61,18,79
WARNES,consulta externa,personas de 60 anos y mas,2024-01-01,3595,1975,494,668,0,0,5570,1162,6732
YACO,consulta externa,personas de 60 anos y mas,2024-01-01,225,212,8,7,0,0,437,15,452
YACUIBA,consulta externa,personas de 60 anos y mas,2024-01-01,1984,2358,983,1279,1098,1254,4342,2262,6604
YAMPARAEZ,consulta externa,personas de 60 anos y mas,2024-01-01,300,446,22,25,299,481,746,47,793
YANACACHI,consulta externa,personas de 60 anos y mas,2024-01-01,167,124,20,24,0,0,291,44,335
YAPACANI,consulta externa,personas de 60 anos y mas,2024-01-01,746,754,224,212,0,0,1500,436,1936
YOCALLA,consulta externa,personas de 60 anos y mas,2024-01-01,257,303,2,2,22,38,560,4,564
YOTALA,consulta externa,personas de 60 anos y mas,2024-01-01,238,369,125,171,131,188,607,296,903
YUNCHARA,consulta externa,personas de 60 anos y mas,2024-01-01,148,197,27,55,0,0,345,82,427
YUNGUYO DE LITORAL,consulta externa,personas de 60 anos y mas,2024-01-01,11,12,0,0,11,12,23,0,23
ZUDAÑEZ,consulta externa,personas de 60 anos y mas,2024-01-01,180,197,337,356,0,0,377,693,1070
ACACIO,consulta externa,personas de 60 anos y mas,2024-02-01,292,391,1,0,0,0,683,1,684
ACHACACHI,consulta externa,personas de 60 anos y mas,2024-02-01,756,749,170,167,0,0,1505,337,1842
ACHOCALLA,consulta externa,personas de 60 anos y mas,2024-02-01,254,382,46,51,21,41,636,97,733
AIQUILE,consulta externa,personas de 60 anos y mas,2024-02-01,385,480,600,665,234,281,865,1265,2130
ALALAY,consulta externa,personas de 60 anos y mas,2024-02-01,52,76,32,60,9,28,128,92,220
ALCALA,consulta externa,personas de 60 anos y mas,2024-02-01,91,126,39,72,29,56,217,111,328
ALTO BENI,consulta externa,personas de 60 anos y mas,2024-02-01,283,186,52,49,0,0,469,101,570
ANCORAIMES,consulta externa,personas de 60 anos y mas,2024-02-01,203,177,160,190,28,26,380,350,730
ANDAMARCA,consulta externa,personas de 60 anos y mas,2024-02-01,173,224,32,34,0,0,397,66,463
ANTEQUERA,consulta externa,personas de 60 anos y mas,2024-02-01,47,39,2,1,0,0,86,3,89
ANZALDO,consulta externa,personas de 60 anos y mas,2024-02-01,152,246,14,25,0,0,398,39,437
APOLO,consulta externa,personas de 60 anos y mas,2024-02-01,194,170,59,50,60,38,364,109,473
ARAMPAMPA,consulta externa,personas de 60 anos y mas,2024-02-01,79,99,0,1,30,26,178,1,179
ARANI,consulta externa,personas de 60 anos y mas,2024-02-01,201,317,93,186,0,0,518,279,797
ARBIETO,consulta externa,personas de 60 anos y mas,2024-02-01,400,562,89,126,0,0,962,215,1177
ARQUE,consulta externa,personas de 60 anos y mas,2024-02-01,163,234,1,0,0,0,397,1,398
ASCENCION DE GUARAYOS,consulta externa,personas de 60 anos y mas,2024-02-01,99,102,9,7,129,115,201,16,217
ATOCHA,consulta externa,personas de 60 anos y mas,2024-02-01,226,196,115,127,12,15,422,242,664
AUCAPATA,consulta externa,personas de 60 anos y mas,2024-02-01,64,52,0,3,21,20,116,3,119
AYATA,consulta externa,personas de 60 anos y mas,2024-02-01,247,287,10,26,11,7,534,36,570
AYO AYO,consulta externa,personas de 60 anos y mas,2024-02-01,213,258,13,22,0,0,471,35,506
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,personas de 60 anos y mas,2024-02-01,767,862,47,45,81,95,1629,92,1721
AZURDUY,consulta externa,personas de 60 anos y mas,2024-02-01,135,225,60,76,2,8,360,136,496
BATALLAS,consulta externa,personas de 60 anos y mas,2024-02-01,190,155,134,105,0,0,345,239,584
BAURES,consulta externa,personas de 60 anos y mas,2024-02-01,113,116,36,26,0,0,229,62,291
BELEN DE ANDAMARCA,consulta externa,personas de 60 anos y mas,2024-02-01,69,68,21,23,0,0,137,44,181
BELEN DE URMIRI,consulta externa,personas de 60 anos y mas,2024-02-01,73,72,0,0,11,7,145,0,145
BELLA FLOR,consulta externa,personas de 60 anos y mas,2024-02-01,40,27,61,34,0,0,67,95,162
BERMEJO,consulta externa,personas de 60 anos y mas,2024-02-01,639,775,271,429,140,128,1414,700,2114
BETANZOS,consulta externa,personas de 60 anos y mas,2024-02-01,1106,1279,66,88,0,0,2385,154,2539
BOLIVAR,consulta externa,personas de 60 anos y mas,2024-02-01,162,155,41,48,0,0,317,89,406
BOLPEBRA,consulta externa,personas de 60 anos y mas,2024-02-01,40,28,18,12,0,0,68,30,98
BOYUIBE,consulta externa,personas de 60 anos y mas,2024-02-01,89,108,93,126,0,0,197,219,416
BUENA VISTA,consulta externa,personas de 60 anos y mas,2024-02-01,210,169,27,29,77,66,379,56,435
CABEZAS,consulta externa,personas de 60 anos y mas,2024-02-01,321,364,38,66,16,11,685,104,789
CAIROMA,consulta externa,personas de 60 anos y mas,2024-02-01,270,221,40,20,0,0,491,60,551
"CAIZA ""D""",consulta externa,personas de 60 anos y mas,2024-02-01,395,678,37,61,0,0,1073,98,1171
CAJUATA,consulta externa,personas de 60 anos y mas,2024-02-01,150,137,62,54,48,32,287,116,403
CALACOTO,consulta externa,personas de 60 anos y mas,2024-02-01,188,221,28,40,0,0,409,68,477
CALAMARCA,consulta externa,personas de 60 anos y mas,2024-02-01,199,214,10,34,0,0,413,44,457
CAMARGO,consulta externa,personas de 60 anos y mas,2024-02-01,398,623,116,197,0,0,1021,313,1334
CAMATAQUI (C. VILLA ABECIA),consulta externa,personas de 60 anos y mas,2024-02-01,167,189,40,49,3,5,356,89,445
CAMIRI,consulta externa,personas de 60 anos y mas,2024-02-01,196,281,347,382,0,0,477,729,1206
CAPINOTA,consulta externa,personas de 60 anos y mas,2024-02-01,569,741,90,154,0,0,1310,244,1554
CAQUIAVIRI,consulta externa,personas de 60 anos y mas,2024-02-01,374,397,22,27,0,0,771,49,820
CARACOLLO,consulta externa,personas de 60 anos y mas,2024-02-01,422,453,59,89,51,42,875,148,1023
CARANAVI,consulta externa,personas de 60 anos y mas,2024-02-01,831,560,132,121,60,38,1391,253,1644
CARANGAS,consulta externa,personas de 60 anos y mas,2024-02-01,5,8,21,23,0,0,13,44,57
CARAPARI,consulta externa,personas de 60 anos y mas,2024-02-01,359,400,119,152,14,11,759,271,1030
CARIPUYO,consulta externa,personas de 60 anos y mas,2024-02-01,293,416,1,4,0,0,709,5,714
CARMEN RIVERO TORREZ,consulta externa,personas de 60 anos y mas,2024-02-01,90,86,12,12,0,0,176,24,200
CATACORA,consulta externa,personas de 60 anos y mas,2024-02-01,36,45,8,5,0,0,81,13,94
CHACARILLA,consulta externa,personas de 60 anos y mas,2024-02-01,31,25,5,5,0,0,56,10,66
CHALLAPATA,consulta externa,personas de 60 anos y mas,2024-02-01,746,919,55,82,190,240,1665,137,1802
CHAQUI,consulta externa,personas de 60 anos y mas,2024-02-01,551,790,5,7,0,0,1341,12,1353
CHARAGUA,consulta externa,personas de 60 anos y mas,2024-02-01,614,684,86,149,0,0,1298,235,1533
CHARAÑA,consulta externa,personas de 60 anos y mas,2024-02-01,73,58,3,12,0,0,131,15,146
CHAYANTA,consulta externa,personas de 60 anos y mas,2024-02-01,375,509,17,28,107,126,884,45,929
CHIMORE,consulta externa,personas de 60 anos y mas,2024-02-01,335,265,35,62,8,1,600,97,697
CHIPAYA,consulta externa,personas de 60 anos y mas,2024-02-01,51,53,3,4,0,0,104,7,111
CHOQUE COTA,consulta externa,personas de 60 anos y mas,2024-02-01,37,42,0,1,0,0,79,1,80
CHUA COCANI,consulta externa,personas de 60 anos y mas,2024-02-01,24,28,30,38,0,0,52,68,120
CHULUMANI (V. DE LA LIBERTAD),consulta externa,personas de 60 anos y mas,2024-02-01,238,171,79,74,0,0,409,153,562
CHUMA,consulta externa,personas de 60 anos y mas,2024-02-01,383,383,54,58,206,210,766,112,878
CHUQUIHUTA AYLLU JUCUMANI,consulta externa,personas de 60 anos y mas,2024-02-01,73,123,6,15,0,0,196,21,217
CKOCHAS,consulta externa,personas de 60 anos y mas,2024-02-01,556,714,11,5,11,14,1270,16,1286
CLIZA,consulta externa,personas de 60 anos y mas,2024-02-01,238,334,357,570,0,0,572,927,1499
COBIJA,consulta externa,personas de 60 anos y mas,2024-02-01,622,556,458,548,0,56,1178,1006,2184
COCAPATA,consulta externa,personas de 60 anos y mas,2024-02-01,411,435,15,18,0,0,846,33,879
COCHABAMBA,consulta externa,personas de 60 anos y mas,2024-02-01,16311,20979,14977,20068,733,798,37290,35045,72335
COIPASA,consulta externa,personas de 60 anos y mas,2024-02-01,26,27,2,1,0,0,53,3,56
COLCAPIRHUA,consulta externa,personas de 60 anos y mas,2024-02-01,489,726,339,563,0,0,1215,902,2117
"COLCHA ""K""",consulta externa,personas de 60 anos y mas,2024-02-01,452,600,40,54,19,14,1052,94,1146
COLLANA,consulta externa,personas de 60 anos y mas,2024-02-01,81,87,22,36,0,0,168,58,226
COLOMI,consulta externa,personas de 60 anos y mas,2024-02-01,362,443,116,151,75,91,805,267,1072
COLPA BELGICA,consulta externa,personas de 60 anos y mas,2024-02-01,72,107,68,92,33,70,179,160,339
COLQUECHACA,consulta externa,personas de 60 anos y mas,2024-02-01,386,472,4,2,20,24,858,6,864
COLQUENCHA,consulta externa,personas de 60 anos y mas,2024-02-01,149,214,49,71,0,0,363,120,483
COLQUIRI,consulta externa,personas de 60 anos y mas,2024-02-01,288,291,55,25,190,213,579,80,659
COMANCHE,consulta externa,personas de 60 anos y mas,2024-02-01,78,74,0,0,0,0,152,0,152
COMARAPA,consulta externa,personas de 60 anos y mas,2024-02-01,259,328,66,104,5,11,587,170,757
COMBAYA,consulta externa,personas de 60 anos y mas,2024-02-01,88,67,70,74,0,0,155,144,299
CONCEPCION,consulta externa,personas de 60 anos y mas,2024-02-01,139,132,47,75,3,5,271,122,393
COPACABANA,consulta externa,personas de 60 anos y mas,2024-02-01,211,270,10,21,0,0,481,31,512
CORIPATA,consulta externa,personas de 60 anos y mas,2024-02-01,215,196,68,47,0,1,411,115,526
CORO CORO,consulta externa,personas de 60 anos y mas,2024-02-01,292,316,55,49,0,0,608,104,712
COROICO,consulta externa,personas de 60 anos y mas,2024-02-01,245,264,117,150,8,13,509,267,776
CORQUE,consulta externa,personas de 60 anos y mas,2024-02-01,350,403,10,19,0,0,753,29,782
COTAGAITA,consulta externa,personas de 60 anos y mas,2024-02-01,794,1238,75,141,167,219,2032,216,2248
COTOCA,consulta externa,personas de 60 anos y mas,2024-02-01,904,1003,62,97,542,382,1907,159,2066
CRUZ DE MACHACAMARCA,consulta externa,personas de 60 anos y mas,2024-02-01,16,18,0,1,2,3,34,1,35
CUATRO CAÑADAS,consulta externa,personas de 60 anos y mas,2024-02-01,250,265,85,108,4,4,515,193,708
CUCHUMUELA (V. G. VILLARROEL),consulta externa,personas de 60 anos y mas,2024-02-01,64,90,2,2,0,0,154,4,158
CUEVO,consulta externa,personas de 60 anos y mas,2024-02-01,132,187,35,36,0,0,319,71,390
CULPINA,consulta externa,personas de 60 anos y mas,2024-02-01,423,544,38,60,0,0,967,98,1065
CURAHUARA DE CARANGAS,consulta externa,personas de 60 anos y mas,2024-02-01,108,148,9,16,40,51,256,25,281
CURVA,consulta externa,personas de 60 anos y mas,2024-02-01,39,57,3,3,21,40,96,6,102
DESAGUADERO,consulta externa,personas de 60 anos y mas,2024-02-01,88,114,23,24,16,46,202,47,249
EL ALTO,consulta externa,personas de 60 anos y mas,2024-02-01,6355,7351,5961,6717,407,503,13706,12678,26384
EL CHORO,consulta externa,personas de 60 anos y mas,2024-02-01,147,156,4,7,0,2,303,11,314
EL PUENTE(STC),consulta externa,personas de 60 anos y mas,2024-02-01,293,271,7,2,53,44,564,9,573
EL PUENTE(TJA),consulta externa,personas de 60 anos y mas,2024-02-01,230,348,84,152,120,161,578,236,814
EL TORNO,consulta externa,personas de 60 anos y mas,2024-02-01,1121,1277,633,726,13,5,2398,1359,3757
EL VILLAR,consulta externa,personas de 60 anos y mas,2024-02-01,110,138,26,34,0,0,248,60,308
ENTRE RIOS TRJ,consulta externa,personas de 60 anos y mas,2024-02-01,396,516,137,220,0,0,912,357,1269
ENTRE RIOS CBBA,consulta externa,personas de 60 anos y mas,2024-02-01,497,491,43,71,0,0,988,114,1102
ESCARA,consulta externa,personas de 60 anos y mas,2024-02-01,9,16,0,0,0,0,25,0,25
ESCOMA,consulta externa,personas de 60 anos y mas,2024-02-01,137,122,13,13,0,0,259,26,285
ESMERALDA,consulta externa,personas de 60 anos y mas,2024-02-01,53,68,4,3,17,23,121,7,128
EUCALIPTUS,consulta externa,personas de 60 anos y mas,2024-02-01,156,191,15,10,42,56,347,25,372
EUREKA (SANTOS MERCADO),consulta externa,personas de 60 anos y mas,2024-02-01,19,10,6,4,0,0,29,10,39
EXALTACION,consulta externa,personas de 60 anos y mas,2024-02-01,52,46,0,0,0,0,98,0,98
FERNANDEZ ALONSO,consulta externa,personas de 60 anos y mas,2024-02-01,327,342,54,65,0,0,669,119,788
FILADELFIA,consulta externa,personas de 60 anos y mas,2024-02-01,70,39,92,61,95,40,109,153,262
GAIOC JATUN AYLLU YURA,consulta externa,personas de 60 anos y mas,2024-02-01,131,218,1,2,20,26,349,3,352
GENERAL SAAVEDRA,consulta externa,personas de 60 anos y mas,2024-02-01,280,310,36,35,0,0,590,71,661
GIA-TIM,consulta externa,personas de 60 anos y mas,2024-02-01,29,20,1,0,10,10,49,1,50
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,personas de 60 anos y mas,2024-02-01,137,138,13,15,15,21,275,28,303
GUANAY,consulta externa,personas de 60 anos y mas,2024-02-01,215,149,77,63,0,0,364,140,504
GUAQUI,consulta externa,personas de 60 anos y mas,2024-02-01,125,177,38,43,35,42,302,81,383
GUAYARAMERIN,consulta externa,personas de 60 anos y mas,2024-02-01,852,824,215,256,150,123,1676,471,2147
