,group,variable,month,NINOS DE 6 MESES A < 1 AÑO NUEVO,NINOS DE 6 MESES A < 1 AÑO NUEVO,NINOS DE 6 MESES A < 1 AÑO REPETIDO,NINOS DE 6 MESES A < 1 AÑO REPETIDO,NINOS DE 6 MESES A < 1 AÑO PRIMERA,NINOS DE 6 MESES A < 1 AÑO PRIMERA,TOTALES,TOTALES,TOTALES
SAN JAVIER(BNI),consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,1,2,2,1,2,2,3,3,6
SAN JAVIER(STC),consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,23,22,1,0,0,0,45,1,46
SAN JOAQUIN,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,25,19,1,1,2,4,44,2,46
SAN JOSE DE CHIQUITOS,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,17,19,4,2,0,0,36,6,42
SAN JUAN DE YAPACANI,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,7,8,1,0,3,1,15,1,16
SAN JULIAN,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,149,151,32,36,0,0,300,68,368
SAN LORENZO(PND),consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,13,16,0,0,0,0,29,0,29
SAN LORENZO(TJA),consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,95,91,7,5,93,85,186,12,198
SAN LUCAS,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,87,51,6,2,75,51,138,8,146
SAN MATIAS,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,46,32,1,0,0,0,78,1,79
SAN MIGUEL DE VELASCO,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,16,21,2,0,0,0,37,2,39
SAN PABLO DE LIPEZ,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,3,2,0,0,1,0,5,0,5
SAN PEDRO,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,78,56,6,7,0,0,134,13,147
SAN PEDRO DE BUENA VISTA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,28,22,1,1,12,13,50,2,52
SAN PEDRO DE CURAHUARA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,13,11,1,0,0,0,24,1,25
SAN PEDRO DE MACHA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,30,18,0,0,0,0,48,0,48
SAN PEDRO DE QUEMES,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,0,4,0,1,0,0,4,1,5
SAN PEDRO DE TIQUINA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,8,9,1,5,0,0,17,6,23
SAN PEDRO(PND),consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,8,6,0,1,8,6,14,1,15
SAN RAFAEL,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,32,28,13,12,0,0,60,25,85
SAN RAMON BENI,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,14,15,2,3,0,0,29,5,34
SAN RAMON SCZ,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,15,17,0,2,0,0,32,2,34
SANTA ANA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,32,35,35,29,0,0,67,64,131
SANTA CRUZ DE LA SIERRA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,3224,2871,958,944,579,601,6095,1902,7997
SANTA ROSA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,25,26,0,1,24,26,51,1,52
SANTA ROSA DEL SARA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,25,25,1,0,13,28,50,1,51
SANTIAGO DE CALLAPA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,6,3,3,5,0,0,9,8,17
SANTIAGO DE HUARI,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,0,1,1,3,6,6,1,4,5
SANTIAGO DE HUATA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,4,4,1,0,0,0,8,1,9
SANTIAGO DE MACHACA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,7,5,1,0,0,0,12,1,13
SANTIVAÑES,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,22,32,1,4,0,0,54,5,59
SANTUARIO DE QUILLACAS,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,2,1,0,0,2,1,3,0,3
SAPAHAQUI,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,18,13,1,1,7,7,31,2,33
SENA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,29,17,0,0,0,0,46,0,46
SHINAOTA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,89,102,4,3,111,128,191,7,198
SICA SICA (VILLA AROMA),consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,27,32,0,0,6,3,59,0,59
SICAYA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,15,12,5,4,0,0,27,9,36
SIPE SIPE,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,181,163,64,101,0,0,344,165,509
SOPACHUY,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,16,14,0,3,0,0,30,3,33
SORACACHI,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,22,10,0,0,0,0,32,0,32
SORATA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,30,24,14,12,0,0,54,26,80
SUCRE,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,895,791,155,158,4,3,1686,313,1999
TACACHI,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,1,4,1,0,0,0,5,1,6
TACACOMA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,25,16,0,1,0,0,41,1,42
TACOBAMBA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,14,8,0,0,0,0,22,0,22
TACOPAYA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,3,11,2,1,4,3,14,3,17
TAHUA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,3,0,0,0,0,0,3,0,3
TAPACARI,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,36,27,0,1,0,0,63,1,64
TARABUCO,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,15,15,1,0,16,17,30,1,31
TARACO,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,8,17,4,2,0,0,25,6,31
TARATA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,21,25,4,7,0,0,46,11,57
TARIJA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,592,566,245,236,57,53,1158,481,1639
TARVITA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,43,37,1,0,48,45,80,1,81
TEOPONTE,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,24,27,8,11,0,0,51,19,70
TIAHUANACU,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,14,13,8,8,0,0,27,16,43
TINGUIPAYA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,28,19,0,0,11,9,47,0,47
TIPUANI,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,26,23,9,7,0,0,49,16,65
TIQUIPAYA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,205,190,59,36,0,0,395,95,490
TIRAQUE (CBBA),consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,31,25,53,23,4,0,56,76,132
TOCO,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,11,11,10,5,0,0,22,15,37
TODOS SANTOS,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,0,3,0,0,0,0,3,0,3
TOLATA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,16,13,7,9,0,0,29,16,45
TOLEDO,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,4,6,0,3,4,6,10,3,13
TOMAVE,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,12,17,0,0,0,0,29,0,29
TOMINA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,17,19,6,3,0,0,36,9,45
TORO TORO,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,22,22,2,0,0,0,44,2,46
TOTORA(CBBA),consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,34,40,15,15,0,0,74,30,104
TOTORA(ORR),consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,8,4,1,1,8,4,12,2,14
TRIGAL,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,2,2,0,0,0,0,4,0,4
TRINIDAD,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,218,208,60,19,296,82,426,79,505
TUPIZA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,89,95,18,32,43,42,184,50,234
TURCO,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,4,1,0,0,0,0,5,0,5
UMALA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,3,7,10,8,0,0,10,18,28
UNCIA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,62,51,7,4,0,0,113,11,124
URIONDO (A. CONCEPCION),consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,52,70,8,10,33,42,122,18,140
URUBICHA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,0,0,0,0,23,15,0,0,0
UYUNI,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,63,55,5,5,1,0,118,10,128
VACAS,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,19,18,1,2,0,0,37,3,40
VALLEGRANDE,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,30,37,24,25,0,0,67,49,116
VIACHA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,173,128,47,27,17,20,301,74,375
VILA VILA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,13,5,0,0,17,10,18,0,18
VILLA CHARCAS,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,25,25,0,1,29,31,50,1,51
VILLA MONTES,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,140,112,16,20,10,14,252,36,288
VILLA NUEVA (LOMA ALTA),consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,11,8,0,1,0,0,19,1,20
VILLA RIVERO,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,39,30,3,7,0,0,69,10,79
VILLA SERRANO,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,31,22,15,11,0,0,53,26,79
VILLA TUNARI,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,505,428,69,63,164,106,933,132,1065
VILLA VACA GUZMAN (MUYUPAMPA),consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,21,18,4,5,0,0,39,9,48
VILLAZON,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,73,45,6,8,66,51,118,14,132
VINTO,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,186,179,87,76,0,0,365,163,528
VITICHI,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,8,12,0,0,8,11,20,0,20
WALDO BALLIVIAN,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,2,0,0,1,0,0,2,1,3
WARNES,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,360,359,57,53,0,0,719,110,829
YACO,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,19,17,10,4,0,0,36,14,50
YACUIBA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,296,287,54,46,193,193,583,100,683
YAMPARAEZ,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,15,12,2,1,19,12,27,3,30
YANACACHI,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,18,4,0,0,0,0,22,0,22
YAPACANI,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,170,137,23,14,0,0,307,37,344
YOCALLA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,3,10,0,0,3,3,13,0,13
YOTALA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,17,18,2,2,12,16,35,4,39
YUNCHARA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,15,16,17,1,0,0,31,18,49
YUNGUYO DE LITORAL,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,2,2,0,0,2,2,4,0,4
ZUDAÑEZ,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,18,26,5,14,0,0,44,19,63
ACACIO,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,6,5,0,0,0,0,11,0,11
ACHACACHI,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,28,41,12,10,0,0,69,22,91
ACHOCALLA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,33,29,2,4,1,0,62,6,68
AIQUILE,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,28,28,47,42,13,17,56,89,145
ALALAY,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,6,3,2,0,0,1,9,2,11
ALCALA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,4,12,0,0,0,2,16,0,16
ALTO BENI,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,44,39,2,1,0,0,83,3,86
ANCORAIMES,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,5,3,6,4,2,1,8,10,18
ANDAMARCA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,5,1,0,0,0,0,6,0,6
ANTEQUERA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,4,1,0,0,0,0,5,0,5
ANZALDO,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,7,7,2,3,0,0,14,5,19
APOLO,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,51,44,25,23,12,15,95,48,143
ARAMPAMPA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,3,2,0,0,0,0,5,0,5
ARANI,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,13,17,5,8,0,0,30,13,43
ARBIETO,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,61,52,11,22,0,0,113,33,146
ARQUE,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,37,17,0,0,0,0,54,0,54
ASCENCION DE GUARAYOS,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,26,22,4,2,13,10,48,6,54
ATOCHA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,22,30,2,3,2,3,52,5,57
AUCAPATA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,17,6,0,0,7,3,23,0,23
AYATA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,13,14,0,0,2,1,27,0,27
AYO AYO,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,11,8,3,8,0,0,19,11,30
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,57,50,8,4,3,4,107,12,119
AZURDUY,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,25,21,8,5,8,4,46,13,59
BATALLAS,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,9,12,8,8,0,0,21,16,37
BAURES,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,6,2,1,0,2,0,8,1,9
BELEN DE ANDAMARCA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,1,2,1,0,0,0,3,1,4
BELEN DE URMIRI,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,2,1,0,0,0,0,3,0,3
BELLA FLOR,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,10,7,4,4,0,0,17,8,25
BERMEJO,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,157,129,25,26,0,1,286,51,337
BETANZOS,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,26,36,2,3,0,0,62,5,67
BOLIVAR,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,12,10,2,2,0,0,22,4,26
BOLPEBRA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,2,0,1,1,0,0,2,2,4
BOYUIBE,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,10,9,0,1,0,0,19,1,20
BUENA VISTA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,14,19,0,4,3,2,33,4,37
CABEZAS,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,57,42,6,2,2,2,99,8,107
CAIROMA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,24,16,5,0,0,0,40,5,45
"CAIZA ""D""",consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,27,14,2,1,0,0,41,3,44
CAJUATA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,24,13,2,0,7,2,37,2,39
CALACOTO,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,6,6,1,0,0,0,12,1,13
CALAMARCA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,28,13,0,0,0,0,41,0,41
CAMARGO,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,17,20,6,0,0,0,37,6,43
CAMATAQUI (C. VILLA ABECIA),consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,5,5,0,1,0,0,10,1,11
CAMIRI,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,35,24,9,7,0,1,59,16,75
CAPINOTA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,74,73,9,3,0,0,147,12,159
CAQUIAVIRI,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,21,12,2,2,0,0,33,4,37
CARACOLLO,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,48,49,1,6,4,2,97,7,104
CARANAVI,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,163,139,20,11,12,11,302,31,333
CARANGAS,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,1,1,0,0,0,0,2,0,2
CARAPARI,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,36,24,4,0,2,2,60,4,64
CARIPUYO,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,5,7,0,1,0,0,12,1,13
CARMEN RIVERO TORREZ,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,9,8,1,0,0,0,17,1,18
CATACORA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,4,0,0,2,0,0,4,2,6
CHACARILLA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,5,6,0,0,0,0,11,0,11
CHALLAPATA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,39,30,6,5,11,12,69,11,80
CHAQUI,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,13,7,1,0,0,0,20,1,21
CHARAGUA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,116,83,21,8,0,0,199,29,228
CHARAÑA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,2,3,1,3,0,0,5,4,9
CHAYANTA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,18,31,0,0,12,5,49,0,49
CHIMORE,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,112,122,15,11,0,0,234,26,260
CHIPAYA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,3,2,1,0,0,0,5,1,6
CHOQUE COTA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,0,2,0,1,0,0,2,1,3
CHUA COCANI,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,2,2,8,4,0,0,4,12,16
CHULUMANI (V. DE LA LIBERTAD),consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,17,34,13,10,1,2,51,23,74
CHUMA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,9,15,0,0,7,12,24,0,24
CHUQUIHUTA AYLLU JUCUMANI,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,16,14,1,1,0,0,30,2,32
CKOCHAS,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,16,24,0,0,2,1,40,0,40
CLIZA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,36,47,31,35,0,0,83,66,149
COBIJA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,82,69,51,63,0,12,151,114,265
COCAPATA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,86,80,5,1,0,0,166,6,172
COCHABAMBA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,1734,1638,619,601,200,196,3372,1220,4592
COIPASA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,0,1,1,3,0,0,1,4,5
COLCAPIRHUA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,80,53,50,40,0,0,133,90,223
"COLCHA ""K""",consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,30,26,1,5,0,1,56,6,62
COLLANA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,3,1,0,0,0,0,4,0,4
COLOMI,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,50,41,5,9,11,4,91,14,105
COLPA BELGICA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,7,10,1,3,5,9,17,4,21
COLQUECHACA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,36,35,0,0,0,0,71,0,71
COLQUENCHA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,22,20,3,3,0,0,42,6,48
COLQUIRI,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,28,20,10,12,18,9,48,22,70
COMANCHE,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,2,0,0,0,0,0,2,0,2
COMARAPA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,37,29,4,2,3,3,66,6,72
COMBAYA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,1,1,0,2,0,0,2,2,4
CONCEPCION,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,42,36,7,9,2,8,78,16,94
COPACABANA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,12,7,0,1,0,0,19,1,20
CORIPATA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,42,28,5,4,0,0,70,9,79
CORO CORO,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,12,15,3,5,0,0,27,8,35
COROICO,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,49,34,12,17,2,0,83,29,112
CORQUE,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,10,15,0,0,0,0,25,0,25
COTAGAITA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,31,44,1,0,13,10,75,1,76
COTOCA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,119,88,13,4,84,57,207,17,224
CUATRO CAÑADAS,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,25,33,12,7,0,2,58,19,77
CUCHUMUELA (V. G. VILLARROEL),consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,7,5,0,0,0,0,12,0,12
CUEVO,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,8,12,14,7,0,0,20,21,41
CULPINA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,24,10,0,2,0,0,34,2,36
CURAHUARA DE CARANGAS,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,2,3,0,0,1,3,5,0,5
CURVA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,8,10,0,1,3,1,18,1,19
DESAGUADERO,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,11,7,2,2,0,0,18,4,22
EL ALTO,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,1691,1615,757,808,152,156,3306,1565,4871
EL CHORO,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,0,7,0,1,0,2,7,1,8
EL PUENTE(STC),consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,22,30,0,0,4,9,52,0,52
EL PUENTE(TJA),consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,20,24,0,0,9,9,44,0,44
EL TORNO,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,197,188,195,221,0,0,385,416,801
EL VILLAR,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,8,5,0,0,0,0,13,0,13
ENTRE RIOS TRJ,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,50,29,3,2,0,0,79,5,84
ENTRE RIOS CBBA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,155,144,13,7,0,0,299,20,319
ESCARA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,1,1,0,0,0,0,2,0,2
ESCOMA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,11,14,1,0,0,0,25,1,26
EUCALIPTUS,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,6,5,1,0,1,1,11,1,12
EXALTACION,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,12,19,0,1,0,0,31,1,32
FERNANDEZ ALONSO,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,43,18,6,2,2,1,61,8,69
FILADELFIA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,12,12,1,0,9,6,24,1,25
GAIOC JATUN AYLLU YURA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,12,12,0,0,0,0,24,0,24
GENERAL SAAVEDRA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,52,57,5,11,0,0,109,16,125
GIA-TIM,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,7,14,1,1,1,1,21,2,23
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,25,18,3,1,1,2,43,4,47
GUANAY,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,28,24,30,44,0,0,52,74,126
GUAQUI,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,8,4,3,0,3,2,12,3,15
GUAYARAMERIN,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,71,74,3,5,8,6,145,8,153
GUTIERREZ,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,41,38,0,0,0,0,79,0,79
HUACARAJE,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,7,3,4,3,0,0,10,7,17
HUACARETA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,10,8,8,6,0,0,18,14,32
HUACAYA (VILLA DE HUACAYA),consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,1,6,1,0,0,0,7,1,8
HUACHACALLA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,0,1,1,1,0,0,1,2,3
HUANUNI,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,33,20,10,6,3,2,53,16,69
HUARINA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,12,8,10,10,0,0,20,20,40
HUATAJATA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,2,1,7,2,0,0,3,9,12
HUAYLLAMARCA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,5,9,2,1,0,0,14,3,17
HUMANATA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,1,1,3,3,0,0,2,6,8
ICHOCA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,11,6,5,6,1,0,17,11,28
ICLA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,12,10,1,1,0,0,22,2,24
INCAHUASI,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,27,39,0,0,4,5,66,0,66
INGAVI (HUMAITA),consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,3,6,0,0,0,0,9,0,9
INQUISIVI,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,22,19,0,0,1,2,41,0,41
IRUPANA (VILLA DE LANZA),consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,28,37,7,2,0,0,65,9,74
IXIAMAS,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,30,51,6,11,0,0,81,17,98
JESUS DE MACHACA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,11,12,9,5,0,0,23,14,37
LA ASUNTA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,95,94,19,11,52,55,189,30,219
