,group,variable,month,TOTAL 1.5 PERSONAS DE 60 AÑOS Y MÁS NUEVO,TOTAL 1.5 PERSONAS DE 60 AÑOS Y MÁS NUEVO,TOTAL 1.5 PERSONAS DE 60 AÑOS Y MÁS REPETIDO,TOTAL 1.5 PERSONAS DE 60 AÑOS Y MÁS REPETIDO,TOTALES,TOTALES,TOTALES
TACACOMA,consulta externa, personas de 60 anos y mas,2014-01-01,86,44,2,4,88,48,136
TACOBAMBA,consulta externa, personas de 60 anos y mas,2014-01-01,41,52,2,1,43,53,96
TACOPAYA,consulta externa, personas de 60 anos y mas,2014-01-01,33,93,2,0,35,93,128
TAHUA,consulta externa, personas de 60 anos y mas,2014-01-01,15,6,0,0,15,6,21
TAPACARI,consulta externa, personas de 60 anos y mas,2014-01-01,159,389,1,2,160,391,551
TARABUCO,consulta externa, personas de 60 anos y mas,2014-01-01,221,295,12,16,233,311,544
TARACO,consulta externa, personas de 60 anos y mas,2014-01-01,103,96,98,85,201,181,382
TARATA,consulta externa, personas de 60 anos y mas,2014-01-01,35,66,4,17,39,83,122
TARIJA,consulta externa, personas de 60 anos y mas,2014-01-01,3278,4538,1940,2828,5218,7366,12584
TARVITA,consulta externa, personas de 60 anos y mas,2014-01-01,195,329,5,15,200,344,544
TEOPONTE,consulta externa, personas de 60 anos y mas,2014-01-01,106,62,12,20,118,82,200
TIAWANACU,consulta externa, personas de 60 anos y mas,2014-01-01,132,137,28,27,160,164,324
TINGUIPAYA,consulta externa, personas de 60 anos y mas,2014-01-01,43,83,3,2,46,85,131
TIPUANI,consulta externa, personas de 60 anos y mas,2014-01-01,114,76,35,22,149,98,247
TIQUIPAYA,consulta externa, personas de 60 anos y mas,2014-01-01,43,82,12,36,55,118,173
TIRAQUE (CBBA),consulta externa, personas de 60 anos y mas,2014-01-01,69,86,8,13,77,99,176
TITO YUPANQUI (PARQUIPUJIO),consulta externa, personas de 60 anos y mas,2014-01-01,36,42,10,5,46,47,93
TOCO,consulta externa, personas de 60 anos y mas,2014-01-01,40,91,4,2,44,93,137
TODOS SANTOS,consulta externa, personas de 60 anos y mas,2014-01-01,4,4,0,0,4,4,8
TOLATA,consulta externa, personas de 60 anos y mas,2014-01-01,25,74,4,4,29,78,107
TOLEDO,consulta externa, personas de 60 anos y mas,2014-01-01,54,55,2,3,56,58,114
TOMAVE,consulta externa, personas de 60 anos y mas,2014-01-01,181,282,5,7,186,289,475
TOMINA,consulta externa, personas de 60 anos y mas,2014-01-01,100,157,0,1,100,158,258
TORO TORO,consulta externa, personas de 60 anos y mas,2014-01-01,33,63,0,1,33,64,97
TOTORA(CBBA),consulta externa, personas de 60 anos y mas,2014-01-01,20,30,0,1,20,31,51
TOTORA(ORR),consulta externa, personas de 60 anos y mas,2014-01-01,57,48,2,5,59,53,112
TRIGAL,consulta externa, personas de 60 anos y mas,2014-01-01,18,37,12,34,30,71,101
TRINIDAD,consulta externa, personas de 60 anos y mas,2014-01-01,2013,2030,355,559,2368,2589,4957
TUPIZA,consulta externa, personas de 60 anos y mas,2014-01-01,871,1070,113,216,984,1286,2270
TURCO,consulta externa, personas de 60 anos y mas,2014-01-01,22,22,1,0,23,22,45
UMALA,consulta externa, personas de 60 anos y mas,2014-01-01,70,90,3,5,73,95,168
UNCIA,consulta externa, personas de 60 anos y mas,2014-01-01,179,238,62,88,241,326,567
URIONDO (A. CONCEPCION),consulta externa, personas de 60 anos y mas,2014-01-01,335,506,12,10,347,516,863
URUBICHA,consulta externa, personas de 60 anos y mas,2014-01-01,25,25,0,3,25,28,53
UYUNI,consulta externa, personas de 60 anos y mas,2014-01-01,329,349,48,44,377,393,770
VACAS,consulta externa, personas de 60 anos y mas,2014-01-01,72,118,7,13,79,131,210
VALLEGRANDE,consulta externa, personas de 60 anos y mas,2014-01-01,246,433,347,529,593,962,1555
VIACHA,consulta externa, personas de 60 anos y mas,2014-01-01,398,391,141,123,539,514,1053
VILA VILA,consulta externa, personas de 60 anos y mas,2014-01-01,5,12,0,0,5,12,17
VILLA CHARCAS,consulta externa, personas de 60 anos y mas,2014-01-01,69,155,0,2,69,157,226
VILLA MONTES,consulta externa, personas de 60 anos y mas,2014-01-01,630,603,245,183,875,786,1661
VILLA NUEVA (LOMA ALTA),consulta externa, personas de 60 anos y mas,2014-01-01,19,21,3,3,22,24,46
VILLA RIVERO,consulta externa, personas de 60 anos y mas,2014-01-01,52,76,5,6,57,82,139
VILLA SERRANO,consulta externa, personas de 60 anos y mas,2014-01-01,182,252,24,12,206,264,470
VILLA TUNARI,consulta externa, personas de 60 anos y mas,2014-01-01,299,264,21,25,320,289,609
VILLA VACA GUZMAN (MUYUPAMPA),consulta externa, personas de 60 anos y mas,2014-01-01,114,120,0,4,114,124,238
VILLAZON,consulta externa, personas de 60 anos y mas,2014-01-01,271,421,52,63,323,484,807
VINTO,consulta externa, personas de 60 anos y mas,2014-01-01,145,130,41,28,186,158,344
VITICHI,consulta externa, personas de 60 anos y mas,2014-01-01,85,211,2,4,87,215,302
WALDO BALLIVIAN,consulta externa, personas de 60 anos y mas,2014-01-01,22,27,2,9,24,36,60
WARNES,consulta externa, personas de 60 anos y mas,2014-01-01,286,268,16,21,302,289,591
YACO,consulta externa, personas de 60 anos y mas,2014-01-01,113,88,4,2,117,90,207
YACUIBA,consulta externa, personas de 60 anos y mas,2014-01-01,903,1159,254,391,1157,1550,2707
YAMPARAEZ,consulta externa, personas de 60 anos y mas,2014-01-01,101,190,4,4,105,194,299
YANACACHI,consulta externa, personas de 60 anos y mas,2014-01-01,37,25,10,11,47,36,83
YAPACANI,consulta externa, personas de 60 anos y mas,2014-01-01,453,282,4,2,457,284,741
YOCALLA,consulta externa, personas de 60 anos y mas,2014-01-01,69,103,0,2,69,105,174
YOTALA,consulta externa, personas de 60 anos y mas,2014-01-01,86,154,38,65,124,219,343
YUNCHARA,consulta externa, personas de 60 anos y mas,2014-01-01,111,151,1,0,112,151,263
ZUDAÑEZ,consulta externa, personas de 60 anos y mas,2014-01-01,42,72,1,1,43,73,116
ACACIO,consulta externa, personas de 60 anos y mas,2014-02-01,22,45,0,3,22,48,70
ACHACACHI,consulta externa, personas de 60 anos y mas,2014-02-01,379,448,212,231,591,679,1270
ACHOCALLA,consulta externa, personas de 60 anos y mas,2014-02-01,60,52,9,8,69,60,129
AIQUILE,consulta externa, personas de 60 anos y mas,2014-02-01,127,158,64,66,191,224,415
ALALAY,consulta externa, personas de 60 anos y mas,2014-02-01,2,12,0,0,2,12,14
ALCALA,consulta externa, personas de 60 anos y mas,2014-02-01,41,78,0,1,41,79,120
ALTO BENI,consulta externa, personas de 60 anos y mas,2014-02-01,121,70,2,0,123,70,193
ANCORAIMES,consulta externa, personas de 60 anos y mas,2014-02-01,144,146,34,41,178,187,365
ANDAMARCA,consulta externa, personas de 60 anos y mas,2014-02-01,45,48,2,2,47,50,97
ANTEQUERA,consulta externa, personas de 60 anos y mas,2014-02-01,23,37,0,0,23,37,60
ANZALDO,consulta externa, personas de 60 anos y mas,2014-02-01,78,101,26,77,104,178,282
APOLO,consulta externa, personas de 60 anos y mas,2014-02-01,59,73,8,15,67,88,155
ARAMPAMPA,consulta externa, personas de 60 anos y mas,2014-02-01,21,15,0,0,21,15,36
ARANI,consulta externa, personas de 60 anos y mas,2014-02-01,27,57,0,3,27,60,87
ARBIETO,consulta externa, personas de 60 anos y mas,2014-02-01,58,72,37,43,95,115,210
ARQUE,consulta externa, personas de 60 anos y mas,2014-02-01,23,42,3,2,26,44,70
ASCENCION DE GUARAYOS,consulta externa, personas de 60 anos y mas,2014-02-01,105,79,8,5,113,84,197
ATOCHA,consulta externa, personas de 60 anos y mas,2014-02-01,112,116,21,32,133,148,281
AUCAPATA,consulta externa, personas de 60 anos y mas,2014-02-01,69,58,5,8,74,66,140
AYATA,consulta externa, personas de 60 anos y mas,2014-02-01,39,59,8,13,47,72,119
AYO AYO,consulta externa, personas de 60 anos y mas,2014-02-01,87,58,5,8,92,66,158
AYOPAYA (V. DE INDEPENDENCIA),consulta externa, personas de 60 anos y mas,2014-02-01,114,157,15,13,129,170,299
AZURDUY,consulta externa, personas de 60 anos y mas,2014-02-01,61,73,0,4,61,77,138
BATALLAS,consulta externa, personas de 60 anos y mas,2014-02-01,199,162,8,5,207,167,374
BAURES,consulta externa, personas de 60 anos y mas,2014-02-01,79,73,2,4,81,77,158
BELEN DE ANDAMARCA,consulta externa, personas de 60 anos y mas,2014-02-01,32,49,2,7,34,56,90
BELEN DE URMIRI,consulta externa, personas de 60 anos y mas,2014-02-01,9,12,0,4,9,16,25
BELLA FLOR,consulta externa, personas de 60 anos y mas,2014-02-01,26,13,1,0,27,13,40
BERMEJO,consulta externa, personas de 60 anos y mas,2014-02-01,824,749,87,85,911,834,1745
BETANZOS,consulta externa, personas de 60 anos y mas,2014-02-01,403,496,55,96,458,592,1050
BOLIVAR,consulta externa, personas de 60 anos y mas,2014-02-01,26,25,1,0,27,25,52
BOLPEBRA,consulta externa, personas de 60 anos y mas,2014-02-01,20,12,1,0,21,12,33
BOYUIBE,consulta externa, personas de 60 anos y mas,2014-02-01,32,74,6,4,38,78,116
BUENA VISTA,consulta externa, personas de 60 anos y mas,2014-02-01,79,68,1,0,80,68,148
CABEZAS,consulta externa, personas de 60 anos y mas,2014-02-01,218,216,23,50,241,266,507
CAIROMA,consulta externa, personas de 60 anos y mas,2014-02-01,143,138,10,7,153,145,298
"CAIZA ""D""",consulta externa, personas de 60 anos y mas,2014-02-01,99,160,3,3,102,163,265
CAJUATA,consulta externa, personas de 60 anos y mas,2014-02-01,145,121,1,0,146,121,267
CALACOTO,consulta externa, personas de 60 anos y mas,2014-02-01,61,98,9,12,70,110,180
CALAMARCA,consulta externa, personas de 60 anos y mas,2014-02-01,181,215,15,36,196,251,447
CAMARGO,consulta externa, personas de 60 anos y mas,2014-02-01,297,406,39,57,336,463,799
CAMATAQUI (C. VILLA ABECIA),consulta externa, personas de 60 anos y mas,2014-02-01,49,73,2,6,51,79,130
CAMIRI,consulta externa, personas de 60 anos y mas,2014-02-01,646,772,159,189,805,961,1766
CAPINOTA,consulta externa, personas de 60 anos y mas,2014-02-01,127,119,48,43,175,162,337
CAQUIAVIRI,consulta externa, personas de 60 anos y mas,2014-02-01,152,129,59,43,211,172,383
CARACOLLO,consulta externa, personas de 60 anos y mas,2014-02-01,131,129,17,22,148,151,299
CARANAVI,consulta externa, personas de 60 anos y mas,2014-02-01,256,107,139,86,395,193,588
CARANGAS,consulta externa, personas de 60 anos y mas,2014-02-01,3,2,0,0,3,2,5
CARAPARI,consulta externa, personas de 60 anos y mas,2014-02-01,158,166,10,11,168,177,345
CARIPUYO,consulta externa, personas de 60 anos y mas,2014-02-01,22,39,0,1,22,40,62
CARMEN RIVERO TORREZ,consulta externa, personas de 60 anos y mas,2014-02-01,27,25,7,9,34,34,68
CATACORA,consulta externa, personas de 60 anos y mas,2014-02-01,4,11,1,0,5,11,16
CHACARILLA,consulta externa, personas de 60 anos y mas,2014-02-01,30,41,1,1,31,42,73
CHALLAPATA,consulta externa, personas de 60 anos y mas,2014-02-01,137,137,81,105,218,242,460
CHAQUI,consulta externa, personas de 60 anos y mas,2014-02-01,107,168,4,1,111,169,280
CHARAGUA,consulta externa, personas de 60 anos y mas,2014-02-01,200,246,5,12,205,258,463
CHARAÑA,consulta externa, personas de 60 anos y mas,2014-02-01,38,28,3,7,41,35,76
CHAYANTA,consulta externa, personas de 60 anos y mas,2014-02-01,78,136,13,10,91,146,237
CHIMORE,consulta externa, personas de 60 anos y mas,2014-02-01,99,81,1,1,100,82,182
CHIPAYA,consulta externa, personas de 60 anos y mas,2014-02-01,13,6,1,0,14,6,20
CHOQUE COTA,consulta externa, personas de 60 anos y mas,2014-02-01,10,13,0,0,10,13,23
CHUA COCANI,consulta externa, personas de 60 anos y mas,2014-02-01,65,65,3,8,68,73,141
CHULUMANI (V. DE LA LIBERTAD),consulta externa, personas de 60 anos y mas,2014-02-01,83,61,16,15,99,76,175
CHUMA,consulta externa, personas de 60 anos y mas,2014-02-01,146,131,43,43,189,174,363
CHUQUIHUTA AYLLU JUCUMANI,consulta externa, personas de 60 anos y mas,2014-02-01,8,13,0,0,8,13,21
CKOCHAS,consulta externa, personas de 60 anos y mas,2014-02-01,64,51,4,3,68,54,122
CLIZA,consulta externa, personas de 60 anos y mas,2014-02-01,97,158,34,41,131,199,330
COBIJA,consulta externa, personas de 60 anos y mas,2014-02-01,316,304,109,172,425,476,901
COCAPATA,consulta externa, personas de 60 anos y mas,2014-02-01,13,17,1,2,14,19,33
COCHABAMBA,consulta externa, personas de 60 anos y mas,2014-02-01,7302,9097,7828,9459,15130,18556,33686
COIPASA,consulta externa, personas de 60 anos y mas,2014-02-01,11,16,0,0,11,16,27
COLCAPIRHUA,consulta externa, personas de 60 anos y mas,2014-02-01,154,99,140,98,294,197,491
"COLCHA ""K""",consulta externa, personas de 60 anos y mas,2014-02-01,77,108,4,8,81,116,197
COLLANA,consulta externa, personas de 60 anos y mas,2014-02-01,49,64,37,50,86,114,200
COLOMI,consulta externa, personas de 60 anos y mas,2014-02-01,37,31,1,1,38,32,70
COLPA BELGICA,consulta externa, personas de 60 anos y mas,2014-02-01,103,61,36,12,139,73,212
COLQUECHACA,consulta externa, personas de 60 anos y mas,2014-02-01,144,163,23,16,167,179,346
COLQUENCHA,consulta externa, personas de 60 anos y mas,2014-02-01,69,89,29,29,98,118,216
COLQUIRI,consulta externa, personas de 60 anos y mas,2014-02-01,125,123,16,4,141,127,268
COMANCHE,consulta externa, personas de 60 anos y mas,2014-02-01,52,25,6,1,58,26,84
COMARAPA,consulta externa, personas de 60 anos y mas,2014-02-01,152,153,18,37,170,190,360
COMBAYA,consulta externa, personas de 60 anos y mas,2014-02-01,32,27,4,1,36,28,64
CONCEPCION,consulta externa, personas de 60 anos y mas,2014-02-01,15,31,3,3,18,34,52
COPACABANA,consulta externa, personas de 60 anos y mas,2014-02-01,98,89,18,12,116,101,217
CORIPATA,consulta externa, personas de 60 anos y mas,2014-02-01,90,75,49,46,139,121,260
CORO CORO,consulta externa, personas de 60 anos y mas,2014-02-01,70,83,8,10,78,93,171
COROICO,consulta externa, personas de 60 anos y mas,2014-02-01,134,88,119,121,253,209,462
CORQUE,consulta externa, personas de 60 anos y mas,2014-02-01,65,72,8,3,73,75,148
COTAGAITA,consulta externa, personas de 60 anos y mas,2014-02-01,385,644,38,40,423,684,1107
COTOCA,consulta externa, personas de 60 anos y mas,2014-02-01,194,59,36,51,230,110,340
CRUZ DE MACHACAMARCA,consulta externa, personas de 60 anos y mas,2014-02-01,5,4,0,1,5,5,10
CUATRO CAÑADAS,consulta externa, personas de 60 anos y mas,2014-02-01,74,57,23,14,97,71,168
CUCHUMUELA (V. G. VILLARROEL),consulta externa, personas de 60 anos y mas,2014-02-01,9,20,0,0,9,20,29
CUEVO,consulta externa, personas de 60 anos y mas,2014-02-01,46,70,20,29,66,99,165
CULPINA,consulta externa, personas de 60 anos y mas,2014-02-01,191,293,12,5,203,298,501
CURAHUARA DE CARANGAS,consulta externa, personas de 60 anos y mas,2014-02-01,21,32,1,3,22,35,57
CURVA,consulta externa, personas de 60 anos y mas,2014-02-01,35,42,7,2,42,44,86
DESAGUADERO,consulta externa, personas de 60 anos y mas,2014-02-01,57,66,40,28,97,94,191
EL ALTO,consulta externa, personas de 60 anos y mas,2014-02-01,4461,4786,2884,2688,7345,7474,14819
EL CHORO,consulta externa, personas de 60 anos y mas,2014-02-01,41,48,5,1,46,49,95
EL PUENTE(STC),consulta externa, personas de 60 anos y mas,2014-02-01,90,68,2,3,92,71,163
EL PUENTE(TJA),consulta externa, personas de 60 anos y mas,2014-02-01,164,291,7,15,171,306,477
EL TORNO,consulta externa, personas de 60 anos y mas,2014-02-01,740,710,220,222,960,932,1892
EL VILLAR,consulta externa, personas de 60 anos y mas,2014-02-01,81,125,1,7,82,132,214
ENTRE RIOS TRJ,consulta externa, personas de 60 anos y mas,2014-02-01,286,385,13,17,299,402,701
ENTRE RIOS CBBA,consulta externa, personas de 60 anos y mas,2014-02-01,55,44,9,1,64,45,109
ESCARA,consulta externa, personas de 60 anos y mas,2014-02-01,4,6,1,5,5,11,16
ESCOMA,consulta externa, personas de 60 anos y mas,2014-02-01,64,71,30,23,94,94,188
ESMERALDA,consulta externa, personas de 60 anos y mas,2014-02-01,10,2,0,0,10,2,12
EUCALIPTUS,consulta externa, personas de 60 anos y mas,2014-02-01,65,51,3,1,68,52,120
EUREKA (SANTOS MERCADO),consulta externa, personas de 60 anos y mas,2014-02-01,9,1,1,0,10,1,11
EXALTACION,consulta externa, personas de 60 anos y mas,2014-02-01,2124,9,0,1,2124,10,2134
FERNANDEZ ALONSO,consulta externa, personas de 60 anos y mas,2014-02-01,100,115,11,13,111,128,239
FILADELFIA,consulta externa, personas de 60 anos y mas,2014-02-01,40,28,3,0,43,28,71
GENERAL SAAVEDRA,consulta externa, personas de 60 anos y mas,2014-02-01,143,157,27,34,170,191,361
GRAL. J.J. PEREZ (CHARAZANI),consulta externa, personas de 60 anos y mas,2014-02-01,106,115,6,9,112,124,236
GUANAY,consulta externa, personas de 60 anos y mas,2014-02-01,140,101,5,5,145,106,251
GUAQUI,consulta externa, personas de 60 anos y mas,2014-02-01,88,108,9,6,97,114,211
GUAYARAMERIN,consulta externa, personas de 60 anos y mas,2014-02-01,376,391,75,257,451,648,1099
GUTIERREZ,consulta externa, personas de 60 anos y mas,2014-02-01,93,112,12,2,105,114,219
HUACARETA,consulta externa, personas de 60 anos y mas,2014-02-01,96,153,2,2,98,155,253
HUACAYA (VILLA DE HUACAYA),consulta externa, personas de 60 anos y mas,2014-02-01,31,49,0,2,31,51,82
HUACHACALLA,consulta externa, personas de 60 anos y mas,2014-02-01,23,32,1,5,24,37,61
HUANUNI,consulta externa, personas de 60 anos y mas,2014-02-01,337,250,135,82,472,332,804
HUARACAJE,consulta externa, personas de 60 anos y mas,2014-02-01,23,18,8,0,31,18,49
HUARINA,consulta externa, personas de 60 anos y mas,2014-02-01,55,52,69,43,124,95,219
HUATAJATA,consulta externa, personas de 60 anos y mas,2014-02-01,70,97,77,66,147,163,310
HUAYLLAMARCA,consulta externa, personas de 60 anos y mas,2014-02-01,87,119,1,5,88,124,212
HUMANATA,consulta externa, personas de 60 anos y mas,2014-02-01,39,43,19,15,58,58,116
ICHOCA,consulta externa, personas de 60 anos y mas,2014-02-01,82,71,0,0,82,71,153
ICLA,consulta externa, personas de 60 anos y mas,2014-02-01,125,196,12,12,137,208,345
INCAHUASI,consulta externa, personas de 60 anos y mas,2014-02-01,102,169,1,6,103,175,278
INGAVI (HUMAITA),consulta externa, personas de 60 anos y mas,2014-02-01,6,1,0,0,6,1,7
INQUISIVI,consulta externa, personas de 60 anos y mas,2014-02-01,82,75,16,12,98,87,185
IRUPANA (VILLA DE LANZA),consulta externa, personas de 60 anos y mas,2014-02-01,167,141,44,31,211,172,383
IXIAMAS,consulta externa, personas de 60 anos y mas,2014-02-01,42,24,1,0,43,24,67
JESUS DE MACHACA,consulta externa, personas de 60 anos y mas,2014-02-01,364,442,48,93,412,535,947
LA ASUNTA,consulta externa, personas de 60 anos y mas,2014-02-01,84,57,53,27,137,84,221
LA GUARDIA,consulta externa, personas de 60 anos y mas,2014-02-01,243,316,23,18,266,334,600
LA PAZ,consulta externa, personas de 60 anos y mas,2014-02-01,9994,13277,10064,16267,20058,29544,49602
LA RIVERA,consulta externa, personas de 60 anos y mas,2014-02-01,6,9,0,2,6,11,17
LAGUNILLAS,consulta externa, personas de 60 anos y mas,2014-02-01,40,60,1,2,41,62,103
LAJA,consulta externa, personas de 60 anos y mas,2014-02-01,143,124,51,55,194,179,373
LAS CARRERAS,consulta externa, personas de 60 anos y mas,2014-02-01,51,94,0,0,51,94,145
LICOMA PAMPA,consulta externa, personas de 60 anos y mas,2014-02-01,49,31,5,6,54,37,91
LLALLAGUA,consulta externa, personas de 60 anos y mas,2014-02-01,120,189,7,19,127,208,335
LLICA,consulta externa, personas de 60 anos y mas,2014-02-01,45,77,3,2,48,79,127
LORETO,consulta externa, personas de 60 anos y mas,2014-02-01,55,33,5,4,60,37,97
LURIBAY,consulta externa, personas de 60 anos y mas,2014-02-01,137,149,38,11,175,160,335
MACHACAMARCA,consulta externa, personas de 60 anos y mas,2014-02-01,64,58,26,33,90,91,181
MACHARETI,consulta externa, personas de 60 anos y mas,2014-02-01,76,135,4,16,80,151,231
MAGDALENA,consulta externa, personas de 60 anos y mas,2014-02-01,84,93,39,38,123,131,254
MAIRANA,consulta externa, personas de 60 anos y mas,2014-02-01,51,78,3,5,54,83,137
MALLA,consulta externa, personas de 60 anos y mas,2014-02-01,28,46,3,0,31,46,77
MAPIRI,consulta externa, personas de 60 anos y mas,2014-02-01,74,75,5,4,79,79,158
MECAPACA,consulta externa, personas de 60 anos y mas,2014-02-01,122,122,10,2,132,124,256
MINEROS,consulta externa, personas de 60 anos y mas,2014-02-01,125,137,59,56,184,193,377
MIZQUE,consulta externa, personas de 60 anos y mas,2014-02-01,102,82,31,54,133,136,269
MOCOMOCO,consulta externa, personas de 60 anos y mas,2014-02-01,128,89,24,18,152,107,259
MOJINETE,consulta externa, personas de 60 anos y mas,2014-02-01,16,31,0,5,16,36,52
MOJOCOYA,consulta externa, personas de 60 anos y mas,2014-02-01,74,139,19,17,93,156,249
MONTEAGUDO,consulta externa, personas de 60 anos y mas,2014-02-01,580,793,114,133,694,926,1620
MONTERO,consulta externa, personas de 60 anos y mas,2014-02-01,936,1052,553,311,1489,1363,2852
MORO MORO,consulta externa, personas de 60 anos y mas,2014-02-01,32,43,35,61,67,104,171
MOROCHATA,consulta externa, personas de 60 anos y mas,2014-02-01,33,44,5,5,38,49,87
