,group,variable,month,TOTAL 1.1 MENORES DE 5 AÑOS NUEVO,TOTAL 1.1 MENORES DE 5 AÑOS NUEVO,TOTAL 1.1 MENORES DE 5 AÑOS REPETIDO,TOTAL 1.1 MENORES DE 5 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
TOLATA,consulta externa, menores de 5 anos,2014-01-01,97,73,21,11,118,84,202
TOLEDO,consulta externa, menores de 5 anos,2014-01-01,57,35,14,3,71,38,109
TOMAVE,consulta externa, menores de 5 anos,2014-01-01,188,186,0,2,188,188,376
TOMINA,consulta externa, menores de 5 anos,2014-01-01,264,249,10,4,274,253,527
TORO TORO,consulta externa, menores de 5 anos,2014-01-01,216,185,0,1,216,186,402
TOTORA(CBBA),consulta externa, menores de 5 anos,2014-01-01,146,156,40,32,186,188,374
TOTORA(ORR),consulta externa, menores de 5 anos,2014-01-01,77,35,2,0,79,35,114
TRIGAL,consulta externa, menores de 5 anos,2014-01-01,39,38,1,5,40,43,83
TRINIDAD,consulta externa, menores de 5 anos,2014-01-01,2390,2127,569,432,2959,2559,5518
TUPIZA,consulta externa, menores de 5 anos,2014-01-01,771,659,42,43,813,702,1515
TURCO,consulta externa, menores de 5 anos,2014-01-01,49,62,0,1,49,63,112
UMALA,consulta externa, menores de 5 anos,2014-01-01,79,122,15,14,94,136,230
UNCIA,consulta externa, menores de 5 anos,2014-01-01,309,271,7,7,316,278,594
URIONDO (A. CONCEPCION),consulta externa, menores de 5 anos,2014-01-01,392,401,41,49,433,450,883
URUBICHA,consulta externa, menores de 5 anos,2014-01-01,159,113,5,2,164,115,279
UYUNI,consulta externa, menores de 5 anos,2014-01-01,772,484,19,12,791,496,1287
VACAS,consulta externa, menores de 5 anos,2014-01-01,124,97,51,59,175,156,331
VALLEGRANDE,consulta externa, menores de 5 anos,2014-01-01,202,202,58,59,260,261,521
VIACHA,consulta externa, menores de 5 anos,2014-01-01,1547,826,404,382,1951,1208,3159
VILA VILA,consulta externa, menores de 5 anos,2014-01-01,39,27,18,29,57,56,113
VILLA CHARCAS,consulta externa, menores de 5 anos,2014-01-01,262,212,9,7,271,219,490
VILLA MONTES,consulta externa, menores de 5 anos,2014-01-01,794,721,40,43,834,764,1598
VILLA NUEVA (LOMA ALTA),consulta externa, menores de 5 anos,2014-01-01,123,112,3,1,126,113,239
VILLA RIVERO,consulta externa, menores de 5 anos,2014-01-01,190,184,80,67,270,251,521
VILLA SERRANO,consulta externa, menores de 5 anos,2014-01-01,342,331,22,10,364,341,705
VILLA TUNARI,consulta externa, menores de 5 anos,2014-01-01,2476,2199,208,212,2684,2411,5095
VILLA VACA GUZMAN (MUYUPAMPA),consulta externa, menores de 5 anos,2014-01-01,160,152,8,9,168,161,329
VILLAZON,consulta externa, menores de 5 anos,2014-01-01,824,675,43,39,867,714,1581
VINTO,consulta externa, menores de 5 anos,2014-01-01,425,377,458,430,883,807,1690
VITICHI,consulta externa, menores de 5 anos,2014-01-01,120,116,2,1,122,117,239
WALDO BALLIVIAN,consulta externa, menores de 5 anos,2014-01-01,21,12,0,0,21,12,33
WARNES,consulta externa, menores de 5 anos,2014-01-01,1665,1491,106,117,1771,1608,3379
YACO,consulta externa, menores de 5 anos,2014-01-01,102,108,18,22,120,130,250
YACUIBA,consulta externa, menores de 5 anos,2014-01-01,2277,1983,309,231,2586,2214,4800
YAMPARAEZ,consulta externa, menores de 5 anos,2014-01-01,75,83,3,3,78,86,164
YANACACHI,consulta externa, menores de 5 anos,2014-01-01,105,142,8,2,113,144,257
YAPACANI,consulta externa, menores de 5 anos,2014-01-01,725,657,11,10,736,667,1403
YOCALLA,consulta externa, menores de 5 anos,2014-01-01,133,92,2,2,135,94,229
YOTALA,consulta externa, menores de 5 anos,2014-01-01,115,121,11,7,126,128,254
YUNCHARA,consulta externa, menores de 5 anos,2014-01-01,155,138,2,4,157,142,299
ZUDAÑEZ,consulta externa, menores de 5 anos,2014-01-01,181,161,9,4,190,165,355
ACACIO,consulta externa, menores de 5 anos,2014-02-01,119,123,3,2,122,125,247
ACHACACHI,consulta externa, menores de 5 anos,2014-02-01,193,180,98,99,291,279,570
ACHOCALLA,consulta externa, menores de 5 anos,2014-02-01,169,174,29,28,198,202,400
AIQUILE,consulta externa, menores de 5 anos,2014-02-01,397,363,27,26,424,389,813
ALALAY,consulta externa, menores de 5 anos,2014-02-01,51,41,0,0,51,41,92
ALCALA,consulta externa, menores de 5 anos,2014-02-01,78,59,0,2,78,61,139
ALTO BENI,consulta externa, menores de 5 anos,2014-02-01,427,308,7,1,434,309,743
ANCORAIMES,consulta externa, menores de 5 anos,2014-02-01,116,126,5,1,121,127,248
ANDAMARCA,consulta externa, menores de 5 anos,2014-02-01,29,34,0,0,29,34,63
ANTEQUERA,consulta externa, menores de 5 anos,2014-02-01,20,22,1,1,21,23,44
ANZALDO,consulta externa, menores de 5 anos,2014-02-01,67,44,152,143,219,187,406
APOLO,consulta externa, menores de 5 anos,2014-02-01,339,281,34,34,373,315,688
ARAMPAMPA,consulta externa, menores de 5 anos,2014-02-01,86,73,0,0,86,73,159
ARANI,consulta externa, menores de 5 anos,2014-02-01,231,218,15,11,246,229,475
ARBIETO,consulta externa, menores de 5 anos,2014-02-01,215,225,37,29,252,254,506
ARQUE,consulta externa, menores de 5 anos,2014-02-01,269,256,72,72,341,328,669
ASCENCION DE GUARAYOS,consulta externa, menores de 5 anos,2014-02-01,386,362,14,4,400,366,766
ATOCHA,consulta externa, menores de 5 anos,2014-02-01,320,339,38,27,358,366,724
AUCAPATA,consulta externa, menores de 5 anos,2014-02-01,55,54,2,0,57,54,111
AYATA,consulta externa, menores de 5 anos,2014-02-01,91,83,7,10,98,93,191
AYO AYO,consulta externa, menores de 5 anos,2014-02-01,44,52,1,1,45,53,98
AYOPAYA (V. DE INDEPENDENCIA),consulta externa, menores de 5 anos,2014-02-01,382,385,15,12,397,397,794
AZURDUY,consulta externa, menores de 5 anos,2014-02-01,392,357,8,7,400,364,764
BATALLAS,consulta externa, menores de 5 anos,2014-02-01,108,112,1,1,109,113,222
BAURES,consulta externa, menores de 5 anos,2014-02-01,182,139,10,5,192,144,336
BELEN DE ANDAMARCA,consulta externa, menores de 5 anos,2014-02-01,26,18,1,0,27,18,45
BELEN DE URMIRI,consulta externa, menores de 5 anos,2014-02-01,16,17,0,0,16,17,33
BELLA FLOR,consulta externa, menores de 5 anos,2014-02-01,110,80,2,3,112,83,195
BERMEJO,consulta externa, menores de 5 anos,2014-02-01,1263,1022,218,223,1481,1245,2726
BETANZOS,consulta externa, menores de 5 anos,2014-02-01,385,397,6,7,391,404,795
BOLIVAR,consulta externa, menores de 5 anos,2014-02-01,72,73,42,30,114,103,217
BOLPEBRA,consulta externa, menores de 5 anos,2014-02-01,69,51,1,1,70,52,122
BOYUIBE,consulta externa, menores de 5 anos,2014-02-01,83,65,6,2,89,67,156
BUENA VISTA,consulta externa, menores de 5 anos,2014-02-01,259,222,1,4,260,226,486
CABEZAS,consulta externa, menores de 5 anos,2014-02-01,777,636,22,10,799,646,1445
CAIROMA,consulta externa, menores de 5 anos,2014-02-01,152,144,13,8,165,152,317
"CAIZA ""D""",consulta externa, menores de 5 anos,2014-02-01,222,201,1,2,223,203,426
CAJUATA,consulta externa, menores de 5 anos,2014-02-01,243,187,5,3,248,190,438
CALACOTO,consulta externa, menores de 5 anos,2014-02-01,28,47,0,1,28,48,76
CALAMARCA,consulta externa, menores de 5 anos,2014-02-01,215,183,23,21,238,204,442
CAMARGO,consulta externa, menores de 5 anos,2014-02-01,289,285,5,2,294,287,581
CAMATAQUI (C. VILLA ABECIA),consulta externa, menores de 5 anos,2014-02-01,61,47,6,2,67,49,116
CAMIRI,consulta externa, menores de 5 anos,2014-02-01,714,634,104,134,818,768,1586
CAPINOTA,consulta externa, menores de 5 anos,2014-02-01,438,262,99,76,537,338,875
CAQUIAVIRI,consulta externa, menores de 5 anos,2014-02-01,57,56,0,1,57,57,114
CARACOLLO,consulta externa, menores de 5 anos,2014-02-01,248,221,7,7,255,228,483
CARANAVI,consulta externa, menores de 5 anos,2014-02-01,717,661,164,143,881,804,1685
CARANGAS,consulta externa, menores de 5 anos,2014-02-01,0,1,0,0,0,1,1
CARAPARI,consulta externa, menores de 5 anos,2014-02-01,416,330,30,24,446,354,800
CARIPUYO,consulta externa, menores de 5 anos,2014-02-01,102,94,3,0,105,94,199
CARMEN RIVERO TORREZ,consulta externa, menores de 5 anos,2014-02-01,51,65,5,16,56,81,137
CATACORA,consulta externa, menores de 5 anos,2014-02-01,18,14,1,1,19,15,34
CHACARILLA,consulta externa, menores de 5 anos,2014-02-01,17,11,0,0,17,11,28
CHALLAPATA,consulta externa, menores de 5 anos,2014-02-01,332,293,40,36,372,329,701
CHAQUI,consulta externa, menores de 5 anos,2014-02-01,101,86,0,2,101,88,189
CHARAGUA,consulta externa, menores de 5 anos,2014-02-01,830,696,22,26,852,722,1574
CHARAÑA,consulta externa, menores de 5 anos,2014-02-01,13,12,0,1,13,13,26
CHAYANTA,consulta externa, menores de 5 anos,2014-02-01,174,176,6,4,180,180,360
CHIMORE,consulta externa, menores de 5 anos,2014-02-01,752,664,41,37,793,701,1494
CHIPAYA,consulta externa, menores de 5 anos,2014-02-01,27,13,1,0,28,13,41
CHOQUE COTA,consulta externa, menores de 5 anos,2014-02-01,12,2,0,0,12,2,14
CHUA COCANI,consulta externa, menores de 5 anos,2014-02-01,21,18,0,0,21,18,39
CHULUMANI (V. DE LA LIBERTAD),consulta externa, menores de 5 anos,2014-02-01,290,271,51,64,341,335,676
CHUMA,consulta externa, menores de 5 anos,2014-02-01,94,80,2,0,96,80,176
CHUQUIHUTA AYLLU JUCUMANI,consulta externa, menores de 5 anos,2014-02-01,90,86,0,0,90,86,176
CKOCHAS,consulta externa, menores de 5 anos,2014-02-01,210,210,1,3,211,213,424
CLIZA,consulta externa, menores de 5 anos,2014-02-01,258,217,55,47,313,264,577
COBIJA,consulta externa, menores de 5 anos,2014-02-01,990,917,129,110,1119,1027,2146
COCAPATA,consulta externa, menores de 5 anos,2014-02-01,278,265,31,34,309,299,608
COCHABAMBA,consulta externa, menores de 5 anos,2014-02-01,9895,9003,5006,5022,14901,14025,28926
COIPASA,consulta externa, menores de 5 anos,2014-02-01,36,23,0,1,36,24,60
COLCAPIRHUA,consulta externa, menores de 5 anos,2014-02-01,537,479,580,564,1117,1043,2160
"COLCHA ""K""",consulta externa, menores de 5 anos,2014-02-01,187,189,22,17,209,206,415
COLLANA,consulta externa, menores de 5 anos,2014-02-01,37,27,8,15,45,42,87
COLOMI,consulta externa, menores de 5 anos,2014-02-01,291,260,2,2,293,262,555
COLPA BELGICA,consulta externa, menores de 5 anos,2014-02-01,266,203,24,17,290,220,510
COLQUECHACA,consulta externa, menores de 5 anos,2014-02-01,553,551,11,14,564,565,1129
COLQUENCHA,consulta externa, menores de 5 anos,2014-02-01,106,76,18,9,124,85,209
COLQUIRI,consulta externa, menores de 5 anos,2014-02-01,230,228,13,12,243,240,483
COMANCHE,consulta externa, menores de 5 anos,2014-02-01,24,16,1,0,25,16,41
COMARAPA,consulta externa, menores de 5 anos,2014-02-01,245,202,30,22,275,224,499
COMBAYA,consulta externa, menores de 5 anos,2014-02-01,33,36,0,0,33,36,69
CONCEPCION,consulta externa, menores de 5 anos,2014-02-01,383,454,32,43,415,497,912
COPACABANA,consulta externa, menores de 5 anos,2014-02-01,80,83,6,7,86,90,176
CORIPATA,consulta externa, menores de 5 anos,2014-02-01,233,221,52,32,285,253,538
CORO CORO,consulta externa, menores de 5 anos,2014-02-01,71,75,4,7,75,82,157
COROICO,consulta externa, menores de 5 anos,2014-02-01,186,151,117,75,303,226,529
CORQUE,consulta externa, menores de 5 anos,2014-02-01,94,75,2,0,96,75,171
COTAGAITA,consulta externa, menores de 5 anos,2014-02-01,561,435,24,32,585,467,1052
COTOCA,consulta externa, menores de 5 anos,2014-02-01,1099,947,76,89,1175,1036,2211
CRUZ DE MACHACAMARCA,consulta externa, menores de 5 anos,2014-02-01,1,1,0,0,1,1,2
CUATRO CAÑADAS,consulta externa, menores de 5 anos,2014-02-01,466,384,188,168,654,552,1206
CUCHUMUELA (V. G. VILLARROEL),consulta externa, menores de 5 anos,2014-02-01,5,5,0,0,5,5,10
CUEVO,consulta externa, menores de 5 anos,2014-02-01,85,67,3,4,88,71,159
CULPINA,consulta externa, menores de 5 anos,2014-02-01,348,334,198,242,546,576,1122
CURAHUARA DE CARANGAS,consulta externa, menores de 5 anos,2014-02-01,54,67,1,0,55,67,122
CURVA,consulta externa, menores de 5 anos,2014-02-01,44,43,2,2,46,45,91
DESAGUADERO,consulta externa, menores de 5 anos,2014-02-01,39,17,1,1,40,18,58
EL ALTO,consulta externa, menores de 5 anos,2014-02-01,13371,12435,3377,3338,16748,15773,32521
EL CHORO,consulta externa, menores de 5 anos,2014-02-01,69,75,1,1,70,76,146
EL PUENTE(STC),consulta externa, menores de 5 anos,2014-02-01,342,321,8,7,350,328,678
EL PUENTE(TJA),consulta externa, menores de 5 anos,2014-02-01,165,166,14,21,179,187,366
EL TORNO,consulta externa, menores de 5 anos,2014-02-01,1020,872,39,42,1059,914,1973
EL VILLAR,consulta externa, menores de 5 anos,2014-02-01,73,58,2,3,75,61,136
ENTRE RIOS TRJ,consulta externa, menores de 5 anos,2014-02-01,386,367,4,3,390,370,760
ENTRE RIOS CBBA,consulta externa, menores de 5 anos,2014-02-01,854,810,19,33,873,843,1716
ESCARA,consulta externa, menores de 5 anos,2014-02-01,1,7,0,0,1,7,8
ESCOMA,consulta externa, menores de 5 anos,2014-02-01,35,33,21,24,56,57,113
ESMERALDA,consulta externa, menores de 5 anos,2014-02-01,3,5,0,0,3,5,8
EUCALIPTUS,consulta externa, menores de 5 anos,2014-02-01,72,53,4,2,76,55,131
EUREKA (SANTOS MERCADO),consulta externa, menores de 5 anos,2014-02-01,35,40,5,0,40,40,80
EXALTACION,consulta externa, menores de 5 anos,2014-02-01,28,26,7,7,35,33,68
FERNANDEZ ALONSO,consulta externa, menores de 5 anos,2014-02-01,400,334,16,14,416,348,764
FILADELFIA,consulta externa, menores de 5 anos,2014-02-01,186,141,2,3,188,144,332
GENERAL SAAVEDRA,consulta externa, menores de 5 anos,2014-02-01,354,259,52,53,406,312,718
GRAL. J.J. PEREZ (CHARAZANI),consulta externa, menores de 5 anos,2014-02-01,146,127,1,1,147,128,275
GUANAY,consulta externa, menores de 5 anos,2014-02-01,356,365,3,4,359,369,728
GUAQUI,consulta externa, menores de 5 anos,2014-02-01,56,61,1,0,57,61,118
GUAYARAMERIN,consulta externa, menores de 5 anos,2014-02-01,932,766,258,232,1190,998,2188
GUTIERREZ,consulta externa, menores de 5 anos,2014-02-01,512,514,65,80,577,594,1171
HUACARETA,consulta externa, menores de 5 anos,2014-02-01,197,193,28,27,225,220,445
HUACAYA (VILLA DE HUACAYA),consulta externa, menores de 5 anos,2014-02-01,146,110,21,20,167,130,297
HUACHACALLA,consulta externa, menores de 5 anos,2014-02-01,11,15,1,0,12,15,27
HUANUNI,consulta externa, menores de 5 anos,2014-02-01,448,438,88,56,536,494,1030
HUARACAJE,consulta externa, menores de 5 anos,2014-02-01,59,63,3,1,62,64,126
HUARINA,consulta externa, menores de 5 anos,2014-02-01,29,45,6,4,35,49,84
HUATAJATA,consulta externa, menores de 5 anos,2014-02-01,63,66,0,2,63,68,131
HUAYLLAMARCA,consulta externa, menores de 5 anos,2014-02-01,37,37,1,3,38,40,78
HUMANATA,consulta externa, menores de 5 anos,2014-02-01,21,13,0,0,21,13,34
ICHOCA,consulta externa, menores de 5 anos,2014-02-01,36,41,0,0,36,41,77
ICLA,consulta externa, menores de 5 anos,2014-02-01,244,255,13,6,257,261,518
INCAHUASI,consulta externa, menores de 5 anos,2014-02-01,316,300,4,14,320,314,634
INGAVI (HUMAITA),consulta externa, menores de 5 anos,2014-02-01,25,23,26,9,51,32,83
INQUISIVI,consulta externa, menores de 5 anos,2014-02-01,120,99,11,13,131,112,243
IRUPANA (VILLA DE LANZA),consulta externa, menores de 5 anos,2014-02-01,308,348,16,13,324,361,685
IXIAMAS,consulta externa, menores de 5 anos,2014-02-01,349,187,6,2,355,189,544
JESUS DE MACHACA,consulta externa, menores de 5 anos,2014-02-01,170,220,42,43,212,263,475
LA ASUNTA,consulta externa, menores de 5 anos,2014-02-01,762,688,156,131,918,819,1737
LA GUARDIA,consulta externa, menores de 5 anos,2014-02-01,1404,1336,128,104,1532,1440,2972
LA PAZ,consulta externa, menores de 5 anos,2014-02-01,13497,12705,3051,3113,16548,15818,32366
LA RIVERA,consulta externa, menores de 5 anos,2014-02-01,6,3,0,0,6,3,9
LAGUNILLAS,consulta externa, menores de 5 anos,2014-02-01,260,210,3,8,263,218,481
LAJA,consulta externa, menores de 5 anos,2014-02-01,114,97,12,13,126,110,236
LAS CARRERAS,consulta externa, menores de 5 anos,2014-02-01,84,68,2,0,86,68,154
LICOMA PAMPA,consulta externa, menores de 5 anos,2014-02-01,30,18,1,1,31,19,50
LLALLAGUA,consulta externa, menores de 5 anos,2014-02-01,672,629,8,8,680,637,1317
LLICA,consulta externa, menores de 5 anos,2014-02-01,76,68,2,8,78,76,154
LORETO,consulta externa, menores de 5 anos,2014-02-01,105,104,4,2,109,106,215
LURIBAY,consulta externa, menores de 5 anos,2014-02-01,113,99,6,4,119,103,222
MACHACAMARCA,consulta externa, menores de 5 anos,2014-02-01,32,27,2,2,34,29,63
MACHARETI,consulta externa, menores de 5 anos,2014-02-01,206,184,10,4,216,188,404
MAGDALENA,consulta externa, menores de 5 anos,2014-02-01,269,239,9,16,278,255,533
MAIRANA,consulta externa, menores de 5 anos,2014-02-01,123,106,12,15,135,121,256
MALLA,consulta externa, menores de 5 anos,2014-02-01,44,29,0,1,44,30,74
MAPIRI,consulta externa, menores de 5 anos,2014-02-01,195,190,6,8,201,198,399
MECAPACA,consulta externa, menores de 5 anos,2014-02-01,155,131,6,0,161,131,292
MINEROS,consulta externa, menores de 5 anos,2014-02-01,290,289,6,6,296,295,591
MIZQUE,consulta externa, menores de 5 anos,2014-02-01,403,390,17,18,420,408,828
MOCOMOCO,consulta externa, menores de 5 anos,2014-02-01,90,79,0,0,90,79,169
MOJINETE,consulta externa, menores de 5 anos,2014-02-01,13,10,2,0,15,10,25
MOJOCOYA,consulta externa, menores de 5 anos,2014-02-01,117,107,49,57,166,164,330
MONTEAGUDO,consulta externa, menores de 5 anos,2014-02-01,781,690,114,82,895,772,1667
MONTERO,consulta externa, menores de 5 anos,2014-02-01,2905,2698,487,391,3392,3089,6481
MORO MORO,consulta externa, menores de 5 anos,2014-02-01,28,36,4,0,32,36,68
MOROCHATA,consulta externa, menores de 5 anos,2014-02-01,153,123,35,39,188,162,350
NACEBE (SANTA ROSA DEL ABUNA),consulta externa, menores de 5 anos,2014-02-01,114,90,3,1,117,91,208
NAZACARA DE PACAJES,consulta externa, menores de 5 anos,2014-02-01,8,5,0,0,8,5,13
NUEVO MANOA (NUEVA ESPERANZA),consulta externa, menores de 5 anos,2014-02-01,73,31,3,0,76,31,107
OCURI,consulta externa, menores de 5 anos,2014-02-01,284,234,5,0,289,234,523
OKINAWA,consulta externa, menores de 5 anos,2014-02-01,353,326,15,12,368,338,706
OMEREQUE,consulta externa, menores de 5 anos,2014-02-01,136,98,8,7,144,105,249
ORURO,consulta externa, menores de 5 anos,2014-02-01,4699,4403,744,678,5443,5081,10524
PADCAYA,consulta externa, menores de 5 anos,2014-02-01,426,425,9,9,435,434,869
PADILLA,consulta externa, menores de 5 anos,2014-02-01,273,295,3,5,276,300,576
PAILON,consulta externa, menores de 5 anos,2014-02-01,280,271,95,79,375,350,725
PALCA,consulta externa, menores de 5 anos,2014-02-01,313,242,9,3,322,245,567
PALOS BLANCOS,consulta externa, menores de 5 anos,2014-02-01,817,769,53,43,870,812,1682
PAMPA AULLAGAS,consulta externa, menores de 5 anos,2014-02-01,28,25,0,0,28,25,53
PAMPA GRANDE,consulta externa, menores de 5 anos,2014-02-01,166,153,5,7,171,160,331
PAPEL PAMPA,consulta externa, menores de 5 anos,2014-02-01,126,96,8,10,134,106,240
PASORAPA,consulta externa, menores de 5 anos,2014-02-01,49,48,0,2,49,50,99
PATACAMAYA,consulta externa, menores de 5 anos,2014-02-01,228,227,2,2,230,229,459
PAZÑA,consulta externa, menores de 5 anos,2014-02-01,89,61,3,0,92,61,153
PELECHUCO,consulta externa, menores de 5 anos,2014-02-01,117,98,2,0,119,98,217
POCOATA,consulta externa, menores de 5 anos,2014-02-01,294,269,5,4,299,273,572
POCONA,consulta externa, menores de 5 anos,2014-02-01,179,150,47,46,226,196,422
POJO (CBBA),consulta externa, menores de 5 anos,2014-02-01,255,237,11,4,266,241,507
POOPO,consulta externa, menores de 5 anos,2014-02-01,35,75,0,0,35,75,110
PORCO,consulta externa, menores de 5 anos,2014-02-01,147,140,5,2,152,142,294
POROMA,consulta externa, menores de 5 anos,2014-02-01,325,324,1,5,326,329,655
PORONGO,consulta externa, menores de 5 anos,2014-02-01,193,177,10,7,203,184,387
PORTACHUELO,consulta externa, menores de 5 anos,2014-02-01,401,433,153,180,554,613,1167
PORVENIR,consulta externa, menores de 5 anos,2014-02-01,146,134,13,10,159,144,303
POSTRER VALLE,consulta externa, menores de 5 anos,2014-02-01,30,22,1,1,31,23,54
POTOSI,consulta externa, menores de 5 anos,2014-02-01,4229,3747,244,247,4473,3994,8467
PRESTO,consulta externa, menores de 5 anos,2014-02-01,174,152,4,4,178,156,334
PUCARA,consulta externa, menores de 5 anos,2014-02-01,44,25,0,5,44,30,74
PUCARANI,consulta externa, menores de 5 anos,2014-02-01,274,219,9,2,283,221,504
PUERTO ACOSTA,consulta externa, menores de 5 anos,2014-02-01,105,98,0,1,105,99,204
PUERTO CARABUCO,consulta externa, menores de 5 anos,2014-02-01,75,47,10,4,85,51,136
PUERTO GONZALO MORENO,consulta externa, menores de 5 anos,2014-02-01,202,181,4,8,206,189,395
PUERTO PEREZ,consulta externa, menores de 5 anos,2014-02-01,47,52,3,5,50,57,107
PUERTO QUIJARRO,consulta externa, menores de 5 anos,2014-02-01,192,197,32,26,224,223,447
PUERTO RICO,consulta externa, menores de 5 anos,2014-02-01,232,235,3,1,235,236,471
PUERTO SILES,consulta externa, menores de 5 anos,2014-02-01,21,17,0,0,21,17,38
PUERTO SUAREZ,consulta externa, menores de 5 anos,2014-02-01,240,261,16,23,256,284,540
