,group,variable,month,TOTAL ANTIAMARÍLICA DOSIS ÚNICA DENTRO,TOTAL ANTIAMARÍLICA DOSIS ÚNICA DENTRO,TOTAL ANTIAMARÍLICA DOSIS ÚNICA FUERA,TOTAL ANTIAMARÍLICA DOSIS ÚNICA FUERA,TOTALES,TOTALES,TOTALES
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,0,0,5,5,5,5,10
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,12,13,0,0,12,13,25
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,1,3,8,7,9,10,19
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,13,20,0,0,13,20,33
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,3,6,1,2,4,8,12
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,49,53,16,12,65,65,130
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,3,2,0,0,3,2,5
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,9,11,2,6,11,17,28
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,2,3,1,9,3,12,15
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,11,14,5,8,16,22,38
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,12,7,8,4,20,11,31
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,6,3,6,7,12,10,22
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,4,6,2,7,6,13,19
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,0,4,0,0,0,4,4
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,4,1,4,0,8,1,9
SAN PEDRO(PND),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,1,1,0,0,1,1,2
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,5,1,3,1,8,2,10
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,3,0,2,4,5,4,9
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,6,8,6,5,12,13,25
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,22,14,0,0,22,14,36
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,1350,1230,39,35,1389,1265,2654
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,4,4,4,2,8,6,14
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,17,11,7,6,24,17,41
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,2,0,0,0,2,0,2
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,0,4,7,5,7,9,16
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,4,7,0,0,4,7,11
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,1,3,0,2,1,5,6
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,0,0,2,2,2,2,4
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,2,2,2,0,4,2,6
SENA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,3,7,2,1,5,8,13
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,22,17,3,3,25,20,45
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,2,4,6,7,8,11,19
SICAYA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,0,0,2,3,2,3,5
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,37,44,4,2,41,46,87
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,2,1,1,1,3,2,5
SORACACHI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,0,3,3,3,3,6,9
SORATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,8,1,12,16,20,17,37
SUCRE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,237,259,4,7,241,266,507
TACACHI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,1,1,0,0,1,1,2
TACACOMA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,0,2,0,0,0,2,2
TACOBAMBA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,1,2,4,3,5,5,10
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,3,1,3,4,6,5,11
TAHUA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,2,1,0,0,2,1,3
TAPACARI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,4,12,2,2,6,14,20
TARABUCO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,2,2,4,6,6,8,14
TARATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,8,7,2,0,10,7,17
TARIJA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,178,180,5,6,183,186,369
TARVITA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,2,5,7,1,9,6,15
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,8,4,1,3,9,7,16
TIAWANACU,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,5,8,0,0,5,8,13
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,8,8,6,2,14,10,24
TIPUANI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,0,1,10,9,10,10,20
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,39,40,2,6,41,46,87
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,9,9,2,2,11,11,22
TOCO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,2,5,6,4,8,9,17
TODOS SANTOS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,2,0,0,1,2,1,3
TOLATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,3,4,6,2,9,6,15
TOMAVE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,1,1,3,0,4,1,5
TOMINA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,1,7,2,2,3,9,12
TORO TORO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,2,1,4,2,6,3,9
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,5,12,0,1,5,13,18
TOTORA(ORR),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,0,1,1,1,1,2,3
TRIGAL,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,1,0,0,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,124,112,9,7,133,119,252
TUPIZA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,28,35,4,3,32,38,70
UMALA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,1,0,0,0,1,0,1
UNCIA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,13,14,7,11,20,25,45
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,4,5,2,4,6,9,15
URUBICHA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,6,3,1,1,7,4,11
UYUNI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,21,18,3,0,24,18,42
VACAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,1,3,5,10,6,13,19
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,20,14,0,0,20,14,34
VIACHA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,53,52,5,4,58,56,114
VILA VILA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,1,0,4,4,5,4,9
VILLA CHARCAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,5,11,6,7,11,18,29
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,23,31,15,18,38,49,87
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,5,1,1,1,6,2,8
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,2,8,4,4,6,12,18
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,34,33,16,16,50,49,99
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,2,0,1,2,3,2,5
VILLAZON,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,41,44,9,9,50,53,103
VINTO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,33,25,2,4,35,29,64
VITICHI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,6,6,1,2,7,8,15
WARNES,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,100,135,3,4,103,139,242
YACO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,7,3,3,2,10,5,15
YACUIBA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,70,55,22,18,92,73,165
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,3,2,0,2,3,4,7
YANACACHI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,6,5,0,0,6,5,11
YAPACANI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,43,35,15,17,58,52,110
YOCALLA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,2,0,2,1,4,1,5
YOTALA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,2,2,6,6,8,8,16
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,5,4,2,2,7,6,13
ZUDAÑEZ,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,1,1,4,3,5,4,9
ACACIO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,2,0,1,0,3,0,3
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,13,10,5,4,18,14,32
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,6,4,11,17,17,21,38
AIQUILE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,11,6,5,3,16,9,25
ALALAY,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,3,4,2,2,5,6,11
ALCALA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,0,1,0,0,0,1,1
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,12,7,0,0,12,7,19
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,7,5,7,5,14,10,24
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,0,0,5,3,5,3,8
ANZALDO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,1,1,2,3,3,4,7
APOLO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,3,0,2,1,5,1,6
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,2,1,4,2,6,3,9
ARANI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,14,5,5,4,19,9,28
ARBIETO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,11,10,5,9,16,19,35
ARQUE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,0,0,5,5,5,5,10
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,14,17,3,2,17,19,36
ATOCHA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,3,1,0,0,3,1,4
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,1,2,0,0,1,2,3
AYATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,4,3,3,1,7,4,11
AYO AYO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,2,2,0,0,2,2,4
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,12,13,7,13,19,26,45
AZURDUY,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,4,2,10,1,14,3,17
BATALLAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,8,6,1,0,9,6,15
BAURES,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,4,1,7,3,11,4,15
BELEN DE URMIRI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,0,0,2,3,2,3,5
BERMEJO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,13,11,2,4,15,15,30
BETANZOS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,18,14,7,7,25,21,46
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,0,0,3,2,3,2,5
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,0,2,1,0,1,2,3
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,3,3,1,3,4,6,10
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,5,4,8,11,13,15,28
CABEZAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,6,9,33,31,39,40,79
CAIROMA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,1,1,3,2,4,3,7
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,11,3,2,2,13,5,18
CAJUATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,12,3,1,2,13,5,18
CALACOTO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,0,0,1,0,1,0,1
CAMARGO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,10,20,5,2,15,22,37
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,0,0,1,1,1,1,2
CAMIRI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,29,24,1,2,30,26,56
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,14,20,2,0,16,20,36
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,2,1,0,0,2,1,3
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,4,16,3,6,7,22,29
CARANAVI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,28,32,9,10,37,42,79
CARAPARI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,0,0,10,5,10,5,15
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,1,0,2,6,3,6,9
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,0,0,4,3,4,3,7
CATACORA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,0,0,2,2,2,2,4
CHACARILLA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,0,1,0,0,0,1,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,14,5,9,2,23,7,30
CHAQUI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,4,5,1,0,5,5,10
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,0,1,66,47,66,48,114
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,2,4,3,4,5,8,13
CHIMORE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,13,8,4,7,17,15,32
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,0,0,3,1,3,1,4
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,0,0,1,6,1,6,7
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,12,8,4,2,16,10,26
CHUMA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,4,1,1,3,5,4,9
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,7,2,0,0,7,2,9
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,1,2,5,9,6,11,17
CLIZA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,13,13,4,8,17,21,38
COBIJA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,44,40,10,14,54,54,108
COCAPATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,9,4,8,5,17,9,26
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,503,512,21,30,524,542,1066
COIPASA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,0,0,0,4,0,4,4
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,32,31,0,0,32,31,63
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,7,8,0,0,7,8,15
COLLANA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,2,4,0,0,2,4,6
COLOMI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,16,12,9,10,25,22,47
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,1,1,2,2,3,3,6
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,14,12,9,15,23,27,50
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,1,0,6,5,7,5,12
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,1,1,13,12,14,13,27
COMARAPA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,15,5,6,5,21,10,31
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,24,13,5,6,29,19,48
COPACABANA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,2,1,4,5,6,6,12
CORIPATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,10,13,6,5,16,18,34
CORO CORO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,3,1,2,2,5,3,8
COROICO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,2,2,5,12,7,14,21
CORQUE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,6,1,4,4,10,5,15
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,2,3,1,3,3,6,9
COTOCA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,38,49,9,9,47,58,105
CRUZ DE MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,0,0,2,0,2,0,2
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,14,23,4,6,18,29,47
CUEVO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,1,2,6,1,7,3,10
CULPINA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,1,3,2,1,3,4,7
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,8,5,1,1,9,6,15
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,4,2,3,2,7,4,11
EL ALTO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,538,491,92,80,630,571,1201
EL CHORO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,3,3,3,3,6,6,12
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,3,6,10,5,13,11,24
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,1,3,5,5,6,8,14
EL TORNO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,35,35,7,5,42,40,82
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,3,2,1,0,4,2,6
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,6,7,11,8,17,15,32
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,19,18,0,0,19,18,37
ESCOMA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,4,4,0,0,4,4,8
ESMERALDA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,0,0,0,3,0,3,3
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,2,0,0,0,2,0,2
EXALTACION,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,1,3,0,0,1,3,4
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,1,1,24,16,25,17,42
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,17,10,5,4,22,14,36
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-02-01,3,0,4,1,7,1,8
