,group,variable,month,TOTAL INFLUENZA ESTACIONAL DOSIS ÚNICA DENTRO,TOTAL INFLUENZA ESTACIONAL DOSIS ÚNICA DENTRO,TOTAL INFLUENZA ESTACIONAL DOSIS ÚNICA FUERA,TOTAL INFLUENZA ESTACIONAL DOSIS ÚNICA FUERA,TOTALES,TOTALES,TOTALES
POOPO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,10,9,1,1,11,10,21
PORCO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,4,8,19,14,23,22,45
POROMA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,1,4,0,1,1,5,6
PORONGO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,7,5,5,3,12,8,20
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,21,20,0,0,21,20,41
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,0,1,0,3,0,4,4
POTOSI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,351,343,41,35,392,378,770
PRESTO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,6,0,4,12,10,12,22
PUCARA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,0,0,1,0,1,0,1
PUCARANI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,14,15,11,19,25,34,59
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,4,5,24,22,28,27,55
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,5,10,19,13,24,23,47
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,3,2,19,19,22,21,43
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,0,0,3,2,3,2,5
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,21,23,0,0,21,23,44
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,3,4,0,0,3,4,7
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,16,12,2,2,18,14,32
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,99,81,96,82,195,163,358
PUNA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,5,9,8,10,13,19,32
PUNATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,35,13,14,13,49,26,75
QUIABAYA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,8,7,4,1,12,8,20
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,97,88,129,106,226,194,420
QUIME,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,9,10,8,9,17,19,36
QUIRUSILLAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,2,4,0,0,2,4,6
ROBORE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,18,19,0,0,18,19,37
SABAYA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,0,1,0,0,0,1,1
SACABA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,143,182,21,25,164,207,371
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,4,10,8,7,12,17,29
SACACA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,2,8,25,24,27,32,59
SAIPINA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,6,11,2,5,8,16,24
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,19,18,2,2,21,20,41
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,5,9,21,14,26,23,49
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,3,3,20,11,23,14,37
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,10,16,0,0,10,16,26
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,8,7,0,0,8,7,15
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,14,22,8,6,22,28,50
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,14,8,5,5,19,13,32
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,11,13,0,0,11,13,24
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,9,8,0,0,9,8,17
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,59,50,4,9,63,59,122
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,0,0,5,7,5,7,12
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,23,27,0,0,23,27,50
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,12,15,0,2,12,17,29
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,1,3,0,0,1,3,4
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,26,17,12,7,38,24,62
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,20,22,7,4,27,26,53
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,0,1,0,1,0,2,2
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,16,19,69,107,85,126,211
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,21,23,2,3,23,26,49
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,13,13,2,0,15,13,28
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,3,1,0,0,3,1,4
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,5,2,6,8,11,10,21
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,4,8,28,19,32,27,59
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,2,3,0,0,2,3,5
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,607,611,13,25,620,636,1256
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,0,0,2,2,2,2,4
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,2,0,3,2,5,2,7
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,1,1,0,1,1,2,3
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,9,7,6,4,15,11,26
SANTIAGO DE MACHACA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,1,1,5,7,6,8,14
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,20,18,15,6,35,24,59
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,9,6,11,2,20,8,28
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,26,24,8,5,34,29,63
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,6,16,7,28,13,44,57
SICAYA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,1,3,5,2,6,5,11
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,107,104,116,98,223,202,425
SORATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,6,7,61,54,67,61,128
SUCRE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,354,364,67,48,421,412,833
TACACOMA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,2,1,12,8,14,9,23
TACOBAMBA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,8,4,9,9,17,13,30
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,5,5,10,12,15,17,32
TAHUA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,0,0,2,7,2,7,9
TAPACARI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,34,43,34,36,68,79,147
TARABUCO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,1,3,14,12,15,15,30
TARACO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,12,6,0,1,12,7,19
TARATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,9,11,0,0,9,11,20
TARIJA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,282,262,37,38,319,300,619
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,17,10,22,20,39,30,69
TIAWANACU,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,15,13,1,1,16,14,30
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,0,0,12,2,12,2,14
TIPUANI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,1,4,15,22,16,26,42
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,45,51,14,9,59,60,119
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,11,11,20,20,31,31,62
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,2,0,2,1,4,1,5
TOCO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,4,2,0,1,4,3,7
TOLATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,0,2,4,2,4,4,8
TOLEDO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,4,10,3,4,7,14,21
TOMAVE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,2,0,0,0,2,0,2
TOMINA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,4,8,0,0,4,8,12
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,13,10,3,1,16,11,27
TOTORA(ORR),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,7,6,0,0,7,6,13
TRIGAL,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,0,0,5,3,5,3,8
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,45,38,1,3,46,41,87
TUPIZA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,16,12,0,0,16,12,28
TURCO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,1,0,6,4,7,4,11
UMALA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,6,6,7,4,13,10,23
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,7,6,0,1,7,7,14
UYUNI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,15,17,4,5,19,22,41
VACAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,6,8,15,19,21,27,48
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,9,2,3,0,12,2,14
VIACHA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,91,77,15,14,106,91,197
VILA VILA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,3,4,5,4,8,8,16
VILLA CHARCAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,16,18,1,2,17,20,37
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,24,46,36,31,60,77,137
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,1,2,0,0,1,2,3
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,5,16,9,11,14,27,41
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,121,142,22,23,143,165,308
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,17,19,9,18,26,37,63
VILLAZON,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,89,128,0,2,89,130,219
VINTO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,99,103,5,10,104,113,217
VITICHI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,4,3,8,1,12,4,16
WARNES,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,126,128,18,11,144,139,283
YACUIBA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,28,22,2,3,30,25,55
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,15,13,14,18,29,31,60
YANACACHI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,16,10,1,5,17,15,32
YAPACANI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,0,0,4,6,4,6,10
YOCALLA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,5,10,19,16,24,26,50
YOTALA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,0,0,6,4,6,4,10
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,0,0,0,1,0,1,1
ZUDAÑEZ,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,0,0,2,1,2,1,3
ACACIO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,8,8,19,17,27,25,52
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,37,40,25,31,62,71,133
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,6,2,8,6,14,8,22
AIQUILE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,18,21,31,15,49,36,85
ALALAY,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,1,2,3,4,4,6,10
ALCALA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,3,2,15,15,18,17,35
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,39,33,6,7,45,40,85
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,31,18,14,10,45,28,73
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,3,2,1,4,4,6,10
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,15,10,5,2,20,12,32
ANZALDO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,3,1,33,24,36,25,61
APOLO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,41,28,39,32,80,60,140
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,1,2,26,20,27,22,49
ARANI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,15,5,18,24,33,29,62
ARBIETO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,30,34,51,45,81,79,160
ARQUE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,24,23,32,36,56,59,115
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,192,118,7,0,199,118,317
ATOCHA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,23,20,22,13,45,33,78
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,4,7,8,9,12,16,28
AYATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,25,15,11,22,36,37,73
AYO AYO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,3,1,4,6,7,7,14
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,26,28,102,95,128,123,251
AZURDUY,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,45,33,38,31,83,64,147
BATALLAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,46,55,38,30,84,85,169
BAURES,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,17,23,0,0,17,23,40
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,2,0,3,7,5,7,12
BELEN DE URMIRI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,2,0,6,1,8,1,9
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,0,3,5,3,5,6,11
BERMEJO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,46,44,25,25,71,69,140
BETANZOS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,62,63,85,76,147,139,286
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,0,0,26,38,26,38,64
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,2,1,6,4,8,5,13
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,10,19,3,0,13,19,32
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,26,34,5,2,31,36,67
CABEZAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,8,18,20,16,28,34,62
CAIROMA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,28,49,18,16,46,65,111
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,13,4,10,15,23,19,42
CAJUATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,38,34,11,13,49,47,96
CALACOTO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,5,0,11,7,16,7,23
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,29,34,11,12,40,46,86
CAMARGO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,40,41,15,17,55,58,113
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,2,3,3,6,5,9,14
CAMIRI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,63,65,14,11,77,76,153
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,55,63,28,26,83,89,172
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,19,24,5,3,24,27,51
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,19,25,21,13,40,38,78
CARANAVI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,73,65,37,50,110,115,225
