,group,variable,month,PERSONAS CON PRE-CONSEJERIA REALIZADAS PARA ACCESO A LA PRUEBA RÁPIDA CANTIDAD,PERSONAS CON PRE-CONSEJERIA REALIZADAS PARA ACCESO A LA PRUEBA RÁPIDA CANTIDAD,TOTALES,TOTALES,TOTALES
MECAPACA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,0,1,0,1,1
MINEROS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,1,38,1,38,39
MIZQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,3,41,3,41,44
MOJOCOYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,0,9,0,9,9
MONTEAGUDO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,4,60,4,60,64
MONTERO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,13,94,13,94,107
NUEVO MANOA (NUEVA ESPERANZA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,0,1,0,1,1
OMEREQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,0,2,0,2,2
ORURO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,23,175,23,175,198
PADCAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,0,22,0,22,22
PADILLA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,0,24,0,24,24
PAILON,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,0,17,0,17,17
PATACAMAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,38,83,38,83,121
POROMA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,0,1,0,1,1
PORONGO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,2,9,2,9,11
PORTACHUELO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,0,21,0,21,21
POSTRER VALLE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,0,2,0,2,2
POTOSI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,0,63,0,63,63
PRESTO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,2,0,2,0,2
PUERTO GONZALO MORENO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,8,21,8,21,29
PUERTO QUIJARRO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,11,10,11,10,21
PUERTO RICO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,18,23,18,23,41
PUERTO SUAREZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,5,7,5,7,12
PUERTO VILLARROEL,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,1,61,1,61,62
PUNATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,3,120,3,120,123
ROBORE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,0,11,0,11,11
RURRENABAQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,8,38,8,38,46
SACABA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,1,0,1,0,1
SAN BORJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,0,5,0,5,5
SAN IGNACIO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,16,72,16,72,88
SAN IGNACIO DE VELASCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,18,90,18,90,108
SAN JAVIER(STC),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,1,29,1,29,30
SAN JOSE DE CHIQUITOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,4,2,4,2,6
SAN JUAN DE YAPACANI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,0,20,0,20,20
SAN JULIAN,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,4,91,4,91,95
SAN LORENZO(PND),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,7,43,7,43,50
SAN LORENZO(TJA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,0,15,0,15,15
SAN MIGUEL DE VELASCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,0,10,0,10,10
SAN PEDRO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,3,21,3,21,24
SANTA ANA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,6,39,6,39,45
SANTA CRUZ DE LA SIERRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,26,275,26,275,301
SENA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,8,35,8,35,43
SHINAOTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,0,6,0,6,6
SIPE SIPE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,0,2,0,2,2
SORATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,0,11,0,11,11
SUCRE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,16,110,16,110,126
TARATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,0,18,0,18,18
TARIJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,0,91,0,91,91
TIQUIPAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,0,3,0,3,3
TOLATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,0,12,0,12,12
TOLEDO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,5,16,5,16,21
TOMINA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,0,9,0,9,9
TRINIDAD,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,3,77,3,77,80
TUPIZA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,0,12,0,12,12
TURCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,10,4,10,4,14
UNCIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,0,18,0,18,18
URIONDO (A. CONCEPCION),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,0,22,0,22,22
VALLEGRANDE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,0,54,0,54,54
VIACHA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,4,8,4,8,12
VILLA CHARCAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,0,1,0,1,1
VILLA NUEVA (LOMA ALTA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,0,2,0,2,2
VILLA SERRANO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,0,1,0,1,1
VILLA TUNARI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,4,38,4,38,42
WARNES,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,3,5,3,5,8
YACUIBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,9,68,9,68,77
YAPACANI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,2,10,2,10,12
YUNCHARA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,0,11,0,11,11
ZUDAÑEZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,0,2,0,2,2
ACHACACHI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,0,32,0,32,32
ALCALA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,0,3,0,3,3
APOLO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,5,33,5,33,38
ASCENCION DE GUARAYOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,47,53,47,53,100
AZURDUY,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,0,3,0,3,3
BERMEJO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,0,33,0,33,33
BETANZOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,1,1,1,1,2
BOLPEBRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,0,5,0,5,5
CAMARGO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,0,2,0,2,2
CARACOLLO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,0,18,0,18,18
CARANAVI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,13,91,13,91,104
CARAPARI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,0,12,0,12,12
CHUMA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,3,4,3,4,7
COBIJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,0,33,0,33,33
COCHABAMBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,26,332,26,332,358
COLCAPIRHUA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,20,30,20,30,50
COLOMI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,2,18,2,18,20
COMARAPA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,10,27,10,27,37
COTOCA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,0,3,0,3,3
EL ALTO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,269,769,269,769,1038
EL PUENTE(TJA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,2,9,2,9,11
EL TORNO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,2,82,2,82,84
EUCALIPTUS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,5,12,5,12,17
EUREKA (SANTOS MERCADO),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,0,4,0,4,4
FILADELFIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,0,6,0,6,6
GUAYARAMERIN,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,269,206,269,206,475
GUTIERREZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,1,11,1,11,12
HUACAYA (VILLA DE HUACAYA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,1,0,1,0,1
HUANUNI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,6,40,6,40,46
INGAVI (HUMAITA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,0,5,0,5,5
INQUISIVI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,0,2,0,2,2
IRUPANA (VILLA DE LANZA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,0,8,0,8,8
LA PAZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,307,446,307,446,753
LICOMA PAMPA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,1,2,1,2,3
MACHARETI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,0,8,0,8,8
MAIRANA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,0,25,0,25,25
MINEROS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,0,54,0,54,54
MIZQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,0,11,0,11,11
MONTEAGUDO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,20,100,20,100,120
MONTERO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,25,124,25,124,149
NACEBE (SANTA ROSA DEL ABUNA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,1,5,1,5,6
NUEVO MANOA (NUEVA ESPERANZA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,1,2,1,2,3
ORURO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,7,84,7,84,91
PADCAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,0,19,0,19,19
PADILLA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,0,6,0,6,6
PAILON,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,1,9,1,9,10
PORONGO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,1,18,1,18,19
PORTACHUELO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,2,62,2,62,64
PORVENIR,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,0,4,0,4,4
POTOSI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,0,18,0,18,18
PUERTO GONZALO MORENO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,1,3,1,3,4
PUERTO QUIJARRO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,75,11,75,11,86
PUERTO RICO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,3,19,3,19,22
PUERTO SUAREZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,6,48,6,48,54
PUERTO VILLARROEL,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,1,65,1,65,66
PUNATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,4,139,4,139,143
QUIME,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,0,4,0,4,4
RIBERALTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,0,3,0,3,3
RURRENABAQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,4,30,4,30,34
SACABA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,11,250,11,250,261
SAN BORJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,0,9,0,9,9
SAN CARLOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,1,17,1,17,18
SAN IGNACIO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,6,42,6,42,48
SAN IGNACIO DE VELASCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,9,133,9,133,142
SAN JAVIER(STC),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,0,12,0,12,12
SAN JOSE DE CHIQUITOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,3,10,3,10,13
SAN JUAN DE YAPACANI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,0,20,0,20,20
SAN JULIAN,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,4,22,4,22,26
SAN LORENZO(PND),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,8,13,8,13,21
SAN LORENZO(TJA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,0,6,0,6,6
SAN MIGUEL DE VELASCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,0,12,0,12,12
SAN PEDRO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,0,15,0,15,15
SANTA ANA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,2,27,2,27,29
SANTA CRUZ DE LA SIERRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,43,385,43,385,428
SENA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,24,18,24,18,42
SHINAOTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,0,12,0,12,12
SUCRE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,43,135,43,135,178
TARIJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,2,8,2,8,10
TIQUIPAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,0,3,0,3,3
TOCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,0,5,0,5,5
TOLATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,0,3,0,3,3
TOLEDO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,2,5,2,5,7
TOMINA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,0,9,0,9,9
TRINIDAD,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,5,27,5,27,32
TUPIZA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,0,9,0,9,9
TURCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,7,10,7,10,17
URIONDO (A. CONCEPCION),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,0,5,0,5,5
VALLEGRANDE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,0,33,0,33,33
VIACHA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,0,3,0,3,3
VILLA CHARCAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,0,1,0,1,1
VILLA NUEVA (LOMA ALTA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,0,1,0,1,1
VILLA SERRANO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,0,9,0,9,9
WARNES,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,3,109,3,109,112
YACUIBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,7,11,7,11,18
YAMPARAEZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,0,1,0,1,1
YAPACANI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,2,13,2,13,15
YOTALA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,0,10,0,10,10
YUNCHARA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-12-01,1,8,1,8,9
