municipality,group,variable,month,Total 2.1 Pacientes referidos a otros establecimientos,TOTAL
CABEZAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,53,53
CAIROMA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,4,4
"CAIZA ""D""",referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,12,12
CAJUATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,3,3
CALACOTO,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,3,3
CALAMARCA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,14,14
CAMARGO,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,20,20
CAMATAQUI (C. VILLA ABECIA),referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,8,8
CAMIRI,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,30,30
CAPINOTA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,22,22
CAQUIAVIRI,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,1,1
CARACOLLO,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,13,13
CARANAVI,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,32,32
CARAPARI,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,40,40
CARIPUYO,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,3,3
CARMEN RIVERO TORREZ,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,5,5
CHACARILLA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,1,1
CHALLAPATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,50,50
CHAQUI,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,9,9
CHARAGUA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,17,17
CHAYANTA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,4,4
CHIMORE,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,14,14
CHIPAYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,1,1
CHUA COCANI,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,5,5
CHULUMANI (V. DE LA LIBERTAD),referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,2,2
CHUMA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,2,2
CHUQUIHUTA AYLLU JUCUMANI,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,2,2
CKOCHAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,7,7
CLIZA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,12,12
COBIJA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,150,150
COCAPATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,2,2
COCHABAMBA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,290,290
COLCAPIRHUA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,27,27
"COLCHA ""K""",referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,4,4
COLLANA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,1,1
COLOMI,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,29,29
COLPA BELGICA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,44,44
COLQUECHACA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,21,21
COLQUENCHA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,1,1
COLQUIRI,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,12,12
COMARAPA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,60,60
COMBAYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,2,2
CONCEPCION,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,1,1
COPACABANA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,2,2
CORIPATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,22,22
CORO CORO,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,2,2
COROICO,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,6,6
COTAGAITA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,92,92
COTOCA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,104,104
CUATRO CAÑADAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,33,33
CUCHUMUELA (V. G. VILLARROEL),referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,2,2
CUEVO,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,14,14
CULPINA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,3,3
CURAHUARA DE CARANGAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,2,2
CURVA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,1,1
EL ALTO,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,3450,3450
EL CHORO,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,3,3
EL PUENTE(STC),referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,9,9
EL PUENTE(TJA),referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,11,11
EL TORNO,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,94,94
EL VILLAR,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,8,8
ENTRE RIOS TRJ,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,33,33
ENTRE RIOS CBBA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,50,50
ESCARA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,1,1
ESCOMA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,3,3
EUCALIPTUS,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,9,9
FERNANDEZ ALONSO,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,27,27
FILADELFIA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,6,6
GENERAL SAAVEDRA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,50,50
GRAL. J.J. PEREZ (CHARAZANI),referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,4,4
GUANAY,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,1,1
GUAQUI,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,7,7
GUAYARAMERIN,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,76,76
GUTIERREZ,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,14,14
HUACARETA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,6,6
HUACAYA (VILLA DE HUACAYA),referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,4,4
HUACHACALLA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,6,6
HUANUNI,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,35,35
HUARINA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,12,12
HUATAJATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,9,9
HUAYLLAMARCA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,1,1
ICHOCA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,8,8
ICLA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,1,1
INCAHUASI,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,7,7
INGAVI (HUMAITA),referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,2,2
INQUISIVI,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,8,8
IRUPANA (VILLA DE LANZA),referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,4,4
IXIAMAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,6,6
JESUS DE MACHACA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,9,9
LA ASUNTA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,6,6
LA GUARDIA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,159,159
LA PAZ,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,6456,6456
LAGUNILLAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,27,27
LAJA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,25,25
LAS CARRERAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,10,10
LICOMA PAMPA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,3,3
LLALLAGUA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,15,15
LORETO,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,1,1
LURIBAY,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,10,10
MACHARETI,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,14,14
MAGDALENA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,5,5
MAIRANA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,30,30
MAPIRI,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,4,4
MECAPACA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,13,13
MINEROS,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,27,27
MIZQUE,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,6,6
MOCOMOCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,3,3
MOJINETE,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,1,1
MOJOCOYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,6,6
MONTEAGUDO,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,44,44
MONTERO,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,384,384
MORO MORO,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,15,15
MOROCHATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,1,1
NACEBE (SANTA ROSA DEL ABUNA),referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,4,4
OCURI,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,4,4
OKINAWA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,45,45
OMEREQUE,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,9,9
ORURO,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,500,500
PADCAYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,52,52
PADILLA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,1,1
PAILON,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,30,30
PALCA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,1,1
PALOS BLANCOS,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,12,12
PAMPA GRANDE,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,23,23
PASORAPA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,2,2
PATACAMAYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,35,35
PAZÑA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,11,11
PELECHUCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,3,3
POCOATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,3,3
POCONA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,5,5
POJO (CBBA),referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,11,11
PORCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,1,1
POROMA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,2,2
PORONGO,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,9,9
PORTACHUELO,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,13,13
PORVENIR,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,20,20
POSTRER VALLE,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,1,1
POTOSI,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,217,217
PRESTO,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,9,9
PUCARANI,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,35,35
PUERTO CARABUCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,6,6
PUERTO GONZALO MORENO,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,3,3
PUERTO PEREZ,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,3,3
PUERTO QUIJARRO,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,1,1
PUERTO RICO,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,20,20
PUERTO SUAREZ,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,15,15
PUERTO VILLARROEL,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,37,37
PUNA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,16,16
PUNATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,29,29
QUILLACOLLO,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,87,87
QUIME,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,19,19
QUIRUSILLAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,1,1
