,group,variable,month,L TALLA NORMAL < DE 1 AÑO,L TALLA NORMAL < DE 1 AÑO,L TALLA NORMAL 1 A MENOR DE 2 AÑOS,L TALLA NORMAL 1 A MENOR DE 2 AÑOS,L TALLA NORMAL 2 A MENOR DE 5 AÑOS,L TALLA NORMAL 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
TARATA,estado nutricional,l talla normal,2012-01-01,83,97,53,59,38,33,174,189,363
TARIJA,estado nutricional,l talla normal,2012-01-01,1280,1207,875,928,570,472,2725,2607,5332
TARVITA,estado nutricional,l talla normal,2012-01-01,89,109,86,84,145,125,320,318,638
TEOPONTE,estado nutricional,l talla normal,2012-01-01,110,89,51,56,84,70,245,215,460
TIAWANACU,estado nutricional,l talla normal,2012-01-01,98,64,67,74,47,43,212,181,393
TINGUIPAYA,estado nutricional,l talla normal,2012-01-01,108,106,70,59,35,45,213,210,423
TIPUANI,estado nutricional,l talla normal,2012-01-01,115,80,79,47,92,73,286,200,486
TIQUIPAYA,estado nutricional,l talla normal,2012-01-01,487,482,359,294,287,296,1133,1072,2205
TIRAQUE (CBBA),estado nutricional,l talla normal,2012-01-01,178,173,131,126,64,71,373,370,743
TITO YUPANQUI (PARQUIPUJIO),estado nutricional,l talla normal,2012-01-01,3,6,5,7,8,7,16,20,36
TOCO,estado nutricional,l talla normal,2012-01-01,44,47,39,36,47,33,130,116,246
TODOS SANTOS,estado nutricional,l talla normal,2012-01-01,0,1,0,0,1,0,1,1,2
TOLATA,estado nutricional,l talla normal,2012-01-01,30,34,29,27,24,20,83,81,164
TOLEDO,estado nutricional,l talla normal,2012-01-01,45,34,42,27,24,27,111,88,199
TOMAVE,estado nutricional,l talla normal,2012-01-01,78,76,59,62,45,46,182,184,366
TOMINA,estado nutricional,l talla normal,2012-01-01,80,83,56,60,95,132,231,275,506
TORO TORO,estado nutricional,l talla normal,2012-01-01,68,68,45,34,49,62,162,164,326
TOTORA(CBBA),estado nutricional,l talla normal,2012-01-01,143,116,103,99,41,31,287,246,533
TOTORA(ORR),estado nutricional,l talla normal,2012-01-01,32,40,27,20,23,18,82,78,160
TRIGAL,estado nutricional,l talla normal,2012-01-01,10,18,20,13,16,20,46,51,97
TRINIDAD,estado nutricional,l talla normal,2012-01-01,763,737,394,415,396,435,1553,1587,3140
TUPIZA,estado nutricional,l talla normal,2012-01-01,333,289,183,179,194,203,710,671,1381
TURCO,estado nutricional,l talla normal,2012-01-01,29,36,30,26,23,14,82,76,158
UMALA,estado nutricional,l talla normal,2012-01-01,59,57,45,46,49,46,153,149,302
UNCIA,estado nutricional,l talla normal,2012-01-01,132,154,119,89,60,49,311,292,603
URIONDO (A. CONCEPCION),estado nutricional,l talla normal,2012-01-01,136,133,119,113,111,108,366,354,720
URUBICHA,estado nutricional,l talla normal,2012-01-01,83,69,63,53,4,7,150,129,279
UYUNI,estado nutricional,l talla normal,2012-01-01,144,175,84,120,30,39,258,334,592
VACAS,estado nutricional,l talla normal,2012-01-01,98,74,71,65,31,48,200,187,387
VALLEGRANDE,estado nutricional,l talla normal,2012-01-01,158,126,101,92,80,90,339,308,647
VIACHA,estado nutricional,l talla normal,2012-01-01,481,436,270,383,197,185,948,1004,1952
VILA VILA,estado nutricional,l talla normal,2012-01-01,31,43,23,34,70,70,124,147,271
VILLA CHARCAS,estado nutricional,l talla normal,2012-01-01,117,117,59,78,67,67,243,262,505
VILLA MONTES,estado nutricional,l talla normal,2012-01-01,279,326,207,200,191,168,677,694,1371
VILLA NUEVA (LOMA ALTA),estado nutricional,l talla normal,2012-01-01,36,34,20,37,41,36,97,107,204
VILLA RIVERO,estado nutricional,l talla normal,2012-01-01,84,72,62,63,59,32,205,167,372
VILLA SERRANO,estado nutricional,l talla normal,2012-01-01,84,86,95,98,112,110,291,294,585
VILLA TUNARI,estado nutricional,l talla normal,2012-01-01,1034,895,670,609,684,568,2388,2072,4460
VILLA VACA GUZMAN (MUYUPAMPA),estado nutricional,l talla normal,2012-01-01,86,91,71,70,140,139,297,300,597
VILLAZON,estado nutricional,l talla normal,2012-01-01,292,303,252,272,199,206,743,781,1524
VINTO,estado nutricional,l talla normal,2012-01-01,313,232,92,152,70,78,475,462,937
VITICHI,estado nutricional,l talla normal,2012-01-01,69,71,57,45,47,82,173,198,371
WALDO BALLIVIAN,estado nutricional,l talla normal,2012-01-01,13,20,17,13,3,7,33,40,73
WARNES,estado nutricional,l talla normal,2012-01-01,396,352,259,221,252,252,907,825,1732
YACO,estado nutricional,l talla normal,2012-01-01,64,50,40,52,36,38,140,140,280
YACUIBA,estado nutricional,l talla normal,2012-01-01,547,491,385,316,201,167,1133,974,2107
YAMPARAEZ,estado nutricional,l talla normal,2012-01-01,45,49,35,33,74,80,154,162,316
YANACACHI,estado nutricional,l talla normal,2012-01-01,72,38,41,37,28,41,141,116,257
YAPACANI,estado nutricional,l talla normal,2012-01-01,444,468,295,302,217,205,956,975,1931
YOCALLA,estado nutricional,l talla normal,2012-01-01,61,36,42,41,34,37,137,114,251
YOTALA,estado nutricional,l talla normal,2012-01-01,59,53,42,41,76,86,177,180,357
YUNCHARA,estado nutricional,l talla normal,2012-01-01,30,35,31,35,76,57,137,127,264
YUNGUYO DE LITORAL,estado nutricional,l talla normal,2012-01-01,1,1,0,0,0,2,1,3,4
ZUDAÑEZ,estado nutricional,l talla normal,2012-01-01,52,35,33,50,95,77,180,162,342
ACACIO,estado nutricional,l talla normal,2012-02-01,47,48,33,38,27,23,107,109,216
ACHACACHI,estado nutricional,l talla normal,2012-02-01,296,267,234,200,233,189,763,656,1419
ACHOCALLA,estado nutricional,l talla normal,2012-02-01,89,75,57,60,39,43,185,178,363
AIQUILE,estado nutricional,l talla normal,2012-02-01,227,265,160,156,147,148,534,569,1103
ALALAY,estado nutricional,l talla normal,2012-02-01,13,17,19,15,18,15,50,47,97
ALCALA,estado nutricional,l talla normal,2012-02-01,26,30,18,23,56,45,100,98,198
ALTO BENI,estado nutricional,l talla normal,2012-02-01,86,75,50,72,67,56,203,203,406
ANCORAIMES,estado nutricional,l talla normal,2012-02-01,73,60,49,52,56,50,178,162,340
ANDAMARCA,estado nutricional,l talla normal,2012-02-01,21,15,17,30,29,35,67,80,147
ANTEQUERA,estado nutricional,l talla normal,2012-02-01,36,14,10,13,17,12,63,39,102
ANZALDO,estado nutricional,l talla normal,2012-02-01,52,49,50,47,22,29,124,125,249
APOLO,estado nutricional,l talla normal,2012-02-01,158,183,124,98,152,131,434,412,846
ARAMPAMPA,estado nutricional,l talla normal,2012-02-01,31,37,20,13,37,34,88,84,172
ARANI,estado nutricional,l talla normal,2012-02-01,99,102,62,60,76,55,237,217,454
ARBIETO,estado nutricional,l talla normal,2012-02-01,108,109,81,83,117,115,306,307,613
ARQUE,estado nutricional,l talla normal,2012-02-01,132,110,65,77,60,47,257,234,491
ASCENCION DE GUARAYOS,estado nutricional,l talla normal,2012-02-01,237,246,104,93,76,69,417,408,825
ATOCHA,estado nutricional,l talla normal,2012-02-01,79,74,55,40,55,47,189,161,350
AUCAPATA,estado nutricional,l talla normal,2012-02-01,34,31,23,22,20,16,77,69,146
AYATA,estado nutricional,l talla normal,2012-02-01,87,64,47,39,25,27,159,130,289
AYO AYO,estado nutricional,l talla normal,2012-02-01,45,57,28,41,26,22,99,120,219
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,l talla normal,2012-02-01,237,191,125,102,154,120,516,413,929
AZURDUY,estado nutricional,l talla normal,2012-02-01,76,81,64,63,91,91,231,235,466
BATALLAS,estado nutricional,l talla normal,2012-02-01,98,114,68,86,60,54,226,254,480
BAURES,estado nutricional,l talla normal,2012-02-01,33,33,16,26,35,26,84,85,169
BELEN DE ANDAMARCA,estado nutricional,l talla normal,2012-02-01,6,6,8,4,6,4,20,14,34
BELEN DE URMIRI,estado nutricional,l talla normal,2012-02-01,6,43,5,6,8,8,19,57,76
BELLA FLOR,estado nutricional,l talla normal,2012-02-01,21,14,17,7,15,13,53,34,87
BERMEJO,estado nutricional,l talla normal,2012-02-01,237,197,177,154,99,86,513,437,950
BETANZOS,estado nutricional,l talla normal,2012-02-01,220,234,175,189,160,136,555,559,1114
BOLIVAR,estado nutricional,l talla normal,2012-02-01,37,38,41,53,69,54,147,145,292
BOLPEBRA,estado nutricional,l talla normal,2012-02-01,6,10,5,15,7,11,18,36,54
BOYUIBE,estado nutricional,l talla normal,2012-02-01,28,36,25,17,56,44,109,97,206
BUENA VISTA,estado nutricional,l talla normal,2012-02-01,79,78,62,61,54,55,195,194,389
CABEZAS,estado nutricional,l talla normal,2012-02-01,92,116,103,77,94,83,289,276,565
CAIROMA,estado nutricional,l talla normal,2012-02-01,71,78,50,69,57,76,178,223,401
"CAIZA ""D""",estado nutricional,l talla normal,2012-02-01,71,68,69,72,26,37,166,177,343
CAJUATA,estado nutricional,l talla normal,2012-02-01,78,61,42,52,64,52,184,165,349
CALACOTO,estado nutricional,l talla normal,2012-02-01,25,37,33,20,30,29,88,86,174
CALAMARCA,estado nutricional,l talla normal,2012-02-01,97,103,70,75,48,62,215,240,455
CAMARGO,estado nutricional,l talla normal,2012-02-01,112,108,78,89,83,107,273,304,577
CAMATAQUI (C. VILLA ABECIA),estado nutricional,l talla normal,2012-02-01,28,20,31,21,20,28,79,69,148
CAMIRI,estado nutricional,l talla normal,2012-02-01,320,264,230,206,291,443,841,913,1754
CAPINOTA,estado nutricional,l talla normal,2012-02-01,99,101,73,60,31,26,203,187,390
CAQUIAVIRI,estado nutricional,l talla normal,2012-02-01,49,57,43,39,41,28,133,124,257
CARACOLLO,estado nutricional,l talla normal,2012-02-01,140,156,119,122,94,110,353,388,741
CARANAVI,estado nutricional,l talla normal,2012-02-01,447,368,326,261,209,203,982,832,1814
CARANGAS,estado nutricional,l talla normal,2012-02-01,1,0,0,1,1,1,2,2,4
CARAPARI,estado nutricional,l talla normal,2012-02-01,99,99,97,96,99,75,295,270,565
CARIPUYO,estado nutricional,l talla normal,2012-02-01,51,65,27,37,45,44,123,146,269
CARMEN RIVERO TORREZ,estado nutricional,l talla normal,2012-02-01,27,28,27,21,36,26,90,75,165
CATACORA,estado nutricional,l talla normal,2012-02-01,8,9,6,8,7,10,21,27,48
CHACARILLA,estado nutricional,l talla normal,2012-02-01,3,3,4,7,2,3,9,13,22
CHALLAPATA,estado nutricional,l talla normal,2012-02-01,288,257,1133,190,149,156,1570,603,2173
CHAQUI,estado nutricional,l talla normal,2012-02-01,51,38,36,35,19,25,106,98,204
CHARAGUA,estado nutricional,l talla normal,2012-02-01,164,170,152,145,221,208,537,523,1060
CHARAÑA,estado nutricional,l talla normal,2012-02-01,16,14,13,8,7,11,36,33,69
CHAYANTA,estado nutricional,l talla normal,2012-02-01,96,101,55,61,84,77,235,239,474
CHIMORE,estado nutricional,l talla normal,2012-02-01,76,55,58,43,50,46,184,144,328
CHIPAYA,estado nutricional,l talla normal,2012-02-01,16,9,16,12,6,12,38,33,71
CHOQUE COTA,estado nutricional,l talla normal,2012-02-01,6,2,9,3,5,4,20,9,29
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,l talla normal,2012-02-01,79,64,49,40,49,40,177,144,321
CHUMA,estado nutricional,l talla normal,2012-02-01,73,84,52,50,29,29,154,163,317
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,l talla normal,2012-02-01,40,38,24,20,4,3,68,61,129
CKOCHAS,estado nutricional,l talla normal,2012-02-01,126,114,74,84,55,72,255,270,525
CLIZA,estado nutricional,l talla normal,2012-02-01,180,160,104,99,93,73,377,332,709
COBIJA,estado nutricional,l talla normal,2012-02-01,442,400,207,195,167,174,816,769,1585
COCAPATA,estado nutricional,l talla normal,2012-02-01,139,144,101,98,90,80,330,322,652
COCHABAMBA,estado nutricional,l talla normal,2012-02-01,3048,2784,1928,1778,1930,1831,6906,6393,13299
COIPASA,estado nutricional,l talla normal,2012-02-01,7,4,2,10,1,5,10,19,29
COLCAPIRHUA,estado nutricional,l talla normal,2012-02-01,367,293,226,210,173,175,766,678,1444
"COLCHA ""K""",estado nutricional,l talla normal,2012-02-01,81,74,51,73,53,52,185,199,384
COLLANA,estado nutricional,l talla normal,2012-02-01,10,21,26,11,6,13,42,45,87
COLOMI,estado nutricional,l talla normal,2012-02-01,186,156,117,105,68,74,371,335,706
COLPA BELGICA,estado nutricional,l talla normal,2012-02-01,7,5,5,1,0,0,12,6,18
COLQUECHACA,estado nutricional,l talla normal,2012-02-01,217,200,172,196,81,78,470,474,944
COLQUENCHA,estado nutricional,l talla normal,2012-02-01,56,73,46,63,22,20,124,156,280
COLQUIRI,estado nutricional,l talla normal,2012-02-01,116,144,83,83,93,107,292,334,626
COMANCHE,estado nutricional,l talla normal,2012-02-01,25,15,15,17,8,7,48,39,87
COMARAPA,estado nutricional,l talla normal,2012-02-01,164,144,81,106,40,50,285,300,585
COMBAYA,estado nutricional,l talla normal,2012-02-01,15,27,14,10,20,18,49,55,104
CONCEPCION,estado nutricional,l talla normal,2012-02-01,131,139,90,82,61,58,282,279,561
COPACABANA,estado nutricional,l talla normal,2012-02-01,78,60,32,43,48,39,158,142,300
CORIPATA,estado nutricional,l talla normal,2012-02-01,162,103,81,83,92,99,335,285,620
CORO CORO,estado nutricional,l talla normal,2012-02-01,62,60,41,38,33,49,136,147,283
COROICO,estado nutricional,l talla normal,2012-02-01,94,83,81,69,77,72,252,224,476
CORQUE,estado nutricional,l talla normal,2012-02-01,41,35,29,28,24,27,94,90,184
COTAGAITA,estado nutricional,l talla normal,2012-02-01,133,129,93,102,108,104,334,335,669
COTOCA,estado nutricional,l talla normal,2012-02-01,353,366,167,165,116,138,636,669,1305
CUATRO CAÑADAS,estado nutricional,l talla normal,2012-02-01,140,133,125,109,115,110,380,352,732
CUCHUMUELA (V. G. VILLARROEL),estado nutricional,l talla normal,2012-02-01,15,7,11,11,10,18,36,36,72
CUEVO,estado nutricional,l talla normal,2012-02-01,40,42,30,22,64,45,134,109,243
CULPINA,estado nutricional,l talla normal,2012-02-01,139,133,121,119,97,120,357,372,729
CURAHUARA DE CARANGAS,estado nutricional,l talla normal,2012-02-01,39,38,24,26,53,24,116,88,204
CURVA,estado nutricional,l talla normal,2012-02-01,22,16,12,13,16,14,50,43,93
DESAGUADERO,estado nutricional,l talla normal,2012-02-01,19,22,13,15,16,9,48,46,94
EL ALTO,estado nutricional,l talla normal,2012-02-01,4646,4603,3083,3028,1857,1912,9586,9543,19129
EL CHORO,estado nutricional,l talla normal,2012-02-01,36,46,40,59,40,40,116,145,261
EL PUENTE(STC),estado nutricional,l talla normal,2012-02-01,143,111,103,100,99,96,345,307,652
EL PUENTE(TJA),estado nutricional,l talla normal,2012-02-01,76,59,65,68,54,68,195,195,390
EL TORNO,estado nutricional,l talla normal,2012-02-01,351,332,210,175,158,181,719,688,1407
EL VILLAR,estado nutricional,l talla normal,2012-02-01,25,22,17,24,50,51,92,97,189
ENTRE RIOS TRJ,estado nutricional,l talla normal,2012-02-01,171,184,135,156,124,125,430,465,895
ENTRE RIOS CBBA,estado nutricional,l talla normal,2012-02-01,282,227,190,182,142,72,614,481,1095
ESCARA,estado nutricional,l talla normal,2012-02-01,2,0,0,0,2,0,4,0,4
ESCOMA,estado nutricional,l talla normal,2012-02-01,17,31,30,15,21,18,68,64,132
EUCALIPTUS,estado nutricional,l talla normal,2012-02-01,40,43,34,31,24,29,98,103,201
EUREKA (SANTOS MERCADO),estado nutricional,l talla normal,2012-02-01,12,14,19,6,17,14,48,34,82
EXALTACION,estado nutricional,l talla normal,2012-02-01,10,14,6,8,8,7,24,29,53
FERNANDEZ ALONSO,estado nutricional,l talla normal,2012-02-01,104,97,85,74,75,66,264,237,501
FILADELFIA,estado nutricional,l talla normal,2012-02-01,49,47,17,21,19,22,85,90,175
GENERAL SAAVEDRA,estado nutricional,l talla normal,2012-02-01,141,113,108,85,112,83,361,281,642
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,l talla normal,2012-02-01,80,74,46,60,62,63,188,197,385
GUANAY,estado nutricional,l talla normal,2012-02-01,113,104,67,72,59,73,239,249,488
GUAQUI,estado nutricional,l talla normal,2012-02-01,32,31,18,26,17,27,67,84,151
GUAYARAMERIN,estado nutricional,l talla normal,2012-02-01,453,471,202,217,194,173,849,861,1710
GUTIERREZ,estado nutricional,l talla normal,2012-02-01,148,148,134,152,135,144,417,444,861
HUACARETA,estado nutricional,l talla normal,2012-02-01,74,62,87,86,86,115,247,263,510
HUACAYA (VILLA DE HUACAYA),estado nutricional,l talla normal,2012-02-01,26,17,23,18,52,38,101,73,174
HUACHACALLA,estado nutricional,l talla normal,2012-02-01,2,4,6,8,9,8,17,20,37
HUANUNI,estado nutricional,l talla normal,2012-02-01,154,187,74,85,64,56,292,328,620
HUARACAJE,estado nutricional,l talla normal,2012-02-01,48,34,19,22,16,25,83,81,164
HUARINA,estado nutricional,l talla normal,2012-02-01,33,22,18,28,15,19,66,69,135
HUAYLLAMARCA,estado nutricional,l talla normal,2012-02-01,30,16,23,17,20,18,73,51,124
HUMANATA,estado nutricional,l talla normal,2012-02-01,17,14,28,20,21,16,66,50,116
ICHOCA,estado nutricional,l talla normal,2012-02-01,31,15,17,12,22,20,70,47,117
ICLA,estado nutricional,l talla normal,2012-02-01,54,64,36,53,113,121,203,238,441
INCAHUASI,estado nutricional,l talla normal,2012-02-01,67,54,37,39,50,53,154,146,300
INGAVI (HUMAITA),estado nutricional,l talla normal,2012-02-01,15,17,10,22,16,22,41,61,102
INQUISIVI,estado nutricional,l talla normal,2012-02-01,55,49,47,33,49,53,151,135,286
IRUPANA (VILLA DE LANZA),estado nutricional,l talla normal,2012-02-01,55,72,57,66,61,54,173,192,365
IXIAMAS,estado nutricional,l talla normal,2012-02-01,76,62,41,44,45,44,162,150,312
JESUS DE MACHACA,estado nutricional,l talla normal,2012-02-01,82,97,66,68,72,57,220,222,442
LA ASUNTA,estado nutricional,l talla normal,2012-02-01,307,276,169,151,144,162,620,589,1209
LA GUARDIA,estado nutricional,l talla normal,2012-02-01,626,607,220,207,248,226,1094,1040,2134
LA PAZ,estado nutricional,l talla normal,2012-02-01,4114,3844,2723,2460,2293,2035,9130,8339,17469
LA RIVERA,estado nutricional,l talla normal,2012-02-01,0,1,1,2,3,1,4,4,8
LAGUNILLAS,estado nutricional,l talla normal,2012-02-01,62,49,46,45,120,89,228,183,411
LAJA,estado nutricional,l talla normal,2012-02-01,116,94,78,73,52,51,246,218,464
LAS CARRERAS,estado nutricional,l talla normal,2012-02-01,32,30,25,24,42,33,99,87,186
LICOMA PAMPA,estado nutricional,l talla normal,2012-02-01,27,20,25,13,11,17,63,50,113
LLALLAGUA,estado nutricional,l talla normal,2012-02-01,290,282,188,199,81,81,559,562,1121
LLICA,estado nutricional,l talla normal,2012-02-01,17,27,16,17,12,8,45,52,97
LORETO,estado nutricional,l talla normal,2012-02-01,13,20,11,12,10,27,34,59,93
LURIBAY,estado nutricional,l talla normal,2012-02-01,66,65,44,44,57,55,167,164,331
MACHACAMARCA,estado nutricional,l talla normal,2012-02-01,31,35,32,32,21,28,84,95,179
MACHARETI,estado nutricional,l talla normal,2012-02-01,43,71,71,56,119,100,233,227,460
MAGDALENA,estado nutricional,l talla normal,2012-02-01,108,91,38,41,69,76,215,208,423
MAIRANA,estado nutricional,l talla normal,2012-02-01,86,96,81,71,32,29,199,196,395
MALLA,estado nutricional,l talla normal,2012-02-01,14,15,6,8,4,13,24,36,60
MAPIRI,estado nutricional,l talla normal,2012-02-01,110,98,54,53,62,59,226,210,436
MECAPACA,estado nutricional,l talla normal,2012-02-01,66,71,49,43,57,37,172,151,323
MINEROS,estado nutricional,l talla normal,2012-02-01,207,182,137,128,121,115,465,425,890
MIZQUE,estado nutricional,l talla normal,2012-02-01,257,248,187,132,131,160,575,540,1115
MOCOMOCO,estado nutricional,l talla normal,2012-02-01,78,63,60,74,59,33,197,170,367
MOJINETE,estado nutricional,l talla normal,2012-02-01,2,3,0,2,3,4,5,9,14
MOJOCOYA,estado nutricional,l talla normal,2012-02-01,52,65,55,47,66,80,173,192,365
MONTEAGUDO,estado nutricional,l talla normal,2012-02-01,254,264,217,188,208,249,679,701,1380
MONTERO,estado nutricional,l talla normal,2012-02-01,980,1103,644,625,534,537,2158,2265,4423
MORO MORO,estado nutricional,l talla normal,2012-02-01,27,16,24,15,15,22,66,53,119
MOROCHATA,estado nutricional,l talla normal,2012-02-01,94,92,62,59,49,62,205,213,418
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,l talla normal,2012-02-01,14,12,12,6,5,1,31,19,50
NAZACARA DE PACAJES,estado nutricional,l talla normal,2012-02-01,6,5,5,5,3,3,14,13,27
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,l talla normal,2012-02-01,19,12,26,12,36,27,81,51,132
OCURI,estado nutricional,l talla normal,2012-02-01,107,101,80,71,40,50,227,222,449
OKINAWA,estado nutricional,l talla normal,2012-02-01,86,76,62,67,65,71,213,214,427
OMEREQUE,estado nutricional,l talla normal,2012-02-01,72,54,34,38,64,63,170,155,325
ORURO,estado nutricional,l talla normal,2012-02-01,1712,1686,1109,1115,674,670,3495,3471,6966
PADCAYA,estado nutricional,l talla normal,2012-02-01,116,120,121,109,104,106,341,335,676
PADILLA,estado nutricional,l talla normal,2012-02-01,68,85,76,89,115,121,259,295,554
PAILON,estado nutricional,l talla normal,2012-02-01,184,154,86,93,115,82,385,329,714
PALCA,estado nutricional,l talla normal,2012-02-01,100,94,57,84,41,64,198,242,440
PALOS BLANCOS,estado nutricional,l talla normal,2012-02-01,215,242,182,181,188,160,585,583,1168
PAMPA AULLAGAS,estado nutricional,l talla normal,2012-02-01,17,15,14,13,3,4,34,32,66
PAMPA GRANDE,estado nutricional,l talla normal,2012-02-01,66,59,49,46,19,28,134,133,267
PAPEL PAMPA,estado nutricional,l talla normal,2012-02-01,43,33,52,26,31,35,126,94,220
