,group,variable,month,L TALLA BAJA < DE 1 AÑO,L TALLA BAJA < DE 1 AÑO,L TALLA BAJA 1 A MENOR DE 2 AÑOS,L TALLA BAJA 1 A MENOR DE 2 AÑOS,L TALLA BAJA 2 A MENOR DE 5 AÑOS,L TALLA BAJA 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
TITO YUPANQUI (PARQUIPUJIO),estado nutricional,l talla baja,2012-01-01,0,0,3,0,3,2,6,2,8
TOCO,estado nutricional,l talla baja,2012-01-01,3,1,10,2,5,5,18,8,26
TODOS SANTOS,estado nutricional,l talla baja,2012-01-01,0,0,1,0,0,0,1,0,1
TOLATA,estado nutricional,l talla baja,2012-01-01,0,0,0,1,0,0,0,1,1
TOLEDO,estado nutricional,l talla baja,2012-01-01,4,2,14,3,8,1,26,6,32
TOMAVE,estado nutricional,l talla baja,2012-01-01,15,4,11,12,11,13,37,29,66
TOMINA,estado nutricional,l talla baja,2012-01-01,5,5,21,17,79,74,105,96,201
TORO TORO,estado nutricional,l talla baja,2012-01-01,9,1,19,19,26,47,54,67,121
TOTORA(CBBA),estado nutricional,l talla baja,2012-01-01,8,4,24,21,4,9,36,34,70
TOTORA(ORR),estado nutricional,l talla baja,2012-01-01,7,0,7,4,10,12,24,16,40
TRINIDAD,estado nutricional,l talla baja,2012-01-01,11,9,17,10,15,21,43,40,83
TUPIZA,estado nutricional,l talla baja,2012-01-01,17,13,33,21,35,30,85,64,149
TURCO,estado nutricional,l talla baja,2012-01-01,0,2,2,6,2,2,4,10,14
UMALA,estado nutricional,l talla baja,2012-01-01,3,0,8,10,5,0,16,10,26
UNCIA,estado nutricional,l talla baja,2012-01-01,16,19,60,36,25,25,101,80,181
URIONDO (A. CONCEPCION),estado nutricional,l talla baja,2012-01-01,5,3,0,4,7,1,12,8,20
URUBICHA,estado nutricional,l talla baja,2012-01-01,4,4,10,3,0,0,14,7,21
UYUNI,estado nutricional,l talla baja,2012-01-01,21,15,20,9,21,11,62,35,97
VACAS,estado nutricional,l talla baja,2012-01-01,13,9,22,18,13,13,48,40,88
VALLEGRANDE,estado nutricional,l talla baja,2012-01-01,1,1,5,3,6,7,12,11,23
VIACHA,estado nutricional,l talla baja,2012-01-01,22,23,44,29,20,14,86,66,152
VILA VILA,estado nutricional,l talla baja,2012-01-01,4,7,14,14,27,36,45,57,102
VILLA CHARCAS,estado nutricional,l talla baja,2012-01-01,12,24,45,32,76,51,133,107,240
VILLA MONTES,estado nutricional,l talla baja,2012-01-01,8,7,9,4,8,8,25,19,44
VILLA NUEVA (LOMA ALTA),estado nutricional,l talla baja,2012-01-01,0,1,5,8,7,6,12,15,27
VILLA RIVERO,estado nutricional,l talla baja,2012-01-01,3,2,11,13,9,5,23,20,43
VILLA SERRANO,estado nutricional,l talla baja,2012-01-01,5,5,13,11,40,33,58,49,107
VILLA TUNARI,estado nutricional,l talla baja,2012-01-01,37,39,69,76,84,88,190,203,393
VILLA VACA GUZMAN (MUYUPAMPA),estado nutricional,l talla baja,2012-01-01,3,2,8,6,11,16,22,24,46
VILLAZON,estado nutricional,l talla baja,2012-01-01,44,24,53,40,51,29,148,93,241
VINTO,estado nutricional,l talla baja,2012-01-01,9,9,15,12,4,11,28,32,60
VITICHI,estado nutricional,l talla baja,2012-01-01,7,9,16,12,26,27,49,48,97
WALDO BALLIVIAN,estado nutricional,l talla baja,2012-01-01,3,2,2,1,2,2,7,5,12
WARNES,estado nutricional,l talla baja,2012-01-01,5,6,5,2,0,6,10,14,24
YACO,estado nutricional,l talla baja,2012-01-01,6,11,23,11,22,16,51,38,89
YACUIBA,estado nutricional,l talla baja,2012-01-01,8,11,8,6,13,7,29,24,53
YAMPARAEZ,estado nutricional,l talla baja,2012-01-01,4,3,16,12,68,67,88,82,170
YANACACHI,estado nutricional,l talla baja,2012-01-01,2,6,7,3,3,2,12,11,23
YAPACANI,estado nutricional,l talla baja,2012-01-01,1,2,11,6,14,7,26,15,41
YOCALLA,estado nutricional,l talla baja,2012-01-01,2,2,11,6,11,3,24,11,35
YOTALA,estado nutricional,l talla baja,2012-01-01,3,0,2,4,26,19,31,23,54
YUNCHARA,estado nutricional,l talla baja,2012-01-01,5,5,11,7,42,24,58,36,94
YUNGUYO DE LITORAL,estado nutricional,l talla baja,2012-01-01,0,0,1,0,0,0,1,0,1
ZUDAÑEZ,estado nutricional,l talla baja,2012-01-01,6,3,19,11,50,50,75,64,139
ACACIO,estado nutricional,l talla baja,2012-02-01,9,8,20,14,15,21,44,43,87
ACHACACHI,estado nutricional,l talla baja,2012-02-01,20,19,42,22,35,19,97,60,157
ACHOCALLA,estado nutricional,l talla baja,2012-02-01,5,2,6,8,9,1,20,11,31
AIQUILE,estado nutricional,l talla baja,2012-02-01,19,11,39,35,38,44,96,90,186
ALALAY,estado nutricional,l talla baja,2012-02-01,1,0,8,12,17,6,26,18,44
ALCALA,estado nutricional,l talla baja,2012-02-01,2,0,6,3,13,11,21,14,35
ALTO BENI,estado nutricional,l talla baja,2012-02-01,1,1,3,2,10,7,14,10,24
ANCORAIMES,estado nutricional,l talla baja,2012-02-01,17,8,22,20,17,10,56,38,94
ANDAMARCA,estado nutricional,l talla baja,2012-02-01,5,1,10,1,15,19,30,21,51
ANTEQUERA,estado nutricional,l talla baja,2012-02-01,5,2,1,3,4,1,10,6,16
ANZALDO,estado nutricional,l talla baja,2012-02-01,6,4,8,8,5,8,19,20,39
APOLO,estado nutricional,l talla baja,2012-02-01,15,4,26,15,25,21,66,40,106
ARAMPAMPA,estado nutricional,l talla baja,2012-02-01,4,2,7,5,8,11,19,18,37
ARANI,estado nutricional,l talla baja,2012-02-01,8,3,8,5,7,5,23,13,36
ARBIETO,estado nutricional,l talla baja,2012-02-01,2,2,5,9,5,10,12,21,33
ARQUE,estado nutricional,l talla baja,2012-02-01,20,16,38,28,32,16,90,60,150
ASCENCION DE GUARAYOS,estado nutricional,l talla baja,2012-02-01,4,7,14,10,12,3,30,20,50
ATOCHA,estado nutricional,l talla baja,2012-02-01,4,2,8,9,8,9,20,20,40
AUCAPATA,estado nutricional,l talla baja,2012-02-01,3,0,10,6,6,13,19,19,38
AYATA,estado nutricional,l talla baja,2012-02-01,16,6,30,19,20,15,66,40,106
AYO AYO,estado nutricional,l talla baja,2012-02-01,17,7,22,12,5,4,44,23,67
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,l talla baja,2012-02-01,25,14,40,53,54,31,119,98,217
AZURDUY,estado nutricional,l talla baja,2012-02-01,8,11,42,30,66,75,116,116,232
BATALLAS,estado nutricional,l talla baja,2012-02-01,17,11,20,17,13,13,50,41,91
BAURES,estado nutricional,l talla baja,2012-02-01,0,2,3,2,2,5,5,9,14
BELEN DE ANDAMARCA,estado nutricional,l talla baja,2012-02-01,0,1,1,3,1,4,2,8,10
BELEN DE URMIRI,estado nutricional,l talla baja,2012-02-01,5,2,4,5,4,3,13,10,23
BELLA FLOR,estado nutricional,l talla baja,2012-02-01,0,0,0,1,2,1,2,2,4
BERMEJO,estado nutricional,l talla baja,2012-02-01,3,1,5,8,10,3,18,12,30
BETANZOS,estado nutricional,l talla baja,2012-02-01,33,28,84,72,113,70,230,170,400
BOLIVAR,estado nutricional,l talla baja,2012-02-01,24,14,46,32,112,90,182,136,318
BOLPEBRA,estado nutricional,l talla baja,2012-02-01,1,1,1,1,3,3,5,5,10
BOYUIBE,estado nutricional,l talla baja,2012-02-01,1,3,1,1,3,2,5,6,11
BUENA VISTA,estado nutricional,l talla baja,2012-02-01,0,0,0,0,2,0,2,0,2
CABEZAS,estado nutricional,l talla baja,2012-02-01,0,3,3,0,3,4,6,7,13
CAIROMA,estado nutricional,l talla baja,2012-02-01,9,9,19,8,16,13,44,30,74
"CAIZA ""D""",estado nutricional,l talla baja,2012-02-01,5,3,9,14,10,8,24,25,49
CAJUATA,estado nutricional,l talla baja,2012-02-01,7,4,6,10,10,15,23,29,52
CALACOTO,estado nutricional,l talla baja,2012-02-01,3,1,7,7,12,10,22,18,40
CALAMARCA,estado nutricional,l talla baja,2012-02-01,12,6,24,12,21,20,57,38,95
CAMARGO,estado nutricional,l talla baja,2012-02-01,11,8,28,16,50,40,89,64,153
CAMATAQUI (C. VILLA ABECIA),estado nutricional,l talla baja,2012-02-01,1,0,8,1,12,7,21,8,29
CAMIRI,estado nutricional,l talla baja,2012-02-01,3,1,6,3,20,12,29,16,45
CAPINOTA,estado nutricional,l talla baja,2012-02-01,7,7,10,11,7,14,24,32,56
CAQUIAVIRI,estado nutricional,l talla baja,2012-02-01,4,4,12,13,8,6,24,23,47
CARACOLLO,estado nutricional,l talla baja,2012-02-01,14,12,48,20,31,20,93,52,145
CARANAVI,estado nutricional,l talla baja,2012-02-01,31,27,46,57,70,69,147,153,300
CARANGAS,estado nutricional,l talla baja,2012-02-01,1,0,1,1,1,0,3,1,4
CARAPARI,estado nutricional,l talla baja,2012-02-01,1,1,3,1,1,2,5,4,9
CARIPUYO,estado nutricional,l talla baja,2012-02-01,13,15,28,35,70,61,111,111,222
CARMEN RIVERO TORREZ,estado nutricional,l talla baja,2012-02-01,1,0,0,0,1,0,2,0,2
CATACORA,estado nutricional,l talla baja,2012-02-01,3,1,6,4,9,2,18,7,25
CHACARILLA,estado nutricional,l talla baja,2012-02-01,2,0,4,1,1,1,7,2,9
CHALLAPATA,estado nutricional,l talla baja,2012-02-01,27,19,69,43,67,41,163,103,266
CHAQUI,estado nutricional,l talla baja,2012-02-01,5,6,19,12,12,16,36,34,70
CHARAGUA,estado nutricional,l talla baja,2012-02-01,10,5,15,9,18,10,43,24,67
CHARAÑA,estado nutricional,l talla baja,2012-02-01,1,0,5,3,6,4,12,7,19
CHAYANTA,estado nutricional,l talla baja,2012-02-01,26,10,47,31,42,53,115,94,209
CHIMORE,estado nutricional,l talla baja,2012-02-01,4,5,14,5,11,10,29,20,49
CHIPAYA,estado nutricional,l talla baja,2012-02-01,1,1,3,2,2,1,6,4,10
CHOQUE COTA,estado nutricional,l talla baja,2012-02-01,1,0,0,1,1,0,2,1,3
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,l talla baja,2012-02-01,4,0,6,4,5,4,15,8,23
CHUMA,estado nutricional,l talla baja,2012-02-01,6,10,17,22,25,23,48,55,103
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,l talla baja,2012-02-01,1,2,9,4,0,3,10,9,19
CKOCHAS,estado nutricional,l talla baja,2012-02-01,24,19,58,34,42,32,124,85,209
CLIZA,estado nutricional,l talla baja,2012-02-01,10,2,18,5,15,6,43,13,56
COBIJA,estado nutricional,l talla baja,2012-02-01,14,10,28,4,15,12,57,26,83
COCAPATA,estado nutricional,l talla baja,2012-02-01,25,17,40,25,40,38,105,80,185
COCHABAMBA,estado nutricional,l talla baja,2012-02-01,113,104,168,184,108,121,389,409,798
COIPASA,estado nutricional,l talla baja,2012-02-01,0,0,1,0,0,0,1,0,1
COLCAPIRHUA,estado nutricional,l talla baja,2012-02-01,9,6,24,18,19,22,52,46,98
"COLCHA ""K""",estado nutricional,l talla baja,2012-02-01,9,5,18,3,8,10,35,18,53
COLLANA,estado nutricional,l talla baja,2012-02-01,1,0,1,1,4,1,6,2,8
COLOMI,estado nutricional,l talla baja,2012-02-01,14,8,22,17,21,24,57,49,106
COLQUECHACA,estado nutricional,l talla baja,2012-02-01,65,56,124,111,101,80,290,247,537
COLQUENCHA,estado nutricional,l talla baja,2012-02-01,12,7,20,14,9,10,41,31,72
COLQUIRI,estado nutricional,l talla baja,2012-02-01,10,7,18,18,39,25,67,50,117
COMANCHE,estado nutricional,l talla baja,2012-02-01,3,3,7,8,5,3,15,14,29
COMARAPA,estado nutricional,l talla baja,2012-02-01,3,4,10,6,6,3,19,13,32
COMBAYA,estado nutricional,l talla baja,2012-02-01,1,1,2,1,4,8,7,10,17
CONCEPCION,estado nutricional,l talla baja,2012-02-01,1,3,8,6,2,4,11,13,24
COPACABANA,estado nutricional,l talla baja,2012-02-01,1,1,4,4,3,5,8,10,18
CORIPATA,estado nutricional,l talla baja,2012-02-01,1,1,4,4,7,10,12,15,27
CORO CORO,estado nutricional,l talla baja,2012-02-01,9,5,13,12,11,9,33,26,59
COROICO,estado nutricional,l talla baja,2012-02-01,2,1,5,4,5,8,12,13,25
CORQUE,estado nutricional,l talla baja,2012-02-01,6,0,11,6,7,7,24,13,37
COTAGAITA,estado nutricional,l talla baja,2012-02-01,21,12,44,24,57,43,122,79,201
COTOCA,estado nutricional,l talla baja,2012-02-01,7,3,2,6,2,3,11,12,23
CUATRO CAÑADAS,estado nutricional,l talla baja,2012-02-01,4,0,2,4,3,4,9,8,17
CUCHUMUELA (V. G. VILLARROEL),estado nutricional,l talla baja,2012-02-01,0,0,1,0,0,3,1,3,4
CUEVO,estado nutricional,l talla baja,2012-02-01,6,2,7,6,8,10,21,18,39
CULPINA,estado nutricional,l talla baja,2012-02-01,15,13,30,17,51,39,96,69,165
CURAHUARA DE CARANGAS,estado nutricional,l talla baja,2012-02-01,7,5,18,12,14,14,39,31,70
CURVA,estado nutricional,l talla baja,2012-02-01,2,1,11,6,19,10,32,17,49
DESAGUADERO,estado nutricional,l talla baja,2012-02-01,0,2,5,0,0,2,5,4,9
EL ALTO,estado nutricional,l talla baja,2012-02-01,438,251,588,351,303,230,1329,832,2161
EL CHORO,estado nutricional,l talla baja,2012-02-01,1,1,4,0,9,6,14,7,21
EL PUENTE(STC),estado nutricional,l talla baja,2012-02-01,3,5,12,3,10,13,25,21,46
EL PUENTE(TJA),estado nutricional,l talla baja,2012-02-01,12,3,16,7,18,12,46,22,68
EL TORNO,estado nutricional,l talla baja,2012-02-01,4,7,6,8,6,5,16,20,36
EL VILLAR,estado nutricional,l talla baja,2012-02-01,0,1,3,3,9,6,12,10,22
ENTRE RIOS TRJ,estado nutricional,l talla baja,2012-02-01,4,3,12,6,16,10,32,19,51
ENTRE RIOS CBBA,estado nutricional,l talla baja,2012-02-01,9,4,13,16,25,23,47,43,90
ESCARA,estado nutricional,l talla baja,2012-02-01,0,0,1,0,0,0,1,0,1
ESCOMA,estado nutricional,l talla baja,2012-02-01,1,0,4,1,3,1,8,2,10
EUCALIPTUS,estado nutricional,l talla baja,2012-02-01,1,0,10,3,5,4,16,7,23
EUREKA (SANTOS MERCADO),estado nutricional,l talla baja,2012-02-01,1,0,1,1,1,1,3,2,5
EXALTACION,estado nutricional,l talla baja,2012-02-01,1,0,2,0,0,1,3,1,4
FERNANDEZ ALONSO,estado nutricional,l talla baja,2012-02-01,1,0,2,0,4,6,7,6,13
FILADELFIA,estado nutricional,l talla baja,2012-02-01,1,0,0,1,0,0,1,1,2
GENERAL SAAVEDRA,estado nutricional,l talla baja,2012-02-01,1,2,6,3,4,6,11,11,22
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,l talla baja,2012-02-01,2,6,17,16,19,19,38,41,79
GUANAY,estado nutricional,l talla baja,2012-02-01,6,1,5,6,4,6,15,13,28
GUAQUI,estado nutricional,l talla baja,2012-02-01,1,4,6,6,15,5,22,15,37
GUAYARAMERIN,estado nutricional,l talla baja,2012-02-01,23,17,19,16,15,13,57,46,103
GUTIERREZ,estado nutricional,l talla baja,2012-02-01,5,12,26,24,49,34,80,70,150
HUACARETA,estado nutricional,l talla baja,2012-02-01,5,2,6,3,5,3,16,8,24
HUACAYA (VILLA DE HUACAYA),estado nutricional,l talla baja,2012-02-01,2,1,4,0,4,5,10,6,16
HUACHACALLA,estado nutricional,l talla baja,2012-02-01,3,0,1,0,3,2,7,2,9
HUANUNI,estado nutricional,l talla baja,2012-02-01,31,13,35,20,17,18,83,51,134
HUARACAJE,estado nutricional,l talla baja,2012-02-01,1,0,1,0,0,1,2,1,3
HUARINA,estado nutricional,l talla baja,2012-02-01,3,3,5,4,2,3,10,10,20
HUAYLLAMARCA,estado nutricional,l talla baja,2012-02-01,0,2,4,5,10,7,14,14,28
HUMANATA,estado nutricional,l talla baja,2012-02-01,2,6,12,5,6,6,20,17,37
ICHOCA,estado nutricional,l talla baja,2012-02-01,7,3,14,10,24,17,45,30,75
ICLA,estado nutricional,l talla baja,2012-02-01,9,1,27,21,97,88,133,110,243
INCAHUASI,estado nutricional,l talla baja,2012-02-01,10,9,29,13,24,22,63,44,107
INQUISIVI,estado nutricional,l talla baja,2012-02-01,4,2,8,9,8,4,20,15,35
IRUPANA (VILLA DE LANZA),estado nutricional,l talla baja,2012-02-01,0,1,1,0,6,2,7,3,10
IXIAMAS,estado nutricional,l talla baja,2012-02-01,1,1,2,2,1,5,4,8,12
JESUS DE MACHACA,estado nutricional,l talla baja,2012-02-01,2,4,13,10,12,9,27,23,50
LA ASUNTA,estado nutricional,l talla baja,2012-02-01,10,3,18,14,6,19,34,36,70
LA GUARDIA,estado nutricional,l talla baja,2012-02-01,8,12,4,8,6,7,18,27,45
LA PAZ,estado nutricional,l talla baja,2012-02-01,326,228,494,273,376,206,1196,707,1903
LA RIVERA,estado nutricional,l talla baja,2012-02-01,0,0,0,1,0,0,0,1,1
LAGUNILLAS,estado nutricional,l talla baja,2012-02-01,0,3,1,3,5,4,6,10,16
LAJA,estado nutricional,l talla baja,2012-02-01,11,2,13,7,5,1,29,10,39
LAS CARRERAS,estado nutricional,l talla baja,2012-02-01,1,0,3,1,14,3,18,4,22
LICOMA PAMPA,estado nutricional,l talla baja,2012-02-01,1,1,1,1,0,0,2,2,4
LLALLAGUA,estado nutricional,l talla baja,2012-02-01,21,18,56,51,17,15,94,84,178
LLICA,estado nutricional,l talla baja,2012-02-01,5,2,3,3,1,1,9,6,15
LORETO,estado nutricional,l talla baja,2012-02-01,0,2,1,1,2,0,3,3,6
LURIBAY,estado nutricional,l talla baja,2012-02-01,7,3,7,6,20,15,34,24,58
MACHACAMARCA,estado nutricional,l talla baja,2012-02-01,1,1,2,1,0,1,3,3,6
MACHARETI,estado nutricional,l talla baja,2012-02-01,3,2,8,4,17,4,28,10,38
MAGDALENA,estado nutricional,l talla baja,2012-02-01,3,5,1,0,0,1,4,6,10
MAIRANA,estado nutricional,l talla baja,2012-02-01,9,1,7,4,4,0,20,5,25
MALLA,estado nutricional,l talla baja,2012-02-01,4,3,9,2,5,5,18,10,28
MAPIRI,estado nutricional,l talla baja,2012-02-01,4,1,3,3,7,10,14,14,28
MECAPACA,estado nutricional,l talla baja,2012-02-01,5,3,10,9,13,17,28,29,57
MINEROS,estado nutricional,l talla baja,2012-02-01,4,8,15,8,13,10,32,26,58
MIZQUE,estado nutricional,l talla baja,2012-02-01,16,9,31,30,18,34,65,73,138
MOCOMOCO,estado nutricional,l talla baja,2012-02-01,7,5,9,4,3,11,19,20,39
MOJINETE,estado nutricional,l talla baja,2012-02-01,0,2,1,1,0,0,1,3,4
MOJOCOYA,estado nutricional,l talla baja,2012-02-01,2,1,13,6,20,22,35,29,64
MONTEAGUDO,estado nutricional,l talla baja,2012-02-01,4,4,16,12,16,25,36,41,77
MONTERO,estado nutricional,l talla baja,2012-02-01,17,14,25,12,26,23,68,49,117
MORO MORO,estado nutricional,l talla baja,2012-02-01,2,0,4,1,1,3,7,4,11
MOROCHATA,estado nutricional,l talla baja,2012-02-01,19,15,39,25,34,37,92,77,169
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,l talla baja,2012-02-01,0,0,1,0,1,0,2,0,2
NAZACARA DE PACAJES,estado nutricional,l talla baja,2012-02-01,0,1,1,0,1,0,2,1,3
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,l talla baja,2012-02-01,0,0,0,1,0,2,0,3,3
OCURI,estado nutricional,l talla baja,2012-02-01,25,19,67,54,52,39,144,112,256
OKINAWA,estado nutricional,l talla baja,2012-02-01,1,0,0,1,0,3,1,4,5
OMEREQUE,estado nutricional,l talla baja,2012-02-01,2,3,5,3,3,3,10,9,19
ORURO,estado nutricional,l talla baja,2012-02-01,210,186,300,217,119,108,629,511,1140
PADCAYA,estado nutricional,l talla baja,2012-02-01,3,1,8,8,11,9,22,18,40
PADILLA,estado nutricional,l talla baja,2012-02-01,4,6,15,8,21,22,40,36,76
PAILON,estado nutricional,l talla baja,2012-02-01,3,0,1,0,1,4,5,4,9
PALCA,estado nutricional,l talla baja,2012-02-01,9,4,13,13,9,16,31,33,64
PALOS BLANCOS,estado nutricional,l talla baja,2012-02-01,6,4,14,19,13,17,33,40,73
PAMPA AULLAGAS,estado nutricional,l talla baja,2012-02-01,3,6,3,7,4,1,10,14,24
PAMPA GRANDE,estado nutricional,l talla baja,2012-02-01,0,1,4,1,4,6,8,8,16
PAPEL PAMPA,estado nutricional,l talla baja,2012-02-01,2,3,2,0,7,2,11,5,16
PASORAPA,estado nutricional,l talla baja,2012-02-01,1,0,0,2,3,5,4,7,11
PATACAMAYA,estado nutricional,l talla baja,2012-02-01,15,13,30,11,9,13,54,37,91
PAZÑA,estado nutricional,l talla baja,2012-02-01,3,5,10,4,12,7,25,16,41
PELECHUCO,estado nutricional,l talla baja,2012-02-01,2,5,12,4,17,13,31,22,53
POCOATA,estado nutricional,l talla baja,2012-02-01,41,32,57,49,65,61,163,142,305
POCONA,estado nutricional,l talla baja,2012-02-01,9,3,9,13,15,11,33,27,60
POJO (CBBA),estado nutricional,l talla baja,2012-02-01,4,2,13,8,11,17,28,27,55
POOPO,estado nutricional,l talla baja,2012-02-01,7,2,5,7,5,7,17,16,33
PORCO,estado nutricional,l talla baja,2012-02-01,23,10,25,8,18,10,66,28,94
POROMA,estado nutricional,l talla baja,2012-02-01,10,10,24,17,49,39,83,66,149
PORONGO,estado nutricional,l talla baja,2012-02-01,0,1,2,0,0,1,2,2,4
PORTACHUELO,estado nutricional,l talla baja,2012-02-01,1,2,2,2,0,1,3,5,8
PORVENIR,estado nutricional,l talla baja,2012-02-01,3,4,4,3,2,1,9,8,17
POSTRER VALLE,estado nutricional,l talla baja,2012-02-01,0,0,2,3,1,3,3,6,9
POTOSI,estado nutricional,l talla baja,2012-02-01,163,97,189,122,82,76,434,295,729
PRESTO,estado nutricional,l talla baja,2012-02-01,6,2,35,18,61,44,102,64,166
PUCARA,estado nutricional,l talla baja,2012-02-01,1,1,3,2,0,2,4,5,9
PUCARANI,estado nutricional,l talla baja,2012-02-01,16,12,33,23,17,10,66,45,111
PUERTO ACOSTA,estado nutricional,l talla baja,2012-02-01,7,7,22,6,6,5,35,18,53
PUERTO CARABUCO,estado nutricional,l talla baja,2012-02-01,2,1,20,13,13,19,35,33,68
PUERTO GONZALO MORENO,estado nutricional,l talla baja,2012-02-01,10,9,15,14,20,14,45,37,82
PUERTO PEREZ,estado nutricional,l talla baja,2012-02-01,2,1,3,2,1,2,6,5,11
PUERTO RICO,estado nutricional,l talla baja,2012-02-01,3,5,8,6,6,8,17,19,36
PUERTO SILES,estado nutricional,l talla baja,2012-02-01,1,0,1,0,0,1,2,1,3
PUERTO SUAREZ,estado nutricional,l talla baja,2012-02-01,5,0,1,0,4,1,10,1,11
PUERTO VILLARROEL,estado nutricional,l talla baja,2012-02-01,9,13,28,21,22,21,59,55,114
PUNA,estado nutricional,l talla baja,2012-02-01,14,12,42,45,40,40,96,97,193
PUNATA,estado nutricional,l talla baja,2012-02-01,6,10,9,12,2,6,17,28,45
QUIABAYA,estado nutricional,l talla baja,2012-02-01,1,3,2,3,3,3,6,9,15
QUILLACOLLO,estado nutricional,l talla baja,2012-02-01,16,13,32,37,20,19,68,69,137
QUIME,estado nutricional,l talla baja,2012-02-01,1,1,19,2,11,12,31,15,46
QUIRUSILLAS,estado nutricional,l talla baja,2012-02-01,1,0,1,0,0,0,2,0,2
RAVELO,estado nutricional,l talla baja,2012-02-01,30,27,74,82,91,104,195,213,408
REYES,estado nutricional,l talla baja,2012-02-01,4,5,4,3,7,6,15,14,29
RIBERALTA,estado nutricional,l talla baja,2012-02-01,36,19,62,38,34,37,132,94,226
ROBORE,estado nutricional,l talla baja,2012-02-01,2,0,4,3,2,2,8,5,13
RURRENABAQUE,estado nutricional,l talla baja,2012-02-01,5,8,9,11,5,7,19,26,45
SABAYA,estado nutricional,l talla baja,2012-02-01,0,0,2,1,2,2,4,3,7
SACABA,estado nutricional,l talla baja,2012-02-01,35,14,83,49,51,53,169,116,285
SACABAMBA,estado nutricional,l talla baja,2012-02-01,5,1,10,5,6,14,21,20,41
SACACA,estado nutricional,l talla baja,2012-02-01,36,36,101,62,92,88,229,186,415
SAIPINA,estado nutricional,l talla baja,2012-02-01,0,1,0,1,2,5,2,7,9
SALINAS DE GARCI MENDOZA,estado nutricional,l talla baja,2012-02-01,7,4,13,11,15,8,35,23,58
SAMAIPATA,estado nutricional,l talla baja,2012-02-01,4,2,4,2,4,3,12,7,19
SAN AGUSTIN,estado nutricional,l talla baja,2012-02-01,0,0,1,2,3,1,4,3,7
SAN ANDRES,estado nutricional,l talla baja,2012-02-01,3,1,0,0,2,6,5,7,12
SAN ANDRES DE MACHACA,estado nutricional,l talla baja,2012-02-01,2,1,3,1,3,0,8,2,10
SAN ANTONIO DE ESMORUCO,estado nutricional,l talla baja,2012-02-01,2,0,2,0,0,1,4,1,5
SAN ANTONIO DE LOMERIO,estado nutricional,l talla baja,2012-02-01,3,15,5,9,8,16,16,40,56
SAN BENITO,estado nutricional,l talla baja,2012-02-01,4,3,15,4,6,7,25,14,39
SAN BORJA,estado nutricional,l talla baja,2012-02-01,18,16,46,31,65,43,129,90,219
SAN BUENA VENTURA,estado nutricional,l talla baja,2012-02-01,2,7,7,6,9,3,18,16,34
SAN CARLOS,estado nutricional,l talla baja,2012-02-01,4,2,3,0,8,9,15,11,26
SAN IGNACIO,estado nutricional,l talla baja,2012-02-01,13,5,33,10,35,10,81,25,106
SAN IGNACIO DE VELASCO,estado nutricional,l talla baja,2012-02-01,20,17,23,15,37,23,80,55,135
SAN JAVIER(BNI),estado nutricional,l talla baja,2012-02-01,1,0,1,1,0,1,2,2,4
SAN JAVIER(STC),estado nutricional,l talla baja,2012-02-01,0,8,2,8,1,2,3,18,21
SAN JOAQUIN,estado nutricional,l talla baja,2012-02-01,0,1,2,1,1,0,3,2,5
SAN JOSE DE CHIQUITOS,estado nutricional,l talla baja,2012-02-01,13,4,10,5,6,5,29,14,43
SAN JUAN DE YAPACANI,estado nutricional,l talla baja,2012-02-01,3,2,3,9,5,2,11,13,24
SAN JULIAN,estado nutricional,l talla baja,2012-02-01,30,31,23,26,30,43,83,100,183
SAN LORENZO(PND),estado nutricional,l talla baja,2012-02-01,5,3,10,7,12,13,27,23,50
SAN LORENZO(TJA),estado nutricional,l talla baja,2012-02-01,3,3,19,5,13,16,35,24,59
SAN LUCAS,estado nutricional,l talla baja,2012-02-01,13,25,63,71,109,163,185,259,444
SAN MATIAS,estado nutricional,l talla baja,2012-02-01,0,2,0,0,1,0,1,2,3
SAN MIGUEL DE VELASCO,estado nutricional,l talla baja,2012-02-01,9,5,33,13,17,18,59,36,95
SAN PABLO DE LIPEZ,estado nutricional,l talla baja,2012-02-01,1,2,7,2,2,4,10,8,18
SAN PEDRO,estado nutricional,l talla baja,2012-02-01,2,7,3,3,6,1,11,11,22
SAN PEDRO DE BUENA VISTA,estado nutricional,l talla baja,2012-02-01,36,25,53,47,54,46,143,118,261
SAN PEDRO DE CURAHUARA,estado nutricional,l talla baja,2012-02-01,1,0,1,3,2,4,4,7,11
SAN PEDRO DE QUEMES,estado nutricional,l talla baja,2012-02-01,1,2,1,1,2,2,4,5,9
SAN PEDRO DE TIQUINA,estado nutricional,l talla baja,2012-02-01,2,0,1,1,2,5,5,6,11
