,group,variable,month,L 9.1 TALLA NORMAL < DE 1 AÑO,L 9.1 TALLA NORMAL < DE 1 AÑO,L 9.1 TALLA NORMAL 1 A MENOR DE 2 AÑOS,L 9.1 TALLA NORMAL 1 A MENOR DE 2 AÑOS,L 9.1TALLA NORMAL 2 A MENOR DE 5 AÑOS,L 9.1TALLA NORMAL 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
SANTA CRUZ DE LA SIERRA,estado nutricional,l 9.1 talla normal,2011-01-01,5652,5196,2860,2644,2284,2012,10796,9852,20648
SANTA ROSA,estado nutricional,l 9.1 talla normal,2011-01-01,91,107,47,60,70,53,208,220,428
SANTA ROSA DEL SARA,estado nutricional,l 9.1 talla normal,2011-01-01,75,72,52,58,59,72,186,202,388
SANTIAGO DE CALLAPA,estado nutricional,l 9.1 talla normal,2011-01-01,18,19,22,28,7,10,47,57,104
SANTIAGO DE HUARI,estado nutricional,l 9.1 talla normal,2011-01-01,65,56,53,52,66,67,184,175,359
SANTIAGO DE HUATA,estado nutricional,l 9.1 talla normal,2011-01-01,27,26,8,17,16,5,51,48,99
SANTIAGO DE MACHACA,estado nutricional,l 9.1 talla normal,2011-01-01,30,19,22,20,12,16,64,55,119
SANTIVAÑES,estado nutricional,l 9.1 talla normal,2011-01-01,35,43,24,24,29,23,88,90,178
SANTUARIO DE QUILLACAS,estado nutricional,l 9.1 talla normal,2011-01-01,24,26,19,11,16,20,59,57,116
SAPAHAQUI,estado nutricional,l 9.1 talla normal,2011-01-01,39,39,39,32,20,33,98,104,202
SENA,estado nutricional,l 9.1 talla normal,2011-01-01,23,24,16,22,18,10,57,56,113
SHINAOTA,estado nutricional,l 9.1 talla normal,2011-01-01,302,238,153,146,173,148,628,532,1160
SICA SICA (VILLA AROMA),estado nutricional,l 9.1 talla normal,2011-01-01,143,149,90,118,97,128,330,395,725
SICAYA,estado nutricional,l 9.1 talla normal,2011-01-01,37,27,33,17,7,12,77,56,133
SIPE SIPE,estado nutricional,l 9.1 talla normal,2011-01-01,368,378,245,211,142,145,755,734,1489
SOPACHUY,estado nutricional,l 9.1 talla normal,2011-01-01,56,64,36,57,73,77,165,198,363
SORACACHI,estado nutricional,l 9.1 talla normal,2011-01-01,79,69,63,88,96,83,238,240,478
SORATA,estado nutricional,l 9.1 talla normal,2011-01-01,97,102,60,59,74,79,231,240,471
SUCRE,estado nutricional,l 9.1 talla normal,2011-01-01,1865,1725,1219,1155,925,956,4009,3836,7845
TACACHI,estado nutricional,l 9.1 talla normal,2011-01-01,3,0,1,0,4,9,8,9,17
TACACOMA,estado nutricional,l 9.1 talla normal,2011-01-01,38,44,33,19,36,35,107,98,205
TACOBAMBA,estado nutricional,l 9.1 talla normal,2011-01-01,60,37,40,46,11,17,111,100,211
TACOPAYA,estado nutricional,l 9.1 talla normal,2011-01-01,77,73,60,66,81,104,218,243,461
TAHUA,estado nutricional,l 9.1 talla normal,2011-01-01,2,6,2,5,3,4,7,15,22
TAPACARI,estado nutricional,l 9.1 talla normal,2011-01-01,154,162,121,116,97,94,372,372,744
TARABUCO,estado nutricional,l 9.1 talla normal,2011-01-01,135,119,94,71,163,156,392,346,738
TARACO,estado nutricional,l 9.1 talla normal,2011-01-01,28,13,25,30,7,11,60,54,114
TARATA,estado nutricional,l 9.1 talla normal,2011-01-01,72,81,53,52,44,31,169,164,333
TARIJA,estado nutricional,l 9.1 talla normal,2011-01-01,1226,1096,893,866,557,459,2676,2421,5097
TARVITA,estado nutricional,l 9.1 talla normal,2011-01-01,132,105,64,79,132,124,328,308,636
TEOPONTE,estado nutricional,l 9.1 talla normal,2011-01-01,60,71,61,59,68,51,189,181,370
TIAWANACU,estado nutricional,l 9.1 talla normal,2011-01-01,98,84,90,77,73,67,261,228,489
TINGUIPAYA,estado nutricional,l 9.1 talla normal,2011-01-01,96,83,64,75,27,41,187,199,386
TIPUANI,estado nutricional,l 9.1 talla normal,2011-01-01,101,64,61,50,67,44,229,158,387
TIQUIPAYA,estado nutricional,l 9.1 talla normal,2011-01-01,502,428,316,304,336,286,1154,1018,2172
TIRAQUE (CBBA),estado nutricional,l 9.1 talla normal,2011-01-01,163,159,86,74,45,53,294,286,580
TITO YUPANQUI (PARQUIPUJIO),estado nutricional,l 9.1 talla normal,2011-01-01,9,8,7,1,5,12,21,21,42
TOCO,estado nutricional,l 9.1 talla normal,2011-01-01,48,37,30,41,38,47,116,125,241
TODOS SANTOS,estado nutricional,l 9.1 talla normal,2011-01-01,0,1,2,0,1,1,3,2,5
TOLATA,estado nutricional,l 9.1 talla normal,2011-01-01,62,40,62,49,33,37,157,126,283
TOLEDO,estado nutricional,l 9.1 talla normal,2011-01-01,48,31,29,31,11,29,88,91,179
TOMAVE,estado nutricional,l 9.1 talla normal,2011-01-01,82,86,64,74,32,41,178,201,379
TOMINA,estado nutricional,l 9.1 talla normal,2011-01-01,61,70,50,43,120,137,231,250,481
TORO TORO,estado nutricional,l 9.1 talla normal,2011-01-01,56,44,38,48,39,54,133,146,279
TOTORA(CBBA),estado nutricional,l 9.1 talla normal,2011-01-01,107,95,70,76,43,37,220,208,428
TOTORA(ORR),estado nutricional,l 9.1 talla normal,2011-01-01,16,12,8,17,10,9,34,38,72
TRIGAL,estado nutricional,l 9.1 talla normal,2011-01-01,16,15,9,9,14,13,39,37,76
TRINIDAD,estado nutricional,l 9.1 talla normal,2011-01-01,717,577,340,350,372,389,1429,1316,2745
TUPIZA,estado nutricional,l 9.1 talla normal,2011-01-01,299,284,268,245,227,229,794,758,1552
TURCO,estado nutricional,l 9.1 talla normal,2011-01-01,32,33,34,35,19,30,85,98,183
UMALA,estado nutricional,l 9.1 talla normal,2011-01-01,48,54,71,58,62,58,181,170,351
UNCIA,estado nutricional,l 9.1 talla normal,2011-01-01,177,124,95,84,63,42,335,250,585
URIONDO (A. CONCEPCION),estado nutricional,l 9.1 talla normal,2011-01-01,134,120,118,104,112,105,364,329,693
UYUNI,estado nutricional,l 9.1 talla normal,2011-01-01,229,214,158,170,75,97,462,481,943
VACAS,estado nutricional,l 9.1 talla normal,2011-01-01,51,52,46,53,17,18,114,123,237
VALLEGRANDE,estado nutricional,l 9.1 talla normal,2011-01-01,109,100,93,76,59,44,261,220,481
VIACHA,estado nutricional,l 9.1 talla normal,2011-01-01,382,374,243,277,199,187,824,838,1662
VILA VILA,estado nutricional,l 9.1 talla normal,2011-01-01,28,27,15,16,46,54,89,97,186
VILLA CHARCAS,estado nutricional,l 9.1 talla normal,2011-01-01,122,106,82,100,89,87,293,293,586
VILLA MONTES,estado nutricional,l 9.1 talla normal,2011-01-01,326,329,255,249,190,188,771,766,1537
VILLA NUEVA (LOMA ALTA),estado nutricional,l 9.1 talla normal,2011-01-01,34,38,14,19,29,35,77,92,169
VILLA RIVERO,estado nutricional,l 9.1 talla normal,2011-01-01,72,58,43,29,48,30,163,117,280
VILLA SERRANO,estado nutricional,l 9.1 talla normal,2011-01-01,89,89,68,61,109,121,266,271,537
VILLA TUNARI,estado nutricional,l 9.1 talla normal,2011-01-01,748,640,505,438,589,516,1842,1594,3436
VILLA VACA GUZMAN (MUYUPAMPA),estado nutricional,l 9.1 talla normal,2011-01-01,76,71,69,53,132,112,277,236,513
VILLAZON,estado nutricional,l 9.1 talla normal,2011-01-01,310,304,248,235,215,213,773,752,1525
VINTO,estado nutricional,l 9.1 talla normal,2011-01-01,278,234,193,212,82,93,553,539,1092
VITICHI,estado nutricional,l 9.1 talla normal,2011-01-01,66,62,45,49,61,72,172,183,355
WALDO BALLIVIAN,estado nutricional,l 9.1 talla normal,2011-01-01,18,9,10,16,1,9,29,34,63
WARNES,estado nutricional,l 9.1 talla normal,2011-01-01,273,245,195,146,212,209,680,600,1280
YACO,estado nutricional,l 9.1 talla normal,2011-01-01,54,59,31,39,24,27,109,125,234
YACUIBA,estado nutricional,l 9.1 talla normal,2011-01-01,506,433,322,299,197,149,1025,881,1906
YAMPARAEZ,estado nutricional,l 9.1 talla normal,2011-01-01,48,41,23,39,81,91,152,171,323
YANACACHI,estado nutricional,l 9.1 talla normal,2011-01-01,32,34,30,35,28,36,90,105,195
YAPACANI,estado nutricional,l 9.1 talla normal,2011-01-01,476,419,281,252,216,207,973,878,1851
YOCALLA,estado nutricional,l 9.1 talla normal,2011-01-01,63,68,65,39,43,34,171,141,312
YOTALA,estado nutricional,l 9.1 talla normal,2011-01-01,70,55,51,62,104,120,225,237,462
YUNCHARA,estado nutricional,l 9.1 talla normal,2011-01-01,30,31,43,22,48,54,121,107,228
ZUDAÑEZ,estado nutricional,l 9.1 talla normal,2011-01-01,35,51,40,46,88,84,163,181,344
ACACIO,estado nutricional,l 9.1 talla normal,2011-02-01,41,56,20,26,28,24,89,106,195
ACHACACHI,estado nutricional,l 9.1 talla normal,2011-02-01,227,232,199,186,177,153,603,571,1174
ACHOCALLA,estado nutricional,l 9.1 talla normal,2011-02-01,63,81,53,42,43,35,159,158,317
AIQUILE,estado nutricional,l 9.1 talla normal,2011-02-01,207,202,146,124,127,119,480,445,925
ALALAY,estado nutricional,l 9.1 talla normal,2011-02-01,25,24,23,21,12,15,60,60,120
ALCALA,estado nutricional,l 9.1 talla normal,2011-02-01,24,25,18,15,51,48,93,88,181
ALTO BENI,estado nutricional,l 9.1 talla normal,2011-02-01,57,39,36,37,42,37,135,113,248
ANCORAIMES,estado nutricional,l 9.1 talla normal,2011-02-01,61,73,47,52,45,39,153,164,317
ANDAMARCA,estado nutricional,l 9.1 talla normal,2011-02-01,19,35,14,19,44,34,77,88,165
ANTEQUERA,estado nutricional,l 9.1 talla normal,2011-02-01,18,26,22,23,28,18,68,67,135
ANZALDO,estado nutricional,l 9.1 talla normal,2011-02-01,68,55,56,38,40,42,164,135,299
APOLO,estado nutricional,l 9.1 talla normal,2011-02-01,152,119,113,118,121,140,386,377,763
ARAMPAMPA,estado nutricional,l 9.1 talla normal,2011-02-01,23,19,17,16,32,35,72,70,142
ARANI,estado nutricional,l 9.1 talla normal,2011-02-01,79,80,79,58,52,56,210,194,404
ARBIETO,estado nutricional,l 9.1 talla normal,2011-02-01,95,76,74,63,107,102,276,241,517
ARQUE,estado nutricional,l 9.1 talla normal,2011-02-01,112,111,89,90,60,74,261,275,536
ASCENCION DE GUARAYOS,estado nutricional,l 9.1 talla normal,2011-02-01,216,163,156,164,327,327,699,654,1353
ATOCHA,estado nutricional,l 9.1 talla normal,2011-02-01,104,106,63,87,102,78,269,271,540
AUCAPATA,estado nutricional,l 9.1 talla normal,2011-02-01,18,24,25,23,15,13,58,60,118
AYATA,estado nutricional,l 9.1 talla normal,2011-02-01,68,51,44,52,51,23,163,126,289
AYO AYO,estado nutricional,l 9.1 talla normal,2011-02-01,54,43,57,43,14,13,125,99,224
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,l 9.1 talla normal,2011-02-01,191,150,128,118,117,90,436,358,794
AZURDUY,estado nutricional,l 9.1 talla normal,2011-02-01,105,95,38,63,125,105,268,263,531
BATALLAS,estado nutricional,l 9.1 talla normal,2011-02-01,116,115,68,93,55,43,239,251,490
BAURES,estado nutricional,l 9.1 talla normal,2011-02-01,30,22,20,9,16,21,66,52,118
BELEN DE ANDAMARCA,estado nutricional,l 9.1 talla normal,2011-02-01,12,14,8,16,15,4,35,34,69
BELEN DE URMIRI,estado nutricional,l 9.1 talla normal,2011-02-01,6,10,8,9,9,4,23,23,46
BELLA FLOR,estado nutricional,l 9.1 talla normal,2011-02-01,22,13,13,14,14,25,49,52,101
BERMEJO,estado nutricional,l 9.1 talla normal,2011-02-01,193,178,139,163,89,74,421,415,836
BETANZOS,estado nutricional,l 9.1 talla normal,2011-02-01,209,231,169,191,225,159,603,581,1184
BOLIVAR,estado nutricional,l 9.1 talla normal,2011-02-01,65,64,40,49,70,57,175,170,345
BOLPEBRA,estado nutricional,l 9.1 talla normal,2011-02-01,9,12,5,8,11,8,25,28,53
BOYUIBE,estado nutricional,l 9.1 talla normal,2011-02-01,31,24,24,17,38,28,93,69,162
BUENA VISTA,estado nutricional,l 9.1 talla normal,2011-02-01,103,77,55,58,83,83,241,218,459
CABEZAS,estado nutricional,l 9.1 talla normal,2011-02-01,149,139,106,101,120,92,375,332,707
CAIROMA,estado nutricional,l 9.1 talla normal,2011-02-01,72,75,51,44,62,51,185,170,355
"CAIZA ""D""",estado nutricional,l 9.1 talla normal,2011-02-01,82,92,57,46,37,35,176,173,349
CAJUATA,estado nutricional,l 9.1 talla normal,2011-02-01,75,70,48,40,50,48,173,158,331
CALACOTO,estado nutricional,l 9.1 talla normal,2011-02-01,27,26,30,28,18,23,75,77,152
CALAMARCA,estado nutricional,l 9.1 talla normal,2011-02-01,81,84,50,67,46,60,177,211,388
CAMARGO,estado nutricional,l 9.1 talla normal,2011-02-01,132,131,101,89,120,117,353,337,690
CAMATAQUI (C. VILLA ABECIA),estado nutricional,l 9.1 talla normal,2011-02-01,48,34,41,20,55,62,144,116,260
CAMIRI,estado nutricional,l 9.1 talla normal,2011-02-01,273,250,176,172,254,275,703,697,1400
CAPINOTA,estado nutricional,l 9.1 talla normal,2011-02-01,93,85,61,60,61,75,215,220,435
CAQUIAVIRI,estado nutricional,l 9.1 talla normal,2011-02-01,57,59,47,37,35,26,139,122,261
CARACOLLO,estado nutricional,l 9.1 talla normal,2011-02-01,180,156,110,141,75,92,365,389,754
CARANAVI,estado nutricional,l 9.1 talla normal,2011-02-01,402,360,303,272,207,178,912,810,1722
CARANGAS,estado nutricional,l 9.1 talla normal,2011-02-01,0,0,1,0,1,0,2,0,2
CARAPARI,estado nutricional,l 9.1 talla normal,2011-02-01,121,123,123,113,80,84,324,320,644
CARIPUYO,estado nutricional,l 9.1 talla normal,2011-02-01,52,57,43,38,52,76,147,171,318
CARMEN RIVERO TORREZ,estado nutricional,l 9.1 talla normal,2011-02-01,30,35,26,13,27,24,83,72,155
CATACORA,estado nutricional,l 9.1 talla normal,2011-02-01,5,1,3,3,5,3,13,7,20
CHACARILLA,estado nutricional,l 9.1 talla normal,2011-02-01,6,9,7,3,7,3,20,15,35
CHALLAPATA,estado nutricional,l 9.1 talla normal,2011-02-01,282,253,168,183,127,130,577,566,1143
CHAQUI,estado nutricional,l 9.1 talla normal,2011-02-01,48,43,31,45,30,33,109,121,230
CHARAGUA,estado nutricional,l 9.1 talla normal,2011-02-01,238,197,171,143,269,311,678,651,1329
CHARAÑA,estado nutricional,l 9.1 talla normal,2011-02-01,10,7,8,23,18,7,36,37,73
CHAYANTA,estado nutricional,l 9.1 talla normal,2011-02-01,97,97,52,73,41,56,190,226,416
CHIMORE,estado nutricional,l 9.1 talla normal,2011-02-01,197,179,141,124,123,142,461,445,906
CHIPAYA,estado nutricional,l 9.1 talla normal,2011-02-01,16,9,9,13,5,6,30,28,58
CHOQUE COTA,estado nutricional,l 9.1 talla normal,2011-02-01,5,5,9,2,6,6,20,13,33
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,l 9.1 talla normal,2011-02-01,98,77,72,50,68,49,238,176,414
CHUMA,estado nutricional,l 9.1 talla normal,2011-02-01,59,69,52,45,28,28,139,142,281
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,l 9.1 talla normal,2011-02-01,45,43,32,35,15,25,92,103,195
CKOCHAS,estado nutricional,l 9.1 talla normal,2011-02-01,79,85,74,53,89,82,242,220,462
CLIZA,estado nutricional,l 9.1 talla normal,2011-02-01,210,140,99,105,105,85,414,330,744
COBIJA,estado nutricional,l 9.1 talla normal,2011-02-01,413,423,249,252,211,189,873,864,1737
COCAPATA,estado nutricional,l 9.1 talla normal,2011-02-01,107,105,85,75,77,81,269,261,530
COCHABAMBA,estado nutricional,l 9.1 talla normal,2011-02-01,2345,2085,1376,1258,977,835,4698,4178,8876
COIPASA,estado nutricional,l 9.1 talla normal,2011-02-01,6,9,5,5,1,5,12,19,31
COLCAPIRHUA,estado nutricional,l 9.1 talla normal,2011-02-01,377,341,156,170,160,124,693,635,1328
"COLCHA ""K""",estado nutricional,l 9.1 talla normal,2011-02-01,78,107,64,85,246,221,388,413,801
COLLANA,estado nutricional,l 9.1 talla normal,2011-02-01,28,17,14,10,6,15,48,42,90
COLOMI,estado nutricional,l 9.1 talla normal,2011-02-01,165,156,85,86,68,51,318,293,611
COLPA BELGICA,estado nutricional,l 9.1 talla normal,2011-02-01,14,15,6,4,4,7,24,26,50
COLQUECHACA,estado nutricional,l 9.1 talla normal,2011-02-01,251,246,182,187,111,85,544,518,1062
COLQUENCHA,estado nutricional,l 9.1 talla normal,2011-02-01,60,71,45,57,39,25,144,153,297
COLQUIRI,estado nutricional,l 9.1 talla normal,2011-02-01,115,107,70,74,55,68,240,249,489
COMANCHE,estado nutricional,l 9.1 talla normal,2011-02-01,21,29,6,17,8,8,35,54,89
COMARAPA,estado nutricional,l 9.1 talla normal,2011-02-01,183,181,103,111,95,106,381,398,779
COMBAYA,estado nutricional,l 9.1 talla normal,2011-02-01,16,12,13,19,15,18,44,49,93
CONCEPCION,estado nutricional,l 9.1 talla normal,2011-02-01,155,140,73,80,69,54,297,274,571
COPACABANA,estado nutricional,l 9.1 talla normal,2011-02-01,68,57,53,34,62,46,183,137,320
CORIPATA,estado nutricional,l 9.1 talla normal,2011-02-01,95,100,79,81,55,77,229,258,487
CORO CORO,estado nutricional,l 9.1 talla normal,2011-02-01,61,61,40,44,33,47,134,152,286
COROICO,estado nutricional,l 9.1 talla normal,2011-02-01,121,109,98,56,53,60,272,225,497
CORQUE,estado nutricional,l 9.1 talla normal,2011-02-01,46,41,24,35,29,28,99,104,203
COTAGAITA,estado nutricional,l 9.1 talla normal,2011-02-01,130,154,131,113,137,156,398,423,821
COTOCA,estado nutricional,l 9.1 talla normal,2011-02-01,384,357,198,171,195,200,777,728,1505
CUATRO CAÑADAS,estado nutricional,l 9.1 talla normal,2011-02-01,167,129,84,109,156,154,407,392,799
CUCHUMUELA (V. G. VILLARROEL),estado nutricional,l 9.1 talla normal,2011-02-01,14,8,9,2,4,6,27,16,43
CUEVO,estado nutricional,l 9.1 talla normal,2011-02-01,31,31,34,23,46,44,111,98,209
CULPINA,estado nutricional,l 9.1 talla normal,2011-02-01,148,174,129,98,139,158,416,430,846
CURAHUARA DE CARANGAS,estado nutricional,l 9.1 talla normal,2011-02-01,33,33,38,25,22,17,93,75,168
CURVA,estado nutricional,l 9.1 talla normal,2011-02-01,18,14,8,4,8,11,34,29,63
DESAGUADERO,estado nutricional,l 9.1 talla normal,2011-02-01,32,27,14,17,14,17,60,61,121
EL ALTO,estado nutricional,l 9.1 talla normal,2011-02-01,4692,4459,2841,2719,1976,1818,9509,8996,18505
EL CHORO,estado nutricional,l 9.1 talla normal,2011-02-01,41,45,29,37,41,32,111,114,225
EL PUENTE(STC),estado nutricional,l 9.1 talla normal,2011-02-01,101,88,86,71,82,88,269,247,516
EL PUENTE(TJA),estado nutricional,l 9.1 talla normal,2011-02-01,100,86,80,74,76,93,256,253,509
EL TORNO,estado nutricional,l 9.1 talla normal,2011-02-01,329,319,168,149,147,136,644,604,1248
EL VILLAR,estado nutricional,l 9.1 talla normal,2011-02-01,26,33,31,25,64,60,121,118,239
ENTRE RIOS TRJ,estado nutricional,l 9.1 talla normal,2011-02-01,149,168,136,108,111,141,396,417,813
ENTRE RIOS CBBA,estado nutricional,l 9.1 talla normal,2011-02-01,275,283,179,219,182,195,636,697,1333
ESCARA,estado nutricional,l 9.1 talla normal,2011-02-01,1,0,2,1,3,1,6,2,8
ESCOMA,estado nutricional,l 9.1 talla normal,2011-02-01,22,20,18,22,17,22,57,64,121
EUCALIPTUS,estado nutricional,l 9.1 talla normal,2011-02-01,50,44,35,47,35,28,120,119,239
EUREKA (SANTOS MERCADO),estado nutricional,l 9.1 talla normal,2011-02-01,18,18,12,6,23,18,53,42,95
EXALTACION,estado nutricional,l 9.1 talla normal,2011-02-01,14,11,8,4,16,11,38,26,64
FERNANDEZ ALONSO,estado nutricional,l 9.1 talla normal,2011-02-01,120,89,84,59,114,97,318,245,563
FILADELFIA,estado nutricional,l 9.1 talla normal,2011-02-01,38,32,30,19,39,28,107,79,186
GENERAL SAAVEDRA,estado nutricional,l 9.1 talla normal,2011-02-01,113,96,93,82,121,127,327,305,632
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,l 9.1 talla normal,2011-02-01,64,60,48,53,38,25,150,138,288
GUANAY,estado nutricional,l 9.1 talla normal,2011-02-01,99,108,65,74,70,72,234,254,488
GUAQUI,estado nutricional,l 9.1 talla normal,2011-02-01,32,46,29,32,18,10,79,88,167
GUAYARAMERIN,estado nutricional,l 9.1 talla normal,2011-02-01,303,294,164,180,182,191,649,665,1314
GUTIERREZ,estado nutricional,l 9.1 talla normal,2011-02-01,119,117,101,112,165,166,385,395,780
HUACARETA,estado nutricional,l 9.1 talla normal,2011-02-01,77,82,47,56,97,102,221,240,461
HUACAYA (VILLA DE HUACAYA),estado nutricional,l 9.1 talla normal,2011-02-01,22,18,8,8,40,35,70,61,131
HUACHACALLA,estado nutricional,l 9.1 talla normal,2011-02-01,7,3,3,3,3,9,13,15,28
HUANUNI,estado nutricional,l 9.1 talla normal,2011-02-01,180,172,92,99,69,61,341,332,673
HUARACAJE,estado nutricional,l 9.1 talla normal,2011-02-01,21,27,13,12,19,23,53,62,115
HUARINA,estado nutricional,l 9.1 talla normal,2011-02-01,27,32,32,19,12,14,71,65,136
HUAYLLAMARCA,estado nutricional,l 9.1 talla normal,2011-02-01,29,24,24,41,24,30,77,95,172
HUMANATA,estado nutricional,l 9.1 talla normal,2011-02-01,25,21,21,21,13,10,59,52,111
ICHOCA,estado nutricional,l 9.1 talla normal,2011-02-01,22,19,19,13,11,13,52,45,97
ICLA,estado nutricional,l 9.1 talla normal,2011-02-01,60,75,58,52,118,141,236,268,504
INCAHUASI,estado nutricional,l 9.1 talla normal,2011-02-01,110,92,69,54,81,91,260,237,497
INGAVI (HUMAITA),estado nutricional,l 9.1 talla normal,2011-02-01,14,38,19,22,31,26,64,86,150
INQUISIVI,estado nutricional,l 9.1 talla normal,2011-02-01,74,60,41,40,48,45,163,145,308
IRUPANA (VILLA DE LANZA),estado nutricional,l 9.1 talla normal,2011-02-01,63,63,58,41,67,66,188,170,358
IXIAMAS,estado nutricional,l 9.1 talla normal,2011-02-01,69,83,61,51,51,70,181,204,385
JESUS DE MACHACA,estado nutricional,l 9.1 talla normal,2011-02-01,80,84,69,63,72,89,221,236,457
LA ASUNTA,estado nutricional,l 9.1 talla normal,2011-02-01,289,286,169,138,163,178,621,602,1223
LA GUARDIA,estado nutricional,l 9.1 talla normal,2011-02-01,737,658,347,396,400,410,1484,1464,2948
LA PAZ,estado nutricional,l 9.1 talla normal,2011-02-01,3779,3565,2286,2119,2069,2006,8134,7690,15824
LA RIVERA,estado nutricional,l 9.1 talla normal,2011-02-01,2,1,0,0,0,0,2,1,3
LAGUNILLAS,estado nutricional,l 9.1 talla normal,2011-02-01,61,68,53,43,137,107,251,218,469
LAJA,estado nutricional,l 9.1 talla normal,2011-02-01,103,92,71,83,38,56,212,231,443
LAS CARRERAS,estado nutricional,l 9.1 talla normal,2011-02-01,36,30,24,24,54,49,114,103,217
LICOMA PAMPA,estado nutricional,l 9.1 talla normal,2011-02-01,26,15,7,8,13,17,46,40,86
LLALLAGUA,estado nutricional,l 9.1 talla normal,2011-02-01,224,279,178,172,93,78,495,529,1024
LLICA,estado nutricional,l 9.1 talla normal,2011-02-01,27,25,22,31,17,19,66,75,141
LORETO,estado nutricional,l 9.1 talla normal,2011-02-01,25,22,23,11,24,44,72,77,149
LURIBAY,estado nutricional,l 9.1 talla normal,2011-02-01,42,48,50,45,57,48,149,141,290
MACHACAMARCA,estado nutricional,l 9.1 talla normal,2011-02-01,37,34,30,27,35,34,102,95,197
MACHARETI,estado nutricional,l 9.1 talla normal,2011-02-01,76,56,47,45,169,115,292,216,508
MAGDALENA,estado nutricional,l 9.1 talla normal,2011-02-01,93,77,55,53,104,83,252,213,465
MAIRANA,estado nutricional,l 9.1 talla normal,2011-02-01,91,94,40,52,35,40,166,186,352
MALLA,estado nutricional,l 9.1 talla normal,2011-02-01,22,18,9,7,8,11,39,36,75
MAPIRI,estado nutricional,l 9.1 talla normal,2011-02-01,62,55,30,27,27,31,119,113,232
MECAPACA,estado nutricional,l 9.1 talla normal,2011-02-01,68,73,43,57,39,42,150,172,322
MINEROS,estado nutricional,l 9.1 talla normal,2011-02-01,172,161,131,134,126,142,429,437,866
MIZQUE,estado nutricional,l 9.1 talla normal,2011-02-01,206,198,167,175,105,142,478,515,993
MOCOMOCO,estado nutricional,l 9.1 talla normal,2011-02-01,63,76,46,44,35,35,144,155,299
MOJINETE,estado nutricional,l 9.1 talla normal,2011-02-01,1,5,3,1,3,2,7,8,15
MOJOCOYA,estado nutricional,l 9.1 talla normal,2011-02-01,53,53,40,55,72,91,165,199,364
