,group,variable,month,L 9.2 TALLA BAJA < DE 1 AÑO,L 9.2 TALLA BAJA < DE 1 AÑO,L 9.2 TALLA BAJA 1 A MENOR DE 2 AÑOS,L 9.2 TALLA BAJA 1 A MENOR DE 2 AÑOS,L 9.2 TALLA BAJA 2 A MENOR DE 5 AÑOS,L 9.2 TALLA BAJA 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
SANTIAGO DE MACHACA,estado nutricional,l 9.2 talla baja,2011-01-01,4,3,9,4,3,2,16,9,25
SANTIVAÑES,estado nutricional,l 9.2 talla baja,2011-01-01,3,0,6,3,10,9,19,12,31
SANTUARIO DE QUILLACAS,estado nutricional,l 9.2 talla baja,2011-01-01,8,3,8,7,13,16,29,26,55
SAPAHAQUI,estado nutricional,l 9.2 talla baja,2011-01-01,10,3,11,10,14,8,35,21,56
SENA,estado nutricional,l 9.2 talla baja,2011-01-01,1,0,2,0,0,2,3,2,5
SHINAOTA,estado nutricional,l 9.2 talla baja,2011-01-01,214,169,113,89,117,96,444,354,798
SICA SICA (VILLA AROMA),estado nutricional,l 9.2 talla baja,2011-01-01,11,9,16,17,10,11,37,37,74
SICAYA,estado nutricional,l 9.2 talla baja,2011-01-01,4,3,12,5,9,2,25,10,35
SIPE SIPE,estado nutricional,l 9.2 talla baja,2011-01-01,13,10,39,39,26,28,78,77,155
SOPACHUY,estado nutricional,l 9.2 talla baja,2011-01-01,7,7,13,13,73,66,93,86,179
SORACACHI,estado nutricional,l 9.2 talla baja,2011-01-01,11,4,15,8,24,24,50,36,86
SORATA,estado nutricional,l 9.2 talla baja,2011-01-01,7,3,21,11,11,16,39,30,69
SUCRE,estado nutricional,l 9.2 talla baja,2011-01-01,95,51,142,97,123,126,360,274,634
TACACOMA,estado nutricional,l 9.2 talla baja,2011-01-01,3,3,8,1,2,11,13,15,28
TACOBAMBA,estado nutricional,l 9.2 talla baja,2011-01-01,7,11,22,19,9,13,38,43,81
TACOPAYA,estado nutricional,l 9.2 talla baja,2011-01-01,16,6,39,19,48,44,103,69,172
TAHUA,estado nutricional,l 9.2 talla baja,2011-01-01,1,0,0,2,2,1,3,3,6
TAPACARI,estado nutricional,l 9.2 talla baja,2011-01-01,37,29,72,49,46,56,155,134,289
TARABUCO,estado nutricional,l 9.2 talla baja,2011-01-01,32,26,59,52,167,173,258,251,509
TARACO,estado nutricional,l 9.2 talla baja,2011-01-01,2,0,3,2,0,3,5,5,10
TARATA,estado nutricional,l 9.2 talla baja,2011-01-01,4,4,18,4,6,6,28,14,42
TARIJA,estado nutricional,l 9.2 talla baja,2011-01-01,140,10,35,17,23,27,198,54,252
TARVITA,estado nutricional,l 9.2 talla baja,2011-01-01,19,7,59,38,153,150,231,195,426
TEOPONTE,estado nutricional,l 9.2 talla baja,2011-01-01,0,1,8,0,7,5,15,6,21
TIAWANACU,estado nutricional,l 9.2 talla baja,2011-01-01,9,4,18,11,8,12,35,27,62
TINGUIPAYA,estado nutricional,l 9.2 talla baja,2011-01-01,32,19,45,41,25,20,102,80,182
TIPUANI,estado nutricional,l 9.2 talla baja,2011-01-01,1,2,4,2,3,1,8,5,13
TIQUIPAYA,estado nutricional,l 9.2 talla baja,2011-01-01,12,16,39,42,44,42,95,100,195
TIRAQUE (CBBA),estado nutricional,l 9.2 talla baja,2011-01-01,27,27,60,63,21,25,108,115,223
TITO YUPANQUI (PARQUIPUJIO),estado nutricional,l 9.2 talla baja,2011-01-01,1,0,2,1,1,0,4,1,5
TOCO,estado nutricional,l 9.2 talla baja,2011-01-01,1,1,5,8,4,4,10,13,23
TODOS SANTOS,estado nutricional,l 9.2 talla baja,2011-01-01,1,0,1,0,0,1,2,1,3
TOLATA,estado nutricional,l 9.2 talla baja,2011-01-01,5,2,4,3,4,2,13,7,20
TOLEDO,estado nutricional,l 9.2 talla baja,2011-01-01,7,1,8,4,2,4,17,9,26
TOMAVE,estado nutricional,l 9.2 talla baja,2011-01-01,11,18,25,19,22,18,58,55,113
TOMINA,estado nutricional,l 9.2 talla baja,2011-01-01,4,2,19,12,83,103,106,117,223
TORO TORO,estado nutricional,l 9.2 talla baja,2011-01-01,7,11,17,22,38,42,62,75,137
TOTORA(CBBA),estado nutricional,l 9.2 talla baja,2011-01-01,9,6,20,14,8,9,37,29,66
TOTORA(ORR),estado nutricional,l 9.2 talla baja,2011-01-01,1,1,2,0,2,1,5,2,7
TRINIDAD,estado nutricional,l 9.2 talla baja,2011-01-01,18,19,19,17,11,19,48,55,103
TUPIZA,estado nutricional,l 9.2 talla baja,2011-01-01,20,11,31,19,36,31,87,61,148
TURCO,estado nutricional,l 9.2 talla baja,2011-01-01,1,5,7,4,7,2,15,11,26
UMALA,estado nutricional,l 9.2 talla baja,2011-01-01,5,4,6,4,5,7,16,15,31
UNCIA,estado nutricional,l 9.2 talla baja,2011-01-01,19,9,42,26,33,21,94,56,150
URIONDO (A. CONCEPCION),estado nutricional,l 9.2 talla baja,2011-01-01,4,1,2,3,4,2,10,6,16
UYUNI,estado nutricional,l 9.2 talla baja,2011-01-01,18,6,32,30,19,21,69,57,126
VACAS,estado nutricional,l 9.2 talla baja,2011-01-01,9,11,25,20,8,3,42,34,76
VALLEGRANDE,estado nutricional,l 9.2 talla baja,2011-01-01,4,1,5,1,3,1,12,3,15
VIACHA,estado nutricional,l 9.2 talla baja,2011-01-01,27,20,25,22,22,10,74,52,126
VILA VILA,estado nutricional,l 9.2 talla baja,2011-01-01,9,5,17,15,41,46,67,66,133
VILLA CHARCAS,estado nutricional,l 9.2 talla baja,2011-01-01,24,21,59,38,78,87,161,146,307
VILLA MONTES,estado nutricional,l 9.2 talla baja,2011-01-01,5,6,7,11,10,9,22,26,48
VILLA NUEVA (LOMA ALTA),estado nutricional,l 9.2 talla baja,2011-01-01,1,3,0,6,12,8,13,17,30
VILLA RIVERO,estado nutricional,l 9.2 talla baja,2011-01-01,4,4,3,8,8,8,15,20,35
VILLA SERRANO,estado nutricional,l 9.2 talla baja,2011-01-01,10,8,24,21,65,57,99,86,185
VILLA TUNARI,estado nutricional,l 9.2 talla baja,2011-01-01,27,28,50,45,62,63,139,136,275
VILLA VACA GUZMAN (MUYUPAMPA),estado nutricional,l 9.2 talla baja,2011-01-01,5,3,8,10,18,19,31,32,63
VILLAZON,estado nutricional,l 9.2 talla baja,2011-01-01,23,23,59,33,43,24,125,80,205
VINTO,estado nutricional,l 9.2 talla baja,2011-01-01,6,5,23,19,16,7,45,31,76
VITICHI,estado nutricional,l 9.2 talla baja,2011-01-01,8,5,17,21,34,33,59,59,118
WALDO BALLIVIAN,estado nutricional,l 9.2 talla baja,2011-01-01,1,0,1,0,0,4,2,4,6
WARNES,estado nutricional,l 9.2 talla baja,2011-01-01,0,1,6,8,4,1,10,10,20
YACO,estado nutricional,l 9.2 talla baja,2011-01-01,13,11,27,13,33,21,73,45,118
YACUIBA,estado nutricional,l 9.2 talla baja,2011-01-01,12,28,18,20,10,5,40,53,93
YAMPARAEZ,estado nutricional,l 9.2 talla baja,2011-01-01,1,2,14,11,55,43,70,56,126
YANACACHI,estado nutricional,l 9.2 talla baja,2011-01-01,3,1,2,2,1,3,6,6,12
YAPACANI,estado nutricional,l 9.2 talla baja,2011-01-01,6,6,16,21,8,15,30,42,72
YOCALLA,estado nutricional,l 9.2 talla baja,2011-01-01,3,3,6,10,5,5,14,18,32
YOTALA,estado nutricional,l 9.2 talla baja,2011-01-01,5,0,8,5,25,27,38,32,70
YUNCHARA,estado nutricional,l 9.2 talla baja,2011-01-01,4,1,11,11,34,21,49,33,82
ZUDAÑEZ,estado nutricional,l 9.2 talla baja,2011-01-01,8,3,12,11,61,62,81,76,157
ACACIO,estado nutricional,l 9.2 talla baja,2011-02-01,9,7,20,20,27,40,56,67,123
ACHACACHI,estado nutricional,l 9.2 talla baja,2011-02-01,29,13,34,15,18,11,81,39,120
ACHOCALLA,estado nutricional,l 9.2 talla baja,2011-02-01,4,0,5,4,6,4,15,8,23
AIQUILE,estado nutricional,l 9.2 talla baja,2011-02-01,32,16,49,58,51,63,132,137,269
ALALAY,estado nutricional,l 9.2 talla baja,2011-02-01,7,1,14,11,14,4,35,16,51
ALCALA,estado nutricional,l 9.2 talla baja,2011-02-01,3,3,5,3,14,22,22,28,50
ALTO BENI,estado nutricional,l 9.2 talla baja,2011-02-01,2,2,0,6,4,11,6,19,25
ANCORAIMES,estado nutricional,l 9.2 talla baja,2011-02-01,19,12,20,11,18,24,57,47,104
ANDAMARCA,estado nutricional,l 9.2 talla baja,2011-02-01,4,2,8,8,19,17,31,27,58
ANTEQUERA,estado nutricional,l 9.2 talla baja,2011-02-01,2,2,3,2,0,8,5,12,17
ANZALDO,estado nutricional,l 9.2 talla baja,2011-02-01,4,8,23,23,11,17,38,48,86
APOLO,estado nutricional,l 9.2 talla baja,2011-02-01,5,4,16,10,15,15,36,29,65
ARAMPAMPA,estado nutricional,l 9.2 talla baja,2011-02-01,5,1,12,9,18,27,35,37,72
ARANI,estado nutricional,l 9.2 talla baja,2011-02-01,3,6,17,15,14,9,34,30,64
ARBIETO,estado nutricional,l 9.2 talla baja,2011-02-01,6,1,12,9,10,12,28,22,50
ARQUE,estado nutricional,l 9.2 talla baja,2011-02-01,16,20,47,34,47,49,110,103,213
ASCENCION DE GUARAYOS,estado nutricional,l 9.2 talla baja,2011-02-01,5,15,12,22,31,45,48,82,130
ATOCHA,estado nutricional,l 9.2 talla baja,2011-02-01,6,9,8,9,8,14,22,32,54
AUCAPATA,estado nutricional,l 9.2 talla baja,2011-02-01,3,1,4,2,2,4,9,7,16
AYATA,estado nutricional,l 9.2 talla baja,2011-02-01,4,9,17,10,10,11,31,30,61
AYO AYO,estado nutricional,l 9.2 talla baja,2011-02-01,3,6,20,8,9,7,32,21,53
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,l 9.2 talla baja,2011-02-01,16,17,53,32,18,12,87,61,148
AZURDUY,estado nutricional,l 9.2 talla baja,2011-02-01,9,5,25,29,74,82,108,116,224
BATALLAS,estado nutricional,l 9.2 talla baja,2011-02-01,11,11,16,13,4,6,31,30,61
BAURES,estado nutricional,l 9.2 talla baja,2011-02-01,16,0,8,7,2,3,26,10,36
BELEN DE ANDAMARCA,estado nutricional,l 9.2 talla baja,2011-02-01,2,2,2,0,2,2,6,4,10
BELEN DE URMIRI,estado nutricional,l 9.2 talla baja,2011-02-01,2,2,2,3,2,5,6,10,16
BELLA FLOR,estado nutricional,l 9.2 talla baja,2011-02-01,3,1,0,2,0,2,3,5,8
BERMEJO,estado nutricional,l 9.2 talla baja,2011-02-01,9,2,6,6,5,2,20,10,30
BETANZOS,estado nutricional,l 9.2 talla baja,2011-02-01,50,37,87,53,92,89,229,179,408
BOLIVAR,estado nutricional,l 9.2 talla baja,2011-02-01,13,19,51,34,74,87,138,140,278
BOLPEBRA,estado nutricional,l 9.2 talla baja,2011-02-01,0,0,1,2,4,1,5,3,8
BOYUIBE,estado nutricional,l 9.2 talla baja,2011-02-01,0,1,0,0,1,3,1,4,5
BUENA VISTA,estado nutricional,l 9.2 talla baja,2011-02-01,0,0,5,3,2,3,7,6,13
CABEZAS,estado nutricional,l 9.2 talla baja,2011-02-01,2,0,4,4,7,6,13,10,23
CAIROMA,estado nutricional,l 9.2 talla baja,2011-02-01,5,4,2,10,22,12,29,26,55
"CAIZA ""D""",estado nutricional,l 9.2 talla baja,2011-02-01,5,3,17,8,18,11,40,22,62
CAJUATA,estado nutricional,l 9.2 talla baja,2011-02-01,2,2,4,1,4,3,10,6,16
CALACOTO,estado nutricional,l 9.2 talla baja,2011-02-01,11,5,12,9,11,11,34,25,59
CALAMARCA,estado nutricional,l 9.2 talla baja,2011-02-01,16,10,38,29,17,25,71,64,135
CAMARGO,estado nutricional,l 9.2 talla baja,2011-02-01,10,8,36,17,49,33,95,58,153
CAMATAQUI (C. VILLA ABECIA),estado nutricional,l 9.2 talla baja,2011-02-01,0,1,6,4,14,10,20,15,35
CAMIRI,estado nutricional,l 9.2 talla baja,2011-02-01,5,3,2,4,15,10,22,17,39
CAPINOTA,estado nutricional,l 9.2 talla baja,2011-02-01,30,7,37,29,19,14,86,50,136
CAQUIAVIRI,estado nutricional,l 9.2 talla baja,2011-02-01,7,3,14,11,8,7,29,21,50
CARACOLLO,estado nutricional,l 9.2 talla baja,2011-02-01,16,9,29,22,20,30,65,61,126
CARANAVI,estado nutricional,l 9.2 talla baja,2011-02-01,22,33,62,53,55,64,139,150,289
CARANGAS,estado nutricional,l 9.2 talla baja,2011-02-01,0,1,0,0,0,1,0,2,2
CARAPARI,estado nutricional,l 9.2 talla baja,2011-02-01,0,0,9,0,5,4,14,4,18
CARIPUYO,estado nutricional,l 9.2 talla baja,2011-02-01,15,15,40,40,97,91,152,146,298
CARMEN RIVERO TORREZ,estado nutricional,l 9.2 talla baja,2011-02-01,0,1,0,0,2,3,2,4,6
CATACORA,estado nutricional,l 9.2 talla baja,2011-02-01,1,2,3,2,5,3,9,7,16
CHACARILLA,estado nutricional,l 9.2 talla baja,2011-02-01,0,0,4,1,0,0,4,1,5
CHALLAPATA,estado nutricional,l 9.2 talla baja,2011-02-01,25,28,48,26,37,37,110,91,201
CHAQUI,estado nutricional,l 9.2 talla baja,2011-02-01,7,7,18,13,14,12,39,32,71
CHARAGUA,estado nutricional,l 9.2 talla baja,2011-02-01,10,8,14,13,25,24,49,45,94
CHARAÑA,estado nutricional,l 9.2 talla baja,2011-02-01,1,1,2,2,2,1,5,4,9
CHAYANTA,estado nutricional,l 9.2 talla baja,2011-02-01,25,10,55,27,46,38,126,75,201
CHIMORE,estado nutricional,l 9.2 talla baja,2011-02-01,5,2,18,10,26,23,49,35,84
CHIPAYA,estado nutricional,l 9.2 talla baja,2011-02-01,1,1,4,2,2,3,7,6,13
CHOQUE COTA,estado nutricional,l 9.2 talla baja,2011-02-01,0,3,0,1,0,1,0,5,5
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,l 9.2 talla baja,2011-02-01,1,2,2,2,1,1,4,5,9
CHUMA,estado nutricional,l 9.2 talla baja,2011-02-01,6,2,16,11,19,21,41,34,75
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,l 9.2 talla baja,2011-02-01,12,9,26,14,9,9,47,32,79
CKOCHAS,estado nutricional,l 9.2 talla baja,2011-02-01,17,18,35,23,29,24,81,65,146
CLIZA,estado nutricional,l 9.2 talla baja,2011-02-01,6,8,6,3,10,17,22,28,50
COBIJA,estado nutricional,l 9.2 talla baja,2011-02-01,33,12,32,6,23,7,88,25,113
COCAPATA,estado nutricional,l 9.2 talla baja,2011-02-01,9,7,20,25,31,28,60,60,120
COCHABAMBA,estado nutricional,l 9.2 talla baja,2011-02-01,53,76,137,120,97,133,287,329,616
COLCAPIRHUA,estado nutricional,l 9.2 talla baja,2011-02-01,3,1,9,4,7,7,19,12,31
"COLCHA ""K""",estado nutricional,l 9.2 talla baja,2011-02-01,11,3,29,9,29,24,69,36,105
COLLANA,estado nutricional,l 9.2 talla baja,2011-02-01,2,3,3,6,3,1,8,10,18
COLOMI,estado nutricional,l 9.2 talla baja,2011-02-01,14,7,17,21,20,13,51,41,92
COLQUECHACA,estado nutricional,l 9.2 talla baja,2011-02-01,78,49,128,108,70,74,276,231,507
COLQUENCHA,estado nutricional,l 9.2 talla baja,2011-02-01,16,6,19,14,7,5,42,25,67
COLQUIRI,estado nutricional,l 9.2 talla baja,2011-02-01,16,13,20,15,52,38,88,66,154
COMANCHE,estado nutricional,l 9.2 talla baja,2011-02-01,2,0,3,4,3,1,8,5,13
COMARAPA,estado nutricional,l 9.2 talla baja,2011-02-01,4,2,15,7,11,5,30,14,44
COMBAYA,estado nutricional,l 9.2 talla baja,2011-02-01,0,0,4,0,1,1,5,1,6
CONCEPCION,estado nutricional,l 9.2 talla baja,2011-02-01,7,4,10,4,9,5,26,13,39
COPACABANA,estado nutricional,l 9.2 talla baja,2011-02-01,4,4,7,5,4,1,15,10,25
CORIPATA,estado nutricional,l 9.2 talla baja,2011-02-01,0,0,3,0,3,2,6,2,8
CORO CORO,estado nutricional,l 9.2 talla baja,2011-02-01,5,4,20,11,8,13,33,28,61
COROICO,estado nutricional,l 9.2 talla baja,2011-02-01,4,3,10,12,6,15,20,30,50
CORQUE,estado nutricional,l 9.2 talla baja,2011-02-01,1,4,17,10,10,3,28,17,45
COTAGAITA,estado nutricional,l 9.2 talla baja,2011-02-01,23,7,47,47,56,57,126,111,237
COTOCA,estado nutricional,l 9.2 talla baja,2011-02-01,2,3,1,1,0,1,3,5,8
CUATRO CAÑADAS,estado nutricional,l 9.2 talla baja,2011-02-01,1,2,6,3,15,9,22,14,36
CUCHUMUELA (V. G. VILLARROEL),estado nutricional,l 9.2 talla baja,2011-02-01,1,0,1,2,0,1,2,3,5
CUEVO,estado nutricional,l 9.2 talla baja,2011-02-01,1,5,5,3,5,6,11,14,25
CULPINA,estado nutricional,l 9.2 talla baja,2011-02-01,25,11,28,23,54,56,107,90,197
CURAHUARA DE CARANGAS,estado nutricional,l 9.2 talla baja,2011-02-01,10,5,10,7,2,9,22,21,43
CURVA,estado nutricional,l 9.2 talla baja,2011-02-01,8,3,10,2,13,10,31,15,46
DESAGUADERO,estado nutricional,l 9.2 talla baja,2011-02-01,0,3,3,1,2,3,5,7,12
EL ALTO,estado nutricional,l 9.2 talla baja,2011-02-01,437,305,537,347,335,278,1309,930,2239
EL CHORO,estado nutricional,l 9.2 talla baja,2011-02-01,0,1,6,3,5,5,11,9,20
EL PUENTE(STC),estado nutricional,l 9.2 talla baja,2011-02-01,3,3,12,12,6,8,21,23,44
EL PUENTE(TJA),estado nutricional,l 9.2 talla baja,2011-02-01,11,8,22,12,11,11,44,31,75
EL TORNO,estado nutricional,l 9.2 talla baja,2011-02-01,2,2,6,3,5,7,13,12,25
EL VILLAR,estado nutricional,l 9.2 talla baja,2011-02-01,3,1,4,3,18,13,25,17,42
ENTRE RIOS TRJ,estado nutricional,l 9.2 talla baja,2011-02-01,9,11,19,17,16,18,44,46,90
ENTRE RIOS CBBA,estado nutricional,l 9.2 talla baja,2011-02-01,8,9,19,20,13,10,40,39,79
ESCARA,estado nutricional,l 9.2 talla baja,2011-02-01,0,0,2,0,0,0,2,0,2
ESCOMA,estado nutricional,l 9.2 talla baja,2011-02-01,0,1,0,1,2,2,2,4,6
EUCALIPTUS,estado nutricional,l 9.2 talla baja,2011-02-01,10,6,10,6,8,11,28,23,51
EXALTACION,estado nutricional,l 9.2 talla baja,2011-02-01,1,0,1,0,0,0,2,0,2
FERNANDEZ ALONSO,estado nutricional,l 9.2 talla baja,2011-02-01,3,2,13,5,8,4,24,11,35
FILADELFIA,estado nutricional,l 9.2 talla baja,2011-02-01,0,0,3,0,1,1,4,1,5
GENERAL SAAVEDRA,estado nutricional,l 9.2 talla baja,2011-02-01,4,1,6,3,11,8,21,12,33
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,l 9.2 talla baja,2011-02-01,9,1,19,13,18,11,46,25,71
GUANAY,estado nutricional,l 9.2 talla baja,2011-02-01,10,8,9,3,8,14,27,25,52
GUAQUI,estado nutricional,l 9.2 talla baja,2011-02-01,3,1,6,4,8,3,17,8,25
GUAYARAMERIN,estado nutricional,l 9.2 talla baja,2011-02-01,18,20,19,10,14,8,51,38,89
GUTIERREZ,estado nutricional,l 9.2 talla baja,2011-02-01,16,16,30,27,54,58,100,101,201
HUACARETA,estado nutricional,l 9.2 talla baja,2011-02-01,2,1,6,4,14,8,22,13,35
HUACAYA (VILLA DE HUACAYA),estado nutricional,l 9.2 talla baja,2011-02-01,2,0,2,0,2,1,6,1,7
HUACHACALLA,estado nutricional,l 9.2 talla baja,2011-02-01,1,0,3,0,2,4,6,4,10
HUANUNI,estado nutricional,l 9.2 talla baja,2011-02-01,33,12,43,28,17,18,93,58,151
HUARACAJE,estado nutricional,l 9.2 talla baja,2011-02-01,1,0,1,0,0,0,2,0,2
HUARINA,estado nutricional,l 9.2 talla baja,2011-02-01,2,2,3,5,3,1,8,8,16
HUAYLLAMARCA,estado nutricional,l 9.2 talla baja,2011-02-01,1,0,5,3,5,3,11,6,17
HUMANATA,estado nutricional,l 9.2 talla baja,2011-02-01,7,5,13,6,7,2,27,13,40
ICHOCA,estado nutricional,l 9.2 talla baja,2011-02-01,6,8,14,13,18,15,38,36,74
ICLA,estado nutricional,l 9.2 talla baja,2011-02-01,10,2,27,18,106,121,143,141,284
INCAHUASI,estado nutricional,l 9.2 talla baja,2011-02-01,12,12,41,21,44,56,97,89,186
INQUISIVI,estado nutricional,l 9.2 talla baja,2011-02-01,7,2,7,5,14,6,28,13,41
IRUPANA (VILLA DE LANZA),estado nutricional,l 9.2 talla baja,2011-02-01,0,1,2,0,0,2,2,3,5
IXIAMAS,estado nutricional,l 9.2 talla baja,2011-02-01,1,2,8,6,8,13,17,21,38
JESUS DE MACHACA,estado nutricional,l 9.2 talla baja,2011-02-01,7,5,8,6,9,7,24,18,42
LA ASUNTA,estado nutricional,l 9.2 talla baja,2011-02-01,9,12,21,19,23,27,53,58,111
LA GUARDIA,estado nutricional,l 9.2 talla baja,2011-02-01,8,9,5,14,14,11,27,34,61
LA PAZ,estado nutricional,l 9.2 talla baja,2011-02-01,339,201,412,268,259,223,1010,692,1702
LAGUNILLAS,estado nutricional,l 9.2 talla baja,2011-02-01,1,0,5,4,11,8,17,12,29
LAJA,estado nutricional,l 9.2 talla baja,2011-02-01,3,3,8,6,6,4,17,13,30
LAS CARRERAS,estado nutricional,l 9.2 talla baja,2011-02-01,0,0,0,2,5,0,5,2,7
LICOMA PAMPA,estado nutricional,l 9.2 talla baja,2011-02-01,1,0,2,2,2,2,5,4,9
LLALLAGUA,estado nutricional,l 9.2 talla baja,2011-02-01,33,25,45,36,38,29,116,90,206
LLICA,estado nutricional,l 9.2 talla baja,2011-02-01,0,1,3,1,4,6,7,8,15
LORETO,estado nutricional,l 9.2 talla baja,2011-02-01,1,1,5,1,5,2,11,4,15
LURIBAY,estado nutricional,l 9.2 talla baja,2011-02-01,5,7,13,5,11,6,29,18,47
MACHACAMARCA,estado nutricional,l 9.2 talla baja,2011-02-01,5,1,4,1,0,3,9,5,14
MACHARETI,estado nutricional,l 9.2 talla baja,2011-02-01,6,4,20,2,19,12,45,18,63
MAGDALENA,estado nutricional,l 9.2 talla baja,2011-02-01,3,0,3,1,0,1,6,2,8
MAIRANA,estado nutricional,l 9.2 talla baja,2011-02-01,4,4,3,4,5,3,12,11,23
MALLA,estado nutricional,l 9.2 talla baja,2011-02-01,2,3,9,5,3,5,14,13,27
MAPIRI,estado nutricional,l 9.2 talla baja,2011-02-01,0,0,0,0,0,2,0,2,2
MECAPACA,estado nutricional,l 9.2 talla baja,2011-02-01,3,2,3,12,11,6,17,20,37
MINEROS,estado nutricional,l 9.2 talla baja,2011-02-01,5,6,11,10,9,11,25,27,52
MIZQUE,estado nutricional,l 9.2 talla baja,2011-02-01,13,8,26,29,21,29,60,66,126
MOCOMOCO,estado nutricional,l 9.2 talla baja,2011-02-01,6,6,8,12,11,10,25,28,53
MOJINETE,estado nutricional,l 9.2 talla baja,2011-02-01,1,1,3,1,3,5,7,7,14
MOJOCOYA,estado nutricional,l 9.2 talla baja,2011-02-01,2,0,0,5,4,6,6,11,17
MONTEAGUDO,estado nutricional,l 9.2 talla baja,2011-02-01,4,5,14,11,26,35,44,51,95
MONTERO,estado nutricional,l 9.2 talla baja,2011-02-01,17,13,35,22,34,29,86,64,150
MORO MORO,estado nutricional,l 9.2 talla baja,2011-02-01,3,2,4,0,1,0,8,2,10
MOROCHATA,estado nutricional,l 9.2 talla baja,2011-02-01,15,6,20,17,23,11,58,34,92
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,l 9.2 talla baja,2011-02-01,0,1,1,0,3,0,4,1,5
NAZACARA DE PACAJES,estado nutricional,l 9.2 talla baja,2011-02-01,0,0,2,1,0,2,2,3,5
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,l 9.2 talla baja,2011-02-01,0,0,2,2,1,6,3,8,11
OCURI,estado nutricional,l 9.2 talla baja,2011-02-01,30,19,71,57,70,50,171,126,297
OKINAWA,estado nutricional,l 9.2 talla baja,2011-02-01,1,2,3,2,2,1,6,5,11
OMEREQUE,estado nutricional,l 9.2 talla baja,2011-02-01,1,0,1,0,8,3,10,3,13
ORURO,estado nutricional,l 9.2 talla baja,2011-02-01,221,164,314,208,145,132,680,504,1184
PADCAYA,estado nutricional,l 9.2 talla baja,2011-02-01,3,3,11,8,7,5,21,16,37
PADILLA,estado nutricional,l 9.2 talla baja,2011-02-01,12,5,11,9,40,41,63,55,118
PAILON,estado nutricional,l 9.2 talla baja,2011-02-01,19,19,3,5,2,3,24,27,51
PALCA,estado nutricional,l 9.2 talla baja,2011-02-01,5,2,8,10,8,9,21,21,42
PALOS BLANCOS,estado nutricional,l 9.2 talla baja,2011-02-01,6,6,15,6,5,5,26,17,43
PAMPA AULLAGAS,estado nutricional,l 9.2 talla baja,2011-02-01,5,3,9,2,12,6,26,11,37
PAMPA GRANDE,estado nutricional,l 9.2 talla baja,2011-02-01,4,0,7,1,4,3,15,4,19
PAPEL PAMPA,estado nutricional,l 9.2 talla baja,2011-02-01,0,0,6,0,2,2,8,2,10
PASORAPA,estado nutricional,l 9.2 talla baja,2011-02-01,1,0,2,2,4,1,7,3,10
PATACAMAYA,estado nutricional,l 9.2 talla baja,2011-02-01,14,4,16,7,8,4,38,15,53
PAZÑA,estado nutricional,l 9.2 talla baja,2011-02-01,5,6,11,5,11,10,27,21,48
PELECHUCO,estado nutricional,l 9.2 talla baja,2011-02-01,8,4,7,8,8,5,23,17,40
POCOATA,estado nutricional,l 9.2 talla baja,2011-02-01,35,21,64,76,53,43,152,140,292
POCONA,estado nutricional,l 9.2 talla baja,2011-02-01,5,5,21,19,10,11,36,35,71
POJO (CBBA),estado nutricional,l 9.2 talla baja,2011-02-01,4,2,13,9,7,13,24,24,48
POOPO,estado nutricional,l 9.2 talla baja,2011-02-01,4,3,1,4,3,2,8,9,17
PORCO,estado nutricional,l 9.2 talla baja,2011-02-01,30,17,30,12,10,18,70,47,117
POROMA,estado nutricional,l 9.2 talla baja,2011-02-01,13,9,40,23,47,44,100,76,176
PORONGO,estado nutricional,l 9.2 talla baja,2011-02-01,0,0,5,0,2,1,7,1,8
PORTACHUELO,estado nutricional,l 9.2 talla baja,2011-02-01,7,7,5,1,5,5,17,13,30
PORVENIR,estado nutricional,l 9.2 talla baja,2011-02-01,3,3,4,5,3,3,10,11,21
POSTRER VALLE,estado nutricional,l 9.2 talla baja,2011-02-01,0,1,0,2,3,3,3,6,9
POTOSI,estado nutricional,l 9.2 talla baja,2011-02-01,165,96,211,110,117,113,493,319,812
PRESTO,estado nutricional,l 9.2 talla baja,2011-02-01,16,6,26,12,42,51,84,69,153
PUCARA,estado nutricional,l 9.2 talla baja,2011-02-01,0,0,1,5,3,2,4,7,11
PUCARANI,estado nutricional,l 9.2 talla baja,2011-02-01,28,13,24,12,17,12,69,37,106
PUERTO ACOSTA,estado nutricional,l 9.2 talla baja,2011-02-01,4,4,7,2,2,4,13,10,23
PUERTO CARABUCO,estado nutricional,l 9.2 talla baja,2011-02-01,6,6,12,8,12,11,30,25,55
PUERTO GONZALO MORENO,estado nutricional,l 9.2 talla baja,2011-02-01,10,5,20,20,39,25,69,50,119
PUERTO PEREZ,estado nutricional,l 9.2 talla baja,2011-02-01,0,2,1,2,1,0,2,4,6
PUERTO QUIJARRO,estado nutricional,l 9.2 talla baja,2011-02-01,0,0,0,1,0,1,0,2,2
PUERTO RICO,estado nutricional,l 9.2 talla baja,2011-02-01,4,4,5,1,7,3,16,8,24
