,group,variable,month,TOTAL INFLUENZA ESTACIONAL (7M A 11 M) 2DA. DOSIS DENTRO,TOTAL INFLUENZA ESTACIONAL (7M A 11 M) 2DA. DOSIS DENTRO,TOTAL INFLUENZA ESTACIONAL (7M A 11 M) 2DA. DOSIS FUERA,TOTAL INFLUENZA ESTACIONAL (7M A 11 M) 2DA. DOSIS FUERA,TOTALES
SAN BENITO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,8,5,2,0,15
SAN BORJA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,19,16,1,4,40
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,6,5,1,0,12
SAN CARLOS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,15,17,0,0,32
SAN IGNACIO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,11,13,10,6,40
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,32,18,9,8,67
SAN JAVIER(STC),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,13,15,0,0,28
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,12,6,0,2,20
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,9,12,0,1,22
SAN JULIAN,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,28,22,1,0,51
SAN LORENZO(PND),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,1,1,11,2,15
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,10,10,0,1,21
SAN LUCAS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,0,2,1,1,4
SAN MATIAS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,16,11,0,0,27
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,11,8,0,0,19
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,0,0,0,1,1
SAN PEDRO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,3,2,2,2,9
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,9,18,17,19,63
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,1,0,0,0,1
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,1,1,1,0,3
SAN PEDRO(PND),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,0,0,0,1,1
SAN RAFAEL,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,5,6,1,0,12
SAN RAMON BENI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,1,5,1,1,8
SANTA ANA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,7,12,0,0,19
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,450,361,24,9,844
SANTA ROSA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,4,5,0,0,9
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,6,7,4,2,19
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,2,6,0,0,8
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,1,6,3,4,14
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,2,2,0,0,4
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,2,3,0,0,5
SAPAHAQUI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,5,3,1,2,11
SENA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,7,6,0,1,14
SHINAOTA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,3,6,0,0,9
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,5,4,0,0,9
SORACACHI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,4,2,11,11,28
SORATA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,9,4,2,11,26
SUCRE,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,57,67,12,12,148
TACACOMA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,3,6,8,9,26
TACOBAMBA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,0,0,6,5,11
TACOPAYA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,0,0,1,1,2
TAPACARI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,2,4,1,4,11
TARABUCO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,2,6,11,10,29
TARATA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,12,5,5,4,26
TARIJA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,59,49,9,19,136
TEOPONTE,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,10,4,1,2,17
TINGUIPAYA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,1,2,0,0,3
TIPUANI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,3,1,3,13,20
TIQUIPAYA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,10,15,13,19,57
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,10,14,22,17,63
TOCO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,7,5,2,2,16
TOLATA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,1,4,0,0,5
TOLEDO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,1,0,0,1,2
TOMAVE,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,3,7,4,6,20
TORO TORO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,3,3,10,9,25
TOTORA(CBBA),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,8,8,2,2,20
TOTORA(ORR),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,1,0,4,2,7
TRINIDAD,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,84,62,3,4,153
TUPIZA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,14,10,1,0,25
TURCO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,0,0,0,1,1
UNCIA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,17,13,25,32,87
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,4,4,2,0,10
URUBICHA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,7,2,10,7,26
UYUNI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,16,27,2,5,50
VACAS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,0,3,5,7,15
VALLEGRANDE,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,5,15,2,0,22
VIACHA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,31,32,13,12,88
VILA VILA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,1,0,1,0,2
VILLA MONTES,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,32,34,13,8,87
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,1,0,0,0,1
VILLA RIVERO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,4,0,3,1,8
VILLA TUNARI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,21,17,3,1,42
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,7,5,0,0,12
VILLAZON,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,25,22,2,0,49
VINTO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,4,5,0,0,9
VITICHI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,3,1,2,4,10
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,0,0,3,3,6
WARNES,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,46,39,0,0,85
YACUIBA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,37,37,27,27,128
YAPACANI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,15,13,1,1,30
YOCALLA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,1,3,1,1,6
YUNCHARA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,0,0,4,4,8
ZUDAÑEZ,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,4,4,8,4,20
ACHACACHI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,6,6,0,0,12
ALCALA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,2,3,1,1,7
ANDAMARCA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,2,1,0,0,3
ANTEQUERA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,0,1,0,0,1
ANZALDO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,0,0,3,1,4
APOLO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,6,8,5,3,22
ARBIETO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,2,3,3,1,9
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,20,22,0,0,42
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,4,0,0,0,4
BATALLAS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,3,2,1,0,6
BAURES,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,10,8,6,7,31
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,0,0,1,0,1
BELEN DE URMIRI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,0,0,1,1,2
BELLA FLOR,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,0,1,2,0,3
BERMEJO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,0,0,0,3,3
CABEZAS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,5,10,2,2,19
"CAIZA ""D""",vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,0,0,0,1,1
CAMARGO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,2,0,3,0,5
CAMIRI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,1,1,0,0,2
CAPINOTA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,1,0,0,0,1
CAQUIAVIRI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,1,0,0,0,1
CARACOLLO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,7,7,1,3,18
CARANAVI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,2,1,0,0,3
CARAPARI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,1,1,4,3,9
CHALLAPATA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,15,13,1,2,31
CHARAÑA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,0,1,0,0,1
CHAYANTA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,0,1,1,0,2
CHIMORE,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,11,10,0,1,22
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,1,5,0,0,6
CHUMA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,0,1,0,0,1
CLIZA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,2,0,1,1,4
COBIJA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,42,36,5,8,91
COCAPATA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,0,0,0,2,2
COCHABAMBA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,95,95,9,8,207
COLOMI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,8,11,3,1,23
COLQUECHACA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,0,0,0,3,3
CONCEPCION,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,15,17,0,5,37
COPACABANA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,2,3,0,3,8
CORO CORO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,1,0,0,0,1
COTOCA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,35,36,0,0,71
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,2,0,0,1,3
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,0,0,0,1,1
DESAGUADERO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,5,6,8,5,24
EL ALTO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,187,201,42,48,478
EL CHORO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,1,0,0,0,1
EL PUENTE(STC),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,5,2,0,0,7
EL PUENTE(TJA),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,3,2,3,0,8
EL TORNO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,10,14,0,0,24
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,2,11,0,2,15
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,1,2,1,0,4
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,0,2,1,2,5
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,3,5,0,1,9
FILADELFIA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,3,1,0,0,4
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,0,0,6,0,6
GUANAY,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,0,1,1,1,3
GUAYARAMERIN,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,2,0,1,0,3
GUTIERREZ,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,7,2,0,0,9
HUANUNI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,13,6,2,2,23
HUARACAJE,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,0,1,0,0,1
HUARINA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,2,0,0,0,2
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,0,2,1,0,3
JESUS DE MACHACA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,4,1,1,0,6
LA ASUNTA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,25,16,0,2,43
LA GUARDIA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,34,18,3,2,57
LA PAZ,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,184,175,65,52,476
LAGUNILLAS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,2,3,5,1,11
LAJA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,4,0,1,0,5
LAS CARRERAS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,0,0,2,4,6
LURIBAY,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,0,0,1,0,1
MACHACAMARCA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,1,0,0,0,1
MAGDALENA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,6,4,0,0,10
MAIRANA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,5,5,0,0,10
MAPIRI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,4,4,0,1,9
MIZQUE,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,5,2,0,0,7
MONTEAGUDO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,4,2,0,0,6
MONTERO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,44,51,1,0,96
MOROCHATA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,2,2,3,4,11
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,0,2,0,1,3
OKINAWA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,10,4,0,0,14
ORURO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,67,83,3,5,158
PAILON,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,16,9,17,13,55
PALOS BLANCOS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,3,3,0,0,6
PATACAMAYA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,0,1,2,0,3
PAZÑA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,0,1,1,1,3
PELECHUCO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,0,1,0,0,1
POJO (CBBA),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,1,1,6,3,11
PORCO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,3,0,0,0,3
POROMA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,0,1,1,0,2
PORONGO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,0,1,0,0,1
PORVENIR,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,2,1,0,1,4
POTOSI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,88,79,0,10,177
PUCARANI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,2,2,0,0,4
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,5,4,4,6,19
PUERTO PEREZ,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,1,2,2,5,10
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,13,17,0,0,30
PUERTO RICO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,1,0,0,2,3
PUERTO SUAREZ,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,2,1,0,0,3
PUNATA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,5,8,4,7,24
QUILLACOLLO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,14,14,7,8,43
QUIRUSILLAS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,1,1,0,0,2
RAVELO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,0,0,1,0,1
REYES,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,0,2,0,0,2
RIBERALTA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,3,2,0,0,5
ROBORE,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,9,5,0,0,14
RURRENABAQUE,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,7,12,0,3,22
SACABA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,46,43,22,9,120
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,3,0,0,1,4
SAN ANDRES,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,1,2,0,0,3
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,0,1,2,0,3
SAN BENITO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,4,8,13,17,42
SAN BORJA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,18,10,0,0,28
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,8,1,1,1,11
SAN CARLOS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,14,12,0,0,26
SAN IGNACIO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,21,16,0,0,37
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,15,25,0,0,40
SAN JOAQUIN,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,0,5,0,0,5
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,1,1,0,1,3
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,6,6,0,0,12
SAN JULIAN,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,16,10,1,2,29
SAN LORENZO(PND),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,10,2,6,2,20
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,9,7,0,0,16
SAN MATIAS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,5,3,0,0,8
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-09-01,3,3,0,0,6
