,group,variable,month,TOTAL ANTINEUMOCÓCICA 2DA DOSIS DENTRO,TOTAL ANTINEUMOCÓCICA 2DA DOSIS DENTRO,TOTAL ANTINEUMOCÓCICA 2DA DOSIS FUERA,TOTAL ANTINEUMOCÓCICA 2DA DOSIS FUERA,TOTALES
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,20,8,1,0,29
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,0,1,0,0,1
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,6,5,6,1,18
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,1,4,1,2,8
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,1,2,2,0,5
SANTIVAÑES,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,5,5,1,4,15
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,5,3,1,1,10
SAPAHAQUI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,6,3,4,4,17
SENA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,2,5,0,0,7
SHINAOTA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,15,13,1,3,32
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,13,6,7,7,33
SICAYA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,2,3,1,1,7
SIPE SIPE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,27,40,1,1,69
SOPACHUY,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,1,3,1,3,8
SORACACHI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,3,8,1,1,13
SORATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,9,7,3,11,30
SUCRE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,285,280,6,0,571
TACACHI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,1,1,0,0,2
TACACOMA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,3,3,1,0,7
TACOBAMBA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,0,7,0,1,8
TACOPAYA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,5,3,0,4,12
TAHUA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,0,1,0,0,1
TAPACARI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,10,11,5,8,34
TARABUCO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,8,7,6,8,29
TARACO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,4,1,0,0,5
TARATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,9,9,1,4,23
TARIJA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,218,204,6,3,431
TARVITA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,3,2,3,1,9
TEOPONTE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,8,9,2,2,21
TIAWANACU,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,11,14,2,1,28
TINGUIPAYA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,10,7,5,6,28
TIPUANI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,7,5,1,0,13
TIQUIPAYA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,47,44,2,7,100
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,14,5,6,7,32
TOCO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,7,5,1,2,15
TOLATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,4,2,4,2,12
TOLEDO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,2,3,1,0,6
TOMAVE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,7,8,4,2,21
TOMINA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,3,1,2,1,7
TORO TORO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,1,1,11,5,18
TOTORA(CBBA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,14,13,1,0,28
TOTORA(ORR),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,3,1,0,0,4
TRIGAL,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,1,0,0,0,1
TRINIDAD,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,132,101,3,2,238
TUPIZA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,26,20,3,3,52
TURCO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,3,2,0,0,5
UMALA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,7,4,2,2,15
UNCIA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,19,18,3,4,44
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,15,10,5,1,31
URUBICHA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,5,0,0,2,7
UYUNI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,19,28,2,1,50
VACAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,1,1,5,6,13
VALLEGRANDE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,17,11,0,0,28
VIACHA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,60,79,3,3,145
VILA VILA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,3,5,3,3,14
VILLA CHARCAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,11,10,5,2,28
VILLA MONTES,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,44,38,5,9,96
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,1,0,0,0,1
VILLA RIVERO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,9,5,1,0,15
VILLA SERRANO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,8,5,3,7,23
VILLA TUNARI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,83,74,9,2,168
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,6,5,0,0,11
VILLAZON,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,55,27,1,3,86
VINTO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,56,50,4,2,112
VITICHI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,3,2,1,0,6
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,1,2,1,0,4
WARNES,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,90,84,2,1,177
YACO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,2,2,4,3,11
YACUIBA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,83,75,7,10,175
YAMPARAEZ,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,0,5,2,0,7
YANACACHI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,3,4,1,0,8
YAPACANI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,17,13,9,8,47
YOCALLA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,3,4,3,0,10
YOTALA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,3,4,1,0,8
YUNCHARA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,1,0,0,4,5
ZUDAÑEZ,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,4,2,3,4,13
ACACIO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,1,2,1,2,6
ACHACACHI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,9,13,10,14,46
ACHOCALLA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,10,5,5,6,26
AIQUILE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,16,12,5,3,36
ALALAY,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,1,0,1,1,3
ALCALA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,7,3,0,0,10
ALTO BENI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,12,9,0,0,21
ANCORAIMES,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,3,6,2,0,11
ANDAMARCA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,2,0,2,1,5
ANTEQUERA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,0,1,0,0,1
ANZALDO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,7,3,0,3,13
APOLO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,10,13,1,1,25
ARAMPAMPA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,1,1,2,3,7
ARANI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,2,2,0,1,5
ARBIETO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,6,7,3,1,17
ARQUE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,3,6,3,4,16
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,14,12,0,2,28
ATOCHA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,6,5,0,0,11
AUCAPATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,2,1,6,1,10
AYATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,2,4,0,1,7
AYO AYO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,1,2,2,0,5
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,8,8,7,5,28
AZURDUY,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,5,2,5,1,13
BATALLAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,11,11,2,1,25
BAURES,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,2,1,1,0,4
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,2,1,1,0,4
BELEN DE URMIRI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,0,2,0,0,2
BELLA FLOR,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,1,2,1,4,8
BERMEJO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,10,12,1,1,24
BETANZOS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,18,14,4,5,41
BOLIVAR,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,2,1,2,3,8
BOYUIBE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,1,0,0,1,2
BUENA VISTA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,5,9,3,4,21
CABEZAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,11,3,1,3,18
CAIROMA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,7,5,2,1,15
"CAIZA ""D""",vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,6,3,2,3,14
CAJUATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,6,12,0,1,19
CALACOTO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,1,0,1,1,3
CALAMARCA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,8,4,1,2,15
CAMARGO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,7,4,2,4,17
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,3,1,1,0,5
CAMIRI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,31,19,0,0,50
CAPINOTA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,21,10,1,1,33
CAQUIAVIRI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,5,2,0,0,7
CARACOLLO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,5,5,2,4,16
CARANAVI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,30,37,3,1,71
CARAPARI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,7,0,2,1,10
CARIPUYO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,3,4,4,4,15
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,4,4,0,1,9
CATACORA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,0,2,0,0,2
CHALLAPATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,24,18,7,4,53
CHAQUI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,1,7,3,1,12
CHARAGUA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,6,13,16,24,59
CHAYANTA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,7,2,4,5,18
CHIMORE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,8,8,1,1,18
CHIPAYA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,0,2,0,1,3
CHOQUE COTA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,0,1,0,0,1
CHUA COCANI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,1,1,0,0,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,12,13,1,1,27
CHUMA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,6,2,10,4,22
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,2,6,0,0,8
CKOCHAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,9,6,2,3,20
CLIZA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,15,6,2,2,25
COBIJA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,26,15,2,2,45
COCAPATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,8,6,13,11,38
COCHABAMBA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,555,567,7,3,1132
COLCAPIRHUA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,35,28,0,1,64
"COLCHA ""K""",vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,5,9,0,1,15
COLLANA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,1,2,0,0,3
COLOMI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,17,13,1,0,31
COLPA BELGICA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,3,3,0,0,6
COLQUECHACA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,11,6,14,12,43
COLQUENCHA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,5,5,0,0,10
COLQUIRI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,11,10,2,6,29
COMANCHE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,4,2,0,1,7
COMARAPA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,15,11,3,1,30
COMBAYA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,0,1,0,1,2
CONCEPCION,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,4,6,6,5,21
COPACABANA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,0,0,2,3,5
CORIPATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,15,17,0,0,32
CORO CORO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,5,3,0,1,9
COROICO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,9,14,4,4,31
CORQUE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,0,3,2,0,5
COTAGAITA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,8,15,3,4,30
COTOCA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,25,32,2,2,61
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,24,18,2,5,49
CUEVO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,1,2,1,1,5
CULPINA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,10,7,4,4,25
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,4,3,0,0,7
DESAGUADERO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,6,5,3,1,15
EL ALTO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,549,584,68,64,1265
EL CHORO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,3,1,3,1,8
EL PUENTE(STC),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,11,9,2,1,23
EL PUENTE(TJA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,8,7,2,1,18
EL TORNO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,33,29,5,2,69
EL VILLAR,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,1,3,1,1,6
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,13,13,6,9,41
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,20,18,0,0,38
ESCOMA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,2,1,0,2,5
EUCALIPTUS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,3,2,0,1,6
EXALTACION,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,1,1,0,0,2
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,13,4,1,8,26
FILADELFIA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,8,2,0,0,10
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,12,6,0,0,18
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,3,7,5,2,17
GUANAY,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,9,6,2,4,21
GUAQUI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,1,2,1,5,9
GUAYARAMERIN,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,41,52,3,5,101
GUTIERREZ,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,13,7,7,0,27
HUACARETA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,3,7,1,5,16
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,2,1,1,2,6
HUANUNI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,21,29,1,0,51
HUARACAJE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,6,8,1,4,19
HUARINA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,3,1,1,1,6
HUATAJATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,1,0,0,0,1
HUAYLLAMARCA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,0,2,1,0,3
HUMANATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,2,1,0,0,3
ICHOCA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,1,3,1,1,6
ICLA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,0,4,5,2,11
INCAHUASI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,6,3,2,3,14
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,1,2,1,2,6
INQUISIVI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,6,5,1,0,12
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,8,4,1,2,15
IXIAMAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,6,9,0,0,15
JESUS DE MACHACA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,4,9,0,0,13
LA ASUNTA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,36,30,11,6,83
LA GUARDIA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,75,58,4,3,140
LA PAZ,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,463,465,15,5,948
LAGUNILLAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,3,5,0,0,8
LAJA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,9,4,3,4,20
LAS CARRERAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-02-01,3,3,0,1,7
