,group,variable,month,TOTAL ANTIROTAVIRÍCA 2DA DOSIS DENTRO,TOTAL ANTIROTAVIRÍCA 2DA DOSIS DENTRO,TOTAL ANTIROTAVIRÍCA 2DA DOSIS FUERA,TOTAL ANTIROTAVIRÍCA 2DA DOSIS FUERA,TOTALES
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,1,1,0,2,4
SAN RAFAEL,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,5,5,2,0,12
SAN RAMON BENI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,2,1,1,0,4
SAN RAMON SCZ,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,10,9,1,1,21
SANTA ANA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,13,11,0,0,24
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,1296,1201,44,30,2571
SANTA ROSA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,10,10,1,1,22
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,19,7,1,0,27
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,1,1,0,0,2
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,4,6,5,1,16
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,1,4,1,1,7
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,1,2,1,1,5
SANTIVAÑES,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,5,5,1,4,15
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,5,2,2,1,10
SAPAHAQUI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,6,3,2,2,13
SENA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,3,4,0,0,7
SHINAOTA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,13,13,1,3,30
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,13,6,4,4,27
SICAYA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,1,3,1,1,6
SIPE SIPE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,35,48,0,0,83
SOPACHUY,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,1,3,1,1,6
SORACACHI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,3,7,1,1,12
SORATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,8,6,2,10,26
SUCRE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,285,274,6,0,565
TACACHI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,1,1,0,0,2
TACACOMA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,3,3,1,0,7
TACOBAMBA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,0,5,0,1,6
TACOPAYA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,5,3,1,7,16
TAHUA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,0,1,0,0,1
TAPACARI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,8,13,5,8,34
TARABUCO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,8,7,6,7,28
TARACO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,4,1,0,0,5
TARATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,8,9,1,3,21
TARIJA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,210,205,4,5,424
TARVITA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,4,2,3,1,10
TEOPONTE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,8,9,2,3,22
TIAWANACU,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,11,14,2,1,28
TINGUIPAYA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,11,8,9,3,31
TIPUANI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,6,4,2,1,13
TIQUIPAYA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,58,46,2,7,113
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,13,6,6,6,31
TOCO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,7,5,2,1,15
TOLATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,4,2,4,2,12
TOLEDO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,2,3,1,0,6
TOMAVE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,9,8,5,2,24
TOMINA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,3,1,2,1,7
TORO TORO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,1,1,11,5,18
TOTORA(CBBA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,13,12,1,0,26
TOTORA(ORR),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,3,1,0,0,4
TRIGAL,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,1,0,0,0,1
TRINIDAD,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,121,100,3,2,226
TUPIZA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,29,25,4,6,64
TURCO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,3,2,0,0,5
UMALA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,11,5,1,2,19
UNCIA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,17,18,3,4,42
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,14,11,5,1,31
URUBICHA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,10,2,0,2,14
UYUNI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,18,28,1,0,47
VACAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,1,1,5,6,13
VALLEGRANDE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,17,10,0,0,27
VIACHA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,59,68,3,3,133
VILA VILA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,3,5,3,2,13
VILLA CHARCAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,10,11,5,2,28
VILLA MONTES,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,44,40,4,5,93
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,1,0,0,0,1
VILLA RIVERO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,9,5,1,0,15
VILLA SERRANO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,8,5,3,7,23
VILLA TUNARI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,79,75,7,2,163
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,6,5,0,0,11
VILLAZON,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,53,32,1,3,89
VINTO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,53,47,1,1,102
VITICHI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,4,2,1,0,7
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,1,2,0,0,3
WARNES,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,95,79,2,1,177
YACO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,1,2,4,2,9
YACUIBA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,98,90,5,11,204
YAMPARAEZ,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,0,5,2,0,7
YANACACHI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,3,4,1,0,8
YAPACANI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,33,35,11,9,88
YOCALLA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,2,4,3,0,9
YOTALA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,3,4,1,0,8
YUNCHARA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,1,0,0,5,6
ZUDAÑEZ,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,4,2,3,4,13
ACACIO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,1,2,1,2,6
ACHACACHI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,10,14,10,13,47
ACHOCALLA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,8,7,5,6,26
AIQUILE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,16,12,5,3,36
ALALAY,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,1,0,1,1,3
ALCALA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,6,3,0,0,9
ALTO BENI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,11,9,0,0,20
ANCORAIMES,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,4,4,2,0,10
ANDAMARCA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,2,0,2,1,5
ANTEQUERA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,0,1,0,0,1
ANZALDO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,7,4,0,3,14
APOLO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,10,13,1,1,25
ARAMPAMPA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,1,1,2,3,7
ARANI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,2,2,0,1,5
ARBIETO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,7,7,3,1,18
ARQUE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,3,5,3,4,15
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,29,24,1,1,55
ATOCHA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,6,3,0,0,9
AUCAPATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,2,1,6,1,10
AYATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,3,6,0,1,10
AYO AYO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,4,3,4,0,11
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,8,9,4,4,25
AZURDUY,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,5,2,6,3,16
BATALLAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,11,10,3,1,25
BAURES,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,2,1,1,0,4
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,2,1,1,0,4
BELEN DE URMIRI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,0,2,0,0,2
BELLA FLOR,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,0,2,1,4,7
BERMEJO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,10,13,1,1,25
BETANZOS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,19,14,5,5,43
BOLIVAR,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,1,1,2,2,6
BOLPEBRA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,1,1,0,0,2
BOYUIBE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,1,0,0,1,2
BUENA VISTA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,5,10,1,4,20
CABEZAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,13,11,21,10,55
CAIROMA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,7,5,2,1,15
"CAIZA ""D""",vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,6,3,2,3,14
CAJUATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,7,10,0,3,20
CALACOTO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,1,0,0,1,2
CALAMARCA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,9,4,1,0,14
CAMARGO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,7,4,0,4,15
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,3,1,1,0,5
CAMIRI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,25,18,0,0,43
CAPINOTA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,20,8,1,1,30
CAQUIAVIRI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,4,3,0,0,7
CARACOLLO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,9,6,3,4,22
CARANAVI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,30,35,2,1,68
CARAPARI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,15,3,1,1,20
CARIPUYO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,4,4,4,4,16
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,4,3,0,1,8
CATACORA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,0,2,0,0,2
CHALLAPATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,21,15,7,4,47
CHAQUI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,1,7,3,1,12
CHARAGUA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,11,10,25,26,72
CHAYANTA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,6,2,4,6,18
CHIMORE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,8,8,1,2,19
CHIPAYA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,0,2,0,1,3
CHUA COCANI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,1,1,0,0,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,11,13,1,1,26
CHUMA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,6,2,10,3,21
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,2,6,0,0,8
CKOCHAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,9,6,2,3,20
CLIZA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,12,5,2,2,21
COBIJA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,40,29,2,4,75
COCAPATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,7,8,11,10,36
COCHABAMBA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,539,535,7,3,1084
COLCAPIRHUA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,33,27,0,0,60
"COLCHA ""K""",vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,4,9,1,2,16
COLLANA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,1,2,0,0,3
COLOMI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,18,12,2,0,32
COLPA BELGICA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,3,3,0,0,6
COLQUECHACA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,9,6,13,11,39
COLQUENCHA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,5,5,0,0,10
COLQUIRI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,5,8,6,11,30
COMANCHE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,4,1,0,1,6
COMARAPA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,15,13,3,0,31
COMBAYA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,0,1,0,1,2
CONCEPCION,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,16,16,7,9,48
COPACABANA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,1,6,2,3,12
CORIPATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,13,11,0,0,24
CORO CORO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,7,3,0,0,10
COROICO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,8,13,4,3,28
CORQUE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,0,3,2,0,5
COTAGAITA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,8,14,3,5,30
COTOCA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,46,46,3,3,98
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,15,17,2,3,37
CUEVO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,1,2,1,1,5
CULPINA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,12,5,5,8,30
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,4,3,0,0,7
CURVA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,0,0,1,1,2
DESAGUADERO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,6,5,3,1,15
EL ALTO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,567,588,67,70,1292
EL CHORO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,3,1,3,1,8
EL PUENTE(STC),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,13,8,2,1,24
EL PUENTE(TJA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,8,7,2,1,18
EL TORNO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,40,34,2,4,80
EL VILLAR,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,1,3,1,1,6
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,16,21,6,6,49
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,30,34,0,1,65
ESCOMA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,2,1,0,2,5
EUCALIPTUS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,3,2,0,1,6
EXALTACION,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,0,1,0,0,1
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,18,20,21,8,67
FILADELFIA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,6,2,0,0,8
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,14,9,1,0,24
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,3,6,5,3,17
GUANAY,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,9,6,1,2,18
GUAQUI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,1,2,1,5,9
GUAYARAMERIN,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,44,51,2,3,100
GUTIERREZ,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,13,7,9,5,34
HUACARETA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,3,7,1,5,16
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,2,1,1,2,6
HUANUNI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,21,23,1,0,45
HUARACAJE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,6,4,0,4,14
HUARINA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,3,1,1,1,6
HUATAJATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,1,0,0,0,1
HUAYLLAMARCA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,0,2,1,0,3
HUMANATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,2,0,1,0,3
ICHOCA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,1,4,1,1,7
ICLA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,0,4,5,2,11
INCAHUASI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,6,3,2,3,14
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,1,2,1,2,6
INQUISIVI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,5,5,1,2,13
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,8,4,1,2,15
IXIAMAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,5,6,0,0,11
JESUS DE MACHACA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,4,9,1,0,14
LA ASUNTA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,36,30,4,7,77
LA GUARDIA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,81,62,3,4,150
LA PAZ,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,532,525,20,9,1086
LAGUNILLAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,3,5,0,0,8
LAJA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,9,5,1,2,17
LAS CARRERAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,3,3,0,1,7
LICOMA PAMPA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,1,2,0,1,4
