,group,variable,month,TOTAL ANTIROTAVIRÍCA 1RA DOSIS DENTRO,TOTAL ANTIROTAVIRÍCA 1RA DOSIS DENTRO,TOTAL ANTIROTAVIRÍCA 1RA DOSIS FUERA,TOTAL ANTIROTAVIRÍCA 1RA DOSIS FUERA,TOTALES
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,0,1,0,0,1
SAN PEDRO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,10,3,1,0,14
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,14,15,5,12,46
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,2,4,1,0,7
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,1,0,0,0,1
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,3,2,2,1,8
SAN RAFAEL,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,2,9,1,1,13
SAN RAMON BENI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,6,1,1,1,9
SAN RAMON SCZ,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,15,10,0,1,26
SANTA ANA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,21,22,0,0,43
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,1619,1336,32,24,3011
SANTA ROSA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,10,9,1,0,20
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,23,10,0,0,33
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,0,0,0,1,1
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,0,1,3,2,6
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,5,3,1,2,11
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,1,1,1,0,3
SANTIVAÑES,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,5,3,0,0,8
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,2,1,1,2,6
SAPAHAQUI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,5,2,2,2,11
SENA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,8,9,0,0,17
SHINAOTA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,24,24,2,2,52
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,7,11,4,5,27
SICAYA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,2,1,1,0,4
SIPE SIPE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,43,37,1,0,81
SOPACHUY,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,3,0,2,0,5
SORACACHI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,7,7,1,1,16
SORATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,8,9,5,3,25
SUCRE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,283,300,3,2,588
TACACOMA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,4,5,0,0,9
TACOBAMBA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,5,2,4,2,13
TACOPAYA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,2,4,2,5,13
TAPACARI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,16,14,8,11,49
TARABUCO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,3,6,4,3,16
TARACO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,2,2,0,1,5
TARATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,5,10,2,3,20
TARIJA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,195,192,2,1,390
TARVITA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,3,7,4,3,17
TEOPONTE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,9,8,1,6,24
TIAWANACU,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,11,10,3,0,24
TINGUIPAYA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,18,9,5,6,38
TIPUANI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,7,7,0,1,15
TIQUIPAYA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,43,45,3,4,95
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,16,10,7,11,44
TOCO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,3,4,0,1,8
TODOS SANTOS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,0,1,0,0,1
TOLATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,4,2,1,1,8
TOLEDO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,1,3,0,3,7
TOMAVE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,7,6,3,3,19
TOMINA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,8,5,4,5,22
TORO TORO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,1,3,9,3,16
TOTORA(CBBA),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,10,10,1,7,28
TOTORA(ORR),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,4,4,1,1,10
TRINIDAD,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,137,128,1,1,267
TUPIZA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,40,46,7,6,99
TURCO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,1,0,0,3,4
UMALA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,5,6,2,4,17
UNCIA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,18,13,3,2,36
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,7,12,3,2,24
URUBICHA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,5,10,2,5,22
UYUNI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,13,23,3,0,39
VACAS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,3,0,6,2,11
VALLEGRANDE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,7,7,0,0,14
VIACHA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,87,46,5,2,140
VILA VILA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,2,6,4,4,16
VILLA CHARCAS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,7,14,1,2,24
VILLA MONTES,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,51,41,7,7,106
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,2,0,0,0,2
VILLA RIVERO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,5,7,1,1,14
VILLA SERRANO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,5,8,2,2,17
VILLA TUNARI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,74,84,4,5,167
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,4,3,0,1,8
VILLAZON,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,40,35,1,1,77
VINTO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,39,38,0,5,82
VITICHI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,4,3,2,0,9
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,1,1,0,0,2
WARNES,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,102,108,0,2,212
YACO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,4,0,2,5,11
YACUIBA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,83,102,3,7,195
YAMPARAEZ,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,4,2,1,2,9
YANACACHI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,4,3,1,1,9
YAPACANI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,34,27,3,7,71
YOCALLA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,10,4,2,2,18
YOTALA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,5,3,3,0,11
YUNCHARA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,0,0,4,3,7
ZUDAÑEZ,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,6,3,3,2,14
ACACIO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,3,2,1,1,7
ACHACACHI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,17,13,7,7,44
ACHOCALLA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,7,6,11,3,27
AIQUILE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,9,12,6,2,29
ALALAY,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,2,1,1,2,6
ALCALA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,1,0,0,1,2
ALTO BENI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,9,8,0,2,19
ANCORAIMES,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,5,4,1,2,12
ANDAMARCA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,1,2,2,0,5
ANTEQUERA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,1,1,1,1,4
ANZALDO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,3,3,2,1,9
APOLO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,6,8,5,4,23
ARAMPAMPA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,0,0,3,3,6
ARANI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,6,7,4,1,18
ARBIETO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,6,6,7,11,30
ARQUE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,9,4,3,2,18
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,20,25,4,0,49
ATOCHA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,11,6,0,0,17
AUCAPATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,0,1,1,3,5
AYATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,5,6,2,0,13
AYO AYO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,2,3,0,0,5
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,12,13,6,3,34
AZURDUY,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,5,5,4,1,15
BATALLAS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,7,11,3,4,25
BAURES,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,7,5,3,0,15
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,0,0,1,0,1
BELEN DE URMIRI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,0,0,3,1,4
BELLA FLOR,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,2,2,2,0,6
BERMEJO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,11,9,1,1,22
BETANZOS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,15,13,9,7,44
BOLIVAR,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,2,1,2,4,9
BOLPEBRA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,0,2,0,0,2
BOYUIBE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,7,1,0,1,9
BUENA VISTA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,10,9,1,4,24
CABEZAS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,18,14,9,7,48
CAIROMA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,7,12,2,2,23
"CAIZA ""D""",vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,7,3,6,2,18
CAJUATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,4,4,1,3,12
CALACOTO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,1,1,1,5,8
CALAMARCA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,6,7,3,2,18
CAMARGO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,5,12,2,3,22
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,1,2,0,1,4
CAMIRI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,27,32,2,0,61
CAPINOTA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,14,13,0,2,29
CAQUIAVIRI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,7,4,1,1,13
CARACOLLO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,4,13,3,3,23
CARANAVI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,27,42,7,7,83
CARAPARI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,12,12,1,3,28
CARIPUYO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,2,5,2,5,14
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,6,3,2,2,13
CHALLAPATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,19,23,8,2,52
CHAQUI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,3,5,0,4,12
CHARAGUA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,36,15,17,21,89
CHARAÑA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,3,1,0,1,5
CHAYANTA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,7,7,3,5,22
CHIMORE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,16,5,2,0,23
CHIPAYA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,0,1,0,1,2
CHUA COCANI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,2,2,0,0,4
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,13,9,5,1,28
CHUMA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,3,3,2,5,13
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,2,5,0,1,8
CKOCHAS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,7,8,4,0,19
CLIZA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,21,21,1,2,45
COBIJA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,55,41,4,5,105
COCAPATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,8,5,12,8,33
COCHABAMBA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,626,597,8,2,1233
COIPASA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,1,1,0,0,2
COLCAPIRHUA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,31,31,0,0,62
"COLCHA ""K""",vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,9,9,0,2,20
COLLANA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,0,2,0,0,2
COLOMI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,12,12,5,6,35
COLPA BELGICA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,2,9,0,3,14
COLQUECHACA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,12,7,15,15,49
COLQUENCHA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,8,4,0,0,12
COLQUIRI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,11,9,8,11,39
COMANCHE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,1,2,0,0,3
COMARAPA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,13,14,1,3,31
COMBAYA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,1,3,1,1,6
CONCEPCION,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,15,18,3,4,40
COPACABANA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,4,5,3,2,14
CORIPATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,16,13,0,0,29
CORO CORO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,7,6,0,0,13
COROICO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,13,6,1,2,22
CORQUE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,3,0,1,2,6
COTAGAITA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,8,10,3,4,25
COTOCA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,66,60,0,5,131
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,14,14,3,2,33
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,1,1,0,0,2
CUEVO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,3,4,0,1,8
CULPINA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,6,4,4,3,17
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,4,0,0,0,4
CURVA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,1,1,2,1,5
DESAGUADERO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,2,2,1,0,5
EL ALTO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,695,658,48,63,1464
EL CHORO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,2,2,1,1,6
EL PUENTE(STC),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,8,7,2,0,17
EL PUENTE(TJA),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,4,6,1,0,11
EL TORNO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,48,62,2,7,119
EL VILLAR,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,4,1,3,1,9
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,10,11,2,12,35
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,21,36,0,1,58
ESCOMA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,2,3,0,0,5
ESMERALDA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,0,1,0,0,1
EUCALIPTUS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,4,2,2,1,9
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,0,0,0,4,4
EXALTACION,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,3,2,0,0,5
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,12,10,0,12,34
FILADELFIA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,3,10,0,0,13
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,13,14,1,2,30
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,5,5,4,4,18
GUANAY,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,8,14,5,3,30
GUAQUI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,2,0,3,4,9
GUAYARAMERIN,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,45,34,5,6,90
GUTIERREZ,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,15,12,11,9,47
HUACARETA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,3,6,2,2,13
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,3,2,2,3,10
HUACHACALLA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,0,1,0,0,1
HUANUNI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,22,16,1,1,40
HUARACAJE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,4,4,2,2,12
HUARINA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,3,4,1,2,10
HUATAJATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,0,1,0,0,1
HUAYLLAMARCA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,3,1,0,0,4
HUMANATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,1,0,1,3,5
ICHOCA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,1,1,1,0,3
ICLA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,2,1,6,3,12
INCAHUASI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,8,8,2,3,21
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,2,4,0,0,6
INQUISIVI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,4,1,2,2,9
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,8,7,1,4,20
IXIAMAS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,7,9,1,0,17
JESUS DE MACHACA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,8,1,2,0,11
LA ASUNTA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,37,39,5,9,90
