,group,variable,month,TOTAL BCG DENTRO,TOTAL BCG DENTRO,TOTAL BCG FUERA,TOTAL BCG FUERA,TOTALES
VILA VILA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,0,1,4,5,10
VILLA CHARCAS,vacunaciones en menores de 1 ano,total bcg,2015-01-01,4,4,4,3,15
VILLA MONTES,vacunaciones en menores de 1 ano,total bcg,2015-01-01,48,44,0,2,94
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,total bcg,2015-01-01,1,0,0,0,1
VILLA RIVERO,vacunaciones en menores de 1 ano,total bcg,2015-01-01,1,0,4,4,9
VILLA SERRANO,vacunaciones en menores de 1 ano,total bcg,2015-01-01,6,2,0,0,8
VILLA TUNARI,vacunaciones en menores de 1 ano,total bcg,2015-01-01,78,66,4,12,160
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,total bcg,2015-01-01,4,2,3,3,12
VILLAZON,vacunaciones en menores de 1 ano,total bcg,2015-01-01,29,32,0,1,62
VINTO,vacunaciones en menores de 1 ano,total bcg,2015-01-01,51,34,0,0,85
VITICHI,vacunaciones en menores de 1 ano,total bcg,2015-01-01,2,1,1,0,4
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,total bcg,2015-01-01,0,0,1,1,2
WARNES,vacunaciones en menores de 1 ano,total bcg,2015-01-01,85,68,0,0,153
YACO,vacunaciones en menores de 1 ano,total bcg,2015-01-01,0,1,4,4,9
YACUIBA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,81,108,7,7,203
YAMPARAEZ,vacunaciones en menores de 1 ano,total bcg,2015-01-01,3,3,0,1,7
YANACACHI,vacunaciones en menores de 1 ano,total bcg,2015-01-01,0,0,0,1,1
YAPACANI,vacunaciones en menores de 1 ano,total bcg,2015-01-01,60,42,2,4,108
YOCALLA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,4,3,2,3,12
YOTALA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,6,2,0,0,8
YUNCHARA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,1,1,1,2,5
ZUDAÑEZ,vacunaciones en menores de 1 ano,total bcg,2015-01-01,4,5,1,1,11
ACACIO,vacunaciones en menores de 1 ano,total bcg,2015-02-01,1,1,1,0,3
ACHACACHI,vacunaciones en menores de 1 ano,total bcg,2015-02-01,14,23,12,9,58
ACHOCALLA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,4,1,6,7,18
AIQUILE,vacunaciones en menores de 1 ano,total bcg,2015-02-01,20,12,3,3,38
ALALAY,vacunaciones en menores de 1 ano,total bcg,2015-02-01,0,0,0,2,2
ALCALA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,0,4,0,0,4
ALTO BENI,vacunaciones en menores de 1 ano,total bcg,2015-02-01,6,1,1,0,8
ANCORAIMES,vacunaciones en menores de 1 ano,total bcg,2015-02-01,6,2,6,4,18
ANDAMARCA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,0,2,1,1,4
ANTEQUERA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,1,3,0,0,4
ANZALDO,vacunaciones en menores de 1 ano,total bcg,2015-02-01,1,3,2,2,8
APOLO,vacunaciones en menores de 1 ano,total bcg,2015-02-01,4,4,2,6,16
ARAMPAMPA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,1,1,4,4,10
ARANI,vacunaciones en menores de 1 ano,total bcg,2015-02-01,2,8,1,0,11
ARBIETO,vacunaciones en menores de 1 ano,total bcg,2015-02-01,3,5,5,9,22
ARQUE,vacunaciones en menores de 1 ano,total bcg,2015-02-01,9,2,3,4,18
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,total bcg,2015-02-01,22,22,3,2,49
ATOCHA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,1,1,3,3,8
AUCAPATA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,1,1,3,2,7
AYATA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,3,2,1,0,6
AYO AYO,vacunaciones en menores de 1 ano,total bcg,2015-02-01,0,0,6,4,10
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,total bcg,2015-02-01,5,8,8,13,34
AZURDUY,vacunaciones en menores de 1 ano,total bcg,2015-02-01,9,4,3,5,21
BATALLAS,vacunaciones en menores de 1 ano,total bcg,2015-02-01,4,3,3,1,11
BAURES,vacunaciones en menores de 1 ano,total bcg,2015-02-01,7,2,3,0,12
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,1,1,0,0,2
BELEN DE URMIRI,vacunaciones en menores de 1 ano,total bcg,2015-02-01,0,0,4,5,9
BELLA FLOR,vacunaciones en menores de 1 ano,total bcg,2015-02-01,1,0,0,1,2
BERMEJO,vacunaciones en menores de 1 ano,total bcg,2015-02-01,33,40,1,0,74
BETANZOS,vacunaciones en menores de 1 ano,total bcg,2015-02-01,19,21,7,17,64
BOLIVAR,vacunaciones en menores de 1 ano,total bcg,2015-02-01,0,0,9,4,13
BOLPEBRA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,1,0,0,0,1
BOYUIBE,vacunaciones en menores de 1 ano,total bcg,2015-02-01,3,2,0,0,5
BUENA VISTA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,2,4,2,2,10
CABEZAS,vacunaciones en menores de 1 ano,total bcg,2015-02-01,11,12,18,16,57
CAIROMA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,1,6,3,4,14
"CAIZA ""D""",vacunaciones en menores de 1 ano,total bcg,2015-02-01,5,1,3,2,11
CAJUATA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,4,5,3,1,13
CALACOTO,vacunaciones en menores de 1 ano,total bcg,2015-02-01,1,2,2,4,9
CALAMARCA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,4,2,3,2,11
CAMARGO,vacunaciones en menores de 1 ano,total bcg,2015-02-01,15,15,0,2,32
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,total bcg,2015-02-01,1,0,1,0,2
CAMIRI,vacunaciones en menores de 1 ano,total bcg,2015-02-01,45,47,1,0,93
CAPINOTA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,12,18,0,1,31
CAQUIAVIRI,vacunaciones en menores de 1 ano,total bcg,2015-02-01,3,1,7,3,14
CARACOLLO,vacunaciones en menores de 1 ano,total bcg,2015-02-01,6,8,3,2,19
CARANAVI,vacunaciones en menores de 1 ano,total bcg,2015-02-01,55,49,3,6,113
CARAPARI,vacunaciones en menores de 1 ano,total bcg,2015-02-01,7,5,4,2,18
CARIPUYO,vacunaciones en menores de 1 ano,total bcg,2015-02-01,1,0,5,7,13
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,total bcg,2015-02-01,0,0,7,5,12
CHALLAPATA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,25,29,8,4,66
CHAQUI,vacunaciones en menores de 1 ano,total bcg,2015-02-01,4,1,0,2,7
CHARAGUA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,12,12,59,43,126
CHAYANTA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,12,3,4,4,23
CHIMORE,vacunaciones en menores de 1 ano,total bcg,2015-02-01,15,12,0,1,28
CHIPAYA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,0,0,1,2,3
CHUA COCANI,vacunaciones en menores de 1 ano,total bcg,2015-02-01,0,1,0,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,total bcg,2015-02-01,17,11,1,1,30
CHUMA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,1,2,1,4,8
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,total bcg,2015-02-01,0,1,5,3,9
CKOCHAS,vacunaciones en menores de 1 ano,total bcg,2015-02-01,4,4,4,3,15
CLIZA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,15,17,5,2,39
COBIJA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,82,59,0,0,141
COCAPATA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,7,4,12,7,30
COCHABAMBA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,797,770,7,2,1576
COLCAPIRHUA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,25,20,0,0,45
"COLCHA ""K""",vacunaciones en menores de 1 ano,total bcg,2015-02-01,4,1,1,4,10
COLLANA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,2,0,0,0,2
COLOMI,vacunaciones en menores de 1 ano,total bcg,2015-02-01,7,12,13,2,34
COLPA BELGICA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,2,6,1,4,13
COLQUECHACA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,9,9,15,26,59
COLQUENCHA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,2,3,3,2,10
COLQUIRI,vacunaciones en menores de 1 ano,total bcg,2015-02-01,0,0,9,14,23
COMANCHE,vacunaciones en menores de 1 ano,total bcg,2015-02-01,0,4,0,1,5
COMARAPA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,12,9,0,0,21
COMBAYA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,1,2,2,2,7
CONCEPCION,vacunaciones en menores de 1 ano,total bcg,2015-02-01,18,16,1,2,37
COPACABANA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,4,5,4,1,14
CORIPATA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,12,11,3,1,27
CORO CORO,vacunaciones en menores de 1 ano,total bcg,2015-02-01,1,0,2,0,3
COROICO,vacunaciones en menores de 1 ano,total bcg,2015-02-01,13,10,6,2,31
CORQUE,vacunaciones en menores de 1 ano,total bcg,2015-02-01,0,0,2,3,5
COTAGAITA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,10,5,3,4,22
COTOCA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,46,59,4,0,109
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,total bcg,2015-02-01,7,13,0,3,23
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,total bcg,2015-02-01,0,2,0,0,2
CUEVO,vacunaciones en menores de 1 ano,total bcg,2015-02-01,1,2,1,1,5
CULPINA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,8,9,0,0,17
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,total bcg,2015-02-01,1,2,0,0,3
DESAGUADERO,vacunaciones en menores de 1 ano,total bcg,2015-02-01,9,2,0,2,13
EL ALTO,vacunaciones en menores de 1 ano,total bcg,2015-02-01,795,777,28,37,1637
EL CHORO,vacunaciones en menores de 1 ano,total bcg,2015-02-01,1,1,0,0,2
EL PUENTE(STC),vacunaciones en menores de 1 ano,total bcg,2015-02-01,6,3,3,1,13
EL PUENTE(TJA),vacunaciones en menores de 1 ano,total bcg,2015-02-01,0,0,3,7,10
EL TORNO,vacunaciones en menores de 1 ano,total bcg,2015-02-01,51,37,0,0,88
EL VILLAR,vacunaciones en menores de 1 ano,total bcg,2015-02-01,2,1,0,0,3
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,total bcg,2015-02-01,10,8,2,2,22
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,23,15,1,0,39
ESCOMA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,9,4,0,0,13
EUCALIPTUS,vacunaciones en menores de 1 ano,total bcg,2015-02-01,3,6,1,0,10
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,total bcg,2015-02-01,0,0,1,0,1
EXALTACION,vacunaciones en menores de 1 ano,total bcg,2015-02-01,0,1,0,0,1
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,total bcg,2015-02-01,14,14,8,12,48
FILADELFIA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,0,1,1,1,3
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,5,6,1,0,12
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,total bcg,2015-02-01,4,3,6,6,19
GUANAY,vacunaciones en menores de 1 ano,total bcg,2015-02-01,8,8,3,1,20
GUAQUI,vacunaciones en menores de 1 ano,total bcg,2015-02-01,1,0,4,2,7
GUAYARAMERIN,vacunaciones en menores de 1 ano,total bcg,2015-02-01,46,60,0,1,107
GUTIERREZ,vacunaciones en menores de 1 ano,total bcg,2015-02-01,3,2,8,6,19
HUACARETA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,1,4,1,0,6
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,total bcg,2015-02-01,0,0,2,1,3
HUACHACALLA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,1,0,0,0,1
HUANUNI,vacunaciones en menores de 1 ano,total bcg,2015-02-01,20,16,1,0,37
HUARACAJE,vacunaciones en menores de 1 ano,total bcg,2015-02-01,2,2,0,0,4
HUARINA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,1,2,3,2,8
HUATAJATA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,1,3,0,0,4
HUAYLLAMARCA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,0,1,1,1,3
HUMANATA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,1,0,2,0,3
ICHOCA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,1,0,2,1,4
ICLA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,1,1,0,2,4
INCAHUASI,vacunaciones en menores de 1 ano,total bcg,2015-02-01,0,0,0,2,2
INQUISIVI,vacunaciones en menores de 1 ano,total bcg,2015-02-01,2,4,3,3,12
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,total bcg,2015-02-01,7,2,7,9,25
IXIAMAS,vacunaciones en menores de 1 ano,total bcg,2015-02-01,3,1,0,1,5
JESUS DE MACHACA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,3,1,8,0,12
LA ASUNTA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,32,41,7,2,82
LA GUARDIA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,48,38,13,11,110
LA PAZ,vacunaciones en menores de 1 ano,total bcg,2015-02-01,783,786,1,0,1570
LAGUNILLAS,vacunaciones en menores de 1 ano,total bcg,2015-02-01,4,3,2,2,11
LAJA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,3,2,6,6,17
LAS CARRERAS,vacunaciones en menores de 1 ano,total bcg,2015-02-01,0,1,4,3,8
LICOMA PAMPA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,0,0,1,0,1
LLALLAGUA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,27,15,29,32,103
LLICA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,5,2,1,0,8
LORETO,vacunaciones en menores de 1 ano,total bcg,2015-02-01,1,0,6,4,11
LURIBAY,vacunaciones en menores de 1 ano,total bcg,2015-02-01,1,3,3,6,13
MACHACAMARCA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,1,2,1,0,4
MACHARETI,vacunaciones en menores de 1 ano,total bcg,2015-02-01,1,2,4,2,9
MAGDALENA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,7,6,5,5,23
MAIRANA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,26,11,0,0,37
MALLA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,0,0,2,1,3
MAPIRI,vacunaciones en menores de 1 ano,total bcg,2015-02-01,10,5,0,3,18
MECAPACA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,4,4,6,1,15
MINEROS,vacunaciones en menores de 1 ano,total bcg,2015-02-01,0,1,1,0,2
MIZQUE,vacunaciones en menores de 1 ano,total bcg,2015-02-01,15,16,10,13,54
MOCOMOCO,vacunaciones en menores de 1 ano,total bcg,2015-02-01,5,4,36,4,49
MOJOCOYA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,0,1,6,0,7
MONTEAGUDO,vacunaciones en menores de 1 ano,total bcg,2015-02-01,21,15,1,1,38
MONTERO,vacunaciones en menores de 1 ano,total bcg,2015-02-01,155,150,0,0,305
MOROCHATA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,2,2,10,7,21
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,total bcg,2015-02-01,1,1,1,5,8
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,total bcg,2015-02-01,0,1,1,0,2
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,total bcg,2015-02-01,1,0,0,1,2
OCURI,vacunaciones en menores de 1 ano,total bcg,2015-02-01,0,3,2,5,10
OKINAWA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,9,11,0,0,20
OMEREQUE,vacunaciones en menores de 1 ano,total bcg,2015-02-01,1,4,1,0,6
ORURO,vacunaciones en menores de 1 ano,total bcg,2015-02-01,297,342,1,4,644
PADCAYA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,4,5,3,7,19
PADILLA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,13,9,0,0,22
PAILON,vacunaciones en menores de 1 ano,total bcg,2015-02-01,27,29,9,9,74
PALCA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,5,6,6,4,21
PALOS BLANCOS,vacunaciones en menores de 1 ano,total bcg,2015-02-01,11,21,5,2,39
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,total bcg,2015-02-01,0,0,0,1,1
PAMPA GRANDE,vacunaciones en menores de 1 ano,total bcg,2015-02-01,3,5,0,2,10
PAPEL PAMPA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,1,0,3,2,6
PASORAPA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,1,0,0,1,2
PATACAMAYA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,21,21,2,4,48
PAZÑA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,0,2,2,2,6
PELECHUCO,vacunaciones en menores de 1 ano,total bcg,2015-02-01,2,1,1,3,7
POCOATA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,3,1,10,16,30
POCONA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,3,1,5,8,17
POJO (CBBA),vacunaciones en menores de 1 ano,total bcg,2015-02-01,5,7,0,1,13
POOPO,vacunaciones en menores de 1 ano,total bcg,2015-02-01,2,0,0,1,3
PORCO,vacunaciones en menores de 1 ano,total bcg,2015-02-01,10,15,0,3,28
POROMA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,5,4,6,5,20
PORONGO,vacunaciones en menores de 1 ano,total bcg,2015-02-01,3,2,2,4,11
PORTACHUELO,vacunaciones en menores de 1 ano,total bcg,2015-02-01,19,25,0,0,44
PORVENIR,vacunaciones en menores de 1 ano,total bcg,2015-02-01,0,1,0,1,2
POSTRER VALLE,vacunaciones en menores de 1 ano,total bcg,2015-02-01,0,2,0,0,2
POTOSI,vacunaciones en menores de 1 ano,total bcg,2015-02-01,268,246,2,5,521
PRESTO,vacunaciones en menores de 1 ano,total bcg,2015-02-01,2,0,0,4,6
PUCARANI,vacunaciones en menores de 1 ano,total bcg,2015-02-01,12,19,9,17,57
PUERTO ACOSTA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,0,0,11,4,15
PUERTO CARABUCO,vacunaciones en menores de 1 ano,total bcg,2015-02-01,1,3,5,7,16
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,total bcg,2015-02-01,1,0,4,3,8
PUERTO PEREZ,vacunaciones en menores de 1 ano,total bcg,2015-02-01,1,1,2,8,12
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,total bcg,2015-02-01,8,7,0,0,15
PUERTO RICO,vacunaciones en menores de 1 ano,total bcg,2015-02-01,4,3,1,2,10
PUERTO SUAREZ,vacunaciones en menores de 1 ano,total bcg,2015-02-01,9,14,0,0,23
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,total bcg,2015-02-01,50,42,2,1,95
PUNA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,5,7,5,8,25
PUNATA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,29,29,0,0,58
QUIABAYA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,0,0,1,3,4
QUILLACOLLO,vacunaciones en menores de 1 ano,total bcg,2015-02-01,136,130,12,7,285
QUIME,vacunaciones en menores de 1 ano,total bcg,2015-02-01,0,1,5,5,11
QUIRUSILLAS,vacunaciones en menores de 1 ano,total bcg,2015-02-01,0,2,0,0,2
RAVELO,vacunaciones en menores de 1 ano,total bcg,2015-02-01,2,3,14,12,31
RIBERALTA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,157,149,11,11,328
ROBORE,vacunaciones en menores de 1 ano,total bcg,2015-02-01,16,11,0,1,28
RURRENABAQUE,vacunaciones en menores de 1 ano,total bcg,2015-02-01,11,18,8,5,42
SABAYA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,1,1,0,3,5
SACABA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,102,99,3,3,207
SACABAMBA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,2,0,0,0,2
SACACA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,16,9,9,7,41
SAIPINA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,1,2,1,2,6
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,9,2,5,4,20
SAMAIPATA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,4,2,0,2,8
SAN AGUSTIN,vacunaciones en menores de 1 ano,total bcg,2015-02-01,0,1,0,1,2
SAN ANDRES,vacunaciones en menores de 1 ano,total bcg,2015-02-01,3,0,3,2,8
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,2,0,4,0,6
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,total bcg,2015-02-01,1,0,1,0,2
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,total bcg,2015-02-01,4,2,0,3,9
SAN BENITO,vacunaciones en menores de 1 ano,total bcg,2015-02-01,1,5,2,3,11
SAN BORJA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,38,37,11,14,100
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,6,4,3,4,17
SAN CARLOS,vacunaciones en menores de 1 ano,total bcg,2015-02-01,18,15,1,1,35
SAN IGNACIO,vacunaciones en menores de 1 ano,total bcg,2015-02-01,21,9,3,3,36
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,total bcg,2015-02-01,57,63,3,4,127
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,total bcg,2015-02-01,1,0,3,2,6
SAN JAVIER(STC),vacunaciones en menores de 1 ano,total bcg,2015-02-01,17,15,0,0,32
SAN JOAQUIN,vacunaciones en menores de 1 ano,total bcg,2015-02-01,3,5,0,0,8
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,total bcg,2015-02-01,16,9,18,17,60
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,total bcg,2015-02-01,2,6,0,0,8
SAN JULIAN,vacunaciones en menores de 1 ano,total bcg,2015-02-01,37,33,12,14,96
SAN LORENZO(PND),vacunaciones en menores de 1 ano,total bcg,2015-02-01,1,1,1,2,5
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,total bcg,2015-02-01,6,10,0,0,16
SAN LUCAS,vacunaciones en menores de 1 ano,total bcg,2015-02-01,16,17,7,7,47
SAN MATIAS,vacunaciones en menores de 1 ano,total bcg,2015-02-01,12,7,2,6,27
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,total bcg,2015-02-01,6,5,1,2,14
SAN PEDRO,vacunaciones en menores de 1 ano,total bcg,2015-02-01,1,4,0,0,5
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,16,12,7,12,47
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,1,1,1,2,5
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,2,0,1,0,3
SAN PEDRO(PND),vacunaciones en menores de 1 ano,total bcg,2015-02-01,0,0,3,2,5
SAN RAFAEL,vacunaciones en menores de 1 ano,total bcg,2015-02-01,1,0,1,0,2
SAN RAMON BENI,vacunaciones en menores de 1 ano,total bcg,2015-02-01,4,0,3,3,10
SAN RAMON SCZ,vacunaciones en menores de 1 ano,total bcg,2015-02-01,12,2,0,0,14
SANTA ANA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,21,22,1,0,44
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,1637,1517,32,23,3209
SANTA ROSA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,5,8,2,1,16
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,3,5,2,2,12
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,1,1,0,1,3
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,total bcg,2015-02-01,5,3,2,3,13
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,0,0,4,2,6
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,1,1,1,0,3
SANTIVAÑES,vacunaciones en menores de 1 ano,total bcg,2015-02-01,2,1,1,0,4
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,total bcg,2015-02-01,0,2,0,2,4
SAPAHAQUI,vacunaciones en menores de 1 ano,total bcg,2015-02-01,1,1,1,3,6
SENA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,6,5,0,2,13
SHINAOTA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,21,21,0,0,42
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,total bcg,2015-02-01,7,9,7,7,30
SICAYA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,0,0,3,1,4
SIPE SIPE,vacunaciones en menores de 1 ano,total bcg,2015-02-01,34,23,0,0,57
SOPACHUY,vacunaciones en menores de 1 ano,total bcg,2015-02-01,5,3,2,2,12
SORACACHI,vacunaciones en menores de 1 ano,total bcg,2015-02-01,1,0,2,2,5
SORATA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,11,1,4,7,23
SUCRE,vacunaciones en menores de 1 ano,total bcg,2015-02-01,293,282,4,1,580
TACACHI,vacunaciones en menores de 1 ano,total bcg,2015-02-01,2,1,0,0,3
TACACOMA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,2,2,1,1,6
TACOBAMBA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,1,2,7,3,13
TACOPAYA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,2,3,5,2,12
TAPACARI,vacunaciones en menores de 1 ano,total bcg,2015-02-01,14,16,8,11,49
TARABUCO,vacunaciones en menores de 1 ano,total bcg,2015-02-01,7,10,1,2,20
TARACO,vacunaciones en menores de 1 ano,total bcg,2015-02-01,1,1,1,1,4
TARATA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,5,2,3,2,12
TARIJA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,237,200,1,0,438
TARVITA,vacunaciones en menores de 1 ano,total bcg,2015-02-01,2,4,1,5,12
TEOPONTE,vacunaciones en menores de 1 ano,total bcg,2015-02-01,8,4,4,1,17
