,group,variable,month,TOTAL ANTINEUMOCÓCICA 3RA DOSIS DENTRO,TOTAL ANTINEUMOCÓCICA 3RA DOSIS DENTRO,TOTAL ANTINEUMOCÓCICA 3RA DOSIS FUERA,TOTAL ANTINEUMOCÓCICA 3RA DOSIS FUERA,TOTALES
SANTA ROSA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,11,7,0,0,18
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,13,10,0,1,24
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,0,3,0,0,3
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,5,4,4,4,17
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,4,0,0,2,6
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,1,3,0,0,4
SANTIVAÑES,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,7,2,3,0,12
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,1,2,0,2,5
SAPAHAQUI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,5,6,3,2,16
SENA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,8,6,0,0,14
SHINAOTA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,19,24,7,4,54
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,13,5,9,0,27
SICAYA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,3,1,0,1,5
SIPE SIPE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,36,34,2,1,73
SOPACHUY,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,1,2,2,2,7
SORACACHI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,6,7,1,5,19
SORATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,14,2,1,6,23
SUCRE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,316,296,15,4,631
TACACHI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,0,1,0,0,1
TACACOMA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,5,3,0,0,8
TACOBAMBA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,1,4,1,0,6
TACOPAYA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,5,3,2,1,11
TAHUA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,0,0,2,2,4
TAPACARI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,8,10,9,5,32
TARABUCO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,7,3,2,2,14
TARACO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,2,0,1,0,3
TARATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,10,6,2,2,20
TARIJA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,182,187,7,5,381
TARVITA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,4,5,8,2,19
TEOPONTE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,9,6,1,0,16
TIAWANACU,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,7,7,0,1,15
TINGUIPAYA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,13,8,11,3,35
TIPUANI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,9,12,4,2,27
TIQUIPAYA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,57,49,3,1,110
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,6,8,5,9,28
TOCO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,5,5,3,3,16
TOLATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,5,3,2,2,12
TOLEDO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,2,3,0,0,5
TOMAVE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,4,8,1,1,14
TOMINA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,3,1,0,5,9
TORO TORO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,0,1,3,5,9
TOTORA(CBBA),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,5,15,2,3,25
TOTORA(ORR),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,1,3,1,0,5
TRIGAL,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,2,0,0,0,2
TRINIDAD,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,119,127,1,1,248
TUPIZA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,23,30,3,5,61
TURCO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,2,1,0,0,3
UMALA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,4,1,1,2,8
UNCIA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,23,17,3,2,45
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,10,14,1,2,27
URUBICHA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,10,0,3,3,16
UYUNI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,19,29,0,1,49
VACAS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,5,0,5,9,19
VALLEGRANDE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,17,13,0,0,30
VIACHA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,58,69,3,1,131
VILA VILA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,0,3,4,4,11
VILLA CHARCAS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,15,12,3,2,32
VILLA MONTES,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,48,33,6,9,96
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,0,2,0,0,2
VILLA RIVERO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,8,5,0,1,14
VILLA SERRANO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,5,7,3,2,17
VILLA TUNARI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,71,80,5,10,166
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,2,2,1,1,6
VILLAZON,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,38,37,0,2,77
VINTO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,32,25,6,3,66
VITICHI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,9,2,0,1,12
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,1,3,0,0,4
WARNES,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,98,87,2,2,189
YACO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,2,0,0,4,6
YACUIBA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,56,77,6,4,143
YAMPARAEZ,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,4,2,3,0,9
YANACACHI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,1,3,0,1,5
YAPACANI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,15,18,8,5,46
YOCALLA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,4,2,1,1,8
YOTALA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,4,3,4,2,13
YUNCHARA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,0,1,3,2,6
ZUDAÑEZ,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,1,4,2,2,9
ACACIO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,0,3,4,0,7
ACHACACHI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,18,15,6,5,44
ACHOCALLA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,8,1,6,4,19
AIQUILE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,16,9,2,1,28
ALALAY,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,1,0,1,1,3
ALCALA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,1,0,2,1,4
ALTO BENI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,4,6,2,2,14
ANCORAIMES,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,6,5,5,3,19
ANDAMARCA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,0,2,0,0,2
ANTEQUERA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,1,5,0,0,6
ANZALDO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,3,4,1,1,9
APOLO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,15,6,2,0,23
ARAMPAMPA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,0,2,2,2,6
ARANI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,7,4,2,1,14
ARBIETO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,9,6,3,5,23
ARQUE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,7,3,3,4,17
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,10,9,1,2,22
ATOCHA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,6,7,0,2,15
AUCAPATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,1,3,3,4,11
AYATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,4,3,0,0,7
AYO AYO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,6,3,1,1,11
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,13,7,6,4,30
AZURDUY,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,7,4,8,3,22
BATALLAS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,14,4,1,2,21
BAURES,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,5,1,1,0,7
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,1,0,1,0,2
BELEN DE URMIRI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,0,3,0,0,3
BELLA FLOR,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,2,0,0,2,4
BERMEJO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,14,15,3,7,39
BETANZOS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,23,13,3,5,44
BOLIVAR,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,1,0,2,2,5
BOLPEBRA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,0,1,1,0,2
BOYUIBE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,5,4,3,0,12
BUENA VISTA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,7,11,5,3,26
CABEZAS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,6,6,1,1,14
CAIROMA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,6,3,1,1,11
"CAIZA ""D""",vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,11,5,3,3,22
CAJUATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,7,10,2,3,22
CALACOTO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,0,0,1,1,2
CALAMARCA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,3,3,3,2,11
CAMARGO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,12,10,3,2,27
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,1,0,0,0,1
CAMIRI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,30,29,3,0,62
CAPINOTA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,13,10,0,2,25
CAQUIAVIRI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,3,7,0,0,10
CARACOLLO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,3,6,2,2,13
CARANAVI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,31,30,7,4,72
CARAPARI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,6,2,1,1,10
CARIPUYO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,2,3,5,5,15
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,2,1,1,1,5
CATACORA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,0,1,0,2,3
CHALLAPATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,16,11,3,2,32
CHAQUI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,2,2,2,1,7
CHARAGUA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,8,11,19,11,49
CHARAÑA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,0,1,0,0,1
CHAYANTA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,5,7,4,1,17
CHIMORE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,6,13,0,1,20
CHIPAYA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,1,0,1,0,2
CHOQUE COTA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,1,0,0,0,1
CHUA COCANI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,1,0,0,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,10,17,0,4,31
CHUMA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,1,1,1,4,7
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,4,2,1,2,9
CKOCHAS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,6,1,1,0,8
CLIZA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,16,13,2,1,32
COBIJA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,41,24,0,1,66
COCAPATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,5,5,9,7,26
COCHABAMBA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,516,507,5,3,1031
COIPASA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,0,1,0,0,1
COLCAPIRHUA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,23,27,0,0,50
"COLCHA ""K""",vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,17,11,1,1,30
COLLANA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,1,2,0,0,3
COLOMI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,15,13,1,3,32
COLPA BELGICA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,5,6,0,1,12
COLQUECHACA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,12,14,18,8,52
COLQUENCHA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,1,3,0,0,4
COLQUIRI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,4,8,2,2,16
COMANCHE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,2,1,1,1,5
COMARAPA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,11,7,3,1,22
COMBAYA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,1,3,1,0,5
CONCEPCION,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,5,3,3,3,14
COPACABANA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,0,0,2,6,8
CORIPATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,3,10,0,0,13
CORO CORO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,2,4,0,1,7
COROICO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,13,10,3,1,27
CORQUE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,2,3,1,2,8
COTAGAITA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,9,4,7,3,23
COTOCA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,37,36,1,1,75
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,13,12,3,2,30
CUEVO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,3,0,1,0,4
CULPINA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,7,10,2,3,22
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,1,6,1,1,9
CURVA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,1,1,2,1,5
DESAGUADERO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,5,2,1,0,8
EL ALTO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,531,526,43,56,1156
EL CHORO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,2,0,2,1,5
EL PUENTE(STC),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,9,6,1,1,17
EL PUENTE(TJA),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,11,11,5,1,28
EL TORNO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,45,36,0,1,82
EL VILLAR,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,0,4,1,1,6
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,10,9,4,6,29
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,15,11,0,1,27
ESCOMA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,2,2,2,0,6
EUCALIPTUS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,4,2,0,1,7
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,1,1,0,0,2
EXALTACION,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,3,0,0,0,3
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,28,22,1,4,55
FILADELFIA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,4,4,0,0,8
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,11,7,0,0,18
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,8,4,7,3,22
GUANAY,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,3,7,2,2,14
GUAQUI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,2,1,0,2,5
GUAYARAMERIN,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,46,33,2,5,86
GUTIERREZ,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,8,10,4,7,29
HUACARETA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,5,7,6,2,20
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,0,0,2,2,4
HUANUNI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,20,25,1,1,47
HUARACAJE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,2,6,0,2,10
HUARINA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,3,2,1,4,10
HUATAJATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,2,0,0,0,2
HUAYLLAMARCA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,1,1,0,1,3
HUMANATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,0,2,4,1,7
ICHOCA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,0,1,1,0,2
ICLA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,4,5,7,4,20
INCAHUASI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,2,9,5,0,16
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,1,2,3,5,11
INQUISIVI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,5,4,4,1,14
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,6,3,3,3,15
IXIAMAS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,4,2,0,0,6
JESUS DE MACHACA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,5,10,2,1,18
LA ASUNTA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,34,34,8,6,82
LA GUARDIA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,47,65,2,3,117
LA PAZ,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,529,441,26,25,1021
LAGUNILLAS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,0,2,1,1,4
LAJA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-02-01,9,5,1,3,18
